Target_genes	Mafa|Average	SRX081539|Islets_of_Langerhans	STRING
Sohlh1	156.000000	156	0
Pomp	156.000000	156	0
Ifi27l2a	156.000000	156	0
Gip	156.000000	156	0
Ccdc114	156.000000	156	0
Ttc6	155.000000	155	0
Tmem50a	155.000000	155	0
Taf11	155.000000	155	0
Rnf113a2	155.000000	155	0
Lsm11	155.000000	155	0
Ern2	155.000000	155	0
Atad1	155.000000	155	0
Anks1	155.000000	155	0
4930519L02Rik	155.000000	155	0
Synj2	154.000000	154	0
Ufl1	153.000000	153	0
Syt3	153.000000	153	0
Ppp1r2	153.000000	153	0
Mis18a	153.000000	153	0
Haus7	153.000000	153	0
H4c4	153.000000	153	0
H2bc6	153.000000	153	0
Galnt2	153.000000	153	0
Tirap	151.000000	151	0
Raver2	151.000000	151	0
Gtf2a1l	151.000000	151	0
Gnb1l	151.000000	151	0
Clrn3	151.000000	151	0
Apba2	151.000000	151	0
Zfp36l1	150.000000	150	0
Map10	150.000000	150	0
Sh2b3	149.000000	149	0
Sfmbt1	149.000000	149	0
Qsox1	149.000000	149	0
Olfr694	149.000000	149	0
Myh14	149.000000	149	0
Ddx6	149.000000	149	0
Cwc22	149.000000	149	0
Crebl2	149.000000	149	0
Nme7	148.000000	148	0
Ikzf4	148.000000	148	0
Frmpd3	148.000000	148	0
Ffar4	148.000000	148	0
Blzf1	148.000000	148	0
Ambra1	148.000000	148	0
Vdr	146.000000	146	0
Mrgpra6	146.000000	146	0
Hsf3	146.000000	146	0
Heph	146.000000	146	0
Ankdd1b	146.000000	146	0
4930447C04Rik	146.000000	146	0
2610524H06Rik	146.000000	146	0
Olfr635	145.000000	145	0
Gins1	145.000000	145	0
Dcaf10	145.000000	145	0
Tnrc18	144.000000	144	0
Syf2	144.000000	144	0
Rsrp1	144.000000	144	0
H3c6	144.000000	144	0
Eif4ebp2	144.000000	144	0
Stat3	143.000000	143	0
Rapgef1	143.000000	143	0
Ifna7	143.000000	143	0
Hlx	143.000000	143	0
Dhx15	143.000000	143	0
Brox	143.000000	143	0
B230219D22Rik	143.000000	143	0
Avl9	143.000000	143	0
Aida	143.000000	143	0
Sstr2	142.000000	142	0
Slc25a16	142.000000	142	0
Rbpj	142.000000	142	0
Lmna	142.000000	142	0
Adpgk	142.000000	142	0
Hnf1b	140.000000	140	0
Celf2	140.000000	140	0
Prkaa1	139.000000	139	0
Kmt2a	139.000000	139	0
Cldn34d	139.000000	139	0
Zpbp	138.000000	138	0
Zfp180	138.000000	138	0
Zdhhc14	138.000000	138	0
Xkr4	138.000000	138	0
Vamp8	138.000000	138	0
Tyrp1	138.000000	138	0
Tulp1	138.000000	138	0
Trpm1	138.000000	138	0
Trim58	138.000000	138	0
Trim50	138.000000	138	0
Tmem120b	138.000000	138	0
Tmc2	138.000000	138	0
Timm8a2	138.000000	138	0
Tdrd1	138.000000	138	0
Stpg3	138.000000	138	0
Stmn1	138.000000	138	0
Spdef	138.000000	138	0
Spata48	138.000000	138	0
Smim20	138.000000	138	0
Slc44a3	138.000000	138	0
Sectm1a	138.000000	138	0
Scgb2b1	138.000000	138	0
Runx2	138.000000	138	0
Rpusd4	138.000000	138	0
Retnla	138.000000	138	0
Rccd1	138.000000	138	0
R3hdm2	138.000000	138	0
Pdgfrl	138.000000	138	0
Olfr389	138.000000	138	0
Olfr1228	138.000000	138	0
Nkx2-6	138.000000	138	0
Nelfb	138.000000	138	0
Ncald	138.000000	138	0
Myocd	138.000000	138	0
Myo15	138.000000	138	0
Mtss2	138.000000	138	0
Ms4a1	138.000000	138	0
Lims1	138.000000	138	0
Lhx9	138.000000	138	0
L1td1	138.000000	138	0
Krt31	138.000000	138	0
Kng2	138.000000	138	0
Klk1b3	138.000000	138	0
Katnbl1	138.000000	138	0
Insm2	138.000000	138	0
Inmt	138.000000	138	0
Herc6	138.000000	138	0
Gpn3	138.000000	138	0
Gmip	138.000000	138	0
Gk5	138.000000	138	0
Ghrhr	138.000000	138	0
Gemin6	138.000000	138	0
Flvcr2	138.000000	138	0
Fam216a	138.000000	138	0
Fam118b	138.000000	138	0
Enpp2	138.000000	138	0
Dppa2	138.000000	138	0
D7Ertd443e	138.000000	138	0
Ctxn3	138.000000	138	0
Ctnnbip1	138.000000	138	0
Csf1	138.000000	138	0
Ces1d	138.000000	138	0
Ccl7	138.000000	138	0
Ccin	138.000000	138	0
Cabp2	138.000000	138	0
BC053393	138.000000	138	0
Asb17	138.000000	138	0
Apoc1	138.000000	138	0
Amotl1	138.000000	138	0
Amh	138.000000	138	0
Amer1	138.000000	138	0
Alppl2	138.000000	138	0
Acyp1	138.000000	138	0
4930438A08Rik	138.000000	138	0
Arf4	137.000000	137	0
Ap1g1	137.000000	137	0
Zfp866	136.000000	136	0
Slc22a19	136.000000	136	0
Sil1	136.000000	136	0
Phactr4	136.000000	136	0
Olfr1246	136.000000	136	0
N4bp2l1	136.000000	136	0
Luc7l	136.000000	136	0
Gpr142	136.000000	136	0
Crnkl1	136.000000	136	0
Cfap61	136.000000	136	0
9530002B09Rik	136.000000	136	0
Yeats2	135.000000	135	0
Ipo11	135.000000	135	0
Fam174b	135.000000	135	0
Cldn34c1	135.000000	135	0
Malt1	134.000000	134	0
Lypd6	134.000000	134	0
Kdm2a	134.000000	134	0
Cxxc4	134.000000	134	0
B3gat1	134.000000	134	0
Rimbp2	133.000000	133	0
Lce1a1	133.000000	133	0
Grem1	133.000000	133	0
Cytip	133.000000	133	0
Selenot	132.000000	132	0
Rara	132.000000	132	0
C130073F10Rik	132.000000	132	0
Fam71f1	131.000000	131	0
Ebf1	131.000000	131	0
5530400C23Rik	131.000000	131	0
Plg	130.000000	130	0
Cand2	130.000000	130	0
Trim8	129.000000	129	0
Tmem213	128.000000	128	0
Sla2	128.000000	128	0
Olfr957	128.000000	128	0
Ing5	128.000000	128	0
Gchfr	128.000000	128	0
Bnip3l	128.000000	128	0
Bcorl1	128.000000	128	0
Apela	128.000000	128	0
Tmx2	127.000000	127	0
Taok1	127.000000	127	0
Selenoh	127.000000	127	0
Mnat1	127.000000	127	0
Med19	127.000000	127	0
Mafg	126.000000	126	0
Cadm1	125.000000	125	0
Tuba1b	123.000000	123	0
Tecrl	121.000000	121	0
Hoxb1	121.000000	121	0
Ins2	120.000000	120	0
Eid2	120.000000	120	0
Btrc	120.000000	120	0
Zscan4b	119.000000	119	0
Zfyve19	119.000000	119	0
Zfp467	119.000000	119	0
Zfp385b	119.000000	119	0
Zfp383	119.000000	119	0
Zfp322a	119.000000	119	0
Zfp207	119.000000	119	0
Ypel5	119.000000	119	0
Xlr3a	119.000000	119	0
Xiap	119.000000	119	0
Wfdc5	119.000000	119	0
Wdr62	119.000000	119	0
Vmn1r58	119.000000	119	0
Usp17lb	119.000000	119	0
Ubash3b	119.000000	119	0
Txndc8	119.000000	119	0
Txk	119.000000	119	0
Tuba1c	119.000000	119	0
Trib2	119.000000	119	0
Tpm1	119.000000	119	0
Tnnt3	119.000000	119	0
Tnk2	119.000000	119	0
Tmem35b	119.000000	119	0
Tmem218	119.000000	119	0
Tmem109	119.000000	119	0
Tlx2	119.000000	119	0
Thoc3	119.000000	119	0
Tfcp2l1	119.000000	119	0
Tas2r137	119.000000	119	0
Suclg2	119.000000	119	0
Srrd	119.000000	119	0
Sprn	119.000000	119	0
Slc35f2	119.000000	119	0
Sec22b	119.000000	119	0
Scn3a	119.000000	119	0
Scn2a	119.000000	119	0
Scn1a	119.000000	119	0
Reps2	119.000000	119	0
Rbmy	119.000000	119	0
Rasgef1a	119.000000	119	0
Rab11fip3	119.000000	119	0
Rab11a	119.000000	119	0
Pxmp2	119.000000	119	0
Psma6	119.000000	119	0
Ppfibp2	119.000000	119	0
Pou2f1	119.000000	119	0
Pole	119.000000	119	0
Pogz	119.000000	119	0
Pnkp	119.000000	119	0
Pkn3	119.000000	119	0
Pfdn5	119.000000	119	0
Pfdn1	119.000000	119	0
Pcgf1	119.000000	119	0
Oxgr1	119.000000	119	0
Olfr685	119.000000	119	0
Olfr658	119.000000	119	0
Olfr522	119.000000	119	0
Olfr33	119.000000	119	0
Oas1g	119.000000	119	0
Npm2	119.000000	119	0
Myg1	119.000000	119	0
Mrpl23	119.000000	119	0
Mrpl12	119.000000	119	0
Mog	119.000000	119	0
Mkrn2os	119.000000	119	0
Mettl21c	119.000000	119	0
Mettl2	119.000000	119	0
Magi1	119.000000	119	0
Mag	119.000000	119	0
Lpxn	119.000000	119	0
Lipe	119.000000	119	0
Lif	119.000000	119	0
Krt4	119.000000	119	0
Kif23	119.000000	119	0
Kcnrg	119.000000	119	0
Itih4	119.000000	119	0
Itgal	119.000000	119	0
Iigp1	119.000000	119	0
Igtp	119.000000	119	0
Igsf21	119.000000	119	0
Igfbp2	119.000000	119	0
Htr6	119.000000	119	0
Hps4	119.000000	119	0
Hdac11	119.000000	119	0
Hbq1b	119.000000	119	0
Hba-x	119.000000	119	0
Grn	119.000000	119	0
Gpr68	119.000000	119	0
Gm21708	119.000000	119	0
Gm21677	119.000000	119	0
Gm2042	119.000000	119	0
Gfpt2	119.000000	119	0
Gas8	119.000000	119	0
Gabrb1	119.000000	119	0
Fcrlb	119.000000	119	0
Fastkd1	119.000000	119	0
Fam124a	119.000000	119	0
Fam107b	119.000000	119	0
Eya2	119.000000	119	0
Eif2s3y	119.000000	119	0
Dnal1	119.000000	119	0
Dnajc17	119.000000	119	0
Ddx52	119.000000	119	0
Dbndd1	119.000000	119	0
Cyp2d22	119.000000	119	0
Crhr2	119.000000	119	0
Cpeb3	119.000000	119	0
Clstn2	119.000000	119	0
Chdh	119.000000	119	0
Cfap206	119.000000	119	0
Cd1d2	119.000000	119	0
Cacna1g	119.000000	119	0
C2cd5	119.000000	119	0
Bche	119.000000	119	0
Atl3	119.000000	119	0
Apol11b	119.000000	119	0
Akap17b	119.000000	119	0
Adrb1	119.000000	119	0
Actrt2	119.000000	119	0
5730455P16Rik	119.000000	119	0
4930474N05Rik	119.000000	119	0
4921539E11Rik	119.000000	119	0
2210016F16Rik	119.000000	119	0
2010003K11Rik	119.000000	119	0
Xlr4a	117.000000	117	0
Tdpoz1	117.000000	117	0
Slc25a2	117.000000	117	0
Sh3pxd2a	117.000000	117	0
Psmd14	117.000000	117	0
Pramel13	117.000000	117	0
Plek	117.000000	117	0
Eda2r	117.000000	117	0
Cyfip2	117.000000	117	0
Cdh20	117.000000	117	0
Aicda	117.000000	117	0
2210407C18Rik	117.000000	117	0
Olfr628	116.000000	116	0
Blmh	116.000000	116	0
Adra1d	116.000000	116	0
Tram1	115.000000	115	0
Scgb2b2	115.000000	115	0
Olfr1128	115.000000	115	0
Med1	115.000000	115	0
Ly6l	115.000000	115	0
Dcpp2	115.000000	115	0
Pitpnc1	114.000000	114	0
H4c6	113.000000	113	0
H3c7	113.000000	113	0
Gm1979	113.000000	113	0
Slc22a23	110.000000	110	0
Olfr702	109.000000	109	0
Obox6	109.000000	109	0
En2	109.000000	109	0
Lrrtm1	107.000000	107	0
Ddx11	107.000000	107	0
Vps29	106.000000	106	0
Rad9b	106.000000	106	0
Cldn34a	106.000000	106	0
Jsrp1	104.000000	104	0
Tg	103.000000	103	0
Rassf9	103.000000	103	0
Gm9758	102.000000	102	0
Zfp108	101.000000	101	0
Synpr	101.000000	101	0
Svep1	101.000000	101	0
Stpg4	101.000000	101	0
Slc7a8	101.000000	101	0
Slamf7	101.000000	101	0
Sema6d	101.000000	101	0
Sbp	101.000000	101	0
Rpl11	101.000000	101	0
Rasal3	101.000000	101	0
Mrpl21	101.000000	101	0
Ly75	101.000000	101	0
Ighmbp2	101.000000	101	0
Ifi47	101.000000	101	0
Hormad1	101.000000	101	0
Gm4847	101.000000	101	0
Farp2	101.000000	101	0
Dcpp3	101.000000	101	0
D10Wsu102e	101.000000	101	0
Cxcl10	101.000000	101	0
Cmas	101.000000	101	0
Ccdc182	101.000000	101	0
Ccdc126	101.000000	101	0
Ascl1	101.000000	101	0
Wipf2	100.000000	100	0
Trim34a	100.000000	100	0
Tomm34	100.000000	100	0
Stk4	100.000000	100	0
Olfr1080	100.000000	100	0
Emp2	99.000000	99	0
Best2	93.000000	93	0
Tnfsf15	92.000000	92	0
Olfr1129	92.000000	92	0
Slc12a6	88.000000	88	0
Tmsb15b2	83.000000	83	0
Syp	83.000000	83	0
Slc2a2	83.000000	83	0
Pitrm1	83.000000	83	0
Pcare	83.000000	83	0
Mars2	83.000000	83	0
Krt20	83.000000	83	0
Klk8	83.000000	83	0
Kcnk16	83.000000	83	0
Katna1	83.000000	83	0
Havcr2	83.000000	83	0
Olfr677	82.000000	82	0
Gm6588	82.000000	82	0
Slc4a7	80.000000	80	0
Ins1	78.000000	78	0
Gpr25	77.000000	77	0
Gm7356	77.000000	77	0
Gsdmc4	74.000000	74	0
Snx3	73.000000	73	0
Serinc3	71.000000	71	0
Prr5l	66.000000	66	0
Olfr1352	66.000000	66	0
Galm	66.000000	66	0
Echdc2	66.000000	66	0
Cel	66.000000	66	0
Cd200r4	66.000000	66	0
Prkag2	64.000000	64	0
2300009A05Rik	50.000000	50	0
