Target_genes	Hoxc6|Average	SRX7416176|Embryoid_Bodies	SRX7416177|Embryoid_Bodies	SRX7416192|Embryoid_Bodies	SRX7416193|Embryoid_Bodies	SRX7416201|Embryoid_Bodies	SRX7416202|Embryoid_Bodies	SRX6755620|ES_cells	STRING
Tfpi	173.857143	0	187	298	469	160	103	0	0
Clic1	173.857143	0	0	273	313	394	237	0	0
Cldn3	173.714286	121	0	635	460	0	0	0	0
Adam9	173.714286	155	0	650	411	0	0	0	0
Vrtn	173.285714	0	0	0	0	528	685	0	0
Tjap1	173.142857	0	0	454	520	238	0	0	0
Mgat4a	173.000000	0	0	165	206	390	450	0	0
Dll4	172.714286	173	0	305	216	218	297	0	0
Ppt1	172.571429	0	0	280	334	228	366	0	0
Vmn1r2	172.428571	0	0	0	0	676	531	0	0
Rgs5	172.285714	325	189	389	303	0	0	0	0
Olfr1392	172.142857	180	190	467	368	0	0	0	0
Plrg1	172.000000	203	192	478	331	0	0	0	0
Fgb	172.000000	203	192	478	331	0	0	0	0
Lamb3	171.571429	134	0	432	253	138	244	0	0
Ccdc182	171.571429	0	125	542	534	0	0	0	0
Olfr307	171.142857	0	0	0	0	487	711	0	0
Scn3a	171.000000	270	202	423	302	0	0	0	0
Zfp667	170.714286	0	0	510	335	204	146	0	0
Sec24b	170.571429	0	0	0	0	534	660	0	0
Antxr2	170.428571	0	0	745	448	0	0	0	0
Sprr2a2	169.714286	0	0	0	0	631	557	0	0
Sprr2a1	169.714286	0	0	0	0	631	557	0	0
Far1	169.285714	118	0	628	439	0	0	0	0
Ttc12	168.857143	0	0	0	0	585	597	0	0
Vgll4	168.571429	195	0	502	483	0	0	0	0
Lrtm2	168.571429	0	0	145	0	482	553	0	0
Foxo6	168.571429	309	217	440	214	0	0	0	0
Glipr1l1	168.428571	0	155	639	385	0	0	0	0
Lrpap1	168.000000	0	0	0	0	520	656	0	0
Nkx1-2	167.857143	210	110	532	323	0	0	0	0
Upf3b	167.571429	0	0	0	0	640	533	0	0
Rbm14	167.571429	0	0	0	0	632	541	0	0
Pef1	167.571429	0	0	0	0	543	630	0	0
Gm21992	167.571429	0	0	0	0	632	541	0	0
Smyd3	167.428571	136	0	433	603	0	0	0	0
Pnn	167.428571	0	117	438	526	91	0	0	0
Dthd1	167.285714	0	0	530	641	0	0	0	0
Agpat3	167.142857	0	0	156	117	547	350	0	0
Rbfox2	167.000000	0	0	255	361	327	226	0	0
Inafm2	167.000000	0	0	237	264	380	288	0	0
Gm7592	167.000000	177	0	532	460	0	0	0	0
Ugt1a9	166.857143	165	154	306	223	128	192	0	0
Accsl	166.714286	0	0	0	0	625	542	0	0
Vwa8	166.571429	0	111	118	0	390	547	0	0
Ilkap	166.571429	0	0	419	289	233	225	0	0
Msh5	166.142857	0	0	219	313	394	237	0	0
Trpm8	166.000000	226	170	526	240	0	0	0	0
Car2	165.857143	0	0	120	127	155	759	0	0
Hexb	165.714286	0	0	0	0	631	529	0	0
Natd1	165.571429	0	0	542	617	0	0	0	0
Zbtb45	165.428571	0	0	130	158	465	405	0	0
Rcn1	165.428571	153	0	453	439	113	0	0	0
Bank1	165.428571	0	0	0	0	563	595	0	0
Tmem47	164.714286	0	0	233	680	77	163	0	0
Ccdc154	164.285714	223	0	503	424	0	0	0	0
Art3	164.285714	0	179	562	409	0	0	0	0
Rorb	164.142857	174	0	319	267	161	228	0	0
Ccnd1	164.142857	154	137	249	344	124	141	0	0
Snx10	164.000000	0	0	318	629	0	201	0	0
Igsf1	163.857143	0	0	0	0	464	683	0	0
Prss30	163.571429	0	0	0	0	619	526	0	0
Olfr646	163.571429	0	0	206	144	356	439	0	0
Hdac9	163.571429	0	0	229	140	303	473	0	0
Ccm2l	163.428571	0	0	465	294	168	217	0	0
Srek1ip1	163.285714	153	159	451	380	0	0	0	0
Ccl9	163.142857	0	0	326	497	319	0	0	0
Rax	162.857143	0	0	0	0	309	831	0	0
Jpt2	162.857143	0	0	116	108	176	740	0	0
Tmem51	162.428571	0	0	623	514	0	0	0	0
Cdh20	162.428571	0	0	198	214	397	328	0	0
Tmco6	161.714286	0	0	0	0	514	618	0	0
Cd14	161.714286	0	0	0	0	514	618	0	0
Zfp563	161.571429	111	0	597	423	0	0	0	0
Ubr7	161.428571	0	0	0	0	536	594	0	0
Hnrnpl	161.428571	0	0	418	412	0	300	0	0
Gpr141	161.428571	0	0	0	0	607	523	0	0
Gon7	161.428571	0	0	0	0	536	594	0	0
Gm20604	161.428571	0	0	0	0	536	594	0	0
Ccdc12	161.428571	0	0	277	330	255	268	0	0
Tlk1	161.285714	130	0	389	393	0	217	0	0
Bin2	161.285714	0	0	0	0	236	893	0	0
Ppp2r2a	161.142857	0	180	372	576	0	0	0	0
Atp5g2	161.142857	0	0	420	405	145	158	0	0
Olfr893	160.857143	209	214	455	248	0	0	0	0
Iapp	160.857143	0	0	0	0	244	882	0	0
Sesn2	160.571429	0	0	0	0	574	550	0	0
Rbpms	160.571429	0	0	0	171	512	441	0	0
Ncoa5	160.571429	0	0	0	101	406	617	0	0
Tpm3	160.428571	0	0	197	226	284	416	0	0
Srrm4	160.428571	0	0	118	129	583	293	0	0
Gbe1	160.285714	238	214	450	220	0	0	0	0
Dctd	160.142857	0	0	294	328	150	349	0	0
Thsd4	160.000000	162	0	473	485	0	0	0	0
Vmn2r12	159.857143	0	0	0	0	590	529	0	0
Sez6	159.857143	0	0	171	145	465	338	0	0
Med13l	159.857143	175	132	461	351	0	0	0	0
Pard3	159.714286	166	255	189	221	148	139	0	0
Hoxa3	159.428571	0	0	322	329	297	168	0	0
Ciita	159.428571	0	134	559	423	0	0	0	0
Sdk2	159.142857	265	164	403	282	0	0	0	0
Rasgef1c	159.142857	95	0	427	592	0	0	0	0
Zfp423	159.000000	0	0	0	0	424	689	0	0
Tmem71	158.857143	295	0	316	501	0	0	0	0
Ramp3	158.714286	188	0	543	380	0	0	0	0
Ptpn6	158.571429	0	0	754	356	0	0	0	0
Klhl5	158.428571	0	0	186	285	325	313	0	0
Bpifb9a	158.428571	0	0	0	0	321	788	0	0
Jag1	158.285714	193	157	407	351	0	0	0	0
Fam210b	158.285714	232	100	437	339	0	0	0	0
Prok2	158.142857	177	0	463	467	0	0	0	0
Epp13	158.142857	0	0	0	0	540	567	0	0
Thnsl1	158.000000	148	0	627	331	0	0	0	0
Enkur	158.000000	148	0	627	331	0	0	0	0
C1qtnf6	157.714286	0	0	179	191	300	434	0	0
Acsf3	157.714286	247	187	419	251	0	0	0	0
Ppp3ca	157.571429	0	0	252	181	273	397	0	0
Ago1	157.571429	0	111	500	395	97	0	0	0
Tbp	157.428571	0	0	220	321	250	311	0	0
Psmb1	157.428571	0	0	220	321	250	311	0	0
Khdc4	157.428571	0	77	188	209	326	302	0	0
Zfp2	157.285714	409	530	162	0	0	0	0	0
AB010352	157.285714	0	0	111	132	374	484	0	0
Gpm6a	157.142857	0	168	439	186	188	119	0	0
Pm20d1	157.000000	0	165	281	283	186	184	0	0
Zmynd8	156.857143	0	0	258	232	312	296	0	0
Snx18	156.857143	0	0	539	559	0	0	0	0
Sgk1	156.857143	0	0	413	286	195	204	0	0
Mocs2	156.857143	0	0	314	206	259	319	0	0
Hes7	156.857143	0	0	474	624	0	0	0	0
Aloxe3	156.857143	0	0	474	624	0	0	0	0
Faiml	156.714286	0	0	330	269	280	218	0	0
Cryab	156.714286	0	0	0	0	304	793	0	0
Clnk	156.714286	166	145	361	425	0	0	0	0
Rps10	156.285714	0	0	0	0	645	449	0	0
Tmem170	156.000000	0	0	299	122	332	339	0	0
Akap9	155.857143	0	0	147	193	285	466	0	0
Trit1	155.714286	270	0	490	330	0	0	0	0
Nectin3	155.571429	0	0	0	0	546	543	0	0
Tnrc18	155.428571	0	0	436	328	123	201	0	0
Ssc5d	155.142857	198	0	388	170	178	152	0	0
Nat14	155.142857	198	0	388	170	178	152	0	0
Rps15a	154.714286	0	0	201	149	336	397	0	0
Cryzl2	154.714286	127	0	325	515	0	116	0	0
Sbk1	154.571429	0	0	447	270	223	142	0	0
Zfp672	154.285714	137	0	448	370	125	0	0	0
Epb41l5	154.285714	144	0	234	225	236	241	0	0
S100a3	154.142857	0	0	0	0	287	464	328	0
Lrrtm2	153.857143	0	134	521	422	0	0	0	0
Hdhd5	153.857143	117	0	0	0	574	386	0	0
Dnajc1	153.857143	189	153	418	317	0	0	0	0
Fam187a	153.571429	0	0	604	471	0	0	0	0
Cic	153.428571	0	0	288	231	346	209	0	0
Apela	153.285714	0	0	237	281	555	0	0	0
Qser1	153.142857	145	0	427	224	160	116	0	0
Ankrd40	153.142857	0	0	382	369	180	141	0	0
Aard	153.142857	0	0	353	339	174	206	0	0
Zswim1	152.857143	0	0	0	0	246	824	0	0
AA623943	152.857143	129	179	460	302	0	0	0	0
Pou5f1	152.571429	0	0	0	0	504	564	0	0
Sfxn1	152.428571	0	0	0	0	692	375	0	0
Cog6	152.285714	0	0	0	0	279	787	0	0
Cma2	152.285714	0	0	0	0	544	522	0	0
R3hdm2	152.142857	0	0	339	237	185	304	0	0
Nampt	152.142857	0	0	176	162	355	372	0	0
Ctxn2	152.000000	0	0	0	0	599	465	0	0
Rsph4a	151.857143	0	0	0	0	645	418	0	0
Calcrl	151.714286	0	0	0	0	487	575	0	0
Yjefn3	151.428571	0	0	222	0	334	504	0	0
Gas2	151.428571	268	137	329	326	0	0	0	0
Fancf	151.428571	268	137	329	326	0	0	0	0
Hipk2	151.285714	154	0	450	314	141	0	0	0
Dpp10	151.285714	0	0	0	0	475	584	0	0
Ccdc121	151.285714	0	0	0	0	323	736	0	0
Rbms1	151.142857	0	0	233	112	412	301	0	0
Kifc3	151.142857	0	0	341	512	0	205	0	0
Gm17019	151.000000	0	0	132	216	198	511	0	0
Fzd5	151.000000	0	0	0	0	441	616	0	0
Zfp770	150.857143	0	0	196	0	188	672	0	0
Naaladl2	150.857143	89	0	122	111	348	386	0	0
Celf4	150.714286	0	0	276	409	155	215	0	0
Thra	150.571429	0	0	0	0	506	548	0	0
Eif5	150.571429	0	0	347	346	149	212	0	0
Xrra1	150.142857	144	0	487	420	0	0	0	0
Spcs2	150.142857	144	0	487	420	0	0	0	0
Vmn1r212	150.000000	0	0	0	0	395	655	0	0
Rapgef2	150.000000	0	0	475	575	0	0	0	0
Pttg1ip2	150.000000	133	0	524	393	0	0	0	0
Ppm1a	150.000000	0	0	222	214	376	238	0	0
Pdpn	149.857143	0	0	193	199	334	323	0	0
Mllt10	149.857143	0	0	610	215	135	89	0	0
Epha1	149.857143	0	0	122	0	486	441	0	0
Cxxc5	149.857143	0	0	281	159	292	317	0	0
Kcnk5	149.571429	176	133	449	289	0	0	0	0
Ebf3	149.571429	295	233	235	284	0	0	0	0
Liph	149.428571	0	0	425	264	145	212	0	0
Cwc27	149.428571	153	159	354	380	0	0	0	0
Smarcd1	149.285714	0	0	242	316	161	326	0	0
Hjurp	149.285714	0	0	0	141	460	444	0	0
A730008H23Rik	149.285714	0	0	0	141	460	444	0	0
Oasl1	149.142857	169	202	0	0	0	190	483	0
Mlip	149.142857	390	0	291	251	0	112	0	0
Lpar4	149.142857	0	0	397	245	116	286	0	0
Cacnb4	149.000000	0	0	481	562	0	0	0	0
Lrrc6	148.857143	0	0	0	0	411	631	0	0
Ifna4	148.857143	0	0	0	0	544	498	0	0
Nfam1	148.714286	157	0	349	233	167	135	0	0
Marveld1	148.714286	0	0	0	0	504	537	0	0
Ssh2	148.428571	196	259	277	307	0	0	0	0
Ank3	148.285714	0	0	218	0	486	334	0	0
Fndc9	148.142857	0	0	0	0	1037	0	0	0
Rdx	148.000000	0	0	0	0	541	495	0	0
Ranbp9	148.000000	0	163	367	506	0	0	0	0
1810046K07Rik	148.000000	0	0	0	0	583	453	0	0
Rpl13	147.857143	0	0	311	259	209	256	0	0
Capn10	147.857143	300	169	285	281	0	0	0	0
Atxn7l1	147.857143	0	0	145	166	165	312	247	0
Serpina5	147.714286	0	0	0	0	537	497	0	0
H2bc22	147.714286	0	0	193	0	386	455	0	0
H2ac22	147.714286	0	0	193	0	386	455	0	0
Gopc	147.714286	0	0	0	0	530	504	0	0
Mnx1	147.428571	0	0	460	245	0	327	0	0
Ripk4	147.285714	0	0	0	0	317	714	0	0
Lipg	147.285714	0	0	0	0	253	778	0	0
Ptk7	147.142857	0	0	183	192	385	270	0	0
Prox2	147.142857	317	177	272	264	0	0	0	0
Arid1a	147.000000	0	0	447	498	84	0	0	0
Arhgef3	147.000000	0	0	0	0	506	523	0	0
Tmem35a	146.857143	0	0	0	0	243	785	0	0
Nxph4	146.857143	92	0	194	237	181	324	0	0
Glra1	146.857143	0	0	0	155	543	330	0	0
Fgf6	146.857143	0	0	0	0	650	378	0	0
Adcyap1	146.714286	0	0	130	0	331	566	0	0
Msi1	146.571429	0	126	560	221	0	119	0	0
Heatr3	146.571429	0	0	0	0	290	736	0	0
Gins2	146.428571	0	0	0	0	656	369	0	0
Ptpn3	146.285714	0	0	168	139	382	335	0	0
Il13	146.285714	0	0	0	0	359	665	0	0
Cdk16	146.285714	0	0	516	508	0	0	0	0
Lingo4	146.142857	134	0	497	392	0	0	0	0
Tex26	146.000000	0	0	0	121	335	566	0	0
Nme6	146.000000	171	0	493	358	0	0	0	0
Rora	145.857143	0	0	145	167	434	275	0	0
Rab27a	145.857143	182	0	431	408	0	0	0	0
Setbp1	145.714286	0	0	129	221	400	270	0	0
Fam222a	145.714286	0	0	229	156	365	270	0	0
Qk	145.571429	0	128	320	276	132	163	0	0
Lrrn4	145.428571	0	0	0	0	434	584	0	0
Zfp991	145.285714	0	0	0	0	527	490	0	0
Shcbp1l	145.285714	0	0	0	0	666	351	0	0
Etfa	145.285714	0	0	316	239	0	0	462	0
Mbl1	144.857143	0	145	618	251	0	0	0	0
Abl1	144.714286	0	0	0	127	382	504	0	0
Pag1	144.571429	0	0	249	271	236	256	0	0
Gm5136	144.571429	78	0	364	570	0	0	0	0
Gadd45gip1	144.571429	199	0	461	352	0	0	0	0
Barhl1	144.571429	0	0	0	0	723	289	0	0
Kansl1l	144.428571	0	0	498	261	82	170	0	0
Hspb2	144.285714	0	0	0	0	217	793	0	0
Phf20	144.142857	0	0	0	0	524	485	0	0
Eapp	144.000000	0	0	334	338	162	174	0	0
Cdhr1	144.000000	0	0	80	144	526	258	0	0
Sptbn4	143.714286	0	0	0	0	160	846	0	0
Nr2f2	143.714286	165	0	576	265	0	0	0	0
Actr3b	143.142857	201	164	321	316	0	0	0	0
Slc23a4	143.000000	148	0	512	341	0	0	0	0
Ptgds	143.000000	211	187	339	264	0	0	0	0
Foxd3	143.000000	160	217	345	279	0	0	0	0
Rubcn	142.857143	0	0	457	543	0	0	0	0
Fyttd1	142.857143	0	0	457	543	0	0	0	0
Mn1	142.714286	0	148	434	417	0	0	0	0
Luc7l2	142.714286	268	326	405	0	0	0	0	0
Crybb2	142.714286	0	0	0	0	491	508	0	0
Tdgf1	142.428571	0	0	0	0	437	560	0	0
Syt2	142.428571	213	165	380	239	0	0	0	0
Lrrc2	142.428571	0	0	0	0	437	560	0	0
Wdr76	142.285714	0	0	191	0	340	465	0	0
Mfap1a	142.285714	0	0	191	0	340	465	0	0
Ajap1	142.285714	0	0	466	213	0	317	0	0
H3c8	142.142857	481	357	157	0	0	0	0	0
Smim40	142.000000	0	0	0	0	482	512	0	0
Daxx	142.000000	0	0	0	0	482	512	0	0
Zfhx2	141.857143	0	0	0	0	314	679	0	0
Tlx1	141.857143	147	0	148	0	464	234	0	0
Thtpa	141.857143	0	0	0	0	314	679	0	0
Fsd1l	141.571429	0	0	0	0	478	513	0	0
Syt17	141.285714	169	0	239	216	0	365	0	0
Meis1	141.142857	0	0	170	192	291	335	0	0
Prim1	140.857143	0	0	0	0	719	267	0	0
Nrxn1	140.857143	204	0	369	413	0	0	0	0
Hsd17b6	140.857143	0	0	0	0	719	267	0	0
Islr	140.714286	0	0	0	0	0	0	985	0
Foxq1	140.571429	0	0	0	0	191	793	0	0
Ext1	140.571429	0	0	70	0	361	553	0	0
Tnfsfm13	140.428571	0	0	0	0	549	434	0	0
Tnfsf12	140.428571	0	0	0	0	549	434	0	0
Olfr1312	140.428571	0	0	0	0	522	461	0	0
Chst15	140.428571	0	0	118	0	264	601	0	0
Riok3	140.285714	0	0	114	84	277	507	0	0
Lars	140.285714	0	0	174	0	404	404	0	0
Lum	140.142857	0	0	0	0	625	356	0	0
Iglon5	140.142857	0	0	377	290	151	163	0	0
Chrdl1	140.142857	0	0	0	0	542	439	0	0
Mrtfb	140.000000	0	0	169	214	259	338	0	0
Adck1	139.857143	0	0	157	0	0	822	0	0
Sparcl1	139.714286	245	268	258	207	0	0	0	0
Nmnat3	139.714286	0	0	379	599	0	0	0	0
Zfp982	139.428571	0	0	0	0	442	534	0	0
Mrpl33	139.428571	0	0	181	303	177	315	0	0
H2-Ea	139.428571	0	0	90	0	269	617	0	0
Tbx18	139.285714	0	0	0	0	440	535	0	0
Rab3gap1	139.285714	0	0	181	364	257	173	0	0
Car9	139.285714	0	0	0	0	410	565	0	0
Arhgef39	139.285714	0	0	0	0	410	565	0	0
Wdyhv1	139.142857	0	0	353	238	140	243	0	0
Tox	139.000000	0	0	0	0	597	376	0	0
Znrf4	138.857143	0	0	649	323	0	0	0	0
Grm3	138.857143	0	0	177	112	393	290	0	0
Tank	138.714286	0	0	211	0	509	251	0	0
Ccn2	138.714286	0	0	0	0	429	542	0	0
Raet1e	138.571429	0	0	0	0	424	546	0	0
Raet1a	138.571429	0	0	0	0	424	546	0	0
B3gat3	138.571429	0	0	0	0	254	716	0	0
Gpr142	138.428571	0	0	402	273	294	0	0	0
Alk	138.428571	284	191	346	148	0	0	0	0
Btbd8	138.285714	113	0	406	449	0	0	0	0
Cuedc1	138.142857	0	0	0	182	410	375	0	0
Vamp9	138.000000	0	0	265	246	238	217	0	0
Cdh6	138.000000	0	133	462	371	0	0	0	0
Aktip	137.857143	0	0	151	127	140	547	0	0
Wapl	137.714286	0	100	210	180	233	241	0	0
Tbata	137.714286	0	0	0	0	245	379	340	0
Porcn	137.571429	0	0	0	0	146	817	0	0
Mlxip	137.571429	0	0	0	0	594	369	0	0
Rfx6	137.428571	357	380	225	0	0	0	0	0
Helb	137.428571	0	0	0	0	393	569	0	0
Gbp9	137.428571	0	0	0	0	807	155	0	0
Sh3pxd2a	137.285714	0	0	600	361	0	0	0	0
Ppm1k	137.285714	0	0	417	130	126	288	0	0
Ric8b	137.142857	0	0	272	202	277	209	0	0
Pdcd4	137.142857	0	0	281	260	232	187	0	0
E130308A19Rik	137.000000	0	0	376	583	0	0	0	0
Lhfpl3	136.857143	0	0	340	394	0	224	0	0
Slc46a3	136.714286	0	0	0	0	615	342	0	0
Otp	136.714286	0	243	279	435	0	0	0	0
6430548M08Rik	136.714286	0	0	255	345	0	357	0	0
Atp8a1	136.571429	0	0	164	154	367	271	0	0
Gpr21	136.428571	0	0	0	0	427	528	0	0
Atat1	136.428571	0	0	355	451	149	0	0	0
Prdm8	136.285714	106	0	485	363	0	0	0	0
Gpr1	136.285714	138	0	298	391	127	0	0	0
Soat2	136.142857	204	176	312	261	0	0	0	0
Rgs16	136.000000	106	132	218	84	236	176	0	0
Engase	136.000000	0	0	0	0	423	529	0	0
Phldb2	135.857143	242	135	225	137	212	0	0	0
Exoc1	135.857143	0	0	149	203	352	247	0	0
Snx20	135.714286	0	0	0	0	281	669	0	0
Apcs	135.714286	141	0	458	351	0	0	0	0
Siah1a	135.571429	0	0	0	0	392	557	0	0
Defa6	135.571429	174	0	218	132	219	206	0	0
Defa24	135.571429	174	0	218	132	219	206	0	0
Vpreb3	135.428571	0	0	303	174	219	252	0	0
Gm867	135.428571	0	0	303	174	219	252	0	0
Fignl2	135.428571	0	0	561	387	0	0	0	0
Teddm3	135.285714	0	0	0	0	631	316	0	0
Olfm1	135.285714	0	0	207	0	204	536	0	0
Myt1l	135.285714	243	0	272	299	133	0	0	0
Med18	135.285714	0	0	0	0	470	477	0	0
D630039A03Rik	135.285714	0	0	0	0	435	512	0	0
Slc44a5	135.142857	0	0	0	0	255	691	0	0
Rtl3	135.142857	0	0	0	0	440	506	0	0
Pltp	135.000000	0	0	134	0	382	429	0	0
Erbb4	134.857143	0	0	130	0	448	366	0	0
Cybc1	134.857143	0	0	0	0	611	333	0	0
Zdhhc17	134.714286	291	0	262	0	0	390	0	0
Spred2	134.714286	0	191	408	344	0	0	0	0
Rsc1a1	134.714286	0	0	534	409	0	0	0	0
Ifnar1	134.714286	0	0	0	0	613	330	0	0
Ephb3	134.714286	0	0	315	184	176	268	0	0
Pcbp2	134.571429	0	0	179	271	207	285	0	0
Kcng3	134.428571	0	0	0	0	534	407	0	0
Grm2	134.428571	96	0	330	515	0	0	0	0
Slco4c1	134.285714	0	0	0	0	345	595	0	0
Pepd	134.285714	0	0	445	326	169	0	0	0
Kmt5a	134.285714	0	0	611	329	0	0	0	0
Kif21a	134.285714	147	0	420	373	0	0	0	0
Siah3	134.142857	0	0	390	444	105	0	0	0
Cdh13	134.142857	0	0	127	0	468	344	0	0
Nol4l	134.000000	0	0	168	122	278	370	0	0
Actr3	134.000000	128	129	292	169	0	220	0	0
Mfng	133.857143	0	0	339	339	259	0	0	0
Igsf21	133.714286	0	0	674	262	0	0	0	0
Dkk4	133.714286	0	0	0	0	198	738	0	0
Tle6	133.571429	0	0	371	564	0	0	0	0
Cd86	133.428571	462	315	157	0	0	0	0	0
Me3	133.285714	95	87	306	445	0	0	0	0
Sipa1l2	133.142857	0	0	706	226	0	0	0	0
Olfr372	133.142857	282	166	247	237	0	0	0	0
Ints9	133.142857	113	0	328	380	111	0	0	0
Hmbox1	133.142857	113	0	328	380	111	0	0	0
Tnfaip8l3	133.000000	272	167	244	248	0	0	0	0
Mthfsl	132.857143	0	175	477	278	0	0	0	0
Ankrd63	132.857143	0	0	0	0	383	547	0	0
Ndufb4	132.714286	0	0	0	0	429	500	0	0
Gpr61	132.714286	0	150	430	349	0	0	0	0
Zfp36l3	132.428571	0	0	0	0	481	446	0	0
Zfp97	132.142857	0	0	107	191	442	185	0	0
Zfp33b	132.142857	0	0	0	0	439	486	0	0
Ppp1r12a	132.000000	0	0	0	0	364	560	0	0
Sf3a3	131.857143	0	0	0	0	171	752	0	0
Lima1	131.714286	0	0	181	235	300	206	0	0
Kcnab1	131.428571	0	0	546	374	0	0	0	0
Dydc2	131.428571	0	0	0	0	372	548	0	0
Tecrl	131.285714	0	0	180	372	161	206	0	0
Shc4	131.285714	0	0	0	112	324	483	0	0
Spata13	131.142857	0	0	259	207	215	237	0	0
Ralgapa1	131.142857	0	0	584	334	0	0	0	0
Zfp87	130.714286	0	0	0	0	552	363	0	0
Rnf2	130.714286	0	0	322	593	0	0	0	0
Kctd3	130.428571	0	0	202	377	179	155	0	0
Tmem185a	130.285714	0	0	0	0	425	487	0	0
Slc25a53	130.285714	0	0	0	0	542	370	0	0
Pard3b	130.285714	0	0	497	415	0	0	0	0
Gfod1	130.285714	0	0	218	251	192	251	0	0
Dhx9	130.285714	0	204	454	254	0	0	0	0
Alg8	130.285714	0	0	0	0	396	516	0	0
Rex2	130.142857	0	0	0	0	487	424	0	0
Nms	130.142857	480	431	0	0	0	0	0	0
Mapt	130.142857	163	212	243	293	0	0	0	0
Ifitm7	130.142857	0	0	0	0	552	359	0	0
Bmerb1	130.142857	0	0	0	0	552	359	0	0
Stra6l	130.000000	0	0	179	155	305	271	0	0
D7Ertd443e	130.000000	163	146	145	111	161	184	0	0
Cntnap2	129.857143	201	0	169	0	247	292	0	0
Nefl	129.714286	0	0	200	343	207	158	0	0
Eogt	129.714286	144	179	390	195	0	0	0	0
Ttc9b	129.571429	0	0	0	0	480	427	0	0
Aunip	129.571429	0	0	0	0	372	535	0	0
Nek9	129.428571	142	0	394	370	0	0	0	0
Apobec3	129.428571	163	156	361	226	0	0	0	0
Supt6	129.285714	0	0	110	166	261	368	0	0
Sdf2	129.285714	0	0	110	166	261	368	0	0
Rnf111	129.285714	0	137	278	278	0	212	0	0
Tfeb	129.142857	0	0	145	0	306	453	0	0
Nrcam	129.142857	0	0	0	0	385	519	0	0
Nkx3-1	129.142857	0	0	0	0	586	318	0	0
Mtg1	129.142857	153	0	496	255	0	0	0	0
Igf2bp3	129.142857	294	0	257	240	0	113	0	0
Tbcc	129.000000	0	0	427	341	135	0	0	0
Olfr1344	129.000000	0	0	201	256	446	0	0	0
Higd1a	129.000000	154	162	288	299	0	0	0	0
T2	128.857143	0	0	107	160	190	445	0	0
3425401B19Rik	128.857143	0	141	407	354	0	0	0	0
Zfp148	128.714286	204	0	400	297	0	0	0	0
Wfdc16	128.714286	0	0	0	0	249	652	0	0
Plin3	128.714286	0	0	0	0	381	520	0	0
Mettl7a3	128.571429	0	0	218	277	209	196	0	0
Dnttip2	128.571429	0	0	0	0	436	464	0	0
Olfr1151	128.428571	0	0	0	0	468	431	0	0
Ubxn4	128.285714	186	0	439	273	0	0	0	0
Jak2	128.285714	0	0	438	233	0	227	0	0
Zfp318	128.142857	0	0	233	143	251	270	0	0
Acp6	128.000000	0	0	0	0	508	388	0	0
Rbms2	127.857143	113	139	291	352	0	0	0	0
Olfr473	127.714286	0	0	0	0	520	374	0	0
Olfr126	127.714286	0	0	0	0	171	723	0	0
Abracl	127.714286	175	102	378	239	0	0	0	0
Pafah1b1	127.285714	0	0	541	350	0	0	0	0
Spryd4	127.142857	0	0	0	144	522	224	0	0
Neil1	127.142857	0	0	407	173	156	154	0	0
Atg10	127.142857	0	0	249	98	304	239	0	0
Zfp462	127.000000	0	0	293	182	131	283	0	0
Tsen34	126.857143	0	0	306	254	117	211	0	0
Tpcn1	126.857143	0	0	0	0	266	622	0	0
Mboat7	126.857143	0	0	306	254	117	211	0	0
Iqcd	126.857143	0	0	0	0	266	622	0	0
Trim62	126.714286	0	0	190	101	315	281	0	0
Rps6ka5	126.428571	0	0	243	0	239	403	0	0
Pou1f1	126.428571	246	0	377	262	0	0	0	0
Olfr1497	126.428571	0	0	0	0	537	348	0	0
Fstl1	126.428571	0	0	158	0	247	480	0	0
Dsc2	126.428571	99	0	419	367	0	0	0	0
Eda	126.285714	325	220	90	249	0	0	0	0
D430019H16Rik	126.285714	0	0	169	122	259	334	0	0
Xkrx	126.142857	221	123	395	144	0	0	0	0
Srpk2	126.142857	0	0	531	352	0	0	0	0
Rgs12	126.142857	0	0	0	0	448	435	0	0
Chfr	126.000000	168	0	411	303	0	0	0	0
Esrp1	125.857143	0	0	0	0	458	423	0	0
Trak1	125.714286	0	0	137	0	196	300	247	0
Sh2d5	125.714286	0	0	0	0	358	522	0	0
Elavl1	125.571429	214	157	336	172	0	0	0	0
Vmn1r3	125.285714	0	0	0	0	533	344	0	0
Lyrm9	125.285714	230	205	442	0	0	0	0	0
Cep70	125.142857	0	0	330	269	93	184	0	0
Trh	125.000000	0	0	0	0	432	443	0	0
Shroom3	125.000000	0	0	0	0	595	280	0	0
Psg27	124.857143	0	0	0	0	563	311	0	0
Fmn2	124.857143	0	137	259	478	0	0	0	0
Caly	124.857143	0	0	0	0	410	464	0	0
Hspb8	124.714286	0	0	134	0	156	583	0	0
Ttc37	124.571429	0	0	490	382	0	0	0	0
Mapre2	124.571429	0	0	372	500	0	0	0	0
Arsk	124.571429	0	0	490	382	0	0	0	0
Dkk1	124.428571	0	0	0	0	341	530	0	0
Tubb4b	124.285714	0	0	410	460	0	0	0	0
M6pr	124.285714	0	0	131	155	584	0	0	0
Etv5	124.285714	0	0	150	127	470	123	0	0
Rab8b	124.142857	0	0	0	0	0	0	869	0
Cdx2	124.142857	0	0	0	0	188	681	0	0
H13	124.000000	94	0	434	340	0	0	0	0
Smad5	123.857143	203	0	485	179	0	0	0	0
