Target_genes	Foxc2|Average	SRX4309875|Kidney_Glomerulus	SRX17535190|Podocytes	SRX17535191|Podocytes	SRX17535192|Podocytes	SRX17535193|Podocytes	SRX17535194|Podocytes	SRX17535195|Podocytes	STRING
Large1	306.142857	0	525	504	314	224	278	298	0
Trafd1	305.857143	0	421	453	314	415	282	256	0
Ankrd28	305.857143	0	725	600	437	0	222	157	0
Tmem17	305.714286	0	603	467	349	226	236	259	0
Nrg2	305.714286	0	394	467	261	365	295	358	0
Chd9	305.714286	0	685	446	406	229	177	197	0
Dlg5	305.571429	0	485	654	360	223	172	245	0
Tiprl	305.428571	0	547	591	301	183	230	286	0
Opn3	305.285714	0	875	575	469	118	0	100	0
Dync1li1	305.285714	0	495	621	374	216	206	225	0
Chml	305.285714	0	875	575	469	118	0	100	0
Spa17	305.142857	0	367	342	344	328	435	320	0
Siae	305.142857	0	367	342	344	328	435	320	0
Plekhh2	305.142857	0	655	460	308	254	265	194	0
Tmem129	305.000000	0	670	655	440	100	144	126	0
Tacc3	305.000000	0	670	655	440	100	144	126	0
Lrrn1	305.000000	0	497	619	415	196	255	153	0
Rmi1	304.857143	0	414	476	478	242	326	198	0
Kpnb1	304.857143	0	501	591	397	254	213	178	0
Hnrnpk	304.857143	0	414	476	478	242	326	198	0
Zfp809	304.142857	0	476	617	329	192	239	276	0
Lrrc24	304.142857	0	326	566	295	293	284	365	0
Epb41l1	304.142857	0	330	270	176	441	498	414	0
C030006K11Rik	304.142857	0	326	566	295	293	284	365	0
Imp3	304.000000	0	531	433	209	257	403	295	0
Sox21	303.857143	0	466	483	297	222	414	245	0
Acot2	303.857143	0	454	555	400	299	259	160	0
Riok1	303.714286	0	562	493	378	231	172	290	0
Cage1	303.714286	0	562	493	378	231	172	290	0
Larp4	303.571429	0	520	532	407	155	273	238	0
Tubg2	303.285714	0	440	494	281	307	317	284	0
Sox6	303.285714	0	444	398	271	399	274	337	0
Gadd45g	303.285714	0	507	545	315	234	305	217	0
Zfp51	303.142857	0	539	375	373	313	257	265	0
Usp12	303.142857	0	524	473	406	184	292	243	0
Morf4l2	303.142857	0	493	645	431	151	258	144	0
Gatb	303.142857	0	505	467	443	270	242	195	0
Zfand3	302.571429	0	351	466	305	308	359	329	0
Pyroxd2	302.428571	0	540	545	535	107	225	165	0
Fzd5	302.285714	0	595	506	335	0	419	261	0
Spsb4	302.142857	0	619	539	437	150	194	176	0
Ubqln1	302.000000	0	511	501	300	244	345	213	0
Slc25a17	301.571429	0	367	446	221	302	310	465	0
Tnik	301.428571	0	465	586	245	211	298	305	0
Iqub	301.428571	0	501	405	275	282	388	259	0
Fads3	301.428571	0	529	533	400	202	207	239	0
Capn7	301.428571	0	570	605	409	138	193	195	0
Usp28	301.285714	0	564	607	389	133	220	196	0
Rbbp6	301.142857	0	499	470	442	205	307	185	0
Stn1	300.857143	0	523	572	453	153	220	185	0
Rab38	300.714286	0	506	492	436	111	315	245	0
Dpy19l3	300.714286	0	418	537	343	310	270	227	0
Anapc10	300.714286	0	517	499	334	296	256	203	0
Abce1	300.714286	0	517	499	334	296	256	203	0
Plcb1	300.571429	0	655	450	375	199	231	194	0
Ppp2r1a	300.285714	0	503	567	364	216	231	221	0
Brpf1	300.142857	0	533	557	421	147	287	156	0
Uhrf1bp1l	300.000000	0	664	763	325	172	176	0	0
Uba3	300.000000	0	502	752	341	97	259	149	0
Mios	300.000000	0	512	686	347	155	204	196	0
Itprid2	299.857143	0	619	724	352	124	143	137	0
Vps13c	299.714286	0	487	411	171	349	297	383	0
Rab4b	299.428571	0	575	673	427	151	131	139	0
Crbn	299.285714	0	542	495	300	282	305	171	0
Gstm4	299.142857	0	501	603	291	272	278	149	0
Tango2	298.857143	0	355	437	264	266	431	339	0
Slc41a3	298.857143	0	358	503	251	281	293	406	0
Rnf138	298.714286	0	575	521	402	187	215	191	0
Idh2	298.571429	0	562	744	380	97	197	110	0
Osbpl9	298.285714	0	612	613	331	164	236	132	0
Tcf19	298.142857	0	455	474	326	219	311	302	0
Cchcr1	298.142857	0	455	474	326	219	311	302	0
Pgap2	298.000000	0	602	561	249	212	241	221	0
Nup98	298.000000	0	602	561	249	212	241	221	0
Bub1b	298.000000	0	435	463	405	316	260	207	0
Phax	297.714286	0	586	613	267	130	280	208	0
Mertk	297.714286	0	499	579	340	216	244	206	0
Aldh7a1	297.714286	0	586	613	267	130	280	208	0
Tacstd2	297.428571	0	500	733	213	164	229	243	0
Tent2	296.714286	0	471	599	527	111	123	246	0
Perp	296.714286	0	377	274	118	304	576	428	0
Lims1	296.285714	0	714	599	375	0	199	187	0
Asf1a	296.285714	0	423	583	369	219	293	187	0
Slc9a7	295.714286	0	634	411	274	190	279	282	0
Sh3d19	295.714286	112	616	510	334	200	298	0	0
Kdm7a	295.714286	0	685	413	337	243	160	232	0
Dnm1l	295.714286	0	598	638	422	0	264	148	0
Otud6b	295.571429	0	482	570	269	331	273	144	0
Zfp503	295.428571	0	311	548	393	230	369	217	0
Tbc1d14	295.285714	0	565	564	395	182	185	176	0
Aprt	295.142857	0	570	503	360	203	187	243	0
Numa1	295.000000	0	523	493	287	269	190	303	0
Raly	294.857143	0	495	472	376	219	304	198	0
Rad54l2	294.571429	0	201	229	0	521	570	541	0
Zfp664	294.428571	0	567	551	430	89	159	265	0
Ccdc92	294.428571	0	567	551	430	89	159	265	0
Zfyve1	294.142857	0	507	566	366	152	223	245	0
Them4	294.142857	0	696	524	392	117	220	110	0
Szrd1	294.142857	0	638	415	333	156	248	269	0
Calr3	294.142857	0	467	409	372	294	291	226	0
Anapc5	294.142857	0	380	463	324	282	334	276	0
Rbm47	294.000000	0	638	479	421	142	165	213	0
Mief1	293.428571	0	423	549	449	279	160	194	0
Urgcp	293.142857	0	472	596	354	168	283	179	0
Sde2	293.142857	0	656	528	287	127	240	214	0
Cep85	293.142857	0	541	519	299	245	260	188	0
Agap1	293.000000	0	487	504	346	234	228	252	0
Tulp4	292.714286	0	546	598	323	142	302	138	0
Mbtps1	292.714286	0	484	414	310	142	321	378	0
Cox20	292.571429	0	440	392	400	261	313	242	0
Hnrnpc	292.142857	0	565	478	234	206	259	303	0
Kctd6	292.000000	0	617	478	360	187	270	132	0
Frmd6	292.000000	0	451	635	457	124	210	167	0
Scyl1	291.857143	0	482	552	408	220	267	114	0
Relb	291.857143	0	462	499	281	242	279	280	0
Gbe1	291.857143	0	514	514	373	150	351	141	0
Zgrf1	291.714286	0	461	436	279	261	381	224	0
Larp7	291.714286	0	461	436	279	261	381	224	0
Fam43a	291.714286	0	512	567	316	250	183	214	0
Prpf39	291.285714	0	494	515	361	243	222	204	0
Spcs3	291.142857	0	462	526	364	155	284	247	0
Sirt4	291.142857	0	463	492	263	302	255	263	0
Klf10	291.142857	0	619	633	371	105	156	154	0
Far1	291.142857	0	542	540	348	206	202	200	0
Sumo2	291.000000	0	413	374	231	278	368	373	0
Ncapg2	291.000000	0	594	437	243	299	187	277	0
Cul5	291.000000	0	669	447	288	193	253	187	0
Hspa9	290.571429	0	435	422	436	147	287	307	0
Smn1	290.428571	0	426	523	488	176	196	224	0
Eif3h	290.428571	0	437	602	337	210	255	192	0
Axin2	290.285714	0	404	424	372	182	418	232	0
Hmbs	290.000000	0	816	723	491	0	0	0	0
Tmem189	289.857143	0	696	706	515	0	0	112	0
Pttg1ip	289.857143	0	677	657	355	121	142	77	0
Appl2	289.857143	0	681	472	313	171	198	194	0
Sp2	289.571429	98	468	441	323	158	288	251	0
Nsmf	289.571429	0	581	556	389	162	167	172	0
Gins1	289.571429	0	535	468	272	288	264	200	0
Cyp2d22	289.428571	0	464	494	465	224	153	226	0
Alms1	289.285714	0	492	565	247	182	313	226	0
Ptprj	289.142857	0	666	458	342	166	192	200	0
Magi3	289.000000	0	461	461	329	266	298	208	0
Acadm	289.000000	0	516	630	373	169	207	128	0
Mtmr2	288.857143	0	599	456	381	137	251	198	0
Foxo4	288.857143	0	391	447	392	270	277	245	0
Dcps	288.857143	0	655	470	313	221	178	185	0
Tbc1d22a	288.714286	0	658	769	594	0	0	0	0
Nr1d1	288.571429	0	744	574	419	0	155	128	0
Commd10	288.571429	0	591	551	429	110	200	139	0
Ipo8	288.285714	0	537	426	343	217	291	204	0
Actb	288.000000	0	520	658	351	150	207	130	0
Slc39a13	287.428571	0	527	580	277	151	295	182	0
Rasa4	287.428571	0	541	501	248	214	314	194	0
Sipa1l1	287.285714	0	397	492	307	252	233	330	0
Chmp4b	287.142857	0	507	523	357	183	235	205	0
Svs5	287.000000	0	796	765	448	0	0	0	0
Il23a	286.857143	0	913	1095	0	0	0	0	0
Baz1a	286.714286	0	617	532	346	162	215	135	0
Spryd3	286.571429	0	541	482	335	133	321	194	0
Spata5l1	286.571429	0	742	743	521	0	0	0	0
Zfp703	286.285714	0	536	614	484	104	158	108	0
Msh2	286.142857	0	478	437	285	203	310	290	0
Raver2	286.000000	113	422	557	261	171	207	271	0
Lrrc10	285.857143	0	776	668	557	0	0	0	0
Ift140	285.857143	0	548	510	268	228	193	254	0
Cramp1l	285.857143	0	548	510	268	228	193	254	0
Pura	285.571429	0	308	195	140	349	530	477	0
Tbce	285.428571	0	394	498	382	182	328	214	0
Mcoln1	285.285714	0	791	719	487	0	0	0	0
Trim8	285.142857	0	497	559	359	207	240	134	0
Ell	285.000000	0	329	631	263	273	217	282	0
Carhsp1	285.000000	0	228	166	129	392	466	614	0
Cap2	285.000000	0	627	700	324	0	191	153	0
Tbck	284.857143	0	423	427	231	309	304	300	0
Aimp1	284.857143	0	423	427	231	309	304	300	0
Alkbh5	284.142857	0	602	391	227	164	337	268	0
Triobp	284.000000	0	564	626	299	190	184	125	0
Arhgef26	284.000000	0	407	441	282	294	320	244	0
Zbtb5	283.428571	0	500	424	312	235	219	294	0
Rarres2	283.428571	0	394	362	234	284	315	395	0
Oard1	283.000000	0	424	530	206	224	386	211	0
Nfya	283.000000	0	424	530	206	224	386	211	0
Pdgfrb	282.857143	0	403	273	231	369	376	328	0
Wdpcp	282.714286	0	444	418	218	336	274	289	0
Sp1	282.714286	0	469	448	347	189	315	211	0
Mdh1	282.714286	0	444	418	218	336	274	289	0
Armc7	282.714286	0	530	422	301	282	252	192	0
Acadl	282.428571	0	604	310	451	198	201	213	0
Txn2	282.142857	0	521	483	267	183	301	220	0
Ltbr	282.000000	0	351	482	318	216	280	327	0
Atp1a1	281.857143	0	478	557	342	77	233	286	0
Hnrnpa3	281.714286	0	343	483	246	207	393	300	0
Dync1i1	281.714286	0	881	709	382	0	0	0	0
Gspt1	281.571429	0	503	548	293	147	288	192	0
Zfp282	281.428571	121	442	509	449	119	196	134	0
2900026A02Rik	281.428571	0	359	358	224	252	485	292	0
Ddx59	281.285714	0	634	542	210	231	163	189	0
Spred2	281.142857	0	514	403	305	239	346	161	0
Rpl24	281.000000	0	579	544	355	181	127	181	0
Rab26	281.000000	0	485	531	368	182	246	155	0
Pdzd4	280.857143	0	344	418	299	177	341	387	0
Ssbp2	280.571429	0	652	565	354	103	149	141	0
1700003F12Rik	280.428571	0	762	774	427	0	0	0	0
Sgip1	280.285714	0	342	426	311	262	371	250	0
Ranbp2	280.142857	0	487	539	344	114	253	224	0
Lsp1	280.142857	0	511	594	371	126	213	146	0
Xrn2	280.000000	0	481	357	392	225	293	212	0
Prkch	279.857143	0	491	580	421	134	123	210	0
Mro	279.714286	0	358	299	380	241	322	358	0
Epb41	279.571429	0	382	445	214	388	188	340	0
L1cam	279.285714	0	373	332	204	315	438	293	0
Anks3	279.285714	0	485	606	306	164	223	171	0
4930451G09Rik	279.285714	0	485	606	306	164	223	171	0
Ptrhd1	279.142857	0	377	513	345	256	196	267	0
Cenpo	279.142857	0	377	513	345	256	196	267	0
Banp	279.142857	0	539	666	356	218	0	175	0
9930021J03Rik	279.000000	0	567	331	364	100	324	267	0
Trip4	278.857143	0	418	372	337	226	335	264	0
Tfrc	278.857143	0	446	525	352	229	281	119	0
Csnk1g1	278.857143	0	418	372	337	226	335	264	0
Cpt1a	278.857143	0	367	593	267	238	251	236	0
Selenoh	278.714286	0	413	474	308	221	281	254	0
Trmt2a	278.571429	0	499	523	302	168	186	272	0
Ranbp1	278.571429	0	499	523	302	168	186	272	0
Efemp1	278.571429	0	472	687	418	197	176	0	0
Dusp15	278.571429	0	727	766	457	0	0	0	0
Pmepa1	278.285714	0	527	521	271	177	211	241	0
Tyk2	277.857143	0	471	536	382	166	198	192	0
Mapk8ip3	277.857143	0	462	450	269	190	410	164	0
Usp9x	277.714286	0	452	514	439	230	155	154	0
Zfp617	277.428571	0	528	431	341	276	234	132	0
Spata31d1a	277.285714	0	549	611	246	107	240	188	0
Mical3	277.285714	0	523	479	327	152	219	241	0
Irs2	277.285714	0	588	599	295	140	179	140	0
Synj1	277.142857	0	423	523	249	254	242	249	0
Ppm1a	276.857143	0	329	460	378	242	320	209	0
Adamts3	276.857143	0	635	423	427	168	138	147	0
Sema4c	276.142857	0	613	570	552	0	110	88	0
Rab33b	276.142857	0	458	491	242	221	285	236	0
Epg5	275.857143	0	480	597	325	135	216	178	0
Boc	275.857143	0	355	436	308	206	285	341	0
Gtf3c4	275.714286	0	570	537	357	135	193	138	0
Ddx31	275.714286	0	570	537	357	135	193	138	0
Sost	275.571429	0	381	443	236	287	265	317	0
Prkca	275.571429	0	453	470	242	240	253	271	0
Ppp2r5b	275.571429	0	582	644	324	152	91	136	0
Ppp1r12a	275.571429	0	458	622	349	0	304	196	0
Cbx8	275.571429	0	395	453	337	288	269	187	0
Fam50b	275.142857	0	521	497	278	177	263	190	0
Polg	275.000000	0	467	486	341	183	228	220	0
Zfp266	274.857143	0	401	352	266	307	307	291	0
Bzw1	274.571429	0	450	424	303	159	432	154	0
Zfpl1	274.285714	0	549	419	407	140	217	188	0
Ube2ql1	274.285714	0	679	665	443	0	133	0	0
Tmem262	274.285714	0	549	419	407	140	217	188	0
Rnf5	274.285714	0	725	563	387	150	95	0	0
Cdca5	274.285714	0	549	419	407	140	217	188	0
Agpat1	274.285714	0	725	563	387	150	95	0	0
Gid4	273.857143	0	438	516	411	141	218	193	0
Srsf1	273.714286	0	439	409	385	226	299	158	0
Fam171a2	273.571429	0	473	661	378	0	260	143	0
Zfp106	273.428571	0	519	603	396	156	240	0	0
Snap23	273.428571	0	519	603	396	156	240	0	0
Focad	273.428571	0	433	528	384	155	200	214	0
Znhit2	273.285714	0	516	308	276	153	317	343	0
Mrpl49	273.285714	0	516	308	276	153	317	343	0
Mrpl45	273.285714	0	336	348	153	323	435	318	0
Fau	273.285714	0	516	308	276	153	317	343	0
Zcwpw1	273.142857	0	391	669	365	200	122	165	0
Mpp5	273.142857	0	557	463	423	138	172	159	0
Mepce	273.142857	0	391	669	365	200	122	165	0
Kras	273.142857	0	554	456	365	204	182	151	0
Cetn3	273.142857	0	455	562	321	225	151	198	0
Arhgap27	273.142857	0	345	353	117	330	298	469	0
Mvd	273.000000	0	573	565	323	151	143	156	0
Snx15	272.857143	0	371	477	306	369	236	151	0
Rnf31	272.571429	0	396	448	391	269	227	177	0
Psme2	272.571429	0	396	448	391	269	227	177	0
Ltbp3	272.571429	0	596	550	407	100	80	175	0
Tspan33	272.142857	0	441	318	348	231	310	257	0
Vgf	272.000000	0	368	473	243	208	350	262	0
Robo3	272.000000	0	712	709	483	0	0	0	0
Parp1	272.000000	0	603	551	305	118	125	202	0
Yae1d1	271.857143	0	616	430	262	194	222	179	0
Tanc2	271.857143	0	519	501	330	83	191	279	0
H2ax	271.714286	0	478	423	243	294	223	241	0
Grb2	271.714286	0	561	408	365	242	200	126	0
Syde2	271.428571	0	641	556	387	0	159	157	0
Ascc3	271.285714	0	435	466	266	198	290	244	0
Micalcl	271.142857	0	431	342	281	285	308	251	0
Rpl7a	270.571429	0	543	562	246	171	254	118	0
Med22	270.571429	0	543	562	246	171	254	118	0
Arhgap12	270.571429	0	509	529	337	139	189	191	0
Tmem259	270.428571	0	562	572	350	120	117	172	0
Nfe2l1	270.428571	0	699	473	356	132	98	135	0
H3c15	270.428571	0	443	518	378	188	215	151	0
H3c14	270.428571	0	443	518	378	188	215	151	0
H2ac19	270.428571	0	443	518	378	188	215	151	0
H2ac18	270.428571	0	443	518	378	188	215	151	0
Cnn2	270.428571	0	562	572	350	120	117	172	0
Tlk1	269.857143	0	448	426	243	241	283	248	0
Sap18b	269.857143	0	499	475	411	196	134	174	0
Sap18	269.857143	0	499	475	411	196	134	174	0
Ifrd1	269.714286	0	302	337	301	273	444	231	0
Fam241b	269.714286	0	407	459	291	254	201	276	0
Mex3b	269.428571	0	472	451	392	184	218	169	0
Cs	269.428571	0	533	501	347	136	228	141	0
Polr1e	269.285714	0	539	441	350	128	246	181	0
Plekha8	269.285714	0	551	577	307	100	172	178	0
Ptpra	269.142857	0	502	349	190	163	330	350	0
Prag1	269.142857	0	515	521	257	123	300	168	0
Nrip1	269.142857	0	839	705	340	0	0	0	0
Tra2a	269.000000	0	577	541	190	193	144	238	0
Folr1	268.857143	0	625	552	254	107	232	112	0
Lyrm4	268.714286	0	609	630	328	0	124	190	0
Fars2	268.714286	0	609	630	328	0	124	190	0
Mfn1	268.571429	0	479	437	326	196	264	178	0
Csnk1d	268.571429	0	272	491	195	266	405	251	0
Spsb1	268.428571	0	382	470	406	197	290	134	0
Rab1a	268.285714	0	516	380	250	153	276	303	0
Heatr1	268.285714	0	311	421	265	398	307	176	0
Abcd3	268.000000	0	381	381	310	291	277	236	0
Uap1	267.714286	0	383	485	303	140	356	207	0
Dpp4	267.571429	0	490	322	354	252	234	221	0
Jak2	267.285714	0	480	350	264	199	303	275	0
Eif4b	267.285714	0	402	333	234	219	388	295	0
Rnf123	267.000000	0	429	530	292	160	180	278	0
Mst1	267.000000	0	429	530	292	160	180	278	0
Klhl24	267.000000	0	190	337	195	334	374	439	0
Pigl	266.857143	0	417	448	317	191	275	220	0
Ncor1	266.857143	0	417	448	317	191	275	220	0
Man1a2	266.714286	0	577	590	310	0	263	127	0
Ppm1l	266.428571	0	509	481	192	244	202	237	0
Carm1	266.285714	0	529	503	267	184	182	199	0
Tmc8	266.142857	0	600	677	450	136	0	0	0
Tmc6	266.142857	0	600	677	450	136	0	0	0
Tfcp2	266.142857	0	445	436	248	169	292	273	0
Tarbp2	266.000000	0	471	390	279	249	208	265	0
Map3k12	266.000000	0	471	390	279	249	208	265	0
Id3	266.000000	0	291	375	249	282	343	322	0
Idh3b	265.857143	0	436	467	223	159	245	331	0
Axl	265.857143	0	449	481	338	175	214	204	0
P4htm	265.714286	0	637	764	459	0	0	0	0
Tcam1	265.428571	0	395	515	282	116	290	260	0
Snx17	265.428571	0	365	292	222	245	386	348	0
Smarcd2	265.428571	0	395	515	282	116	290	260	0
Eif2b4	265.428571	0	365	292	222	245	386	348	0
Zkscan1	265.285714	0	358	414	228	291	255	311	0
Slc27a6	265.285714	0	410	274	210	279	442	242	0
Hectd2	265.285714	0	495	345	272	285	234	226	0
Atp9b	264.714286	0	411	502	342	213	225	160	0
Nupl1	264.571429	0	571	585	310	0	188	198	0
Zfp142	264.428571	0	463	236	238	307	373	234	0
Bcs1l	264.428571	0	463	236	238	307	373	234	0
Selenop	264.142857	0	680	835	334	0	0	0	0
Mat2b	263.857143	0	679	543	409	81	135	0	0
Rpl22	263.714286	0	493	480	218	177	247	231	0
Nacc2	263.714286	0	398	443	256	144	232	373	0
Cox18	263.571429	0	430	516	375	159	213	152	0
Akap1	263.428571	0	517	463	249	146	274	195	0
Qk	263.285714	0	462	411	262	219	263	226	0
Wee1	263.142857	0	320	464	334	229	266	229	0
Txnip	262.857143	0	725	603	512	0	0	0	0
Slc30a9	262.857143	0	485	448	286	183	238	200	0
Mtcl1	262.857143	0	520	438	422	178	149	133	0
H4c3	262.857143	0	290	435	193	331	284	307	0
H1f6	262.857143	0	290	435	193	331	284	307	0
Disp1	262.857143	0	535	653	476	176	0	0	0
Uchl4	262.714286	0	629	727	341	0	0	142	0
2410004P03Rik	262.285714	0	755	638	443	0	0	0	0
Rpp14	262.142857	0	448	345	217	369	262	194	0
Htd2	262.142857	0	448	345	217	369	262	194	0
Chmp7	262.000000	0	455	429	333	230	174	213	0
Urb2	261.857143	0	364	491	200	285	249	244	0
Taf5l	261.857143	0	364	491	200	285	249	244	0
Slco1a5	261.857143	0	568	578	376	141	170	0	0
Cdk11b	261.714286	0	425	386	450	120	229	222	0
Acy1	261.714286	0	368	592	229	237	227	179	0
Arfgap1	261.571429	0	517	357	219	176	259	303	0
Fgfbp1	261.428571	0	530	495	560	0	146	99	0
Sall2	261.142857	0	337	378	217	251	417	228	0
Rtn4rl1	260.857143	0	371	495	236	272	246	206	0
Dph1	260.857143	0	371	495	236	272	246	206	0
Cyp11a1	260.857143	0	647	649	530	0	0	0	0
Top1	260.714286	0	325	465	273	236	352	174	0
Tmem174	260.714286	0	360	294	213	273	304	381	0
Rala	260.714286	0	388	385	254	237	285	276	0
Lax1	260.428571	0	493	560	469	149	0	152	0
Ric8b	260.285714	0	363	467	313	204	271	204	0
Pcolce	260.285714	0	571	467	345	146	142	151	0
Esyt1	260.285714	0	463	427	349	155	172	256	0
Atp6v1c1	260.285714	0	390	465	370	159	208	230	0
Tmem250-ps	260.142857	0	539	386	258	250	213	175	0
Snx5	259.857143	0	459	505	271	129	244	211	0
Mgme1	259.857143	0	459	505	271	129	244	211	0
Ift88	259.857143	0	424	478	229	245	314	129	0
Snx8	259.714286	0	560	546	274	118	140	180	0
Hes7	259.571429	0	376	409	225	214	367	226	0
Cyrib	259.571429	0	564	355	300	178	230	190	0
Zxdc	259.428571	0	495	573	272	0	250	226	0
Chd3	259.428571	0	472	611	364	119	112	138	0
Lbhd2	259.000000	0	612	636	404	0	0	161	0
Armc9	258.857143	0	486	389	278	266	229	164	0
Lysmd2	258.428571	0	611	577	215	0	210	196	0
Zfp687	258.285714	0	400	490	182	177	255	304	0
Dlgap5	258.285714	0	484	457	384	194	132	157	0
Tcaim	258.142857	0	475	448	319	181	220	164	0
Ep300	258.142857	0	522	471	296	161	191	166	0
Zfp654	258.000000	0	279	455	285	251	248	288	0
Ptpn13	258.000000	0	490	513	317	221	156	109	0
Nrp2	258.000000	0	575	472	304	135	211	109	0
Cggbp1	258.000000	0	279	455	285	251	248	288	0
Lmcd1	257.714286	0	447	383	387	213	169	205	0
Slc16a4	257.571429	0	559	669	414	161	0	0	0
Ppp1r1b	257.571429	0	393	344	311	166	268	321	0
Dbp	257.571429	0	415	475	315	184	206	208	0
Car11	257.571429	0	415	475	315	184	206	208	0
Nbeal2	257.285714	0	404	477	329	185	252	154	0
Ccdc12	257.285714	0	404	477	329	185	252	154	0
Rpl27a	257.142857	0	320	375	334	317	242	212	0
Itprip	257.142857	0	280	401	190	187	457	285	0
Slc29a1	256.857143	0	318	332	325	281	270	272	0
Pbx3	256.857143	0	226	436	179	286	345	326	0
Hoxd8	256.714286	0	418	559	296	0	282	242	0
Rabgap1	256.428571	0	520	486	240	144	230	175	0
Nup153	256.285714	0	267	373	397	224	307	226	0
Iqgap1	256.285714	0	502	343	360	223	194	172	0
Cobll1	256.142857	0	356	307	216	226	347	341	0
Arhgap23	256.000000	0	509	459	311	170	191	152	0
Tmpo	255.857143	0	522	378	251	207	254	179	0
Pafah2	255.857143	0	581	653	306	125	126	0	0
Mob1a	255.571429	0	381	593	286	142	228	159	0
Cand1	255.571429	0	483	426	273	182	226	199	0
Sdk2	255.428571	0	470	737	246	0	191	144	0
Hivep1	255.428571	0	292	392	380	321	187	216	0
Gramd1b	255.285714	0	671	614	373	0	129	0	0
Fbrsl1	255.285714	0	398	604	238	210	182	155	0
Aknad1	255.285714	0	698	599	490	0	0	0	0
D830031N03Rik	255.142857	0	329	284	379	188	233	373	0
Abcf3	255.000000	0	460	447	234	175	186	283	0
Sybu	254.857143	0	644	692	448	0	0	0	0
Frk	254.857143	0	349	320	323	211	242	339	0
Zfp367	254.714286	0	396	399	258	272	202	256	0
Zfp212	254.714286	187	330	326	271	178	205	286	0
Tada1	254.714286	0	523	514	322	149	162	113	0
Cd6	254.714286	0	729	740	314	0	0	0	0
Sc5d	254.285714	0	478	502	349	179	137	135	0
Ripk2	254.285714	0	513	589	325	117	134	102	0
Ddx10	254.000000	0	366	391	349	213	264	195	0
Zwint	253.714286	0	390	411	362	250	225	138	0
Larp1b	253.714286	0	410	445	269	132	298	222	0
Dnase2a	253.714286	0	462	567	279	124	187	157	0
Nagk	253.571429	0	391	523	250	218	230	163	0
Tbc1d10b	253.285714	0	550	749	474	0	0	0	0
Mylpf	253.285714	0	550	749	474	0	0	0	0
Pla2g12a	253.142857	0	418	309	204	163	368	310	0
Csnk2a1	253.142857	0	512	409	182	239	216	214	0
Dcaf12	253.000000	0	549	471	251	0	238	262	0
Tbc1d10c	252.857143	0	444	486	434	167	100	139	0
Ppp1ca	252.857143	0	444	486	434	167	100	139	0
Gigyf2	252.428571	0	498	437	306	140	229	157	0
Tmem9	252.285714	0	772	598	396	0	0	0	0
Kcna3	252.142857	0	401	453	214	251	240	206	0
Mettl23	251.857143	0	352	472	274	189	184	292	0
Nyx	251.714286	0	319	391	215	154	346	337	0
Cenpj	251.714286	0	390	464	276	221	213	198	0
Rbx1	251.571429	0	469	426	209	199	235	223	0
Chordc1	251.571429	0	477	402	251	170	280	181	0
Golga1	251.428571	0	326	548	329	104	277	176	0
Rcc2	251.142857	0	482	530	249	143	176	178	0
Adamts1	251.000000	0	709	605	443	0	0	0	0
Tac4	250.714286	0	691	639	425	0	0	0	0
Cmbl	250.714286	0	588	424	367	114	136	126	0
Entpd6	250.571429	0	638	479	216	127	113	181	0
Raf1	250.428571	0	594	460	355	139	86	119	0
Nans	250.428571	0	424	431	284	216	202	196	0
Tsen34	250.285714	0	438	430	241	151	311	181	0
Mboat7	250.285714	0	438	430	241	151	311	181	0
Phf7	250.142857	0	433	579	261	149	142	187	0
Kank1	250.142857	0	702	623	426	0	0	0	0
Bap1	250.142857	0	433	579	261	149	142	187	0
Zfp948	250.000000	0	366	429	276	185	221	273	0
Ldlrap1	250.000000	0	397	488	311	160	220	174	0
Vegfa	249.857143	0	450	574	362	0	189	174	0
Maml1	249.857143	0	418	534	284	158	147	208	0
Plekhg6	249.714286	0	242	387	269	209	318	323	0
Gsk3b	249.714286	0	378	424	238	246	225	237	0
Matn4	249.571429	0	583	779	385	0	0	0	0
Evc2	249.571429	0	308	475	340	201	165	258	0
Evc	249.571429	0	308	475	340	201	165	258	0
Mettl17	249.428571	0	518	289	324	231	221	163	0
Tsga10	249.285714	0	416	487	334	118	194	196	0
Nfyc	249.285714	0	422	611	298	152	130	132	0
Grk6	249.285714	120	284	352	266	222	260	241	0
Sirpa	249.142857	0	483	563	361	0	175	162	0
Senp1	249.142857	0	381	355	186	281	285	256	0
Ppat	249.142857	0	406	420	275	252	198	193	0
Pfkm	249.142857	0	381	355	186	281	285	256	0
Paics	249.142857	0	406	420	275	252	198	193	0
Klhl9	249.142857	0	447	388	213	137	356	203	0
Arl6ip5	249.142857	0	502	752	341	0	0	149	0
Stxbp3	248.857143	0	547	388	266	193	130	218	0
Sdad1	248.857143	0	341	377	253	230	346	195	0
Khdrbs3	248.571429	0	492	690	311	119	128	0	0
Fam81a	248.428571	0	632	605	502	0	0	0	0
Naa40	248.285714	0	433	519	294	109	198	185	0
Crip2	248.285714	0	606	508	213	105	191	115	0
Zbtb8a	248.000000	0	776	584	376	0	0	0	0
Tdg	247.714286	0	451	306	327	118	229	303	0
Cnep1r1	247.571429	0	466	336	244	141	279	267	0
Plekhg2	247.428571	0	545	475	254	167	155	136	0
Mib2	247.285714	0	276	290	213	343	408	201	0
Cuedc1	247.285714	0	587	642	349	0	153	0	0
Snx16	247.142857	0	246	360	246	193	474	211	0
