Target_genes	Irf8|Average	SRX1091122|B_cells	SRX1091123|B_cells	SRX1091124|B_cells	SRX8994281|B_cells	SRX8994282|B_cells	SRX8994283|B_cells	SRX8994284|B_cells	SRX172328|CD4+_T_cells	SRX172329|CD4+_T_cells	DRX026000|Common_dendritic_cell_progenitor	DRX049475|Common_dendritic_cell_progenitor	DRX025997|Common_monocyte_progenitors	SRX14466997|Dendritic_Cells	SRX3380965|Dendritic_Cells	SRX3380966|Dendritic_Cells	SRX3380967|Dendritic_Cells	SRX3380968|Dendritic_Cells	SRX3380969|Dendritic_Cells	SRX3380970|Dendritic_Cells	SRX391769|Dendritic_Cells	SRX391770|Dendritic_Cells	SRX391771|Dendritic_Cells	SRX742830|Dendritic_Cells	SRX8241994|Dendritic_Cells	SRX8241995|Dendritic_Cells	SRX956767|Dendritic_Cells	DRX025996|Granulocytic-monocytic_progenitors	SRX5056008|Hematopoietic_progenitors	SRX5056009|Hematopoietic_progenitors	DRX025998|Macrophage-dendritic_cell_progenitor	DRX083360|Macrophage-dendritic_cell_progenitor	DRX083361|Macrophage-dendritic_cell_progenitor	DRX111908|Macrophages	SRX1072349|Macrophages	SRX1583880|Macrophages	SRX1583881|Macrophages	SRX1583882|Macrophages	SRX498816|Macrophages	SRX498817|Macrophages	SRX498818|Macrophages	SRX498819|Macrophages	SRX498820|Macrophages	SRX498821|Macrophages	SRX8241996|Monocytes	SRX8241997|Monocytes	SRX14466989|Plasmacytoid_dendritic_cells	SRX742831|Plasmacytoid_dendritic_cells	SRX956775|Plasmacytoid_dendritic_cells	SRX5507840|Spleen_and_lymph_nodes	SRX5507841|Spleen_and_lymph_nodes	SRX2359705|Thymic_epithelial_cells	SRX2359706|Thymic_epithelial_cells	SRX155383|Tot2	DRX025999|Unclassified	DRX049470|Unclassified	DRX049471|Unclassified	STRING
Ssbp4	139.535714	0	0	0	0	0	0	0	0	0	0	0	0	512	771	647	547	803	962	614	572	0	543	0	0	131	0	0	0	0	0	0	0	0	0	226	0	0	509	429	352	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0
Churc1	139.267857	0	0	0	0	0	0	0	0	0	0	0	0	1051	772	857	661	661	1136	919	543	0	283	0	0	257	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	104	156	0	0	0	0	0	0	0
Foxb2	139.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	246	333	232	210	333	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	712	685	2018	1394	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pstpip2	139.107143	0	0	0	0	0	0	0	0	0	0	0	0	1924	608	480	451	664	785	598	303	0	297	1100	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0
Mcl1	138.946429	0	0	0	0	0	0	0	0	0	0	0	0	1343	441	305	318	408	532	566	934	0	724	158	194	0	287	0	0	0	0	0	0	0	0	0	0	0	414	0	118	0	0	0	0	0	0	270	0	198	571	0	0	0	0	0	0	0
Golga7b	138.946429	0	0	0	0	0	0	0	0	0	0	0	0	1040	1080	806	944	1207	1017	1008	321	0	141	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amigo3	138.928571	0	0	0	0	0	0	0	0	0	0	0	0	1054	151	164	222	180	369	207	466	0	390	131	0	165	145	0	0	0	0	0	0	111	0	0	0	0	968	1002	519	102	168	0	216	305	193	214	106	0	232	0	0	0	0	0	0	0
Olfr715b	138.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	954	851	1067	1042	1347	1296	490	0	0	0	172	136	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0
Nsmaf	138.767857	0	0	0	0	0	0	0	0	0	0	0	0	219	959	790	769	832	1171	939	754	0	188	0	292	243	204	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	129	0	0	101	0	0	0	0	0	0	0
Gjc2	138.553571	0	0	0	0	0	0	0	0	0	0	0	0	1902	448	228	431	369	764	396	885	0	613	627	0	0	256	0	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	0	0	0	362	0	0	0	0	0	170	0	0	0	0
Ktn1	138.535714	0	0	0	0	0	0	0	0	0	0	0	157	0	425	550	360	442	800	744	502	0	399	0	155	218	0	0	0	0	0	230	174	0	0	179	231	229	774	593	409	0	0	0	103	0	0	0	0	0	84	0	0	0	0	0	0	0
C1qtnf12	138.517857	0	0	0	0	0	0	0	0	0	0	0	0	600	659	645	672	690	768	762	1250	0	189	0	344	325	274	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0
Fam166b	138.357143	0	0	0	0	0	0	0	0	0	0	0	0	1095	680	685	586	638	1056	604	790	0	458	0	227	205	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	398	0	0	0	0	0	0	0	0	0	0
Herc6	138.250000	0	0	0	0	0	0	0	0	0	0	0	0	0	862	765	793	745	1154	807	375	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	327	542	444	0	221	159	0	0	0	89	0	0	0	0	0	0	0	0	0	0
Fxyd2	138.089286	0	0	0	0	0	0	0	0	0	0	0	0	493	473	453	454	468	450	275	861	0	660	0	0	0	226	0	0	0	0	0	0	178	0	171	241	166	1012	488	380	0	0	0	0	0	0	177	107	0	0	0	0	0	0	0	0	0
Frmd4b	137.946429	0	0	0	0	0	0	0	0	0	0	0	0	491	930	811	752	877	1081	1059	360	0	189	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	226	159	176	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0
Ints12	137.892857	0	0	0	0	0	0	0	0	0	0	0	0	166	584	435	527	623	649	523	418	0	481	127	0	0	0	0	0	0	0	167	0	0	0	315	165	0	581	585	514	165	275	0	0	0	0	0	0	113	309	0	0	0	0	0	0	0
Gstcd	137.892857	0	0	0	0	0	0	0	0	0	0	0	0	166	584	435	527	623	649	523	418	0	481	127	0	0	0	0	0	0	0	167	0	0	0	315	165	0	581	585	514	165	275	0	0	0	0	0	0	113	309	0	0	0	0	0	0	0
Adck1	137.839286	0	0	0	0	0	0	0	0	0	0	0	0	478	790	670	598	718	947	689	1237	0	307	0	220	282	351	0	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyw1	137.803571	0	0	0	0	0	0	0	0	0	0	0	0	399	683	504	873	929	387	337	101	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1624	1185	0	295	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0
Sbds	137.803571	0	0	0	0	0	0	0	0	0	0	0	0	399	683	504	873	929	387	337	101	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1624	1185	0	295	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0
Osgep	137.607143	0	0	0	0	0	0	0	0	0	0	0	0	0	909	607	743	920	1086	976	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	1135	0	692	0	0	0	0	0	0	0	0	75	290	0	0	0	0	0	0	0
Tmem156	137.589286	0	0	0	0	0	0	0	0	0	0	0	0	853	628	735	627	509	809	604	920	0	209	252	181	174	209	0	0	0	0	0	0	0	0	0	0	0	0	342	350	0	0	157	0	0	0	146	0	0	0	0	0	0	0	0	0	0
Slc25a11	137.589286	0	0	0	0	0	0	0	0	0	0	0	0	1483	429	333	295	482	433	383	928	0	958	194	0	172	245	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	147	251	243	127	140	253	0	0	0	0	0	0	0
Rnf167	137.589286	0	0	0	0	0	0	0	0	0	0	0	0	1483	429	333	295	482	433	383	928	0	958	194	0	172	245	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	147	251	243	127	140	253	0	0	0	0	0	0	0
Gas7	137.571429	0	0	0	0	0	0	0	0	0	0	0	0	463	857	795	681	1009	1083	1148	241	0	213	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	207	180	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0
Rubcnl	137.535714	0	0	0	0	0	0	0	0	0	0	0	0	525	254	251	172	215	476	293	958	0	840	167	104	0	258	0	0	0	288	165	106	0	0	216	222	220	684	403	361	0	0	0	0	0	195	0	170	0	159	0	0	0	0	0	0	0
Rnpepl1	137.428571	0	0	0	0	0	0	0	0	251	0	0	0	0	480	254	463	322	648	363	435	0	739	0	0	0	0	0	0	0	0	178	0	0	0	0	0	555	277	1299	1057	0	131	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp28	137.428571	0	0	0	0	0	0	0	0	251	0	0	0	0	480	254	463	322	648	363	435	0	739	0	0	0	0	0	0	0	0	178	0	0	0	0	0	555	277	1299	1057	0	131	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankmy1	137.428571	0	0	0	0	0	0	0	0	251	0	0	0	0	480	254	463	322	648	363	435	0	739	0	0	0	0	0	0	0	0	178	0	0	0	0	0	555	277	1299	1057	0	131	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r15b	137.142857	0	0	0	0	0	0	0	0	0	0	0	0	281	635	420	581	437	596	519	397	0	150	0	159	0	129	0	0	0	0	0	0	0	0	0	0	0	114	494	776	306	651	897	0	0	0	0	0	0	138	0	0	0	0	0	0	0
Sri	137.053571	0	0	0	0	0	0	0	0	0	0	0	0	0	1229	757	820	879	1226	905	428	0	185	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	173	197	334	0	0	0	0	0	0	115	0	0	205	0	0	0	0	0	0	0
Rnf141	136.928571	0	0	0	0	0	0	0	0	0	0	0	0	494	662	577	513	544	625	750	378	0	501	351	114	0	0	0	0	0	0	0	0	0	0	0	0	0	471	528	485	0	190	120	0	0	0	249	0	0	116	0	0	0	0	0	0	0
Nt5m	136.892857	0	0	0	0	0	0	0	0	0	0	0	0	0	1133	987	1006	1208	1460	1197	333	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs9	136.875000	0	0	0	0	0	0	0	0	0	0	0	0	797	732	646	528	668	958	1008	474	0	360	279	0	0	162	0	0	0	0	177	0	0	0	0	0	0	125	195	172	129	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0
Gm38510	136.857143	0	0	0	0	0	0	0	0	0	0	0	0	267	1068	759	969	1003	1200	964	545	0	383	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0
Chmp4b	136.857143	0	0	0	0	0	0	0	0	0	0	0	0	220	619	606	859	708	1089	967	450	0	152	0	131	115	0	0	0	0	0	0	0	0	0	0	0	0	238	445	462	0	235	121	0	0	0	157	0	0	90	0	0	0	0	0	0	0
Atxn7l1	136.857143	0	0	0	0	0	0	0	0	0	0	0	0	274	644	518	623	791	1094	694	617	0	280	139	0	151	142	0	0	0	0	0	0	0	0	0	0	0	191	719	659	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0
Fam167b	136.821429	0	0	0	154	0	133	102	0	286	0	0	0	0	1141	944	893	827	1143	742	509	0	203	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	293	0	0	0	0	0	0	0
Zbtb3	136.750000	0	0	141	0	0	0	0	0	0	0	0	0	0	650	523	588	550	888	882	343	0	365	0	186	0	0	0	0	0	0	149	0	86	0	0	0	0	295	967	577	0	160	0	0	0	0	0	0	98	210	0	0	0	0	0	0	0
Crocc2	136.714286	0	0	0	0	0	0	0	0	0	0	0	0	685	836	671	1168	1236	995	710	447	0	271	0	219	119	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0
Med6	136.642857	0	0	0	0	0	0	0	0	0	0	0	0	618	949	670	858	914	737	991	581	0	320	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	308	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0
Bfsp2	136.589286	0	0	0	0	0	0	0	0	0	0	0	0	289	967	838	594	812	1258	1044	880	0	0	0	206	247	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0
Tmed3	136.571429	0	0	0	0	0	0	0	0	0	0	0	0	424	829	783	680	768	1127	803	767	0	481	0	179	0	299	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	128	0	0	0	0	0	0	0
Akna	136.571429	0	0	0	0	0	0	0	0	0	0	0	0	647	545	469	371	332	823	577	1339	0	398	249	366	415	330	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	136	0	0	0	0	0	168	0	0	0	0
Setd1b	136.375000	0	0	0	0	0	0	0	0	0	0	0	0	601	1036	930	742	858	1023	1163	399	0	247	0	92	138	134	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0
Rfesd	136.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	832	963	817	865	1013	702	188	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	240	618	526	0	0	105	0	0	0	0	0	0	348	0	0	0	0	0	0	0
Dpagt1	136.339286	0	0	0	0	0	0	0	0	0	0	0	0	421	509	471	521	568	775	537	1557	0	351	0	303	388	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	313	0	0	0	0
Gm12185	136.285714	0	0	0	0	0	0	0	0	241	0	0	0	568	317	293	237	217	414	391	667	0	395	135	0	0	175	0	0	0	0	0	0	0	0	0	261	347	0	1381	849	0	428	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc119b	136.250000	0	0	0	0	0	0	0	0	0	0	0	0	382	892	736	621	925	1385	1153	674	0	457	0	142	134	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slfn2	136.071429	0	0	0	0	0	0	0	0	0	0	0	0	442	835	581	629	643	724	788	436	0	513	150	0	0	141	0	0	0	0	0	0	0	0	0	0	0	470	535	498	0	0	0	0	0	0	150	0	0	85	0	0	0	0	0	0	0
Pde4a	135.982143	0	0	0	0	0	0	0	0	0	0	0	0	253	806	795	768	855	968	866	253	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	527	347	0	262	167	0	0	0	208	0	0	0	0	0	0	0	0	0	0
Ndufs1	135.875000	0	0	0	0	0	0	0	0	0	0	0	0	392	774	724	531	675	928	804	788	0	228	0	344	377	237	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	183	0	0	90	0	0	0	0
Eef1b2	135.875000	0	0	0	0	0	0	0	0	0	0	0	0	392	774	724	531	675	928	804	788	0	228	0	344	377	237	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	183	0	0	90	0	0	0	0
Gtf2ird1	135.839286	0	0	0	0	0	0	0	0	0	0	0	0	468	860	695	554	790	877	849	542	0	295	0	143	238	234	0	0	0	0	0	0	0	0	179	0	0	306	313	127	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0
E2f8	135.839286	0	0	0	0	0	0	0	0	0	0	0	0	1137	746	652	473	583	829	706	441	0	384	469	0	0	0	0	0	0	0	152	0	0	0	0	0	0	268	138	143	0	128	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0
Fam3c	135.678571	0	0	0	0	0	0	0	0	0	0	0	0	673	968	846	722	859	1279	943	247	0	134	156	0	199	108	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	208	0	0	160	0	0	0	0	0	0	0
Xdh	135.625000	0	0	0	0	0	0	0	0	0	0	0	0	612	533	503	591	598	873	666	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	100	174	267	264	974	538	0	305	205	0	0	0	0	0	0	92	0	0	0	0	0	0	0
Ankrd11	135.571429	0	0	0	0	0	0	0	0	0	0	0	0	247	477	282	352	460	618	390	244	0	273	135	0	0	0	0	0	0	0	0	0	142	0	255	212	166	882	1015	399	0	0	0	0	0	0	168	0	174	701	0	0	0	0	0	0	0
Mx1	135.517857	0	0	0	0	0	0	0	0	0	0	0	0	168	745	661	683	796	1009	952	280	0	333	110	0	0	0	0	0	0	0	0	0	128	0	0	0	248	629	383	300	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0
Rnf213	135.428571	0	0	0	0	0	0	0	0	0	0	0	0	190	518	346	458	610	603	432	504	0	482	0	0	0	190	0	0	107	0	0	0	135	0	136	292	229	684	474	408	112	212	185	0	0	0	108	0	0	169	0	0	0	0	0	0	0
Adipor2	135.410714	0	0	0	0	0	0	0	0	0	0	0	0	164	1016	842	1045	1041	1339	1017	521	0	238	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0
Bcl2a1b	135.303571	0	0	0	0	0	0	0	0	0	0	0	0	247	620	527	612	573	815	670	623	0	414	400	163	208	123	0	0	0	0	0	0	0	0	0	0	0	232	204	508	0	0	106	0	0	0	110	0	142	280	0	0	0	0	0	0	0
Bcl2l14	135.232143	0	0	0	0	0	0	0	0	0	0	0	0	0	769	777	957	1118	767	624	264	0	176	0	174	143	0	0	0	0	0	0	0	0	0	0	0	0	188	364	1002	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clk4	135.160714	0	0	0	0	0	0	0	0	0	0	0	0	175	456	538	487	519	873	403	366	0	449	0	152	202	147	0	0	0	0	0	0	0	0	357	147	277	877	488	300	0	0	0	0	0	0	0	0	104	252	0	0	0	0	0	0	0
BC049762	135.160714	0	0	0	0	0	0	0	0	0	0	0	0	175	456	538	487	519	873	403	366	0	449	0	152	202	147	0	0	0	0	0	0	0	0	357	147	277	877	488	300	0	0	0	0	0	0	0	0	104	252	0	0	0	0	0	0	0
Cnnm3	135.053571	0	0	0	0	0	0	0	0	0	0	0	0	1237	796	609	463	627	799	644	466	0	229	670	0	155	0	0	0	0	0	0	0	0	0	0	0	0	284	189	152	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0
Dusp7	134.964286	0	0	0	0	0	0	0	0	0	0	0	0	405	534	401	512	577	763	705	1042	0	428	0	215	171	364	0	0	0	0	0	0	0	0	0	0	0	390	326	511	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0
Snx30	134.946429	0	0	0	0	153	0	237	0	0	0	0	0	0	548	300	273	391	570	375	694	0	776	115	175	146	223	0	0	0	156	249	149	0	0	0	0	0	973	410	342	0	0	0	0	0	0	225	0	0	77	0	0	0	0	0	0	0
Dmpk	134.892857	0	0	0	0	0	0	0	0	0	0	0	0	436	758	732	695	753	1071	880	599	0	359	0	292	252	125	0	0	0	0	0	0	0	0	0	0	0	209	120	98	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0
Tmem214	134.875000	0	0	0	0	0	0	0	0	0	0	0	0	596	1051	768	553	737	1136	851	462	0	187	0	163	140	217	0	0	0	0	0	0	0	0	0	0	0	331	0	0	119	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0
E2f3	134.678571	0	0	0	0	0	0	0	0	0	0	0	0	241	1125	919	846	932	1389	1154	286	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0
Adamtsl3	134.607143	0	0	0	0	0	0	0	0	0	0	0	0	0	297	344	388	404	502	369	282	0	151	0	0	0	0	0	0	0	0	0	0	0	0	888	591	286	954	1129	510	113	169	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1509	134.571429	0	0	0	0	0	0	0	0	0	0	0	0	323	340	174	308	451	410	305	507	0	376	187	0	90	0	0	0	0	0	262	0	0	0	469	633	174	1265	676	370	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0
Gosr2	134.428571	0	0	0	0	0	0	0	0	0	0	0	0	392	730	552	577	714	901	647	674	0	179	182	289	295	195	0	0	0	0	0	0	0	0	0	0	0	103	269	241	0	0	0	0	0	0	141	0	111	336	0	0	0	0	0	0	0
Antxr2	134.214286	0	0	0	0	0	0	0	0	0	0	0	0	1685	677	415	549	461	999	696	236	0	191	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	70	0	0	0	0	0	0	0
Ifi202b	134.089286	0	0	0	0	0	0	0	0	0	0	0	0	468	675	655	562	695	621	667	614	0	1273	292	410	200	0	0	0	0	0	0	0	0	0	0	0	0	192	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nampt	133.928571	0	0	0	0	0	0	0	0	0	0	0	0	0	677	645	531	527	1201	845	520	0	528	0	0	0	180	0	0	0	0	0	0	0	0	0	0	306	290	672	254	0	0	0	0	0	0	0	0	109	215	0	0	0	0	0	0	0
Trim25	133.714286	0	0	0	151	0	0	0	0	0	0	0	0	0	384	273	216	324	700	474	577	0	361	0	142	0	146	0	0	149	0	0	0	131	0	216	0	0	965	273	291	437	225	172	0	0	0	199	0	272	410	0	0	0	0	0	0	0
Fam83a	133.678571	0	0	0	0	0	0	0	0	0	0	120	157	356	91	0	94	0	152	152	1041	0	1111	0	190	0	240	0	0	0	0	483	197	0	0	198	241	202	793	330	392	0	0	0	207	296	247	196	0	0	0	0	0	0	0	0	0	0
Asb13	133.642857	0	0	0	0	0	0	0	0	0	0	0	0	0	817	800	795	762	1159	965	396	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	537	479	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
Npc2	133.589286	0	0	0	0	0	0	0	0	0	0	0	0	261	956	666	704	843	1055	958	768	0	226	0	343	295	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0
Naa25	133.589286	0	0	0	0	0	0	0	0	0	0	0	0	177	615	589	548	530	860	520	465	0	360	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	303	986	736	0	291	227	0	0	0	0	0	0	132	0	0	0	0	0	0	0
Isca2	133.589286	0	0	0	0	0	0	0	0	0	0	0	0	261	956	666	704	843	1055	958	768	0	226	0	343	295	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0
Cbfa2t3	133.589286	0	0	104	0	0	0	0	0	0	0	0	0	231	815	719	753	787	956	791	408	0	213	0	0	0	215	0	0	0	0	91	0	0	0	0	0	0	0	159	689	0	0	0	0	0	0	266	0	125	159	0	0	0	0	0	0	0
Zfp276	133.392857	0	0	0	0	0	0	0	0	0	0	0	0	0	954	685	579	769	1267	1243	172	0	0	0	482	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	126	0	0	0	0	0	0	89	0	0	200	0	0	0	0
Vps9d1	133.392857	0	0	0	0	0	0	0	0	0	0	0	0	0	954	685	579	769	1267	1243	172	0	0	0	482	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	126	0	0	0	0	0	0	89	0	0	200	0	0	0	0
Zfp945	133.357143	0	0	0	0	0	0	0	0	157	0	0	0	0	212	325	445	388	486	253	319	0	402	254	0	0	0	0	0	0	0	0	0	0	0	0	0	229	392	1761	928	0	307	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wwox	133.321429	0	0	0	0	0	0	0	0	0	280	209	182	229	0	0	0	0	129	0	168	0	132	0	0	0	0	328	541	205	182	232	256	0	0	0	0	0	0	0	0	193	0	173	0	0	184	85	209	851	1714	0	0	184	264	243	293	0
Eif4g3	133.321429	0	0	0	0	0	0	0	0	0	0	0	0	783	588	470	661	691	841	738	664	0	533	229	0	132	109	0	0	0	0	0	0	0	0	0	0	0	430	160	205	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0
Ccdc180	133.178571	0	0	0	0	0	0	0	0	0	0	0	0	472	627	511	466	566	1300	998	496	0	314	0	123	155	171	0	0	0	0	0	0	0	0	0	0	0	143	148	648	0	0	200	0	0	0	120	0	0	0	0	0	0	0	0	0	0
Grk3	133.125000	0	0	0	0	0	0	0	0	0	0	0	0	1728	619	537	542	890	462	390	356	0	419	497	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	212	203	0	0	0	0	0	211	234	0	0	0	0	0	0	0	0	0	0
Tspan2	133.107143	0	0	0	0	0	0	0	0	0	0	0	0	0	1081	1021	1060	1220	1295	988	274	0	333	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c8	133.053571	0	0	0	0	0	0	0	0	0	0	0	0	913	541	470	341	372	499	468	495	0	416	723	0	0	151	0	0	0	0	244	0	0	0	0	0	0	0	288	137	274	534	0	0	0	0	154	0	149	282	0	0	0	0	0	0	0
H2ac10	133.053571	0	0	0	0	0	0	0	0	0	0	0	0	913	541	470	341	372	499	468	495	0	416	723	0	0	151	0	0	0	0	244	0	0	0	0	0	0	0	288	137	274	534	0	0	0	0	154	0	149	282	0	0	0	0	0	0	0
Il27	133.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	848	632	600	915	583	430	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	206	1282	797	0	267	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3tc1	132.982143	0	0	0	0	0	0	0	0	0	0	0	0	1012	578	461	551	602	670	548	761	0	403	281	154	147	0	0	0	0	0	0	0	0	0	0	0	0	179	222	148	0	0	0	0	0	0	273	0	99	358	0	0	0	0	0	0	0
Sf3b1	132.982143	0	0	0	0	0	0	0	0	0	0	0	0	279	456	498	526	514	730	625	306	0	348	142	0	0	155	0	0	0	0	127	0	0	0	153	0	158	587	803	440	0	0	0	0	0	0	137	0	109	354	0	0	0	0	0	0	0
Trim12c	132.750000	0	0	0	0	0	0	0	0	0	0	0	0	168	827	781	579	418	1400	974	585	0	327	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	201	269	118	0	174	128	0	0	0	107	0	0	197	0	0	0	0	0	0	0
Gsto2	132.750000	0	0	0	0	0	0	0	0	0	0	0	0	1699	517	456	450	516	666	544	461	0	445	279	0	0	206	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	184	372	0	0	332	0	0	179	0	0	0	0
Tap2	132.696429	0	0	0	0	0	0	0	0	0	0	0	0	0	517	454	547	573	882	517	716	0	655	0	0	0	135	0	0	152	0	0	0	0	0	0	0	0	301	780	365	0	128	156	0	0	0	199	0	0	354	0	0	0	0	0	0	0
Prr5l	132.660714	0	0	0	0	0	0	0	0	0	0	0	0	516	515	501	496	446	665	454	505	0	265	0	340	179	147	0	0	0	0	117	0	172	0	0	0	0	854	396	173	0	0	78	125	170	0	198	0	0	117	0	0	0	0	0	0	0
Mgat4b	132.625000	0	0	0	0	0	0	0	0	0	0	0	0	251	1065	802	944	947	1183	933	457	0	466	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0
