Target_genes	Gata3|Average	SRX018103|CD4+_T_cells	SRX092582|CD4+_T_cells	SRX092583|CD4+_T_cells	SRX1144904|CD4+_T_cells	SRX1144905|CD4+_T_cells	SRX018101|CD4_CD8_double_negative_cells	SRX091676|CD4_CD8_double_negative_cells	SRX091677|CD4_CD8_double_negative_cells	SRX018102|CD4_CD8_double_positive_cells	SRX077028|CD4_CD8_double_positive_cells	SRX091678|CD4_CD8_double_positive_cells	SRX018104|CD8+_T_cells	SRX077029|CD8+_T_cells	SRX7821124|Hematopoietic_progenitors	SRX7821125|Hematopoietic_progenitors	SRX7821126|Hematopoietic_progenitors	SRX8858058|Hematopoietic_progenitors	SRX8858059|Hematopoietic_progenitors	SRX1115327|ILC2	SRX13185577|ILC2	SRX13185578|ILC2	SRX13185579|ILC2	SRX21547797|ILC2	SRX21547798|ILC2	SRX15046828|Induced_trophoblast_stem_cells	SRX15046829|Induced_trophoblast_stem_cells	SRX1115326|Innate_lymphoid_cells	SRX4677000|Innate_lymphoid_cells	SRX4677001|Innate_lymphoid_cells	SRX4677005|Innate_lymphoid_cells	SRX4677006|Innate_lymphoid_cells	SRX15046860|MEF	SRX15046861|MEF	SRX15046870|MEF	SRX15046871|MEF	SRX018111|Natural_Killer_T-Cells	SRX2499766|Scid.adh.2c2	SRX2499767|Scid.adh.2c2	SRX2499768|Scid.adh.2c2	SRX2499769|Scid.adh.2c2	SRX018108|Th17_Cells	SRX018105|Th1_Cells	DRX012366|Th2_Cells	DRX012367|Th2_Cells	SRX018106|Th2_Cells	SRX077030|Th2_Cells	SRX1115328|Th2_Cells	SRX18113530|Th2_Cells	SRX18113531|Th2_Cells	SRX18275247|Th2_Cells	SRX18275248|Th2_Cells	SRX18275249|Th2_Cells	SRX18275250|Th2_Cells	SRX19650900|Th2_Cells	SRX19650901|Th2_Cells	SRX018110|Treg	SRX2416654|Trophoblast_stem_cells	SRX018109|T_cells	STRING
Ccdc9b	86.931034	208	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	213	277	0	224	195	200	176	155	118	0	173	0	401	1462	213	837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thoc5	86.879310	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	83	349	406	0	0	0	0	123	367	328	402	635	0	214	316	281	661	0	0	0	0	0	0	0	126	0	171	0	198	289	0	0	0	0	0	0
Kcnk1	86.879310	0	0	0	701	908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1795	1413	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doxl2	86.862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401	1432	0	0	0	0	0	583	634	575	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liph	86.844828	0	0	0	274	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	430	392	0	0	0	0	0	133	176	142	152	0	236	538	134	287	0	0	0	0	0	0	0	305	185	304	131	325	386	0	0	0	0	0	0
Zfp697	86.827586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2086	1818	0	0	0	0	0	125	203	0	231	0	0	0	0	0	0	0	0	0	0	0	0	129	0	129	0	127	188	0	0	0	0	0	0
Wac	86.827586	0	0	0	157	224	0	0	0	0	0	0	0	0	156	0	0	216	0	136	0	0	0	0	204	202	198	0	226	388	210	178	118	0	0	0	0	199	651	283	482	0	0	0	0	0	0	276	90	0	89	0	112	241	0	0	0	0	0	0
Tmem104	86.827586	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	226	582	667	0	0	0	121	187	0	0	0	0	0	507	580	576	611	0	0	0	0	0	0	224	0	0	0	0	0	173	0	0	165	0	0	0
Nat9	86.827586	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	226	582	667	0	0	0	121	187	0	0	0	0	0	507	580	576	611	0	0	0	0	0	0	224	0	0	0	0	0	173	0	0	165	0	0	0
Cd2bp2	86.810345	0	0	0	0	0	0	0	0	0	0	0	0	0	163	177	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	544	566	517	0	528	537	782	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysmd2	86.724138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2063	2022	0	0	0	0	0	250	271	146	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0
Ccn4	86.724138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	766	1060	880	599	0	258	855	127	399	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0
Parp14	86.689655	0	0	0	153	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	453	393	0	0	0	0	0	797	653	651	734	0	0	0	0	181	0	0	0	0	0	0	160	92	0	92	0	77	254	0	0	0	0	0	0
Mmp27	86.689655	0	0	0	137	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	111	239	0	95	0	0	0	0	0	490	447	327	342	0	224	1230	184	750	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0
Tatdn2	86.655172	0	0	0	163	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	907	831	0	97	0	0	0	0	0	0	0	0	393	611	468	650	0	0	0	0	0	0	132	143	0	143	0	139	158	0	0	0	0	0	0
Mcmbp	86.637931	0	0	0	619	485	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	132	97	177	0	0	0	0	0	0	0	0	0	0	398	713	497	560	0	0	0	0	0	0	213	157	0	158	0	280	264	0	0	0	0	147	0
Scmh1	86.620690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	181	0	0	0	0	0	0	0	226	1137	1228	0	0	0	0	0	259	439	417	321	0	0	0	0	0	0	0	0	0	0	0	0	94	0	92	0	78	211	0	0	0	0	0	0
Nemf	86.620690	0	167	0	405	338	0	0	0	0	145	364	157	0	0	0	0	0	0	0	0	0	0	0	81	185	157	0	125	0	0	0	0	0	0	110	135	341	409	384	563	0	0	330	0	0	0	0	103	0	104	0	96	133	0	0	192	0	0	0
Ly6g5b	86.603448	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	399	0	0	0	0	0	490	551	362	356	0	257	591	479	494	0	0	0	0	0	0	178	117	0	117	0	81	155	0	0	0	0	0	0
Krt88	86.551724	0	0	0	559	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	141	79	0	0	0	0	0	615	763	486	613	0	0	536	0	0	0	0	0	0	0	0	264	90	95	90	83	142	132	0	0	0	0	0	0
Cxcl2	86.551724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	232	203	210	0	111	0	169	117	716	933	691	723	0	0	0	0	0	0	0	0	0	0	0	175	134	0	135	0	150	229	0	0	0	0	0	0
Cpn1	86.534483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	1062	927	1469	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pon2	86.517241	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	74	261	754	577	0	178	131	259	164	136	186	151	213	0	110	180	205	299	0	0	0	0	0	0	0	105	0	104	0	294	310	0	0	0	0	0	0
Ccdc82	86.500000	0	0	0	939	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	189	0	0	0	0	0	0	98	186	203	151	105	0	0	427	109	267	0	0	0	0	0	0	232	162	85	162	0	361	483	0	0	0	0	0	0
Tbccd1	86.482759	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	150	85	169	0	0	0	196	0	0	165	228	159	0	529	831	484	626	0	0	0	0	0	0	0	143	60	144	84	231	337	0	0	0	0	0	0
Dnajb11	86.482759	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	150	85	169	0	0	0	196	0	0	165	228	159	0	529	831	484	626	0	0	0	0	0	0	0	143	60	144	84	231	337	0	0	0	0	0	0
Crybg1	86.431034	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	498	512	0	0	0	0	0	888	802	371	460	0	0	0	0	0	0	0	0	0	0	0	187	115	127	141	108	203	172	0	0	0	0	0	0
Nufip2	86.413793	0	0	0	0	0	0	0	0	0	0	0	0	0	309	335	225	225	256	0	0	0	0	0	0	88	0	0	0	0	0	0	155	316	303	239	0	241	436	380	992	0	0	0	0	0	0	0	0	0	0	0	197	315	0	0	0	0	0	0
Tspan9	86.396552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1561	1380	0	0	0	0	0	354	498	490	579	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d2	86.379310	0	0	0	317	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	196	146	171	0	504	715	492	753	0	0	0	0	0	0	114	111	69	112	120	167	279	0	0	0	0	0	0
Itga2	86.362069	0	0	0	1545	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	147	104	196	0	0	0	0	144	0	0	0	0	0	0	0	0	473	348	199	347	180	212	287	0	0	0	0	0	0
Magohb	86.344828	0	0	0	174	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	95	0	0	154	238	193	395	388	439	354	0	207	420	218	586	0	0	0	0	0	0	0	89	134	90	0	236	189	0	0	0	0	0	0
Mthfr	86.327586	0	0	0	300	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	272	0	0	0	116	0	178	117	0	0	0	0	0	577	404	866	627	0	0	0	0	0	0	169	76	0	76	0	128	266	0	0	0	0	0	0
Glcci1	86.327586	0	0	0	254	185	0	0	0	0	141	0	0	0	158	0	0	0	0	356	0	0	0	0	180	594	589	0	0	0	126	88	0	137	0	0	0	215	352	147	284	0	0	0	0	0	0	150	132	88	131	85	175	258	0	0	182	0	0	0
Clcn6	86.327586	0	0	0	300	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	272	0	0	0	116	0	178	117	0	0	0	0	0	577	404	866	627	0	0	0	0	0	0	169	76	0	76	0	128	266	0	0	0	0	0	0
Rps14	86.293103	0	0	0	0	0	0	0	0	0	0	0	0	0	524	472	250	178	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	850	645	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stard6	86.241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	88	116	0	0	200	0	0	428	304	499	356	0	230	1169	197	502	0	0	0	0	0	0	444	0	0	0	0	136	213	0	0	0	0	0	0
4930503L19Rik	86.241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	88	116	0	0	200	0	0	428	304	499	356	0	230	1169	197	502	0	0	0	0	0	0	444	0	0	0	0	136	213	0	0	0	0	0	0
Vsig10	86.172414	0	0	0	237	676	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	91	124	815	729	0	141	175	213	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	122	75	121	0	175	342	0	0	278	0	0	0
Pdp1	86.172414	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	93	129	0	0	0	0	0	0	422	489	667	682	0	226	1371	301	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Napa	86.172414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	1014	1215	1831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx19a	86.172414	0	0	0	234	316	0	0	0	0	0	0	0	0	0	87	0	0	0	172	0	0	0	0	131	287	267	0	184	117	148	157	0	0	0	0	0	328	778	332	938	0	0	0	0	0	0	240	0	0	0	0	68	214	0	0	0	0	0	0
Ikbip	86.137931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	71	232	0	0	0	0	0	143	173	0	0	0	0	0	743	628	1062	884	0	0	0	0	0	0	189	139	0	136	0	149	313	0	0	0	0	0	0
Apaf1	86.137931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	71	232	0	0	0	0	0	143	173	0	0	0	0	0	743	628	1062	884	0	0	0	0	0	0	189	139	0	136	0	149	313	0	0	0	0	0	0
Tmem232	86.068966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	655	2465	387	1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgs13	86.000000	0	0	0	549	507	0	0	254	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	112	181	124	0	0	0	164	187	0	0	135	0	0	157	535	0	252	0	0	0	0	0	0	0	241	129	241	123	251	521	0	0	0	0	0	0
Obi1	85.965517	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	461	432	498	496	0	133	256	152	300	0	0	0	0	0	0	0	250	190	250	180	395	690	0	0	0	0	0	0
Fndc7	85.862069	0	0	0	94	229	0	0	0	0	0	0	0	0	247	420	300	0	0	0	0	0	0	0	0	181	294	0	0	0	0	0	0	0	0	0	0	183	967	292	1214	0	0	0	0	0	0	0	75	0	75	0	122	287	0	0	0	0	0	0
Mphosph6	85.810345	0	0	0	187	212	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	342	414	0	212	0	0	0	0	0	0	0	0	520	1126	491	954	0	0	0	0	0	0	0	0	0	0	0	137	132	0	0	140	0	0	0
Qrich1	85.793103	0	0	0	293	251	0	0	0	0	0	0	0	0	175	138	123	96	0	0	0	0	0	0	152	0	0	0	0	0	171	161	0	0	0	0	0	304	337	278	344	0	0	0	0	0	0	214	336	161	334	127	385	596	0	0	0	0	0	0
Kcnab1	85.775862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	1210	1352	1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	85.741379	0	0	0	249	337	0	0	0	0	0	0	0	0	95	152	0	0	0	0	0	0	0	0	107	178	84	0	0	0	0	0	0	0	0	0	0	459	842	588	982	0	0	0	0	0	0	148	111	0	111	0	109	421	0	0	0	0	0	0
Mtf1	85.706897	0	0	0	180	192	0	0	0	0	0	0	0	0	145	120	0	0	0	0	0	0	0	0	88	407	417	0	0	0	268	161	136	176	201	256	0	252	267	379	401	0	0	0	0	0	0	141	154	0	153	0	192	285	0	0	0	0	0	0
Clasp1	85.672414	0	0	0	163	149	0	0	0	0	0	0	0	0	183	231	119	201	143	0	0	0	0	0	82	366	231	0	0	131	0	0	0	0	116	71	0	265	706	427	783	0	0	0	0	0	0	0	136	0	136	0	134	196	0	0	0	0	0	0
Ypel5	85.637931	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	134	154	0	254	197	0	0	253	258	169	279	0	355	819	437	398	0	0	0	0	0	0	395	148	0	148	0	147	197	0	0	0	0	0	0
Scaf1	85.586207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	104	0	0	0	0	0	0	0	0	0	0	860	1157	1282	1323	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0
Rras	85.586207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	104	0	0	0	0	0	0	0	0	0	0	860	1157	1282	1323	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0
Btrc	85.586207	0	0	0	106	171	0	231	146	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	145	347	299	0	0	0	0	0	0	0	0	0	0	518	346	726	405	0	0	0	0	0	0	300	163	137	163	0	311	373	0	0	0	0	0	0
Wdr12	85.551724	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	1062	556	728	0	150	358	218	509	0	0	0	0	0	0	0	93	0	93	0	155	121	0	0	0	0	0	0
Mbnl1	85.551724	0	0	0	0	286	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	97	170	188	0	0	95	106	156	152	160	0	0	0	0	365	348	659	0	177	0	0	252	254	98	208	84	209	115	260	378	0	0	0	0	0	0
H2aj	85.551724	0	0	0	405	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	239	146	201	245	0	556	801	740	1191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carf	85.551724	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	1062	556	728	0	150	358	218	509	0	0	0	0	0	0	0	93	0	93	0	155	121	0	0	0	0	0	0
Zfp143	85.534483	286	0	0	307	223	0	297	173	0	0	122	236	0	165	184	0	172	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	241	226	260	424	201	0	0	314	0	0	0	210	0	210	0	160	0	0	0	0	0	230	0
Tmem214	85.517241	0	0	0	117	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	1187	0	0	0	0	0	65	0	0	133	0	280	554	475	619	0	0	0	0	0	0	0	0	0	0	0	100	110	0	0	0	0	0	0
Psmg2	85.517241	0	0	0	200	0	0	0	0	0	0	0	0	0	280	289	181	224	314	0	0	0	0	0	0	204	335	0	0	0	0	0	415	360	429	373	0	258	454	149	413	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0
Cep76	85.517241	0	0	0	200	0	0	0	0	0	0	0	0	0	280	289	181	224	314	0	0	0	0	0	0	204	335	0	0	0	0	0	415	360	429	373	0	258	454	149	413	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0
Rab34	85.500000	0	0	0	250	0	0	0	0	0	0	247	0	0	0	178	172	0	101	0	0	0	0	0	277	0	0	0	0	0	0	0	477	432	750	829	0	183	246	226	184	0	0	0	0	0	0	0	90	0	92	0	100	125	0	0	0	0	0	0
Zfp953	85.431034	0	0	0	196	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	468	0	0	82	0	0	225	309	220	337	0	235	1020	277	536	0	0	0	0	0	0	72	0	0	0	0	66	145	0	0	0	0	0	0
Il23r	85.413793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1214	1159	1275	1306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a4	85.396552	0	0	0	427	509	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	171	444	488	0	0	0	138	215	0	0	0	0	0	164	477	0	0	0	0	0	0	85	87	343	150	0	151	0	207	502	0	0	192	0	0	0
Rag2	85.344828	0	0	0	0	0	177	156	0	0	0	0	0	0	143	146	0	0	0	383	0	0	0	95	208	0	0	0	0	0	0	0	416	392	363	410	0	228	462	0	184	0	0	0	0	0	0	0	158	142	157	0	293	437	0	0	0	0	0	0
Kcnn1	85.344828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	639	1048	2625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf1	85.310345	0	0	0	155	152	0	0	0	0	0	0	0	0	152	239	121	94	153	128	0	0	0	0	0	402	321	0	157	196	142	138	128	0	0	0	0	216	606	378	792	0	0	0	0	0	0	100	0	0	0	0	105	73	0	0	0	0	0	0
Mfn1	85.258621	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	467	337	0	0	0	0	0	0	0	0	0	0	502	907	751	856	0	0	0	0	0	0	106	195	0	194	74	186	178	0	0	0	0	0	0
Sprtn	85.241379	0	0	0	177	240	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	78	214	214	124	0	106	169	147	193	99	128	0	142	0	165	251	178	281	0	0	0	0	0	0	271	262	140	263	145	268	509	0	0	0	0	0	0
Rcsd1	85.241379	0	0	0	229	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	139	0	0	0	0	0	0	0	0	0	0	0	507	1303	452	1209	0	0	0	0	79	79	112	132	0	131	0	189	161	0	0	0	0	0	0
Exoc8	85.241379	0	0	0	177	240	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	78	214	214	124	0	106	169	147	193	99	128	0	142	0	165	251	178	281	0	0	0	0	0	0	271	262	140	263	145	268	509	0	0	0	0	0	0
Anxa11	85.241379	0	0	0	144	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	287	367	0	0	0	0	0	334	234	383	239	0	0	0	0	0	0	257	444	248	441	178	438	674	0	0	0	0	0	0
Ppfia4	85.224138	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	543	540	0	102	0	0	136	408	423	479	444	0	114	141	0	0	0	0	0	0	0	0	152	261	93	240	128	142	333	0	0	0	0	0	0
Alox8	85.224138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	114	0	0	163	112	0	656	773	659	597	0	0	336	200	599	0	0	0	0	0	0	192	73	0	74	0	0	130	0	0	0	0	0	0
Sart1	85.206897	0	0	0	0	256	0	0	0	0	0	0	0	0	192	183	177	120	100	0	0	0	0	0	129	315	298	0	0	0	0	115	0	0	0	0	0	315	947	281	1118	0	0	0	0	0	0	147	0	0	0	0	69	180	0	0	0	0	0	0
Znrd2	85.155172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	157	0	0	0	0	0	0	0	75	422	465	0	122	165	0	0	378	426	531	418	0	313	297	362	307	0	0	0	0	0	0	0	0	0	0	0	104	150	0	0	117	0	0	0
Plppr1	85.120690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1471	1421	1021	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt17	85.120690	0	0	0	445	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	383	390	0	0	0	0	166	136	176	0	213	0	128	501	125	273	0	0	0	0	0	0	395	164	172	164	146	211	259	0	0	0	0	0	0
Ppp4r4	85.103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1412	1428	1169	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp219	85.068966	0	0	0	202	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	184	364	0	0	0	0	0	542	457	370	276	0	164	349	261	349	0	0	0	0	0	0	141	146	0	147	0	257	333	0	0	0	0	0	0
Olfr231	85.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	192	366	0	0	0	0	0	681	812	618	695	0	0	0	351	910	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0
Frs2	85.000000	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	594	738	0	0	0	146	0	230	240	232	125	0	175	747	169	470	0	0	0	0	0	0	117	118	0	118	0	222	259	0	0	0	0	0	0
Ccdc114	85.000000	0	0	0	126	0	0	0	0	0	0	0	0	0	138	133	0	0	0	0	0	0	0	0	0	402	395	0	0	0	0	0	0	0	0	0	0	523	1218	715	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6030468B19Rik	84.931034	0	0	0	0	0	0	0	137	0	0	0	0	0	108	311	185	0	0	0	0	0	0	0	142	296	280	0	0	0	0	76	356	258	316	336	0	258	543	284	466	0	0	0	0	0	0	0	87	0	88	0	135	264	0	0	0	0	0	0
Stxbp3	84.913793	0	0	0	0	0	0	0	0	0	0	0	0	0	165	124	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	486	648	621	542	0	493	394	518	615	0	0	0	0	0	0	157	0	0	0	0	0	67	0	0	0	0	0	0
Sec14l1	84.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	164	206	0	0	0	0	0	0	0	0	124	668	965	0	0	0	0	0	519	425	285	322	0	241	393	322	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd54	84.896552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	605	695	0	0	0	0	0	0	176	132	254	0	167	357	238	517	0	0	0	0	0	0	113	302	91	301	144	272	402	0	0	0	0	0	0
Krtap5-4	84.879310	0	0	0	210	168	0	176	265	0	0	0	0	0	0	0	121	0	0	251	0	0	0	0	262	482	370	0	120	0	268	218	0	0	0	0	0	0	212	0	0	0	0	0	0	198	194	236	177	0	179	113	241	462	0	0	0	0	0	0
Krtap5-1	84.879310	0	0	0	210	168	0	176	265	0	0	0	0	0	0	0	121	0	0	251	0	0	0	0	262	482	370	0	120	0	268	218	0	0	0	0	0	0	212	0	0	0	0	0	0	198	194	236	177	0	179	113	241	462	0	0	0	0	0	0
H2bc11	84.879310	0	0	0	460	537	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	65	134	171	0	141	191	177	130	153	92	133	98	126	198	461	227	662	0	0	0	0	168	234	152	0	0	0	0	0	124	0	0	0	0	0	0
H2ac11	84.879310	0	0	0	460	537	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	65	134	171	0	141	191	177	130	153	92	133	98	126	198	461	227	662	0	0	0	0	168	234	152	0	0	0	0	0	124	0	0	0	0	0	0
Camk1g	84.862069	0	0	0	1065	1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	117	0	0	0	0	0	0	0	0	0	0	0	0	0	1069	0	433	0	0	0	0	0	0	0	0	93	0	74	155	193	0	0	202	0	0	0
Zfp52	84.844828	0	0	0	289	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	782	690	0	0	0	139	0	199	237	144	156	0	124	393	140	239	0	0	0	0	0	0	269	183	59	183	0	168	315	0	0	0	0	0	0
R3hdm1	84.844828	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	145	167	0	0	74	0	92	352	337	405	379	0	312	652	283	612	0	0	0	0	0	0	114	82	67	82	73	160	293	0	0	0	0	0	0
