Target_genes	Usf1|Average	SRX142512|C2C12	SRX142513|C2C12	SRX6784089|CH12	SRX6784090|CH12	SRX5027410|ES_cells	SRX6784044|MEL	SRX6784045|MEL	STRING
Usp9x	912.857143	372	404	958	1021	316	1470	1849	0
Dgka	910.857143	1370	1450	925	1309	1322	0	0	0
Zfp947	907.428571	1264	1479	1036	1113	439	386	635	0
Prpsap2	906.000000	395	637	1049	1494	1003	756	1008	0
Pgd	905.428571	436	238	951	1166	652	1344	1551	0
Actg1	905.285714	479	437	1001	1353	524	1218	1325	0
Stard13	903.142857	1549	2202	810	1296	465	0	0	0
Osm	900.428571	0	0	1442	1747	0	1597	1517	0
Slc35b1	898.857143	189	588	363	359	0	2354	2439	0
Surf2	896.000000	1127	1207	878	1107	163	803	987	0
Surf1	896.000000	1127	1207	878	1107	163	803	987	0
Arvcf	894.428571	169	278	583	846	390	1785	2210	0
Mat2b	891.857143	633	571	856	1043	440	1220	1480	0
Top1	889.000000	1138	755	1190	1121	425	539	1055	0
Bcas3	888.571429	774	632	1037	1090	328	1141	1218	0
Map10	888.000000	0	0	2543	2649	1024	0	0	0
Myo10	887.571429	849	1362	1454	1456	1092	0	0	0
Tor4a	886.571429	0	0	635	944	944	1825	1858	0
Zfp184	886.428571	1162	1744	199	814	328	729	1229	0
Trim16	885.142857	1322	1546	0	0	908	947	1473	0
Cfl2	885.142857	261	403	1268	1606	0	1275	1383	0
Mab21l4	885.000000	1034	1977	409	487	0	644	1644	0
Crocc2	885.000000	1034	1977	409	487	0	644	1644	0
Pnisr	882.714286	860	817	515	1090	0	1297	1600	0
Galk1	881.714286	378	447	1028	931	576	1315	1497	0
Suz12	881.571429	282	378	1106	1118	485	1377	1425	0
Wdr4	880.428571	299	857	482	897	689	1398	1541	0
Mknk1	879.714286	561	818	1163	768	455	1022	1371	0
Gm572	878.714286	1207	1615	0	0	437	1092	1800	0
Slc35e4	877.857143	1198	1627	202	236	452	1014	1416	0
Tpp2	877.571429	836	1007	674	784	0	1209	1633	0
Wsb2	877.428571	560	610	616	440	956	1207	1753	0
Elovl5	877.428571	613	926	837	463	260	1303	1740	0
Srp68	876.714286	990	860	719	841	0	1239	1488	0
Dcaf7	876.714286	426	429	830	1197	117	1501	1637	0
Prxl2a	875.428571	294	309	903	904	294	1448	1976	0
Avpi1	874.571429	361	1111	233	324	547	1538	2008	0
Utp4	873.714286	855	1542	497	351	1150	715	1006	0
Derpc	873.714286	855	1542	497	351	1150	715	1006	0
Chtf8	873.714286	855	1542	497	351	1150	715	1006	0
Hps6	873.285714	1390	2144	876	1159	178	94	272	0
Psap	872.857143	645	799	749	1088	213	1249	1367	0
Dnaic2	872.428571	1147	2485	706	1043	726	0	0	0
Ank2	872.285714	357	465	466	435	449	1720	2214	0
Nat10	869.714286	678	792	615	753	672	1139	1439	0
Ece1	869.142857	0	0	0	189	1143	2352	2400	0
Gem	869.000000	1000	1030	1043	1317	0	747	946	0
Cflar	867.857143	720	600	1019	688	0	1189	1859	0
Zc3h10	865.857143	1147	1293	515	634	447	733	1292	0
Rpl41	865.857143	1147	1293	515	634	447	733	1292	0
Pusl1	865.714286	1554	1602	415	434	564	759	732	0
Cenpc1	865.714286	1001	1245	686	676	257	860	1335	0
Acap3	865.714286	1554	1602	415	434	564	759	732	0
Apc	865.571429	2107	2660	0	0	1292	0	0	0
Hif1a	864.571429	692	459	721	857	305	1355	1663	0
Sdad1	861.571429	628	871	585	1057	349	1059	1482	0
Fkbp11	860.857143	705	1253	369	364	469	1138	1728	0
Ddx55	860.000000	353	682	715	863	585	1119	1703	0
Osbp	859.571429	729	621	842	871	225	1171	1558	0
Klf16	858.714286	182	864	811	790	647	1197	1520	0
Dtnbp1	856.428571	635	791	670	1038	363	1268	1230	0
Twistnb	856.285714	0	0	441	617	424	2144	2368	0
Sh3bp5	856.285714	0	150	870	1011	251	1621	2091	0
Polr3d	855.714286	568	745	1137	964	499	972	1105	0
Rnf19b	854.714286	386	462	843	1025	488	1352	1427	0
Washc1	853.571429	645	576	439	517	596	1368	1834	0
Etv1	852.142857	1195	1550	857	1132	1231	0	0	0
Zfp764	851.285714	493	583	798	884	784	993	1424	0
Cldn11	851.142857	209	503	1061	1135	253	1291	1506	0
Zbtb21	850.285714	520	711	746	999	556	1006	1414	0
Kdm6b	850.000000	954	1727	119	0	739	667	1744	0
Lrrc8d	848.285714	361	512	1125	840	1193	1018	889	0
Bhlhe40	847.428571	616	643	697	818	215	1285	1658	0
Asap1	847.428571	334	563	960	1091	0	1310	1674	0
Nuak2	847.285714	778	948	364	343	784	1318	1396	0
Cers6	845.428571	1708	2110	0	0	2100	0	0	0
Wars2	844.714286	756	1179	921	733	291	838	1195	0
Fnip1	843.571429	501	313	1109	1022	0	1469	1491	0
Mlh3	841.285714	1546	2083	345	285	1063	257	310	0
Fxyd5	840.428571	0	0	264	375	1222	1983	2039	0
Srd5a3	839.714286	417	506	825	1013	343	1176	1598	0
Rplp1	838.142857	323	498	646	686	230	1568	1916	0
Gskip	837.428571	627	564	516	504	408	1260	1983	0
Atg2b	837.428571	627	564	516	504	408	1260	1983	0
Ly96	836.714286	751	1030	775	695	0	953	1653	0
Nup93	835.857143	558	860	710	762	711	1008	1242	0
Spg20	835.571429	1562	1983	252	323	280	375	1074	0
Utp23	835.285714	726	1707	213	330	206	1085	1580	0
Akap1	832.571429	743	1177	511	793	299	1048	1257	0
Gpr146	830.000000	353	709	474	702	285	1383	1904	0
Reep3	829.428571	791	1531	1093	1234	1157	0	0	0
Tbkbp1	828.714286	0	369	313	220	1063	1816	2020	0
Meig1	828.285714	325	657	1076	916	383	1157	1284	0
Dclre1c	828.285714	325	657	1076	916	383	1157	1284	0
Usp15	825.571429	911	919	371	408	183	1065	1922	0
Gcsh	824.428571	850	739	839	758	463	1028	1094	0
Ccdc150	823.285714	1992	2623	0	0	1148	0	0	0
Desi2	822.857143	485	226	870	633	1271	1086	1189	0
Stat5a	821.142857	223	431	1246	695	0	1467	1686	0
Selenok	820.142857	569	676	847	1208	0	1114	1327	0
Rsl24d1	818.857143	276	254	998	1236	549	1017	1402	0
Fads1	818.714286	276	255	242	232	629	1862	2235	0
Sfxn2	817.857143	290	206	920	711	324	1587	1687	0
Arl3	817.857143	290	206	920	711	324	1587	1687	0
Stx8	812.714286	677	238	1041	1219	0	1172	1342	0
Cfap52	812.714286	677	238	1041	1219	0	1172	1342	0
Atp2b1	812.142857	570	589	750	1075	193	1137	1371	0
St3gal5	811.285714	381	612	872	1020	414	1158	1222	0
Spindoc	810.714286	464	922	855	614	309	1204	1307	0
Pyurf	808.571429	794	619	905	762	147	1151	1282	0
Metap1	805.714286	558	632	1128	1145	191	971	1015	0
Zranb2	804.428571	273	395	1208	1194	680	922	959	0
Arhgef7	804.428571	677	614	544	813	0	1172	1811	0
Larp1	803.714286	424	337	844	1036	221	1325	1439	0
Smad2	803.285714	493	613	904	693	557	858	1505	0
Tulp4	802.714286	232	222	1565	2022	0	710	868	0
Il6ra	802.571429	556	758	444	418	332	1355	1755	0
Klhl21	801.714286	896	1591	0	139	0	1186	1800	0
Atf2	800.857143	668	501	784	743	360	1215	1335	0
Tex9	800.142857	91	498	2183	2188	487	0	154	0
Sugt1	800.142857	650	616	668	991	0	1102	1574	0
Hoxc6	798.571429	355	517	912	1296	718	946	846	0
Hoxc5	798.571429	355	517	912	1296	718	946	846	0
BC048403	797.714286	431	592	921	983	392	795	1470	0
Erich4	796.571429	370	364	863	1023	376	1235	1345	0
Dmac2	796.571429	370	364	863	1023	376	1235	1345	0
Gsta4	795.142857	1587	2647	0	0	1332	0	0	0
Fkbp5	794.857143	895	851	827	807	428	735	1021	0
Sephs2	791.428571	311	585	693	776	257	1244	1674	0
Zswim8	790.142857	743	1793	703	527	287	501	977	0
Spata31d1d	789.714286	0	295	357	601	1090	1595	1590	0
Klf3	787.857143	917	912	0	0	327	1555	1804	0
Gtf2ird1	787.142857	714	1100	218	412	0	1245	1821	0
Tm7sf3	787.000000	412	563	458	619	359	1462	1636	0
Dnaja3	785.571429	817	945	929	1203	175	752	678	0
Coro7	785.571429	817	945	929	1203	175	752	678	0
Rab1a	784.857143	714	832	726	832	179	873	1338	0
Hsf2	783.857143	458	550	977	609	526	1022	1345	0
Tceal9	782.428571	493	747	518	647	0	1318	1754	0
Tatdn2	781.857143	561	470	865	949	287	1109	1232	0
Rap1gap2	778.000000	0	0	906	1097	0	1511	1932	0
Vps18	777.857143	773	560	928	813	0	1115	1256	0
Irak1bp1	777.428571	702	714	1097	1377	273	381	898	0
Irgm2	777.142857	766	0	1754	2198	96	259	367	0
Atp2a3	776.714286	130	169	1113	1265	227	1176	1357	0
Prcp	776.142857	841	1225	666	629	593	607	872	0
Ddias	776.142857	841	1225	666	629	593	607	872	0
Rassf4	776.000000	143	0	2323	2541	425	0	0	0
Trim45	774.142857	0	219	736	1092	0	1359	2013	0
Vezt	772.857143	1072	1508	1059	1016	0	235	520	0
Fgd6	772.857143	1072	1508	1059	1016	0	235	520	0
Sptbn4	771.571429	0	126	1010	834	1194	954	1283	0
Map2k2	770.000000	667	783	539	817	340	998	1246	0
Cstf1	769.857143	1236	552	594	761	0	804	1442	0
Aurka	769.857143	1236	552	594	761	0	804	1442	0
Mtrex	769.000000	440	705	706	843	395	1002	1292	0
Dhx29	769.000000	440	705	706	843	395	1002	1292	0
AI413582	769.000000	484	315	777	1065	199	1193	1350	0
Zfp607b	765.714286	355	595	779	802	275	1110	1444	0
Tpst2	765.714286	577	862	417	665	267	1097	1475	0
Vcpip1	765.428571	399	643	513	470	0	1290	2043	0
Mxd4	765.285714	439	709	733	525	477	1189	1285	0
Pprc1	764.857143	514	494	623	761	405	1116	1441	0
C1qbp	762.285714	382	387	909	947	251	1135	1325	0
Disp2	762.000000	0	204	306	494	122	1931	2277	0
Lrig2	761.428571	1030	1752	143	0	379	691	1335	0
Impact	759.857143	555	1007	426	515	902	803	1111	0
Ppp1r8	758.000000	316	440	1013	1246	0	1106	1185	0
Ldhd	757.857143	1446	2504	0	0	1355	0	0	0
Zfp655	756.285714	333	714	504	585	266	1371	1521	0
Got2	756.285714	461	621	810	909	309	957	1227	0
Capn1	755.142857	744	925	512	902	0	858	1345	0
Cnmd	754.142857	292	636	1371	1206	220	482	1072	0
Mideas	753.571429	970	1319	0	0	455	1205	1326	0
Cth	753.000000	363	422	915	1131	853	669	918	0
Kdm3a	752.285714	865	579	602	821	430	780	1189	0
Phlda3	751.000000	824	971	1036	1077	449	341	559	0
Nampt	749.428571	388	359	977	721	482	1199	1120	0
Ttc7	746.714286	631	1083	503	318	359	886	1447	0
Tanc2	745.857143	965	1543	928	983	802	0	0	0
Utp14b	745.428571	0	237	845	641	1397	956	1142	0
Acsl3	745.428571	0	237	845	641	1397	956	1142	0
Chid1	745.285714	1344	1878	243	339	166	563	684	0
Epb41	744.714286	460	680	562	745	120	1089	1557	0
Txlna	743.428571	482	421	526	575	594	1103	1503	0
Tceal1	742.142857	1002	1574	759	820	1040	0	0	0
Trim2	741.857143	495	811	281	501	0	1176	1929	0
Usp36	740.000000	565	637	474	678	576	999	1251	0
Mis12	739.857143	724	1188	704	1019	335	364	845	0
Derl2	739.857143	724	1188	704	1019	335	364	845	0
Lst1	739.428571	0	0	439	335	526	1951	1925	0
Rab9	738.571429	654	1209	148	410	0	1148	1601	0
Mkrn1	738.428571	0	223	0	0	947	1722	2277	0
Hspa9	737.857143	692	507	630	719	702	844	1071	0
Ptpn6	737.714286	0	0	1835	2247	0	504	578	0
Ass1	736.714286	475	1086	696	791	647	626	836	0
Tlr6	736.428571	1108	1501	306	216	0	838	1186	0
Eif4h	736.000000	679	775	850	1230	0	497	1121	0
Cdip1	735.285714	440	325	951	919	458	1006	1048	0
Emsy	735.000000	853	1131	495	432	457	621	1156	0
Cacybp	733.857143	451	361	250	227	0	1601	2247	0
Cwf19l2	733.714286	1128	967	457	305	217	833	1229	0
Fgd3	732.571429	0	200	774	904	0	1446	1804	0
Parp9	732.428571	427	163	646	637	0	1406	1848	0
Dtx3l	732.428571	427	163	646	637	0	1406	1848	0
Agbl3	732.285714	669	1093	327	813	578	524	1122	0
Gnai2	732.142857	352	544	760	722	0	1183	1564	0
Tmem147	731.428571	376	477	803	678	401	787	1598	0
Tm9sf4	730.714286	1029	757	543	671	228	779	1108	0
Taf12	730.285714	491	486	825	915	183	1036	1176	0
Nme2	730.285714	432	365	914	871	507	942	1081	0
Ccnd3	730.142857	356	446	449	490	658	1237	1475	0
Rarg	728.285714	925	1123	591	739	231	573	916	0
Klf11	726.857143	213	283	751	817	571	1138	1315	0
Rgs9bp	726.428571	0	0	0	0	0	2587	2498	0
Ankrd27	726.428571	0	0	0	0	0	2587	2498	0
Tomm20	725.714286	624	1120	505	761	465	775	830	0
Cmtm3	725.428571	967	1372	0	0	598	747	1394	0
Poglut3	724.428571	1367	2195	0	0	1112	231	166	0
Dtx3	723.714286	850	483	699	849	0	1048	1137	0
Pikfyve	723.571429	809	307	819	720	0	1238	1172	0
Idh1	723.571429	809	307	819	720	0	1238	1172	0
Nol6	723.428571	598	616	639	641	571	930	1069	0
Tfap4	721.285714	719	782	820	895	190	795	848	0
Fdps	721.142857	289	459	700	646	293	1214	1447	0
Stat5b	719.714286	0	0	520	642	0	1864	2012	0
Uap1	717.857143	0	0	0	0	0	2623	2402	0
Ubfd1	715.857143	669	452	842	604	639	742	1063	0
Ears2	715.857143	669	452	842	604	639	742	1063	0
Supt4a	715.571429	0	138	1025	804	240	1408	1394	0
Mcts2	715.142857	1488	2065	0	0	1453	0	0	0
Prorsd1	714.571429	908	1163	0	135	0	1179	1617	0
Tob1	713.857143	157	199	365	438	0	1788	2050	0
Ubr5	713.142857	707	843	585	574	294	885	1104	0
Slc25a34	712.714286	106	453	638	779	182	1153	1678	0
Hcls1	712.571429	0	0	1487	1558	0	753	1190	0
Shc2	712.000000	1437	2195	0	0	1352	0	0	0
Tmprss9	711.428571	632	1127	391	421	386	759	1264	0
Rnf186	710.857143	0	1692	730	0	816	103	1635	0
Rrp9	709.000000	1717	2365	103	125	197	183	273	0
Parp3	709.000000	1717	2365	103	125	197	183	273	0
Adcy7	708.857143	424	241	307	558	232	1263	1937	0
Clcn5	708.285714	724	1075	374	400	0	1108	1277	0
Hba-a2	708.000000	381	376	392	311	338	1204	1954	0
Hba-a1	708.000000	381	376	392	311	338	1204	1954	0
D16Ertd472e	707.428571	285	310	1231	1369	0	574	1183	0
Ckap5	706.000000	353	738	595	800	340	925	1191	0
Armc1	705.142857	844	723	540	613	404	730	1082	0
Lonrf1	705.000000	532	490	438	547	440	1098	1390	0
Sesn2	702.428571	0	0	939	1090	222	1068	1598	0
Mnt	702.285714	420	378	818	865	382	1070	983	0
Gm12500	701.571429	763	941	521	507	656	783	740	0
Ampd2	701.571429	763	941	521	507	656	783	740	0
Parp11	700.714286	0	267	1004	1170	348	792	1324	0
Foxk2	700.571429	370	544	847	829	372	704	1238	0
St3gal1	699.428571	964	921	501	543	252	905	810	0
Atxn7l1	698.857143	373	749	621	481	188	989	1491	0
Ptpn23	698.285714	451	149	873	870	136	1034	1375	0
Tra2b	697.571429	329	583	315	306	168	1040	2142	0
Med17	697.428571	413	441	329	397	0	1536	1766	0
Bpifb1	697.000000	237	718	439	583	920	479	1503	0
Polr3e	695.714286	206	239	836	892	581	1013	1103	0
Lrmda	695.285714	0	0	1010	1308	174	964	1411	0
Hnrnpul1	695.000000	852	789	847	507	436	759	675	0
5730455P16Rik	695.000000	0	0	0	0	2561	177	2127	0
Cuedc2	694.857143	677	880	371	325	0	1146	1465	0
Tmem86a	693.857143	757	1008	405	485	193	884	1125	0
Mthfd1	691.857143	561	575	657	868	422	790	970	0
Zbtb7a	691.571429	0	0	826	1084	176	1154	1601	0
Lrrc58	691.428571	505	592	875	1317	0	497	1054	0
Nr1d1	691.142857	574	717	618	650	358	893	1028	0
Kif20b	690.714286	299	837	697	485	0	988	1529	0
Bex1	689.571429	0	0	0	0	698	1927	2202	0
Dgkh	689.142857	648	819	1170	1659	528	0	0	0
Syt14	687.857143	0	0	0	0	794	2032	1989	0
Znrd2	687.571429	954	472	777	854	0	848	908	0
Fam89b	687.571429	954	472	777	854	0	848	908	0
Ankhd1	686.857143	733	888	386	746	276	781	998	0
Efna3	685.714286	388	786	382	493	2247	234	270	0
Slc13a2	685.142857	0	0	746	1505	548	765	1232	0
Sema6b	684.857143	0	0	0	0	293	2266	2235	0
Nr6a1	684.000000	1106	1242	384	382	181	647	846	0
Rbm38	683.857143	574	525	425	273	703	983	1304	0
Zfp729a	683.571429	724	1017	811	881	250	284	818	0
Prkar1a	683.571429	914	608	828	678	193	464	1100	0
Ipo13	683.285714	667	754	605	691	458	647	961	0
Gnl3l	682.714286	344	558	450	598	263	966	1600	0
Adck1	681.857143	524	589	560	692	417	816	1175	0
Dusp2	681.285714	939	1494	616	621	0	538	561	0
Tex2	679.857143	232	358	548	805	411	894	1511	0
Med11	679.142857	533	523	712	748	402	796	1040	0
Esr2	679.000000	655	1404	541	635	1021	0	497	0
Tppp	676.571429	325	699	839	1392	1356	0	125	0
Oasl1	675.000000	556	610	275	297	546	923	1518	0
Nrgn	673.714286	147	419	147	221	0	1774	2008	0
Tmub1	673.285714	611	645	457	536	640	762	1062	0
Fastk	673.285714	611	645	457	536	640	762	1062	0
Agap3	673.285714	611	645	457	536	640	762	1062	0
Sh3tc2	672.285714	0	0	0	0	0	2222	2484	0
Ifngr2	671.714286	0	0	0	0	397	2120	2185	0
Ralgapa2	671.000000	197	167	642	671	138	1247	1635	0
Col5a1	670.857143	1664	2882	0	0	0	150	0	0
Slc25a10	670.571429	925	680	436	492	0	964	1197	0
Ncf2	670.285714	0	0	609	704	0	1416	1963	0
Emp3	669.857143	567	500	242	293	354	1121	1612	0
Ccdc114	669.857143	567	500	242	293	354	1121	1612	0
Selenbp1	669.428571	0	0	0	0	0	2492	2194	0
Zbtb26	668.857143	412	320	643	1009	0	968	1330	0
Tiam1	668.571429	280	861	0	0	0	1323	2216	0
Pyroxd1	668.285714	490	476	686	767	447	732	1080	0
Fam117a	668.142857	372	413	913	654	377	736	1212	0
Wdr92	668.000000	568	756	592	636	158	834	1132	0
Pno1	668.000000	568	756	592	636	158	834	1132	0
Ptprv	665.428571	530	815	579	736	0	730	1268	0
Ptpn7	665.428571	530	815	579	736	0	730	1268	0
Lims1	665.285714	0	0	809	833	0	1412	1603	0
Chac1	664.857143	915	1454	461	356	262	459	747	0
Tjp3	664.000000	600	870	402	455	273	735	1313	0
Runx3	663.142857	388	596	1005	899	0	646	1108	0
Wdr7	662.857143	573	235	477	678	0	1128	1549	0
Kansl1	662.571429	751	759	591	563	244	755	975	0
Mtx3	661.000000	1240	728	571	609	195	499	785	0
Pcbp1	660.571429	320	317	958	1027	225	640	1137	0
Pfdn2	660.000000	746	831	303	313	0	759	1668	0
Nit1	660.000000	746	831	303	313	0	759	1668	0
Plekho1	659.142857	467	934	367	547	529	755	1015	0
Pus7l	658.571429	885	859	366	367	169	803	1161	0
Irak4	658.571429	885	859	366	367	169	803	1161	0
Timm8a1	655.857143	369	329	421	485	129	1204	1654	0
Golga3	655.571429	376	745	560	445	301	810	1352	0
Dap	653.285714	1057	1554	0	0	0	561	1401	0
Fasn	652.571429	110	318	600	712	668	962	1198	396
Pltp	650.857143	370	569	370	501	796	1013	937	0
Nrarp	650.857143	280	316	621	591	562	968	1218	0
Ccdc88c	649.428571	0	0	444	365	268	1593	1876	0
Hoxa4	649.000000	1476	1537	0	0	1530	0	0	0
Zfp809	648.714286	276	338	471	272	378	1241	1565	0
Prxl2b	648.285714	0	347	1576	2058	557	0	0	0
Kpnb1	647.857143	449	640	777	934	175	573	987	0
Lipo3	646.571429	0	0	1855	1782	889	0	0	0
Impdh2	646.428571	210	575	562	771	382	703	1322	0
Tmigd1	646.142857	1049	1805	658	715	0	0	296	0
Bend3	644.714286	138	215	761	649	736	808	1206	0
Rps15a	644.142857	0	177	0	0	1030	1495	1807	0
Sar1a	643.571429	248	430	661	543	505	971	1147	0
Pogk	643.285714	577	308	789	631	0	958	1240	0
Pianp	643.142857	1550	2613	0	0	339	0	0	0
Nckap1	642.714286	335	168	720	1064	0	909	1303	0
Hdac7	640.142857	0	0	0	0	776	1855	1850	0
Gpam	640.000000	1714	1868	146	278	0	142	332	0
Zfp202	638.714286	663	568	810	1074	296	378	682	0
Cbarp	638.285714	314	627	367	538	374	931	1317	0
Atp5d	638.285714	314	627	367	538	374	931	1317	0
Mylip	638.000000	904	912	0	0	0	879	1771	0
Zbtb5	637.285714	795	740	511	497	0	766	1152	0
Pja2	636.285714	489	519	258	166	0	1253	1769	0
Smdt1	636.000000	720	1120	557	566	0	662	827	0
Icam5	635.000000	155	250	296	339	0	1733	1672	0
Icam4	635.000000	155	250	296	339	0	1733	1672	0
Tdrd9	634.428571	0	0	0	0	194	2185	2062	0
Atp5mpl	634.428571	0	0	0	0	194	2185	2062	0
Slc25a39	634.142857	277	308	673	747	0	1069	1365	0
Ryr1	634.142857	315	352	500	733	252	904	1383	0
Dcun1d4	634.142857	510	381	285	391	366	1169	1337	0
Cnot1	633.571429	667	354	390	980	0	727	1317	0
Snx16	633.142857	324	595	650	690	640	584	949	0
Wipf2	632.857143	470	303	823	821	278	831	904	0
Ptpa	632.714286	598	761	292	299	411	852	1216	0
H4bc24	632.714286	623	863	364	261	232	859	1227	0
H2bc23	632.714286	623	863	364	261	232	859	1227	0
H2ac24	632.714286	623	863	364	261	232	859	1227	0
H2ac23	632.714286	623	863	364	261	232	859	1227	0
Crat	632.714286	598	761	292	299	411	852	1216	0
Ung	632.142857	191	627	608	682	251	928	1138	0
Alkbh2	632.142857	191	627	608	682	251	928	1138	0
Egr1	631.857143	309	258	786	1045	120	953	952	0
Fn3k	631.428571	230	209	197	313	0	1770	1701	0
Zfp788	631.000000	748	803	478	430	417	496	1045	0
Pim3	630.571429	1042	1407	160	143	0	761	901	0
Mt1	629.714286	368	835	324	257	479	887	1258	0
Armcx4	629.428571	295	622	1070	1539	880	0	0	0
Hlx	629.285714	0	0	246	289	193	1608	2069	0
Hbq1b	629.142857	0	214	392	302	338	1204	1954	0
Nfam1	628.000000	0	0	438	517	0	1458	1983	0
Sqstm1	627.857143	1250	1288	790	957	110	0	0	0
Ptp4a2	627.714286	165	0	816	884	0	1175	1354	0
Mrpl45	626.285714	378	685	689	735	171	739	987	0
Sgtb	624.285714	370	315	774	743	602	672	894	0
Nln	624.285714	370	315	774	743	602	672	894	0
Mgat1	624.000000	506	832	402	431	237	851	1109	0
Ppp1r14b	623.714286	830	999	394	595	177	607	764	0
Plcb3	623.714286	830	999	394	595	177	607	764	0
Fkbp2	623.714286	830	999	394	595	177	607	764	0
Usp16	622.857143	540	792	560	662	194	517	1095	0
Stk17b	622.285714	223	249	742	616	316	869	1341	0
Tmem250-ps	622.142857	138	218	0	0	0	1798	2201	0
Fam76a	621.714286	209	390	972	972	0	852	957	0
H4c17	621.428571	623	863	364	236	178	859	1227	0
Satb2	620.857143	850	640	1070	1063	723	0	0	0
Npat	620.714286	390	704	508	704	0	845	1194	0
Atm	620.714286	390	704	508	704	0	845	1194	0
Rpl8	620.000000	427	625	418	304	670	881	1015	0
Ogfod3	619.857143	358	1245	503	565	462	626	580	0
Hexdc	619.857143	358	1245	503	565	462	626	580	0
Gamt	619.857143	370	545	513	614	193	890	1214	0
Dazap1	619.857143	370	545	513	614	193	890	1214	0
Bex4	619.714286	0	0	0	0	816	1521	2001	0
Gchfr	619.285714	0	0	0	0	0	1898	2437	0
Etfdh	618.285714	599	596	525	631	250	720	1007	0
4930579G24Rik	618.285714	599	596	525	631	250	720	1007	0
Pole3	617.857143	466	725	315	324	295	672	1528	0
Abcg4	617.857143	0	0	0	0	286	1856	2183	0
Myef2	617.571429	954	1118	0	0	120	929	1202	0
Pknox1	616.857143	298	251	808	695	0	887	1379	0
Haus1	616.714286	379	736	403	725	0	852	1222	0
Atp5a1	616.714286	379	736	403	725	0	852	1222	0
Xpnpep1	616.571429	294	217	544	451	112	1246	1452	0
Ctdp1	616.142857	592	960	398	653	336	542	832	0
Bid	615.714286	0	128	622	761	0	1086	1713	0
Narf	615.285714	666	486	673	275	136	668	1403	0
Dnmt3a	614.857143	0	0	717	945	429	1064	1149	0
Rnf123	614.285714	209	666	1465	1960	0	0	0	0
Mst1	614.285714	209	666	1465	1960	0	0	0	0
Anp32b	614.142857	687	905	554	449	679	407	618	0
Foxo3	612.142857	210	456	396	348	531	992	1352	0
Ahr	609.857143	864	979	1006	894	526	0	0	0
Smap2	609.142857	0	210	358	321	0	1419	1956	0
Slc48a1	608.000000	849	802	120	166	0	711	1608	0
Myo1h	607.285714	1679	2167	0	0	405	0	0	0
Gm3448	607.142857	229	415	510	596	343	978	1179	0
Gm3417	607.142857	229	415	510	596	343	978	1179	0
Ipo4	606.857143	444	739	642	631	0	823	969	0
Rplp2	606.142857	593	602	507	581	172	790	998	0
Pidd1	606.142857	593	602	507	581	172	790	998	0
Fgf11	605.857143	0	231	169	109	1391	1361	980	0
Chrnb1	605.857143	0	231	169	109	1391	1361	980	0
Zfp867	605.285714	446	150	381	203	165	357	2535	0
Xkr9	604.142857	0	0	0	0	0	1776	2453	0
Ktn1	604.000000	628	429	535	989	700	383	564	0
Tollip	601.857143	143	0	793	650	0	1272	1355	0
Ext2	601.714286	563	755	276	448	340	643	1187	0
Rint1	601.285714	0	0	269	287	0	1554	2099	0
Tet2	600.571429	323	182	964	975	678	481	601	0
Nol8	600.571429	854	721	309	306	298	416	1300	0
Cenpp	600.571429	854	721	309	306	298	416	1300	0
Riok2	599.714286	667	732	376	449	263	575	1136	0
Neurl1a	599.428571	786	879	378	719	810	273	351	0
Rxylt1	599.142857	571	820	579	445	164	612	1003	0
Slfn2	598.428571	0	0	418	553	0	1200	2018	0
Kcna7	597.857143	732	686	0	0	193	988	1586	0
Amd2	597.428571	1179	1258	107	0	677	330	631	0
Amd1	597.428571	1179	1258	107	0	677	330	631	0
Foxp1	597.142857	515	876	0	239	0	785	1765	0
Rbm48	596.714286	458	290	714	704	250	620	1141	0
Pex1	596.714286	458	290	714	704	250	620	1141	0
Wdr66	596.142857	1019	1765	0	0	1389	0	0	0
Tcte3	596.000000	176	415	510	596	318	978	1179	0
Ccdc43	595.428571	776	993	533	437	128	486	815	0
Cdk9	595.142857	1079	1110	428	566	350	374	259	0
Rpl30	595.000000	722	773	455	359	138	659	1059	0
Uqcrq	594.285714	423	481	698	513	256	732	1057	0
Gdf9	594.285714	423	481	698	513	256	732	1057	0
Pmaip1	592.714286	0	2177	405	619	0	471	477	0
Jmy	591.428571	380	607	240	332	557	791	1233	0
Tmem104	587.714286	0	0	174	306	336	1492	1806	0
Nat9	587.714286	0	0	174	306	336	1492	1806	0
Acot6	586.857143	370	362	0	0	499	1241	1636	0
Tmem211	586.571429	634	822	382	343	1925	0	0	0
Parvb	586.571429	582	934	255	255	0	673	1407	0
C3ar1	586.571429	247	576	1514	1769	0	0	0	0
Zfp708	585.571429	527	516	464	766	222	737	867	0
Drg2	585.571429	641	555	413	804	0	675	1011	0
Wdr77	583.571429	618	582	555	566	285	712	767	0
Atp5pb	583.571429	618	582	555	566	285	712	767	0
Gm10100	583.142857	232	742	555	616	271	750	916	0
Rapgef3	582.000000	333	394	462	525	286	830	1244	0
Tmem11	581.857143	335	589	337	428	337	711	1336	0
Tspyl1	581.000000	622	847	436	477	0	779	906	0
Zfr2	580.571429	156	330	308	637	384	887	1362	0
Atcay	580.571429	156	330	308	637	384	887	1362	0
Ms4a1	580.428571	0	0	2054	2009	0	0	0	0
Sh3pxd2b	580.000000	326	162	254	354	0	1251	1713	0
