Target_genes	Relb|Average	SRX122464|Dendritic_Cells	SRX122465|Dendritic_Cells	SRX122466|Dendritic_Cells	SRX122467|Dendritic_Cells	SRX122576|Dendritic_Cells	SRX122577|Dendritic_Cells	SRX20904785|Dendritic_Cells	SRX20904786|Dendritic_Cells	SRX20904788|Dendritic_Cells	SRX20904789|Dendritic_Cells	SRX4680244|MEF	SRX4680245|MEF	SRX4680246|MEF	SRX4680247|MEF	STRING
Larp1	163.500000	0	0	0	0	0	0	1051	1238	0	0	0	0	0	0	0
Vdr	163.357143	0	0	0	0	0	0	1410	877	0	0	0	0	0	0	0
Slc29a2	163.357143	0	0	0	0	0	0	1072	1114	101	0	0	0	0	0	0
Tmod3	163.285714	0	0	0	0	0	0	1055	1093	138	0	0	0	0	0	0
Srsf4	163.285714	0	0	0	0	0	0	878	1260	148	0	0	0	0	0	0
Rab19	163.142857	0	0	0	0	0	0	1002	1282	0	0	0	0	0	0	0
Arhgap21	163.000000	0	0	0	0	0	0	1111	1050	121	0	0	0	0	0	0
Vps37c	162.857143	0	0	0	0	0	0	1309	971	0	0	0	0	0	0	0
Pira6	162.857143	0	0	0	0	0	0	1060	1131	89	0	0	0	0	0	0
Eef1aknmt	162.857143	0	0	0	0	0	0	1188	1092	0	0	0	0	0	0	0
Dgkz	162.857143	0	0	0	0	0	0	1028	1136	116	0	0	0	0	0	0
2510009E07Rik	162.857143	0	0	0	0	0	0	759	1521	0	0	0	0	0	0	0
Trmt12	162.785714	0	0	0	0	0	0	1096	994	189	0	0	0	0	0	0
S100a5	162.785714	0	0	0	0	0	0	1356	923	0	0	0	0	0	0	0
S100a4	162.785714	0	0	0	0	0	0	1356	923	0	0	0	0	0	0	0
Il18bp	162.714286	0	0	0	0	0	0	1178	1100	0	0	0	0	0	0	0
Zfp664	162.642857	0	0	0	0	0	0	976	1015	286	0	0	0	0	0	0
Slc37a4	162.642857	0	0	0	0	0	0	1408	869	0	0	0	0	0	0	0
Ccdc92	162.642857	0	0	0	0	0	0	976	1015	286	0	0	0	0	0	0
Mgam	162.571429	0	0	0	0	0	0	1176	741	0	359	0	0	0	0	0
Wac	162.500000	0	0	0	0	0	0	1304	971	0	0	0	0	0	0	0
Ddr1	162.500000	0	0	0	0	0	0	1049	1226	0	0	0	0	0	0	0
Cd3e	162.500000	0	0	0	0	0	0	1350	925	0	0	0	0	0	0	0
Zfand2b	162.357143	0	0	0	0	0	0	1293	901	79	0	0	0	0	0	0
Ptprj	162.357143	0	0	0	0	0	0	1174	968	131	0	0	0	0	0	0
Hmga1b	162.357143	0	0	0	0	0	0	1090	1183	0	0	0	0	0	0	0
Hmga1	162.357143	0	0	0	0	0	0	1090	1183	0	0	0	0	0	0	0
Nadk	162.214286	0	0	0	0	0	0	1099	1172	0	0	0	0	0	0	0
Nipal1	162.142857	0	0	0	0	0	0	1012	1258	0	0	0	0	0	0	0
Fhit	162.142857	0	0	0	0	0	0	1306	875	0	0	0	0	0	89	0
Rcsd1	162.071429	0	0	0	0	0	0	982	1287	0	0	0	0	0	0	0
Kpna4	162.071429	0	0	0	0	0	0	1051	1046	172	0	0	0	0	0	0
Jrk	162.071429	0	0	0	0	0	0	1184	999	86	0	0	0	0	0	0
Tmem140	162.000000	0	0	0	0	0	0	1213	1055	0	0	0	0	0	0	0
Inhba	162.000000	0	0	0	0	0	0	1138	1130	0	0	0	0	0	0	0
Zp2	161.928571	0	0	0	0	0	0	1364	903	0	0	0	0	0	0	0
Slc6a6	161.857143	0	0	0	0	0	0	1374	892	0	0	0	0	0	0	0
Rcbtb2	161.857143	0	0	0	0	0	0	875	1391	0	0	0	0	0	0	0
Zbtb21	161.714286	0	0	0	0	0	0	1365	899	0	0	0	0	0	0	0
S100a10	161.714286	0	0	0	0	0	0	1190	1074	0	0	0	0	0	0	0
Xcr1	161.571429	0	0	0	0	0	0	1088	1174	0	0	0	0	0	0	0
Wrnip1	161.571429	0	0	0	0	0	0	1151	1111	0	0	0	0	0	0	0
Pla2g4f	161.500000	0	0	0	0	0	0	873	1388	0	0	0	0	0	0	0
Pim3	161.500000	0	0	0	0	0	0	1104	1042	115	0	0	0	0	0	0
Rabepk	161.428571	0	0	0	0	0	0	1039	1221	0	0	0	0	0	0	0
Fosl2	161.428571	0	0	0	0	0	0	1169	972	119	0	0	0	0	0	0
Abtb1	161.357143	0	0	0	0	0	0	1370	717	172	0	0	0	0	0	0
Bpifc	161.285714	0	0	0	0	0	0	1041	1217	0	0	0	0	0	0	0
Slc11a2	161.214286	0	0	0	0	0	0	1400	857	0	0	0	0	0	0	0
Dgat2	161.214286	0	0	0	0	0	0	1128	858	0	271	0	0	0	0	0
Atp2b1	161.142857	0	0	0	0	0	0	1012	1083	161	0	0	0	0	0	0
Itpripl2	161.071429	0	0	0	0	0	0	936	1254	65	0	0	0	0	0	0
Gm6713	161.071429	0	0	0	0	0	0	1305	950	0	0	0	0	0	0	0
Dok2	161.071429	0	0	0	0	0	0	1030	1225	0	0	0	0	0	0	0
Rhoh	161.000000	0	0	0	0	0	0	1227	1027	0	0	0	0	0	0	0
Enthd1	160.928571	0	0	0	0	0	0	1188	1065	0	0	0	0	0	0	0
Ahnak	160.857143	0	0	0	0	0	0	962	1125	104	0	0	0	0	61	0
Lrch4	160.785714	0	0	0	0	0	0	1379	872	0	0	0	0	0	0	0
Fbxo24	160.785714	0	0	0	0	0	0	1379	872	0	0	0	0	0	0	0
Efna2	160.785714	0	0	0	0	0	0	877	1223	151	0	0	0	0	0	0
Mdfic	160.642857	0	0	0	0	0	0	1243	1006	0	0	0	0	0	0	0
Il10ra	160.642857	0	0	0	0	0	0	1218	1031	0	0	0	0	0	0	0
Etv3l	160.642857	0	0	0	0	0	0	1185	1064	0	0	0	0	0	0	0
C9orf72	160.642857	0	0	0	0	0	0	1203	960	86	0	0	0	0	0	0
Eif5a	160.428571	0	0	0	0	0	0	1156	1090	0	0	0	0	0	0	0
Galc	160.357143	0	0	0	0	0	0	1303	942	0	0	0	0	0	0	0
Smap1	160.285714	0	0	0	0	0	0	955	1289	0	0	0	0	0	0	0
Mtmr12	160.285714	0	0	0	0	0	0	969	1275	0	0	0	0	0	0	0
Mmd	160.214286	0	0	0	0	0	0	1308	935	0	0	0	0	0	0	0
Lrrc56	160.214286	0	0	0	0	0	0	1163	1080	0	0	0	0	0	0	0
Hras	160.214286	0	0	0	0	0	0	1163	1080	0	0	0	0	0	0	0
Pex3	160.142857	0	0	0	0	0	0	1155	1087	0	0	0	0	0	0	0
Hoxc10	160.142857	0	0	0	0	0	0	1087	1155	0	0	0	0	0	0	0
Adat2	160.142857	0	0	0	0	0	0	1155	1087	0	0	0	0	0	0	0
Saxo2	160.000000	0	0	0	0	0	0	1262	978	0	0	0	0	0	0	0
Gsr	160.000000	0	0	0	0	0	0	1104	990	146	0	0	0	0	0	0
Efl1	160.000000	0	0	0	0	0	0	1262	978	0	0	0	0	0	0	0
Stk39	159.928571	0	0	0	0	0	0	733	1506	0	0	0	0	0	0	0
Sting1	159.928571	0	0	0	0	0	0	1377	862	0	0	0	0	0	0	0
Cdk8	159.785714	0	0	0	0	0	0	838	1248	151	0	0	0	0	0	0
Trmt10a	159.642857	0	0	0	0	0	0	1253	982	0	0	0	0	0	0	0
Tmem128	159.642857	0	0	0	0	0	0	1437	798	0	0	0	0	0	0	0
Mttp	159.642857	0	0	0	0	0	0	1253	982	0	0	0	0	0	0	0
4933405O20Rik	159.642857	0	0	0	0	0	0	499	496	177	1063	0	0	0	0	0
Polm	159.571429	0	0	0	0	0	0	1139	1095	0	0	0	0	0	0	0
Slamf7	159.500000	0	0	0	0	0	0	1138	1095	0	0	0	0	0	0	0
Mt1	159.500000	0	0	0	0	0	0	1024	979	230	0	0	0	0	0	0
F2rl2	159.500000	0	0	0	0	0	0	1172	1061	0	0	0	0	0	0	0
Anxa7	159.500000	0	0	0	0	0	0	987	1246	0	0	0	0	0	0	0
Scd3	159.428571	0	0	0	0	0	0	1165	1067	0	0	0	0	0	0	0
Rab8b	159.428571	0	0	0	0	0	0	998	1234	0	0	0	0	0	0	0
Fmc1	159.214286	0	0	0	0	0	0	1274	955	0	0	0	0	0	0	0
Cnksr3	159.214286	0	0	0	0	0	0	1123	1106	0	0	0	0	0	0	0
Nfia	159.071429	0	0	0	0	0	0	1023	1204	0	0	0	0	0	0	0
Pigv	158.928571	0	0	0	0	0	0	833	1254	138	0	0	0	0	0	0
Clec4b1	158.928571	0	0	0	0	0	0	1084	1141	0	0	0	0	0	0	0
Vwa3b	158.857143	0	0	0	0	0	0	1227	997	0	0	0	0	0	0	0
Sema4c	158.785714	0	0	0	0	0	0	1234	989	0	0	0	0	0	0	0
Prss46	158.785714	0	0	0	0	0	0	1159	1064	0	0	0	0	0	0	0
Cd53	158.785714	0	0	0	0	0	0	1000	1063	160	0	0	0	0	0	0
Tnfsf9	158.714286	0	0	0	0	0	0	1146	1076	0	0	0	0	0	0	0
Mcl1	158.714286	0	0	0	0	0	0	933	1206	83	0	0	0	0	0	0
Lpin2	158.642857	0	0	0	0	0	0	1284	825	112	0	0	0	0	0	0
Serpine1	158.428571	0	0	0	0	0	0	1117	1101	0	0	0	0	0	0	0
Uhrf1	158.357143	0	0	0	0	0	0	1086	1131	0	0	0	0	0	0	0
Rrp9	158.357143	0	0	0	0	0	0	983	1138	0	0	0	0	0	96	0
Parp3	158.357143	0	0	0	0	0	0	983	1138	0	0	0	0	0	96	0
H2-L	158.357143	0	0	0	0	0	0	1287	930	0	0	0	0	0	0	0
H2-D1	158.357143	0	0	0	0	0	0	1287	930	0	0	0	0	0	0	0
Gpr155	158.357143	0	0	0	0	0	0	1105	947	165	0	0	0	0	0	0
Depdc5	158.357143	0	0	0	0	0	0	1079	967	171	0	0	0	0	0	0
Arrdc5	158.357143	0	0	0	0	0	0	1086	1131	0	0	0	0	0	0	0
Spry4	158.285714	0	0	0	0	0	0	1085	1131	0	0	0	0	0	0	0
Ppp1r15a	158.285714	0	0	0	0	0	0	1074	999	0	0	0	0	143	0	0
Plekha4	158.285714	0	0	0	0	0	0	1074	999	0	0	0	0	143	0	0
Ncald	158.285714	0	0	0	0	0	0	1386	830	0	0	0	0	0	0	0
Zfp317	158.214286	0	0	0	0	0	0	1137	1078	0	0	0	0	0	0	0
Arf4	158.214286	0	0	0	0	0	0	1290	925	0	0	0	0	0	0	0
Lcmt1	158.142857	0	0	0	0	0	0	1420	794	0	0	0	0	0	0	0
Nxt1	158.071429	0	0	0	0	0	0	1527	686	0	0	0	0	0	0	0
Gpr88	158.000000	0	0	0	0	0	0	1209	1003	0	0	0	0	0	0	0
Sp140	157.928571	0	0	0	0	0	0	788	1423	0	0	0	0	0	0	0
Sp110	157.928571	0	0	0	0	0	0	788	1423	0	0	0	0	0	0	0
Rsl1	157.928571	0	0	0	0	0	0	1634	577	0	0	0	0	0	0	0
Lsp1	157.785714	0	0	0	0	0	0	1112	1097	0	0	0	0	0	0	0
Klk1b8	157.785714	0	0	0	0	0	0	1162	1047	0	0	0	0	0	0	0
Elf1	157.785714	0	0	0	0	0	0	913	893	134	269	0	0	0	0	0
Dnah1	157.785714	0	0	0	0	0	0	658	1551	0	0	0	0	0	0	0
Tbc1d15	157.714286	0	0	0	0	0	0	1108	1100	0	0	0	0	0	0	0
Ctss	157.714286	0	0	0	0	0	0	1070	1138	0	0	0	0	0	0	0
Sulf2	157.642857	0	0	0	0	0	0	985	1222	0	0	0	0	0	0	0
Tet3	157.571429	0	0	0	0	0	0	804	1237	165	0	0	0	0	0	0
Rnf5	157.428571	0	0	0	0	0	0	1036	1168	0	0	0	0	0	0	0
Ly96	157.428571	0	0	0	0	0	0	1322	882	0	0	0	0	0	0	0
Agpat1	157.428571	0	0	0	0	0	0	1036	1168	0	0	0	0	0	0	0
Spata5l1	157.357143	0	0	0	0	0	0	1232	807	164	0	0	0	0	0	0
Slc41a1	157.285714	0	0	0	0	0	0	931	1165	106	0	0	0	0	0	0
Mpp6	157.285714	0	0	0	0	0	0	1208	901	93	0	0	0	0	0	0
Itpripl1	157.285714	0	0	0	0	0	0	1192	1010	0	0	0	0	0	0	0
Actb	157.285714	0	0	0	0	0	0	1108	1094	0	0	0	0	0	0	0
Vamp4	157.214286	0	0	0	0	0	0	1104	920	177	0	0	0	0	0	0
Tmem189	157.214286	0	0	0	0	0	0	1040	1029	132	0	0	0	0	0	0
Notch4	157.214286	0	0	0	0	0	0	1060	999	142	0	0	0	0	0	0
Tnp2	157.142857	0	0	0	0	0	0	1441	664	95	0	0	0	0	0	0
Tnip3	157.142857	0	0	0	0	0	0	1137	1063	0	0	0	0	0	0	0
Slc35a5	157.071429	0	0	0	0	0	0	968	1079	152	0	0	0	0	0	0
Rev3l	157.071429	0	0	0	0	0	0	902	1006	291	0	0	0	0	0	0
Isg20	157.071429	0	0	0	0	0	0	1080	1119	0	0	0	0	0	0	0
Atg3	157.071429	0	0	0	0	0	0	968	1079	152	0	0	0	0	0	0
Rab30	157.000000	0	0	0	0	0	0	1186	856	0	0	0	0	0	156	0
Raf1	156.928571	0	0	0	0	0	0	1097	956	144	0	0	0	0	0	0
Nxf2	156.928571	0	0	0	0	0	0	1434	763	0	0	0	0	0	0	0
Fbxo40	156.928571	0	0	0	0	0	0	1366	831	0	0	0	0	0	0	0
Shmt1	156.857143	0	0	0	0	0	0	1065	1042	89	0	0	0	0	0	0
Oaf	156.857143	0	0	0	0	0	0	911	1162	123	0	0	0	0	0	0
Khdrbs1	156.857143	0	0	0	0	0	0	1048	998	150	0	0	0	0	0	0
Hcar2	156.857143	0	0	0	0	0	0	1028	1168	0	0	0	0	0	0	0
Ifitm5	156.785714	0	0	0	0	0	0	966	1229	0	0	0	0	0	0	0
Tspoap1	156.642857	0	0	0	0	0	0	1113	859	221	0	0	0	0	0	0
Mterf2	156.642857	0	0	0	0	0	0	1244	949	0	0	0	0	0	0	0
Kansl1	156.642857	0	0	0	0	0	0	959	1130	104	0	0	0	0	0	0
Got1l1	156.642857	0	0	0	0	0	0	837	1233	123	0	0	0	0	0	0
Srd5a3	156.500000	0	0	0	0	0	0	889	1060	242	0	0	0	0	0	0
Slc30a3	156.500000	0	0	0	0	0	0	970	1073	148	0	0	0	0	0	0
Slc13a2	156.500000	0	0	0	0	0	0	1036	1155	0	0	0	0	0	0	0
Anxa11	156.500000	0	0	0	0	0	0	806	1385	0	0	0	0	0	0	0
Adssl1	156.500000	0	0	0	0	0	0	930	1261	0	0	0	0	0	0	0
Serpina5	156.428571	0	0	0	0	0	0	1060	1130	0	0	0	0	0	0	0
Nhlrc2	156.428571	0	0	0	0	0	0	968	1222	0	0	0	0	0	0	0
Med1	156.428571	0	0	0	0	0	0	976	1214	0	0	0	0	0	0	0
Fcgr3	156.428571	0	0	0	0	0	0	1207	983	0	0	0	0	0	0	0
Dclre1a	156.428571	0	0	0	0	0	0	968	1222	0	0	0	0	0	0	0
Serpina3g	156.357143	0	0	0	0	0	0	1157	1032	0	0	0	0	0	0	0
Itgav	156.357143	0	0	0	0	0	0	1072	957	160	0	0	0	0	0	0
Gbp10	156.285714	0	0	0	0	0	0	1103	1085	0	0	0	0	0	0	0
Adgrg3	156.285714	0	0	0	0	0	0	988	1200	0	0	0	0	0	0	0
Comt	156.214286	0	0	0	0	0	0	987	1069	0	0	0	0	0	131	0
Itga2b	156.071429	0	0	0	0	0	0	1107	978	100	0	0	0	0	0	0
Gdpgp1	156.071429	0	0	0	0	0	0	947	1057	181	0	0	0	0	0	0
Cib1	156.071429	0	0	0	0	0	0	947	1057	181	0	0	0	0	0	0
Rhbdd2	156.000000	0	0	0	0	0	0	1019	1051	114	0	0	0	0	0	0
Klrd1	156.000000	0	0	0	0	0	0	1062	750	0	372	0	0	0	0	0
Gpr15	156.000000	0	0	0	0	0	0	1100	1084	0	0	0	0	0	0	0
Dusp22	156.000000	0	0	0	0	0	0	902	1165	117	0	0	0	0	0	0
Sav1	155.928571	0	0	0	0	0	0	1290	893	0	0	0	0	0	0	0
Psca	155.928571	0	0	0	0	0	0	1184	999	0	0	0	0	0	0	0
Trap1	155.857143	0	0	0	0	0	0	1204	978	0	0	0	0	0	0	0
Fgfr3	155.785714	0	0	0	0	0	0	668	1513	0	0	0	0	0	0	0
Ppp2ca	155.714286	0	0	0	0	0	0	1189	991	0	0	0	0	0	0	0
Kctd12	155.642857	0	0	0	0	0	0	959	1081	139	0	0	0	0	0	0
Wipf1	155.571429	0	0	0	0	0	0	1004	1174	0	0	0	0	0	0	0
Tut7	155.571429	0	0	0	0	0	0	943	1150	85	0	0	0	0	0	0
Cxcl11	155.571429	0	0	0	0	0	0	1372	806	0	0	0	0	0	0	0
Trpm4	155.500000	0	0	0	0	0	0	1043	1134	0	0	0	0	0	0	0
Pira1	155.500000	0	0	0	0	0	0	1221	956	0	0	0	0	0	0	0
Lyz1	155.500000	0	0	0	0	0	0	1263	914	0	0	0	0	0	0	0
Dlgap4	155.500000	0	80	0	0	0	0	1023	926	0	0	0	0	0	148	0
Rtn3	155.428571	0	0	0	0	0	0	1216	850	110	0	0	0	0	0	0
Rbm42	155.428571	0	0	0	0	0	0	1259	917	0	0	0	0	0	0	0
Gnpda1	155.428571	0	0	0	0	0	0	1120	1056	0	0	0	0	0	0	0
Aldh1a2	155.428571	0	0	0	0	0	0	1110	945	121	0	0	0	0	0	0
Esyt1	155.285714	0	0	0	0	0	0	1004	1061	109	0	0	0	0	0	0
Clec4a4	155.285714	0	0	0	0	0	0	1213	700	0	261	0	0	0	0	0
Lamtor4	155.142857	0	0	0	0	0	0	1273	899	0	0	0	0	0	0	0
Gclm	155.071429	0	0	0	0	0	0	1052	966	153	0	0	0	0	0	0
Plekhg3	155.000000	0	0	0	0	0	0	1051	1119	0	0	0	0	0	0	0
Nr3c1	155.000000	0	0	0	0	0	0	1232	793	145	0	0	0	0	0	0
Mrgpre	155.000000	0	0	0	0	0	0	1007	1163	0	0	0	0	0	0	0
Mdp1	155.000000	0	0	0	0	0	0	1119	1051	0	0	0	0	0	0	0
Grsf1	155.000000	0	0	0	0	0	0	982	1007	181	0	0	0	0	0	0
Cbll1	155.000000	0	0	0	0	0	0	1447	723	0	0	0	0	0	0	0
Kynu	154.928571	0	0	0	0	0	0	1160	1009	0	0	0	0	0	0	0
Il16	154.928571	0	0	0	0	0	0	1143	1026	0	0	0	0	0	0	0
St3gal3	154.857143	0	0	0	0	0	0	1145	1023	0	0	0	0	0	0	0
Sfi1	154.857143	0	0	0	0	0	0	885	1161	0	0	0	0	0	122	0
Eif4enif1	154.857143	0	0	0	0	0	0	885	1161	0	0	0	0	0	122	0
Ahctf1	154.785714	0	0	0	0	0	0	1026	1141	0	0	0	0	0	0	0
Zbtb11	154.714286	0	0	0	0	0	0	990	1010	166	0	0	0	0	0	0
Ccdc181	154.642857	0	0	0	0	0	0	900	1265	0	0	0	0	0	0	0
Ilrun	154.500000	0	0	0	0	0	0	1088	967	108	0	0	0	0	0	0
Erlin2	154.500000	0	0	0	0	0	0	1201	962	0	0	0	0	0	0	0
Arhgap4	154.500000	0	0	0	0	0	0	1337	826	0	0	0	0	0	0	0
Scarb2	154.428571	0	0	0	0	0	0	1315	715	132	0	0	0	0	0	0
Sema4a	154.357143	0	0	0	0	0	0	1160	899	102	0	0	0	0	0	0
Rabgef1	154.357143	0	0	0	0	0	0	1126	903	132	0	0	0	0	0	0
Rab3gap2	154.357143	0	0	0	0	0	0	1093	968	100	0	0	0	0	0	0
Fbxo42	154.357143	0	0	0	0	0	0	892	1269	0	0	0	0	0	0	0
Thg1l	154.214286	0	0	0	0	0	0	1082	1077	0	0	0	0	0	0	0
Nudt7	154.214286	0	0	0	0	0	0	1200	959	0	0	0	0	0	0	0
Efcab14	154.214286	0	0	0	0	0	0	930	1035	194	0	0	0	0	0	0
Hrh1	154.142857	0	0	0	0	0	0	979	1179	0	0	0	0	0	0	0
Abl1	154.142857	0	0	0	0	0	0	1308	850	0	0	0	0	0	0	0
Pheta1	154.071429	0	0	0	0	0	0	1151	1006	0	0	0	0	0	0	0
Alpk1	154.071429	0	0	0	0	0	0	943	1214	0	0	0	0	0	0	0
Smdt1	154.000000	0	0	0	0	0	0	1246	910	0	0	0	0	0	0	0
Rxfp4	154.000000	0	0	0	0	0	0	1021	987	148	0	0	0	0	0	0
Pheta2	154.000000	0	0	0	0	0	0	1246	910	0	0	0	0	0	0	0
Naga	154.000000	0	0	0	0	0	0	1246	910	0	0	0	0	0	0	0
Kdm2b	153.928571	0	0	0	0	0	0	701	1454	0	0	0	0	0	0	0
Prr12	153.857143	0	0	0	0	0	0	1060	839	255	0	0	0	0	0	0
Ppp4r3b	153.785714	0	0	0	0	0	0	1082	939	132	0	0	0	0	0	0
Niban3	153.714286	0	0	0	0	0	0	986	1166	0	0	0	0	0	0	0
Lrrc49	153.571429	0	0	0	0	0	0	791	1359	0	0	0	0	0	0	0
Tmem109	153.500000	0	0	0	0	0	0	1241	799	109	0	0	0	0	0	0
Gtpbp4	153.500000	0	0	0	0	0	0	901	1168	80	0	0	0	0	0	0
Ptpn11	153.428571	0	0	0	0	0	0	847	1196	105	0	0	0	0	0	0
Ifi211	153.428571	0	0	0	0	0	0	1037	1111	0	0	0	0	0	0	0
Wasf2	153.357143	0	0	0	0	0	0	1025	1122	0	0	0	0	0	0	0
Rad23a	153.357143	0	0	0	0	0	0	1124	1023	0	0	0	0	0	0	0
Ptms	153.357143	0	0	0	0	0	0	1069	1078	0	0	0	0	0	0	0
Ntng2	153.357143	0	0	0	0	0	0	840	1307	0	0	0	0	0	0	0
Mxi1	153.285714	0	0	0	0	0	0	838	1224	84	0	0	0	0	0	0
Abcf1	153.285714	0	0	0	0	0	0	1382	764	0	0	0	0	0	0	0
Tmem19	153.214286	0	0	0	0	0	0	937	1049	159	0	0	0	0	0	0
Prss50	153.214286	0	0	0	0	0	0	1156	989	0	0	0	0	0	0	0
Pgpep1l	153.214286	0	0	0	0	0	0	925	1220	0	0	0	0	0	0	0
Reps1	153.142857	0	0	0	0	0	0	783	1232	129	0	0	0	0	0	0
Plekha2	153.142857	0	0	0	0	0	0	1272	872	0	0	0	0	0	0	0
Il13ra1	153.142857	0	0	0	0	0	0	1220	924	0	0	0	0	0	0	0
Zfp46	153.071429	0	0	0	0	0	0	827	1316	0	0	0	0	0	0	0
Msl2	153.071429	0	0	0	0	0	0	1088	931	124	0	0	0	0	0	0
Mrps2	153.071429	0	0	0	0	0	0	1329	814	0	0	0	0	0	0	0
1700007K13Rik	153.071429	0	0	0	0	0	0	1329	814	0	0	0	0	0	0	0
Slc7a1	153.000000	0	0	0	0	0	0	1073	1069	0	0	0	0	0	0	0
Sec63	153.000000	0	0	0	0	0	0	1412	730	0	0	0	0	0	0	0
Ing2	153.000000	0	0	0	0	0	0	1191	951	0	0	0	0	0	0	0
H2aw	152.928571	0	0	0	0	0	0	1133	1008	0	0	0	0	0	0	0
Fcnb	152.857143	0	0	0	0	0	0	969	1171	0	0	0	0	0	0	0
Hspa12b	152.785714	0	0	0	0	0	0	944	1195	0	0	0	0	0	0	0
Elf2	152.785714	0	0	0	0	0	0	1256	772	111	0	0	0	0	0	0
E2f8	152.785714	0	0	0	0	0	0	922	1217	0	0	0	0	0	0	0
4931428F04Rik	152.785714	0	0	0	0	0	0	843	1130	166	0	0	0	0	0	0
Nostrin	152.714286	0	0	0	0	0	0	1097	1041	0	0	0	0	0	0	0
Srfbp1	152.642857	0	0	0	0	0	0	1267	797	73	0	0	0	0	0	0
Mrpl45	152.571429	0	0	0	0	0	0	1134	831	171	0	0	0	0	0	0
Kctd9	152.571429	0	0	0	0	0	0	929	1207	0	0	0	0	0	0	0
Gtpbp2	152.571429	0	0	0	0	0	0	1016	1120	0	0	0	0	0	0	0
Gpatch8	152.571429	0	0	0	0	0	0	942	1120	74	0	0	0	0	0	0
Cdca2	152.571429	0	0	0	0	0	0	929	1207	0	0	0	0	0	0	0
Tcf19	152.428571	0	0	0	0	0	0	1089	1045	0	0	0	0	0	0	0
Irf7	152.428571	0	0	0	0	0	0	1042	1092	0	0	0	0	0	0	0
Cchcr1	152.428571	0	0	0	0	0	0	1089	1045	0	0	0	0	0	0	0
Mvb12a	152.357143	0	0	0	0	0	0	1325	808	0	0	0	0	0	0	0
Hsd17b11	152.357143	0	0	0	0	0	0	755	1378	0	0	0	0	0	0	0
Fbxo3	152.357143	0	0	0	0	0	0	1320	685	128	0	0	0	0	0	0
Bst2	152.357143	0	0	0	0	0	0	1325	808	0	0	0	0	0	0	0
4931422A03Rik	152.357143	0	0	0	0	0	0	1320	685	128	0	0	0	0	0	0
Zc3h7a	152.214286	0	0	0	0	0	0	1106	1025	0	0	0	0	0	0	0
Sertad2	152.214286	0	0	0	0	0	0	738	683	130	580	0	0	0	0	0
Chst10	152.214286	0	0	0	0	0	0	1025	1106	0	0	0	0	0	0	0
Qser1	152.142857	0	0	0	0	0	0	1024	952	154	0	0	0	0	0	0
Pigc	151.928571	0	0	0	0	0	0	1155	766	143	0	0	0	0	63	0
C1s2	151.928571	0	0	0	0	0	0	1058	1069	0	0	0	0	0	0	0
4930558K02Rik	151.928571	0	0	0	0	0	0	1155	766	143	0	0	0	0	63	0
Zc3h12c	151.857143	0	0	0	0	0	0	1389	664	73	0	0	0	0	0	0
Sertad3	151.857143	0	0	0	0	0	0	1318	808	0	0	0	0	0	0	0
AI987944	151.857143	0	0	0	0	0	0	1179	947	0	0	0	0	0	0	0
Rapgef6	151.785714	0	0	0	0	0	0	936	1189	0	0	0	0	0	0	0
Plek2	151.785714	0	0	0	0	0	0	1072	1053	0	0	0	0	0	0	0
Zfp865	151.642857	0	0	0	0	0	0	980	1019	124	0	0	0	0	0	0
Zfp524	151.642857	0	0	0	0	0	0	980	1019	124	0	0	0	0	0	0
Slc48a1	151.642857	0	0	0	0	0	0	983	1140	0	0	0	0	0	0	0
Ms4a4c	151.642857	0	0	0	0	0	0	1070	1053	0	0	0	0	0	0	0
Ly9	151.571429	0	0	0	0	0	0	1204	918	0	0	0	0	0	0	0
Hnrnpf	151.571429	0	0	0	0	0	0	1040	980	102	0	0	0	0	0	0
Bmp2k	151.571429	0	0	0	0	0	0	999	736	163	0	0	0	82	142	0
Ywhae	151.500000	0	0	0	0	0	0	1140	873	108	0	0	0	0	0	0
Slc22a15	151.500000	0	0	0	0	0	0	1070	1051	0	0	0	0	0	0	0
Slc1a5	151.500000	0	0	0	0	0	0	1043	1078	0	0	0	0	0	0	0
Gpd2	151.500000	0	0	0	0	0	0	914	1079	128	0	0	0	0	0	0
Arid3a	151.500000	0	0	0	0	0	0	976	1038	107	0	0	0	0	0	0
Ltb	151.428571	0	0	0	0	0	0	914	1089	117	0	0	0	0	0	0
Cx3cr1	151.285714	0	0	0	0	0	0	590	1528	0	0	0	0	0	0	0
Zfp456	151.214286	0	0	0	0	0	0	1197	920	0	0	0	0	0	0	0
A530032D15Rik	151.214286	0	0	0	0	0	0	774	1343	0	0	0	0	0	0	0
Gpr85	151.071429	0	0	0	0	0	0	936	1179	0	0	0	0	0	0	0
Psme3	150.928571	0	0	0	0	0	0	980	908	225	0	0	0	0	0	0
Mknk2	150.928571	0	0	0	0	0	0	1408	608	97	0	0	0	0	0	0
Inf2	150.928571	0	0	0	0	0	0	1074	1039	0	0	0	0	0	0	0
H2-Eb1	150.928571	0	0	0	0	0	0	998	1115	0	0	0	0	0	0	0
Clec4a2	150.857143	0	0	0	0	0	0	1170	942	0	0	0	0	0	0	0
Timm44	150.785714	0	0	0	0	0	0	1163	836	112	0	0	0	0	0	0
Cd300c2	150.714286	0	0	0	0	0	0	1350	760	0	0	0	0	0	0	0
Gapdh	150.642857	0	0	0	0	0	0	1026	1083	0	0	0	0	0	0	0
