Target_genes	Pbx1|Average	SRX520199|3T3-L1	SRX1482287|C2C12	SRX1482288|C2C12	SRX1557407|C2C12	SRX1557408|C2C12	SRX9088764|Embryoid_Bodies	SRX9088765|Embryoid_Bodies	SRX1602947|Embryonic_brains	SRX1602948|Embryonic_brains	SRX1629941|Embryonic_brains	SRX1629942|Embryonic_brains	SRX170716|Embryonic_trunk	SRX6879007|ES_cells	SRX14359346|Hindlimb	SRX14359347|Hindlimb	SRX319742|Myeloid_leukemia	SRX319743|Myeloid_leukemia	SRX1824751|P19	SRX25508382|Spinal_Cord	STRING
Ckmt1	153.894737	0	0	0	0	0	0	0	0	0	0	0	0	149	1309	1466	0	0	0	0	0
Rlbp1	153.842105	0	0	0	223	0	0	0	221	0	218	0	0	199	1310	612	0	0	0	140	0
Leng1	153.842105	0	188	173	439	246	0	0	0	0	210	0	0	351	673	450	0	0	0	193	0
Fanci	153.842105	0	0	0	223	0	0	0	221	0	218	0	0	199	1310	612	0	0	0	140	0
Ddx55	153.789474	0	0	0	239	0	0	0	174	0	0	0	0	128	1146	914	0	0	0	321	0
C1qtnf3	153.421053	159	517	167	753	570	0	0	0	0	0	0	0	0	460	289	0	0	0	0	0
Timm10	153.315789	354	0	0	284	215	0	0	0	0	0	0	0	470	528	250	0	0	0	812	0
Srf	153.315789	0	0	205	634	536	0	0	0	0	0	0	0	318	641	579	0	0	0	0	0
Smtnl1	153.315789	354	0	0	284	215	0	0	0	0	0	0	0	470	528	250	0	0	0	812	0
Tsr3	153.263158	0	0	0	344	257	0	0	0	0	0	0	0	358	945	678	0	0	0	330	0
Gnptg	153.263158	0	0	0	344	257	0	0	0	0	0	0	0	358	945	678	0	0	0	330	0
Snx5	153.210526	0	0	0	0	0	109	0	0	0	0	0	0	224	743	812	488	375	0	160	0
Mgme1	153.210526	0	0	0	0	0	109	0	0	0	0	0	0	224	743	812	488	375	0	160	0
Fam169b	153.157895	217	517	474	860	718	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0
Aebp1	153.105263	363	0	190	1415	0	0	0	0	0	0	0	0	0	345	95	143	358	0	0	0
Tecpr2	152.789474	0	0	0	0	199	0	0	0	0	0	0	0	146	1373	1107	0	0	0	78	0
Cinp	152.789474	0	0	0	0	199	0	0	0	0	0	0	0	146	1373	1107	0	0	0	78	0
Calm3	152.789474	0	0	0	179	184	0	137	0	0	0	0	0	352	792	692	0	170	0	397	0
Snrnp35	152.736842	0	0	0	0	342	0	0	0	0	0	0	0	360	1151	964	0	0	0	85	0
Palld	152.631579	0	374	220	1187	548	0	0	0	0	0	0	0	113	267	191	0	0	0	0	0
Hsf2	152.368421	0	0	0	148	237	0	0	0	0	0	0	0	456	726	749	311	268	0	0	0
Smarcd1	152.157895	0	0	0	0	124	0	0	0	0	0	0	0	0	1479	1288	0	0	0	0	0
Cstl1	152.157895	225	413	287	1546	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb6	152.105263	0	481	317	994	696	0	0	0	0	120	0	0	97	185	0	0	0	0	0	0
Amotl2	152.052632	0	0	0	0	0	0	0	0	0	0	0	0	162	1346	1381	0	0	0	0	0
Rgs8	151.526316	218	465	134	348	445	0	0	0	0	0	0	0	0	514	675	0	0	0	80	0
Tmem143	151.473684	0	0	0	348	145	0	0	0	0	0	0	0	630	0	0	816	939	0	0	0
Syngr4	151.473684	0	0	0	348	145	0	0	0	0	0	0	0	630	0	0	816	939	0	0	0
1700113H08Rik	151.473684	0	0	0	0	0	0	0	0	0	177	0	0	97	806	1218	0	0	0	580	0
Kansl1l	151.315789	248	0	176	403	157	0	0	0	0	0	0	0	0	245	415	603	422	0	206	0
Asl	151.263158	0	0	0	304	186	63	0	0	0	0	0	0	448	481	390	259	401	0	342	0
Exoc7	151.210526	0	0	0	0	85	0	0	0	0	0	0	0	117	1390	1120	0	0	0	161	0
Kri1	150.947368	252	0	0	521	186	0	0	0	0	156	0	0	500	639	614	0	0	0	0	0
Cdkn2d	150.947368	252	0	0	521	186	0	0	0	0	156	0	0	500	639	614	0	0	0	0	0
Net1	150.789474	0	459	335	907	890	0	0	0	0	0	0	0	0	75	199	0	0	0	0	0
Lhfpl2	150.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	1578	0	0	0	0	0
Urod	150.631579	0	0	0	530	767	0	0	0	0	173	0	0	462	428	308	0	0	0	194	0
Hectd3	150.631579	0	0	0	530	767	0	0	0	0	173	0	0	462	428	308	0	0	0	194	0
Syngr2	150.578947	118	217	206	868	533	0	0	0	0	0	0	0	468	255	196	0	0	0	0	0
Ngly1	150.473684	0	360	114	213	205	0	0	0	0	0	0	0	0	813	955	0	0	0	199	0
Mrpl12	150.263158	274	0	0	510	247	0	0	0	0	184	0	0	574	521	193	0	0	117	235	0
Cables1	150.210526	0	141	0	1319	131	0	0	0	0	0	0	0	0	412	396	0	166	0	289	0
Adam8	150.210526	0	432	194	1224	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm20939	150.157895	422	0	0	233	0	0	0	0	0	0	0	0	592	294	229	634	449	0	0	0
Nwd1	149.947368	0	449	396	1157	847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube4b	149.842105	144	0	0	0	0	0	0	0	0	0	0	0	154	1098	1317	0	0	69	65	0
Ntng2	149.842105	0	323	109	652	649	0	0	0	0	174	0	0	0	333	366	0	241	0	0	0
Slc25a10	149.736842	274	0	0	510	237	0	0	0	0	184	0	0	574	521	193	0	0	117	235	0
Scarf2	149.736842	0	260	0	0	227	0	0	0	0	0	0	0	0	1106	1252	0	0	0	0	0
Echdc1	149.736842	0	0	0	0	0	0	0	0	0	0	0	0	97	1296	1452	0	0	0	0	0
Zfp658	149.684211	147	0	0	545	205	0	0	0	0	178	0	0	587	591	346	0	0	54	191	0
Wwox	149.631579	0	0	0	0	185	85	0	254	312	184	221	310	0	153	170	191	224	412	142	0
Acad12	149.526316	0	0	0	240	0	0	0	0	0	0	0	0	58	1347	1196	0	0	0	0	0
Ankrd29	149.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	1309	1530	0	0	0	0	0
Vps33a	149.368421	0	0	0	251	434	115	0	0	0	0	0	0	473	682	630	0	0	0	253	0
Ebag9	149.105263	0	244	182	784	765	0	0	0	0	0	0	0	218	286	354	0	0	0	0	0
Iqcc	148.789474	0	868	0	416	1026	0	0	0	0	0	0	0	0	243	274	0	0	0	0	0
Dgkz	148.789474	0	0	0	236	180	0	0	0	0	0	0	0	0	568	621	529	693	0	0	0
Akap11	148.736842	118	219	250	358	412	0	0	0	0	0	0	0	0	560	754	0	0	0	155	0
Edc3	148.684211	130	0	0	419	172	0	0	0	0	0	0	0	529	872	584	0	0	0	119	0
Desi2	148.368421	0	0	0	0	128	0	0	0	0	0	0	0	0	1146	1387	0	0	0	158	0
Anxa1	148.105263	160	0	294	864	0	0	0	0	0	0	0	0	0	0	0	602	894	0	0	0
Ngfr	148.052632	0	0	0	185	0	0	0	0	0	0	0	0	174	1219	968	0	0	103	164	0
Myo1e	147.947368	0	290	386	824	428	0	0	0	0	0	0	0	492	288	0	0	0	103	0	0
Crcp	147.947368	0	0	0	304	186	0	0	0	0	0	0	0	448	481	390	259	401	0	342	0
Lmbr1	147.842105	0	0	0	223	0	0	0	0	0	0	0	0	102	795	763	243	399	102	182	0
Cmbl	147.789474	0	487	282	1442	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heg1	147.684211	0	0	0	0	0	0	0	0	0	0	0	0	186	1360	1260	0	0	0	0	0
Pyroxd2	147.631579	136	0	0	201	0	0	0	138	0	0	0	0	194	1078	897	0	0	0	161	0
Nabp2	147.473684	248	159	0	690	310	0	0	0	0	0	0	0	599	390	210	0	0	0	196	0
Kirrel	147.473684	454	128	198	422	222	0	0	0	0	0	0	0	599	387	392	0	0	0	0	0
Pou3f3	147.315789	0	0	0	0	0	0	0	0	0	270	0	0	650	818	567	0	0	114	380	0
Fam222a	146.947368	0	159	0	0	158	0	0	0	0	0	0	0	118	1061	1200	0	0	0	96	0
Arid5a	146.947368	0	187	173	579	282	0	0	0	0	0	0	0	174	335	391	384	287	0	0	0
Abracl	146.789474	0	680	312	601	769	0	0	0	0	0	0	0	0	157	139	0	0	0	131	0
Fbxw7	146.736842	101	0	0	472	211	136	0	0	0	0	0	0	85	625	363	265	297	126	107	0
Zmat2	146.526316	0	185	157	947	898	0	0	0	0	0	0	0	326	157	114	0	0	0	0	0
Dlgap4	146.473684	0	272	137	794	745	0	0	0	0	0	0	0	195	298	342	0	0	0	0	0
Cd36	146.421053	792	0	0	175	0	0	0	0	0	0	0	0	460	185	0	506	473	191	0	0
Rcn3	146.368421	0	0	0	0	0	0	0	0	0	0	0	0	308	1146	564	275	398	90	0	0
Zswim6	146.315789	0	0	0	0	0	0	0	0	0	0	0	0	53	1120	1526	0	0	81	0	0
Ube2r2	146.315789	929	0	0	0	0	0	0	0	0	0	0	0	0	187	275	646	743	0	0	0
Prss22	146.315789	144	150	338	1595	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam219a	146.263158	0	0	0	0	187	0	0	101	0	0	0	0	97	1000	1158	0	0	0	236	0
Dnaic1	146.263158	0	0	0	0	187	0	0	101	0	0	0	0	97	1000	1158	0	0	0	236	0
Dap	146.210526	156	0	0	0	0	173	0	0	0	0	0	0	0	552	709	170	158	143	717	0
Zbtb46	146.157895	0	484	0	427	1031	0	0	0	0	0	0	0	581	136	118	0	0	0	0	0
Parm1	146.105263	0	0	0	0	0	0	0	0	0	253	0	0	172	877	315	0	0	0	1159	0
Irf2	146.052632	998	0	0	0	0	0	0	0	0	0	0	0	148	228	268	603	397	0	133	0
Vcp	146.000000	0	285	160	615	455	0	0	0	0	0	0	0	439	229	363	117	0	0	111	0
Ccdc134	145.894737	0	118	137	0	0	0	0	0	0	0	0	0	122	1019	1199	0	0	0	177	0
4931408C20Rik	145.894737	0	102	96	201	178	0	0	0	0	104	117	0	0	110	127	987	575	0	175	0
Med1	145.631579	0	0	0	0	0	0	0	0	0	0	0	0	348	954	1111	0	190	0	164	0
Hes6	145.526316	0	0	134	263	264	0	0	0	0	0	0	0	80	923	875	0	0	0	226	0
Zfp647	145.315789	0	0	0	0	0	0	0	0	0	0	0	0	235	955	1453	0	0	0	118	0
Vmac	145.157895	0	108	0	130	167	0	0	0	0	0	0	0	379	983	721	0	0	0	270	0
Rpl3	145.157895	0	0	158	609	592	0	0	0	0	125	0	0	138	378	147	0	0	169	442	0
Ndufa11	145.157895	0	108	0	130	167	0	0	0	0	0	0	0	379	983	721	0	0	0	270	0
Dyrk3	145.157895	0	0	0	0	0	0	0	0	0	0	0	0	93	1251	1414	0	0	0	0	0
Cnot11	145.052632	0	0	0	136	0	0	0	0	0	0	0	0	134	881	1121	0	0	0	484	0
Camsap2	145.052632	0	0	0	134	120	0	0	0	0	0	0	0	0	834	954	0	0	116	598	0
Dstyk	144.947368	257	0	130	763	0	0	0	0	0	0	0	0	0	649	708	0	94	0	153	0
Chd8	144.947368	190	0	211	598	107	0	0	0	0	291	0	0	524	279	452	0	0	0	102	0
Gm9805	144.894737	0	0	0	131	0	0	0	0	0	0	0	0	587	1083	696	0	0	137	119	0
Ccm2	144.842105	0	0	0	505	482	0	0	0	0	0	0	0	222	707	836	0	0	0	0	0
Ltv1	144.789474	0	287	200	303	334	0	0	0	0	0	0	0	394	658	439	0	0	0	136	0
Sertad3	144.684211	0	0	0	0	130	0	0	0	0	0	0	0	310	972	817	0	187	0	333	0
Ppp2r5b	144.631579	123	121	0	483	673	0	0	0	0	0	0	0	244	435	548	0	0	121	0	0
Tmem151b	144.526316	263	0	0	0	0	0	0	174	0	257	0	0	600	851	264	0	0	106	231	0
Nfkbie	144.526316	263	0	0	0	0	0	0	174	0	257	0	0	600	851	264	0	0	106	231	0
Kremen1	144.473684	0	0	0	124	0	0	0	0	0	0	0	0	260	1045	1316	0	0	0	0	0
Satb2	144.421053	352	0	0	438	0	0	0	0	0	0	0	0	0	1008	813	0	0	0	133	0
Ptprb	144.368421	344	0	364	1513	0	0	0	0	0	0	0	0	0	176	346	0	0	0	0	0
Zfpm1	144.315789	0	0	171	1471	168	0	0	0	0	0	0	0	0	405	224	164	139	0	0	0
D3Ertd751e	144.210526	0	0	0	0	98	0	0	0	0	0	0	0	186	1009	1132	0	0	0	315	0
BC107364	144.157895	0	0	0	100	0	0	0	0	0	0	0	0	420	1215	1004	0	0	0	0	0
Zfp64	144.052632	0	0	0	0	0	0	0	0	0	0	0	0	412	900	950	0	0	148	327	0
Rel	144.052632	146	118	0	0	161	0	0	0	0	0	0	0	239	818	969	0	0	0	286	0
Csnk1a1	144.000000	0	0	0	0	0	0	0	0	0	0	0	0	110	1291	1266	0	0	0	69	0
Rtn3	143.894737	0	0	0	117	154	0	0	0	0	0	0	0	292	637	953	345	236	0	0	0
Ptprg	143.842105	0	257	0	228	1019	0	0	0	0	0	0	0	421	228	154	0	0	90	336	0
Ccdc85c	143.789474	0	0	0	0	140	0	0	0	0	0	0	0	105	1284	1203	0	0	0	0	0
Aprt	143.684211	0	0	0	0	0	0	0	0	0	173	0	0	384	1051	1122	0	0	0	0	0
Uevld	143.578947	0	0	0	113	0	0	0	0	0	0	0	0	512	1123	980	0	0	0	0	0
Plk3	143.578947	0	0	0	0	600	0	0	0	0	0	0	0	525	176	236	738	453	0	0	0
Hoxb4	143.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	1215	882	343	287	0	0	0
Nop14	143.473684	0	159	253	112	167	0	0	0	0	0	0	0	184	949	785	0	0	0	117	0
Grk4	143.473684	0	159	253	112	167	0	0	0	0	0	0	0	184	949	785	0	0	0	117	0
H6pd	143.210526	0	317	0	203	255	0	0	0	0	0	0	0	220	235	307	571	545	68	0	0
Snip1	143.157895	0	0	0	0	0	0	0	0	0	0	0	0	315	1127	1013	0	0	0	265	0
Dnali1	143.157895	0	0	0	0	0	0	0	0	0	0	0	0	315	1127	1013	0	0	0	265	0
Shroom3	143.105263	0	0	0	194	195	0	0	105	0	0	0	0	541	695	598	0	0	152	239	0
Fam53a	143.105263	315	0	0	0	0	0	0	0	0	0	0	0	0	1061	1178	0	0	0	165	0
Coq8a	142.947368	0	161	135	325	216	0	0	0	0	0	0	0	473	351	330	462	263	0	0	0
Pbxip1	142.842105	0	468	257	718	1045	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0
Mrpl17	142.842105	0	0	0	0	0	105	0	0	0	0	0	0	114	1179	1175	0	0	0	141	0
Shkbp1	142.473684	443	0	0	233	0	0	0	0	0	0	0	0	546	485	601	213	0	0	186	0
Cpd	142.473684	0	0	147	239	377	0	0	0	0	0	0	0	385	819	592	0	0	0	148	0
Arhgap17	142.473684	389	0	127	1136	0	0	0	0	0	0	0	0	0	224	288	272	271	0	0	0
Rbm42	142.105263	0	0	0	370	487	0	0	0	0	0	0	0	318	504	490	0	0	0	531	0
Calcoco1	142.000000	0	0	297	1276	294	0	0	0	0	0	0	0	161	329	341	0	0	0	0	0
Jdp2	141.947368	0	127	156	613	377	0	0	0	0	0	0	0	121	685	618	0	0	0	0	0
Prss23	141.842105	0	335	270	904	917	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0
Sec62	141.263158	0	155	450	1215	295	0	0	0	0	0	0	0	0	239	330	0	0	0	0	0
Sde2	141.263158	169	0	0	0	204	149	77	0	0	159	0	0	247	638	728	0	143	0	170	0
Rnf40	141.263158	414	134	0	222	314	0	0	0	0	0	0	0	596	531	262	0	0	0	211	0
Ccdc189	141.263158	414	134	0	222	314	0	0	0	0	0	0	0	596	531	262	0	0	0	211	0
Plekhb2	141.210526	0	0	0	1016	0	0	0	0	0	0	0	0	142	0	229	876	420	0	0	0
Ablim1	141.157895	131	180	152	859	273	0	0	0	0	0	0	0	0	199	408	232	0	0	248	0
Arl5b	141.105263	0	0	0	0	0	0	0	0	0	0	0	0	116	1006	1559	0	0	0	0	0
Rpain	141.000000	0	198	0	613	512	0	0	0	0	0	0	0	234	464	525	0	0	0	133	0
Med14	140.947368	0	0	0	0	0	0	0	0	0	0	0	0	249	1195	1078	0	0	0	156	0
Rxra	140.842105	359	615	256	937	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hand1	140.789474	0	0	0	0	0	0	0	0	0	0	0	0	116	1225	943	0	0	0	391	0
Tbx4	140.684211	0	0	0	0	0	0	0	0	0	0	0	0	314	1292	1067	0	0	0	0	0
Cstad	140.421053	202	0	0	341	169	0	0	0	0	0	0	0	327	605	501	0	0	255	268	0
Cdk5rap3	140.368421	0	146	0	351	500	0	0	0	0	0	0	0	275	755	497	0	0	0	143	0
Cyfip2	140.315789	0	0	0	0	0	0	0	0	0	96	0	0	134	594	529	499	814	0	0	0
Apold1	140.263158	0	0	0	0	0	0	0	0	0	0	0	0	334	1020	1106	0	0	0	205	0
Zbtb5	140.210526	0	149	119	301	233	0	0	0	0	0	0	0	471	582	662	0	0	0	147	0
Ccdc149	140.210526	0	0	0	0	0	0	0	0	0	0	0	0	429	1173	851	0	0	0	211	0
Tgif2	140.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	1276	0	0	0	199	0
Gatd1	140.052632	0	0	0	163	0	0	0	0	0	0	0	0	250	1266	982	0	0	0	0	0
Runx3	140.000000	0	336	275	0	0	0	0	0	0	0	0	0	451	181	291	641	485	0	0	0
Nmt2	140.000000	0	0	0	0	0	0	0	0	0	0	0	0	102	1018	1250	0	0	0	290	0
Pcnt	139.947368	0	0	0	0	172	0	0	0	0	0	0	0	229	974	1073	0	0	0	211	0
Mafb	139.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	1253	0	0	0	201	0
Lrrfip2	139.894737	0	301	144	902	811	0	0	0	0	0	0	0	0	126	374	0	0	0	0	0
Rrm2	139.789474	0	465	0	610	770	0	0	0	0	0	0	0	311	241	259	0	0	0	0	0
Eif4g3	139.789474	191	0	358	1537	155	0	0	0	0	0	0	0	0	160	255	0	0	0	0	0
Cabp2	139.631579	703	0	287	1663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raly	139.368421	120	0	0	173	0	0	0	0	0	0	0	0	230	944	1181	0	0	0	0	0
Kif15	139.368421	0	112	0	139	453	65	0	0	0	0	0	0	478	652	557	0	0	0	192	0
1110059G10Rik	139.368421	0	112	0	139	453	65	0	0	0	0	0	0	478	652	557	0	0	0	192	0
Mbd6	139.315789	0	0	0	277	231	0	0	0	0	139	0	0	132	820	769	0	0	86	193	0
Ddit3	139.315789	0	0	0	277	231	0	0	0	0	139	0	0	132	820	769	0	0	86	193	0
Rps6ka2	139.263158	217	161	0	236	229	0	0	0	0	120	0	0	227	686	601	0	0	0	169	0
Manea	139.263158	0	0	0	0	167	132	0	0	0	0	0	0	0	928	992	243	184	0	0	0
Rbm5	139.157895	131	0	0	381	270	0	0	0	0	0	0	0	86	692	556	163	161	0	204	0
Rab8b	138.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	1025	1233	122	148	0	111	0
Cdc42ep4	138.894737	0	0	0	540	463	0	0	0	0	0	0	0	364	770	502	0	0	0	0	0
Erlin1	138.842105	241	0	0	144	0	0	0	0	0	0	0	0	516	362	495	486	265	0	129	0
Mapre2	138.789474	316	275	0	312	186	0	0	165	0	0	0	0	345	365	494	0	0	0	179	0
Tpm4	138.736842	372	0	0	423	98	0	0	0	0	0	0	0	0	669	962	0	0	0	112	0
Emc2	138.631579	0	0	0	192	184	0	0	0	0	0	0	0	315	894	1049	0	0	0	0	0
Slc45a3	138.578947	0	0	0	0	0	0	0	0	0	0	0	0	84	1138	1093	0	0	195	123	0
Naxd	138.578947	139	169	183	169	216	0	0	0	0	0	0	0	283	478	613	0	266	0	117	0
Cdc14a	138.473684	0	0	0	87	168	0	0	0	0	0	0	0	0	1011	973	211	181	0	0	0
Skp2	138.263158	0	104	0	242	238	0	0	0	0	0	0	0	231	890	922	0	0	0	0	0
Ptp4a1	138.052632	0	0	94	282	0	133	0	0	0	0	0	0	96	538	722	0	0	0	758	0
Dusp8	137.842105	0	0	0	0	0	0	0	0	0	0	0	0	85	1318	1216	0	0	0	0	0
Tmem200b	137.684211	0	0	0	0	0	0	0	0	0	0	0	0	102	1444	1070	0	0	0	0	0
Mlf2	137.631579	0	0	0	0	171	0	0	0	0	0	0	0	560	1029	855	0	0	0	0	0
Acot4	137.421053	388	0	0	102	0	0	0	0	0	0	0	0	699	278	406	300	438	0	0	0
Kat2b	137.315789	0	0	205	611	262	0	0	0	0	0	0	0	80	154	200	509	472	0	116	0
Med20	137.210526	248	90	0	137	325	0	0	0	0	0	0	0	440	380	290	146	0	0	551	0
Gm20517	137.210526	248	90	0	137	325	0	0	0	0	0	0	0	440	380	290	146	0	0	551	0
Bysl	137.210526	248	90	0	137	325	0	0	0	0	0	0	0	440	380	290	146	0	0	551	0
Slc7a1	137.157895	0	186	158	317	164	0	0	0	0	0	0	0	87	362	571	343	255	0	163	0
Cdc45	137.105263	0	0	85	169	290	0	0	0	0	0	0	0	204	570	128	418	394	0	347	0
Golga7	136.894737	181	0	0	0	0	0	0	0	0	0	0	0	103	655	657	478	397	0	130	0
Wdfy3	136.842105	165	0	0	0	0	0	0	0	0	0	0	0	376	797	1149	0	0	0	113	0
Smad7	136.421053	274	0	0	526	132	0	0	0	0	0	0	0	0	766	731	163	0	0	0	0
Slc6a8	136.421053	0	0	0	0	0	0	0	0	0	0	0	0	128	1208	1256	0	0	0	0	0
Alms1	136.421053	0	0	0	185	0	0	0	0	0	0	0	0	399	833	1020	0	0	0	155	0
Stx4a	136.368421	0	0	0	0	0	0	0	0	0	81	0	0	304	968	965	0	0	0	273	0
Zfp322a	136.210526	214	190	0	283	526	0	0	0	0	0	0	0	507	425	216	0	0	0	227	0
Dact1	136.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	1197	1388	0	0	0	0	0
Vps26a	135.894737	0	0	0	143	260	0	0	0	0	0	0	0	178	940	1061	0	0	0	0	0
Heatr5b	135.842105	0	0	0	472	183	0	0	0	0	0	0	0	371	704	729	0	0	0	122	0
Gpatch11	135.842105	0	0	0	472	183	0	0	0	0	0	0	0	371	704	729	0	0	0	122	0
Stra6l	135.684211	0	523	124	558	989	0	0	0	0	0	0	0	0	156	0	0	0	0	228	0
Galnt2	135.578947	0	0	0	0	0	0	0	0	0	0	0	0	185	1172	1036	0	0	0	183	0
Ass1	135.526316	258	248	0	547	285	0	0	0	0	0	0	0	537	113	0	333	143	0	111	0
Vps52	135.473684	0	117	202	396	423	0	0	0	0	120	0	0	131	630	415	0	0	0	140	0
Rps18	135.473684	0	117	202	396	423	0	0	0	0	120	0	0	131	630	415	0	0	0	140	0
B3galt4	135.473684	0	117	202	396	423	0	0	0	0	120	0	0	131	630	415	0	0	0	140	0
Rab32	135.157895	562	0	247	1545	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0
Arl6ip5	134.947368	189	116	165	508	174	0	0	0	0	0	0	0	175	491	322	0	138	195	91	0
Pmf1	134.736842	0	148	97	703	511	0	0	0	0	0	0	0	509	294	298	0	0	0	0	0
Apobec2	134.578947	0	229	0	292	890	0	0	0	0	0	0	0	253	644	249	0	0	0	0	0
Barhl1	134.473684	0	0	0	0	0	0	0	0	0	0	0	0	159	668	800	0	0	98	830	0
Adgrg3	134.263158	0	394	211	1424	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uimc1	134.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	1195	1355	0	0	0	0	0
Tsn	134.157895	0	0	0	0	0	130	68	0	0	0	0	0	92	1074	1037	0	0	0	148	0
Top3a	134.157895	237	0	0	125	143	0	0	133	0	207	0	0	580	402	132	0	0	0	590	0
Smcr8	134.157895	237	0	0	125	143	0	0	133	0	207	0	0	580	402	132	0	0	0	590	0
Atp6v0d1	134.105263	0	0	0	122	273	0	0	0	0	0	0	0	225	607	796	0	341	0	184	0
Agrp	134.105263	0	0	0	122	273	0	0	0	0	0	0	0	225	607	796	0	341	0	184	0
Tbcel	134.052632	0	0	0	1029	0	0	0	0	0	0	0	0	107	355	425	353	278	0	0	0
Akt2	133.947368	0	0	0	162	387	0	0	0	0	0	0	0	147	566	918	0	0	0	365	0
Plxnd1	133.894737	0	317	0	767	656	0	0	0	0	0	0	0	618	104	82	0	0	0	0	0
Hoxc5	133.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	1141	793	0	0	179	431	0
7530416G11Rik	133.894737	188	291	428	1155	299	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0
Tiprl	133.789474	0	0	0	0	80	0	0	0	0	0	0	0	197	900	1208	0	0	0	157	0
Il1r1	133.526316	230	105	540	1539	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0
Wdr41	133.473684	236	0	0	0	0	0	0	0	0	0	0	0	116	850	1029	0	0	0	305	0
Igfbp5	133.473684	0	173	119	727	539	0	0	0	0	0	0	0	561	301	0	0	0	116	0	0
Prelid3a	133.315789	204	421	157	720	600	0	0	0	0	0	0	0	0	0	142	0	289	0	0	0
Zfp251	133.105263	0	340	168	448	667	0	0	0	0	0	0	0	105	355	446	0	0	0	0	0
Abcg2	132.894737	0	0	0	773	208	0	0	0	0	0	0	0	517	577	450	0	0	0	0	0
Zscan26	132.789474	132	132	119	720	432	0	0	0	0	0	0	0	468	351	169	0	0	0	0	0
Esyt2	132.736842	0	0	0	241	202	97	0	0	0	0	0	0	131	905	864	0	0	0	82	0
Unkl	132.631579	0	0	0	143	369	97	92	0	0	0	0	0	293	833	693	0	0	0	0	0
Ifna13	132.631579	0	0	178	415	257	0	0	262	0	0	0	0	0	384	373	0	0	263	388	0
Ifi211	132.473684	147	247	307	1517	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brsk1	132.473684	0	0	0	0	0	0	0	0	0	0	0	0	120	1230	1167	0	0	0	0	0
Nat10	132.421053	0	0	100	393	662	126	0	0	0	0	0	0	140	328	318	0	0	0	449	0
Dpysl3	132.368421	96	0	0	177	0	0	0	0	0	0	0	0	0	925	1112	0	0	0	205	0
Cdv3	132.315789	0	0	0	170	336	0	0	0	0	0	0	0	159	955	894	0	0	0	0	0
Stau1	132.263158	108	0	0	251	107	0	0	0	0	0	0	0	0	853	1082	0	112	0	0	0
Rcan3	132.263158	0	0	0	0	0	0	0	0	0	0	0	0	136	867	1510	0	0	0	0	0
Syncrip	132.157895	0	0	0	0	0	0	0	0	0	0	0	0	51	994	1305	0	0	0	161	0
Galnt7	132.157895	484	0	0	139	0	0	0	0	0	0	0	0	125	210	511	535	507	0	0	0
Ttc30a1	132.052632	203	0	0	0	0	0	0	0	0	0	0	0	136	156	159	716	1139	0	0	0
Stk32c	131.894737	0	0	0	0	0	0	0	0	0	0	0	0	74	1262	1044	0	0	0	126	0
Lrrc27	131.894737	0	0	0	0	0	0	0	0	0	0	0	0	74	1262	1044	0	0	0	126	0
Fnip2	131.842105	0	0	0	0	140	0	0	0	0	0	0	0	0	1356	1009	0	0	0	0	0
Anapc4	131.789474	0	0	0	0	0	0	0	0	0	0	0	0	193	1008	1210	0	0	0	93	0
Tyk2	131.684211	189	0	74	290	205	0	0	0	0	0	0	0	601	364	352	0	0	0	427	0
Tusc3	131.315789	0	0	0	157	0	0	0	0	0	0	0	0	193	958	1016	0	0	0	171	0
Suox	131.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	1281	1213	0	0	0	0	0
Acyp2	131.263158	0	227	239	885	308	109	0	0	0	0	0	0	0	254	294	0	0	0	178	0
Radil	131.000000	0	0	0	236	172	0	0	0	0	0	0	0	0	943	866	155	0	0	117	0
Tubb2b	130.947368	0	294	139	451	709	0	0	0	0	0	0	0	385	160	172	0	0	0	178	0
