Target_genes	Cebpd|Average	SRX047644|3T3-L1	SRX047645|3T3-L1	SRX10965268|4T1	SRX10965269|4T1	SRX10965270|4T1	SRX10965271|4T1	SRX10965272|4T1	SRX10965273|4T1	SRX2901280|Macrophages	SRX2901281|Macrophages	SRX2901282|Macrophages	SRX2901283|Macrophages	SRX2901284|Macrophages	STRING
Prpf8	249.923077	0	0	699	785	423	435	337	570	0	0	0	0	0	0
Eml6	249.923077	0	0	552	592	307	364	112	0	74	261	256	368	363	0
Wdr36	249.846154	0	0	764	872	429	451	148	170	0	0	0	212	202	0
Emb	249.615385	0	0	0	0	0	0	0	0	336	648	620	675	966	0
1810010H24Rik	249.076923	0	0	766	716	536	610	190	167	0	0	0	0	253	0
Upk1a	248.923077	0	163	570	467	267	278	0	0	0	311	256	352	572	0
Ctsd	248.307692	0	0	0	0	0	0	0	0	549	767	685	635	592	0
Tnfsf13	247.076923	0	0	441	417	287	350	72	116	179	304	244	287	515	0
Senp3	247.076923	0	0	441	417	287	350	72	116	179	304	244	287	515	0
Acat2	247.076923	0	330	412	469	400	407	165	130	0	206	266	181	246	0
Tmem9	246.846154	0	0	972	724	338	458	213	260	0	0	99	145	0	0
Igfn1	246.846154	0	0	972	724	338	458	213	260	0	0	99	145	0	0
Ctse	246.692308	0	0	0	0	0	0	0	0	306	495	571	648	1187	0
Acot7	246.692308	0	0	859	753	489	474	84	215	0	0	0	129	204	0
Ptprj	246.538462	0	0	187	152	0	0	0	0	310	582	720	524	730	0
Hdac5	246.307692	0	0	313	404	253	305	0	0	184	391	378	397	577	0
H2-Ea	246.307692	0	0	142	0	0	0	0	0	367	562	676	509	946	0
Nab1	246.230769	0	0	905	992	563	435	123	183	0	0	0	0	0	0
Slco5a1	245.846154	0	0	585	510	343	272	175	126	0	174	135	296	580	0
Trim33	245.615385	0	0	807	795	573	611	192	215	0	0	0	0	0	0
Arhgap12	245.230769	0	556	104	124	0	114	0	0	456	367	365	368	734	0
Aim2	245.230769	0	0	177	151	159	278	0	0	244	337	489	662	691	0
Rrm2	244.923077	0	246	486	429	225	170	0	0	274	392	233	288	441	0
Phf23	244.307692	0	0	765	699	504	477	0	157	145	139	0	141	149	0
Nrg2	244.307692	0	0	0	0	0	0	0	0	269	515	472	850	1070	0
Dvl2	244.307692	0	0	765	699	504	477	0	157	145	139	0	141	149	0
Tmbim6	244.230769	0	205	198	280	174	218	0	0	196	346	499	425	634	0
Rpl9	244.076923	0	120	598	704	518	396	147	74	0	186	0	170	260	0
Lias	244.076923	0	120	598	704	518	396	147	74	0	186	0	170	260	0
Myl12a	244.000000	0	0	661	741	463	490	145	246	0	0	0	188	238	0
Atad2	244.000000	0	0	894	918	391	552	129	0	0	166	0	0	122	0
Ifi203	243.846154	0	0	646	526	478	393	0	0	0	0	179	240	708	0
Gm4861	243.769231	0	238	680	599	638	618	222	174	0	0	0	0	0	0
Dnaic2	243.615385	0	0	368	204	157	302	0	0	0	195	427	807	707	0
Prss30	242.923077	0	0	712	632	557	605	0	209	0	0	0	162	281	0
Tmem150b	242.769231	0	0	0	0	0	0	0	0	395	532	681	677	871	0
Hdac1	242.769231	0	0	651	529	293	271	155	148	0	124	183	285	517	0
Nck1	242.076923	0	188	506	612	460	370	0	162	0	0	242	197	410	0
H3c2	242.000000	0	0	982	916	527	432	171	118	0	0	0	0	0	0
H2ac4	242.000000	0	0	982	916	527	432	171	118	0	0	0	0	0	0
Tmem156	241.923077	0	470	456	397	283	248	0	0	0	260	254	365	412	0
Sorl1	241.769231	0	163	229	142	124	201	0	0	222	519	464	455	624	0
Wwtr1	241.615385	0	0	902	890	563	495	166	125	0	0	0	0	0	0
Etfrf1	241.615385	0	141	440	457	318	356	0	0	0	270	354	264	541	0
Casc1	241.615385	0	141	440	457	318	356	0	0	0	270	354	264	541	0
Prss56	241.307692	0	0	589	652	397	346	132	134	0	0	193	317	377	0
Carhsp1	241.307692	0	0	361	252	426	297	124	0	0	259	415	398	605	0
Dgkz	241.230769	0	0	174	219	0	0	0	0	382	415	476	576	894	0
Wnt10b	241.153846	0	219	807	835	429	483	154	208	0	0	0	0	0	0
Nat10	240.846154	0	296	516	422	296	286	155	0	117	239	203	210	391	0
Pyroxd2	240.692308	0	0	830	780	503	633	236	0	0	0	0	147	0	0
Tle5	240.461538	0	0	878	910	474	497	163	204	0	0	0	0	0	0
Ctu1	240.384615	0	0	0	0	0	0	0	0	0	364	485	901	1375	0
Trim13	240.153846	0	473	0	0	0	0	0	0	0	230	374	674	1371	0
Vps4b	240.076923	0	103	496	628	447	370	117	147	0	158	121	261	273	0
Hmgb2	240.076923	0	0	746	761	429	474	134	226	0	0	0	170	181	0
Ddx5	240.000000	0	0	517	556	406	340	0	131	0	189	0	390	591	0
Cep95	240.000000	0	0	517	556	406	340	0	131	0	189	0	390	591	0
Lrrc73	239.923077	0	135	884	896	453	502	129	120	0	0	0	0	0	0
Vps36	239.846154	0	0	982	672	542	562	191	0	0	0	0	0	169	0
Spag1	239.846154	0	0	639	554	366	453	181	125	0	0	202	210	388	0
Pi16	239.384615	0	177	0	0	0	0	0	0	301	548	589	567	930	0
Hacd1	239.153846	0	0	762	919	490	477	113	226	0	0	0	0	122	0
Gtf2h3	239.076923	0	0	145	114	0	0	0	0	379	605	518	619	728	0
Eif2b1	239.076923	0	0	145	114	0	0	0	0	379	605	518	619	728	0
Tmcc3	238.846154	0	0	910	704	387	565	180	167	0	0	0	0	192	0
Ppp1r3d	238.846154	0	238	0	0	0	0	0	0	338	524	474	487	1044	0
Fam217b	238.846154	0	238	0	0	0	0	0	0	338	524	474	487	1044	0
Gjb3	238.769231	0	0	342	399	224	197	0	0	195	384	479	400	484	0
Alkbh5	238.769231	0	189	618	543	313	330	0	182	0	223	153	212	341	0
Nt5dc3	238.692308	0	0	905	673	451	322	0	162	0	96	0	222	272	0
Aqp7	238.615385	0	0	793	711	655	629	206	108	0	0	0	0	0	0
Ppp2r5c	238.384615	0	0	486	392	398	396	177	150	0	343	260	173	324	0
Tmem154	238.076923	0	0	165	0	141	0	0	0	379	501	583	674	652	0
Etfbkmt	238.076923	0	0	1081	803	390	433	200	188	0	0	0	0	0	0
Glg1	237.923077	0	0	647	612	427	373	90	116	0	0	183	174	471	0
Tbl1x	237.384615	0	0	620	800	298	492	125	177	0	0	99	241	234	0
Scamp2	237.076923	0	0	540	437	413	379	140	176	133	114	189	139	422	0
Ppt1	237.076923	0	0	604	454	320	279	0	0	129	300	273	296	427	0
Tgfbr2	236.923077	0	0	0	0	0	0	0	0	274	593	646	607	960	0
Lexm	236.846154	0	0	582	547	436	375	201	195	0	0	183	241	319	0
Tmem91	236.307692	0	114	337	288	0	231	0	0	215	408	398	330	751	0
Slc10a3	236.307692	0	0	938	844	461	538	142	149	0	0	0	0	0	0
Gm44504	236.307692	0	0	938	844	461	538	142	149	0	0	0	0	0	0
Dlgap5	236.153846	0	0	411	562	294	324	0	0	0	412	377	370	320	0
Pdcd4	236.076923	0	452	245	228	227	245	0	0	271	291	236	339	535	0
Slk	235.769231	0	0	850	877	300	636	0	188	0	0	0	0	214	0
Tor1aip2	235.615385	0	260	535	469	272	404	0	183	0	186	153	198	403	0
Tor1aip1	235.615385	0	260	535	469	272	404	0	183	0	186	153	198	403	0
Rhoq	234.846154	0	140	609	516	316	358	114	109	0	164	133	219	375	0
Csnk1d	234.769231	0	107	538	599	471	466	173	243	0	0	0	170	285	0
Grap2	234.538462	0	0	0	0	0	0	0	0	314	509	582	711	933	0
Bclaf1	234.538462	0	387	372	279	235	353	0	0	155	301	281	330	356	0
Mon1a	234.384615	0	0	585	667	362	467	258	260	0	0	0	158	290	0
Iah1	234.307692	0	348	0	0	0	0	0	0	0	408	761	584	945	0
Morc3	234.230769	0	0	557	372	359	302	143	0	0	0	294	428	590	0
Dpy19l4	234.230769	0	419	405	462	379	345	149	0	117	168	181	0	420	0
Slc39a3	234.000000	0	0	722	617	413	332	164	0	0	134	183	210	267	0
Fnip2	233.692308	0	0	107	0	0	0	0	0	388	509	577	649	808	0
Zfp623	233.615385	0	0	665	618	577	413	213	210	0	0	0	170	171	0
Lrpap1	233.076923	0	0	0	0	0	0	0	0	329	575	448	585	1093	0
Kcnh1	232.615385	0	0	860	697	573	578	111	205	0	0	0	0	0	0
Ankrd11	232.000000	0	186	770	569	353	500	130	0	0	198	0	117	193	0
H3c10	231.923077	0	183	654	502	332	435	139	0	0	158	164	173	275	0
H2bc13	231.923077	0	183	654	502	332	435	139	0	0	158	164	173	275	0
H2ac13	231.923077	0	183	654	502	332	435	139	0	0	158	164	173	275	0
Artn	231.923077	0	0	704	755	521	627	208	200	0	0	0	0	0	0
Zcchc2	231.384615	0	216	454	561	300	342	0	0	0	177	224	297	437	0
Tmprss11e	231.307692	0	187	853	785	444	438	147	153	0	0	0	0	0	0
Mmp19	230.846154	145	148	242	215	111	284	0	110	218	144	380	412	592	0
Steap4	230.000000	0	0	591	536	479	312	159	203	0	0	0	160	550	0
Irak3	229.692308	0	0	415	420	175	371	0	0	0	0	0	664	941	0
Chek1	229.461538	0	0	792	800	414	425	86	167	0	0	0	167	132	0
Dbnl	229.307692	0	305	0	0	0	0	0	0	213	370	389	400	1304	0
Samd8	229.230769	0	0	587	483	396	392	0	0	0	204	218	226	474	0
Il1r1	229.153846	0	341	473	424	294	156	0	129	247	244	262	196	213	0
Cd320	229.076923	0	170	463	388	222	372	108	0	0	201	192	315	547	0
Hspa14	228.769231	0	0	727	616	401	396	97	110	0	166	99	175	187	0
Cdnf	228.769231	0	0	727	616	401	396	97	110	0	166	99	175	187	0
Map3k5	228.692308	0	218	0	0	0	0	0	0	260	378	488	585	1044	0
Coq9	228.692308	0	163	752	551	438	459	125	130	0	0	0	132	223	0
Ciapin1	228.692308	0	163	752	551	438	459	125	130	0	0	0	132	223	0
Utrn	228.615385	0	0	905	800	413	518	0	336	0	0	0	0	0	0
Arap2	228.538462	0	0	0	91	0	0	0	0	321	540	539	673	807	0
Erlin2	228.384615	0	0	219	183	147	133	0	0	236	629	432	452	538	0
1700030J22Rik	228.384615	0	0	669	664	231	401	0	203	0	154	139	213	295	0
Aldh18a1	228.307692	0	0	707	497	529	424	177	148	0	0	0	188	298	0
Orm2	228.076923	0	208	144	126	221	327	0	0	0	382	634	542	381	0
Slc36a1	228.000000	0	0	0	0	0	0	0	0	365	531	443	633	992	0
Mthfsl	228.000000	0	177	845	593	432	347	89	158	0	121	0	0	202	0
Cyba	228.000000	0	0	684	720	318	414	0	107	0	117	135	157	312	0
Ctsz	227.769231	0	0	126	0	0	0	0	0	318	536	567	617	797	0
Oasl1	227.615385	241	151	0	0	0	0	0	0	507	613	596	497	354	0
Wdr5	227.538462	0	0	439	360	263	291	165	0	155	317	311	353	304	0
Acvr2b	227.461538	0	0	456	469	369	352	185	148	0	217	230	234	297	0
9930111J21Rik2	227.384615	0	0	641	473	283	466	140	0	0	120	187	262	384	0
Eef1g	227.230769	0	0	631	612	326	330	0	135	0	221	162	199	338	0
Zfp112	227.076923	0	0	756	859	423	500	179	235	0	0	0	0	0	0
Mgst1	226.923077	219	995	335	347	288	249	0	124	0	0	0	106	287	0
Fam161a	226.846154	0	208	763	688	418	412	182	100	0	0	0	0	178	0
C5ar2	226.846154	0	0	136	100	0	0	0	0	415	455	422	579	842	0
Trpm6	226.538462	0	449	631	550	361	553	173	228	0	0	0	0	0	0
St6galnac6	226.000000	0	0	0	0	0	0	0	0	120	451	655	738	974	0
Patl1	226.000000	0	0	621	528	320	325	85	154	0	156	0	174	575	0
Tm4sf1	225.846154	0	162	828	650	421	519	197	159	0	0	0	0	0	0
Samd4	225.692308	0	448	664	669	482	468	203	0	0	0	0	0	0	0
Tmem88	225.615385	0	0	673	880	247	339	169	138	0	0	151	178	158	0
Naa38	225.615385	0	0	673	880	247	339	169	138	0	0	151	178	158	0
Cyb5d1	225.615385	0	0	673	880	247	339	169	138	0	0	151	178	158	0
Grhl2	225.384615	0	0	851	877	423	458	151	170	0	0	0	0	0	0
Cxcl11	225.307692	0	0	611	601	0	0	0	0	0	0	0	757	960	0
Aoc1	225.307692	0	270	223	284	301	303	122	0	184	323	292	180	447	0
Plek	225.230769	0	0	0	0	0	0	0	0	249	614	710	669	686	0
AW549877	225.230769	0	692	406	426	106	238	0	0	0	148	169	192	551	0
Mmp8	224.692308	0	181	0	0	0	0	0	0	441	593	409	494	803	0
Vav1	224.461538	0	0	0	0	0	0	0	0	258	622	597	603	838	0
Sys1	224.384615	0	0	1598	1319	0	0	0	0	0	0	0	0	0	0
Becn1	224.384615	0	0	807	666	227	444	138	191	0	0	0	142	302	0
Tmem87b	224.230769	0	723	171	130	0	126	0	0	244	204	224	190	903	0
Pitpnb	224.153846	0	0	704	769	554	524	168	195	0	0	0	0	0	0
Zfp287	223.615385	0	0	699	789	536	560	0	162	0	0	0	0	161	0
Nfat5	223.615385	0	319	175	172	189	0	0	0	0	203	399	450	1000	0
Senp1	223.538462	0	0	520	507	206	0	0	0	0	244	451	428	550	0
Pfkm	223.538462	0	0	520	507	206	0	0	0	0	244	451	428	550	0
Map7	223.461538	0	0	343	360	394	358	0	175	0	246	182	263	584	0
Bcr	223.384615	0	0	658	618	470	461	0	170	0	124	0	170	233	0
Fam234a	223.307692	0	244	943	762	292	378	153	131	0	0	0	0	0	0
Tdrd3	223.153846	0	192	698	596	400	365	187	246	0	0	0	0	217	0
Ifngr2	223.076923	0	0	0	0	0	0	0	0	356	620	535	570	819	0
Prl2c5	222.692308	124	828	443	536	305	404	107	148	0	0	0	0	0	0
Hipk1	222.538462	0	285	124	227	189	198	0	0	168	252	234	484	732	0
Gm20346	221.923077	0	0	542	538	421	464	135	136	0	140	0	175	334	0
Anp32a	221.923077	0	0	542	538	421	464	135	136	0	140	0	175	334	0
Uchl5	221.769231	0	266	553	432	286	350	121	0	0	0	323	257	295	0
Ro60	221.769231	0	266	553	432	286	350	121	0	0	0	323	257	295	0
Mib2	221.230769	0	0	167	115	235	165	0	0	136	407	164	328	1159	0
Sertad2	221.076923	0	0	666	670	503	479	210	173	0	0	0	173	0	0
Il18rap	221.076923	0	0	341	223	239	220	146	0	126	299	374	435	471	0
Sil1	220.846154	0	0	615	549	318	289	103	130	0	0	197	301	369	0
Mterf2	220.538462	0	0	0	0	99	0	0	0	287	590	540	643	708	0
Arhgap23	220.076923	0	341	247	272	138	106	0	0	0	384	365	337	671	0
Scaf1	220.000000	0	0	239	305	199	132	0	0	0	214	516	470	785	0
Rras	220.000000	0	0	239	305	199	132	0	0	0	214	516	470	785	0
Hnrnpa2b1	219.846154	0	103	515	701	459	128	0	0	0	187	224	267	274	0
Cbx3	219.846154	0	103	515	701	459	128	0	0	0	187	224	267	274	0
Hoxa6	219.769231	0	398	728	573	415	339	156	248	0	0	0	0	0	0
Hoxa5	219.769231	0	398	728	573	415	339	156	248	0	0	0	0	0	0
Xbp1	219.692308	0	0	654	550	351	330	0	0	0	176	138	206	451	0
Smg7	219.461538	0	0	439	466	146	278	159	0	0	241	234	338	552	0
Smpdl3b	219.384615	0	0	575	602	351	349	138	0	0	168	125	216	328	0
Stk4	219.307692	0	0	789	737	543	448	153	181	0	0	0	0	0	0
Ambp	219.307692	0	0	0	0	0	0	0	0	141	517	624	691	878	0
Gsk3a	219.153846	0	0	488	386	243	363	0	110	126	247	249	235	402	0
Tnfsf18	219.000000	0	222	251	235	177	252	0	0	174	300	359	413	464	0
Naa25	218.923077	0	210	464	288	0	243	0	0	0	218	214	284	925	0
Fbxw2	218.846154	0	632	176	277	177	194	0	0	0	174	202	335	678	0
Myo5b	218.769231	0	0	752	811	514	605	162	0	0	0	0	0	0	0
Asmt	218.692308	0	0	0	0	0	0	0	0	548	546	525	705	519	0
Zfp207	218.615385	0	182	0	0	0	0	0	0	322	423	553	504	858	0
Bri3bp	218.615385	0	0	0	0	0	0	0	0	184	330	518	741	1069	0
Cirbp	218.461538	0	294	405	312	188	261	84	141	108	284	151	236	376	0
Ecpas	218.384615	0	0	425	274	151	213	141	0	163	277	329	369	497	0
Mmp14	218.230769	0	0	451	408	374	269	255	307	0	193	0	261	319	0
Trf	218.076923	0	0	0	0	0	0	0	0	415	691	273	635	821	0
Lnpep	218.076923	0	0	527	442	291	368	0	195	0	0	0	546	466	0
H2-K1	218.000000	0	0	920	761	432	476	142	103	0	0	0	0	0	0
Spata13	217.923077	0	0	559	633	320	313	110	143	0	104	203	269	179	0
Saa1	217.923077	0	122	0	0	0	0	0	0	145	339	501	577	1149	0
Kdm7a	217.846154	0	454	462	382	320	320	93	79	0	0	163	187	372	0
Scrib	217.769231	0	0	474	500	272	283	102	0	0	239	183	273	505	0
Itpripl2	217.692308	0	0	919	744	327	466	165	209	0	0	0	0	0	0
Shisal2a	217.538462	0	0	690	638	364	215	0	0	0	106	0	269	546	0
Thsd1	217.461538	0	0	465	543	473	585	166	185	0	0	0	168	242	0
Mgst2	217.461538	0	461	517	462	446	422	0	209	0	0	0	122	188	0
Ing1	217.384615	224	398	572	439	286	284	0	0	136	0	116	140	231	0
Prune1	217.230769	0	392	279	324	231	269	88	0	221	163	78	218	561	0
Mthfd2	217.230769	0	0	654	460	375	322	128	201	0	144	0	199	341	0
Mindy1	217.230769	0	392	279	324	231	269	88	0	221	163	78	218	561	0
2010315B03Rik	216.769231	0	0	320	472	201	284	148	0	136	369	247	241	400	0
Ppp1r27	216.692308	0	136	760	774	418	408	169	152	0	0	0	0	0	0
Tnf	216.615385	0	0	208	206	0	145	0	0	0	409	531	491	826	0
Lta	216.615385	0	0	208	206	0	145	0	0	0	409	531	491	826	0
Rpl27	216.230769	0	0	623	612	295	311	188	256	0	70	149	142	165	0
Uqcrq	216.000000	0	0	536	542	357	380	67	0	0	0	224	252	450	0
Trp53i13	216.000000	0	0	524	742	332	216	114	144	0	166	0	234	336	0
Itga1	216.000000	0	0	501	484	464	491	173	190	0	79	109	116	201	0
I830077J02Rik	216.000000	0	0	0	0	0	0	0	0	212	441	756	586	813	0
Gdf9	216.000000	0	0	536	542	357	380	67	0	0	0	224	252	450	0
Gbp7	216.000000	0	0	0	0	0	0	0	0	154	414	360	776	1104	0
Abhd15	216.000000	0	0	524	742	332	216	114	144	0	166	0	234	336	0
Ip6k2	215.461538	0	226	817	876	446	436	0	0	0	0	0	0	0	0
Hikeshi	215.461538	0	0	811	778	410	308	0	109	0	0	82	144	159	0
Morf4l1	215.384615	0	148	452	378	196	223	0	129	0	225	180	207	662	0
Hexim1	215.153846	0	139	422	390	220	375	139	132	0	228	270	101	381	0
Igfbp6	215.076923	0	494	498	681	389	346	241	147	0	0	0	0	0	0
Cstf2t	214.769231	0	196	395	602	415	358	106	0	0	0	145	246	329	0
Foxp1	214.538462	0	374	0	0	0	0	0	0	113	406	446	645	805	0
Rfxank	214.384615	0	252	580	749	500	336	104	118	0	0	0	0	148	0
Pcgf1	214.384615	0	0	612	579	536	362	0	198	0	0	0	193	307	0
Gm45929	214.384615	0	252	580	749	500	336	104	118	0	0	0	0	148	0
Borcs8	214.384615	0	252	580	749	500	336	104	118	0	0	0	0	148	0
Adap1	214.230769	0	0	0	149	79	0	0	0	183	406	275	731	962	0
Gm572	213.923077	0	0	920	708	480	410	126	137	0	0	0	0	0	0
Cep43	213.846154	0	0	569	601	255	369	125	184	0	0	0	224	453	0
Usp36	213.615385	0	0	614	694	503	326	84	137	0	115	0	170	134	0
Rab5if	213.538462	0	0	378	238	143	166	0	0	255	326	273	367	630	0
Ankrd40	213.384615	0	499	465	321	208	286	0	0	0	0	186	228	581	0
Cyrib	213.307692	0	241	169	241	87	142	0	0	225	402	294	423	549	0
Pnkd	213.000000	0	0	550	554	372	599	157	297	0	0	0	138	102	0
Aamp	213.000000	0	0	550	554	372	599	157	297	0	0	0	138	102	0
Nudt18	212.615385	0	0	700	579	383	386	0	77	0	134	0	185	320	0
Efr3a	212.461538	0	268	667	496	598	436	130	167	0	0	0	0	0	0
Arid3a	212.384615	0	268	143	154	156	81	0	0	224	353	396	215	771	0
Tmc8	212.230769	0	0	299	260	168	159	0	0	189	356	284	526	518	0
Tmc6	212.230769	0	0	299	260	168	159	0	0	189	356	284	526	518	0
Tlr5	212.153846	0	0	841	632	485	536	0	264	0	0	0	0	0	0
Trip6	212.076923	0	287	653	631	478	361	166	181	0	0	0	0	0	0
Eef1a1	212.076923	0	253	571	425	274	338	0	0	0	108	156	391	241	0
Esd	212.000000	0	110	588	581	237	241	0	141	0	0	180	308	370	0
Commd1	212.000000	0	280	102	0	0	125	0	0	201	421	435	407	785	0
Tbc1d15	211.769231	0	0	631	541	351	453	0	199	0	0	167	291	120	0
Agfg2	211.769231	0	0	469	557	186	307	94	155	0	195	194	271	325	0
Mtmr6	211.615385	0	0	0	0	0	0	0	0	0	624	837	668	622	0
Gpt2	211.153846	0	0	462	624	415	481	152	136	0	0	141	175	159	0
Zbtb38	211.076923	0	0	662	604	538	441	237	262	0	0	0	0	0	0
Zfp326	210.923077	0	128	468	351	267	226	0	139	117	216	226	229	375	0
Nxt2	210.923077	0	192	426	706	359	347	128	129	0	0	0	210	245	0
Ubap1	210.846154	0	0	814	962	369	360	0	0	0	0	0	0	236	0
Swap70	210.846154	0	316	229	232	205	155	0	0	0	211	327	321	745	0
Dcaf1	210.846154	0	0	719	542	254	287	0	151	0	138	135	285	230	0
Zfp316	210.769231	0	0	717	816	436	363	159	249	0	0	0	0	0	0
Uspl1	210.692308	0	0	699	602	391	261	414	372	0	0	0	0	0	0
Ezr	210.615385	0	0	680	641	421	308	0	81	0	0	137	184	286	0
Etv5	210.461538	0	0	754	758	369	453	219	183	0	0	0	0	0	0
Mxd4	210.384615	0	0	720	583	467	587	185	193	0	0	0	0	0	0
Xrn2	210.307692	0	170	468	526	271	410	0	150	0	157	112	142	328	0
Bscl2	210.153846	198	768	128	283	0	103	0	0	183	159	193	231	486	0
Zfp493	210.076923	0	266	479	452	327	262	0	175	0	164	147	213	246	0
Atp11a	209.923077	0	156	455	454	63	0	0	0	174	284	290	357	496	0
Pigz	209.769231	0	0	805	828	394	483	0	107	0	0	0	0	110	0
Bola1	209.230769	0	0	688	837	420	472	184	119	0	0	0	0	0	0
Scn5a	209.076923	0	0	680	706	518	467	134	213	0	0	0	0	0	0
Jade1	209.076923	0	0	477	406	221	314	0	0	145	250	305	241	359	0
Zfp384	209.000000	0	0	565	447	319	289	0	0	0	215	260	446	176	0
Orm3	209.000000	0	0	144	114	221	327	0	0	0	362	634	534	381	0
F7	208.923077	0	384	167	136	0	0	0	0	131	292	480	569	557	0
Septin4	208.538462	0	0	597	635	449	445	296	289	0	0	0	0	0	0
Aff1	208.538462	0	460	496	289	210	166	0	0	0	173	158	252	507	0
Ids	208.384615	0	0	665	560	376	465	0	0	0	0	0	220	423	0
Glyctk	208.384615	0	0	389	397	386	370	165	0	99	228	194	298	183	0
Il4ra	208.230769	0	0	0	0	0	0	0	0	328	490	533	516	840	0
Lima1	207.923077	0	619	660	512	312	413	0	187	0	0	0	0	0	0
Krtcap3	207.846154	0	0	556	587	405	401	203	188	0	0	0	0	362	0
Ngdn	207.769231	0	0	442	467	222	359	126	150	0	0	177	341	417	0
Dlgap4	207.769231	0	401	202	160	172	0	0	0	0	230	362	400	774	0
Nsa2	207.538462	0	0	485	448	334	284	0	106	0	197	142	358	344	0
Gfm2	207.538462	0	0	485	448	334	284	0	106	0	197	142	358	344	0
Zfp473	207.461538	0	188	452	355	210	208	0	120	160	261	224	245	274	0
Vrk3	207.461538	0	188	452	355	210	208	0	120	160	261	224	245	274	0
Tmem237	207.384615	0	214	600	467	364	398	174	153	0	0	0	0	326	0
Rab7	207.153846	0	0	684	588	312	484	0	154	0	0	0	113	358	0
Tecpr1	206.923077	0	150	703	566	426	351	119	171	0	0	0	0	204	0
Ppard	206.923077	0	155	642	671	544	561	0	117	0	0	0	0	0	0
Coq10b	206.923077	0	0	744	632	321	367	0	0	0	185	131	177	133	0
Zc3h14	206.846154	0	0	697	564	433	483	136	244	0	0	0	0	132	0
R3hdml	206.846154	0	287	362	256	230	292	0	0	0	287	334	337	304	0
Ugt1a6a	206.769231	0	283	0	0	0	0	0	0	218	504	464	488	731	0
Ranbp2	206.538462	0	0	665	661	432	412	213	0	0	0	0	0	302	0
Primpol	206.538462	0	124	593	556	487	362	145	0	0	0	0	209	209	0
Cnih3	206.538462	0	0	1009	756	288	498	0	134	0	0	0	0	0	0
Casp3	206.538462	0	124	593	556	487	362	145	0	0	0	0	209	209	0
Dusp1	206.461538	137	440	127	98	0	121	0	0	0	321	321	504	615	0
Ttll13	206.307692	0	0	460	533	267	283	0	158	0	154	116	252	459	0
Shc2	206.307692	0	0	642	750	484	454	203	149	0	0	0	0	0	0
Irf2bpl	206.230769	0	174	556	534	355	303	99	142	0	200	0	139	179	0
Slc35e1	206.153846	0	0	750	616	482	400	190	242	0	0	0	0	0	0
Rassf8	205.769231	0	0	651	609	564	458	129	167	0	0	0	0	97	0
Creld1	205.615385	0	392	459	436	448	281	215	162	0	0	125	0	155	0
Wdfy2	205.538462	0	0	266	333	235	226	0	0	172	287	408	274	471	0
Mroh1	205.230769	0	0	465	498	268	298	0	0	0	217	300	240	382	0
Ripor2	204.769231	0	0	0	0	0	0	0	0	197	591	535	549	790	0
Trcg1	204.538462	0	170	227	164	180	218	0	0	166	330	370	361	473	0
Fpr2	204.461538	0	675	0	0	0	0	0	0	0	210	266	257	1250	0
Rbpms	204.384615	0	0	126	169	111	61	0	0	242	368	419	445	716	0
Uhrf1bp1l	204.307692	0	196	382	535	247	188	0	0	0	206	189	260	453	0
Ngef	204.230769	0	0	667	585	508	544	166	185	0	0	0	0	0	0
Neu2	204.230769	0	0	667	585	508	544	166	185	0	0	0	0	0	0
H6pd	204.230769	0	270	197	146	0	0	0	0	174	204	505	464	695	0
Cers6	204.230769	0	0	0	0	0	0	0	0	246	355	465	685	904	0
Zrsr1	204.153846	0	280	0	0	0	125	0	0	201	421	435	407	785	0
Sdhaf1	204.153846	0	0	399	375	412	361	0	0	0	185	215	315	392	0
Poglut2	203.923077	0	177	510	539	320	420	124	0	0	123	98	162	178	0
Bivm	203.923077	0	177	510	539	320	420	124	0	0	123	98	162	178	0
Zfp821	203.692308	0	0	395	397	157	254	0	0	0	127	320	434	564	0
Ugdh	203.692308	0	0	612	568	374	292	101	0	0	0	146	252	303	0
Ist1	203.692308	0	0	395	397	157	254	0	0	0	127	320	434	564	0
Hp1bp3	203.692308	0	430	166	206	0	200	0	0	0	115	278	522	731	0
Tnk2	203.538462	0	112	735	725	451	412	77	134	0	0	0	0	0	0
Tfe3	203.384615	0	0	453	384	319	296	0	0	195	216	192	283	306	0
Stom	203.384615	0	243	617	545	392	426	154	134	0	0	0	0	133	0
Pla2g4a	203.384615	0	424	158	125	133	0	0	0	227	279	262	218	818	0
Exosc9	203.384615	0	0	581	553	346	341	0	0	0	118	147	199	359	0
Clint1	203.153846	0	195	144	128	162	0	0	0	0	399	467	358	788	0
Katnal1	203.076923	0	0	866	645	312	409	181	123	0	0	0	0	104	0
Clcn7	203.076923	0	0	0	0	0	0	0	0	365	350	477	457	991	0
Fstl3	203.000000	0	0	436	376	262	254	0	0	117	164	320	292	418	0
Vamp8	202.923077	0	0	759	739	480	352	123	185	0	0	0	0	0	0
Dpp7	202.923077	0	0	0	0	0	0	0	0	0	386	583	743	926	0
Slfn2	202.846154	0	471	76	0	0	0	0	0	138	302	375	460	815	0
Ckap2l	202.692308	0	0	662	540	302	381	0	0	0	106	168	161	315	0
Wwc1	202.384615	0	0	881	719	359	468	204	0	0	0	0	0	0	0
Taf15	202.384615	0	185	642	641	372	380	81	108	0	0	0	0	222	0
Mlycd	202.307692	0	0	728	747	412	413	177	153	0	0	0	0	0	0
