Target_genes	Myb|Average	SRX8737398|Bone_Marrow_Cells	SRX3889819|Embryonic_liver	SRX3889820|Embryonic_liver	SRX140366|MEL	SRX884094|MLL-AF9_leukemic_cell	SRX884095|MLL-AF9_leukemic_cell	STRING
Tmem144	84.166667	0	0	0	505	0	0	0
Tex2	84.166667	0	0	0	159	346	0	0
Scarb2	84.166667	131	0	0	0	0	374	0
Pmf1	84.166667	172	0	0	333	0	0	0
Mrps31	84.166667	0	0	0	362	143	0	0
Katnal2	84.166667	99	0	0	306	100	0	0
Eef1a1	84.166667	0	0	0	365	140	0	0
Tasp1	84.000000	0	0	0	370	134	0	0
Gabpb2	84.000000	126	0	0	278	100	0	0
Clcn7	84.000000	0	0	0	200	304	0	0
Ypel4	83.833333	0	224	279	0	0	0	0
Tmem242	83.833333	73	0	0	168	262	0	0
Snip1	83.833333	0	0	0	396	107	0	0
Mul1	83.833333	0	0	0	313	190	0	0
Dnali1	83.833333	0	0	0	396	107	0	0
Snrnp27	83.666667	0	0	0	247	255	0	0
Lsg1	83.666667	118	0	0	190	194	0	0
Kmt5a	83.666667	79	0	0	173	0	250	0
Atp13a2	83.666667	307	0	0	195	0	0	0
Arhgap25	83.666667	0	0	0	502	0	0	0
1700020L24Rik	83.666667	129	0	0	135	238	0	0
Kmt2a	83.333333	0	0	0	343	157	0	0
Il12rb2	83.333333	0	0	0	500	0	0	0
Plac8	83.166667	0	0	0	367	132	0	0
Wnk4	83.000000	0	207	184	107	0	0	0
Wdr13	83.000000	0	0	0	498	0	0	0
Pnkp	83.000000	104	0	0	276	118	0	0
Ccnt1	83.000000	124	0	0	293	81	0	0
Asxl1	83.000000	0	0	0	498	0	0	0
Ap2a2	83.000000	0	0	0	319	0	179	0
4930415O20Rik	83.000000	124	0	0	293	81	0	0
Tmem209	82.833333	0	0	0	344	153	0	0
Tbcc	82.833333	0	0	0	497	0	0	0
Ssmem1	82.833333	0	0	0	344	153	0	0
Rbm45	82.833333	0	0	0	497	0	0	0
Gpatch3	82.833333	141	0	0	175	181	0	0
Ncbp3	82.500000	126	0	0	212	157	0	0
Nfat5	82.333333	0	0	0	250	244	0	0
Lipa	82.333333	0	0	0	494	0	0	0
Gstm5	82.333333	129	0	0	365	0	0	0
Cops3	82.333333	79	0	0	335	80	0	0
Eif3m	82.166667	0	0	0	421	72	0	0
Cuedc2	82.166667	0	0	0	327	166	0	0
Sptb	82.000000	0	296	196	0	0	0	0
Ppp1r37	82.000000	92	0	0	258	142	0	0
Poc1a	82.000000	96	0	0	269	127	0	0
Gm3776	82.000000	0	0	0	0	147	345	0
Arhgap21	82.000000	116	97	0	279	0	0	0
Slc9a1	81.833333	0	0	0	135	356	0	0
Ralbp1	81.833333	0	0	0	308	183	0	0
Polg	81.833333	112	0	0	172	207	0	0
Kif2c	81.833333	0	0	0	186	305	0	0
Itga5	81.833333	76	0	0	415	0	0	0
Gfpt1	81.833333	0	0	0	405	86	0	0
Wdr92	81.666667	120	0	0	370	0	0	0
Rab11a	81.666667	100	0	0	180	210	0	0
Pno1	81.666667	120	0	0	370	0	0	0
Pdyn	81.666667	0	0	0	490	0	0	0
Nudc	81.666667	113	0	0	242	135	0	0
H1f4	81.666667	119	0	0	371	0	0	0
Zfp839	81.500000	0	0	0	229	260	0	0
Mok	81.500000	0	0	0	229	260	0	0
Mblac1	81.500000	193	0	0	296	0	0	0
Elof1	81.500000	0	0	0	489	0	0	0
Car15	81.500000	0	0	0	489	0	0	0
Snx17	81.333333	0	0	0	266	222	0	0
Sgca	81.333333	0	0	0	272	216	0	0
Pes1	81.333333	117	0	0	294	77	0	0
Hmgb2	81.333333	85	0	0	403	0	0	0
Eif2b4	81.333333	0	0	0	266	222	0	0
Akirin2	81.333333	0	0	0	394	94	0	0
Trim41	81.166667	53	0	0	205	229	0	0
Rhd	81.166667	0	158	190	139	0	0	0
Mgat4b	81.166667	148	196	143	0	0	0	0
Prpf4	80.833333	80	0	0	185	220	0	0
Kansl3	80.833333	0	0	0	224	261	0	0
Fer1l5	80.833333	0	0	0	224	261	0	0
Emc7	80.833333	0	0	0	255	230	0	0
Cdc26	80.833333	80	0	0	185	220	0	0
Atp5g1	80.833333	0	0	0	301	0	184	0
Susd6	80.666667	0	0	0	484	0	0	0
Stk19	80.666667	0	0	0	117	367	0	0
Spats1	80.666667	0	0	0	303	181	0	0
Klf10	80.666667	0	0	0	484	0	0	0
Dxo	80.666667	0	0	0	117	367	0	0
Brf2	80.666667	0	0	0	133	351	0	0
Wdr75	80.500000	97	0	0	228	158	0	0
Smpd3	80.500000	0	0	0	280	203	0	0
Ormdl3	80.500000	0	0	0	101	382	0	0
Opa1	80.500000	0	0	0	161	322	0	0
Nudt15	80.500000	92	0	0	134	257	0	0
Nop53	80.500000	0	0	0	212	271	0	0
Mlh3	80.500000	0	0	0	0	0	483	0
Cenph	80.500000	84	127	0	177	95	0	0
Ccsap	80.500000	0	0	0	483	0	0	0
Tubgcp6	80.333333	0	0	0	120	362	0	0
Rom1	80.333333	94	0	0	388	0	0	0
Eml3	80.333333	94	0	0	388	0	0	0
Borcs7	80.333333	90	0	0	392	0	0	0
Lasp1	80.166667	0	0	0	292	189	0	0
F830016B08Rik	80.166667	0	0	0	481	0	0	0
Ddx23	80.166667	93	0	0	236	152	0	0
Vat1	80.000000	145	0	0	335	0	0	0
Usp5	80.000000	86	0	0	198	196	0	0
Rnf166	80.000000	0	0	0	0	480	0	0
Rnd2	80.000000	145	0	0	335	0	0	0
Prcc	80.000000	0	0	0	242	238	0	0
Plekhg2	80.000000	90	0	0	223	167	0	0
Med27	80.000000	0	0	0	158	322	0	0
Gramd4	80.000000	0	0	0	480	0	0	0
Ctu2	80.000000	0	0	0	0	480	0	0
Cdca3	80.000000	86	0	0	198	196	0	0
Tsnaxip1	79.833333	0	0	0	237	242	0	0
Ranbp10	79.833333	0	0	0	237	242	0	0
Hps3	79.833333	0	0	0	479	0	0	0
Ttc39a	79.666667	0	186	157	135	0	0	0
Rab11b	79.666667	62	0	0	199	217	0	0
Mrfap1	79.666667	0	0	0	478	0	0	0
Hes7	79.666667	0	0	0	232	246	0	0
Cnr2	79.666667	0	0	0	478	0	0	0
Cars	79.666667	0	0	0	191	0	287	0
Slc5a6	79.500000	0	0	0	0	0	477	0
Nav2	79.500000	0	0	0	309	168	0	0
Cad	79.500000	0	0	0	0	0	477	0
Atraid	79.500000	0	0	0	0	0	477	0
Adgre5	79.500000	249	0	0	228	0	0	0
Tnfaip3	79.333333	164	0	0	129	183	0	0
Nxn	79.333333	65	0	0	411	0	0	0
Med14	79.333333	0	0	0	476	0	0	0
Max	79.333333	0	0	0	321	155	0	0
Clec4e	79.333333	182	0	0	294	0	0	0
5430427O19Rik	79.333333	74	0	0	225	0	177	0
Zcwpw2	79.166667	78	0	0	174	223	0	0
Tmem160	79.166667	0	0	0	251	224	0	0
Snrpd1	79.166667	73	0	0	172	230	0	0
Pbk	79.166667	101	0	0	374	0	0	0
E2f2	79.166667	203	272	0	0	0	0	0
Azi2	79.166667	78	0	0	174	223	0	0
Tmem129	79.000000	128	0	0	346	0	0	0
Tacc3	79.000000	128	0	0	346	0	0	0
Sacm1l	79.000000	0	0	0	202	272	0	0
Nt5c2	79.000000	103	0	0	371	0	0	0
Gclm	79.000000	0	0	0	474	0	0	0
Alkbh8	79.000000	0	0	0	474	0	0	0
9530068E07Rik	79.000000	0	0	0	239	235	0	0
Epg5	78.833333	75	0	0	251	147	0	0
Wrap53	78.666667	0	0	0	251	221	0	0
Trp53	78.666667	0	0	0	251	221	0	0
Lig3	78.666667	0	0	0	472	0	0	0
Il1r1	78.666667	89	0	0	383	0	0	0
Icam5	78.666667	72	97	0	303	0	0	0
Icam4	78.666667	72	97	0	303	0	0	0
Fcgr2b	78.666667	0	0	0	306	166	0	0
Dpep2	78.666667	0	0	0	0	136	336	0
Osbpl9	78.500000	128	0	0	89	88	166	0
Mybpc3	78.500000	0	0	0	0	471	0	0
Fbxo43	78.500000	0	0	0	471	0	0	0
Trmt44	78.333333	0	0	0	196	274	0	0
Rnf169	78.333333	0	0	0	470	0	0	0
Psma1	78.333333	0	0	0	0	470	0	0
Nphp1	78.333333	0	0	0	470	0	0	0
Nkiras2	78.333333	0	0	0	304	166	0	0
Mtln	78.333333	0	0	0	470	0	0	0
Kcnq1	78.333333	0	0	0	470	0	0	0
Dnajc7	78.333333	0	0	0	304	166	0	0
Ccdc181	78.333333	0	0	0	470	0	0	0
Ruvbl1	78.166667	82	0	0	252	135	0	0
Pigg	78.166667	0	0	0	155	314	0	0
Galk2	78.166667	0	0	0	301	168	0	0
Cops2	78.166667	0	0	0	301	168	0	0
Anapc10	78.166667	0	0	0	106	363	0	0
Abce1	78.166667	0	0	0	106	363	0	0
Tac4	78.000000	101	0	0	165	202	0	0
Nras	78.000000	84	0	0	257	127	0	0
Lonp1	78.000000	0	0	0	192	276	0	0
Catsperd	78.000000	0	0	0	192	276	0	0
Wdr18	77.833333	0	0	0	260	207	0	0
Pinx1	77.833333	0	0	0	299	168	0	0
Pdcl3	77.833333	0	0	0	467	0	0	0
Msl3	77.833333	0	0	0	467	0	0	0
Zfp654	77.666667	0	0	0	466	0	0	0
Ypel2	77.666667	0	0	0	466	0	0	0
Mapk9	77.666667	0	0	0	466	0	0	0
Gdf1	77.666667	0	0	0	466	0	0	0
Gadd45a	77.666667	0	176	0	156	134	0	0
D16Ertd472e	77.666667	0	0	0	273	193	0	0
Cggbp1	77.666667	0	0	0	466	0	0	0
Ccl27a	77.666667	140	0	0	326	0	0	0
Tfap4	77.500000	214	0	0	157	94	0	0
Pycr2	77.500000	0	303	162	0	0	0	0
Ncbp2	77.500000	0	0	0	206	259	0	0
Jtb	77.500000	0	0	0	311	154	0	0
0610012G03Rik	77.500000	0	0	0	206	259	0	0
Wdr12	77.333333	0	0	0	390	74	0	0
Tmc8	77.333333	132	0	0	215	117	0	0
Tbrg4	77.333333	0	0	0	379	85	0	0
Mrpl24	77.333333	0	0	0	225	239	0	0
Ctdp1	77.333333	121	0	0	152	191	0	0
Carf	77.333333	0	0	0	390	74	0	0
Apeh	77.166667	94	164	205	0	0	0	0
Abcb9	77.166667	0	167	90	206	0	0	0
Wdr25	77.000000	0	0	0	202	260	0	0
Wbp4	77.000000	111	0	0	168	183	0	0
Wars	77.000000	0	0	0	202	260	0	0
Syngr1	77.000000	0	118	104	240	0	0	0
Ms4a3	77.000000	0	0	0	327	135	0	0
Mnat1	77.000000	0	0	0	196	266	0	0
H2bc21	77.000000	144	0	0	245	73	0	0
H2ac21	77.000000	144	0	0	245	73	0	0
H2ac20	77.000000	144	0	0	245	73	0	0
Elf1	77.000000	111	0	0	168	183	0	0
Ddx18	77.000000	118	0	0	207	137	0	0
Wdr46	76.833333	97	0	0	179	185	0	0
Vamp4	76.833333	0	0	0	124	337	0	0
Rab29	76.833333	0	0	0	177	284	0	0
Pfdn6	76.833333	97	0	0	179	185	0	0
Map1lc3b	76.833333	0	136	0	144	181	0	0
Dtwd2	76.833333	109	0	0	0	80	272	0
Zswim3	76.666667	168	0	0	292	0	0	0
Trip4	76.666667	0	0	0	265	195	0	0
Septin2	76.666667	0	0	0	460	0	0	0
Mxi1	76.666667	0	0	0	276	184	0	0
Hdlbp	76.666667	0	0	0	460	0	0	0
Exosc6	76.666667	104	0	0	207	149	0	0
Acot8	76.666667	168	0	0	292	0	0	0
B4galt2	76.500000	66	0	0	187	206	0	0
Atp6v0b	76.500000	66	0	0	187	206	0	0
Star	76.333333	0	0	0	458	0	0	0
Pabpc4	76.333333	0	159	178	0	121	0	0
Wbp2	76.166667	0	0	0	285	172	0	0
Ugcg	76.166667	0	0	0	457	0	0	0
Trappc9	76.166667	0	143	0	129	185	0	0
Rexo5	76.166667	111	0	0	263	83	0	0
Kdsr	76.166667	0	0	0	457	0	0	0
H4c9	76.166667	0	0	0	347	110	0	0
H2bc11	76.166667	0	0	0	347	110	0	0
H2ac11	76.166667	0	0	0	347	110	0	0
Eri2	76.166667	111	0	0	263	83	0	0
Ddx55	76.166667	72	0	0	204	181	0	0
Cd2bp2	76.166667	81	0	0	225	151	0	0
Zscan30	76.000000	0	0	0	313	143	0	0
Zfp35	76.000000	0	0	0	313	143	0	0
Wnt10b	76.000000	0	0	0	456	0	0	0
Trim28	76.000000	162	0	0	294	0	0	0
Stxbp4	76.000000	97	0	0	359	0	0	0
Prrg2	76.000000	85	0	0	191	180	0	0
Nosip	76.000000	85	0	0	191	180	0	0
Ndufb5	76.000000	0	0	0	225	231	0	0
Mrpl47	76.000000	0	0	0	225	231	0	0
Metrn	76.000000	103	0	0	94	259	0	0
Fam210b	76.000000	0	304	152	0	0	0	0
Cox11	76.000000	97	0	0	359	0	0	0
Antkmt	76.000000	103	0	0	94	259	0	0
Aldh18a1	76.000000	0	0	0	456	0	0	0
Zfp944	75.833333	135	0	0	218	102	0	0
Zfp758	75.833333	135	0	0	218	102	0	0
Zfp637	75.833333	0	0	0	455	0	0	0
Ctbp1	75.833333	0	0	0	455	0	0	0
Cd200r4	75.833333	0	0	0	455	0	0	0
Brd3os	75.833333	0	0	0	0	455	0	0
Itgb3	75.666667	135	0	0	319	0	0	0
Hnrnpm	75.666667	0	0	0	454	0	0	0
E030018B13Rik	75.666667	0	0	0	325	129	0	0
Dis3l2	75.666667	0	0	0	383	71	0	0
Dennd5b	75.666667	0	0	0	0	0	454	0
Dcaf4	75.666667	0	0	0	454	0	0	0
Clec4b2	75.666667	245	0	0	0	209	0	0
Sp2	75.500000	150	0	0	0	303	0	0
Rttn	75.500000	108	0	0	152	193	0	0
Wdr24	75.333333	0	0	0	216	236	0	0
Trip11	75.333333	0	0	0	452	0	0	0
Tctex1d2	75.333333	99	0	0	247	106	0	0
Polr1b	75.333333	0	0	0	242	210	0	0
Dph5	75.333333	0	0	0	452	0	0	0
Tuba8	75.000000	0	0	0	450	0	0	0
Trmt10b	75.000000	0	0	0	255	195	0	0
Tcf3	75.000000	219	0	0	142	89	0	0
Tbl1xr1	75.000000	0	0	0	450	0	0	0
Rfx7	75.000000	77	0	0	205	168	0	0
Mrpl3	75.000000	0	0	0	233	217	0	0
H4c4	75.000000	119	0	0	207	124	0	0
Fibp	75.000000	0	0	0	222	228	0	0
Ctsf	75.000000	0	250	200	0	0	0	0
Ccdc85b	75.000000	0	0	0	222	228	0	0
Ccdc14	75.000000	0	0	0	319	131	0	0
5730455P16Rik	75.000000	0	0	0	217	233	0	0
Xkr5	74.833333	0	0	0	199	250	0	0
Slc12a6	74.833333	0	0	0	259	190	0	0
Rem2	74.833333	0	0	0	449	0	0	0
Nfil3	74.833333	231	0	0	0	218	0	0
Ddx19a	74.833333	90	0	0	0	96	263	0
Tmem147	74.666667	104	0	0	187	157	0	0
Gfi1b	74.666667	111	0	0	249	88	0	0
Btbd8	74.666667	0	0	0	261	187	0	0
Tjp3	74.500000	0	0	0	305	142	0	0
Rs1	74.500000	0	0	0	266	181	0	0
Rbks	74.500000	78	0	0	163	206	0	0
Piga	74.500000	0	0	0	447	0	0	0
Kat8	74.500000	64	0	0	252	131	0	0
Inpp5a	74.500000	0	0	0	358	89	0	0
Cox7a2	74.500000	144	0	0	168	135	0	0
Babam2	74.500000	78	0	0	163	206	0	0
Atp6v0e	74.500000	0	0	0	447	0	0	0
Adnp	74.500000	114	0	0	132	201	0	0
Tubb4b	74.333333	122	0	0	324	0	0	0
Stoml2	74.333333	0	0	0	190	256	0	0
Ss18l2	74.333333	0	0	0	211	235	0	0
Scly	74.333333	0	0	0	446	0	0	0
Gm13290	74.333333	0	0	0	303	143	0	0
Gm13289	74.333333	0	0	0	303	143	0	0
Gm13285	74.333333	0	0	0	303	143	0	0
Ep400	74.333333	0	0	0	337	109	0	0
Dctn6	74.333333	0	0	0	122	324	0	0
Brms1	74.333333	0	0	0	157	289	0	0
B4gat1	74.333333	0	0	0	157	289	0	0
Arih2	74.333333	165	0	0	153	128	0	0
Rps3	74.166667	102	0	0	129	214	0	0
Mrpl34	74.166667	0	0	0	147	298	0	0
Dda1	74.166667	0	0	0	147	298	0	0
Abhd8	74.166667	0	0	0	147	298	0	0
Zfp87	74.000000	0	0	0	444	0	0	0
Zfp692	74.000000	0	0	0	233	211	0	0
Tmem94	74.000000	80	0	0	147	217	0	0
Rtcb	74.000000	0	0	0	295	149	0	0
Rgl2	74.000000	0	0	0	229	215	0	0
Pias1	74.000000	0	0	0	307	137	0	0
Ogfod1	74.000000	133	0	0	158	153	0	0
Nudt21	74.000000	133	0	0	158	153	0	0
Lmtk2	74.000000	68	0	0	269	107	0	0
Kctd5	74.000000	0	0	0	310	134	0	0
Abcc2	74.000000	119	0	0	0	325	0	0
Tmem150a	73.833333	0	254	189	0	0	0	0
Nudcd1	73.833333	98	0	0	213	132	0	0
Eny2	73.833333	98	0	0	213	132	0	0
Runx1	73.666667	101	251	0	90	0	0	0
Ppp1r18	73.666667	248	0	0	194	0	0	0
Mettl9	73.666667	0	0	0	171	271	0	0
Gabarap	73.666667	215	0	0	227	0	0	0
Apobec3	73.666667	213	0	0	229	0	0	0
Actr8	73.666667	0	0	0	442	0	0	0
Acp5	73.666667	0	156	161	125	0	0	0
U2af2	73.500000	0	0	0	357	84	0	0
St7	73.500000	0	163	0	182	96	0	0
Rreb1	73.500000	0	0	0	441	0	0	0
H2bc12	73.500000	94	0	0	347	0	0	0
H2ac12	73.500000	94	0	0	347	0	0	0
Ctnna3	73.500000	0	0	0	211	230	0	0
Ccdc97	73.500000	116	0	0	180	145	0	0
Ccdc106	73.500000	0	0	0	357	84	0	0
Stk25	73.333333	0	0	0	309	131	0	0
Pitpnm2	73.333333	0	177	0	263	0	0	0
Mrtfa	73.333333	102	0	0	338	0	0	0
Kifc5b	73.333333	103	0	0	173	164	0	0
Gtf2ird2	73.333333	0	0	0	0	118	322	0
Fam118a	73.333333	141	0	0	135	164	0	0
Pspc1	73.166667	106	0	0	222	111	0	0
Mon1b	73.166667	97	0	0	263	79	0	0
Esr1	73.166667	0	0	0	209	0	230	0
Dcaf1	73.166667	99	0	0	164	176	0	0
Imp4	73.000000	0	0	0	275	163	0	0
Gsc2	73.000000	0	0	0	167	271	0	0
Gmfg	73.000000	87	0	0	351	0	0	0
Ess2	73.000000	0	0	0	167	271	0	0
Cradd	73.000000	0	0	0	252	186	0	0
Ccdc115	73.000000	0	0	0	275	163	0	0
Triap1	72.833333	0	0	0	159	278	0	0
Mterf4	72.833333	0	0	0	197	240	0	0
Gatc	72.833333	0	0	0	159	278	0	0
Slc25a51	72.666667	0	0	0	436	0	0	0
Cdc42ep3	72.666667	0	219	217	0	0	0	0
Bod1l	72.666667	0	0	0	304	132	0	0
1110038F14Rik	72.666667	89	0	0	150	197	0	0
Zbtb44	72.500000	127	0	0	308	0	0	0
Tigd3	72.500000	147	0	0	288	0	0	0
Srpk1	72.500000	0	0	0	435	0	0	0
Rps6ka5	72.500000	129	0	0	160	146	0	0
Klhl6	72.500000	77	0	0	358	0	0	0
Hspa4l	72.500000	177	0	0	258	0	0	0
Fam222a	72.500000	0	0	0	435	0	0	0
Dennd6b	72.500000	132	0	0	126	177	0	0
Nipal2	72.333333	0	0	0	434	0	0	0
Lman2	72.333333	0	0	0	200	234	0	0
H4c6	72.333333	77	0	0	291	66	0	0
H1f3	72.333333	77	0	0	291	66	0	0
Cacybp	72.333333	106	0	0	141	187	0	0
Bid	72.333333	93	0	0	232	109	0	0
Wdr88	72.166667	0	0	0	433	0	0	0
Slc39a13	72.166667	71	0	0	194	168	0	0
Nolc1	72.166667	68	0	0	177	188	0	0
Lamp1	72.166667	0	0	0	196	237	0	0
Gba	72.166667	0	0	0	318	115	0	0
Ppil4	72.000000	0	0	0	123	309	0	0
Npas4	72.000000	0	0	0	161	271	0	0
Map3k14	72.000000	0	0	0	432	0	0	0
Lsm6	72.000000	97	0	0	142	193	0	0
Zfp593	71.833333	0	0	0	249	182	0	0
Zcchc8	71.833333	0	0	0	165	266	0	0
Ung	71.833333	0	0	0	431	0	0	0
Sh3kbp1	71.833333	0	0	0	431	0	0	0
Rgs18	71.833333	203	0	0	228	0	0	0
Gm30191	71.833333	0	0	0	249	182	0	0
Atg2a	71.833333	0	0	0	431	0	0	0
Cep78	71.666667	0	0	0	430	0	0	0
Cd47	71.666667	0	0	0	430	0	0	0
Agtr1a	71.666667	143	0	0	287	0	0	0
Zfp956	71.500000	112	0	0	317	0	0	0
Snrpe	71.500000	94	0	0	175	160	0	0
Ccdc130	71.500000	99	0	0	330	0	0	0
Urm1	71.333333	0	0	0	428	0	0	0
Tesk1	71.333333	97	0	0	214	117	0	0
Slc16a6	71.333333	0	0	0	428	0	0	0
Pde6d	71.333333	0	0	0	206	222	0	0
Dcaf7	71.333333	0	0	0	428	0	0	0
Cops7b	71.333333	0	0	0	206	222	0	0
Cep97	71.333333	130	0	0	197	101	0	0
Arsg	71.333333	0	0	0	428	0	0	0
Tnfrsf8	71.166667	0	0	0	427	0	0	0
Cog7	71.166667	0	0	0	213	214	0	0
Abcc5	71.166667	0	0	0	427	0	0	0
Ric8b	71.000000	0	0	0	242	184	0	0
Psmg3	71.000000	0	0	0	177	249	0	0
Ppp1r13b	71.000000	0	123	133	170	0	0	0
Pbld2	71.000000	0	0	0	301	125	0	0
Mrpl53	71.000000	0	0	0	291	135	0	0
Mars1	71.000000	95	0	0	210	121	0	0
Kptn	71.000000	87	0	0	181	158	0	0
Hnrnph3	71.000000	0	0	0	301	125	0	0
Adam22	71.000000	0	0	0	426	0	0	0
Mcm7	70.833333	68	0	0	357	0	0	0
Ccl26	70.833333	0	0	0	249	0	176	0
Arcn1	70.833333	0	0	0	248	177	0	0
Ap4m1	70.833333	68	0	0	357	0	0	0
Taf2	70.666667	0	0	0	322	102	0	0
Slc48a1	70.666667	0	0	0	325	99	0	0
Kmt2e	70.666667	106	0	0	318	0	0	0
Josd2	70.666667	0	0	0	139	285	0	0
Gm29733	70.666667	105	194	0	125	0	0	0
Fbxw7	70.666667	90	0	0	166	168	0	0
Fam117b	70.666667	0	0	0	424	0	0	0
Ebna1bp2	70.666667	0	0	0	284	140	0	0
Cfap57	70.666667	0	0	0	284	140	0	0
Aspdh	70.666667	0	0	0	139	285	0	0
Tmx4	70.500000	90	0	0	180	153	0	0
Hif3a	70.500000	0	0	0	423	0	0	0
Cyb5r3	70.500000	0	277	146	0	0	0	0
Zfp668	70.333333	62	0	0	188	172	0	0
Zfp646	70.333333	62	0	0	188	172	0	0
Trmt10a	70.333333	0	0	0	155	267	0	0
Sumf2	70.333333	0	0	0	422	0	0	0
Polr2c	70.333333	0	0	0	211	211	0	0
Mttp	70.333333	0	0	0	155	267	0	0
Mterf1b	70.333333	0	0	0	180	242	0	0
Eps15	70.333333	0	0	0	172	250	0	0
Bcl2	70.333333	0	0	0	422	0	0	0
Zc3hc1	70.166667	0	0	0	209	212	0	0
Trim58	70.166667	108	175	0	138	0	0	0
Rps3a1	70.166667	106	0	0	204	111	0	0
Ppp2r1b	70.166667	0	0	0	421	0	0	0
Otud6b	70.166667	110	0	0	164	147	0	0
Nkx1-1	70.166667	0	0	0	251	170	0	0
Naxe	70.166667	0	0	0	334	87	0	0
Dhrs3	70.166667	0	0	0	235	186	0	0
Bub1b	70.166667	0	0	0	183	238	0	0
Aloxe3	70.166667	0	0	0	232	189	0	0
Zbtb45	70.000000	0	0	0	322	98	0	0
Vipas39	70.000000	0	0	0	239	181	0	0
Usf1	70.000000	119	0	0	179	122	0	0
Tex22	70.000000	0	0	0	199	221	0	0
Polm	70.000000	171	0	0	110	139	0	0
Muc1	70.000000	0	0	0	420	0	0	0
H2az2	70.000000	0	0	0	420	0	0	0
Eif3e	70.000000	74	0	0	216	130	0	0
Ahsa1	70.000000	0	0	0	239	181	0	0
Tefm	69.833333	0	0	0	253	166	0	0
Pfkfb2	69.833333	0	0	0	285	134	0	0
Med28	69.833333	0	0	0	419	0	0	0
Cstf2t	69.833333	131	0	0	0	288	0	0
Cpt1b	69.833333	143	0	0	123	153	0	0
Chkb	69.833333	143	0	0	123	153	0	0
Bloc1s6	69.833333	0	0	0	204	215	0	0
Acod1	69.833333	127	0	0	112	180	0	0
Vamp1	69.666667	103	0	0	185	130	0	0
Tarsl2	69.666667	0	0	0	418	0	0	0
Sec23b	69.666667	89	0	0	191	138	0	0
Mzt2	69.666667	0	0	0	344	74	0	0
Med16	69.666667	95	0	0	173	150	0	0
Dapp1	69.666667	0	0	0	418	0	0	0
Ankar	69.666667	257	0	0	161	0	0	0
Skil	69.500000	176	0	0	241	0	0	0
Mettl3	69.500000	0	0	0	259	158	0	0
Taf5	69.333333	137	0	0	279	0	0	0
Slirp	69.333333	0	0	0	314	102	0	0
Riok1	69.333333	115	0	0	146	155	0	0
Nrp	69.333333	0	0	0	314	102	0	0
Dgkz	69.333333	0	0	0	352	64	0	0
Cage1	69.333333	115	0	0	146	155	0	0
Alkbh1	69.333333	0	0	0	314	102	0	0
Actr3	69.333333	102	0	0	195	119	0	0
Rpp30	69.166667	0	0	0	257	158	0	0
Polr3b	69.166667	0	0	0	225	190	0	0
Nfia	69.166667	0	0	0	415	0	0	0
Atg7	69.166667	80	0	0	199	136	0	0
Ttc4	69.000000	0	0	0	166	248	0	0
Snw1	69.000000	0	0	0	245	169	0	0
Ppp4r3b	69.000000	0	0	0	302	112	0	0
Polr3e	69.000000	0	0	0	237	177	0	0
Cd200r3	69.000000	0	0	0	414	0	0	0
Ccdc28b	69.000000	131	0	0	204	79	0	0
Atp6v0a1	69.000000	87	0	0	246	81	0	0
Anp32e	69.000000	0	0	0	414	0	0	0
Psmc3ip	68.833333	89	0	0	193	131	0	0
Poll	68.833333	0	0	0	313	100	0	0
Ms4a2	68.833333	0	0	0	413	0	0	0
Med17	68.833333	0	0	0	280	133	0	0
Gm10130	68.833333	0	0	0	413	0	0	0
Dpcd	68.833333	0	0	0	313	100	0	0
Ccdc124	68.833333	0	0	0	137	276	0	0
Artn	68.833333	0	103	99	211	0	0	0
Wfdc3	68.666667	0	0	0	217	195	0	0
Rogdi	68.666667	161	185	66	0	0	0	0
Rbm8a	68.666667	0	0	0	115	297	0	0
Ppia	68.666667	190	0	0	0	222	0	0
Gamt	68.666667	0	0	0	412	0	0	0
Fis1	68.666667	0	0	0	412	0	0	0
Dnttip1	68.666667	0	0	0	217	195	0	0
Dazap1	68.666667	0	0	0	412	0	0	0
Psmf1	68.500000	0	0	0	197	214	0	0
Fem1a	68.500000	0	0	0	178	233	0	0
Dguok	68.500000	75	0	0	123	213	0	0
Acp2	68.500000	0	0	0	206	205	0	0
Cdan1	68.333333	141	0	0	269	0	0	0
Znrd2	68.166667	0	0	0	188	221	0	0
Tra2b	68.166667	134	0	0	156	119	0	0
Tbx21	68.166667	0	0	0	0	0	409	0
Haus6	68.166667	0	0	0	191	218	0	0
H2aw	68.166667	113	0	0	296	0	0	0
Fam89b	68.166667	0	0	0	188	221	0	0
Ccdc107	68.166667	0	0	0	258	151	0	0
Btg3	68.166667	0	0	0	409	0	0	0
Ankrd39	68.166667	0	0	0	194	215	0	0
Rag2	68.000000	0	0	0	274	134	0	0
Nudt19	68.000000	0	0	0	408	0	0	0
Magohb	68.000000	0	0	0	190	218	0	0
Lrig2	68.000000	270	0	0	0	138	0	0
Iftap	68.000000	0	0	0	274	134	0	0
Eif4ebp1	68.000000	139	0	0	269	0	0	0
Arhgdib	68.000000	0	0	0	408	0	0	0
Ybey	67.833333	0	0	0	186	221	0	0
Shcbp1	67.833333	0	0	0	193	214	0	0
Pemt	67.833333	0	0	0	168	239	0	0
Mcm3ap	67.833333	0	0	0	186	221	0	0
Gp1ba	67.833333	0	0	0	407	0	0	0
Anapc5	67.833333	84	0	0	168	155	0	0
