Target_genes	Clock|Average	SRX1098141|Beta-TC-6	SRX7525068|Gastrocnemius_muscle	SRX7525069|Gastrocnemius_muscle	DRX011942|Liver	DRX011943|Liver	DRX011944|Liver	DRX011945|Liver	DRX011946|Liver	DRX011947|Liver	DRX011948|Liver	DRX011949|Liver	DRX011950|Liver	DRX011951|Liver	DRX011952|Liver	DRX011953|Liver	DRX011954|Liver	DRX011955|Liver	DRX011956|Liver	DRX011957|Liver	DRX011958|Liver	DRX011959|Liver	DRX011960|Liver	DRX011961|Liver	SRX131982|Liver	SRX285121|Liver	SRX285122|Liver	SRX285123|Liver	SRX285124|Liver	SRX285125|Liver	SRX285126|Liver	SRX285127|Liver	SRX285128|Liver	SRX285129|Liver	SRX285130|Liver	SRX285131|Liver	SRX285132|Liver	SRX414999|Liver	SRX415000|Liver	SRX4416878|Liver	SRX4416879|Liver	SRX4416880|Liver	SRX4416881|Liver	SRX4416892|Liver	SRX4416894|Liver	SRX4416896|Liver	SRX4416898|Liver	SRX710452|Liver	SRX710446|NIH/3T3	SRX710447|NIH/3T3	SRX710448|NIH/3T3	SRX710449|NIH/3T3	SRX710450|NIH/3T3	SRX710451|NIH/3T3	STRING
Acmsd	65.849057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	521	441	194	129	303	127	207	343	0	0	0	0	0	0	0	0	0
Atoh8	65.792453	0	143	156	0	0	0	0	0	0	0	0	0	0	162	182	199	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	256	126	192	250	459	228	310	293	0	0	0	0	0	0	0	0	0
Hat1	65.754717	0	468	778	0	0	0	0	0	0	0	0	0	0	0	171	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	357	223	114	376	0	214	215	0	0	0	0	0	0	0	0	0
Snrpd3	65.698113	0	147	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761	648	365	271	259	380	0	267	222	0	0	0	0	0	0	0	0	0
E130309D02Rik	65.698113	0	285	0	0	0	0	0	0	0	0	0	0	0	102	0	156	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	202	379	217	247	262	425	510	136	0	0	0	0	0	0	0	0
Cand1	65.528302	0	625	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1448	443	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gde1	65.509434	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	996	386	497	293	195	360	121	212	180	0	0	0	0	0	0	0	0	0
Spata2l	65.471698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2194	1276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smdt1	65.471698	0	300	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1756	817	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
Pheta2	65.471698	0	300	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1756	817	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bp5	65.452830	0	383	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1139	776	0	0	0	176	0	163	183	0	0	0	0	0	0	0	0	0
Hadhb	65.452830	0	196	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hadha	65.452830	0	196	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hibadh	65.433962	0	231	332	0	0	0	0	0	0	0	0	0	0	0	138	111	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	267	210	214	158	257	0	261	279	0	0	0	0	0	0	0	0	0
Aebp2	65.433962	0	332	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	478	476	284	392	0	290	321	147	0	0	0	0	0	0	0	0
Mcmbp	65.415094	0	140	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2030	881	0	148	0	0	0	91	0	0	0	0	0	0	0	0	0	0
Nt5c3	65.396226	0	490	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	257	248	121	0	266	0	191	269	133	0	0	0	0	0	0	0	0
Cdc14b	65.396226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1897	693	102	0	105	224	0	285	160	0	0	0	0	0	0	0	0	0
A1cf	65.396226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	216	450	330	176	610	0	301	392	0	0	0	0	0	0	0	0	0
Nudt3	65.377358	0	414	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	216	261	250	190	313	151	219	378	172	0	0	0	0	0	0	0	0
Txnl4b	65.264151	0	502	639	0	0	0	0	0	0	0	0	0	0	114	0	0	0	211	0	0	0	98	91	0	0	0	0	0	0	0	0	0	0	0	0	0	464	256	230	113	0	287	0	179	275	0	0	0	0	0	0	0	0	0
Dhx38	65.264151	0	502	639	0	0	0	0	0	0	0	0	0	0	114	0	0	0	211	0	0	0	98	91	0	0	0	0	0	0	0	0	0	0	0	0	0	464	256	230	113	0	287	0	179	275	0	0	0	0	0	0	0	0	0
Hsd17b3	65.226415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	466	268	625	172	651	373	155	0	0	0	0	0	0	0	0
Hipk3	65.226415	0	308	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076	754	221	202	0	204	0	0	166	0	0	0	0	0	0	0	0	0
Shb	65.188679	0	246	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	605	233	429	208	76	312	106	271	418	162	0	0	0	0	0	0	0	0
Fbxo7	65.169811	0	364	458	0	0	0	0	0	0	0	0	0	0	0	106	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	364	207	150	92	299	108	194	123	0	0	0	0	0	0	0	0	0
Mfap3l	65.150943	0	231	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	367	241	280	440	177	247	309	236	0	0	0	0	0	0	0	0
Nfkbid	65.056604	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1278	977	0	337	128	196	264	0	0	0	0	0	0	0	0	0
Hcst	65.056604	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1278	977	0	337	128	196	264	0	0	0	0	0	0	0	0	0
Prss22	65.018868	0	0	0	0	0	0	0	0	0	0	0	0	0	399	393	524	156	133	0	0	130	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	0	175	0	0	292	0	186	0	0	0	0	0	0	0	0	0	0
Tmed1	65.000000	0	233	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2206	476	125	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0
Poglut3	65.000000	0	199	166	0	0	0	0	0	0	0	0	0	0	0	0	72	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	634	201	230	99	319	0	185	247	0	0	0	0	0	0	0	0	0
Dap	64.981132	0	114	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1396	954	0	0	141	209	0	122	125	0	0	0	0	0	0	0	0	0
Slc22a1	64.962264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1620	876	109	114	0	183	133	142	182	84	0	0	0	0	0	0	0	0
Nupl1	64.905660	0	316	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1152	440	117	159	131	192	0	138	184	0	0	0	0	0	0	0	0	0
Igsf23	64.905660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	469	324	321	537	463	338	320	211	0	0	0	0	0	0	0	0
Mpp6	64.886792	0	175	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	170	416	299	185	508	112	281	498	0	0	0	0	0	0	0	0	0
Cdc42bpb	64.867925	0	309	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1384	689	0	0	0	149	0	159	213	0	0	0	0	0	0	0	0	0
Sorbs2	64.849057	0	150	106	0	0	0	0	0	0	0	0	0	0	111	96	78	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	173	389	274	262	378	128	293	371	90	0	0	0	0	0	0	0	0
Snx14	64.849057	0	314	456	0	0	0	0	0	0	0	0	0	0	129	85	101	0	211	0	0	125	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	205	217	207	124	232	0	193	335	0	0	0	0	0	0	0	0	0
Rdh14	64.830189	0	127	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	630	331	189	0	158	0	147	295	0	0	0	0	0	0	0	0	0
Tmem41a	64.811321	0	221	417	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	282	281	184	352	176	180	286	0	0	0	273	0	273	0	0	0
Dap3	64.773585	0	395	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332	479	127	0	68	305	0	170	208	0	0	0	0	0	0	0	0	0
Rnf213	64.716981	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	892	515	372	301	141	239	154	78	274	0	0	0	0	0	0	0	0	0
Arl6ip1	64.716981	0	200	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2224	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Naa50	64.698113	0	343	520	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	126	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	243	314	256	155	303	0	151	150	0	0	0	0	0	0	0	0	0
Atp6v1a	64.698113	0	343	520	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	126	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	243	314	256	155	303	0	151	150	0	0	0	0	0	0	0	0	0
Taok3	64.660377	0	222	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1712	1092	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0
Slc47a1	64.660377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	105	0	0	123	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	590	225	153	214	435	166	287	249	0	0	0	0	0	0	0	0	0
Ubb	64.641509	0	276	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653	832	0	0	0	153	0	130	0	0	0	0	0	0	0	0	0	0
Tmppe	64.622642	0	280	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	637	188	138	0	211	73	162	92	0	0	0	0	0	0	0	0	0
Galnt7	64.603774	0	211	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	585	349	372	499	160	383	254	86	0	0	0	0	0	0	0	0
Vgf	64.566038	0	175	240	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	504	331	168	500	243	206	341	0	0	0	0	0	0	0	0	0
Angel1	64.547170	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2261	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem107	64.509434	0	390	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	330	204	187	0	149	0	196	313	0	0	0	0	0	0	0	0	0
Samd4	64.471698	0	489	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	310	210	0	0	302	0	128	257	0	0	0	0	0	0	0	0	0
Acadm	64.452830	0	290	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	235	280	167	154	459	127	313	311	0	0	0	0	0	0	0	0	0
Pus7l	64.415094	0	275	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	470	336	135	363	126	311	186	0	0	0	0	0	0	0	0	0
Irak4	64.415094	0	275	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	0	470	336	135	363	126	311	186	0	0	0	0	0	0	0	0	0
Itih1	64.377358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	636	502	314	198	274	408	159	239	518	164	0	0	0	0	0	0	0	0
Rps12	64.358491	0	276	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1425	480	0	0	0	153	0	309	216	0	0	0	0	0	0	0	0	0
Mical2	64.358491	0	971	1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	100	176	0	120	252	0	230	131	0	0	0	0	0	0	0	0	0
Trak1	64.339623	0	257	445	0	0	0	0	0	0	0	0	0	0	0	0	212	0	132	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	308	231	251	124	357	0	197	197	0	0	0	0	0	0	0	0	0
Fam117b	64.339623	0	981	1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	249	266	0	301	0	103	0	0	0	0	0	0	0	0	0	0
Spc24	64.301887	0	346	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	205	348	193	160	398	195	367	345	117	0	0	0	0	0	0	0	0
Pex10	64.301887	0	238	347	0	0	0	0	0	0	0	0	0	0	0	166	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	105	372	269	0	371	137	362	272	97	0	0	0	0	0	0	0	0
Pclaf	64.264151	0	336	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	344	164	233	511	162	441	0	0	0	0	0	0	0	0	0	0
Hyou1	64.264151	0	155	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	827	223	215	197	350	183	181	169	0	0	0	0	0	0	0	0	0
Trp53bp2	64.226415	0	134	217	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	197	248	207	186	523	181	262	359	157	0	0	0	0	0	0	0	0
Kank2	64.226415	0	357	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1377	622	106	0	97	135	0	159	160	89	0	0	0	0	0	0	0	0
Morf4l2	64.188679	0	348	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	287	272	147	0	325	0	290	264	172	0	0	0	0	0	0	0	0
Nr6a1	64.150943	0	843	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	132	230	138	0	215	0	113	157	0	0	0	0	0	0	0	0	0
Bcar3	64.056604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	463	334	200	166	450	0	338	413	0	0	0	0	0	0	0	0	0
Id3	63.962264	0	181	335	0	0	0	0	0	0	0	0	0	0	201	141	183	0	135	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	221	0	161	173	262	0	226	325	0	0	0	0	0	0	0	0	0
Abhd18	63.962264	0	343	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380	555	130	129	0	116	0	143	104	0	0	0	0	0	0	0	0	0
Ubap2l	63.905660	0	689	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	71	313	258	164	348	103	103	88	0	0	0	0	0	0	0	0	0
Phykpl	63.905660	0	345	392	0	0	0	0	0	0	0	0	0	0	0	0	166	0	116	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	223	252	275	156	311	0	248	234	0	0	0	0	0	0	0	0	0
Hgfac	63.905660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	899	187	262	194	254	0	177	210	0	0	0	0	0	0	0	0	0
4933434E20Rik	63.905660	0	689	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	71	313	258	164	348	103	103	88	0	0	0	0	0	0	0	0	0
Ssbp1	63.886792	0	229	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1746	677	137	0	0	193	0	170	0	0	0	0	0	0	0	0	0	0
Deaf1	63.867925	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	409	284	304	562	208	437	274	149	0	0	0	0	0	0	0	0
Syne3	63.811321	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	203	88	171	211	741	372	334	159	0	0	0	0	0	0	0	0	0
Usp6nl	63.792453	0	356	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1259	405	219	138	0	191	0	215	197	0	0	0	0	0	0	0	0	0
Ntn3	63.792453	0	310	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	379	838	625	0	200	0	148	149	0	0	0	0	0	0	0	0	0
Ttc36	63.773585	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	261	231	236	202	581	259	458	337	126	0	0	0	0	0	0	0	0
Tmem25	63.773585	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	261	231	236	202	581	259	458	337	126	0	0	0	0	0	0	0	0
Klf7	63.754717	0	284	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1586	1051	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0
Angptl8	63.754717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	658	362	366	269	279	385	109	300	460	0	0	0	0	0	0	0	0	0
Tpd52l2	63.716981	0	362	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	334	135	119	0	218	131	216	215	126	0	0	0	0	0	0	0	0
Abhd16b	63.716981	0	362	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911	334	135	119	0	218	131	216	215	126	0	0	0	0	0	0	0	0
Wdr81	63.698113	0	376	481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	376	237	309	120	363	0	224	201	0	0	0	0	0	0	0	0	0
Rara	63.679245	0	487	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	538	305	208	202	172	278	0	225	343	0	0	0	0	0	0	0	0	0
Sppl2b	63.641509	0	392	515	0	0	0	0	0	0	0	0	0	0	251	288	281	0	295	0	0	216	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	129	0	137	0	145	0	0	152	0	0	0	0	0	0	0	0	0
Lsm7	63.641509	0	392	515	0	0	0	0	0	0	0	0	0	0	251	288	281	0	295	0	0	216	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	129	0	137	0	145	0	0	152	0	0	0	0	0	0	0	0	0
Igfals	63.641509	0	163	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	606	342	188	160	186	0	178	145	0	0	0	0	0	0	0	0	0
Serpina1e	63.622642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	207	591	438	192	446	0	357	393	0	0	0	0	0	0	0	0	0
C2	63.603774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	316	250	283	196	372	224	315	314	0	0	0	0	0	0	0	0	0
Rita1	63.566038	0	408	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1731	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx54	63.566038	0	408	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1731	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp933	63.547170	0	491	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	454	317	207	434	0	208	212	0	0	0	0	0	0	0	0	0
Cdc25a	63.490566	0	342	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	411	239	149	299	197	379	346	103	0	0	0	0	0	0	0	0
Ccni	63.490566	0	530	816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	270	155	0	92	140	0	183	128	0	0	0	0	0	0	0	0	0
2010109A12Rik	63.490566	0	530	816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	270	155	0	92	140	0	183	128	0	0	0	0	0	0	0	0	0
Tsc22d2	63.471698	0	659	937	0	0	0	0	0	0	0	0	0	0	0	105	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	148	228	235	0	230	0	177	192	0	0	0	0	0	0	0	0	0
Mrpl11	63.471698	0	310	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csnk2a1	63.471698	0	483	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1651	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thop1	63.452830	0	406	515	0	0	0	0	0	0	0	0	0	0	0	0	106	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	138	266	106	123	368	226	257	182	0	0	0	0	0	0	0	0	0
Gfra1	63.452830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1273	889	362	214	163	343	0	119	0	0	0	0	0	0	0	0	0	0
Rnase10	63.433962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	0	227	80	227	464	408	435	581	266	0	0	0	0	0	0	0	0
Fitm2	63.433962	0	296	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1385	562	134	192	0	149	0	0	222	0	0	0	0	0	0	0	0	0
Ptms	63.415094	0	146	193	0	0	0	0	0	0	0	0	0	0	0	160	154	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865	501	214	213	185	295	0	191	139	0	0	0	0	0	0	0	0	0
Aqp4	63.358491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	553	328	294	471	225	398	569	0	0	0	0	0	0	0	0	0
