Target_genes	Nfix|Average	SRX7895562|Cerebellum_neural_progenitors	SRX7895563|Cerebellum_neural_progenitors	SRX10118211|HPC5	SRX10118213|HPC5	SRX10118215|HPC5	SRX10118216|HPC5	STRING
Dtd1	64.000000	0	112	72	0	200	0	0
Clns1a	64.000000	0	0	243	0	141	0	0
1700042G07Rik	64.000000	95	289	0	0	0	0	0
Lingo1	63.833333	151	232	0	0	0	0	0
Hps5	63.833333	216	0	167	0	0	0	0
Gtf2h1	63.833333	216	0	167	0	0	0	0
Ddx60	63.833333	0	0	231	152	0	0	0
Zcwpw2	63.666667	0	192	190	0	0	0	0
Riox1	63.666667	0	0	168	100	114	0	0
Osgin2	63.666667	0	382	0	0	0	0	0
Msln	63.666667	202	180	0	0	0	0	0
Mpzl1	63.666667	117	180	85	0	0	0	0
Fem1c	63.666667	0	206	76	0	100	0	0
Azi2	63.666667	0	192	190	0	0	0	0
Accs	63.666667	0	155	227	0	0	0	0
Tmem240	63.500000	0	171	89	0	121	0	0
Ncor2	63.333333	0	0	225	155	0	0	0
Tcam1	63.166667	0	0	233	0	146	0	0
Smarcd2	63.166667	0	0	233	0	146	0	0
Gpam	63.166667	0	192	124	0	63	0	0
Eci1	63.166667	0	121	136	0	122	0	0
Dner	63.166667	161	218	0	0	0	0	0
Ddx39b	63.166667	0	123	137	0	119	0	0
Sun2	63.000000	0	0	231	0	147	0	0
Osm	63.000000	0	0	184	194	0	0	0
Vpreb1	62.833333	0	112	149	116	0	0	0
Tarbp2	62.833333	0	0	257	0	120	0	0
Map3k12	62.833333	0	0	257	0	120	0	0
Ltbp4	62.833333	0	0	254	123	0	0	0
Bcl7a	62.833333	173	204	0	0	0	0	0
B4galt1	62.833333	0	0	202	175	0	0	0
Wdr27	62.666667	0	146	109	0	121	0	0
Rps6ka5	62.666667	0	119	121	0	136	0	0
Rnf115	62.666667	0	194	88	0	94	0	0
Polr3c	62.666667	0	194	88	0	94	0	0
Lemd2	62.666667	0	155	112	0	109	0	0
Hint1	62.666667	0	130	117	0	129	0	0
1600012H06Rik	62.666667	0	146	109	0	121	0	0
Trim28	62.500000	0	181	105	0	89	0	0
Mat2a	62.500000	0	224	151	0	0	0	0
Kpnb1	62.500000	0	150	106	0	119	0	0
Cdc42ep2	62.500000	0	111	157	107	0	0	0
Atp2b3	62.500000	140	235	0	0	0	0	0
Actl10	62.500000	144	231	0	0	0	0	0
Nubp1	62.333333	0	102	151	0	121	0	0
Mmp1b	62.333333	0	0	174	200	0	0	0
Maco1	62.333333	0	140	89	0	145	0	0
Usp16	62.166667	0	0	161	0	212	0	0
Tssk1	62.166667	0	259	114	0	0	0	0
Slirp	62.166667	0	249	124	0	0	0	0
Nrp	62.166667	0	249	124	0	0	0	0
Kcnk3	62.166667	120	253	0	0	0	0	0
Dgcr2	62.166667	0	259	114	0	0	0	0
Chn1	62.166667	134	239	0	0	0	0	0
Cdh17	62.166667	209	164	0	0	0	0	0
Alkbh1	62.166667	0	249	124	0	0	0	0
Ubac1	62.000000	0	149	113	0	110	0	0
Tmem205	62.000000	0	0	251	121	0	0	0
Psmg2	62.000000	0	86	120	0	166	0	0
Pacs1	62.000000	0	0	151	0	221	0	0
Haus5	62.000000	0	206	166	0	0	0	0
Cep76	62.000000	0	86	120	0	166	0	0
Ccdc159	62.000000	0	0	251	121	0	0	0
Adarb2	62.000000	133	239	0	0	0	0	0
Ndufb3	61.833333	129	242	0	0	0	0	0
Fam126b	61.833333	129	242	0	0	0	0	0
4930503B20Rik	61.833333	0	108	263	0	0	0	0
Tmco4	61.666667	0	0	157	0	213	0	0
Tmc8	61.666667	0	0	239	131	0	0	0
Tmc6	61.666667	0	0	239	131	0	0	0
Synrg	61.666667	94	276	0	0	0	0	0
Slc39a13	61.666667	0	0	243	0	127	0	0
Sil1	61.666667	0	133	133	0	104	0	0
Rgl2	61.666667	0	0	233	0	137	0	0
Prdm15	61.666667	0	139	156	0	75	0	0
Stk35	61.500000	0	0	145	0	224	0	0
Calm1	61.333333	0	275	93	0	0	0	0
Cacnb2	61.333333	0	0	221	0	147	0	0
Tmem181a	61.166667	0	0	169	0	198	0	0
Srcap	61.166667	0	0	128	93	146	0	0
Rapgef1	61.166667	0	195	0	0	172	0	0
Cluap1	61.000000	0	96	152	0	118	0	0
1700037C18Rik	61.000000	0	96	152	0	118	0	0
Tmem229a	60.833333	84	281	0	0	0	0	0
Lipg	60.833333	68	297	0	0	0	0	0
Dnaaf2	60.833333	0	0	137	129	99	0	0
Slc29a1	60.666667	0	132	116	0	116	0	0
Pigz	60.666667	0	364	0	0	0	0	0
Mycbp2	60.666667	0	272	92	0	0	0	0
Fam193a	60.666667	0	131	113	0	120	0	0
Erlin1	60.666667	0	96	137	0	131	0	0
Zswim6	60.500000	0	0	240	123	0	0	0
Vamp4	60.500000	0	295	68	0	0	0	0
Hnrnph1	60.500000	0	141	136	0	86	0	0
Ddx50	60.500000	0	135	110	0	118	0	0
Zfp41	60.333333	0	165	110	0	87	0	0
Cdc14a	60.333333	0	0	221	141	0	0	0
Vstm2l	60.166667	0	0	265	0	96	0	0
Ubqln4	60.166667	0	140	98	0	123	0	0
Rab25	60.166667	0	140	98	0	123	0	0
Lamtor2	60.166667	0	140	98	0	123	0	0
Mcf2l	60.000000	135	225	0	0	0	0	0
Coro2a	60.000000	0	248	112	0	0	0	0
St6galnac4	59.833333	142	217	0	0	0	0	0
Phf7	59.833333	0	167	192	0	0	0	0
Bap1	59.833333	0	167	192	0	0	0	0
Steap3	59.666667	0	0	160	90	108	0	0
Sgo1	59.666667	0	117	111	0	130	0	0
Samsn1	59.666667	0	0	225	0	133	0	0
Kansl2	59.666667	0	208	150	0	0	0	0
Gpx1	59.666667	0	0	181	0	177	0	0
Dennd11	59.666667	0	358	0	0	0	0	0
Aldoc	59.666667	0	195	163	0	0	0	0
Ttc25	59.500000	0	92	114	0	151	0	0
Cmya5	59.500000	134	223	0	0	0	0	0
Abhd2	59.500000	0	0	233	0	124	0	0
Ttc7	59.333333	0	0	170	186	0	0	0
Echdc1	59.333333	0	193	163	0	0	0	0
Olfr433	59.166667	0	0	230	125	0	0	0
Kremen1	59.166667	0	0	161	0	194	0	0
Slc45a4	59.000000	0	0	192	162	0	0	0
Sirt5	59.000000	0	0	113	0	241	0	0
Eif5a2	59.000000	0	0	228	0	126	0	0
Cbx4	59.000000	0	0	101	87	166	0	0
Cad	59.000000	236	0	0	0	118	0	0
Zfp292	58.833333	0	157	0	0	196	0	0
Sema3f	58.833333	163	190	0	0	0	0	0
Noc4l	58.833333	0	123	115	0	115	0	0
Marco	58.833333	115	238	0	0	0	0	0
Lrrc51	58.833333	0	353	0	0	0	0	0
Gtf3c2	58.833333	0	128	225	0	0	0	0
Ddx51	58.833333	0	123	115	0	115	0	0
Znrd1as	58.666667	103	249	0	0	0	0	0
Znrd1	58.666667	103	249	0	0	0	0	0
Zfp51	58.666667	0	163	189	0	0	0	0
Rxylt1	58.666667	0	0	219	0	133	0	0
Nfyb	58.666667	0	136	137	0	79	0	0
Kif1b	58.666667	0	352	0	0	0	0	0
H2aj	58.666667	0	0	207	0	145	0	0
Ggnbp1	58.666667	0	218	134	0	0	0	0
Galk1	58.666667	103	249	0	0	0	0	0
Atp23	58.666667	0	0	143	0	209	0	0
Arid1a	58.666667	0	183	88	0	81	0	0
Zfp398	58.500000	0	169	76	0	106	0	0
Xpnpep1	58.500000	0	160	108	0	83	0	0
Spred1	58.500000	0	213	138	0	0	0	0
Pcbp2	58.500000	0	253	98	0	0	0	0
Ift57	58.500000	0	222	129	0	0	0	0
Hspe1	58.500000	0	0	235	0	116	0	0
Hspd1	58.500000	0	0	235	0	116	0	0
Gtf2h3	58.500000	0	0	190	161	0	0	0
Gpr84	58.500000	0	156	195	0	0	0	0
Eif2b1	58.500000	0	0	190	161	0	0	0
Atg9b	58.500000	0	0	209	142	0	0	0
Ulk2	58.333333	100	115	135	0	0	0	0
Kansl3	58.333333	0	209	141	0	0	0	0
Fer1l5	58.333333	0	209	141	0	0	0	0
Spa17	58.166667	0	147	87	0	115	0	0
Sp1	58.166667	0	132	81	0	136	0	0
Siae	58.166667	0	147	87	0	115	0	0
Rdh14	58.166667	0	126	88	0	135	0	0
Phf23	58.166667	0	83	140	0	126	0	0
Med7	58.166667	0	0	237	0	112	0	0
Gadd45g	58.166667	133	216	0	0	0	0	0
Eif1	58.166667	0	133	116	0	100	0	0
Cog7	58.166667	0	182	167	0	0	0	0
Cmss1	58.166667	0	121	121	0	107	0	0
Adgre5	58.166667	0	0	349	0	0	0	0
Tmem223	58.000000	0	0	173	0	175	0	0
Tmem179b	58.000000	0	0	173	0	175	0	0
Ppp4r3a	58.000000	0	0	155	0	193	0	0
Jrk	58.000000	0	141	99	0	108	0	0
Atp13a2	58.000000	0	0	242	106	0	0	0
Setd1b	57.833333	0	0	99	0	248	0	0
Man2b2	57.833333	0	168	179	0	0	0	0
Kcnj11	57.833333	106	241	0	0	0	0	0
Fbxo7	57.833333	0	246	101	0	0	0	0
Dock1	57.833333	0	347	0	0	0	0	0
Bckdhb	57.833333	0	139	208	0	0	0	0
Zfp771	57.666667	0	0	173	0	173	0	0
Zfp712	57.666667	0	275	71	0	0	0	0
Slc5a6	57.666667	236	0	110	0	0	0	0
Prep	57.666667	0	98	248	0	0	0	0
P2ry2	57.666667	0	0	88	0	258	0	0
Atraid	57.666667	236	0	110	0	0	0	0
Zmiz1	57.500000	0	251	94	0	0	0	0
Wdr41	57.500000	0	139	112	0	94	0	0
Sh3rf3	57.500000	157	188	0	0	0	0	0
Polg2	57.500000	0	0	142	0	203	0	0
Phf20l1	57.500000	0	211	134	0	0	0	0
Ifitm10	57.500000	0	345	0	0	0	0	0
Bpifa1	57.500000	177	168	0	0	0	0	0
Tlr12	57.333333	0	0	145	199	0	0	0
Psd4	57.333333	0	0	344	0	0	0	0
Ina	57.333333	0	211	133	0	0	0	0
Taco1	57.166667	0	233	110	0	0	0	0
Spry1	57.166667	0	0	97	0	246	0	0
Sec24c	57.166667	0	0	64	0	279	0	0
Rbpj	57.166667	0	0	193	150	0	0	0
Ppil1	57.166667	0	144	199	0	0	0	0
BC004004	57.166667	0	144	199	0	0	0	0
Zdhhc21	57.000000	0	115	134	0	93	0	0
Celsr2	57.000000	0	241	101	0	0	0	0
Agpat5	57.000000	0	154	115	0	73	0	0
Zmynd12	56.833333	0	81	138	0	122	0	0
Zfp513	56.833333	0	0	181	0	160	0	0
Stk38l	56.833333	0	146	91	0	104	0	0
Sertad2	56.833333	0	0	165	0	176	0	0
Ppcs	56.833333	0	81	138	0	122	0	0
Lrrn3	56.666667	126	214	0	0	0	0	0
Cdkl2	56.666667	0	106	134	0	100	0	0
Usp37	56.500000	0	0	206	0	133	0	0
Rdm1	56.500000	0	0	339	0	0	0	0
Otoa	56.500000	135	204	0	0	0	0	0
Esr1	56.500000	171	168	0	0	0	0	0
Cnot9	56.500000	0	0	206	0	133	0	0
Clip2	56.500000	0	175	164	0	0	0	0
Rabgef1	56.333333	0	168	170	0	0	0	0
Nedd4l	56.333333	104	234	0	0	0	0	0
Napepld	56.333333	0	98	143	0	97	0	0
Fbxo33	56.333333	0	134	124	0	80	0	0
Fbxl22	56.333333	126	212	0	0	0	0	0
Coro2b	56.333333	122	216	0	0	0	0	0
Usp40	56.166667	0	112	141	0	84	0	0
Rpl23	56.166667	0	131	98	0	108	0	0
Map3k5	56.166667	0	0	203	0	134	0	0
Hps6	56.166667	0	144	106	0	87	0	0
Gpr146	56.166667	0	0	250	87	0	0	0
Rpsa	56.000000	0	0	226	0	110	0	0
Esco1	56.000000	0	125	117	0	94	0	0
Arl11	56.000000	0	0	122	106	108	0	0
Actr3	56.000000	160	100	76	0	0	0	0
Niban3	55.833333	0	239	96	0	0	0	0
Gorasp2	55.833333	0	95	118	0	122	0	0
Cops8	55.833333	0	140	104	0	91	0	0
Chd2	55.833333	0	235	100	0	0	0	0
U2surp	55.666667	0	232	102	0	0	0	0
P2rx4	55.666667	0	0	201	0	133	0	0
Trim27	55.500000	0	97	62	0	174	0	0
Npm2	55.500000	165	168	0	0	0	0	0
Nae1	55.500000	0	333	0	0	0	0	0
Ggct	55.500000	0	122	106	0	105	0	0
Car7	55.500000	0	333	0	0	0	0	0
Smarce1	55.333333	0	185	147	0	0	0	0
Rfc4	55.333333	0	168	164	0	0	0	0
Prdm10	55.333333	0	91	141	0	100	0	0
Emp1	55.333333	137	195	0	0	0	0	0
Aspscr1	55.333333	0	157	0	0	175	0	0
Ssbp3	55.166667	0	331	0	0	0	0	0
Spag8	55.166667	0	70	136	0	125	0	0
Smim12	55.166667	0	331	0	0	0	0	0
Sfxn3	55.166667	0	141	190	0	0	0	0
Pdzd7	55.166667	0	141	190	0	0	0	0
Pcdhgc3	55.166667	105	226	0	0	0	0	0
Hint2	55.166667	0	70	136	0	125	0	0
Cdyl	55.166667	0	0	110	0	221	0	0
Apobec3	55.166667	0	0	331	0	0	0	0
Ahnak	55.166667	0	0	142	189	0	0	0
Spata3	55.000000	100	230	0	0	0	0	0
Ptx4	55.000000	0	0	155	0	175	0	0
Lars	55.000000	0	133	197	0	0	0	0
Bbs2	55.000000	0	135	195	0	0	0	0
Vasn	54.833333	120	209	0	0	0	0	0
Tsku	54.833333	0	172	157	0	0	0	0
Phyhd1	54.833333	149	180	0	0	0	0	0
Bmp2	54.833333	0	329	0	0	0	0	0
Tmem107	54.666667	0	158	170	0	0	0	0
Rev3l	54.666667	0	224	104	0	0	0	0
Rab32	54.666667	0	141	187	0	0	0	0
Pms1	54.666667	0	164	164	0	0	0	0
Otud7b	54.666667	0	130	106	0	92	0	0
Ormdl1	54.666667	0	164	164	0	0	0	0
Larp1	54.666667	0	100	100	0	128	0	0
Kmt5c	54.666667	0	87	241	0	0	0	0
Fam234a	54.666667	0	0	144	0	184	0	0
Cobl	54.666667	0	328	0	0	0	0	0
Chrac1	54.666667	0	123	115	0	90	0	0
Chmp6	54.666667	0	0	174	154	0	0	0
Rps4x	54.500000	0	0	205	122	0	0	0
Qdpr	54.500000	0	0	93	0	234	0	0
Mgat4b	54.500000	0	327	0	0	0	0	0
Dusp2	54.500000	0	0	177	0	150	0	0
Ctf1	54.500000	0	104	223	0	0	0	0
Clrn2	54.500000	0	0	93	0	234	0	0
Bcl7c	54.500000	0	104	223	0	0	0	0
Astl	54.500000	0	0	177	0	150	0	0
Sys1	54.333333	0	119	125	0	82	0	0
Ptprg	54.333333	114	212	0	0	0	0	0
Mthfd2l	54.333333	0	160	166	0	0	0	0
Cavin2	54.333333	125	201	0	0	0	0	0
Rsad1	54.166667	0	204	0	0	121	0	0
Prelid3b	54.166667	0	112	114	0	99	0	0
Arhgef1	54.166667	0	227	98	0	0	0	0
Gipc1	54.000000	86	163	75	0	0	0	0
Faf1	54.000000	0	221	0	0	103	0	0
Eln	54.000000	147	177	0	0	0	0	0
Dlx4	54.000000	0	0	169	0	155	0	0
Yipf4	53.833333	0	189	134	0	0	0	0
Tagap	53.833333	0	0	230	93	0	0	0
Slc50a1	53.833333	0	160	163	0	0	0	0
Pxk	53.833333	0	169	154	0	0	0	0
Dpm3	53.833333	0	160	163	0	0	0	0
Dnajc11	53.833333	0	137	120	0	66	0	0
Ccnd1	53.833333	0	0	138	0	185	0	0
Wwp1	53.666667	0	188	134	0	0	0	0
Smim19	53.666667	0	90	110	0	122	0	0
Slc20a2	53.666667	0	90	110	0	122	0	0
Sh3gl1	53.666667	0	208	114	0	0	0	0
Pde3a	53.666667	132	190	0	0	0	0	0
Mrpl55	53.666667	0	114	208	0	0	0	0
Efcab2	53.666667	0	133	100	0	89	0	0
Chaf1a	53.666667	0	208	114	0	0	0	0
Plin3	53.500000	0	150	171	0	0	0	0
Mvb12b	53.500000	0	128	101	0	92	0	0
Dcaf12	53.500000	97	119	105	0	0	0	0
Tti1	53.333333	0	0	197	0	123	0	0
Rprd1b	53.333333	0	0	197	0	123	0	0
Rpl5	53.333333	0	95	132	0	93	0	0
Mtmr4	53.333333	0	156	0	0	164	0	0
Kdm4a	53.333333	0	191	129	0	0	0	0
Ints4	53.333333	0	320	0	0	0	0	0
Fam136a	53.333333	0	187	133	0	0	0	0
Diaph3	53.333333	0	102	104	0	114	0	0
Ttc39a	53.166667	0	0	95	0	224	0	0
Tns3	53.166667	0	87	0	0	232	0	0
Smarcd3	53.166667	130	189	0	0	0	0	0
Drg2	53.166667	0	123	0	0	196	0	0
Dnajc1	53.166667	0	116	119	0	84	0	0
Cetn3	53.166667	0	0	231	0	88	0	0
Arl6ip1	53.166667	0	0	139	77	103	0	0
Rpl7a	53.000000	0	0	140	0	178	0	0
Rassf6	53.000000	0	134	184	0	0	0	0
Pcgf5	53.000000	0	119	121	0	78	0	0
Notch2	53.000000	0	101	105	0	112	0	0
Med22	53.000000	0	0	140	0	178	0	0
Gnas	53.000000	0	0	124	0	194	0	0
Fmnl3	53.000000	0	0	190	0	128	0	0
Eif5a	53.000000	0	0	141	0	177	0	0
Ccdc88a	53.000000	0	167	151	0	0	0	0
Car3	53.000000	0	318	0	0	0	0	0
Trim46	52.833333	0	151	166	0	0	0	0
Noct	52.833333	88	229	0	0	0	0	0
Nfe2	52.833333	0	0	317	0	0	0	0
Lefty2	52.833333	0	0	229	88	0	0	0
Krtcap2	52.833333	0	151	166	0	0	0	0
Kdm3a	52.833333	0	142	175	0	0	0	0
H2-Q8	52.833333	0	0	203	0	114	0	0
H2-Q6	52.833333	0	0	203	0	114	0	0
Atf7	52.833333	0	169	148	0	0	0	0
Taar4	52.666667	148	168	0	0	0	0	0
Sting1	52.666667	0	316	0	0	0	0	0
Rad50	52.666667	0	0	143	0	173	0	0
Mrs2	52.666667	0	0	132	0	184	0	0
Lrtm2	52.666667	123	193	0	0	0	0	0
Gm38396	52.666667	0	0	153	0	163	0	0
Copg2	52.666667	0	0	204	112	0	0	0
Zfp687	52.500000	0	219	0	0	96	0	0
Spdye4b	52.500000	0	0	131	0	184	0	0
Rbak	52.500000	0	0	131	0	184	0	0
Tatdn3	52.333333	0	192	122	0	0	0	0
Serinc2	52.333333	0	314	0	0	0	0	0
Rbm15	52.333333	0	0	85	86	143	0	0
Nsl1	52.333333	0	192	122	0	0	0	0
Irs2	52.333333	142	172	0	0	0	0	0
Gfap	52.333333	142	172	0	0	0	0	0
Foxn2	52.333333	0	0	145	0	169	0	0
Dstn	52.333333	0	229	0	0	85	0	0
Zfp775	52.166667	0	0	0	0	313	0	0
Tmem147	52.166667	0	170	143	0	0	0	0
Sephs1	52.166667	0	223	90	0	0	0	0
Klhl35	52.166667	0	0	198	0	115	0	0
Kcnd3	52.166667	0	0	131	0	182	0	0
Dnajc8	52.166667	0	97	216	0	0	0	0
Crim1	52.166667	0	313	0	0	0	0	0
Cacna1c	52.166667	89	224	0	0	0	0	0
Atpif1	52.166667	0	97	216	0	0	0	0
Traf7	52.000000	0	0	101	0	211	0	0
Shb	52.000000	0	0	239	0	73	0	0
Rab26	52.000000	0	0	101	0	211	0	0
Mta2	52.000000	116	0	196	0	0	0	0
Degs1	52.000000	0	0	114	0	198	0	0
Csrnp2	52.000000	0	145	70	0	97	0	0
Vwa8	51.833333	0	128	0	0	183	0	0
Map1lc3b	51.833333	0	94	94	0	123	0	0
Ist1	51.833333	0	194	117	0	0	0	0
Hectd2	51.833333	119	192	0	0	0	0	0
Dazap2	51.833333	0	189	122	0	0	0	0
Car9	51.833333	0	152	159	0	0	0	0
Btbd6	51.833333	0	0	140	0	171	0	0
Arhgef39	51.833333	0	152	159	0	0	0	0
Vwa1	51.666667	0	310	0	0	0	0	0
St3gal3	51.666667	110	200	0	0	0	0	0
Snrpe	51.666667	0	118	104	0	88	0	0
Sertad1	51.666667	0	0	170	0	140	0	0
Scaf8	51.666667	0	205	105	0	0	0	0
Prkag2	51.666667	0	93	84	0	133	0	0
Lsm6	51.666667	0	233	77	0	0	0	0
Kat2a	51.666667	0	0	192	0	118	0	0
Hspb9	51.666667	0	0	192	0	118	0	0
Ergic1	51.666667	0	132	80	0	98	0	0
Efcab14	51.666667	0	200	110	0	0	0	0
Cnbp	51.666667	0	83	135	0	92	0	0
Wdr81	51.500000	0	0	134	0	175	0	0
Tbpl1	51.500000	0	103	127	0	79	0	0
Stag1	51.500000	0	198	111	0	0	0	0
Dcp2	51.500000	0	118	107	0	84	0	0
Wdr60	51.333333	0	0	153	0	155	0	0
Tmem106b	51.333333	120	188	0	0	0	0	0
Tmed3	51.333333	0	0	181	0	127	0	0
Tet3	51.333333	0	0	125	0	183	0	0
Sfr1	51.333333	0	70	151	0	87	0	0
Pomc	51.333333	0	93	99	0	116	0	0
Mrpl12	51.333333	0	308	0	0	0	0	0
Gem	51.333333	152	156	0	0	0	0	0
Ccnc	51.333333	0	125	84	0	99	0	0
Atp5g2	51.333333	0	173	135	0	0	0	0
P4ha1	51.166667	0	221	86	0	0	0	0
Ltbr	51.166667	0	151	156	0	0	0	0
Vmp1	51.000000	0	152	154	0	0	0	0
Srcin1	51.000000	145	161	0	0	0	0	0
Ptrh2	51.000000	0	152	154	0	0	0	0
Dcp1a	51.000000	0	92	116	0	98	0	0
Crip1	51.000000	0	204	102	0	0	0	0
Zfp810	50.833333	0	214	91	0	0	0	0
Rufy3	50.833333	0	114	105	0	86	0	0
Nme6	50.833333	0	123	0	0	182	0	0
Laptm4b	50.833333	0	0	157	148	0	0	0
Hipk2	50.833333	0	137	98	0	70	0	0
Fbxo22	50.833333	0	92	115	0	98	0	0
Dgkd	50.833333	0	197	108	0	0	0	0
Supv3l1	50.666667	0	0	83	0	221	0	0
Saysd1	50.666667	0	0	168	0	136	0	0
Nudt19	50.666667	0	0	138	0	166	0	0
Mppe1	50.666667	0	117	187	0	0	0	0
Lactb2	50.666667	0	119	79	0	106	0	0
Dhx15	50.666667	0	111	88	0	105	0	0
Tsnax	50.500000	0	0	141	0	162	0	0
Smim17	50.500000	0	0	303	0	0	0	0
Slitrk1	50.500000	125	178	0	0	0	0	0
S100a13	50.500000	0	153	150	0	0	0	0
S100a1	50.500000	0	153	150	0	0	0	0
Rragc	50.500000	0	105	129	0	69	0	0
Ppp2r5a	50.500000	0	0	204	0	99	0	0
Chtop	50.500000	0	153	150	0	0	0	0
Bcl11b	50.500000	0	303	0	0	0	0	0
Zdhhc1	50.333333	0	206	96	0	0	0	0
Ube2z	50.333333	133	169	0	0	0	0	0
Safb2	50.333333	0	81	221	0	0	0	0
Safb	50.333333	0	81	221	0	0	0	0
Nlk	50.333333	0	0	210	0	92	0	0
Kras	50.333333	0	157	145	0	0	0	0
Kdsr	50.333333	0	302	0	0	0	0	0
Hmgn1	50.333333	0	0	171	0	131	0	0
Fdft1	50.333333	0	116	87	0	99	0	0
Rmnd5a	50.166667	0	210	91	0	0	0	0
Rcbtb1	50.166667	0	0	148	0	153	0	0
Rbm25	50.166667	0	226	0	0	75	0	0
Phf10	50.166667	0	0	158	0	143	0	0
Leng9	50.166667	0	143	158	0	0	0	0
Clptm1l	50.166667	0	134	167	0	0	0	0
Alox5ap	50.166667	0	0	176	0	125	0	0
Stk11	50.000000	0	0	129	0	171	0	0
Spns2	50.000000	0	138	0	0	162	0	0
Prss45	50.000000	0	0	300	0	0	0	0
Poldip3	50.000000	0	0	300	0	0	0	0
Mideas	50.000000	0	0	116	0	184	0	0
Zfp668	49.833333	0	217	82	0	0	0	0
Zfp646	49.833333	0	217	82	0	0	0	0
Tmem248	49.833333	0	0	209	0	90	0	0
Setd1a	49.833333	0	213	86	0	0	0	0
Ppme1	49.833333	0	216	83	0	0	0	0
Pnpla3	49.833333	79	220	0	0	0	0	0
Lrrc3c	49.833333	98	201	0	0	0	0	0
Hey2	49.833333	130	169	0	0	0	0	0
Gse1	49.833333	0	0	0	0	299	0	0
C2cd3	49.833333	0	216	83	0	0	0	0
Tubb3	49.666667	0	0	298	0	0	0	0
Tsn	49.666667	0	168	130	0	0	0	0
Tjp3	49.666667	0	0	172	0	126	0	0
Sgpl1	49.666667	0	139	159	0	0	0	0
Sdf4	49.666667	0	151	147	0	0	0	0
R3hcc1l	49.666667	0	188	110	0	0	0	0
Mc1r	49.666667	0	0	298	0	0	0	0
Hsp90ab1	49.666667	0	105	93	0	100	0	0
Fam185a	49.666667	0	0	143	0	155	0	0
Cdkn2aip	49.666667	0	128	170	0	0	0	0
Ccdc146	49.666667	0	0	143	0	155	0	0
B3galt6	49.666667	0	151	147	0	0	0	0
Ahsa2	49.666667	0	121	87	0	90	0	0
Zfp422	49.500000	0	157	140	0	0	0	0
Zfp36	49.500000	0	0	113	0	184	0	0
Tmem199	49.500000	0	167	130	0	0	0	0
Smarcd1	49.500000	0	297	0	0	0	0	0
Slc39a1	49.500000	0	113	96	0	88	0	0
Rps6	49.500000	0	0	160	0	137	0	0
Poldip2	49.500000	0	167	130	0	0	0	0
Pkd1	49.500000	0	135	162	0	0	0	0
Grcc10	49.500000	0	0	219	0	78	0	0
Gpr88	49.500000	0	297	0	0	0	0	0
Creb3l4	49.500000	0	113	96	0	88	0	0
Zfp809	49.333333	0	0	296	0	0	0	0
Tfap4	49.333333	0	146	150	0	0	0	0
Secisbp2l	49.333333	0	180	116	0	0	0	0
Rufy2	49.333333	0	100	196	0	0	0	0
Pgpep1l	49.333333	140	156	0	0	0	0	0
Kti12	49.333333	0	109	106	0	81	0	0
B3gnt9	49.333333	0	0	140	0	156	0	0
Slc7a1	49.166667	0	0	93	0	202	0	0
Pyurf	49.166667	0	0	128	0	167	0	0
Prkab1	49.166667	190	0	105	0	0	0	0
Pgrmc2	49.166667	0	77	86	0	132	0	0
Mlkl	49.166667	0	0	173	122	0	0	0
H3c15	49.166667	0	127	78	0	90	0	0
H3c14	49.166667	0	127	78	0	90	0	0
H2ac19	49.166667	0	127	78	0	90	0	0
H2ac18	49.166667	0	127	78	0	90	0	0
Eif4e3	49.166667	0	295	0	0	0	0	0
Agrn	49.166667	0	116	75	0	104	0	0
Adgrl1	49.166667	0	295	0	0	0	0	0
Zfp523	49.000000	0	0	294	0	0	0	0
Srsf6	49.000000	0	0	128	0	166	0	0
Plcg1	49.000000	0	140	154	0	0	0	0
Med23	49.000000	0	166	128	0	0	0	0
Fbxl4	49.000000	0	0	128	0	166	0	0
Phax	48.833333	0	90	109	0	94	0	0
Ndufb1	48.833333	0	0	126	167	0	0	0
Lgals9	48.833333	0	0	145	148	0	0	0
Ece1	48.833333	0	0	186	0	107	0	0
Cpsf2	48.833333	0	0	126	167	0	0	0
Aldh7a1	48.833333	0	90	109	0	94	0	0
Ak3	48.833333	0	158	135	0	0	0	0
Zbtb32	48.666667	0	0	185	0	107	0	0
Wfs1	48.666667	0	0	138	0	154	0	0
Ubb	48.666667	0	0	85	0	207	0	0
Tdrd3	48.666667	0	145	147	0	0	0	0
Tbrg1	48.666667	0	0	186	0	106	0	0
Sppl2c	48.666667	0	292	0	0	0	0	0
Selenoi	48.666667	0	0	107	0	185	0	0
Rab5c	48.666667	0	123	0	0	169	0	0
Mrtfa	48.666667	0	0	175	0	117	0	0
Mrm1	48.666667	0	144	148	0	0	0	0
Kmt2b	48.666667	0	0	185	0	107	0	0
Kdm5a	48.666667	0	178	114	0	0	0	0
Gmfb	48.666667	0	112	86	0	94	0	0
Stk40	48.500000	0	170	121	0	0	0	0
Socs2	48.500000	0	148	143	0	0	0	0
Snn	48.500000	0	98	118	0	75	0	0
Rps24	48.500000	0	190	101	0	0	0	0
Rln3	48.500000	0	179	0	0	112	0	0
Polr3a	48.500000	0	190	101	0	0	0	0
Naip7	48.500000	0	0	291	0	0	0	0
Naip6	48.500000	0	0	291	0	0	0	0
Il27ra	48.500000	0	179	0	0	112	0	0
Dnm2	48.500000	0	0	177	0	114	0	0
