Target_genes	Foxp3|Average	SRX8769868|CD4+_T_cells	SRX8769869|CD4+_T_cells	SRX8769870|CD4+_T_cells	SRX495631|EL4	SRX1162501|iTreg	SRX1162502|iTreg	SRX495632|iTreg	SRX5689481|nTreg	SRX5689486|nTreg	SRX5689487|nTreg	SRX5689489|nTreg	SRX5689492|nTreg	SRX5689495|nTreg	SRX5689498|nTreg	SRX8123998|nTreg	SRX8123999|nTreg	SRX8124000|nTreg	SRX8124001|nTreg	SRX179486|Tconv	SRX179487|Tconv	SRX14474049|Treg	SRX14474050|Treg	SRX14474052|Treg	SRX14474053|Treg	SRX14590893|Treg	SRX14590894|Treg	SRX14590895|Treg	SRX14590896|Treg	SRX14590897|Treg	SRX14590898|Treg	SRX14743588|Treg	SRX14743589|Treg	SRX14743590|Treg	SRX14743594|Treg	SRX14743595|Treg	SRX14743596|Treg	SRX184860|Treg	SRX184861|Treg	SRX184863|Treg	SRX2341414|Treg	SRX2341415|Treg	SRX2341416|Treg	SRX2341417|Treg	SRX2341418|Treg	SRX2341419|Treg	SRX3829343|Treg	SRX3829344|Treg	SRX4814119|Treg	SRX4814120|Treg	SRX4814134|Treg	SRX4814135|Treg	SRX484252|Treg	SRX484253|Treg	SRX484254|Treg	SRX484255|Treg	SRX484256|Treg	STRING
Hdac7	82.910714	143	138	0	0	312	0	167	0	136	136	0	0	0	0	107	0	0	0	0	0	119	125	154	126	0	0	84	0	0	0	0	0	0	0	0	0	170	238	166	421	0	169	454	368	83	132	192	0	0	280	115	0	108	0	0	0	0
Dynlrb2	82.892857	136	240	156	0	0	0	0	229	397	178	0	0	0	217	136	227	99	0	0	0	147	167	208	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	174	877	262	249	0	0	0	0	0	0	0	0	0	0	0	0
Alg10b	82.892857	466	436	433	0	0	0	0	0	286	242	0	0	0	104	0	103	0	0	0	0	0	0	0	0	0	0	116	0	0	98	0	0	0	85	0	0	0	0	0	718	0	0	794	244	118	183	125	0	0	0	0	91	0	0	0	0	0
Fam133b	82.839286	291	261	262	0	0	0	0	94	163	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	153	122	0	86	0	0	848	124	174	847	372	146	123	387	0	0	0	0	0	0	0	0	0	0
Usp2	82.750000	247	178	200	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	143	271	183	134	0	0	108	0	0	116	0	0	0	0	0	0	0	0	0	717	137	136	803	378	203	0	164	0	0	246	143	0	0	0	0	0	0
Rpia	82.714286	223	228	207	0	0	0	0	220	255	0	0	0	0	0	0	0	0	0	0	0	178	166	183	0	0	0	124	125	139	175	0	0	0	67	0	0	0	0	0	654	146	98	758	249	162	0	100	0	0	175	0	0	0	0	0	0	0
Fam214a	82.696429	113	242	136	0	0	0	0	168	304	115	0	0	0	0	0	0	0	0	0	0	90	73	0	0	0	0	84	0	0	99	0	0	0	73	0	0	0	0	0	606	0	138	1308	348	223	154	128	0	0	108	121	0	0	0	0	0	0
Prkch	82.660714	138	170	92	0	0	0	0	136	206	0	0	0	0	0	0	0	0	0	0	0	149	202	83	0	0	0	105	0	0	123	0	0	0	0	0	0	184	0	0	778	0	136	903	287	183	124	212	0	0	0	0	197	221	0	0	0	0
Nabp1	82.625000	230	295	153	0	0	0	0	0	127	85	0	0	0	106	0	0	0	0	0	0	239	319	357	172	0	0	103	0	0	147	0	0	0	0	0	0	102	0	0	491	77	126	684	242	123	76	241	0	0	132	0	0	0	0	0	0	0
Kif3b	82.625000	262	217	212	0	162	0	219	101	128	85	0	0	0	0	0	93	0	0	0	0	118	220	219	225	0	0	113	0	0	161	0	0	0	0	0	0	0	0	0	558	0	0	800	268	176	0	112	178	0	0	0	0	0	0	0	0	0
Ing4	82.625000	91	152	165	0	0	0	0	176	253	0	88	0	0	161	88	103	0	0	0	0	175	274	242	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	103	194	618	286	145	0	212	0	0	128	124	0	0	0	0	0	0
Trappc8	82.571429	106	208	101	0	0	0	0	221	272	152	0	0	0	173	186	0	0	0	0	0	83	141	133	0	0	0	109	0	0	165	0	0	0	96	0	0	115	0	149	765	0	0	455	0	0	175	283	0	0	113	0	125	142	0	156	0	0
Elovl5	82.553571	101	101	160	0	0	0	0	191	100	0	0	0	0	112	0	119	0	0	0	0	341	395	363	325	0	0	103	101	0	138	0	0	0	126	0	0	116	147	0	301	0	0	444	150	0	245	124	138	0	99	0	0	83	0	0	0	0
Ppil4	82.535714	297	170	238	0	0	0	0	128	168	0	0	0	0	173	0	0	0	0	0	0	147	121	82	0	0	0	104	0	0	0	0	0	0	0	70	0	125	0	0	641	0	141	1093	434	186	0	169	0	0	0	0	135	0	0	0	0	0
Vars	82.500000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	231	522	411	239	0	0	112	0	0	153	0	0	0	0	92	93	0	309	184	362	0	0	350	87	0	212	326	372	0	274	0	0	191	0	0	0	0
D17H6S56E-5	82.500000	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	231	522	411	239	0	0	112	0	0	153	0	0	0	0	92	93	0	309	184	362	0	0	350	87	0	212	326	372	0	274	0	0	191	0	0	0	0
Arid4a	82.464286	124	102	128	0	0	0	0	170	152	99	95	0	0	178	0	0	0	0	0	0	223	278	310	225	0	0	92	0	0	114	0	0	0	0	0	0	0	0	88	334	0	0	743	395	109	231	218	0	0	0	0	108	102	0	0	0	0
Ushbp1	82.446429	0	0	0	0	0	0	0	239	248	0	0	0	0	169	75	141	0	0	0	0	212	461	363	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	1187	561	281	0	0	0	0	0	0	0	0	0	0	0	0
Babam1	82.446429	0	0	0	0	0	0	0	239	248	0	0	0	0	169	75	141	0	0	0	0	212	461	363	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	1187	561	281	0	0	0	0	0	0	0	0	0	0	0	0
Adk	82.428571	138	221	150	0	0	0	0	214	161	83	0	0	0	0	0	0	0	0	0	0	120	247	294	205	0	0	116	88	0	119	0	0	0	124	144	0	0	0	0	453	0	80	392	254	141	250	369	0	0	146	107	0	0	0	0	0	0
Ubr1	82.392857	0	150	129	0	0	0	0	133	465	200	0	0	0	114	0	0	0	0	0	0	168	259	205	157	0	0	110	0	0	102	0	0	0	0	0	0	0	0	0	820	118	136	493	169	156	0	186	0	0	0	0	184	160	0	0	0	0
Ifi209	82.375000	101	0	0	0	148	0	0	142	234	149	0	0	0	141	0	174	0	0	0	0	384	353	309	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798	201	0	490	358	156	0	107	0	0	173	0	0	0	0	0	0	0
Cry1	82.339286	374	389	353	0	0	0	0	110	255	137	82	0	0	144	0	66	0	0	0	0	0	155	0	0	0	0	122	0	0	102	0	0	0	0	0	0	0	0	0	790	158	125	484	0	136	138	167	0	0	175	149	0	0	0	0	0	0
Kif11	82.321429	381	618	524	0	0	0	0	0	143	174	0	0	0	75	207	113	77	106	0	0	118	0	143	86	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	355	0	191	413	145	117	215	233	0	0	0	0	0	0	0	0	0	0
Naa60	82.285714	0	118	89	0	0	0	0	95	229	114	0	0	0	0	0	0	0	0	0	0	196	120	113	0	0	0	114	0	0	159	0	0	0	0	0	0	0	0	0	878	252	140	1006	344	231	192	218	0	0	0	0	0	0	0	0	0	0
Pafah1b2	82.196429	219	272	147	0	0	0	0	0	95	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	79	0	113	0	0	0	0	0	0	0	0	0	810	0	209	1345	373	245	140	231	0	0	0	0	0	98	0	0	0	0
Atf6	82.160714	106	111	0	0	134	0	0	134	285	209	130	0	0	179	144	228	193	119	0	0	199	219	194	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	131	544	226	125	0	256	160	0	0	0	0	0	0	0	0	0
Srek1	82.142857	0	119	87	0	0	0	0	0	150	81	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	209	0	0	0	143	135	0	0	0	0	878	307	403	943	427	340	0	217	0	0	0	90	0	0	0	0	0	0
Exosc6	82.142857	178	152	157	0	122	0	0	115	154	0	97	0	0	122	0	0	0	0	0	0	0	142	222	0	0	0	92	0	0	67	0	0	0	0	0	0	0	0	0	983	0	157	839	229	166	171	177	0	0	0	0	135	123	0	0	0	0
Smad4	82.125000	179	248	195	0	0	0	0	147	332	181	77	0	0	158	0	0	0	0	0	0	100	152	0	0	0	0	162	110	0	84	0	0	0	0	0	0	0	0	0	817	0	133	784	132	0	263	257	88	0	0	0	0	0	0	0	0	0
Cherp	82.125000	0	202	215	0	0	0	0	313	340	173	105	0	0	284	87	0	0	0	0	0	232	305	308	184	0	0	86	0	0	119	0	0	0	0	86	0	0	0	0	413	0	0	586	158	128	186	0	0	0	89	0	0	0	0	0	0	0
Prpf8	82.089286	437	355	463	0	0	0	0	141	220	160	0	0	0	113	82	95	0	0	0	0	151	304	260	157	0	0	93	0	0	0	0	0	0	131	0	0	0	0	0	509	154	229	275	0	0	101	0	0	0	167	0	0	0	0	0	0	0
Ydjc	82.053571	474	366	409	0	0	0	0	157	157	0	0	0	0	0	0	0	0	0	0	0	90	181	130	130	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	735	161	180	572	415	195	0	163	0	0	0	0	0	0	0	0	0	0
Ccdc116	82.053571	474	366	409	0	0	0	0	157	157	0	0	0	0	0	0	0	0	0	0	0	90	181	130	130	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	735	161	180	572	415	195	0	163	0	0	0	0	0	0	0	0	0	0
Zfp868	82.035714	152	138	0	0	0	0	0	108	319	107	0	0	0	157	0	0	0	0	0	0	93	148	162	0	0	0	138	0	0	98	0	0	0	114	0	0	0	0	0	800	111	190	838	282	227	122	290	0	0	0	0	0	0	0	0	0	0
Sacm1l	82.035714	123	140	246	0	0	0	0	130	367	113	0	0	0	0	0	0	0	0	0	0	351	248	457	305	0	0	139	0	84	133	0	0	0	0	113	0	0	0	0	360	0	0	599	154	151	198	183	0	0	0	0	0	0	0	0	0	0
Nras	82.000000	219	264	216	0	0	0	0	0	137	141	0	0	0	0	0	0	0	0	0	0	83	149	207	0	0	0	190	0	0	86	0	0	0	167	0	0	0	0	0	660	0	0	1077	297	243	162	147	0	0	147	0	0	0	0	0	0	0
Emc7	81.982143	164	175	165	0	0	0	0	90	391	177	0	0	0	0	0	0	0	0	0	0	0	179	186	165	0	0	115	0	0	0	0	0	0	122	0	0	0	0	0	620	151	0	801	415	225	0	83	0	0	146	0	123	98	0	0	0	0
Ppp1r2	81.964286	278	194	352	0	0	0	0	151	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	83	0	0	0	0	0	0	86	0	0	591	0	182	876	233	162	111	219	0	0	0	0	271	317	0	113	0	0
Lats1	81.892857	251	188	119	0	0	0	0	138	317	237	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	122	0	0	101	0	0	0	0	129	0	0	0	0	535	131	0	855	219	154	186	376	0	0	181	0	119	122	0	0	0	0
Hnrnpr	81.892857	264	165	210	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	129	229	155	0	68	0	120	0	0	135	0	0	0	78	0	0	0	0	0	672	110	0	1086	382	142	214	152	0	0	0	154	0	0	0	0	0	0
Mcl1	81.875000	0	134	104	0	0	0	0	96	222	0	0	0	0	0	0	0	0	0	0	0	116	202	188	211	0	0	124	0	0	88	0	0	0	0	0	85	0	0	0	581	146	155	607	211	129	70	252	0	0	540	180	0	0	0	144	0	0
Cops8	81.875000	0	316	126	0	0	0	0	160	371	221	0	0	0	156	0	122	0	0	0	0	139	180	95	0	0	0	169	0	0	155	0	0	0	0	0	0	120	0	0	741	131	157	787	247	192	0	0	0	0	0	0	0	0	0	0	0	0
Vav1	81.839286	298	399	452	0	0	0	0	148	274	129	0	0	0	157	0	136	122	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	120	187	522	152	84	0	297	139	0	137	132	0	0	0	0	147	0
Tgfbr2	81.821429	152	140	224	0	0	0	0	105	257	181	0	0	0	74	99	115	0	0	0	0	130	99	131	122	0	0	82	0	0	109	0	0	0	0	0	0	0	0	0	854	79	89	923	250	143	0	101	123	0	0	0	0	0	0	0	0	0
Ccdc30	81.821429	0	0	0	0	0	0	0	141	314	231	0	0	0	129	0	0	0	0	0	0	217	477	269	229	0	0	92	99	0	96	0	0	0	0	0	0	0	0	0	262	0	0	1117	589	320	0	0	0	0	0	0	0	0	0	0	0	0
Tbccd1	81.750000	174	305	376	0	0	0	0	261	445	198	111	0	0	256	137	118	0	0	0	0	228	279	138	113	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	256	0	118	372	114	0	0	0	209	0	0	0	0	0	0	0	265	0
Pip5k1c	81.750000	391	326	345	0	0	0	0	91	322	125	139	0	0	104	0	0	0	0	0	0	183	379	396	260	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	476	89	0	216	292	0	0	0	0	0	0	0	0	0	0
Dnajb11	81.750000	174	305	376	0	0	0	0	261	445	198	111	0	0	256	137	118	0	0	0	0	228	279	138	113	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	256	0	118	372	114	0	0	0	209	0	0	0	0	0	0	0	265	0
Atp5g2	81.714286	252	280	185	0	0	0	0	129	206	134	0	0	0	0	0	0	0	0	0	0	150	192	182	123	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	835	167	0	844	353	251	0	184	0	0	0	0	0	0	0	0	0	0
Nat10	81.696429	81	134	97	0	0	0	0	143	202	117	191	0	0	0	95	0	0	0	0	0	263	142	404	202	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	500	193	161	521	316	164	237	192	0	0	0	116	0	0	0	0	0	0
Tmem251	81.678571	0	134	0	0	0	0	0	261	212	119	0	0	0	159	146	171	0	111	0	0	132	256	238	86	0	0	156	0	0	0	0	0	0	0	0	0	130	0	0	692	109	170	748	213	125	0	108	0	0	0	0	0	98	0	0	0	0
Moap1	81.678571	0	134	0	0	0	0	0	261	212	119	0	0	0	159	146	171	0	111	0	0	132	256	238	86	0	0	156	0	0	0	0	0	0	0	0	0	130	0	0	692	109	170	748	213	125	0	108	0	0	0	0	0	98	0	0	0	0
Psmd12	81.660714	188	0	0	0	0	0	0	205	235	131	0	0	0	174	0	0	0	0	0	0	197	257	207	185	0	0	159	0	0	0	0	0	0	67	0	0	0	0	0	818	0	134	1036	127	171	124	158	0	0	0	0	0	0	0	0	0	0
Asap1	81.660714	160	246	173	0	0	0	0	123	154	119	0	0	0	138	144	0	0	0	0	0	0	0	0	0	89	0	102	0	91	137	0	0	0	116	0	0	0	0	0	398	145	257	900	279	105	356	341	0	0	0	0	0	0	0	0	0	0
Pex7	81.642857	302	144	314	0	0	0	0	150	122	101	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	104	0	0	0	134	0	0	0	0	0	677	0	104	1289	344	368	0	247	0	0	0	0	0	0	0	0	0	0
Hps5	81.625000	174	191	189	0	0	0	0	133	207	110	0	0	0	0	0	0	0	0	0	0	103	119	89	0	0	0	87	0	0	159	0	0	0	76	110	0	230	0	0	423	0	0	556	190	116	245	296	163	0	220	0	0	0	385	0	0	0
Gtf2h1	81.625000	174	191	189	0	0	0	0	133	207	110	0	0	0	0	0	0	0	0	0	0	103	119	89	0	0	0	87	0	0	159	0	0	0	76	110	0	230	0	0	423	0	0	556	190	116	245	296	163	0	220	0	0	0	385	0	0	0
Golga1	81.607143	142	128	218	0	0	0	0	210	160	103	0	0	0	0	0	0	0	0	0	0	138	115	0	0	0	0	104	0	0	186	0	0	0	104	0	0	0	0	0	770	0	0	1044	295	153	137	205	0	0	0	0	172	186	0	0	0	0
Fam167b	81.589286	113	135	0	0	145	0	0	111	233	67	0	0	0	125	126	0	0	0	0	0	0	217	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	656	102	115	709	160	108	230	321	162	0	151	137	0	0	0	0	0	0
Drg2	81.571429	241	348	260	0	0	0	0	129	226	0	0	0	0	0	0	0	0	0	0	0	0	193	160	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	820	153	189	986	316	165	0	133	0	0	132	0	0	0	0	0	0	0
Osbpl2	81.535714	171	216	189	0	0	0	0	108	171	97	146	0	0	100	0	0	0	0	0	0	293	332	270	272	0	0	145	0	80	129	0	0	0	0	0	0	0	0	0	367	0	114	447	134	102	348	243	0	0	0	0	0	92	0	0	0	0
Dph6	81.535714	131	248	134	0	0	0	0	111	207	84	0	0	0	147	0	0	0	0	0	0	131	118	198	92	0	0	0	0	0	0	0	0	0	104	109	0	0	0	101	603	100	0	608	186	139	277	269	126	0	0	95	101	147	0	0	0	0
Smim12	81.517857	0	120	157	0	0	0	0	219	274	156	0	0	0	152	0	0	0	0	0	0	128	202	134	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	844	117	0	1072	368	205	0	94	0	0	194	0	0	0	0	0	0	0
Msmo1	81.517857	0	212	97	0	177	0	0	99	152	0	0	0	0	0	0	0	0	0	0	0	105	157	133	167	0	0	0	96	0	96	0	0	0	0	0	0	0	0	0	347	0	0	1725	555	272	0	175	0	0	0	0	0	0	0	0	0	0
Cfap298	81.517857	300	351	292	0	0	0	0	217	195	77	0	0	0	0	0	92	0	0	0	0	0	136	120	94	0	0	90	0	0	79	0	0	0	110	0	0	0	0	0	570	0	170	842	341	153	112	224	0	0	0	0	0	0	0	0	0	0
Rfc4	81.357143	161	0	149	0	0	0	0	174	176	115	0	0	0	0	0	0	0	0	0	0	0	129	123	0	0	0	92	0	0	199	0	0	0	96	0	0	0	0	0	747	0	0	1057	547	209	129	109	97	0	0	0	125	122	0	0	0	0
Rab3gap1	81.357143	168	204	284	0	0	0	0	104	262	0	0	0	0	140	0	86	0	0	0	0	84	101	221	116	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	522	93	152	769	231	206	0	208	163	0	124	233	0	0	0	0	0	0
Pes1	81.357143	119	89	0	0	0	0	0	314	382	203	116	0	85	141	203	246	0	77	0	0	170	153	240	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	362	91	101	258	153	103	252	345	124	0	0	0	0	0	0	0	0	0
Iqcn	81.357143	335	355	303	0	0	0	0	103	108	0	108	0	0	89	0	0	0	0	0	0	304	303	255	170	0	0	96	0	0	82	0	0	0	0	0	0	0	0	0	390	0	0	601	134	169	216	292	0	0	143	0	0	0	0	0	0	0
Pcmtd1	81.339286	267	171	182	0	0	0	0	253	185	138	0	0	0	145	0	0	0	0	0	0	162	190	319	120	0	0	124	0	0	159	0	0	0	0	0	0	0	0	0	526	0	0	744	219	115	183	145	0	0	208	0	0	0	0	0	0	0
Ppp1r16a	81.285714	135	112	0	0	0	0	0	249	135	0	0	0	0	166	0	0	0	0	0	0	315	408	555	362	0	0	135	0	0	64	0	0	0	0	0	0	0	0	0	593	0	0	813	245	156	109	0	0	0	0	0	0	0	0	0	0	0
Foxh1	81.285714	135	112	0	0	0	0	0	249	135	0	0	0	0	166	0	0	0	0	0	0	315	408	555	362	0	0	135	0	0	64	0	0	0	0	0	0	0	0	0	593	0	0	813	245	156	109	0	0	0	0	0	0	0	0	0	0	0
Arhgef7	81.017857	182	321	353	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	110	132	125	0	124	0	114	0	0	109	0	0	0	0	0	0	0	0	0	511	0	0	1093	364	214	85	105	0	0	0	0	197	200	0	0	0	0
Angel2	81.000000	0	96	0	0	0	0	0	206	280	59	0	0	0	168	0	137	0	0	0	0	133	164	234	170	0	0	209	0	0	125	0	0	0	0	0	0	0	0	0	606	116	198	530	145	125	218	226	0	0	87	0	170	134	0	0	0	0
Rpl36	80.964286	136	208	211	0	146	0	0	161	204	154	0	0	0	154	0	137	0	0	0	0	214	203	247	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	207	698	199	161	0	181	0	0	0	0	0	0	0	0	0	0
Micos13	80.964286	136	208	211	0	146	0	0	161	204	154	0	0	0	154	0	137	0	0	0	0	214	203	247	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0	207	698	199	161	0	181	0	0	0	0	0	0	0	0	0	0
Casp8ap2	80.964286	0	107	207	0	0	0	0	217	172	0	199	0	0	159	117	120	0	0	0	0	296	481	312	305	0	0	95	0	0	0	0	0	0	147	0	0	0	0	0	392	100	138	671	215	0	0	0	0	0	84	0	0	0	0	0	0	0
Atg10	80.875000	228	241	302	0	0	0	0	95	235	117	119	0	0	148	0	139	0	0	0	0	0	0	187	0	0	0	129	0	0	142	0	0	0	0	0	0	0	0	0	693	92	133	526	164	141	211	120	0	0	0	0	181	186	0	0	0	0
Smndc1	80.803571	0	213	228	0	0	0	0	220	355	136	0	0	0	234	0	82	0	0	0	0	351	256	499	154	0	98	97	0	0	159	0	0	0	0	0	0	0	0	0	408	0	0	372	106	0	110	242	91	0	114	0	0	0	0	0	0	0
Zfp777	80.767857	0	203	198	0	0	0	0	139	204	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	1281	200	362	1177	355	211	0	0	0	0	0	0	0	0	0	0	0	0
Shprh	80.750000	125	107	212	0	0	0	0	164	402	178	0	0	0	112	0	145	0	0	0	0	203	183	216	117	0	0	116	0	0	112	0	0	0	114	0	0	0	0	0	513	0	0	668	154	106	154	200	0	0	0	0	123	98	0	0	0	0
Cox20	80.714286	216	216	266	0	0	0	0	103	215	129	0	0	0	90	0	0	0	0	0	0	0	111	0	0	0	0	148	0	0	104	0	0	0	104	134	0	0	0	0	494	72	185	706	232	225	253	399	0	0	118	0	0	0	0	0	0	0
Rint1	80.678571	151	157	0	0	0	0	0	93	232	168	0	0	0	131	0	0	0	0	0	0	0	130	144	0	0	0	87	0	0	0	0	0	0	0	0	0	108	113	0	820	150	238	1038	560	198	0	0	0	0	0	0	0	0	0	0	0	0
Pus7	80.678571	151	157	0	0	0	0	0	93	232	168	0	0	0	131	0	0	0	0	0	0	0	130	144	0	0	0	87	0	0	0	0	0	0	0	0	0	108	113	0	820	150	238	1038	560	198	0	0	0	0	0	0	0	0	0	0	0	0
Tcta	80.660714	0	142	111	0	0	0	0	191	110	0	97	0	0	151	0	0	0	0	0	0	318	392	523	488	0	0	167	0	0	159	0	0	0	0	0	0	0	0	0	423	0	0	632	136	128	137	212	0	0	0	0	0	0	0	0	0	0
Rhoa	80.660714	0	142	111	0	0	0	0	191	110	0	97	0	0	151	0	0	0	0	0	0	318	392	523	488	0	0	167	0	0	159	0	0	0	0	0	0	0	0	0	423	0	0	632	136	128	137	212	0	0	0	0	0	0	0	0	0	0
Heca	80.642857	625	559	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	85	0	97	0	0	0	95	0	0	0	0	0	465	0	0	401	136	114	267	849	154	0	0	150	0	0	0	0	0	0
Zfp119a	80.625000	158	136	168	0	0	0	0	116	155	92	0	0	0	80	0	0	0	0	0	0	123	0	113	0	0	0	152	0	0	113	0	0	0	124	142	0	104	105	173	420	0	91	349	105	0	242	435	122	0	161	60	159	211	0	106	0	0
Sh3bp5	80.571429	266	266	309	0	0	0	0	136	222	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	155	0	0	120	0	0	0	0	0	0	0	0	0	868	185	184	927	192	244	0	156	116	0	0	0	0	81	0	0	0	0
Arl8b	80.517857	0	156	145	0	0	0	0	194	148	0	0	0	0	0	0	0	0	0	0	0	0	192	129	0	0	0	159	0	0	117	0	0	0	0	0	0	0	0	0	798	117	230	880	361	269	184	276	154	0	0	0	0	0	0	0	0	0
Usp33	80.464286	0	230	0	0	0	0	0	0	198	0	0	0	0	0	0	117	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882	0	336	993	365	190	112	212	0	0	0	0	310	298	0	152	0	0
Zbtb44	80.428571	253	251	206	0	0	0	0	140	308	153	0	0	0	96	208	0	97	156	0	0	0	0	0	0	0	0	152	127	0	0	0	0	0	0	0	0	0	0	0	522	0	112	436	153	0	415	434	0	0	0	0	151	134	0	0	0	0
Stat4	80.410714	212	165	151	0	0	0	0	129	184	171	0	0	0	89	0	0	0	0	0	0	0	118	138	87	0	0	0	0	0	0	274	0	0	0	0	0	0	103	289	818	187	215	404	190	0	0	301	0	0	181	0	0	97	0	0	0	0
Trim37	80.375000	162	142	119	0	0	0	0	186	187	159	0	0	0	79	0	166	0	0	0	0	0	93	0	0	0	0	83	0	0	122	0	0	0	96	0	0	0	0	0	642	109	104	968	247	133	280	305	0	0	0	0	119	0	0	0	0	0
Rab4b	80.375000	197	199	119	0	160	0	0	145	267	169	156	0	0	0	0	128	0	0	0	0	253	342	295	253	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	517	0	0	447	228	0	247	299	0	0	0	0	0	0	0	0	0	0
Plcl1	80.375000	0	0	0	0	155	0	0	289	130	0	175	0	0	235	198	218	120	0	0	0	308	229	266	243	135	0	101	0	0	150	0	0	0	101	0	0	0	0	0	448	0	0	487	78	0	113	211	111	0	0	0	0	0	0	0	0	0
Nup93	80.339286	325	219	251	0	0	0	0	213	382	122	0	0	0	137	0	0	0	0	0	0	163	0	237	0	0	0	107	0	0	81	0	0	0	0	0	0	0	0	0	486	0	153	936	306	107	103	171	0	0	0	0	0	0	0	0	0	0
Hdac10	80.321429	128	0	90	0	0	0	0	139	259	239	96	0	0	0	166	197	0	144	0	0	137	307	210	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	323	485	278	220	0	0	151	0	0	0	0	0	0	0	110	0
Rapgef1	80.250000	194	182	224	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	117	0	133	0	0	0	0	0	0	0	0	0	0	780	212	324	1271	429	242	0	99	0	0	0	0	0	0	0	0	0	0
Mat2b	80.250000	364	336	279	0	0	0	0	92	461	270	0	0	0	107	0	78	0	0	0	0	0	0	0	0	80	0	170	85	0	0	0	0	0	0	0	0	0	0	0	457	0	0	720	238	160	170	267	0	0	0	83	77	0	0	0	0	0
Ezh1	80.250000	273	406	337	0	0	0	0	285	314	165	200	0	0	156	0	144	0	0	0	0	0	112	0	0	0	0	127	0	0	0	0	0	0	99	0	0	0	0	0	649	0	0	826	256	0	145	0	0	0	0	0	0	0	0	0	0	0
Gan	80.214286	110	149	155	0	0	0	0	174	375	121	122	0	0	0	126	0	0	0	0	0	146	220	161	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	587	0	185	1067	270	340	0	93	0	0	0	0	0	0	0	0	0	0
Rufy2	80.107143	244	251	186	0	89	0	0	0	291	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	806	0	226	697	434	277	115	450	0	0	194	0	0	0	0	0	0	0
Asb6	80.107143	0	144	0	0	204	0	0	137	283	172	0	0	0	108	0	0	0	0	0	0	103	197	240	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1219	159	165	603	147	146	166	119	0	0	0	0	0	0	0	0	0	0
Tut1	80.071429	176	128	183	0	0	0	0	252	227	104	132	0	0	0	0	0	0	0	0	0	122	166	299	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	776	0	165	664	294	233	0	0	0	0	229	132	0	0	0	0	0	0
