Target_genes	Bcl11a|Average	SRX8030787|Acute_myeloid_leukemia	ERX2242378|Breast_cells	ERX200399|Mammary_epithelial_cells	ERX200403|Mammary_epithelial_cells	ERX200408|Mammary_epithelial_cells	ERX200412|Mammary_epithelial_cells	ERX200417|Mammary_epithelial_cells	ERX200421|Mammary_epithelial_cells	ERX200426|Mammary_epithelial_cells	ERX200430|Mammary_epithelial_cells	ERX200435|Mammary_epithelial_cells	ERX200439|Mammary_epithelial_cells	STRING
Itgam	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5k	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
Hk1	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
Grm4	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
Gm5901	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
Fcgr2b	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
Erlin2	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
B3gntl1	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	21.833333	262	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d8	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Spink10	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Sfxn2	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Pkm	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Otos	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Nckap1	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Mbtps1	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Gm5741	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo38	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc24	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Dhps	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Cyb5r4	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Cdk9	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Cct8	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Arl3	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Actr6	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Acad9	21.750000	261	0	0	0	0	0	0	0	0	0	0	0	0
Zfp398	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Wdr70	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Tubb5	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip8l2	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Styxl1	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a40	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Ropn1l	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Poln	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Mdh2	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Mdc1	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Krt10	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Haus3	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Edc3	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Dbf4	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Crlf3	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Arl14ep	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Abcd4	21.666667	260	0	0	0	0	0	0	0	0	0	0	0	0
Zfp868	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Xpo5	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Tmem273	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Tmed7	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Thoc5	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Shq1	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Selenom	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Sbf2	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Ppm1f	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Polh	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Plp2	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Phb	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Oxnad1	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Ogt	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Nedd1	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Gpr107	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Eif1a	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Dph3	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Dhx34	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Cnot11	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Brwd1	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Bclaf1	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Atg14	21.583333	259	0	0	0	0	0	0	0	0	0	0	0	0
Uqcrq	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Trmt61a	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Scrib	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Sart3	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Prorsd1	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Pdxdc1	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Mpv17l	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Lgals9	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Kif17	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Kcnn1	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Iscu	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Gdf9	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Donson	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Ctla2a	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Cherp	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc80	21.500000	258	0	0	0	0	0	0	0	0	0	0	0	0
Ubald1	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Trf	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Tfrc	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a51	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Scfd2	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Sass6	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Oser1	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Mief1	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Iffo2	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Fip1l1	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Fam160a2	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Dus1l	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Clec5a	21.416667	257	0	0	0	0	0	0	0	0	0	0	0	0
Ubac1	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Tdg	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Slc45a4	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Sdc4	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Satb1	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Rhod	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Mkrn2	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Gcc1	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Fam136a	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Denr	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Commd4	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Cdc42se2	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
C77080	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Arf5	21.333333	256	0	0	0	0	0	0	0	0	0	0	0	0
Shoc2	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Rps16	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Pomp	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Nfe2l1	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Mtg2	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Kmt2e	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Fam107b	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Esr1	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Celf2	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Cdc5l	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Bbip1	21.250000	255	0	0	0	0	0	0	0	0	0	0	0	0
Xkr8	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Tomm7	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Tmem249	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Tmem170b	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Slc52a2	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a39	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Ppp2ca	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Nsun4	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Noc4l	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Ncf4	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Myl12b	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Map2k4	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Man1b1	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Katna1	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Gnaq	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl6	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Fam120b	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Faf1	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Dnttip2	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Ddx51	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Cpt1a	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Copb2	21.166667	254	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a13	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Slc12a6	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Pmpca	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Pcgf3	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Nop10	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Ndufs7	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Mfge8	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Ivns1abp	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Gm10509	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Fcgr1	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Entr1	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Crocc	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
4833420G17Rik	21.083333	253	0	0	0	0	0	0	0	0	0	0	0	0
Rasl11a	21.000000	252	0	0	0	0	0	0	0	0	0	0	0	0
Pttg1ip	21.000000	252	0	0	0	0	0	0	0	0	0	0	0	0
Nup62	21.000000	252	0	0	0	0	0	0	0	0	0	0	0	0
Il4i1b	21.000000	252	0	0	0	0	0	0	0	0	0	0	0	0
Hmga1b	21.000000	252	0	0	0	0	0	0	0	0	0	0	0	0
Hmga1	21.000000	252	0	0	0	0	0	0	0	0	0	0	0	0
Atf5	21.000000	252	0	0	0	0	0	0	0	0	0	0	0	0
Znhit1	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Topors	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Smim27	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Sirt7	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Plod3	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Pgm2	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Pdgfrb	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Notch2	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg3	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Mcrs1	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Mafg	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Ltb4r2	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Ltb4r1	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Lin54	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Lilrb4a	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Jmjd7	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Hexim2	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Eif3a	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
B3galt5	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Atic	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Arfgap3	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Ago3	20.916667	251	0	0	0	0	0	0	0	0	0	0	0	0
Vav2	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Usp53	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Ube2b	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Tkt	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Reep6	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Rbm43	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Rab35	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Ppargc1b	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Pex10	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Pdss2	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Pcsk4	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Pcna	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Pbld2	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Oxa1l	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Nup188	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Ndufv1	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Mical1	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Ly6g5b	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Kctd5	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnph3	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
H2-M5	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Gpank1	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Gna13	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Gatad2a	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Fubp1	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo28	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Dolk	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb4	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Ddx5	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
D17H6S53E	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Csnk2b	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Creb5	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Cep95	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Cdkl3	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Ccl9	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Bax	20.833333	250	0	0	0	0	0	0	0	0	0	0	0	0
Wdr20	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Usp45	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Ube4a	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Tomt	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Srsf1	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Sipa1l1	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Rps17	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Rpl26	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Phlpp1	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Parl	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Lsg1	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad4	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor1	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Glb1l2	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Flna	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Fignl1	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Ccndbp1	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Aatf	20.750000	249	0	0	0	0	0	0	0	0	0	0	0	0
Yif1b	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Wdr34	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Tent2	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Smarca4	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Slc25a38	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Rps27rt	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Rps21	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Rpl10a	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Rab33b	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Rab13	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr6	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Mpo	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Ldah	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Ints11	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Inpp5e	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Il2ra	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Hacd2	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Gm10130	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Fgf4	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl4	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Cptp	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Cox19	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Cfap53	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Cd27	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Ap1m1	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
4921524J17Rik	20.666667	248	0	0	0	0	0	0	0	0	0	0	0	0
Wdr93	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Vmp1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Tmem185b	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Tcp1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb6a	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Rps8	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Rps3	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Ripk1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Ptrh2	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Psmc4	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Primpol	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Pkmyt1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Pias1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Pex11a	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl18	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Med31	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Lipa	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor5	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Kif15	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Kbtbd2	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Gnl2	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Fastkd1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Ehmt1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Dynlrb2	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4f18	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Ctla2b	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Cmpk2	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Casp3	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Anapc10	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Abce1	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
4930563E22Rik	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
1110059G10Rik	20.583333	247	0	0	0	0	0	0	0	0	0	0	0	0
Zfp706	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Zfp687	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Tvp23b	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Trappc10	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Tmem88	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Tbl2	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Smndc1	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Slx4	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Slc3a2	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Rad21	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Psmd12	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Prkcd	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Prdx1	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Pot1b	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Nuf2	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Naa38	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Heatr1	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Gskip	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Ep400	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Eloa	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Cyb5d1	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Csnk2a1	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Cited4	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Cfap97	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Atg2b	20.500000	246	0	0	0	0	0	0	0	0	0	0	0	0
Zfp148	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Usp38	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Tiparp	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Tank	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Septin11	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Saxo2	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Man2a2	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Ier3ip1	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Golph3	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Efl1	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Cox8a	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Cox20	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Axin1	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Adh5	20.416667	245	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h15	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Wars2	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Vamp3	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Thoc1	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd7	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Tbk1	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Spp1	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Smg9	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Samd8	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Rpusd2	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Rabgap1	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Rabepk	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Pnrc2	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Pdlim7	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Mapk1ip1l	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo22	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Fam160b1	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Dusp13	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Cfl1	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Arfgap1	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Aqp9	20.333333	244	0	0	0	0	0	0	0	0	0	0	0	0
Trim35	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Tm2d3	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Tln1	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Spidr	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Spag1	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Rngtt	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Polr2k	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Pex12	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Mrps24	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Mon1a	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Med15	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Lactb2	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Creb3	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Ap2b1	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
Alg6	20.250000	243	0	0	0	0	0	0	0	0	0	0	0	0
