Target_genes	Pknox1|Average	SRX170715|Embryonic_trunk	SRX759626|ES_cells	SRX442884|MEF	SRX625489|MEF	SRX625491|MEF	STRING
Scamp2	1257.400000	1350	1137	1394	1039	1367	0
Ptpn18	1257.200000	1905	1647	1049	354	1331	0
Kdm4a	1255.800000	1230	815	1779	850	1605	0
Klf5	1255.200000	993	1259	1684	825	1515	0
Anp32e	1249.800000	806	972	1711	624	2136	0
Sertad2	1249.000000	1417	1562	1525	562	1179	0
Akap8l	1244.800000	832	987	1655	884	1866	0
Kansl2	1242.400000	993	1060	1658	820	1681	0
Umad1	1240.800000	790	1082	1864	600	1868	0
Rpa3	1240.800000	790	1082	1864	600	1868	0
Gm2004	1238.000000	0	984	1600	1718	1888	0
Lmbr1l	1237.800000	1251	762	1678	618	1880	0
Gm2007	1235.400000	0	917	1672	1849	1739	0
Cnnm2	1231.200000	1193	839	1574	889	1661	0
Ccdc61	1231.200000	1270	1323	1502	526	1535	0
Usp22	1231.000000	1469	1358	1304	680	1344	0
Laptm4a	1228.000000	1374	1272	1509	581	1404	0
Gm45871	1227.400000	678	1439	1576	747	1697	0
Hspa1b	1227.200000	787	784	1888	814	1863	0
Nufip2	1216.600000	1390	1680	1370	494	1149	0
Gm14288	1212.600000	0	1011	1569	1602	1881	0
Septin9	1211.000000	878	901	1868	828	1580	0
2210418O10Rik	1208.800000	0	912	1484	1817	1831	0
Bmt2	1208.400000	1245	1231	1421	702	1443	0
Top2a	1207.400000	681	604	1912	678	2162	0
Ppp6r3	1204.800000	1134	1231	1283	769	1607	0
Ankrd11	1204.600000	789	977	1759	615	1883	0
Gm4724	1202.000000	0	917	1672	1682	1739	0
Gm2026	1202.000000	0	917	1672	1682	1739	0
Gm14434	1202.000000	0	917	1672	1682	1739	0
Gm14430	1202.000000	0	917	1672	1682	1739	0
Gm14308	1202.000000	0	917	1672	1682	1739	0
Usp20	1196.800000	902	1294	1558	634	1596	0
BC005624	1196.800000	902	1294	1558	634	1596	0
Gm14440	1195.400000	0	1011	1551	1570	1845	0
Cox8a	1195.200000	1377	967	1540	424	1668	0
Mre11a	1192.200000	906	936	1659	568	1892	0
Ankrd49	1192.200000	906	936	1659	568	1892	0
Gm32856	1191.400000	633	557	1864	847	2056	0
Tcstv3	1190.000000	0	733	1897	1543	1777	0
Gm14295	1183.600000	0	824	1520	1778	1796	0
Setd5	1183.000000	1559	1085	1363	588	1320	0
Cetn4	1179.400000	1409	1278	1321	529	1360	0
Bbs12	1179.400000	1409	1278	1321	529	1360	0
Tmtc4	1175.800000	1129	1242	1382	620	1506	0
Gm6710	1175.600000	156	806	1598	1491	1827	0
Gm14391	1175.600000	156	806	1598	1491	1827	0
Adrm1	1171.400000	1168	1592	1201	750	1146	0
Zfp965	1171.200000	0	851	1513	1607	1885	0
Gm14296	1170.800000	0	906	1484	1790	1674	0
Hnrnpa0	1170.600000	1727	1349	1391	489	897	0
AU041133	1169.600000	952	1457	1229	823	1387	0
Sfxn5	1168.800000	1000	821	1616	819	1588	0
Grpel1	1168.200000	1020	1215	1385	704	1517	0
Klhl25	1168.000000	1100	1466	1334	499	1441	0
D5Ertd579e	1167.000000	1038	1406	1721	353	1317	0
Spire1	1166.800000	794	1375	1773	282	1610	0
Strn3	1166.000000	789	985	1675	585	1796	0
Ap4s1	1166.000000	789	985	1675	585	1796	0
Traf7	1163.200000	671	873	1688	867	1717	0
Cops4	1163.200000	1106	1113	1226	754	1617	0
Prpf8	1161.600000	1111	1188	1201	737	1571	0
Polr1d	1157.600000	841	910	1866	577	1594	0
Lnx2	1157.600000	841	910	1866	577	1594	0
Ensa	1154.600000	785	919	1718	575	1776	0
Sun1	1154.400000	1221	1180	1460	512	1399	0
Prkd2	1146.200000	1350	1136	1433	505	1307	0
Tcp1	1140.000000	1013	995	1390	903	1399	0
Mrpl18	1140.000000	1013	995	1390	903	1399	0
Rnf20	1139.600000	924	944	1614	783	1433	0
Nr3c2	1139.600000	1671	1884	634	659	850	0
Zfp970	1138.200000	0	878	1561	1534	1718	0
Tmem9	1133.400000	1553	1218	1051	604	1241	0
Ube2s	1133.000000	1056	1016	1467	571	1555	0
Pde4a	1131.000000	254	651	2070	766	1914	0
Cldn34d	1129.800000	575	820	1591	963	1700	0
Foxk2	1129.600000	1565	1628	1122	400	933	0
Ube2c	1129.200000	1148	1477	1216	533	1272	0
Nnt	1129.200000	609	887	1771	468	1911	0
Actn1	1128.800000	657	1424	1500	750	1313	0
Vsir	1128.000000	904	881	1422	679	1754	0
Zmym5	1127.000000	1413	1429	1191	690	912	0
Kat7	1124.600000	1120	1178	1459	465	1401	0
Hinfp	1124.000000	1076	1112	1254	916	1262	0
Dcaf4	1119.200000	943	785	1497	491	1880	0
Ubtd1	1118.400000	1038	1235	1393	632	1294	0
Mms19	1118.400000	1038	1235	1393	632	1294	0
Brpf1	1116.400000	140	522	1853	856	2211	0
Galnt18	1114.400000	1097	1605	1248	508	1114	0
Pnn	1112.400000	1221	1401	1388	554	998	0
Tedc1	1106.200000	1063	1030	1106	825	1507	0
Crip1	1106.200000	1063	1030	1106	825	1507	0
Tmem160	1105.200000	1136	1135	1200	468	1587	0
2510002D24Rik	1104.400000	1985	1729	142	1434	232	0
Hspa8	1103.000000	975	1136	1534	784	1086	0
Mief2	1098.200000	1159	833	1419	433	1647	0
Flii	1098.200000	1159	833	1419	433	1647	0
Asph	1098.200000	1093	1122	1201	973	1102	0
Otud5	1095.200000	686	705	1747	659	1679	0
Tmem218	1092.800000	571	727	1607	695	1864	0
Zfp788	1089.200000	1075	1052	1271	549	1499	0
Glce	1088.800000	1243	1009	1232	737	1223	0
Jarid2	1088.600000	876	1027	1505	643	1392	0
Zfp781	1088.400000	0	1005	1597	837	2003	0
Gm3055	1088.400000	0	1005	1597	837	2003	0
Otub2	1084.800000	1116	1327	1092	657	1232	0
Rspry1	1083.400000	0	0	2401	340	2676	0
Psme3ip1	1083.400000	0	0	2401	340	2676	0
Nbr1	1083.000000	1194	1133	1206	494	1388	0
Brca1	1083.000000	1194	1133	1206	494	1388	0
Stip1	1082.600000	983	1088	1318	591	1433	0
Cdkn1b	1082.200000	621	635	1727	698	1730	0
Glrx5	1082.000000	1254	1318	966	648	1224	0
Zfp935	1081.400000	574	760	1526	544	2003	0
Dynll1	1077.200000	891	1242	1384	554	1315	0
Bnip3l	1077.000000	1676	1356	1001	526	826	0
Herpud1	1075.000000	631	605	1559	963	1617	0
Abca7	1072.800000	1342	1138	1330	507	1047	0
Wdcp	1072.400000	597	970	1552	336	1907	0
Rbm4	1072.000000	918	959	1391	644	1448	0
Orai3	1071.200000	926	1117	1404	576	1333	0
Mboat2	1068.800000	1159	1012	1471	444	1258	0
Got1	1068.800000	707	558	1593	859	1627	0
Rnf185	1066.800000	150	443	2181	210	2350	0
Zdhhc24	1065.400000	925	989	1154	760	1499	0
Actn3	1065.400000	925	989	1154	760	1499	0
Brpf3	1062.000000	1152	1436	1040	586	1096	0
Mafa	1059.200000	650	939	1621	618	1468	0
Arf2	1058.000000	667	1037	1474	562	1550	0
Akr1e1	1055.200000	477	458	1746	683	1912	0
Rab5c	1053.200000	901	933	1301	546	1585	0
Pdpk1	1048.800000	865	1221	1311	754	1093	0
Hnrnpab	1045.600000	1054	1195	1311	291	1377	0
H2az2	1042.800000	789	808	1495	321	1801	0
Alkbh5	1038.400000	482	841	1503	446	1920	0
Eea1	1036.200000	1230	981	1438	387	1145	0
Med7	1036.000000	903	853	1670	317	1437	0
Usp5	1026.200000	723	874	1427	532	1575	0
Cdca3	1026.200000	723	874	1427	532	1575	0
Arrdc3	1026.200000	616	1620	1415	218	1262	0
Zfp934	1025.000000	449	628	1254	898	1896	0
Pgk1	1023.200000	923	716	1637	778	1062	0
Otx1	1021.600000	307	892	1670	414	1825	0
Wdr75	1017.400000	253	298	1894	423	2219	0
Ssbp2	1013.800000	1378	971	1111	439	1170	0
Zbed5	1001.000000	970	1126	1126	600	1183	0
Pnkd	1000.400000	959	1375	1317	351	1000	0
Aamp	1000.400000	959	1375	1317	351	1000	0
Crebrf	1000.000000	1285	991	1316	594	814	0
Rab8a	998.600000	970	1145	1140	657	1081	0
Nedd4l	997.800000	97	267	2004	0	2621	0
Spry1	994.800000	621	749	1358	403	1843	0
N6amt1	988.800000	1010	1028	1118	767	1021	0
Mllt1	988.400000	725	1287	1246	537	1147	0
Camta1	986.800000	1561	1367	768	460	778	0
Stac2	984.200000	168	1080	1604	326	1743	0
Zfp975	983.600000	606	529	1325	569	1889	0
Zfp157	983.400000	521	596	1483	705	1612	0
Col5a1	982.600000	392	267	1599	1025	1630	0
Gm14322	981.600000	0	1096	1130	1423	1259	0
Azin1	978.800000	719	632	1309	620	1614	0
Grb2	977.800000	1007	789	859	797	1437	0
Nap1l4	976.000000	934	1149	1200	394	1203	0
Pax9	975.600000	1030	1442	1213	0	1193	0
Zfp808	974.800000	314	716	1399	673	1772	0
Krt13	974.800000	0	0	2034	519	2321	0
Cacna1g	973.600000	164	0	2035	439	2230	0
Maf	973.200000	283	432	1805	519	1827	0
Per3	968.800000	815	1421	1167	434	1007	0
Mprip	967.800000	1112	1208	1382	338	799	0
Zdhhc9	965.000000	859	709	1210	654	1393	0
Oxr1	961.400000	274	138	1764	243	2388	0
Nfia	954.600000	614	640	1278	698	1543	0
Zranb3	954.400000	891	945	1094	402	1440	0
R3hdm1	954.400000	891	945	1094	402	1440	0
Zfp951	953.400000	467	1055	760	1766	719	0
Mvd	953.200000	468	426	1720	431	1721	0
Chpf2	953.000000	1124	401	1418	417	1405	0
Rnf13	952.800000	818	938	1264	546	1198	0
Fam76b	951.600000	1042	714	1053	556	1393	0
Cep57	951.600000	1042	714	1053	556	1393	0
Ubr3	951.400000	104	143	1960	385	2165	0
Add1	949.400000	575	280	1543	414	1935	0
Tepsin	949.000000	896	1101	1236	366	1146	0
Ndufaf8	949.000000	896	1101	1236	366	1146	0
Clstn3	947.600000	1425	1330	831	154	998	0
Sort1	944.400000	949	1115	1090	246	1322	0
Man1a	941.000000	1326	973	1019	436	951	0
Tusc2	939.200000	914	798	1005	577	1402	0
Pgp	938.600000	693	764	1493	351	1392	0
Bricd5	938.600000	693	764	1493	351	1392	0
Elac2	935.400000	763	972	1147	446	1349	0
Brox	932.200000	322	970	1253	718	1398	0
Aida	932.200000	322	970	1253	718	1398	0
Zfp40	932.000000	757	1046	1214	437	1206	0
Mucl3	931.800000	372	1003	1105	623	1556	0
Marchf2	925.000000	797	522	1486	494	1326	0
Fdxr	920.600000	1044	814	1119	500	1126	0
Kbtbd3	920.000000	712	798	1122	541	1427	0
Aasdhppt	920.000000	712	798	1122	541	1427	0
Zfp939	917.600000	588	681	1247	622	1450	0
Gm5141	916.400000	303	546	1384	720	1629	0
Il23a	915.400000	0	1792	0	0	2785	0
Ccdc194	908.000000	549	525	1481	312	1673	0
Pradc1	907.600000	473	552	1717	312	1484	0
Cct7	907.600000	473	552	1717	312	1484	0
Sdc2	907.000000	0	542	1556	649	1788	0
Prcp	907.000000	1071	1011	1031	410	1012	0
Ddias	907.000000	1071	1011	1031	410	1012	0
Nck1	906.800000	696	994	1078	529	1237	0
Cish	905.800000	643	574	1147	652	1513	0
Dpy19l3	904.600000	986	1080	985	395	1077	0
2010315B03Rik	900.600000	0	476	1369	916	1742	0
Id2	896.000000	858	1210	742	554	1116	0
Mbnl2	895.000000	524	494	1351	343	1763	0
Anapc5	893.400000	132	103	1716	430	2086	0
Mecp2	891.800000	662	704	1171	455	1467	0
Spcs3	885.000000	500	154	1662	693	1416	0
Cetn3	883.200000	517	733	1310	477	1379	0
Zfp473	882.400000	159	492	1633	259	1869	0
Vrk3	882.400000	159	492	1633	259	1869	0
Vsig10l	878.200000	122	205	1706	355	2003	0
Dtx4	877.000000	283	528	1414	485	1675	0
Khdc4	874.600000	349	276	1502	437	1809	0
Atg9b	872.400000	987	720	1253	409	993	0
Abcb8	872.400000	987	720	1253	409	993	0
1810013L24Rik	871.600000	735	784	1144	495	1200	0
LTO1	871.000000	649	689	1250	262	1505	0
Zfp367	867.800000	1307	865	779	387	1001	0
Tpp2	867.800000	515	567	1206	229	1822	0
Hdac4	866.600000	1248	1148	940	382	615	0
Gramd3	865.200000	452	599	1416	450	1409	0
Stat3	862.200000	596	628	1505	329	1253	0
Tle1	861.600000	679	1170	1071	382	1006	0
Sdhaf1	861.000000	1026	766	1001	415	1097	0
2610008E11Rik	860.000000	830	949	1092	343	1086	0
BC024063	859.800000	976	1473	229	1247	374	0
Slc4a7	859.400000	1015	792	1044	475	971	0
Ubp1	859.200000	542	1181	941	522	1110	0
2610044O15Rik8	858.200000	163	626	1277	866	1359	0
Nova1	858.000000	1843	1689	0	758	0	0
Nrxn2	857.000000	804	955	1027	328	1171	0
Gls	856.400000	245	458	1323	372	1884	0
Oip5	855.000000	345	638	1299	543	1450	0
Nusap1	855.000000	345	638	1299	543	1450	0
Meis2	855.000000	223	554	1392	331	1775	0
Copz1	853.600000	393	611	1219	476	1569	0
Gabarapl2	852.800000	265	416	1648	261	1674	0
Onecut2	847.200000	796	1039	875	426	1100	0
Chchd5	846.200000	626	572	1207	583	1243	0
Cactin	846.000000	589	760	1396	288	1197	0
Ypel5	845.600000	813	850	1226	379	960	0
Atp5e	845.200000	864	983	958	536	885	0
Hs3st3b1	845.000000	1241	1620	466	549	349	0
Cdk16	843.400000	280	470	1439	489	1539	0
Exoc1	841.200000	685	814	1083	474	1150	0
Atf2	841.200000	789	759	1138	242	1278	0
Spryd7	841.000000	921	932	1026	401	925	0
Ercc6l2	840.600000	296	610	1355	294	1648	0
Usf3	838.400000	583	848	1007	617	1137	0
Ints3	837.400000	945	871	971	403	997	0
Gle1	837.000000	667	1047	823	416	1232	0
Haus7	836.800000	451	494	1286	484	1469	0
Stil	836.000000	556	508	1556	293	1267	0
Sh2d3c	831.400000	500	893	965	762	1037	0
Mapk9	830.600000	889	1096	938	270	960	0
Rtn4	829.600000	575	892	1046	491	1144	0
Zfp345	827.200000	0	1629	765	1114	628	0
Tsen2	826.600000	163	686	1574	295	1415	0
Grk6	825.800000	812	785	851	426	1255	0
Tbc1d10a	824.400000	692	779	1142	296	1213	0
Zfp36l1	822.600000	480	638	1085	519	1391	0
Akap13	822.000000	620	927	980	522	1061	0
Arhgef1	819.000000	947	601	1053	330	1164	0
Hsdl2	815.800000	588	666	1305	365	1155	0
Txn2	814.600000	506	354	1417	426	1370	0
Rsph4a	813.200000	878	1492	767	0	929	0
Rad51d	812.800000	469	683	1524	282	1106	0
Fndc8	812.800000	469	683	1524	282	1106	0
Maml1	812.200000	811	900	1016	420	914	0
Kmt5a	811.800000	477	849	1189	261	1283	0
Ybx1	811.200000	878	985	694	602	897	0
Anks3	809.400000	721	801	962	504	1059	0
4930451G09Rik	809.400000	721	801	962	504	1059	0
Irf8	806.800000	1462	2137	252	0	183	0
Ephb3	801.600000	588	1020	913	687	800	0
Tmed5	800.600000	386	533	1172	332	1580	0
Ccdc18	800.600000	386	533	1172	332	1580	0
Triqk	799.000000	587	499	1172	582	1155	0
Zfyve21	797.200000	814	583	1082	281	1226	0
Xrcc3	797.200000	814	583	1082	281	1226	0
Rps6ka5	795.400000	797	775	1011	171	1223	0
Erlin1	794.800000	263	384	1563	271	1493	0
Cbx8	794.400000	843	573	1108	261	1187	0
Ap1m2	794.400000	1025	1752	535	0	660	0
Zfp937	792.400000	583	815	752	872	940	0
Srsf4	791.200000	960	1047	996	319	634	0
Rhob	791.200000	819	938	1159	143	897	0
Gls2	789.800000	1163	846	776	276	888	0
Sh3glb2	785.600000	402	387	983	726	1430	0
Miga2	785.600000	402	387	983	726	1430	0
Tbx18	785.200000	110	914	983	481	1438	0
Nono	781.800000	534	557	1220	405	1193	0
Trappc2l	779.400000	755	692	1036	384	1030	0
Galns	779.400000	755	692	1036	384	1030	0
Ulk4	777.400000	517	533	1091	487	1259	0
Mapre1	777.200000	861	811	915	187	1112	0
Pygb	771.600000	551	731	1072	301	1203	0
2900026A02Rik	769.600000	672	728	935	224	1289	0
Smad2	768.600000	1118	1063	744	169	749	0
Mef2d	768.600000	481	815	1173	482	892	0
Tmem97	768.000000	637	748	1033	439	983	0
Ssr4	766.200000	427	419	1024	583	1378	0
Luc7l2	766.200000	822	728	943	233	1105	0
Idh3g	766.200000	427	419	1024	583	1378	0
Gbe1	763.200000	572	959	840	395	1050	0
Gid4	762.000000	446	707	1246	190	1221	0
Brsk2	761.200000	776	1518	547	135	830	0
Gm20939	759.800000	126	310	1434	367	1562	0
Hsd17b12	759.400000	817	892	863	443	782	0
Atp6ap2	758.800000	703	288	970	510	1323	0
Creb3l2	758.200000	573	575	1008	509	1126	0
AW146154	755.600000	749	757	899	382	991	0
Zfp442	754.800000	594	838	704	774	864	0
Epb41	753.800000	650	983	739	609	788	0
Tmem134	753.200000	222	452	1075	424	1593	0
Aip	753.200000	222	452	1075	424	1593	0
Tle4	750.400000	377	1086	1004	211	1074	0
Pcyox1l	747.400000	488	422	1210	463	1154	0
Hoxc9	746.200000	152	0	1712	0	1867	0
Gnas	746.200000	615	798	842	556	920	0
Gm10130	746.000000	454	594	932	554	1196	0
Zfp810	745.600000	1158	1459	432	118	561	0
Ercc2	745.600000	939	589	909	248	1043	0
Gm14124	744.400000	0	1539	697	915	571	0
6720489N17Rik	743.200000	412	650	961	490	1203	0
Polr3f	742.200000	489	598	1160	215	1249	0
Dzank1	742.200000	489	598	1160	215	1249	0
Tmem161a	741.400000	393	337	1080	582	1315	0
Specc1	740.000000	785	620	904	481	910	0
Slc41a1	738.400000	749	931	737	384	891	0
Hmgn1	737.800000	766	744	984	461	734	0
Pdzd2	735.400000	458	809	1005	387	1018	0
Pigyl	731.200000	687	818	703	407	1041	0
Tubb4b	730.200000	509	763	870	289	1220	0
Crlf3	727.200000	339	729	1004	474	1090	0
Egf	727.000000	625	355	1396	300	959	0
Hoxb9	726.000000	153	0	1370	207	1900	0
Arhgef9	725.400000	0	0	1344	524	1759	0
Ankrd10	725.200000	332	728	1273	370	923	0
Rbl2	723.600000	0	192	1515	340	1571	0
Zfp945	722.200000	460	762	800	528	1061	0
Mlycd	721.600000	0	162	1302	355	1789	0
Sin3a	719.600000	801	898	658	577	664	0
Ss18l2	717.600000	734	586	889	330	1049	0
Ciz1	717.600000	114	188	1183	581	1522	0
Srebf2	711.200000	75	312	1373	148	1648	0
Rbm39	711.000000	565	451	928	439	1172	0
Mcm7	709.600000	587	673	807	330	1151	0
Ap4m1	709.600000	587	673	807	330	1151	0
Zfp469	709.000000	0	93	1241	368	1843	0
Dzip3	707.400000	537	843	857	558	742	0
Cip2a	707.400000	537	843	857	558	742	0
Tmx2	705.600000	539	731	818	452	988	0
Med19	705.600000	539	731	818	452	988	0
Cd320	703.600000	651	317	1014	550	986	0
Zfp619	703.400000	851	664	822	279	901	0
Gpr158	702.000000	1081	1417	300	161	551	0
Map3k9	701.000000	1192	1387	419	324	183	0
Kctd7	700.600000	518	740	956	465	824	0
Gm36298	698.600000	307	608	964	521	1093	0
Etv1	696.800000	194	750	1101	176	1263	0
Eif4g2	696.600000	639	505	1129	217	993	0
Nemp1	696.200000	590	893	892	289	817	0
Ruvbl1	695.800000	346	518	1112	278	1225	0
Ska2	695.400000	266	140	1378	0	1693	0
Prr11	695.400000	266	140	1378	0	1693	0
Enpp5	694.600000	833	987	560	513	580	0
Uxs1	693.800000	856	1030	721	122	740	0
Pknox2	692.000000	0	228	1446	0	1786	0
Ing1	691.400000	470	535	860	427	1165	0
Cdc25a	691.000000	502	528	930	342	1153	0
Suv39h1	689.800000	288	595	925	364	1277	0
Tspan15	688.800000	302	505	1293	0	1344	0
Otud4	687.000000	0	0	1639	0	1796	0
Zfp160	686.800000	613	451	951	244	1175	0
Pnpo	686.400000	259	247	1378	160	1388	0
Zfp91	685.800000	556	778	876	305	914	0
Nadk2	685.800000	361	606	1152	271	1039	0
Lpxn	685.800000	556	778	876	305	914	0
Tcf3	684.600000	388	609	1074	330	1022	0
Ddx24	683.200000	367	666	1019	416	948	0
Zfp101	682.800000	610	451	849	385	1119	0
4930451I11Rik	681.800000	828	1530	512	0	539	0
Brd4	681.000000	251	257	1353	229	1315	0
Chmp1b	680.800000	593	887	825	323	776	0
Hook1	680.600000	1244	1673	276	0	210	0
Tspan4	680.200000	631	1136	744	0	890	0
Polr2l	680.200000	631	1136	744	0	890	0
Smpd1	679.800000	631	403	889	244	1232	0
Msh5	678.800000	840	429	961	336	828	0
Clic1	678.800000	840	429	961	336	828	0
Serpine1	678.600000	542	213	1244	279	1115	0
Ppp2r5e	675.600000	815	673	720	330	840	0
Ddx50	675.600000	657	707	741	324	949	0
Rhot1	674.800000	163	245	1485	0	1481	0
Fut8	668.600000	587	720	930	205	901	0
Rps29	668.000000	739	786	830	248	737	0
Slc5a5	667.400000	416	450	985	544	942	0
Rpl18a	667.400000	416	450	985	544	942	0
Vamp9	665.800000	1152	1592	0	585	0	0
Zfp976	665.400000	475	532	882	283	1155	0
U2af1l4	665.400000	678	860	816	197	776	0
Psenen	665.400000	678	860	816	197	776	0
Lin37	665.400000	678	860	816	197	776	0
Igflr1	665.400000	678	860	816	197	776	0
3300002I08Rik	664.200000	273	642	914	361	1131	0
Shc1	663.600000	401	262	1124	260	1271	0
Cks1b	663.600000	401	262	1124	260	1271	0
Ppp1r3f	663.200000	458	432	986	429	1011	0
Pcx	661.600000	662	502	773	315	1056	0
Oaz1	661.000000	394	627	802	194	1288	0
Mea1	659.600000	466	537	985	303	1007	0
Klhdc3	659.600000	466	537	985	303	1007	0
Pimreg	659.200000	630	558	1006	268	834	0
Aipl1	659.200000	630	558	1006	268	834	0
Zfp995	658.400000	396	646	804	549	897	0
Trip4	657.000000	0	0	1230	581	1474	0
Ccdc102a	652.400000	612	535	814	468	833	0
Zw10	651.000000	207	471	1050	290	1237	0
Trib2	651.000000	372	944	922	135	882	0
Cldn25	651.000000	207	471	1050	290	1237	0
Ppp2r1a	650.400000	597	386	852	420	997	0
Gm17455	648.400000	0	0	1634	223	1385	0
Snx25	647.800000	664	584	847	315	829	0
Zbtb45	647.200000	531	711	836	172	986	0
Nphp4	647.000000	1071	1447	0	717	0	0
Kcnab2	647.000000	1071	1447	0	717	0	0
Ipo13	646.400000	560	820	874	213	765	0
Bbs9	645.200000	738	784	750	305	649	0
Cdk19	643.600000	600	657	852	218	891	0
Foxo3	641.000000	545	564	861	484	751	0
Tspan33	640.200000	502	460	744	485	1010	0
Eif5a	640.200000	453	474	1098	208	968	0
Lamtor4	639.800000	630	857	746	205	761	0
Gatad2b	639.200000	451	842	745	304	854	0
Zfp972	637.200000	0	895	1091	0	1200	0
Rara	635.000000	146	240	1117	350	1322	0
Tcaim	634.200000	277	367	1026	265	1236	0
Zbtb18	633.600000	942	710	730	361	425	0
Trim9	632.800000	1111	1325	184	0	544	0
Pclaf	632.800000	0	0	1230	581	1353	0
Pms2	631.200000	210	286	1020	146	1494	0
Aimp2	631.200000	210	286	1020	146	1494	0
Ssbp3	630.800000	1079	628	628	204	615	0
Entpd4b	627.600000	377	815	1000	0	946	0
Entpd4	627.600000	377	815	1000	0	946	0
Nmt1	627.200000	549	515	751	374	947	0
Klf9	627.000000	612	530	935	208	850	0
Abhd11	625.400000	358	788	840	214	927	0
Vbp1	625.200000	413	413	1006	274	1020	0
Rbm46	623.800000	1336	1783	0	0	0	0
Wbp1l	622.400000	565	521	676	503	847	0
Gm21814	621.800000	1108	1474	0	362	165	0
Adipor1	620.800000	398	471	994	227	1014	0
Ect2	619.200000	182	220	1189	259	1246	0
Tesk2	617.800000	342	410	1026	237	1074	0
Chchd2	615.200000	570	446	790	419	851	0
Proser3	614.800000	554	674	780	195	871	0
Hspb6	614.800000	554	674	780	195	871	0
Pla2g6	614.400000	183	527	936	339	1087	0
Csf2ra	614.400000	618	1039	488	206	721	0
Pspn	611.000000	651	592	456	445	911	0
Alkbh7	611.000000	651	592	456	445	911	0
Tle6	610.000000	1129	953	357	127	484	0
Tprgl	608.200000	409	766	810	237	819	0
Gm3325	604.600000	258	450	814	437	1064	0
F11r	601.200000	267	1724	473	0	542	0
Meis1	599.200000	163	142	914	231	1546	420
Ano10	598.200000	616	506	759	262	848	0
Trrap	597.600000	0	0	1136	228	1624	0
Chd8	593.600000	0	268	1202	0	1498	0
Ncam1	592.600000	222	304	1198	196	1043	0
D130040H23Rik	592.000000	606	647	502	745	460	0
Vps35	590.800000	0	154	979	340	1481	0
Orc6	590.800000	0	154	979	340	1481	0
Ndufs2	589.800000	194	448	840	560	907	0
Adamts4	589.800000	194	448	840	560	907	0
Rfx3	588.600000	462	586	934	317	644	0
Smc4	588.000000	392	626	851	274	797	0
Ift80	588.000000	392	626	851	274	797	0
Clcn4	587.000000	642	195	841	218	1039	0
Ap3m2	586.800000	252	0	1055	339	1288	0
Chd2	586.200000	277	423	987	256	988	0
Zfp280c	585.000000	390	223	1072	203	1037	0
Disp1	580.400000	0	0	1078	472	1352	0
Sec16a	580.200000	332	661	943	213	752	0
Ddx20	579.000000	234	233	1230	0	1198	0
Pank2	578.600000	372	420	832	453	816	0
Rpusd1	576.600000	581	468	663	395	776	0
Chtf18	576.600000	581	468	663	395	776	0
Rfx2	576.400000	127	691	763	487	814	0
Ppp1r16a	575.200000	152	297	970	157	1300	0
Foxh1	575.200000	152	297	970	157	1300	0
Gng7	574.000000	542	910	557	135	726	0
Kdm7a	572.400000	214	321	856	148	1323	0
Plaa	571.200000	500	611	787	176	782	0
Nubp1	571.200000	642	514	662	377	661	0
Txlna	570.800000	555	645	703	279	672	0
Ctdspl	570.600000	662	728	620	173	670	0
Ung	569.400000	0	0	1407	0	1440	0
Alkbh2	569.400000	0	0	1407	0	1440	0
Pbx3	569.200000	458	254	1124	0	1010	0
Whamm	568.000000	543	581	786	162	768	0
Fsd2	568.000000	543	581	786	162	768	0
C1qtnf6	568.000000	145	0	1115	208	1372	0
Dock9	566.600000	452	470	864	162	885	0
Cers6	566.200000	441	612	566	442	770	0
Nabp2	566.000000	192	345	1169	176	948	0
Olfr91	563.000000	0	0	1366	194	1255	0
Olfr90	563.000000	0	0	1366	194	1255	0
Fastkd1	562.800000	436	310	899	265	904	0
Mbd4	561.800000	450	387	825	148	999	0
Ift122	561.800000	450	387	825	148	999	0
Tcea3	560.800000	0	135	989	600	1080	0
Mxd4	559.400000	391	440	802	282	882	0
Ing3	559.400000	272	0	1068	239	1218	0
Golim4	554.800000	439	304	864	240	927	0
Rab28	554.200000	185	265	997	309	1015	0
Rrp9	553.200000	0	0	1064	450	1252	0
Parp3	553.200000	0	0	1064	450	1252	0
Tspyl1	552.200000	431	339	877	0	1114	0
Wasf2	551.200000	578	746	601	276	555	0
Prrt2	550.600000	139	492	913	109	1100	0
Pagr1a	550.600000	139	492	913	109	1100	0
Mvp	550.600000	139	492	913	109	1100	0
Cep57l1	549.600000	282	370	851	148	1097	0
Zfp326	549.200000	787	636	763	172	388	0
Kpna1	549.200000	256	390	674	368	1058	0
Asmt	549.000000	0	251	888	470	1136	0
Tubb5	548.800000	549	876	583	234	502	0
Snx18	548.800000	235	102	764	360	1283	0
Mdc1	548.800000	549	876	583	234	502	0
Muc1	547.000000	254	402	913	176	990	0
Zc3h7a	546.200000	263	117	1047	199	1105	0
Six2	546.000000	474	996	727	0	533	0
Wdpcp	544.000000	355	557	696	356	756	0
Mdh1	544.000000	355	557	696	356	756	0
Rita1	538.800000	620	626	585	188	675	0
Ddx54	538.800000	620	626	585	188	675	0
Asb1	536.800000	352	192	967	203	970	0
Kri1	536.400000	385	277	898	331	791	0
Cdkn2d	536.400000	385	277	898	331	791	0
Fam76a	536.000000	901	912	246	202	419	0
Zfp964	535.200000	512	530	692	319	623	0
