Target_genes	Mafk|Average	SRX140361|CH12	SRX16499736|ES_cells	SRX16499737|ES_cells	SRX188829|ES_cells	SRX140362|MEL	SRX188826|MEL	SRX3937205|NIH/3T3	SRX3937206|NIH/3T3	SRX3937207|NIH/3T3	SRX3937208|NIH/3T3	SRX3937210|RAW_264.7	SRX3937211|RAW_264.7	SRX3937212|RAW_264.7	SRX3730249|Trophoblast_stem_cells	SRX3730250|Trophoblast_stem_cells	SRX3730280|Trophoblast_stem_cells	STRING
Trim12c	85.187500	334	0	0	0	141	0	0	0	0	0	0	0	0	386	0	502	0
Smim17	85.187500	0	65	127	178	492	0	0	0	0	0	0	0	0	137	0	364	0
Ybey	85.125000	209	237	0	282	77	0	0	134	0	0	0	0	0	229	0	194	0
Mcm3ap	85.125000	209	237	0	282	77	0	0	134	0	0	0	0	0	229	0	194	0
Fkbp6	85.125000	0	0	116	190	339	0	0	0	0	0	189	199	253	0	0	76	0
Tigd4	85.062500	0	208	270	449	0	0	0	0	0	0	0	229	205	0	0	0	0
Igfbp2	85.000000	496	267	184	413	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr146	85.000000	0	163	144	302	651	100	0	0	0	0	0	0	0	0	0	0	0
Erlin2	85.000000	149	231	170	364	107	0	0	0	0	0	0	0	0	95	0	244	0
Nfxl1	84.937500	103	203	0	203	0	0	0	0	0	0	0	175	114	214	0	347	0
H2bc21	84.937500	300	0	0	84	264	107	0	0	0	0	0	200	290	0	0	114	0
H2ac21	84.937500	300	0	0	84	264	107	0	0	0	0	0	200	290	0	0	114	0
H2ac20	84.937500	300	0	0	84	264	107	0	0	0	0	0	200	290	0	0	114	0
Dock2	84.937500	530	0	0	0	222	0	0	0	0	0	132	238	237	0	0	0	0
Chst12	84.937500	131	0	95	145	95	0	0	131	156	0	0	76	0	141	0	389	0
Kcng3	84.875000	0	145	292	355	0	0	0	0	0	0	0	0	0	0	0	566	0
C1galt1	84.875000	88	0	0	0	0	0	262	316	205	220	0	0	0	101	0	166	0
Phb	84.812500	128	0	0	0	113	0	0	142	0	0	0	0	116	300	0	558	0
Ttc25	84.687500	957	0	0	0	98	0	0	0	0	0	0	0	0	111	0	189	0
Birc5	84.687500	126	0	0	0	103	0	0	0	0	0	102	276	307	176	0	265	0
Map2k6	84.625000	645	0	0	0	133	0	0	0	0	0	0	0	0	0	0	576	0
Gpc5	84.625000	197	128	0	167	0	0	110	0	172	0	125	235	220	0	0	0	0
Memo1	84.500000	0	0	121	160	219	0	0	0	0	0	0	87	172	195	0	398	0
Gmfb	84.500000	165	0	0	0	124	0	0	289	206	153	0	0	0	193	0	222	0
Eci2	84.500000	179	0	0	104	97	0	78	140	174	149	110	109	144	0	0	68	0
Lama5	84.375000	0	235	336	525	0	0	0	0	0	0	0	0	0	254	0	0	0
Slc50a1	84.312500	184	0	0	109	208	101	0	0	0	0	0	0	0	147	0	600	0
Pear1	84.312500	105	0	0	0	0	0	291	249	259	286	0	159	0	0	0	0	0
Clcc1	84.312500	0	0	0	0	0	0	0	0	0	0	0	0	0	845	0	504	0
C1qb	84.312500	1237	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0
Txndc9	84.187500	126	0	0	0	0	0	130	0	114	112	97	165	208	154	0	241	0
Ncan	84.062500	1345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp1b1	84.062500	0	148	159	306	0	0	0	0	75	0	134	242	281	0	0	0	0
Pgam2	84.000000	166	144	101	244	186	0	0	0	0	0	0	0	129	141	0	233	0
Tsc2	83.937500	187	0	0	114	320	0	0	0	0	0	0	0	0	346	0	376	0
Nthl1	83.937500	187	0	0	114	320	0	0	0	0	0	0	0	0	346	0	376	0
Mrm1	83.937500	154	0	0	0	568	368	0	0	0	0	0	0	0	0	0	253	0
Mrgbp	83.937500	517	150	116	216	0	0	0	0	0	0	0	0	0	0	0	344	0
Zfp94	83.875000	222	0	0	0	107	0	0	0	0	0	0	0	0	378	0	635	0
Dido1	83.875000	139	0	0	0	198	0	0	146	133	0	0	176	275	0	0	275	0
Pcdh12	83.812500	827	0	0	0	0	0	0	0	0	0	0	0	0	159	0	355	0
Fam136a	83.812500	342	153	0	214	95	0	0	0	0	0	140	137	260	0	0	0	0
Zfp446	83.750000	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	931	0
Fis1	83.687500	0	175	353	500	0	0	0	0	0	0	0	0	0	0	0	311	0
Mrpl21	83.625000	149	0	0	0	92	0	0	0	0	0	0	0	0	568	0	529	0
Ighmbp2	83.625000	149	0	0	0	92	0	0	0	0	0	0	0	0	568	0	529	0
Ifnz	83.625000	0	0	0	0	315	342	0	0	0	0	0	0	0	186	0	495	0
Poldip3	83.500000	447	0	96	168	521	0	0	0	0	0	0	0	0	0	0	104	0
Treml4	83.437500	0	86	164	251	272	0	0	0	0	0	0	0	0	0	0	562	0
Gm34066	83.437500	203	297	160	411	137	0	0	0	0	0	0	0	127	0	0	0	0
Gm13283	83.437500	0	0	0	0	373	292	0	0	0	0	0	0	0	269	0	401	0
Virma	83.250000	108	126	0	154	366	109	0	0	0	0	0	155	143	0	0	171	0
Mrps31	83.250000	319	0	0	164	229	0	0	0	0	0	0	0	0	206	0	414	0
Gpx2	83.187500	0	226	416	581	0	108	0	0	0	0	0	0	0	0	0	0	0
Dnpep	83.187500	211	0	0	0	275	142	0	212	0	0	0	150	152	0	0	189	0
Gls2	83.062500	116	0	0	108	313	0	0	183	161	0	0	0	0	230	0	218	0
Prag1	83.000000	0	0	0	133	0	0	105	0	0	122	121	302	369	0	0	176	0
Txlng	82.937500	140	0	0	0	176	181	0	0	0	0	0	0	0	286	0	544	0
Tbcd	82.937500	265	0	0	135	231	161	0	0	0	0	0	0	0	114	0	421	0
Stx16	82.875000	197	0	0	0	343	154	0	0	0	0	0	0	0	323	0	309	0
Gse1	82.875000	480	0	0	184	386	130	0	0	0	0	0	0	0	146	0	0	0
Eif4ebp2	82.875000	315	181	136	314	0	0	104	0	0	0	0	0	0	133	0	143	0
Ank3	82.875000	215	178	267	476	0	0	0	0	0	0	0	0	0	190	0	0	0
Steap1	82.687500	0	0	0	0	0	0	186	383	264	149	0	0	0	187	0	154	0
Crtap	82.687500	0	0	0	109	721	399	0	0	0	0	0	94	0	0	0	0	0
Ptgr1	82.625000	0	0	200	245	212	0	0	0	103	0	0	0	0	0	0	562	0
Tll1	82.562500	0	105	184	265	0	0	174	249	152	192	0	0	0	0	0	0	0
Phf10	82.562500	162	0	0	0	196	0	149	232	0	0	0	264	318	0	0	0	0
Sh3bp2	82.500000	240	0	0	0	99	0	0	170	0	0	170	337	149	0	0	155	0
Scn2a	82.500000	131	122	0	144	0	0	160	192	194	161	0	0	0	0	0	216	0
Tbc1d14	82.375000	0	0	0	0	0	0	0	0	0	0	0	0	0	772	0	546	0
Rps6	82.375000	0	0	0	0	0	0	199	212	234	155	0	175	195	0	0	148	0
Slc22a4	82.312500	0	0	183	277	292	250	0	0	0	0	0	0	0	91	0	224	0
Pnkd	82.312500	178	0	0	0	118	0	0	0	0	0	0	0	0	464	0	557	0
Aamp	82.312500	178	0	0	0	118	0	0	0	0	0	0	0	0	464	0	557	0
Zfp738	82.125000	235	117	81	199	112	0	0	0	0	0	0	0	0	112	0	458	0
Lrrc59	82.062500	340	0	0	0	202	209	0	0	0	0	0	0	0	248	0	314	0
Fam107b	82.062500	155	182	0	260	109	0	0	0	123	100	0	0	0	137	0	247	0
Cmtm7	82.062500	577	0	125	181	284	0	0	0	0	0	0	0	0	0	0	146	0
Calcoco1	82.062500	0	0	0	0	203	104	0	191	0	0	0	0	0	266	0	549	0
Map1lc3b	81.937500	0	0	0	0	0	0	222	301	156	153	0	0	0	261	0	218	0
Trp53rkb	81.875000	276	0	0	0	187	163	0	0	0	0	0	0	0	396	0	288	0
Tcp11l1	81.875000	0	0	0	0	166	157	0	0	0	0	170	374	443	0	0	0	0
Parp2	81.687500	606	0	0	0	371	0	0	0	0	0	0	0	0	116	0	214	0
Acsf3	81.625000	300	0	0	0	238	164	0	0	0	0	0	0	0	171	0	433	0
Tmem26	81.562500	222	0	0	133	0	0	132	306	217	0	0	138	157	0	0	0	0
Gna11	81.562500	0	0	0	0	0	0	125	352	198	283	0	175	172	0	0	0	0
Cox18	81.562500	255	0	170	249	101	0	0	0	0	0	0	0	0	253	0	277	0
Cdk12	81.562500	171	0	91	139	94	0	0	0	0	0	96	173	0	181	0	360	0
4930558K02Rik	81.562500	189	0	0	0	0	112	166	171	176	186	0	0	0	82	0	223	0
Kif21a	81.437500	0	0	0	0	0	0	349	305	265	302	0	0	0	0	0	82	0
Arl14epl	81.437500	178	0	0	166	0	0	149	327	230	132	0	0	121	0	0	0	0
1700066B19Rik	81.375000	387	0	131	197	0	0	0	0	0	0	0	198	0	389	0	0	0
Sp3	81.312500	518	0	96	149	0	0	0	0	0	0	0	137	121	0	0	280	0
Cmas	81.312500	229	0	0	0	703	110	0	0	0	0	0	0	0	0	0	259	0
Ptpre	81.250000	207	100	0	226	301	0	0	0	0	0	0	0	0	348	0	118	0
Ctss	81.250000	428	0	0	0	118	0	0	0	0	0	186	190	378	0	0	0	0
Arhgap39	81.250000	0	121	157	235	0	0	0	0	0	0	0	0	0	191	0	596	0
Rrp1	81.125000	144	102	0	223	138	120	0	0	0	0	0	251	203	0	0	117	0
Ice2	81.125000	0	0	0	118	0	0	132	0	0	132	221	317	378	0	0	0	0
Met	81.062500	0	0	0	0	0	0	294	294	198	226	0	0	0	0	0	285	0
Btbd2	81.062500	140	0	0	110	0	0	200	223	238	153	0	0	0	0	0	233	0
Copb2	81.000000	178	0	152	202	107	0	0	0	0	0	0	0	0	252	0	405	0
Slc2a1	80.750000	0	112	118	219	0	0	0	161	132	0	0	112	195	0	0	243	0
Psme2	80.750000	360	0	0	90	607	102	0	0	0	0	0	0	0	0	0	133	0
Olfm2	80.750000	72	106	128	230	0	87	0	0	0	0	0	0	0	334	0	335	0
Clcn4	80.687500	0	0	0	0	331	242	0	0	0	0	0	0	0	292	0	426	0
Ccdc57	80.625000	352	0	0	109	253	169	0	0	0	0	0	0	0	232	0	175	0
Zfp781	80.562500	227	0	0	190	0	0	0	266	198	229	0	0	0	179	0	0	0
Gm3055	80.562500	227	0	0	190	0	0	0	266	198	229	0	0	0	179	0	0	0
Drg2	80.562500	351	0	0	0	252	279	0	0	0	0	0	0	0	123	0	284	0
Slc10a7	80.500000	0	0	0	0	0	0	315	414	264	295	0	0	0	0	0	0	0
Rbmxl1	80.500000	0	0	0	0	0	0	315	414	264	295	0	0	0	0	0	0	0
Cadm4	80.500000	314	110	110	216	0	0	0	221	0	0	0	137	180	0	0	0	0
Vrk1	80.375000	503	0	0	0	155	0	0	0	0	0	0	0	0	298	0	330	0
Trpc7	80.375000	0	149	349	491	0	0	0	0	0	0	0	0	0	0	0	297	0
Tomm22	80.375000	113	0	0	0	157	210	0	0	0	0	0	0	0	335	0	471	0
Ptprb	80.312500	0	0	152	214	0	0	164	304	193	165	0	0	0	93	0	0	0
Trmt1	80.250000	0	0	152	243	0	0	0	0	0	0	0	0	0	662	0	227	0
Tcf4	80.187500	0	178	313	449	102	0	0	0	0	0	0	0	0	0	0	241	0
Sval1	80.125000	238	146	0	226	0	0	111	140	165	0	0	0	119	137	0	0	0
Bola1	80.062500	127	71	160	215	231	87	0	0	0	0	0	0	0	0	0	390	0
Ascl2	80.062500	0	267	375	639	0	0	0	0	0	0	0	0	0	0	0	0	0
Spc25	80.000000	0	266	252	491	0	0	0	0	0	0	0	0	0	0	0	271	0
G6pc2	80.000000	0	266	252	491	0	0	0	0	0	0	0	0	0	0	0	271	0
Cmklr1	80.000000	0	0	0	0	0	0	0	0	0	0	256	460	421	0	0	143	0
1810058I24Rik	80.000000	0	0	0	0	1069	211	0	0	0	0	0	0	0	0	0	0	0
Slc27a1	79.937500	0	144	0	183	0	0	0	0	0	0	0	0	0	427	0	525	0
Ppp1r11	79.937500	321	0	175	255	149	134	0	0	0	0	0	0	0	0	0	245	0
Zfp65	79.875000	140	0	0	0	109	0	157	0	82	169	0	126	157	118	0	220	0
Slc35b1	79.875000	200	186	142	234	114	0	0	0	0	0	0	0	0	144	0	258	0
Klhl20	79.875000	339	0	0	0	342	0	0	0	0	0	0	0	0	256	0	341	0
Zfp119b	79.750000	253	0	164	275	0	0	0	0	173	0	0	0	0	152	0	259	0
Scrib	79.687500	122	0	0	0	245	0	0	0	0	0	0	0	0	355	0	553	0
Prim2	79.687500	0	0	0	0	0	0	104	330	272	296	0	152	121	0	0	0	0
Pigh	79.625000	300	0	0	166	113	0	0	0	0	0	0	218	157	159	0	161	0
Hsd17b2	79.562500	0	275	248	498	0	0	0	0	0	0	0	0	0	0	0	252	0
Wbp2	79.500000	134	0	0	0	236	89	0	0	0	0	0	0	0	204	0	609	0
Thbs2	79.500000	0	0	0	92	0	0	207	453	320	200	0	0	0	0	0	0	0
Pprc1	79.437500	88	0	0	0	232	157	0	0	0	0	0	0	0	187	0	607	0
Zfp146	79.375000	197	0	0	172	106	0	0	0	0	0	0	160	0	193	0	442	0
Capn15	79.375000	0	0	0	0	236	0	0	0	0	0	0	232	221	229	0	352	0
Tdrd9	79.312500	249	178	185	322	210	0	0	0	0	0	0	0	0	0	0	125	0
Atp5mpl	79.312500	249	178	185	322	210	0	0	0	0	0	0	0	0	0	0	125	0
Zbtb8b	79.250000	0	188	115	289	0	0	0	0	0	0	0	0	0	448	0	228	0
Nadk2	79.250000	0	0	0	0	341	110	110	135	0	145	0	161	158	0	0	108	0
Ptprk	79.187500	0	0	0	0	0	0	240	308	393	326	0	0	0	0	0	0	0
Elmo3	79.187500	320	0	0	137	153	0	0	0	133	0	0	0	0	279	0	245	0
Nbas	79.125000	0	0	0	0	102	0	157	349	234	205	0	0	0	0	0	219	0
Spty2d1	79.062500	647	0	0	0	323	137	0	0	0	0	0	0	0	0	0	158	0
Gm13276	79.000000	0	0	0	0	315	268	0	0	0	0	0	0	0	186	0	495	0
Pigm	78.937500	156	0	0	0	313	0	0	138	0	0	0	115	219	125	0	197	0
Tsc22d1	78.875000	0	231	258	453	0	0	0	154	0	0	0	0	0	0	0	166	0
St3gal2	78.875000	294	0	0	0	264	0	119	128	151	0	0	175	0	0	0	131	0
Zgpat	78.750000	0	320	285	520	0	0	0	0	0	0	0	0	0	0	0	135	0
Zfyve19	78.750000	89	0	0	0	113	133	0	0	0	0	0	0	0	163	0	762	0
Txlnb	78.750000	537	146	167	298	0	0	0	0	0	0	0	0	0	0	0	112	0
Klhdc4	78.750000	171	0	0	0	279	96	0	0	0	0	0	0	0	300	0	414	0
Glt28d2	78.750000	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc17	78.750000	89	0	0	0	113	133	0	0	0	0	0	0	0	163	0	762	0
Arfrp1	78.750000	0	320	285	520	0	0	0	0	0	0	0	0	0	0	0	135	0
Rpl38	78.687500	267	0	0	152	183	161	0	0	0	0	0	83	94	113	0	206	0
Csmd1	78.687500	0	0	0	302	0	0	157	0	0	0	198	251	219	0	0	132	0
Fbrsl1	78.625000	178	0	331	360	0	0	0	0	0	0	0	0	0	181	0	208	0
Dock5	78.625000	0	297	114	341	0	0	0	0	0	0	156	200	150	0	0	0	0
Arf1	78.625000	715	0	0	0	0	0	0	0	0	0	0	0	152	144	0	247	0
Zfp740	78.562500	242	0	0	0	714	82	0	0	0	0	0	0	0	138	0	81	0
Csad	78.562500	242	0	0	0	714	82	0	0	0	0	0	0	0	138	0	81	0
Cabyr	78.562500	682	0	0	0	423	0	0	0	0	0	0	152	0	0	0	0	0
Stx18	78.500000	325	0	0	0	353	104	0	0	0	0	0	0	0	175	0	299	0
Slc2a7	78.500000	140	189	143	309	0	0	0	0	0	0	0	0	0	208	0	267	0
Gas7	78.500000	802	0	0	0	0	0	0	217	107	130	0	0	0	0	0	0	0
Aoc3	78.500000	104	0	0	0	0	0	217	308	226	305	0	0	0	0	0	96	0
Ppp1ca	78.437500	0	0	0	0	0	0	0	231	275	301	0	0	312	0	0	136	0
Chrm5	78.437500	0	179	162	334	0	0	0	0	0	0	0	0	0	348	0	232	0
Immp1l	78.375000	168	153	0	156	137	0	0	0	0	0	122	151	367	0	0	0	0
Elp4	78.375000	168	153	0	156	137	0	0	0	0	0	122	151	367	0	0	0	0
Nup50	78.312500	124	0	164	201	0	0	119	273	120	152	0	0	100	0	0	0	0
Spg21	78.250000	154	0	0	97	0	0	108	143	0	106	147	273	224	0	0	0	0
Txnip	78.125000	264	0	88	101	375	276	0	0	0	0	0	0	0	0	0	146	0
Scp2d1	78.125000	228	170	204	342	0	0	0	0	0	0	0	195	111	0	0	0	0
Nlrp10	78.125000	314	0	104	186	118	85	0	0	0	0	0	0	0	204	0	239	0
Eif3f	78.125000	314	0	104	186	118	85	0	0	0	0	0	0	0	204	0	239	0
Tfpt	78.062500	224	0	0	0	179	0	0	0	0	0	0	0	0	242	0	604	0
Prpf31	78.062500	224	0	0	0	179	0	0	0	0	0	0	0	0	242	0	604	0
Adh4	78.062500	214	0	0	0	0	0	189	347	267	232	0	0	0	0	0	0	0
Cabp1	78.000000	165	162	80	237	92	0	0	0	0	0	0	0	142	0	0	370	0
Aaas	78.000000	210	0	0	100	189	280	0	0	0	0	0	0	0	132	0	337	0
Tuft1	77.937500	0	0	0	0	0	0	89	228	191	135	136	262	206	0	0	0	0
Mtrex	77.937500	149	0	0	113	231	0	0	0	0	0	266	189	299	0	0	0	0
Sh3bp5	77.875000	217	0	0	0	0	0	0	0	0	0	215	445	275	0	0	94	0
Usp5	77.750000	192	0	0	120	0	0	0	163	0	0	0	272	156	132	0	209	0
Ube2f	77.750000	219	189	148	292	241	0	0	0	0	0	0	0	0	0	0	155	0
Stim2	77.750000	354	0	0	0	0	0	0	203	0	0	106	251	229	0	0	101	0
Hscb	77.750000	130	0	0	0	235	0	0	108	0	138	0	175	157	135	0	166	0
Chek2	77.750000	130	0	0	0	235	0	0	108	0	138	0	175	157	135	0	166	0
Zfp869	77.562500	337	122	165	284	100	0	0	161	0	0	0	0	0	0	0	72	0
Aoc2	77.562500	104	0	0	0	0	0	217	308	226	305	0	0	0	0	0	81	0
Ttc4	77.500000	196	0	0	144	128	0	0	0	0	0	0	0	0	346	0	426	0
Fkbpl	77.500000	146	0	0	142	121	85	0	0	0	0	0	225	171	132	0	218	0
Eps8	77.500000	96	0	0	0	0	0	0	137	181	169	0	274	250	0	0	133	0
Dpm3	77.500000	184	0	0	0	208	101	0	0	0	0	0	0	0	147	0	600	0
N4bp2l2	77.437500	0	0	0	83	214	101	0	155	0	114	0	118	0	155	0	299	0
Mrpl44	77.437500	323	0	0	0	221	0	0	0	0	0	0	0	0	303	0	392	0
Agl	77.437500	126	0	0	159	0	0	0	0	0	95	171	153	217	0	0	318	0
Ubxn4	77.312500	277	0	0	0	192	129	0	0	0	0	0	0	0	183	0	456	0
Simc1	77.312500	256	95	204	286	396	0	0	0	0	0	0	0	0	0	0	0	0
Clpb	77.187500	0	0	0	0	239	0	0	0	0	0	0	0	0	242	0	754	0
C2cd5	77.125000	0	0	0	0	109	0	0	0	0	0	0	0	0	634	0	491	0
Alkbh2	77.125000	282	146	126	248	0	0	0	0	0	0	0	0	0	233	0	199	0
Dtd2	77.062500	113	0	0	0	0	0	178	150	152	137	110	158	235	0	0	0	0
Ndufaf1	77.000000	316	0	0	102	215	0	0	0	0	0	0	0	0	375	0	224	0
H3f3c	77.000000	316	0	0	102	215	0	0	0	0	0	0	0	0	375	0	224	0
Farsa	77.000000	122	0	0	0	136	118	0	0	0	0	0	0	0	303	0	553	0
Ciita	77.000000	702	0	0	0	0	0	0	0	0	0	132	213	185	0	0	0	0
Trub2	76.937500	347	0	0	0	214	122	0	0	0	0	0	0	0	229	0	319	0
Edc3	76.937500	0	255	394	582	0	0	0	0	0	0	0	0	0	0	0	0	0
Taf7	76.875000	236	114	97	207	160	0	0	0	0	0	0	0	0	78	0	338	0
Cdc42	76.875000	142	0	0	0	0	0	0	154	0	0	131	258	279	135	0	131	0
Akip1	76.812500	158	0	0	0	0	0	0	0	0	0	224	0	267	172	0	408	0
Acp7	76.812500	0	256	166	365	0	0	0	0	0	0	0	0	101	131	0	210	0
Siglec1	76.750000	0	0	0	0	0	0	0	116	140	87	127	408	350	0	0	0	0
Mrpl34	76.687500	146	0	0	143	230	81	0	0	0	0	0	0	0	208	0	419	0
H2aw	76.687500	719	0	0	156	212	140	0	0	0	0	0	0	0	0	0	0	0
Dda1	76.687500	146	0	0	143	230	81	0	0	0	0	0	0	0	208	0	419	0
Abhd8	76.687500	146	0	0	143	230	81	0	0	0	0	0	0	0	208	0	419	0
Zfp959	76.625000	148	0	177	193	0	0	0	163	0	0	0	0	0	199	0	346	0
Gm13277	76.625000	0	0	0	0	315	268	0	0	0	0	0	0	0	148	0	495	0
Tjp2	76.500000	123	146	239	334	0	0	0	0	0	0	0	0	0	177	0	205	0
Rbfa	76.500000	0	0	0	0	383	0	0	0	0	0	148	323	246	0	0	124	0
Dnajb4	76.500000	80	0	0	0	0	0	175	374	232	363	0	0	0	0	0	0	0
Vps51	76.437500	348	0	0	118	238	132	0	0	0	0	0	0	0	149	0	238	0
S1pr4	76.437500	105	0	0	0	123	0	0	0	0	0	0	0	0	375	0	620	0
Ncln	76.437500	105	0	0	0	123	0	0	0	0	0	0	0	0	375	0	620	0
Clybl	76.375000	112	0	0	0	805	305	0	0	0	0	0	0	0	0	0	0	0
Hoatz	76.312500	0	143	176	290	0	0	0	0	0	0	0	0	0	235	0	377	0
Cpsf1	76.312500	178	0	0	0	110	0	0	0	0	0	0	0	0	330	0	603	0
H2-DMb2	76.250000	999	0	0	0	146	75	0	0	0	0	0	0	0	0	0	0	0
Esyt2	76.250000	120	0	0	86	441	168	0	0	0	0	0	0	0	190	0	215	0
C1qbp	76.187500	224	0	91	153	156	152	0	0	0	0	0	0	0	215	0	228	0
Ssbp1	76.125000	217	0	0	0	156	0	0	138	0	0	0	0	0	262	0	445	0
Eef2kmt	76.125000	251	0	104	194	0	99	0	0	0	0	140	152	278	0	0	0	0
Mlkl	76.000000	236	0	0	139	150	0	0	230	0	147	0	144	170	0	0	0	0
C3ar1	76.000000	286	0	0	0	271	158	0	0	0	0	0	0	180	0	0	321	0
Rnf26	75.937500	0	325	208	488	0	0	0	0	0	0	0	0	194	0	0	0	0
Deptor	75.937500	680	0	0	0	0	0	0	0	0	120	0	0	0	230	0	185	0
D5Ertd579e	75.937500	0	0	0	0	206	0	84	191	158	91	0	115	121	113	0	136	0
Srcap	75.875000	315	191	148	289	123	0	0	0	0	0	0	0	0	0	0	148	0
Polr1b	75.875000	257	0	0	0	204	188	0	0	0	0	0	0	0	142	0	423	0
Olfr646	75.875000	178	0	109	178	540	0	0	0	0	0	0	88	121	0	0	0	0
Rpp30	75.750000	138	0	0	0	0	0	0	0	0	0	0	0	0	310	0	764	0
Amz2	75.687500	945	0	0	0	0	0	0	0	0	0	0	0	0	110	0	156	0
Srgap3	75.625000	0	0	0	97	967	0	0	0	0	0	0	0	0	0	0	146	0
Zfp113	75.562500	228	0	113	189	144	0	0	0	0	0	0	0	0	324	0	211	0
Tmem242	75.562500	244	0	71	109	258	144	0	0	0	0	0	0	0	164	0	219	0
Trip4	75.500000	183	0	0	0	145	146	0	0	0	0	0	98	114	218	0	304	0
Ccnd3	75.500000	523	198	0	196	110	0	0	0	0	0	0	0	0	0	0	181	0
Ap4e1	75.500000	269	0	80	161	171	129	0	0	0	0	0	0	0	205	0	193	0
Gnpda1	75.437500	188	92	134	243	0	0	0	158	0	0	0	0	0	148	0	244	0
Per2	75.312500	0	0	0	0	0	0	0	134	0	0	252	338	481	0	0	0	0
Arrb1	75.312500	0	0	0	0	133	115	0	0	0	0	189	444	324	0	0	0	0
Tmem43	75.250000	154	0	0	0	0	0	0	0	0	0	0	0	0	282	0	768	0
Serpinb9	75.250000	141	0	0	0	126	0	0	0	0	0	226	270	195	0	0	246	0
Mrpl20	75.250000	274	0	0	0	144	127	0	0	0	0	0	0	0	313	0	346	0
Chchd4	75.250000	154	0	0	0	0	0	0	0	0	0	0	0	0	282	0	768	0
Pef1	75.062500	0	0	0	87	0	0	197	197	125	168	0	259	168	0	0	0	0
Ormdl3	75.062500	136	0	0	0	132	0	0	0	0	0	0	0	0	359	0	574	0
Nufip1	75.062500	297	0	0	0	300	0	0	0	0	0	0	0	0	226	0	378	0
Gpalpp1	75.062500	297	0	0	0	300	0	0	0	0	0	0	0	0	226	0	378	0
Krr1	75.000000	296	0	0	78	217	71	0	0	0	0	0	0	0	208	0	330	0
Sv2b	74.937500	223	251	199	418	0	0	0	0	0	0	0	108	0	0	0	0	0
Gng2	74.875000	440	0	0	112	0	0	0	0	0	0	0	326	320	0	0	0	0
Smim14	74.812500	503	0	0	146	411	0	0	0	0	0	0	137	0	0	0	0	0
Tyk2	74.687500	761	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0
Foxn1	74.687500	0	0	0	152	0	0	164	262	326	291	0	0	0	0	0	0	0
Crls1	74.687500	172	114	0	194	109	122	0	0	0	0	0	0	0	163	0	321	0
Zcwpw2	74.625000	123	0	0	90	0	136	0	0	0	0	0	0	0	364	0	481	0
Azi2	74.625000	123	0	0	90	0	136	0	0	0	0	0	0	0	364	0	481	0
Tmem106a	74.562500	134	0	0	0	0	0	0	0	0	0	100	227	237	266	0	229	0
Abcc1	74.562500	330	0	0	256	273	0	0	0	0	0	0	137	0	0	0	197	0
Cntnap2	74.500000	0	110	0	209	0	0	0	0	125	122	0	0	82	258	0	286	0
Snx13	74.437500	0	118	91	198	0	0	0	0	0	0	0	138	189	200	0	257	0
Ppm1f	74.312500	523	82	159	249	0	0	0	0	0	0	0	0	0	0	0	176	0
Armh4	74.250000	0	311	226	534	0	0	0	0	0	0	0	0	0	0	0	117	0
Fscn3	74.187500	460	126	178	292	0	0	0	131	0	0	0	0	0	0	0	0	0
Amigo1	74.187500	0	0	0	98	0	0	245	295	309	240	0	0	0	0	0	0	0
Ttc1	74.000000	166	0	0	0	219	132	0	0	0	0	0	0	0	154	0	513	0
Tlr4	73.937500	999	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0
Psmb2	73.937500	197	0	0	129	140	76	0	0	0	0	0	0	0	151	0	490	0
Larp1b	73.937500	316	0	0	0	117	0	0	145	114	0	0	247	244	0	0	0	0
Edrf1	73.937500	123	0	0	0	0	0	166	182	170	138	0	0	131	115	0	158	0
Ybx1	73.875000	93	0	152	210	113	0	147	0	160	0	0	135	172	0	0	0	0
Prdm4	73.875000	105	0	0	112	139	0	0	0	0	0	0	0	0	594	0	232	0
Csnk1g3	73.875000	92	0	103	163	0	0	0	0	0	221	0	0	0	152	0	451	0
Itpr3	73.812500	0	0	0	109	0	0	0	200	0	0	232	244	396	0	0	0	0
H4c14	73.812500	272	0	0	0	533	268	0	0	0	0	0	0	0	0	0	108	0
Dock9	73.750000	174	0	129	179	124	0	0	0	0	0	0	0	0	241	0	333	0
Arvcf	73.687500	130	0	0	131	82	0	0	0	0	0	178	223	293	0	0	142	0
Utp3	73.625000	284	0	0	0	221	143	0	0	0	0	0	0	0	187	0	343	0
Tnfsf13	73.625000	208	0	0	0	178	0	0	0	0	0	0	0	0	356	0	436	0
Senp3	73.625000	208	0	0	0	178	0	0	0	0	0	0	0	0	356	0	436	0
Vpreb3	73.562500	329	196	0	258	262	0	0	0	0	0	0	0	0	0	0	132	0
Gm5134	73.562500	329	196	0	258	262	0	0	0	0	0	0	0	0	0	0	132	0
C330018D20Rik	73.562500	0	0	0	0	559	187	145	160	0	0	0	0	0	0	0	126	0
Dgat1	73.437500	131	0	136	142	0	150	0	0	0	0	0	0	0	213	0	403	0
