Target_genes	Smad1|Average	SRX23601748|Cortex	SRX23601749|Cortex	SRX23601750|Cortex	SRX23601751|Cortex	DRX138414|Embryonic_brains	DRX138415|Embryonic_brains	DRX138416|Embryonic_brains	DRX138417|Embryonic_brains	DRX138418|Embryonic_brains	DRX138419|Embryonic_brains	DRX138420|Embryonic_brains	DRX138421|Embryonic_brains	SRX23585200|Embryonic_brains	SRX23585203|Embryonic_brains	SRX23585206|Embryonic_brains	SRX23585209|Embryonic_brains	SRX23585212|Embryonic_brains	SRX23585215|Embryonic_brains	SRX1082039|ES_cells	SRX1082040|ES_cells	SRX2401993|ES_cells	SRX2401994|ES_cells	SRX2401996|ES_cells	SRX2401997|ES_cells	SRX7643902|ES_cells	SRX7643903|ES_cells	SRX7643904|ES_cells	SRX7643905|ES_cells	SRX100314|G1E	SRX100317|G1E	SRX700955|Hair_Follicle	SRX700957|Hair_Follicle	SRX1082042|mESC_derived_epiblast-like_cells	SRX1082043|mESC_derived_epiblast-like_cells	STRING
Pcgf5	52.029412	0	0	0	0	0	0	261	267	0	0	0	130	0	0	127	0	0	0	0	0	0	0	0	0	301	0	683	0	0	0	0	0	0	0	0
Snap91	52.000000	0	0	0	0	0	0	224	187	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	424	0	633	0	0	0	0	0	0	0	0
Kras	52.000000	0	0	0	0	0	0	265	308	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	420	0	657	0	0	0	0	0	0	0	0
Fut8	52.000000	0	0	0	0	0	0	175	294	0	0	0	0	75	0	433	0	0	0	0	0	0	0	0	0	159	0	522	0	0	110	0	0	0	0	0
Foxk2	51.970588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	328	0	1076	0	0	0	0	0	0	0	0
Rmnd5a	51.941176	0	0	0	0	0	0	349	481	0	0	0	148	0	0	517	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0
Nadk2	51.941176	0	0	0	0	0	0	0	128	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	1446	0	0	0	0	0	0
Fzd5	51.941176	0	0	0	0	0	0	105	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	347	0	919	0	0	99	0	0	0
Pura	51.882353	0	0	0	0	0	0	130	135	0	0	0	0	0	0	621	0	0	0	0	0	0	0	0	0	231	0	647	0	0	0	0	0	0	0	0
Atp2c1	51.794118	0	0	0	0	0	0	353	347	0	0	0	128	0	0	333	0	0	0	0	0	0	0	0	0	156	0	444	0	0	0	0	0	0	0	0
Pnpla6	51.735294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1759	0	0	0	0	0
Epb41l4b	51.676471	0	0	0	0	0	0	217	331	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	256	0	858	0	0	0	0	0	0	0	0
Lhx2	51.647059	0	0	0	0	0	0	460	589	0	0	0	77	0	0	200	0	0	0	0	0	0	0	0	0	92	0	338	0	0	0	0	0	0	0	0
Grcc10	51.647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	198	0	645	0	0	503	0	0	0	0	0
Fam174c	51.588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	438	0	1000	0	0	0	0	0	0	0	0
Agl	51.558824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	0	0	0	0	0
Nin	51.529412	0	0	0	0	0	0	256	252	0	0	0	90	126	0	320	0	95	0	0	0	0	0	0	0	132	0	481	0	0	0	0	0	0	0	0
Siah1b	51.470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1061	0	0	0	0	0
Ppp1r2	51.470588	0	0	0	0	0	0	93	111	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	0	0	0	0
Cnst	51.470588	0	0	0	0	0	0	78	148	0	0	0	0	0	0	512	0	0	0	0	0	0	0	0	0	0	0	169	0	843	0	0	0	0	0	0
Tmem86b	51.441176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	0	0	0	0	0	0
Runx1t1	51.411765	0	0	0	0	0	0	499	585	0	0	0	176	0	0	144	0	0	0	0	0	0	0	0	0	87	0	257	0	0	0	0	0	0	0	0
Pum1	51.411765	0	0	0	0	0	0	453	633	0	0	0	149	157	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebf4	51.411765	0	0	0	0	0	0	492	412	0	0	0	190	263	0	98	0	86	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0
Hells	51.382353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1747	0	0	0	0	0
Chrac1	51.382353	0	0	0	0	0	0	120	135	0	0	0	0	0	0	640	0	0	0	0	126	0	0	0	0	194	0	532	0	0	0	0	0	0	0	0
Uap1	51.352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	112	0	1350	0	0	0	0	0	0
Trim9	51.352941	0	0	0	0	0	0	448	560	0	0	0	108	0	0	311	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0
Pxk	51.352941	0	0	0	0	0	0	430	491	0	0	0	130	0	0	0	0	0	0	229	323	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0
Ermp1	51.352941	0	0	0	0	0	0	115	143	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	201	0	929	0	0	0	0	0	0	0	0
Cyc1	51.352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	147	0	0	1218	0	0	0	0	0
Sde2	51.323529	0	0	0	0	0	0	151	101	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	1069	90	0	0	0	0	0
Brpf1	51.323529	0	0	0	0	0	0	206	202	0	0	0	98	131	0	987	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0
Pik3r2	51.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1335	0	0	0	0	0
Slc3a2	51.264706	0	0	0	0	0	0	182	232	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0
Pmf1	51.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	150	1240	0	0	0	0	0
Pnpo	51.147059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1638	101	0	0	0	0	0
Phf13	51.147059	0	0	0	0	0	0	126	164	0	0	0	104	0	0	295	0	0	0	0	0	0	0	0	0	119	0	335	0	596	0	0	0	0	0	0
Slc35f1	51.117647	0	0	0	0	0	0	449	453	0	0	0	154	136	0	428	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0
Tmem267	51.088235	0	0	0	0	284	305	227	200	0	279	140	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hectd1	51.088235	0	0	0	0	0	0	326	236	0	0	0	77	0	0	415	0	0	0	0	0	0	0	0	0	0	0	232	0	451	0	0	0	0	0	0
Gtf2e2	51.088235	0	0	0	0	0	0	0	138	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	195	0	1233	0	0	0	0	0	0
C2cd4a	51.088235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	522	0	955	0	94	0	0	0	0	0	0
Xpc	51.029412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	154	1464	0	0	0	0	0
Mtfp1	51.029412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1566	0	0	0	0	0
Lsm3	51.029412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	154	1464	0	0	0	0	0
Wdr6	51.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1521	0	0	0	0	0
Pfn2	51.000000	0	0	0	0	0	0	174	223	0	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	140	0	412	0	0	0	0	0	0	0	0
Apc2	51.000000	0	0	0	0	0	0	88	117	0	0	0	264	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1163	0	0	0	0	0
Rasa1	50.970588	0	0	0	0	0	0	237	181	0	0	0	138	247	0	452	0	279	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0
Slc22a23	50.941176	0	0	0	0	0	0	132	166	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	90	0	403	0	696	0	0	0	0	0	0
Rpl27a	50.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	287	0	0	0	0	0	0	0	0	0	998	0	0	0	0	0
Klc1	50.882353	0	0	0	0	0	0	268	268	0	0	0	0	110	0	552	0	0	0	0	0	0	0	0	0	163	0	369	0	0	0	0	0	0	0	0
Arhgef12	50.882353	0	0	0	0	0	0	95	89	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	150	0	696	559	0	0	0	0	0
Mafg	50.852941	0	0	0	0	0	0	72	106	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	340	0	0	889	0	0	0	0	0
Hectd4	50.794118	0	0	0	0	0	0	145	0	0	0	0	0	0	0	321	136	134	0	0	0	0	0	0	0	0	0	0	0	991	0	0	0	0	0	0
Syt7	50.764706	0	0	0	0	0	0	312	408	0	0	0	159	0	0	152	0	0	0	0	0	0	0	0	0	155	0	540	0	0	0	0	0	0	0	0
Peli1	50.764706	0	0	0	0	0	0	437	450	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	283	0	0	184	0	0	0	0	0
Spsb3	50.735294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1371	0	0	0	0	0
Spry2	50.735294	0	0	0	0	0	0	405	500	0	0	0	178	126	0	223	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0
Nubp2	50.735294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1371	0	0	0	0	0
Hipk3	50.735294	0	0	0	0	0	0	199	380	0	0	0	133	0	0	532	0	0	0	0	0	0	0	0	0	116	0	365	0	0	0	0	0	0	0	0
Rnf4	50.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1393	0	0	0	0	0
Phf5a	50.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1285	0	0	0	0	0
Aco2	50.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1285	0	0	0	0	0
Rps15a	50.676471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	275	1114	0	0	0	0	0
Fmnl3	50.676471	0	0	0	0	0	0	185	263	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	188	0	801	0	0	0	0	0	0	0	0
Sh3gl1	50.617647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	123	0	0	1318	0	0	0	0	0
Chaf1a	50.617647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	123	0	0	1318	0	0	0	0	0
Cd2bp2	50.529412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1409	0	0	0	0	0
Tlk2	50.470588	0	0	0	0	0	0	169	210	0	0	0	76	0	0	339	0	0	0	0	0	0	0	0	0	0	0	106	0	0	816	0	0	0	0	0
Creb1	50.470588	0	0	0	0	0	0	181	302	0	0	0	150	0	0	469	0	0	0	0	0	0	0	0	0	188	0	426	0	0	0	0	0	0	0	0
Cmip	50.470588	0	0	0	0	0	0	89	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	187	0	547	0	646	0	0	0	0	0	0
Olfr66	50.411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1714	0	0	0	0	0	0
Exoc5	50.382353	0	0	0	0	0	0	246	239	0	0	0	67	0	0	366	0	0	0	0	0	0	0	0	0	204	0	591	0	0	0	0	0	0	0	0
D5Ertd579e	50.382353	0	0	0	0	0	0	181	243	0	0	0	0	110	0	258	0	0	0	0	0	0	0	0	0	213	0	505	0	203	0	0	0	0	0	0
Ap5m1	50.382353	0	0	0	0	0	0	246	239	0	0	0	67	0	0	366	0	0	0	0	0	0	0	0	0	204	0	591	0	0	0	0	0	0	0	0
Tle3	50.352941	0	0	0	0	0	0	395	377	0	0	72	378	0	0	182	0	0	0	0	0	0	0	0	0	0	0	76	0	0	232	0	0	0	0	0
Fryl	50.323529	0	0	0	0	0	0	169	186	0	0	0	127	0	0	379	0	0	0	0	0	0	0	0	0	106	0	406	0	338	0	0	0	0	0	0
Ctnnd2	50.323529	0	0	0	0	0	0	200	242	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	264	0	510	0	0	0	0	0	0	0	0
Trappc2	50.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1579	0	0	0	0	0
Tnk2	50.294118	0	0	0	0	0	0	360	466	0	0	0	187	0	0	382	0	0	0	0	0	0	0	0	0	0	0	164	0	151	0	0	0	0	0	0
Polr2e	50.294118	0	0	0	0	0	0	0	0	0	0	0	0	121	0	140	0	0	0	0	0	0	0	0	0	0	0	127	0	0	1322	0	0	0	0	0
Ofd1	50.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1579	0	0	0	0	0
Edrf1	50.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1419	0	0	0	0	0
Zbtb7c	50.264706	0	0	0	0	0	0	380	344	0	0	0	224	0	0	254	0	0	0	0	0	0	0	0	0	126	0	381	0	0	0	0	0	0	0	0
Smarca5	50.264706	0	0	0	0	0	0	0	93	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	124	0	285	0	0	663	0	0	0	0	0
Mroh5	50.264706	0	0	0	0	0	0	332	215	0	0	0	173	0	0	112	0	0	0	0	0	0	0	0	0	153	0	488	0	0	0	0	236	0	0	0
Aatk	50.264706	0	0	0	0	0	0	409	428	0	0	0	299	189	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8030462N17Rik	50.264706	0	0	0	0	0	0	177	155	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	189	0	695	0	343	0	0	0	0	0	0
Synm	50.235294	0	0	0	0	0	0	0	111	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	369	0	1069	0	0	0	0	0	0	0	0
Pabpc4	50.235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	1558	0	0	0	0	0	0
Nktr	50.235294	0	0	0	0	0	0	146	111	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	0	0	0	0	0
BC048679	50.235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	158	0	634	0	471	0	0	0	0	0	0
Cux2	50.205882	0	0	0	0	0	0	163	213	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	333	0	890	0	0	0	0	0	0	0	0
Ptgr2	50.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1706	0	0	0	0	0
Itgb3	50.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	1448	0	0	0	0	0	0
Nacc2	50.117647	0	0	0	0	0	0	158	169	0	0	0	157	258	0	193	0	164	0	0	0	0	0	0	0	221	0	384	0	0	0	0	0	0	0	0
Mfhas1	50.088235	0	0	0	0	0	0	302	357	0	0	0	129	0	0	382	0	0	0	0	0	0	0	0	0	137	0	396	0	0	0	0	0	0	0	0
Lsm8	50.088235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1425	0	0	0	0	0
Atp2b1	50.058824	0	0	0	0	0	0	76	109	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0	0	277	0	722	0	0	0	0	0	0	0	0
Tmem131l	50.000000	0	0	0	0	0	0	166	224	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	207	0	763	0	0	0	0	0	0
Thada	49.941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1501	0	0	0	0	0
Mkln1	49.941176	0	0	0	0	0	0	252	366	0	0	0	157	0	0	563	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0
Lifr	49.941176	0	0	0	0	0	0	246	265	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	184	0	708	0	0	0	0	0	0	0	0
Cd59a	49.911765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1697	0	0	0	0	0	0
Scmh1	49.882353	0	0	0	0	0	0	505	394	0	0	0	150	0	0	472	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0
Frmd6	49.823529	0	0	0	0	0	0	484	463	0	0	0	202	0	0	312	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0
Zfp800	49.794118	0	0	0	0	0	0	112	155	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	197	0	808	0	125	0	0	0	0	0	0
Smg7	49.764706	0	0	0	0	0	0	101	71	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1094	0	0	0	0	0
Gpr135	49.764706	0	0	0	0	0	0	0	126	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	294	0	978	0	0	0	0	0	0	0	0
Atp5a1	49.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	305	107	162	154	143	82	0	0	124	0	137	0	0	0	0	0	0
Wdr73	49.647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1554	0	0	0	0	0
Scn8a	49.647059	0	0	0	0	0	0	155	173	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	333	0	792	0	0	0	0	0	0	0	0
Nmb	49.647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1554	0	0	0	0	0
Srsf2	49.617647	0	0	0	0	0	0	124	121	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	196	0	545	0	0	248	0	0	0	0	0
Mfsd11	49.617647	0	0	0	0	0	0	124	121	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	196	0	545	0	0	248	0	0	0	0	0
Fbxl14	49.558824	0	0	0	0	0	0	153	132	0	0	0	0	0	0	686	0	0	0	0	0	0	0	0	0	134	0	401	0	0	179	0	0	0	0	0
Zfpm1	49.500000	0	0	0	0	0	0	94	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	262	0	987	0	0	0	0	0	0
Nsmaf	49.500000	0	0	0	0	0	0	88	119	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	1275	0	0	0	0	0	0
Rras2	49.470588	0	0	0	0	0	0	87	177	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	146	0	788	0	0	0	0	0	0	0	0
Rbm33	49.470588	0	0	0	0	0	0	110	113	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	128	0	536	0	0	0	0	0	0	0	0
Mosmo	49.441176	0	0	0	0	0	0	159	95	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	1179	0	0	0	0	0	0
Bmper	49.441176	0	0	0	0	0	0	490	463	0	0	0	144	0	0	290	0	0	0	0	0	0	0	0	0	95	0	199	0	0	0	0	0	0	0	0
Tgfbrap1	49.411765	0	0	0	0	0	0	349	459	0	0	0	0	0	0	579	0	0	0	0	0	0	0	0	0	0	0	176	0	0	117	0	0	0	0	0
Nr4a2	49.323529	0	0	0	0	0	0	518	628	0	0	0	189	0	0	106	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0
Chd1l	49.323529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0	0	0	0	259	0	856	0	0	0	0	0	0	0	0
Csde1	49.264706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1168	0	0	0	0	0
Rab35	49.235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	238	0	1062	106	0	0	0	0	0
Atp6v0c	49.235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0
Ssbp3	49.205882	0	0	0	0	0	0	0	161	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	94	0	1141	0	0	0	0	0	0
Fcho2	49.205882	0	0	0	0	0	0	232	282	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	260	0	731	0	0	0	0	0	0	0	0
Zfp704	49.147059	0	0	0	0	0	0	238	296	0	0	0	165	0	0	294	0	0	0	0	0	0	0	0	0	146	0	532	0	0	0	0	0	0	0	0
Cacybp	49.117647	0	0	0	0	0	0	95	109	0	0	0	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009	0	0	0	0	0
Naa25	49.088235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306	0	0	0	0	0
Lonrf1	49.088235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	227	0	579	0	671	0	0	0	0	0	0
Josd2	49.058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	0	0	0	0	0
Aspdh	49.058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	0	0	0	0	0
Ccdc102a	49.029412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	830	0	610	0	0	0	0	0	0
Asph	48.970588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	131	0	0	1152	0	0	0	0	0
Zswim6	48.941176	0	0	0	0	0	0	289	238	0	0	0	145	147	0	242	0	0	0	0	0	0	0	0	0	159	0	444	0	0	0	0	0	0	0	0
Tbx2	48.941176	0	0	0	0	0	0	660	643	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift74	48.911765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1505	0	0	0	0	0
Fam168a	48.882353	0	0	0	0	0	0	446	530	0	0	0	120	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chic2	48.882353	0	0	0	0	0	0	195	295	0	0	0	106	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0
Zfat	48.852941	0	0	0	0	0	0	264	285	0	0	0	0	0	0	669	0	0	0	0	78	0	0	0	0	0	0	168	0	197	0	0	0	0	0	0
Mprip	48.852941	0	0	0	0	0	0	301	344	0	0	0	189	0	0	236	0	0	0	0	0	0	0	0	0	193	0	398	0	0	0	0	0	0	0	0
Lmo2	48.794118	0	0	0	0	0	0	568	475	0	0	0	81	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0
Ncapg	48.764706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1533	0	0	0	0	0
Zc3h15	48.735294	0	0	0	0	0	0	382	463	0	0	0	110	0	0	430	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0
Nefh	48.735294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	326	0	1002	0	0	0	0	0	0	0	0
Ahi1	48.735294	0	0	0	0	0	0	117	197	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	181	0	633	0	89	0	0	0	0	0	0
Sec24b	48.705882	0	0	0	0	0	0	346	392	0	0	0	142	164	0	226	0	0	0	0	0	0	0	0	0	123	0	263	0	0	0	0	0	0	0	0
Entpd5	48.676471	0	0	0	0	0	0	330	243	0	0	0	183	110	0	457	0	0	0	0	0	0	0	0	0	99	0	233	0	0	0	0	0	0	0	0
Bbof1	48.676471	0	0	0	0	0	0	330	243	0	0	0	183	110	0	457	0	0	0	0	0	0	0	0	0	99	0	233	0	0	0	0	0	0	0	0
Mon2	48.647059	0	0	0	0	0	0	613	722	0	0	0	131	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110004F10Rik	48.647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	305	1025	0	0	0	0	0
Actb	48.617647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0	0	0	0	118	0	0	0	0	154	0	462	0	131	0	0	0	0	0	0
Aplp2	48.588235	0	0	0	0	0	0	121	94	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	81	0	297	0	530	0	0	0	0	0	0
Enox1	48.500000	0	0	0	0	0	0	256	405	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	153	0	415	0	0	0	0	0	0	0	0
Ppp1r15a	48.411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	1211	232	0	0	0	0	0
Plekha4	48.411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	1211	232	0	0	0	0	0
Otud1	48.382353	0	0	0	0	0	0	169	150	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	353	0	796	0	0	0	0	0	0	0	0
Gtf2a1	48.352941	0	0	0	0	0	0	183	205	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	174	0	94	541	0	0	0	0	0
Cd164	48.323529	0	0	0	0	0	0	138	257	0	0	0	0	0	0	783	0	0	0	0	0	0	0	0	0	76	0	389	0	0	0	0	0	0	0	0
