Target_genes	Nfkb1|Average	SRX122534|Dendritic_Cells	SRX122535|Dendritic_Cells	SRX122536|Dendritic_Cells	SRX122537|Dendritic_Cells	SRX122538|Dendritic_Cells	SRX122539|Dendritic_Cells	SRX122540|Dendritic_Cells	SRX122541|Dendritic_Cells	SRX122542|Dendritic_Cells	SRX122543|Dendritic_Cells	SRX450298|Macrophages	SRX450299|Macrophages	SRX450300|Macrophages	SRX450301|Macrophages	SRX450302|Macrophages	SRX450303|Macrophages	SRX450304|Macrophages	SRX7618597|Macrophages	STRING
Slc26a6	27.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0
Niban2	27.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0
Ms4a12	27.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0
Eif1	27.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0
Zdhhc17	27.833333	0	0	0	0	0	0	0	0	0	0	212	0	0	167	0	0	0	122	0
Kat6a	27.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	0
Plekha2	27.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0
Hsd17b11	27.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0
Gbp2	27.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0
Cyth1	27.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0
Arhgef37	27.722222	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	426	0
Tdg	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Rasl10a	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Ly6g5b	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Ier3	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Gpank1	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Gas2l1	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Flot1	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
D17H6S53E	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Csnk2b	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Castor1	27.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0
Trip13	27.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0
Polb	27.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0
Donson	27.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0
Brd9	27.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0
Szrd1	27.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0
Lbr	27.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0
Gpr132	27.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0
Cracdl	27.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	0
Mpdu1	27.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0
Fcho2	27.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0
Abcc1	27.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0
Hsd3b7	27.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0
Evi5	27.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0
Usp27x	27.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0
Tmem132e	27.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0
Ell	27.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0
Ear1	27.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0
Tmem185b	27.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0
Ralgapa2	27.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0
Atp8b4	27.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0
Itga2b	27.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0
Gpr18	27.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0
Fam161b	27.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0
Coq6	27.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0
Tbl1x	27.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0
Slc20a1	27.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0
R3hdm2	27.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0
Oga	27.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0
Ednrb	27.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0
Gosr2	27.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0
Dnaja2	27.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0
Chchd1	27.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0
Cep112	27.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	489	0
Vps37c	27.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0
Vmn1r1	27.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0
Sh3pxd2a	27.055556	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	293	0
Dnaja3	27.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0
Coro7	27.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0
Cat	27.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0
Tut1	27.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0
Ppig	27.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0
Cavin1	27.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0
Stum	26.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0
Plec	26.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0
Pgs1	26.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0
Msantd3	26.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0
Klhdc8b	26.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0
Itm2b	26.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0
Ccdc71	26.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0
B4galnt1	26.888889	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	353	0
Pabpc1	26.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0
Mt2	26.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	0
Trim12a	26.722222	0	0	0	0	0	0	0	0	0	0	122	0	129	0	148	0	0	82	0
Smbd1	26.722222	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	368	0
Mctp1	26.722222	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	340	0
Rbmx2	26.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0
Kcnf1	26.666667	0	0	0	0	0	0	0	0	0	0	105	160	215	0	0	0	0	0	0
Castor2	26.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0
Scamp3	26.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0
Olfr117	26.611111	0	0	0	0	0	0	0	0	0	0	0	0	133	157	189	0	0	0	0
Nuak1	26.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0
Melk	26.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0
Hpse	26.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0
Arhgap25	26.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0
Ajuba	26.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0
Uvrag	26.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0
Rhbdd2	26.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0
Gm10037	26.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0
Enpp4	26.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0
Dlg1	26.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	388	0
Tpm4	26.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0
Tgfbr2	26.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	374	0
Rdh13	26.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0
Cnpy2	26.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	0
Syngap1	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Snip1	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Pnrc2	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Mapk8	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Lhx2	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Dnali1	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Cuta	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Bcam	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Arrb2	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Agpat3	26.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0
Thbs4	26.388889	0	0	0	0	0	0	0	0	0	0	0	158	142	0	175	0	0	0	0
Ap5s1	26.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0
Tubb5	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
Tbc1d4	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
Mdc1	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
Herpud1	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
C4a	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
Anxa5	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
1810062G17Rik	26.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	0
Zdhhc21	26.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0
Trak1	26.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0
Foxo6	26.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0
Cnot2	26.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	473	0
Ss18l2	26.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0
Sirpb1b	26.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0
Sec22c	26.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0
Plekha1	26.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0
Naaa	26.222222	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	295	0
Gh	26.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0
Efhd2	26.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0
Mis18bp1	26.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0
Ctsk	26.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0
Trim56	26.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0
Tfeb	26.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0
Mrtfa	26.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0
Iffo1	26.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0
Rpl6	26.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0
Prdm14	26.055556	0	0	0	0	0	0	0	0	0	0	0	0	217	0	158	94	0	0	0
Mrpl21	26.055556	0	0	0	0	0	0	0	0	0	0	0	177	0	120	80	92	0	0	0
Ighmbp2	26.055556	0	0	0	0	0	0	0	0	0	0	0	177	0	120	80	92	0	0	0
Gpm6a	26.055556	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	134	102	0	0
Zscan4b	26.000000	0	0	0	0	0	0	0	0	0	0	142	0	0	157	169	0	0	0	0
Tap1	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Psmb9	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Ndufs2	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Mad2l1	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Hcls1	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Dram1	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Bid	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Anapc15	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	139	0	120	0	0	209	0
Adamts4	26.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0
Sec22a	25.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0
Ensa	25.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0
Tbc1d23	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0
Sh2d4a	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0
Prrt1	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0
Ppt2	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0
Pip4p1	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0
Pcmt1	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0
Gm51598	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	166	169	131	0	0	0	0
Atp9b	25.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0
Zfp819	25.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0
Ktn1	25.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0
Jun	25.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0
Endov	25.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0
Arhgef7	25.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0
Wnt10b	25.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	0
Ccdc93	25.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	0
Usp20	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0
Setd5	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0
Limch1	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	198	0	109	155	0	0	0
Cd177	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0
BC005624	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0
Adgb	25.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0
Haao	25.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0
Cog3	25.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0
Prr15	25.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0
Hacd3	25.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0
Crbn	25.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0
Akap7	25.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0
Sart3	25.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0
Mars2	25.444444	0	0	0	0	0	0	0	0	0	0	122	0	0	0	101	0	0	235	0
Iscu	25.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0
Hcar2	25.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0
Fam207a	25.444444	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	306	0
Tmprss13	25.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0
Pink1	25.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0
Hspbp1	25.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	0
Synpo	25.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0
Hmgn2	25.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0
Ethe1	25.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0
Rnf181	25.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
Nbeal2	25.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
Ddx6	25.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
Ccdc12	25.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
Btbd8	25.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
Arpc3	25.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
Alpk1	25.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0
Pias3	25.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0
Idi1	25.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0
Ambp	25.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0
Snx9	25.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0
Sema3b	25.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0
Msl1	25.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0
Egr1	25.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0
Cd274	25.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	295	0
Rpl3l	25.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0
Rbmy	25.111111	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	152	165	0	0
Msrb1	25.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0
Kdm3b	25.111111	0	0	0	0	0	0	0	0	0	0	0	153	0	103	0	0	0	196	0
Il17ra	25.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0
Igsf5	25.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0
Gm21708	25.111111	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	152	165	0	0
Gm21677	25.111111	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	152	165	0	0
Fkbpl	25.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0
Dennd11	25.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452	0
Upf1	25.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0
Satb2	25.055556	0	0	0	0	0	0	0	0	0	0	0	0	137	140	0	0	0	174	0
Ppp2r2d	25.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0
Mapk1ip1	25.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0
Ffar2	25.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0
Aip	25.055556	0	0	0	0	0	0	0	0	0	0	0	0	172	0	145	0	0	134	0
Slc30a7	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
Ren2	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
Ren1	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
Prkar2b	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
Lag3	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
Gas2l3	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
Extl2	25.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0
Efna3	25.000000	0	0	0	0	0	0	0	0	0	0	0	149	170	0	0	0	0	131	0
Cgn	25.000000	0	0	0	0	0	0	0	0	0	0	0	188	262	0	0	0	0	0	0
Zfp729b	24.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0
Tnfsf14	24.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0
Tcf7l2	24.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0
Esd	24.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0
Dennd5a	24.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0
Sh3pxd2b	24.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0
Plek	24.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0
Mex3c	24.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0
Grsf1	24.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0
Tpm1	24.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	119	155	0	0	173	0
Rps19	24.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0
Elf2	24.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0
Ten1	24.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Olfr427	24.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Olfr426	24.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Gsg1	24.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Fis1	24.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Acox1	24.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Abcb4	24.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0
Wrnip1	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Thnsl1	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Msh5	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Lbh	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Exoc2	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Enkur	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Clcn3	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Ccser1	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Amer1	24.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0
Ticam2	24.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0
Usp2	24.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0
Lnpep	24.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0
Vgll4	24.555556	0	0	0	0	0	0	0	0	0	0	0	113	139	0	0	190	0	0	0
Nyx	24.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0
Fer	24.555556	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	221	0
Ugt1a7c	24.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0
Ubxn2a	24.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0
Ptpn22	24.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0
Dcp1b	24.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0
Chd1	24.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0
Ccdc28b	24.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0
Bmf	24.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0
Slc12a7	24.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0
Rpl23	24.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0
Psmd10	24.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0
Hsdl1	24.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0
Dnaaf1	24.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0
Bcl2a1c	24.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0
Atg4a	24.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0
Rbm27	24.388889	0	0	0	0	0	0	0	0	0	0	0	0	221	0	122	0	0	96	0
Pth	24.388889	0	0	0	0	0	0	0	0	0	0	142	0	137	160	0	0	0	0	0
Pik3r2	24.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0
Osgep	24.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0
Mcur1	24.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0
