Target_genes	Rreb1|Average	SRX12298595|B_cells	STRING
D430041D05Rik	499.000000	499	0
Crabp2	499.000000	499	0
Sorcs3	498.000000	498	0
Rad51ap2	498.000000	498	0
Pax1	498.000000	498	0
Wipf1	497.000000	497	0
Nr4a2	497.000000	497	0
Mapk8ip2	497.000000	497	0
Insyn1	497.000000	497	0
Gsdmd	497.000000	497	0
Tekt4	496.000000	496	0
Psmb3	496.000000	496	0
Pcgf2	496.000000	496	0
Eid2	496.000000	496	0
Cpe	496.000000	496	0
Raph1	495.000000	495	0
Matn2	495.000000	495	0
Lmx1b	495.000000	495	0
Cracdl	495.000000	495	0
Ccn2	495.000000	495	0
Zfyve9	494.000000	494	0
Selenov	494.000000	494	0
Ugt8a	493.000000	493	0
Tlx3	493.000000	493	0
Slitrk5	493.000000	493	0
Myo5a	493.000000	493	0
Irx3	493.000000	493	0
Gm5784	493.000000	493	0
Efemp2	493.000000	493	0
Cnot11	493.000000	493	0
Onecut3	492.000000	492	0
Grm4	492.000000	492	0
Dcc	492.000000	492	0
Cyp2u1	492.000000	492	0
Clcc1	492.000000	492	0
Adgrg6	492.000000	492	0
Slc44a5	491.000000	491	0
Olig3	491.000000	491	0
Mmp16	491.000000	491	0
Magi1	491.000000	491	0
Irf2bpl	491.000000	491	0
Foxb2	491.000000	491	0
Faxc	491.000000	491	0
Pgr	490.000000	490	0
Maneal	490.000000	490	0
Cck	490.000000	490	0
Acvr1c	490.000000	490	0
Slc24a4	489.000000	489	0
Scamp5	489.000000	489	0
Podn	489.000000	489	0
Osbp2	489.000000	489	0
Hpcal1	489.000000	489	0
Slc2a12	488.000000	488	0
Rnf144b	488.000000	488	0
Ido1	488.000000	488	0
Fhl2	488.000000	488	0
Fezf1	488.000000	488	0
Creb5	488.000000	488	0
Wnt10b	487.000000	487	0
Tmem59l	487.000000	487	0
Slco3a1	487.000000	487	0
Phldb2	487.000000	487	0
Gucy2e	487.000000	487	0
Arhgap28	487.000000	487	0
Twist1	486.000000	486	0
Slc22a23	486.000000	486	0
Prkg1	486.000000	486	0
Igfbp3	486.000000	486	0
Ank1	486.000000	486	0
Tcp11l1	485.000000	485	0
Sfmbt2	485.000000	485	0
Pin1rt1	485.000000	485	0
Pik3c2b	485.000000	485	0
Lrp1b	485.000000	485	0
Akap9	485.000000	485	0
Abhd3	485.000000	485	0
Zfp469	484.000000	484	0
Begain	484.000000	484	0
Kcnj4	483.000000	483	0
Sp6	482.000000	482	0
Scn8a	482.000000	482	0
Oxct2b	482.000000	482	0
Col25a1	482.000000	482	0
Ccnj	482.000000	482	0
Aldh1a3	482.000000	482	0
Rnd3	481.000000	481	0
Prdm6	481.000000	481	0
Lmbr1	481.000000	481	0
Car7	481.000000	481	0
Adamts18	481.000000	481	0
Abcb4	481.000000	481	0
Spata33	480.000000	480	0
Pawr	480.000000	480	0
Itga1	480.000000	480	0
Gm1673	480.000000	480	0
Cxxc4	480.000000	480	0
Chmp1a	480.000000	480	0
Cbln2	480.000000	480	0
Wasf1	479.000000	479	0
Syndig1	479.000000	479	0
Rhbdd1	479.000000	479	0
Phf13	479.000000	479	0
Cdc40	479.000000	479	0
Tbc1d2b	478.000000	478	0
Rapgef4	478.000000	478	0
Prdm12	478.000000	478	0
Nkain2	478.000000	478	0
Lrrc2	478.000000	478	0
Lratd1	478.000000	478	0
Dnajc19	478.000000	478	0
Wnt3	477.000000	477	0
Rad54l2	477.000000	477	0
Ppp1r2	477.000000	477	0
Pcnx2	477.000000	477	0
Pafah2	477.000000	477	0
Lvrn	477.000000	477	0
Ints10	477.000000	477	0
Hjv	477.000000	477	0
Hecw2	477.000000	477	0
Cspg4b	477.000000	477	0
Zfp503	476.000000	476	0
Tro	476.000000	476	0
Sec14l2	476.000000	476	0
Padi3	476.000000	476	0
Nfatc4	476.000000	476	0
Mycn	476.000000	476	0
Lamb1	476.000000	476	0
Erfl	476.000000	476	0
Cemip	476.000000	476	0
Amer2	476.000000	476	0
Akain1	476.000000	476	0
Wnk4	475.000000	475	0
Vsnl1	475.000000	475	0
Tpbgl	475.000000	475	0
H4c2	475.000000	475	0
H3c2	475.000000	475	0
H2ac4	475.000000	475	0
Grm1	475.000000	475	0
Gpr176	475.000000	475	0
Ephb2	475.000000	475	0
Robo2	474.000000	474	0
Kcnd2	474.000000	474	0
Arpp21	474.000000	474	0
Prdm13	473.000000	473	0
Dpys	473.000000	473	0
Chid1	473.000000	473	0
C2cd4a	473.000000	473	0
Prkaa2	472.000000	472	0
Npas2	472.000000	472	0
Kit	472.000000	472	0
Hoxa6	472.000000	472	0
Hoxa3	472.000000	472	0
Cfap43	472.000000	472	0
Rara	471.000000	471	0
Mal2	471.000000	471	0
Hpcal4	471.000000	471	0
Etnk1	471.000000	471	0
Errfi1	471.000000	471	0
Wbp1l	470.000000	470	0
Rfx4	470.000000	470	0
Parp2	470.000000	470	0
Cecr2	470.000000	470	0
Uck2	469.000000	469	0
Pls3	469.000000	469	0
Nap1l2	469.000000	469	0
Kank4	469.000000	469	0
Cradd	469.000000	469	0
Cebpe	469.000000	469	0
Cep120	468.000000	468	0
2700062C07Rik	468.000000	468	0
Pcdh17	467.000000	467	0
Pax9	467.000000	467	0
Ntn4	467.000000	467	0
Myo5b	467.000000	467	0
Gabrb3	467.000000	467	0
Cobl	467.000000	467	0
Aspdh	467.000000	467	0
Rbms3	466.000000	466	0
Prkcq	466.000000	466	0
D430019H16Rik	466.000000	466	0
Clic5	466.000000	466	0
Lbx1	465.000000	465	0
Zfp454	464.000000	464	0
Slc25a10	464.000000	464	0
Pgbd5	464.000000	464	0
Pcolce2	464.000000	464	0
L1td1	464.000000	464	0
Foxn4	464.000000	464	0
Dgat1	464.000000	464	0
Zfp277	463.000000	463	0
Ssx2ip	463.000000	463	0
Kirrel3	463.000000	463	0
Fam81a	463.000000	463	0
Dock4	463.000000	463	0
Cldn23	463.000000	463	0
Camk2n1	463.000000	463	0
1110017D15Rik	463.000000	463	0
Pamr1	462.000000	462	0
Gsx1	462.000000	462	0
Emx2	462.000000	462	0
Rprm	461.000000	461	0
Plcb1	461.000000	461	0
H2bc4	461.000000	461	0
H2ac6	461.000000	461	0
Alx1	461.000000	461	0
Zfyve28	460.000000	460	0
Xkr5	460.000000	460	0
Plag1	460.000000	460	0
Krt19	460.000000	460	0
Klhl21	460.000000	460	0
Cfap99	460.000000	460	0
Tcfl5	459.000000	459	0
Tbx18	459.000000	459	0
Lhfpl2	459.000000	459	0
Grid2ip	459.000000	459	0
Cdh1	459.000000	459	0
Slc5a3	458.000000	458	0
Rtn4rl2	458.000000	458	0
Phc1	458.000000	458	0
Mrps6	458.000000	458	0
Gabra5	458.000000	458	0
Wwc2	457.000000	457	0
Ogdh	457.000000	457	0
Meis2	457.000000	457	0
Meis1	457.000000	457	0
Fstl1	457.000000	457	0
E4f1	457.000000	457	0
Dmbx1	457.000000	457	0
Cldn10	457.000000	457	0
Xylb	456.000000	456	0
Utp25	456.000000	456	0
Tram1l1	456.000000	456	0
Poc1b	456.000000	456	0
Galnt4	456.000000	456	0
Desi2	456.000000	456	0
Snx7	455.000000	455	0
Rnf130	455.000000	455	0
Ppm1l	455.000000	455	0
Pitx3	455.000000	455	0
Lepr	455.000000	455	0
Gbf1	455.000000	455	0
Foxf1	455.000000	455	0
Tspan18	454.000000	454	0
Tjp2	454.000000	454	0
Senp1	454.000000	454	0
Pfkm	454.000000	454	0
Nkx2-1	454.000000	454	0
Nck1	454.000000	454	0
Fam171b	454.000000	454	0
Fam110b	454.000000	454	0
C2cd4c	454.000000	454	0
AA467197	454.000000	454	0
Syt2	453.000000	453	0
Slk	453.000000	453	0
Kcnh7	453.000000	453	0
Hopx	453.000000	453	0
Dlx6	453.000000	453	0
Dact1	453.000000	453	0
Cdx4	453.000000	453	0
Prkn	452.000000	452	0
Padi2	452.000000	452	0
Pacrg	452.000000	452	0
Natd1	452.000000	452	0
Frmd4b	452.000000	452	0
Cerkl	452.000000	452	0
Nkx2-5	451.000000	451	0
Dhrs4	451.000000	451	0
Cilp2	451.000000	451	0
Zfp9	450.000000	450	0
Wnt2	450.000000	450	0
Timp2	450.000000	450	0
Cfap221	450.000000	450	0
Atxn7l3b	450.000000	450	0
Srd5a2	449.000000	449	0
Sall1	449.000000	449	0
Rgs17	449.000000	449	0
Megf8	449.000000	449	0
Aldh5a1	449.000000	449	0
Zfp462	448.000000	448	0
Hic1	448.000000	448	0
Cyp27b1	448.000000	448	0
Cxadr	448.000000	448	0
Unc5c	447.000000	447	0
Smg1	447.000000	447	0
Nfasc	447.000000	447	0
Jag1	447.000000	447	0
Arhgap42	447.000000	447	0
Nemf	446.000000	446	0
Lrrc3	446.000000	446	0
Irx1	446.000000	446	0
Eef1a2	446.000000	446	0
Adamts5	446.000000	446	0
Rel	445.000000	445	0
Lamc3	445.000000	445	0
H2bc11	445.000000	445	0
H2ac11	445.000000	445	0
Erbb4	445.000000	445	0
Zfhx4	444.000000	444	0
Polg	444.000000	444	0
Cyria	444.000000	444	0
Cfap206	444.000000	444	0
Btaf1	444.000000	444	0
Zdhhc2	443.000000	443	0
Slitrk1	443.000000	443	0
Rusc2	443.000000	443	0
Ptpn5	443.000000	443	0
Nes	443.000000	443	0
Hoxb7	443.000000	443	0
Gsc	443.000000	443	0
Fermt2	443.000000	443	0
Dusp18	443.000000	443	0
Ccdc113	443.000000	443	0
4921536K21Rik	443.000000	443	0
Tmem131	442.000000	442	0
Syndig1l	442.000000	442	0
Galnt3	442.000000	442	0
Cpeb1	442.000000	442	0
Tent4a	441.000000	441	0
Phactr3	441.000000	441	0
Pcp4l1	441.000000	441	0
Mrfap1	441.000000	441	0
Foxl2	441.000000	441	0
Nfkbia	440.000000	440	0
Hnf1b	440.000000	440	0
H3c15	440.000000	440	0
H3c14	440.000000	440	0
H2ac19	440.000000	440	0
H2ac18	440.000000	440	0
Fzd7	440.000000	440	0
Acox3	440.000000	440	0
Zfp960	439.000000	439	0
Stk3	439.000000	439	0
Rbm20	439.000000	439	0
Prrt4	439.000000	439	0
Prr5l	439.000000	439	0
Mob1a	439.000000	439	0
Marchf5	439.000000	439	0
Lrrfip1	439.000000	439	0
G2e3	439.000000	439	0
Eepd1	439.000000	439	0
Bod1	439.000000	439	0
Ankrd17	439.000000	439	0
Tfeb	438.000000	438	0
Pxdc1	438.000000	438	0
Ilf2	438.000000	438	0
Gdf6	438.000000	438	0
Erich2	438.000000	438	0
Slc10a5	437.000000	437	0
Sh3bgrl2	437.000000	437	0
Impa1	437.000000	437	0
Vegfa	436.000000	436	0
Ttbk1	436.000000	436	0
Lingo4	436.000000	436	0
Thsd7b	435.000000	435	0
Tbx20	435.000000	435	0
Slc26a8	435.000000	435	0
Rdm1	435.000000	435	0
Ppwd1	435.000000	435	0
Mia2	435.000000	435	0
Mapk14	435.000000	435	0
Cenpk	435.000000	435	0
Api5	435.000000	435	0
Zfp521	434.000000	434	0
Unc5a	434.000000	434	0
Klhl29	434.000000	434	0
Cda	434.000000	434	0
Ccna1	434.000000	434	0
St8sia1	433.000000	433	0
Peak1	433.000000	433	0
Hmg20a	433.000000	433	0
Tmem181a	432.000000	432	0
Pls1	432.000000	432	0
Pdgfra	432.000000	432	0
Mllt3	432.000000	432	0
Dhrs7	432.000000	432	0
Dchs1	432.000000	432	0
Ap1s3	432.000000	432	0
Tspyl1	431.000000	431	0
Nfix	431.000000	431	0
Gm14496	431.000000	431	0
Esx1	431.000000	431	0
Cdc20b	431.000000	431	0
Sytl2	430.000000	430	0
Fmnl2	430.000000	430	0
Faah	430.000000	430	0
Evx1	430.000000	430	0
Dipk2a	430.000000	430	0
Cdh22	430.000000	430	0
Tex261	429.000000	429	0
Slc12a4	429.000000	429	0
Rspo2	429.000000	429	0
Rpl31	429.000000	429	0
Osr2	429.000000	429	0
Efr3a	429.000000	429	0
Cdc73	429.000000	429	0
Shb	428.000000	428	0
Pramel1	428.000000	428	0
Jmy	428.000000	428	0
Insm1	428.000000	428	0
Gfra1	428.000000	428	0
Fam189a2	428.000000	428	0
Slc7a10	427.000000	427	0
Rubcn	427.000000	427	0
Rapgef6	427.000000	427	0
Myo15b	427.000000	427	0
Gulp1	427.000000	427	0
Gng12	427.000000	427	0
Fyttd1	427.000000	427	0
Dixdc1	427.000000	427	0
Cyb561	427.000000	427	0
Znhit3	426.000000	426	0
Rgs20	426.000000	426	0
Pex5l	426.000000	426	0
Cul9	426.000000	426	0
Arhgef28	425.000000	425	0
Vsx1	424.000000	424	0
Vstm2l	424.000000	424	0
Irx2	424.000000	424	0
Cdh2	424.000000	424	0
Tmcc3	423.000000	423	0
Srsf1	423.000000	423	0
Rims2	423.000000	423	0
Nptx1	423.000000	423	0
Lyzl6	423.000000	423	0
Ikbkg	423.000000	423	0
Helt	423.000000	423	0
Glis1	423.000000	423	0
Fam3a	423.000000	423	0
Eml5	423.000000	423	0
Sox14	422.000000	422	0
Esrp2	422.000000	422	0
Nme5	421.000000	421	0
Mfsd3	421.000000	421	0
Gpt	421.000000	421	0
Gask1b	421.000000	421	0
Cmip	421.000000	421	0
Clip4	421.000000	421	0
Bcl10	421.000000	421	0
Stc2	420.000000	420	0
Spry1	420.000000	420	0
Oxr1	420.000000	420	0
Nxph3	419.000000	419	0
Hs3st1	419.000000	419	0
Dtx1	419.000000	419	0
Ank	419.000000	419	0
Trh	418.000000	418	0
Spock1	418.000000	418	0
Shc4	418.000000	418	0
Pnp	418.000000	418	0
Sox13	416.000000	416	0
Slc35f1	416.000000	416	0
Slc22a15	416.000000	416	0
Sema3d	416.000000	416	0
Parva	416.000000	416	0
Chst8	416.000000	416	0
Ccdc141	416.000000	416	0
Arxes1	416.000000	416	0
Zfp791	415.000000	415	0
Ube2j1	415.000000	415	0
Rgs6	415.000000	415	0
Prokr2	415.000000	415	0
Ophn1	415.000000	415	0
Nsg1	415.000000	415	0
Neo1	415.000000	415	0
H2bu2	415.000000	415	0
Gata6	415.000000	415	0
Elovl2	415.000000	415	0
Sqstm1	414.000000	414	0
Prickle2	414.000000	414	0
Pcdh10	414.000000	414	0
Neurl1b	414.000000	414	0
Gsn	414.000000	414	0
Gjd3	414.000000	414	0
Fa2h	414.000000	414	0
Znrf4	413.000000	413	0
Ttc39c	413.000000	413	0
Tnfrsf1a	413.000000	413	0
Tmie	413.000000	413	0
Slc8a3	413.000000	413	0
Pygl	413.000000	413	0
Parp4	413.000000	413	0
Cenpj	413.000000	413	0
Als2cl	413.000000	413	0
Sox1	412.000000	412	0
Sirt4	412.000000	412	0
Mid2	412.000000	412	0
Lhfpl4	412.000000	412	0
Syt10	411.000000	411	0
Rpap2	411.000000	411	0
Nfkb2	411.000000	411	0
Myo5c	411.000000	411	0
Glmn	411.000000	411	0
Efr3b	411.000000	411	0
Cacna2d2	411.000000	411	0
Slco4c1	410.000000	410	0
Rab33b	410.000000	410	0
Gad1	410.000000	410	0
Eif2s2	410.000000	410	0
Sox9	409.000000	409	0
Fam135a	409.000000	409	0
9030624G23Rik	409.000000	409	0
Scrt1	408.000000	408	0
Nell1	408.000000	408	0
Map6d1	408.000000	408	0
Lhx4	408.000000	408	0
Hmx3	408.000000	408	0
Hmx2	408.000000	408	0
Grin2b	408.000000	408	0
Fam241b	408.000000	408	0
Esr1	408.000000	408	0
Tom1l1	407.000000	407	0
Taf1c	407.000000	407	0
Rimklb	407.000000	407	0
Mdga1	407.000000	407	0
F11r	407.000000	407	0
Dync1i2	407.000000	407	0
Cap2	407.000000	407	0
Tlx1	406.000000	406	0
Thsd7a	406.000000	406	0
Npr1	406.000000	406	0
Llgl2	406.000000	406	0
Gsc2	406.000000	406	0
Ess2	406.000000	406	0
Cntnap1	406.000000	406	0
Zswim5	405.000000	405	0
Rundc3a	405.000000	405	0
Ripply3	405.000000	405	0
Picalm	405.000000	405	0
Nuak1	405.000000	405	0
Ncs1	405.000000	405	0
Gclc	405.000000	405	0
Zbed5	404.000000	404	0
Tnfrsf12a	404.000000	404	0
Thoc6	404.000000	404	0
Ppic	404.000000	404	0
Pigg	404.000000	404	0
Lrrn1	404.000000	404	0
Knl1	404.000000	404	0
Kif7	404.000000	404	0
Cldn9	404.000000	404	0
Cldn6	404.000000	404	0
Cks2	404.000000	404	0
Slc16a11	403.000000	403	0
Nkx1-1	403.000000	403	0
Mal	403.000000	403	0
H4c11	403.000000	403	0
Ccdc22	403.000000	403	0
Cacna1f	403.000000	403	0
Bhlha9	403.000000	403	0
Alk	403.000000	403	0
Ryk	402.000000	402	0
Rims1	402.000000	402	0
Igfbp7	402.000000	402	0
Cacna2d3	402.000000	402	0
Cacna1c	402.000000	402	0
Trim67	401.000000	401	0
Slc35g2	401.000000	401	0
Rhbdf1	401.000000	401	0
Oaf	401.000000	401	0
Mpv17l	401.000000	401	0
Mpg	401.000000	401	0
Lrmp	401.000000	401	0
Ctsf	401.000000	401	0
Cd1d1	401.000000	401	0
Ankrd34b	401.000000	401	0
Vash2	400.000000	400	0
Tescl	400.000000	400	0
Shh	400.000000	400	0
Prdm10	400.000000	400	0
Mesp2	400.000000	400	0
Macrod2	400.000000	400	0
Kcnj8	400.000000	400	0
Grin3a	400.000000	400	0
Syn2	399.000000	399	0
Slc4a3	399.000000	399	0
Emp2	399.000000	399	0
Car8	399.000000	399	0
Adgrv1	399.000000	399	0
Zic4	398.000000	398	0
Scube1	398.000000	398	0
Rnf39	398.000000	398	0
Nxf1	398.000000	398	0
Khdrbs3	398.000000	398	0
Kcnc1	398.000000	398	0
Csmd1	398.000000	398	0
Tmem28	397.000000	397	0
Tgm2	397.000000	397	0
Krba1	397.000000	397	0
Jun	397.000000	397	0
Flrt2	397.000000	397	0
Cpxm1	397.000000	397	0
Bche	397.000000	397	0
4930503B20Rik	397.000000	397	0
Rnaseh2c	396.000000	396	0
Gfra4	396.000000	396	0
Dpf1	396.000000	396	0
Rusf1	395.000000	395	0
Nfia	395.000000	395	0
Itga5	395.000000	395	0
Dtd1	395.000000	395	0
Arhgap44	395.000000	395	0
Adamts9	395.000000	395	0
Zfp2	394.000000	394	0
Pou3f3	394.000000	394	0
Ndufa9	394.000000	394	0
Lhx5	394.000000	394	0
Eif4g3	394.000000	394	0
Cldn7	394.000000	394	0
Akap3	394.000000	394	0
Agap1	394.000000	394	0
Abhd17a	394.000000	394	0
Sema6d	393.000000	393	0
Lurap1l	393.000000	393	0
Klrg2	393.000000	393	0
Pou2f1	392.000000	392	0
Mertk	392.000000	392	0
Lrrc55	392.000000	392	0
Kctd8	392.000000	392	0
Kcnj3	392.000000	392	0
Elmo1	392.000000	392	0
Arl8a	392.000000	392	0
Arhgef17	392.000000	392	0
Wdr93	391.000000	391	0
Tmem231	391.000000	391	0
Pxdn	391.000000	391	0
Pex11a	391.000000	391	0
Msrb2	391.000000	391	0
Gtf2i	391.000000	391	0
Chst1	391.000000	391	0
Tmbim1	390.000000	390	0
Rarb	390.000000	390	0
Mpp3	390.000000	390	0
Sema3a	389.000000	389	0
Igf2	389.000000	389	0
Fut10	389.000000	389	0
Elf2	389.000000	389	0
Bcr	389.000000	389	0
Wnt5a	388.000000	388	0
Plch1	388.000000	388	0
Mid1	388.000000	388	0
H4c4	388.000000	388	0
H2bc6	388.000000	388	0
Ferd3l	388.000000	388	0
Dbx1	388.000000	388	0
Spock2	387.000000	387	0
Phpt1	387.000000	387	0
Ndnf	387.000000	387	0
Hyi	387.000000	387	0
Gatm	387.000000	387	0
Eml1	387.000000	387	0
Ajm1	387.000000	387	0
Snta1	386.000000	386	0
Pnmal2	386.000000	386	0
Otp	386.000000	386	0
Ankrd33b	386.000000	386	0
Satb2	385.000000	385	0
Rhpn2	385.000000	385	0
Prox1	385.000000	385	0
Mrpl23	385.000000	385	0
Arid1a	385.000000	385	0
Zfp451	384.000000	384	0
Wnt7b	384.000000	384	0
Sp8	384.000000	384	0
Shisal2a	384.000000	384	0
Rbpms2	384.000000	384	0
Klhl35	384.000000	384	0
Hes7	384.000000	384	0
Fam78b	384.000000	384	0
Duxbl3	384.000000	384	0
Duxbl2	384.000000	384	0
Duxbl1	384.000000	384	0
Rnf214	383.000000	383	0
Rbm33	383.000000	383	0
Pcsk7	383.000000	383	0
Nfil3	383.000000	383	0
Kcnh2	383.000000	383	0
Kcnb2	383.000000	383	0
Ica1l	383.000000	383	0
Actn2	383.000000	383	0
Yes1	382.000000	382	0
Tspan33	382.000000	382	0
Tmem127	382.000000	382	0
Spin4	382.000000	382	0
Rbms1	382.000000	382	0
Ptprt	382.000000	382	0
Krt18	382.000000	382	0
Ciao1	382.000000	382	0
Afap1l2	382.000000	382	0
Adora2b	382.000000	382	0
Tbc1d8	381.000000	381	0
Ptpn14	381.000000	381	0
Ptgis	381.000000	381	0
Pdgfc	381.000000	381	0
Atoh8	381.000000	381	0
Tnrc18	380.000000	380	0
Thbs4	380.000000	380	0
Tedc1	380.000000	380	0
Srgap1	380.000000	380	0
Rcan1	380.000000	380	0
Rab34	380.000000	380	0
Ptk2	380.000000	380	0
Proca1	380.000000	380	0
Pik3r3	380.000000	380	0
Mlh1	380.000000	380	0
Lancl3	380.000000	380	0
Ier3	380.000000	380	0
Icmt	380.000000	380	0
Flot1	380.000000	380	0
Epm2aip1	380.000000	380	0
Emb	380.000000	380	0
Crip1	380.000000	380	0
1700016H13Rik	380.000000	380	0
Zfp57	379.000000	379	0
Vax2	379.000000	379	0
Slc6a1	379.000000	379	0
Pard6b	379.000000	379	0
Lrrc38	379.000000	379	0
Lgi3	379.000000	379	0
1110008P14Rik	379.000000	379	0
Plcb3	378.000000	378	0
Gucy1b1	378.000000	378	0
Fam187a	378.000000	378	0
Eftud2	378.000000	378	0
Dmrta2	378.000000	378	0
Ccdc103	378.000000	378	0
Uts2r	377.000000	377	0
Syce2	376.000000	376	0
Slc9a3r2	376.000000	376	0
Pla2g4e	376.000000	376	0
Dgki	376.000000	376	0
Crh	376.000000	376	0
Siah3	375.000000	375	0
Rfx2	375.000000	375	0
Kcnma1	375.000000	375	0
Hr	375.000000	375	0
Arhgef4	375.000000	375	0
Sox3	374.000000	374	0
Mrps7	374.000000	374	0
Glt1d1	374.000000	374	0
Gga3	374.000000	374	0
Fam107a	374.000000	374	0
Chrna3	374.000000	374	0
Alox5	374.000000	374	0
Rxylt1	373.000000	373	0
Pld2	373.000000	373	0
Pcdh19	373.000000	373	0
Nrbp2	373.000000	373	0
H3c7	373.000000	373	0
H2bc9	373.000000	373	0
H1f10	373.000000	373	0
Greb1	373.000000	373	0
Ubd	372.000000	372	0
Otop3	372.000000	372	0
Olfr94	372.000000	372	0
H3c4	372.000000	372	0
H2bc8	372.000000	372	0
H2bc7	372.000000	372	0
H2ac8	372.000000	372	0
H2ac7	372.000000	372	0
Zkscan4	371.000000	371	0
Tmtc3	371.000000	371	0
Plcl1	371.000000	371	0
Gm7102	371.000000	371	0
Etl4	371.000000	371	0
Cfdp1	371.000000	371	0
Cep290	371.000000	371	0
Bcan	371.000000	371	0
Arnt2	371.000000	371	0
Usp29	370.000000	370	0
Tmem200b	370.000000	370	0
Tbx3	370.000000	370	0
Stac2	370.000000	370	0
Rasl11a	370.000000	370	0
Peg3	370.000000	370	0
Oxct2a	370.000000	370	0
Frmd5	370.000000	370	0
Frat1	370.000000	370	0
Col15a1	370.000000	370	0
Chsy3	370.000000	370	0
Chl1	370.000000	370	0
Adgra2	370.000000	370	0
Actr10	370.000000	370	0
Trim59	369.000000	369	0
Slc30a3	369.000000	369	0
Ptprz1	369.000000	369	0
Prmt5	369.000000	369	0
Notum	369.000000	369	0
Magel2	369.000000	369	0
Dnajc1	369.000000	369	0
Cdc42	369.000000	369	0
Ccdc34	369.000000	369	0
Zfp326	368.000000	368	0
Ptov1	368.000000	368	0
Nhlrc1	368.000000	368	0
Gas2l3	368.000000	368	0
Atp5g2	368.000000	368	0
Ttc12	367.000000	367	0
Tbpl1	367.000000	367	0
Syt14	367.000000	367	0
Grm8	367.000000	367	0
Bub3	367.000000	367	0
Wnt16	366.000000	366	0
Slc1a2	366.000000	366	0
Me1	366.000000	366	0
Gm3667	366.000000	366	0
Dner	366.000000	366	0
Slc7a2	365.000000	365	0
Pdgfb	365.000000	365	0
Ldhb	365.000000	365	0
Enpp4	365.000000	365	0
Dse	365.000000	365	0
Pth1r	364.000000	364	0
Mettl26	364.000000	364	0
Kirrel	364.000000	364	0
Epcam	364.000000	364	0
1110032F04Rik	364.000000	364	0
Tet1	363.000000	363	0
St6galnac6	363.000000	363	0
Slc43a1	363.000000	363	0
Sdk1	363.000000	363	0
Mpp2	363.000000	363	0
Lamp5	363.000000	363	0
Exph5	363.000000	363	0
Dgkb	363.000000	363	0
Slc2a13	362.000000	362	0
Slc27a1	362.000000	362	0
Nxnl1	362.000000	362	0
Hpf1	362.000000	362	0
Gjb1	362.000000	362	0
Drd4	362.000000	362	0
Crhr2	362.000000	362	0
Wdfy3	361.000000	361	0
Qsox1	361.000000	361	0
Nlgn1	361.000000	361	0
Nkx6-1	361.000000	361	0
Morc4	361.000000	361	0
Mkln1	361.000000	361	0
Grik4	361.000000	361	0
Ear10	361.000000	361	0
Bach1	361.000000	361	0
Arxes2	361.000000	361	0
Traf4	360.000000	360	0
Ppme1	360.000000	360	0
Pcsk1	360.000000	360	0
Ncam2	360.000000	360	0
C2cd3	360.000000	360	0
Wscd1	359.000000	359	0
Tymp	359.000000	359	0
Sco2	359.000000	359	0
Phyhipl	359.000000	359	0
Odf3b	359.000000	359	0
Mbd1	359.000000	359	0
Klhdc7b	359.000000	359	0
Icosl	359.000000	359	0
Gm21297	359.000000	359	0
Dlgap4	359.000000	359	0
Chrm2	359.000000	359	0
Zic3	358.000000	358	0
Tert	358.000000	358	0
Lrrc3b	358.000000	358	0
Kcng2	358.000000	358	0
Hyal2	358.000000	358	0
Gm9222	358.000000	358	0
Capn15	358.000000	358	0
Arhgef10	358.000000	358	0
Rims4	357.000000	357	0
Nckap1	357.000000	357	0
Zranb2	356.000000	356	0
Zfp511	356.000000	356	0
Tubgcp2	356.000000	356	0
Slc32a1	356.000000	356	0
Rnf31	356.000000	356	0
Psme2	356.000000	356	0
Nkd2	356.000000	356	0
Klf2	356.000000	356	0
Eral1	356.000000	356	0
Dok7	356.000000	356	0
Cacna1e	356.000000	356	0
Ppp1r16b	355.000000	355	0
Dlx1	355.000000	355	0
Cep20	355.000000	355	0
Ccnt1	355.000000	355	0
Arc	355.000000	355	0
4930415O20Rik	355.000000	355	0
Qrich1	354.000000	354	0
Pkdrej	354.000000	354	0
Ltb	354.000000	354	0
Lacc1	354.000000	354	0
Gprc5c	354.000000	354	0
Garem2	354.000000	354	0
Gabra4	354.000000	354	0
Elmod1	354.000000	354	0
Ccdc122	354.000000	354	0
Barhl2	354.000000	354	0
Areg	354.000000	354	0
3110082J24Rik	354.000000	354	0
Slitrk3	353.000000	353	0
Mocos	353.000000	353	0
Mctp1	353.000000	353	0
Lmnb2	353.000000	353	0
Htr7	353.000000	353	0
H3c3	353.000000	353	0
H3c11	353.000000	353	0
H2bc3	353.000000	353	0
H2bc22	353.000000	353	0
H2ac22	353.000000	353	0
Cdkn1c	353.000000	353	0
Zfp623	352.000000	352	0
Soga3	352.000000	352	0
Pitpnm3	352.000000	352	0
Marchf11	352.000000	352	0
Cyp27a1	352.000000	352	0
Cdk20	352.000000	352	0
Xrn2	351.000000	351	0
Stk39	351.000000	351	0
Sstr4	351.000000	351	0
Sac3d1	351.000000	351	0
Rd3l	351.000000	351	0
Rac3	351.000000	351	0
Mtx2	351.000000	351	0
Dclk3	351.000000	351	0
Zfp637	350.000000	350	0
Sparc	350.000000	350	0
Slc25a48	350.000000	350	0
Sigmar1	350.000000	350	0
Shd	350.000000	350	0
Rag2	350.000000	350	0
Pkp1	350.000000	350	0
