Target_genes	Nfe2|Average	SRX203211|Erythroblasts	SRX18530089|Erythroid_Cells	SRX18530090|Erythroid_Cells	SRX1629386|M1	SRX203207|Megakaryocytes	SRX203208|Megakaryocytes	SRX204382|Megakaryocytes	SRX2200549|Pro-B_cells	SRX298037|Ter119_Erythrocytes	STRING
Bspry	106.555556	0	0	0	0	0	0	0	959	0	0
Slamf6	106.444444	0	0	0	0	0	0	0	958	0	0
Cnot2	106.333333	0	0	0	159	0	0	0	798	0	0
Otulin	106.111111	0	0	0	0	0	0	0	955	0	0
Stat4	106.000000	0	0	0	266	0	0	0	688	0	0
Bnip3	105.666667	205	106	184	0	0	160	0	296	0	0
Syne2	105.222222	0	0	0	0	0	0	204	743	0	0
G3bp1	105.111111	97	0	0	0	0	151	0	515	183	0
Ibtk	105.000000	118	138	133	0	0	0	0	203	353	0
Gm4981	105.000000	0	0	0	172	0	0	0	198	575	0
Vps29	104.777778	0	0	0	0	0	0	0	943	0	0
Rad9b	104.777778	0	0	0	0	0	0	0	943	0	0
Ap1g1	104.777778	299	0	0	0	0	0	112	226	306	0
Usp10	104.666667	0	186	283	0	0	0	0	368	105	0
Slc4a5	104.111111	0	0	0	194	0	0	0	743	0	0
Psmd7	104.000000	243	0	0	0	0	155	138	129	271	0
Clcn3	104.000000	0	213	183	0	0	0	0	0	540	0
Twf2	103.888889	0	0	0	360	0	0	0	575	0	0
Ppm1m	103.888889	0	0	0	360	0	0	0	575	0	0
Clec2g	103.777778	0	0	0	101	0	0	0	833	0	0
Cd44	103.777778	0	0	0	0	0	0	0	0	934	0
Grb10	103.666667	0	0	0	0	0	0	0	933	0	0
Cep55	103.555556	0	0	0	351	0	0	0	581	0	0
Crlf3	103.444444	363	0	0	0	0	0	0	230	338	0
Adam10	103.000000	124	0	134	0	0	172	0	234	263	0
Zfp36	102.444444	0	0	0	0	0	135	0	787	0	0
Xirp1	102.222222	0	0	0	300	0	0	0	620	0	0
Cd300ld3	102.222222	0	0	0	192	0	0	0	728	0	0
Psme4	102.111111	206	171	258	0	0	98	0	186	0	0
Tomm20	101.888889	0	0	0	0	0	139	0	778	0	0
Rpgrip1l	101.888889	0	0	0	236	0	0	0	681	0	0
Fto	101.888889	0	0	0	236	0	0	0	681	0	0
Nanp	101.777778	0	0	190	0	0	0	0	519	207	0
Angptl6	101.555556	0	0	0	223	0	0	0	691	0	0
Serpinb9c	101.444444	0	0	0	0	0	0	0	913	0	0
Scaf4	101.444444	0	0	0	0	0	0	0	913	0	0
Rps29	101.111111	0	0	0	0	0	0	674	236	0	0
Gsta4	101.111111	0	225	251	142	0	0	0	292	0	0
Gm867	101.000000	214	0	0	0	0	0	0	0	695	0
Efhd2	100.888889	155	0	0	0	0	0	0	753	0	0
Dph2	100.777778	0	0	0	0	0	0	0	0	907	0
B4galt2	100.777778	0	0	0	0	0	0	0	0	907	0
Atp6v0b	100.777778	0	0	0	0	0	0	0	0	907	0
Leng8	100.555556	0	0	0	0	0	0	0	794	111	0
Pdlim7	100.444444	0	0	0	0	0	206	0	698	0	0
Aox2	100.444444	0	0	0	117	0	0	0	787	0	0
H2-T9	100.333333	0	0	0	0	0	0	0	903	0	0
H2-T22	100.333333	0	0	0	0	0	0	0	903	0	0
Gm6034	100.333333	0	0	0	0	0	0	0	903	0	0
Tctn3	100.222222	0	0	0	184	0	0	0	718	0	0
Entpd1	100.222222	0	0	0	184	0	0	0	718	0	0
Bin2	99.888889	0	0	0	134	0	193	0	572	0	0
Adsl	99.777778	0	85	187	155	0	0	0	471	0	0
Micu1	99.666667	0	0	0	0	0	0	0	897	0	0
Esd	99.555556	199	171	155	0	0	371	0	0	0	0
Cdh12	99.444444	229	0	0	0	436	230	0	0	0	0
Pxmp4	99.222222	0	135	0	0	0	144	0	490	124	0
Hvcn1	99.222222	0	0	0	0	0	0	0	893	0	0
Rab35	98.888889	0	0	0	0	0	0	0	890	0	0
Tgm5	98.777778	0	0	0	0	0	210	0	679	0	0
Tjap1	98.666667	0	0	0	0	0	0	0	888	0	0
Rab44	98.444444	0	0	0	0	0	0	0	886	0	0
Pik3cd	98.333333	0	0	0	0	0	97	186	602	0	0
Ccl24	98.333333	0	0	0	462	0	0	0	423	0	0
Oaf	98.222222	0	0	0	0	0	0	0	884	0	0
Fam219a	98.000000	138	0	0	0	0	102	0	642	0	0
Dnaic1	98.000000	138	0	0	0	0	102	0	642	0	0
Zfp382	97.888889	0	0	0	0	0	0	0	568	313	0
Srcap	97.888889	166	106	163	0	0	0	0	446	0	0
Lsp1	97.666667	0	0	0	146	0	0	0	733	0	0
Gid4	97.333333	0	0	0	0	0	0	0	765	111	0
Trpm2	96.666667	0	0	0	0	0	0	0	870	0	0
Sema4b	96.444444	0	0	0	0	0	0	0	868	0	0
Nox1	96.444444	0	0	0	125	0	0	0	743	0	0
Samhd1	96.111111	0	0	0	117	0	0	0	748	0	0
Ap5b1	96.111111	0	0	0	142	0	0	0	723	0	0
2300009A05Rik	96.111111	0	0	0	189	0	0	0	676	0	0
Cdk14	95.777778	0	0	0	222	0	346	0	294	0	0
Atxn3	95.777778	0	0	0	0	0	0	0	204	658	0
Stmn1	95.555556	0	0	0	0	0	0	0	0	860	0
Slpi	95.555556	0	0	0	121	0	0	0	739	0	0
Fgf11	95.111111	0	0	0	0	0	0	0	856	0	0
Chrnb1	95.111111	0	0	0	0	0	0	0	856	0	0
Pick1	94.888889	0	0	0	147	0	156	0	551	0	0
Tmco1	94.444444	0	0	0	174	0	0	0	676	0	0
Usp14	94.333333	193	0	106	0	0	0	0	106	444	0
Scn5a	94.222222	0	0	0	0	0	0	0	848	0	0
Nfe2l2	94.222222	230	0	0	0	0	167	0	451	0	0
Arhgef2	94.222222	0	0	0	166	0	0	0	682	0	0
Arhgap12	94.222222	0	0	0	0	0	0	0	180	668	0
Cd1d1	94.000000	0	0	0	0	0	129	0	717	0	0
Gm14325	93.888889	0	0	0	0	0	0	0	845	0	0
Ube2j2	93.666667	0	0	0	0	0	0	0	843	0	0
Srp19	93.444444	200	0	0	0	0	197	111	333	0	0
Dynlt1f	93.333333	246	0	0	0	0	271	0	194	129	0
Dynlt1c	93.333333	246	0	0	0	0	271	0	194	129	0
Pkm	93.111111	132	0	98	0	0	374	0	234	0	0
Hba-a2	93.111111	217	0	0	0	0	0	0	221	400	0
Hba-a1	93.111111	217	0	0	0	0	0	0	221	400	0
Rnf11	93.000000	339	0	84	0	0	284	0	0	130	0
Nemf	93.000000	0	0	0	0	0	0	653	184	0	0
Aqp9	92.666667	0	0	0	0	0	0	0	834	0	0
Spp1	92.444444	0	0	0	0	0	0	0	832	0	0
Adssl1	92.444444	0	0	0	121	0	0	0	711	0	0
Slc20a1	92.333333	286	0	158	0	0	200	0	0	187	0
Lztfl1	92.333333	110	0	0	0	0	0	0	0	721	0
Sptbn4	92.222222	188	162	131	0	0	185	0	0	164	0
Ppard	92.111111	266	0	0	0	0	235	0	328	0	0
Syt2	92.000000	0	0	0	0	0	0	0	828	0	0
Bdh2	92.000000	0	0	0	559	0	0	0	269	0	0
Cenpu	91.555556	158	138	207	0	0	164	0	157	0	0
Ctsb	91.444444	0	0	0	0	0	0	0	823	0	0
Fbp2	91.222222	0	0	0	138	0	0	0	683	0	0
Txlnb	90.555556	0	0	0	0	0	133	0	682	0	0
Sema4a	90.555556	0	0	0	87	0	0	0	728	0	0
Morc2a	90.555556	0	0	0	0	0	0	0	0	815	0
Cd163l1	90.555556	0	0	0	0	0	0	274	204	337	0
Rab43	90.444444	172	144	129	0	0	0	0	0	369	0
Zfp652	90.333333	0	0	0	0	0	0	0	813	0	0
Blvrb	90.222222	188	162	131	0	0	167	0	0	164	0
Tfe3	90.111111	0	0	0	0	0	176	0	635	0	0
Dhx35	90.111111	0	0	104	0	0	134	0	340	233	0
Psme3	89.888889	150	169	126	0	0	0	0	0	364	0
Ubxn4	89.777778	0	162	168	0	0	0	0	478	0	0
Prkdc	89.777778	0	0	0	0	0	0	524	284	0	0
Slc15a3	89.555556	0	0	0	0	0	0	0	806	0	0
Tex26	89.000000	0	0	0	0	0	0	0	801	0	0
Cmas	89.000000	124	113	135	0	0	158	0	160	111	0
Rtn4rl2	88.777778	0	0	0	0	0	0	0	799	0	0
Fkbp6	88.777778	0	0	0	371	0	0	0	428	0	0
Zswim1	88.555556	199	0	0	0	0	0	0	238	360	0
Susd1	88.555556	0	0	0	0	0	324	0	473	0	0
Galr3	88.111111	0	0	0	139	0	0	0	654	0	0
Mthfr	87.666667	0	0	132	0	0	0	0	0	657	0
Hsh2d	87.666667	0	0	0	0	0	0	0	789	0	0
Clcn6	87.666667	0	0	132	0	0	0	0	0	657	0
Med13	87.555556	125	163	168	0	0	0	0	137	195	0
Dennd6a	87.555556	0	0	0	140	0	0	0	648	0	0
Dpysl3	87.444444	0	0	0	0	0	0	0	0	787	0
1700093K21Rik	87.111111	0	0	0	133	0	0	0	651	0	0
Taf7	86.888889	64	0	0	0	0	0	92	462	164	0
Akap5	86.555556	0	0	0	167	0	0	0	612	0	0
Adamts8	86.555556	0	0	0	118	0	0	0	661	0	0
Plk3	86.333333	200	0	98	129	0	243	0	107	0	0
M6pr	86.222222	0	162	188	0	0	0	0	426	0	0
Ifit3	86.222222	0	0	0	74	0	0	0	702	0	0
Psmd1	86.111111	122	0	0	0	0	0	152	501	0	0
Eva1b	86.111111	0	0	0	0	0	0	0	775	0	0
Ube2b	86.000000	0	0	0	0	0	0	0	0	774	0
Gsr	86.000000	119	293	254	108	0	0	0	0	0	0
Cdkl3	86.000000	0	0	0	0	0	0	0	0	774	0
Cep120	85.666667	119	0	0	164	0	0	0	488	0	0
Pitrm1	85.555556	194	95	197	0	0	0	0	0	284	0
Kif2a	85.444444	167	141	148	0	0	0	0	313	0	0
Cops6	85.444444	0	0	0	0	0	0	0	769	0	0
Tmem219	85.333333	0	0	0	0	0	0	0	690	78	0
Pxt1	85.333333	294	0	74	0	0	262	0	138	0	0
Ppp2ca	85.333333	0	0	0	0	0	0	0	768	0	0
Mocs1	85.111111	0	0	0	0	0	119	0	139	508	0
Med28	84.888889	0	0	0	0	0	0	0	0	764	0
Eepd1	84.888889	0	0	0	265	0	0	0	499	0	0
Nudt12	84.777778	217	0	162	0	0	211	0	173	0	0
Ipo13	84.777778	0	0	0	0	0	0	0	763	0	0
Gstt2	84.777778	0	0	0	161	0	0	0	602	0	0
Snrnp70	84.666667	0	108	116	124	0	161	0	253	0	0
Commd8	84.555556	0	0	0	0	0	0	0	761	0	0
9230019H11Rik	84.555556	0	0	0	0	0	0	0	386	375	0
Vps33a	84.444444	0	0	0	0	0	0	0	0	760	0
Zfp397	84.333333	0	0	0	87	0	0	0	672	0	0
Cln8	84.111111	0	0	0	270	0	0	0	487	0	0
Rps6ka5	84.000000	0	0	0	0	0	167	0	589	0	0
Ctss	83.888889	0	0	0	192	0	0	0	563	0	0
Sesn1	83.777778	0	0	0	180	0	0	0	574	0	0
Retreg1	83.555556	0	0	0	0	0	0	0	752	0	0
Zfp219	83.444444	0	205	253	0	0	0	0	0	293	0
Whamm	83.444444	170	91	146	0	0	0	0	0	344	0
Ppp1ca	83.444444	0	0	0	0	0	0	0	751	0	0
Spef1l	83.333333	0	0	0	222	0	0	0	528	0	0
Prss57	83.333333	0	0	0	229	0	0	0	521	0	0
Palm	83.333333	0	0	0	229	0	0	0	521	0	0
Capn1	83.333333	0	146	153	0	0	0	0	291	160	0
Btc	83.222222	0	0	0	146	0	0	0	603	0	0
Evi5	83.111111	225	117	125	0	0	0	0	0	281	0
Tnpo1	83.000000	0	0	0	169	0	0	0	578	0	0
Tuba1c	82.888889	121	0	118	0	0	0	0	221	286	0
Asb1	82.888889	0	0	201	0	0	0	0	214	331	0
Zc3h4	82.777778	195	0	0	0	0	357	0	0	193	0
Acyp2	82.777778	301	0	0	0	0	169	0	0	275	0
Slc39a13	82.666667	0	0	0	212	0	0	0	532	0	0
Sycn	82.555556	0	0	0	0	0	0	0	743	0	0
Aox1	82.222222	0	0	0	0	0	447	0	293	0	0
Tubb5	82.111111	0	0	0	132	0	0	0	607	0	0
Mdc1	82.111111	0	0	0	132	0	0	0	607	0	0
Lpar1	82.111111	0	0	0	0	0	0	0	739	0	0
Wsb2	82.000000	0	0	0	0	0	0	0	738	0	0
Thra	82.000000	0	0	0	320	0	0	0	418	0	0
Cdk12	81.333333	0	143	225	0	0	0	0	364	0	0
Egln2	81.222222	106	84	87	0	0	0	0	454	0	0
Tubb2a	81.111111	0	180	359	0	0	0	0	191	0	0
Magi2	81.111111	0	0	0	0	0	0	0	730	0	0
Agrp	81.000000	0	0	0	0	0	0	0	469	260	0
Gm11213	80.777778	0	0	0	0	0	0	0	362	365	0
Vmn1r33	80.555556	0	0	0	158	0	0	0	567	0	0
Spred2	80.444444	0	0	0	0	0	235	0	489	0	0
Cst7	80.444444	0	0	0	0	0	0	0	724	0	0
Zfp560	80.333333	0	0	0	0	0	0	0	723	0	0
Prr7	80.333333	0	0	0	0	0	0	0	723	0	0
Sema4d	80.111111	103	0	159	0	0	140	0	319	0	0
Fam13a	80.111111	0	0	0	0	0	0	0	721	0	0
Kbtbd12	80.000000	109	71	0	0	0	0	0	309	231	0
Ogfod2	79.888889	193	0	0	0	0	0	0	0	526	0
Arl6ip4	79.888889	193	0	0	0	0	0	0	0	526	0
Olfr630	79.777778	0	0	0	0	0	0	0	718	0	0
Fbxo40	79.444444	0	0	0	0	0	0	0	715	0	0
Fam227b	79.444444	0	0	0	0	0	0	715	0	0	0
Dtwd1	79.444444	0	0	0	0	0	0	715	0	0	0
Lancl1	79.000000	0	0	0	0	0	0	0	711	0	0
Fbxo7	79.000000	0	0	0	0	0	0	0	711	0	0
Metap2	78.888889	211	0	0	0	0	0	0	102	397	0
Rnf113a2	78.777778	324	0	0	0	0	112	0	82	191	0
Aspg	78.666667	0	89	120	0	0	112	0	387	0	0
Atp1b1	78.555556	0	0	0	0	0	0	0	707	0	0
Slc2a9	78.444444	261	0	96	0	0	198	0	0	151	0
Phf23	78.444444	0	0	0	0	0	0	0	0	706	0
Dvl2	78.444444	0	0	0	0	0	0	0	0	706	0
Tiparp	78.333333	0	0	0	260	0	0	0	445	0	0
Camk2g	78.333333	0	0	0	104	0	0	0	601	0	0
Pcbp1	78.111111	309	0	0	0	0	221	0	0	173	0
Rhag	78.000000	146	234	322	0	0	0	0	0	0	0
Neurog1	77.666667	0	0	0	0	0	0	0	699	0	0
Utp11	77.555556	0	0	0	0	0	110	0	588	0	0
Sfrp4	77.555556	0	0	0	0	0	0	0	536	162	0
Rida	77.555556	0	0	0	0	0	242	0	456	0	0
Pop1	77.555556	0	0	0	0	0	242	0	456	0	0
Fhl3	77.555556	0	0	0	0	0	110	0	588	0	0
Epdr1	77.555556	0	0	0	0	0	0	0	536	162	0
Kbtbd7	77.444444	0	0	0	0	0	0	0	578	119	0
P2rx7	77.333333	0	0	0	0	0	153	0	338	205	0
Rasip1	77.222222	0	0	0	0	0	0	695	0	0	0
Izumo1	77.222222	0	0	0	0	0	0	695	0	0	0
Eif4ebp1	77.222222	0	0	0	0	0	0	0	695	0	0
Arhgef19	77.222222	0	0	0	0	0	0	0	695	0	0
Rdh19	77.111111	0	0	0	0	0	0	0	694	0	0
Yipf4	77.000000	228	78	77	0	0	0	0	0	310	0
Gon4l	77.000000	0	0	0	160	0	0	0	533	0	0
Dux	76.888889	0	0	0	0	0	0	0	117	575	0
Dlgap4	76.888889	0	0	0	0	0	0	0	692	0	0
Copz1	76.666667	207	0	0	0	263	0	0	110	110	0
Ccdc130	76.666667	0	0	0	0	0	0	0	690	0	0
Nup188	76.555556	0	0	0	0	0	0	0	0	689	0
Mpeg1	76.555556	0	0	0	0	0	267	0	422	0	0
Dolk	76.555556	0	0	0	0	0	0	0	0	689	0
Cpxm1	76.444444	0	0	0	0	0	0	0	688	0	0
Tmem115	76.333333	228	0	0	0	275	184	0	0	0	0
Prr13	76.333333	137	112	138	0	0	161	0	139	0	0
Ifna13	76.333333	215	0	0	0	192	181	0	99	0	0
Fgl2	76.333333	0	0	0	0	0	0	0	687	0	0
Snx33	76.222222	0	0	0	0	0	0	0	686	0	0
Psmc3	76.222222	0	0	0	0	0	0	0	686	0	0
Ctsd	76.222222	292	0	0	0	0	0	0	147	247	0
Sorbs1	76.111111	0	0	0	0	0	0	0	0	685	0
Ank2	76.111111	0	0	0	0	0	0	0	685	0	0
Tinagl1	76.000000	224	0	0	0	0	0	0	0	460	0
Btbd2	76.000000	0	0	0	0	0	0	0	684	0	0
Rnf38	75.777778	197	131	76	0	0	0	0	278	0	0
Ero1a	75.777778	0	80	123	0	0	118	0	361	0	0
Pgm1	75.666667	438	0	0	0	0	243	0	0	0	0
Kcnc3	75.666667	0	0	0	185	0	0	0	496	0	0
Dyrk1b	75.555556	0	0	0	0	0	0	0	0	680	0
Adra2a	75.555556	0	0	0	0	0	0	0	680	0	0
Rab5if	75.444444	0	0	0	0	0	0	0	679	0	0
Ghrh	75.333333	122	0	0	0	0	230	0	326	0	0
Siglec1	75.222222	0	0	0	0	0	0	0	677	0	0
Zmym6	75.000000	0	0	0	0	0	0	0	0	675	0
Mylk2	75.000000	0	0	0	0	0	0	0	675	0	0
Lamtor4	74.777778	0	0	0	0	0	0	0	673	0	0
Kcnn1	74.777778	0	0	0	0	0	0	0	673	0	0
Tmem235	74.666667	0	0	0	0	0	0	0	542	130	0
Malt1	74.555556	0	0	0	0	0	0	671	0	0	0
Atr	74.444444	0	0	153	191	0	0	0	326	0	0
1700065D16Rik	74.444444	0	0	153	191	0	0	0	326	0	0
Cad	74.333333	0	0	0	0	0	0	383	286	0	0
Pepd	74.222222	0	0	0	0	0	0	0	668	0	0
Mtmr7	74.222222	0	0	0	0	0	0	309	359	0	0
Etfrf1	74.222222	109	0	149	0	0	120	0	290	0	0
Casc1	74.222222	109	0	149	0	0	120	0	290	0	0
Flna	74.111111	0	0	0	133	0	0	0	534	0	0
C87436	74.111111	0	0	0	0	0	0	0	152	515	0
Gstm6	74.000000	0	0	0	176	0	283	0	207	0	0
Shcbp1l	73.888889	141	119	142	0	0	0	0	0	263	0
Rfesd	73.888889	150	174	259	0	0	0	0	82	0	0
Nup93	73.888889	319	0	0	0	0	346	0	0	0	0
Trmo	73.777778	0	0	0	0	0	0	0	0	664	0
Cadm4	73.777778	0	0	0	0	0	0	0	664	0	0
Csdc2	73.555556	0	0	0	0	0	0	0	662	0	0
Cntfr	73.555556	0	0	0	0	0	0	0	662	0	0
Ube2v1	73.444444	0	0	0	0	0	0	0	661	0	0
Ankle1	73.444444	0	134	147	0	0	0	0	380	0	0
Ecpas	73.222222	162	0	0	0	0	189	0	308	0	0
Smo	73.111111	0	0	0	0	0	0	0	658	0	0
Akap8l	73.111111	118	0	0	0	0	139	0	128	273	0
Scly	73.000000	0	0	0	0	0	0	0	657	0	0
Crcp	72.777778	0	0	0	0	0	0	0	655	0	0
Rsad2	72.555556	0	0	0	0	0	0	0	386	267	0
Pus10	72.555556	0	140	217	0	0	0	0	296	0	0
Marchf6	72.444444	0	0	0	0	0	0	0	652	0	0
Senp7	72.222222	0	0	0	0	0	0	0	650	0	0
Ddx3x	72.222222	0	0	0	0	0	0	0	650	0	0
Retreg2	72.111111	0	0	0	0	0	0	0	0	649	0
Cnppd1	72.111111	0	0	0	0	0	0	0	0	649	0
Vmn1r39	72.000000	0	0	0	141	0	0	0	507	0	0
Snx2	72.000000	0	0	0	0	0	0	0	648	0	0
Psmd11	72.000000	0	133	138	0	0	206	0	171	0	0
Vamp5	71.888889	0	0	0	0	0	0	0	647	0	0
Spsb2	71.666667	0	0	0	0	0	0	0	443	202	0
Shld1	71.666667	0	0	0	122	0	0	0	523	0	0
Me1	71.666667	0	0	96	0	0	0	0	549	0	0
Acadl	71.333333	0	0	0	0	0	0	0	642	0	0
Ptgr1	71.222222	162	159	165	0	0	155	0	0	0	0
Adar	71.222222	127	0	0	0	0	219	0	295	0	0
Gtf2h2	71.111111	0	0	0	277	0	0	0	363	0	0
Armc9	71.000000	0	0	0	0	0	0	0	0	639	0
Spats2	70.888889	0	0	0	0	0	0	0	638	0	0
Mapk6	70.888889	0	0	0	0	0	0	0	638	0	0
Irf2bpl	70.888889	0	0	0	134	0	0	0	504	0	0
Cox18	70.888889	0	0	0	0	0	0	0	638	0	0
Stmn3	70.666667	0	0	0	238	0	0	0	398	0	0
Rtel1	70.666667	0	0	0	238	0	0	0	398	0	0
Hps5	70.666667	0	0	0	0	0	0	374	0	262	0
Gtf2h1	70.666667	0	0	0	0	0	0	374	0	262	0
Colec11	70.555556	0	0	0	0	0	0	0	635	0	0
Cln5	70.555556	0	0	0	0	0	0	0	635	0	0
Sh2b1	70.333333	0	0	0	0	0	136	0	497	0	0
Hspa1l	70.333333	0	0	0	0	0	0	0	633	0	0
Hspa1a	70.333333	0	0	0	0	0	0	0	633	0	0
Acsf3	70.333333	0	0	0	0	0	0	0	633	0	0
Rab3gap2	70.222222	0	0	0	0	0	0	0	0	632	0
Trim35	70.111111	0	0	0	0	0	0	0	631	0	0
Slc7a9	70.000000	0	0	0	0	0	0	0	630	0	0
Gtf2a2	69.666667	0	0	0	0	0	101	0	526	0	0
Il1b	69.555556	0	0	0	0	0	0	0	626	0	0
Cyrib	69.555556	0	0	0	144	0	0	0	482	0	0
Tasp1	69.333333	0	0	0	0	0	0	0	0	624	0
Arhgef12	69.333333	179	80	113	0	0	0	0	252	0	0
Tedc2	69.000000	0	179	141	0	0	165	0	136	0	0
Ltb4r2	69.000000	0	0	0	0	0	0	0	621	0	0
Ltb4r1	69.000000	0	0	0	0	0	0	0	621	0	0
Arrb1	69.000000	226	0	63	0	0	0	0	160	172	0
Vcp	68.888889	141	0	0	0	0	0	0	303	176	0
Ttc41	68.888889	0	0	123	0	0	164	0	333	0	0
Slc6a5	68.888889	0	0	0	0	0	0	0	620	0	0
Il10	68.888889	0	0	0	0	0	0	0	620	0	0
Hsp90b1	68.888889	0	0	123	0	0	164	0	333	0	0
Zfp870	68.777778	0	0	0	0	0	0	0	619	0	0
Cmip	68.777778	0	0	0	153	0	0	0	466	0	0
Psmg1	68.333333	0	0	0	0	0	0	0	615	0	0
Tank	68.222222	0	0	0	482	0	0	0	132	0	0
Oxsm	68.222222	0	111	104	0	0	0	0	399	0	0
AI413582	68.000000	0	0	0	0	0	166	0	446	0	0
Efcab14	67.777778	0	0	0	0	0	0	0	610	0	0
C1qc	67.666667	0	0	0	0	0	0	0	609	0	0
Dhrs7	67.555556	0	0	0	0	0	0	0	608	0	0
Rrm2	67.444444	0	111	111	0	0	0	0	188	197	0
Naaa	67.444444	0	0	0	0	0	0	474	133	0	0
Crem	67.333333	0	0	0	0	0	0	0	606	0	0
Snx8	67.111111	0	0	0	0	0	0	0	317	287	0
Rab40c	67.111111	0	0	0	0	0	0	0	604	0	0
Ccl26	67.111111	0	0	0	0	0	0	181	423	0	0
Ankrd36	67.111111	0	94	137	0	0	0	0	373	0	0
Bsdc1	67.000000	0	250	86	0	0	0	0	0	267	0
Bet1	67.000000	0	0	0	0	0	404	0	199	0	0
Acss1	67.000000	0	0	0	0	0	0	0	603	0	0
Map3k19	66.888889	0	0	0	436	0	0	0	166	0	0
Zbtb5	66.666667	0	0	0	0	0	0	0	600	0	0
Srgn	66.666667	0	0	0	0	0	0	0	600	0	0
Slc17a5	66.666667	0	0	0	0	0	0	0	600	0	0
Il15ra	66.666667	0	0	0	0	0	0	0	600	0	0
Dynlt1b	66.555556	223	0	0	0	0	204	0	172	0	0
Crlf2	66.555556	0	0	0	0	0	0	0	599	0	0
Cetn4	66.444444	0	0	0	0	0	0	0	598	0	0
Bbs12	66.444444	0	0	0	0	0	0	0	598	0	0
Slc43a2	66.222222	0	0	0	0	0	0	0	596	0	0
Lacc1	66.222222	0	0	0	245	0	0	0	351	0	0
Ip6k1	66.222222	0	0	0	0	0	0	0	0	596	0
Ccdc122	66.222222	0	0	0	245	0	0	0	351	0	0
Slirp	66.111111	0	126	158	0	0	132	0	179	0	0
Nrp	66.111111	0	126	158	0	0	132	0	179	0	0
Eif5a	66.111111	0	0	0	0	0	0	0	357	238	0
Cd28	66.111111	0	0	0	0	0	0	0	595	0	0
Alkbh1	66.111111	0	126	158	0	0	132	0	179	0	0
Nkrf	66.000000	0	0	0	0	0	0	0	594	0	0
Mmp19	66.000000	0	0	0	0	0	206	0	388	0	0
Sdhaf3	65.555556	0	0	0	198	0	0	0	392	0	0
Pcdh7	65.444444	0	0	0	0	0	0	0	589	0	0
Atp1b3	65.333333	0	0	0	0	0	0	0	588	0	0
Ldlrap1	65.222222	0	0	0	0	0	0	0	587	0	0
Fbrsl1	65.222222	0	0	0	0	0	111	0	323	153	0
Tbxas1	65.111111	0	0	0	0	0	169	0	417	0	0
Sfi1	65.111111	0	0	0	0	0	92	118	252	124	0
Rlbp1	65.111111	0	0	0	0	0	0	0	318	268	0
Fanci	65.111111	0	0	0	0	0	0	0	318	268	0
Gm45915	65.000000	0	0	0	0	0	0	0	585	0	0
P2ry13	64.888889	0	0	0	0	0	143	0	441	0	0
Jdp2	64.888889	0	0	0	0	0	198	0	386	0	0
Ggt7	64.888889	0	0	0	0	0	0	0	584	0	0
Acss2	64.888889	0	0	0	0	0	0	0	584	0	0
Nploc4	64.777778	236	0	0	0	0	0	164	183	0	0
Akirin2	64.666667	0	0	0	0	0	0	0	164	418	0
Pigs	64.222222	0	0	0	0	0	0	0	578	0	0
Aldoc	64.222222	0	0	0	0	0	0	0	578	0	0
Cdk19	64.000000	0	0	0	0	0	0	0	576	0	0
C1qtnf6	63.888889	0	0	0	0	0	0	0	575	0	0
Prrt2	63.666667	0	0	0	0	0	0	0	573	0	0
Olfm5	63.666667	0	0	0	0	0	0	0	573	0	0
Pgls	63.555556	0	0	0	0	0	0	0	572	0	0
Niban3	63.555556	0	0	0	0	0	0	0	572	0	0
Tbc1d2b	63.444444	0	0	0	0	0	0	0	571	0	0
Syt11	63.444444	0	0	0	0	0	0	0	571	0	0
Itga4	63.444444	97	231	243	0	0	0	0	0	0	0
Cxxc1	63.444444	0	0	0	395	0	0	0	176	0	0
Sel1l	63.333333	0	0	0	0	0	0	0	570	0	0
Npcd	63.333333	0	0	0	0	0	0	0	570	0	0
Cbx6	63.333333	0	0	0	0	0	0	0	570	0	0
Mcoln1	63.222222	0	0	0	0	0	0	0	0	569	0
Gsto2	63.222222	0	0	0	459	110	0	0	0	0	0
Cavin3	63.222222	84	0	0	0	0	0	0	485	0	0
Rtca	62.888889	243	0	0	0	0	146	0	177	0	0
Dbt	62.888889	243	0	0	0	0	146	0	177	0	0
Kctd9	62.666667	0	72	0	0	0	0	0	248	244	0
Cdca2	62.666667	0	72	0	0	0	0	0	248	244	0
Spty2d1	62.555556	0	0	0	0	0	0	0	563	0	0
Tex19.1	62.444444	0	0	0	0	0	0	0	562	0	0
Alg13	62.444444	0	0	0	0	0	0	0	562	0	0
Syngap1	62.333333	0	0	0	0	0	0	0	169	392	0
Snx6	62.333333	0	0	0	0	0	0	0	561	0	0
Rtn4r	62.333333	0	0	0	0	0	0	0	561	0	0
Cuta	62.333333	0	0	0	0	0	0	0	169	392	0
Ptafr	62.222222	0	0	0	0	0	0	0	560	0	0
Nagk	62.222222	0	0	0	0	0	0	0	560	0	0
Hmgcl	62.111111	0	0	0	0	0	0	0	247	312	0
Kmt5a	61.777778	0	0	0	0	0	0	0	431	125	0
Fndc7	61.777778	0	0	0	0	0	0	0	556	0	0
Fam110a	61.777778	0	0	0	0	0	0	0	556	0	0
Renbp	61.666667	86	0	0	0	0	0	0	469	0	0
Gm5544	61.555556	0	0	0	0	0	0	0	554	0	0
Zfp746	61.444444	0	0	0	0	0	189	0	228	136	0
