Target_genes	Prdm1|Average	SRX316287|CD8+_T_cells	SRX1131938|Plasmablasts	SRX1131939|Plasmablasts	SRX885786|Small_intestine	SRX885787|Small_intestine	SRX1465782|Th17_Cells	SRX1465783|Treg	STRING
Rab5c	233.000000	0	546	349	408	328	0	0	0
Igf1r	232.285714	0	474	187	503	462	0	0	0
Cpne4	231.571429	0	169	0	650	802	0	0	0
Il17re	231.142857	0	0	0	779	839	0	0	0
Nsd3	230.142857	0	778	364	292	177	0	0	0
Letm2	230.142857	0	778	364	292	177	0	0	0
Ripk2	229.714286	0	557	181	605	265	0	0	0
Ccdc107	229.714286	0	756	469	147	236	0	0	0
Sidt1	228.714286	0	1293	308	0	0	0	0	0
P2rx4	227.714286	0	174	252	450	718	0	0	0
Ypel5	226.857143	0	92	0	676	820	0	0	0
Mnt	226.857143	0	1117	471	0	0	0	0	0
Abhd4	226.857143	0	542	114	472	460	0	0	0
Nudt15	226.142857	0	1222	361	0	0	0	0	0
Rimbp3	225.857143	0	638	127	384	432	0	0	0
H2-Bl	225.714286	0	221	0	551	808	0	0	0
Nr4a2	224.714286	0	187	0	596	790	0	0	0
Nae1	224.571429	0	0	0	662	910	0	0	0
Car7	224.571429	0	0	0	662	910	0	0	0
Prkab2	224.428571	0	1258	313	0	0	0	0	0
Tdrd7	224.285714	0	0	0	605	965	0	0	0
Slc37a2	224.285714	0	1320	250	0	0	0	0	0
Rab11a	223.571429	0	1100	465	0	0	0	0	0
Arl4a	223.571429	0	896	669	0	0	0	0	0
Cnot1	223.000000	0	489	366	327	379	0	0	0
Pold1	222.714286	0	627	0	415	517	0	0	0
Oasl1	222.000000	0	440	507	0	0	195	412	0
Sbno2	220.571429	283	0	0	549	712	0	0	0
Lrrc19	220.428571	0	0	0	964	579	0	0	0
Tbk1	220.285714	0	0	0	953	589	0	0	0
Gypc	220.285714	0	1143	284	0	0	115	0	0
Sdr39u1	219.142857	0	0	0	856	678	0	0	0
Prkd3	218.000000	0	293	0	521	712	0	0	0
Azin1	217.285714	0	311	0	519	691	0	0	0
Sparc	217.142857	0	0	0	651	869	0	0	0
Gclc	216.571429	0	1187	329	0	0	0	0	0
Dvl1	216.428571	0	220	154	424	717	0	0	0
Tap1	216.285714	0	211	0	528	775	0	0	0
Psmb9	216.285714	0	211	0	528	775	0	0	0
Zfpm1	215.714286	0	1290	220	0	0	0	0	0
Borcs6	215.714286	0	151	0	569	790	0	0	0
Birc6	215.000000	0	243	0	642	620	0	0	0
H2-Oa	214.000000	0	1214	284	0	0	0	0	0
Cpped1	213.571429	0	304	0	510	681	0	0	0
Uggt1	212.857143	0	769	165	277	279	0	0	0
Bcl9l	212.714286	0	129	0	616	744	0	0	0
Tmem51	212.571429	0	0	0	768	720	0	0	0
Plk2	212.285714	0	0	0	676	810	0	0	0
H2az1	212.285714	0	867	489	0	130	0	0	0
Dnajb14	212.285714	0	867	489	0	130	0	0	0
Misp	212.000000	0	0	0	603	881	0	0	0
Me1	211.571429	0	0	0	787	694	0	0	0
Plekha2	211.142857	0	451	0	480	547	0	0	0
Trmt2a	210.857143	0	0	0	650	826	0	0	0
Ranbp1	210.857143	0	0	0	650	826	0	0	0
Atxn7l1	210.714286	0	1121	354	0	0	0	0	0
Smim19	210.285714	0	1179	293	0	0	0	0	0
Slc20a2	210.285714	0	1179	293	0	0	0	0	0
Klf2	209.571429	0	1159	308	0	0	0	0	0
Fam83f	209.142857	0	976	488	0	0	0	0	0
Pou2f2	209.000000	0	1101	362	0	0	0	0	0
Ece1	208.428571	0	639	188	346	286	0	0	0
Bbc3	208.428571	0	492	273	310	384	0	0	0
Fryl	207.428571	0	352	0	408	692	0	0	0
Derl1	207.285714	0	659	226	238	328	0	0	0
Cse1l	207.285714	0	973	478	0	0	0	0	0
Magohb	207.142857	0	233	0	728	489	0	0	0
Hsdl2	207.000000	0	612	197	329	311	0	0	0
Slfn14	206.142857	0	504	124	297	518	0	0	0
Tnfrsf26	205.714286	0	1141	299	0	0	0	0	0
Clca2	205.142857	0	0	0	768	668	0	0	0
Tnfaip8l3	205.000000	0	0	0	764	671	0	0	0
Ubxn6	204.428571	0	195	173	538	525	0	0	0
Hdgfl2	204.428571	0	195	173	538	525	0	0	0
Cables2	203.000000	0	1064	357	0	0	0	0	0
Rasa4	202.428571	0	536	185	334	362	0	0	0
Ywhae	202.285714	0	1137	279	0	0	0	0	0
Prr19	202.142857	0	1169	246	0	0	0	0	0
Pafah1b3	202.142857	0	1169	246	0	0	0	0	0
Arid1b	201.142857	0	1007	401	0	0	0	0	0
Ubl3	200.857143	0	824	582	0	0	0	0	0
Pcnx3	200.857143	0	148	0	581	677	0	0	0
Map3k11	200.857143	0	148	0	581	677	0	0	0
Lyl1	200.714286	0	931	275	0	199	0	0	0
Cyld	200.714286	0	296	0	462	647	0	0	0
Fntb	200.571429	0	1136	268	0	0	0	0	0
Pdilt	200.428571	0	0	0	654	749	0	0	0
Ccdc50	200.428571	0	1152	138	0	113	0	0	0
Acsm5	200.428571	0	0	0	654	749	0	0	0
Notch1	200.285714	0	1141	261	0	0	0	0	0
B4galt1	199.714286	0	1102	296	0	0	0	0	0
Surf6	199.428571	0	1156	240	0	0	0	0	0
Eomes	199.000000	0	0	0	1172	221	0	0	0
Parp8	198.142857	0	1126	261	0	0	0	0	0
Tnfrsf25	197.571429	0	986	265	0	132	0	0	0
Mpeg1	197.571429	0	1099	284	0	0	0	0	0
Lrig3	197.571429	0	0	0	649	734	0	0	0
Ndufs8	197.000000	0	453	121	300	505	0	0	0
Parn	196.714286	0	543	131	307	396	0	0	0
Bfar	196.714286	0	543	131	307	396	0	0	0
Wdfy4	196.428571	0	960	415	0	0	0	0	0
Crebl2	196.142857	0	0	0	653	720	0	0	0
Ttc4	196.000000	0	775	255	133	209	0	0	0
Ttll11	195.285714	0	486	0	467	414	0	0	0
Gramd1c	194.857143	0	584	165	295	320	0	0	0
Smg7	194.142857	0	288	150	441	480	0	0	0
Npat	193.285714	0	827	355	171	0	0	0	0
Atm	193.285714	0	827	355	171	0	0	0	0
Qsox2	192.571429	0	217	0	448	683	0	0	0
Lancl2	192.428571	0	245	142	504	456	0	0	0
Pafah1b2	192.000000	0	404	103	411	426	0	0	0
Ifih1	192.000000	0	211	105	528	500	0	0	0
Galnt6	191.285714	0	0	0	534	805	0	0	0
Vmn2r4	191.000000	256	0	266	0	0	473	342	0
Ifna1	190.857143	0	1016	320	0	0	0	0	0
Rcor1	190.428571	0	1174	159	0	0	0	0	0
Zfp943	189.714286	0	253	259	372	444	0	0	0
Zfp942	189.714286	0	253	259	372	444	0	0	0
Larp4	189.285714	0	489	149	296	391	0	0	0
Crybg1	189.285714	0	336	135	260	594	0	0	0
Rdh12	189.000000	0	990	333	0	0	0	0	0
Ttc33	188.571429	0	1174	146	0	0	0	0	0
Laptm5	188.571429	0	1095	225	0	0	0	0	0
Abcg3	188.571429	0	689	239	204	188	0	0	0
Fut8	188.285714	0	982	336	0	0	0	0	0
Tfcp2	188.000000	0	561	207	236	312	0	0	0
Rapgef1	188.000000	0	690	276	138	212	0	0	0
Sowahb	187.714286	0	0	0	413	901	0	0	0
Pagr1a	187.285714	0	429	145	362	375	0	0	0
Mvp	187.285714	0	429	145	362	375	0	0	0
Dnah17	187.142857	0	798	512	0	0	0	0	0
Maats1	186.285714	0	451	0	443	410	0	0	0
Cox17	186.285714	0	451	0	443	410	0	0	0
Zfp930	186.142857	0	1044	259	0	0	0	0	0
Syne3	186.000000	0	166	0	682	454	0	0	0
Slc16a5	185.285714	0	0	0	624	673	0	0	0
Ccnd2	184.142857	0	1041	248	0	0	0	0	0
Tra2b	183.285714	0	296	232	347	408	0	0	0
Myo1c	183.285714	0	919	364	0	0	0	0	0
Gm525	181.571429	0	878	393	0	0	0	0	0
Pgk2	181.285714	0	0	0	493	776	0	0	0
Rnf220	181.000000	0	445	0	379	443	0	0	0
Chek1	181.000000	0	960	169	138	0	0	0	0
Ssh3	180.142857	0	420	219	378	244	0	0	0
Pla2g12a	179.857143	0	0	0	660	599	0	0	0
Tmem210	179.714286	0	0	0	631	627	0	0	0
Lrrc26	179.714286	0	0	0	631	627	0	0	0
Lbr	179.714286	0	428	115	352	363	0	0	0
Donson	179.571429	0	196	358	321	382	0	0	0
Cacnb2	179.428571	0	210	0	422	624	0	0	0
Tnfaip8l2	179.000000	0	908	345	0	0	0	0	0
Evi2b	178.857143	0	850	402	0	0	0	0	0
Vezf1	178.571429	0	983	267	0	0	0	0	0
Il2	178.285714	0	514	175	198	142	75	144	615
Rnasel	178.000000	0	598	331	181	136	0	0	0
Emid1	177.857143	0	912	333	0	0	0	0	0
Uchl5	177.571429	0	388	99	418	338	0	0	0
Ro60	177.571429	0	388	99	418	338	0	0	0
Vwa3b	177.142857	0	412	180	413	235	0	0	0
Trappc10	177.000000	0	647	191	170	231	0	0	0
Cyp4f40	177.000000	0	0	0	620	619	0	0	0
Clcn3	175.571429	0	995	234	0	0	0	0	0
Agmo	175.571429	0	0	0	777	452	0	0	0
H4c14	174.714286	0	726	240	144	113	0	0	0
H3c13	174.714286	0	726	240	144	113	0	0	0
Gimap5	173.571429	0	711	504	0	0	0	0	0
Parp14	172.857143	0	298	0	519	393	0	0	0
Psmb3	172.285714	0	402	331	209	264	0	0	0
Pcgf2	172.285714	0	402	331	209	264	0	0	0
Ptprh	172.000000	0	0	0	682	522	0	0	0
Cxcl12	172.000000	0	0	0	519	685	0	0	0
Spg21	171.571429	0	0	0	633	568	0	0	0
Mthfd2	171.142857	0	908	290	0	0	0	0	0
Mob1a	171.142857	0	908	290	0	0	0	0	0
Akap9	171.142857	0	204	0	424	570	0	0	0
Alpl	170.428571	0	273	213	382	325	0	0	0
Egr3	170.285714	0	855	337	0	0	0	0	0
Zc3hav1	170.142857	0	344	0	254	593	0	0	0
Muc1	170.142857	0	599	282	112	198	0	0	0
Hfe	169.714286	0	490	0	304	394	0	0	0
Lpcat4	169.571429	0	851	231	0	105	0	0	0
Tmem263	169.285714	0	767	172	246	0	0	0	0
Fhl4	169.285714	0	767	172	246	0	0	0	0
Tmco4	169.000000	0	496	208	274	205	0	0	0
Dnajc24	168.571429	0	234	150	267	529	0	0	0
Nsmce4a	168.428571	0	282	0	336	561	0	0	0
Mapk9	168.285714	0	179	0	480	519	0	0	0
Lrmp	168.285714	0	937	241	0	0	0	0	0
Otud4	167.857143	0	347	226	229	373	0	0	0
Evl	167.571429	0	523	0	353	297	0	0	0
Tmem229b	167.142857	0	1054	116	0	0	0	0	0
Olfr1420	166.571429	0	147	127	367	525	0	0	0
Mcm3	166.142857	0	0	0	476	687	0	0	0
Haus1	165.714286	0	104	0	453	603	0	0	0
Aspa	165.428571	0	169	0	467	522	0	0	0
Cd180	164.428571	0	1060	91	0	0	0	0	0
Slc30a2	163.857143	0	0	0	584	563	0	0	0
Mob3b	163.714286	0	458	0	261	427	0	0	0
Ifnk	163.714286	0	458	0	261	427	0	0	0
Tcf7l2	163.000000	0	116	0	532	493	0	0	0
Gimap3	163.000000	0	714	154	146	127	0	0	0
Tlr4	162.857143	0	751	389	0	0	0	0	0
Syt12	162.714286	0	0	0	631	508	0	0	0
Rbm19	161.857143	0	575	364	0	194	0	0	0
Dchs2	161.857143	0	287	266	0	0	288	292	0
Mrpl17	161.571429	0	0	0	390	741	0	0	0
Ifit1bl2	161.428571	0	388	217	258	267	0	0	0
Ifit1	161.428571	0	388	217	258	267	0	0	0
Stk11ip	161.142857	0	0	0	566	562	0	0	0
Man2a1	161.000000	0	506	0	282	339	0	0	0
Eif4g2	160.285714	0	665	0	202	255	0	0	0
Exoc6	160.000000	0	808	312	0	0	0	0	0
Ccr7	159.857143	0	803	316	0	0	0	0	401
Slc11a2	159.428571	0	883	233	0	0	0	0	0
Pwwp2b	159.428571	0	1004	112	0	0	0	0	0
Fbxo33	159.285714	0	883	232	0	0	0	0	0
Sav1	159.142857	0	630	180	0	304	0	0	0
Dmxl1	159.000000	0	236	0	536	341	0	0	0
Fam120a	158.571429	0	1002	108	0	0	0	0	0
Tk2	158.285714	0	847	261	0	0	0	0	0
Cklf	158.285714	0	847	261	0	0	0	0	0
Mpp6	158.142857	0	567	244	127	169	0	0	0
Prkrip1	158.000000	0	915	191	0	0	0	0	0
Tm9sf1	157.571429	0	923	180	0	0	0	0	0
Tut4	157.428571	0	819	283	0	0	0	0	0
Pip4k2c	157.142857	0	285	0	334	481	0	0	0
Trim8	157.000000	0	164	0	415	520	0	0	0
Pisd	156.857143	0	603	149	104	242	0	0	0
Slc25a44	156.714286	0	0	0	521	576	0	0	0
Cep170	156.714286	0	532	0	327	238	0	0	0
Xcr1	156.285714	0	694	400	0	0	0	0	0
Iqsec1	156.142857	0	0	0	568	525	0	0	0
Fgf15	156.142857	0	211	0	360	522	0	0	0
Nkrf	156.000000	0	463	265	181	183	0	0	0
Usp18	155.285714	0	183	0	411	493	0	0	0
Tom1	155.285714	0	644	339	0	104	0	0	0
Sfxn1	155.285714	0	94	0	566	427	0	0	0
Tmem236	154.857143	0	0	0	517	567	0	0	0
Id3	154.142857	0	0	0	517	562	0	0	401
Scarb2	154.142857	0	884	195	0	0	0	0	0
Runx1	154.000000	0	835	243	0	0	0	0	0
Heatr4	153.857143	0	531	184	207	155	0	0	0
Acot2	153.857143	0	531	184	207	155	0	0	0
Zfp169	153.571429	0	752	323	0	0	0	0	0
Atg10	153.571429	0	342	0	255	478	0	0	0
Art2b	153.571429	0	159	0	496	420	0	0	0
Septin9	153.428571	0	0	0	526	548	0	0	0
B3gnt5	153.428571	0	855	219	0	0	0	0	0
Aif1	153.285714	0	730	343	0	0	0	0	0
Spen	152.857143	0	692	378	0	0	0	0	0
Il2rg	152.857143	0	588	180	170	132	0	0	0
Gm614	152.857143	0	588	180	170	132	0	0	0
Suco	152.714286	0	403	0	341	325	0	0	0
Mettl17	152.571429	0	824	244	0	0	0	0	0
Fnbp1	152.571429	120	736	212	0	0	0	0	0
Sdccag8	152.285714	0	361	140	327	238	0	0	0
Ddx56	152.142857	0	298	246	224	297	0	0	0
Acvr1c	151.285714	0	116	0	528	415	0	0	0
Atp5a1	150.857143	0	0	0	453	603	0	0	0
Actl10	150.142857	0	185	0	424	442	0	0	0
1700003F12Rik	150.142857	0	185	0	424	442	0	0	0
Haghl	149.714286	0	390	120	322	216	0	0	0
Ccdc78	149.714286	0	390	120	322	216	0	0	0
Tlr3	149.428571	0	187	0	406	453	0	0	0
Baiap2	149.428571	0	650	0	119	277	0	0	0
Sqstm1	148.714286	0	0	0	510	531	0	0	0
Traf5	148.285714	0	589	319	0	130	0	0	0
Septin6	147.857143	0	579	188	0	268	0	0	0
Fign	147.571429	0	0	0	493	540	0	0	0
Junb	147.000000	0	736	293	0	0	0	0	0
Mmd	146.000000	0	329	0	314	379	0	0	0
Exoc2	146.000000	0	0	0	483	539	0	0	0
Atp13a1	146.000000	0	788	234	0	0	0	0	0
Tor1aip2	145.714286	0	261	119	362	278	0	0	0
Tor1aip1	145.714286	0	261	119	362	278	0	0	0
Ccdc42	145.571429	0	0	0	464	555	0	0	0
Psap	145.428571	0	914	104	0	0	0	0	0
Lclat1	145.428571	0	491	0	262	265	0	0	0
Rab8b	145.285714	0	783	234	0	0	0	0	0
Kcnk13	145.142857	0	1016	0	0	0	0	0	0
H2-T23	145.000000	0	166	0	400	449	0	0	0
Vegfc	144.857143	0	0	0	511	503	0	0	0
Eif2s1	144.857143	0	206	0	444	364	0	0	0
Atp6v1d	144.857143	0	206	0	444	364	0	0	0
Btnl6	144.571429	0	0	0	509	503	0	0	0
H3c10	144.142857	0	688	321	0	0	0	0	0
H2ac13	144.142857	0	688	321	0	0	0	0	0
Sp100	144.000000	0	578	225	205	0	0	0	0
Rars	144.000000	0	149	0	441	418	0	0	0
Acbd3	144.000000	0	274	0	490	244	0	0	0
Sesn1	143.571429	0	688	165	152	0	0	0	0
Egr2	142.714286	0	796	203	0	0	0	0	0
Tcp1	142.285714	0	688	308	0	0	0	0	0
Dynlt1a	141.571429	0	0	0	448	543	0	0	0
Pus7l	141.428571	0	371	119	195	305	0	0	0
Irak4	141.428571	0	371	119	195	305	0	0	0
Ripor2	140.714286	0	788	197	0	0	0	0	0
Ppargc1a	140.428571	0	201	0	453	329	0	0	0
Wdr82	139.857143	0	868	111	0	0	0	0	0
Vil1	138.857143	0	0	0	493	479	0	0	0
P2ry12	138.857143	0	837	135	0	0	0	0	0
Krt15	138.571429	0	0	0	479	491	0	0	0
Tnpo2	138.428571	0	406	133	156	274	0	0	0
Sinhcaf	138.142857	0	739	228	0	0	0	0	0
Cracdl	137.571429	0	199	0	267	497	0	0	0
Ralgapa1	137.428571	0	507	139	90	226	0	0	0
Prps1	137.000000	0	215	0	400	344	0	0	0
Il10	136.857143	0	762	196	0	0	0	0	562
Ppp6r1	136.857143	0	733	225	0	0	0	0	0
E4f1	136.857143	0	336	78	233	311	0	0	0
Hspa9	136.571429	0	564	0	192	200	0	0	0
Themis3	136.285714	0	0	0	530	424	0	0	0
Clint1	136.142857	0	704	249	0	0	0	0	0
C9orf72	136.142857	0	359	0	153	441	0	0	0
Cyp7b1	135.857143	0	312	0	392	247	0	0	0
Pacsin2	135.428571	0	648	300	0	0	0	0	0
Ppp6r2	135.000000	0	191	0	279	475	0	0	0
Nkx3-2	134.714286	0	568	148	227	0	0	0	0
Fem1b	134.285714	0	613	327	0	0	0	0	0
Amz2	134.142857	0	594	93	150	102	0	0	0
Hnrnpa2b1	133.857143	0	832	105	0	0	0	0	0
Cbx3	133.857143	0	832	105	0	0	0	0	0
Gcnt4	133.142857	0	0	0	462	470	0	0	0
Psmb8	132.857143	0	311	130	191	298	0	0	0
Psma3	132.857143	0	0	0	336	594	0	0	0
Padi3	132.571429	0	339	0	282	307	0	0	0
Napsa	132.571429	0	727	201	0	0	0	0	0
H2-L	132.428571	0	0	0	442	485	0	0	0
H2-D1	132.428571	0	0	0	442	485	0	0	0
Eid2b	132.285714	0	0	0	411	515	0	0	0
Ric8b	132.142857	0	502	0	166	257	0	0	0
Tnni2	132.000000	0	790	134	0	0	0	0	0
Cdh12	131.714286	0	404	226	0	0	137	155	0
She	130.428571	0	725	188	0	0	0	0	0
Tcea1	130.142857	0	0	0	341	570	0	0	0
Pld4	129.857143	0	639	270	0	0	0	0	0
Cd80	129.714286	0	755	153	0	0	0	0	0
Gtf2f1	129.571429	0	737	170	0	0	0	0	0
Klf6	129.142857	0	628	276	0	0	0	0	0
2510009E07Rik	129.142857	0	331	0	324	249	0	0	0
Psme1	128.857143	0	102	0	337	463	0	0	0
Fitm1	128.857143	0	102	0	337	463	0	0	0
Olfml2a	128.428571	0	814	85	0	0	0	0	0
2900026A02Rik	128.142857	0	0	0	388	509	0	0	0
Nos1ap	128.000000	0	157	0	221	518	0	0	0
Fbxw4	127.857143	0	444	0	188	263	0	0	0
Rcc2	127.571429	0	540	353	0	0	0	0	0
Pik3r1	126.285714	0	694	190	0	0	0	0	0
Ms4a18	126.285714	0	0	0	473	411	0	0	0
Rgs14	126.000000	0	0	0	524	358	0	0	0
Osgin1	125.714286	0	231	0	212	437	0	0	0
Irgc1	125.571429	0	632	247	0	0	0	0	0
Tmed5	125.428571	0	589	289	0	0	0	0	0
Ccdc18	125.428571	0	589	289	0	0	0	0	0
Msh5	125.285714	0	302	0	330	245	0	0	0
Clic1	125.285714	0	302	0	330	245	0	0	0
Fbxl22	124.857143	0	617	257	0	0	0	0	0
Car14	124.857143	0	726	148	0	0	0	0	0
Npepl1	124.428571	0	181	0	433	257	0	0	0
Map4k2	124.428571	0	481	224	0	166	0	0	0
Rmdn3	124.285714	0	158	0	449	263	0	0	0
Spry2	124.000000	0	380	0	205	283	0	0	0
Rab29	123.857143	0	468	399	0	0	0	0	0
1810065E05Rik	123.857143	0	0	0	462	405	0	0	0
Sec23b	123.714286	0	266	0	302	298	0	0	0
Pfkfb3	123.714286	0	866	0	0	0	0	0	0
Nfe2l2	123.714286	0	705	0	0	161	0	0	0
Tmem238	123.571429	0	592	122	151	0	0	0	0
Rpl28	123.571429	0	592	122	151	0	0	0	0
Evi2a	123.142857	0	731	131	0	0	0	0	0
Evi2	123.142857	0	731	131	0	0	0	0	0
Lcor	123.000000	0	412	0	277	172	0	0	0
H3f3b	122.571429	0	199	0	393	266	0	0	0
Tbl1x	122.142857	0	624	231	0	0	0	0	0
Keap1	122.142857	0	319	180	232	124	0	0	0
Muc4	122.000000	0	0	0	382	472	0	0	0
Senp1	121.714286	0	719	133	0	0	0	0	0
Pfkm	121.714286	0	719	133	0	0	0	0	0
Larp1	121.714286	0	142	0	428	282	0	0	0
H4c18	121.714286	0	505	0	233	114	0	0	0
H4bc24	121.714286	0	505	0	233	114	0	0	0
H2bc23	121.714286	0	505	0	233	114	0	0	0
H2ac24	121.714286	0	505	0	233	114	0	0	0
H2ac23	121.714286	0	505	0	233	114	0	0	0
Srsf1	121.285714	0	283	141	178	247	0	0	0
Fam102a	121.285714	0	265	0	358	226	0	0	0
Bcl2l11	121.142857	0	342	0	166	340	0	0	0
Tmem106a	120.571429	0	408	0	193	243	0	0	0
Mical1	120.571429	0	506	168	170	0	0	0	0
Gm13889	120.571429	0	0	0	474	370	0	0	0
Sod1	120.428571	0	338	143	198	164	0	0	0
Syn3	120.285714	0	186	0	240	416	0	0	0
Bach1	120.285714	0	195	0	356	291	0	0	0
Cfl2	119.857143	0	106	0	276	457	0	0	0
Cox7a1	119.571429	0	0	190	333	314	0	0	0
Tapbpl	119.428571	0	293	0	271	272	0	0	0
Tbx1	119.285714	0	159	0	310	366	0	0	0
Inpp5d	119.142857	0	624	210	0	0	0	0	0
Art2a	119.000000	0	0	0	524	309	0	0	0
Peak1	118.857143	0	439	0	146	247	0	0	0
Hoga1	118.857143	0	454	0	241	137	0	0	0
Hmg20a	118.857143	0	439	0	146	247	0	0	0
Gstk1	118.857143	0	289	0	288	255	0	0	0
4933411K16Rik	118.857143	0	454	0	241	137	0	0	0
Tmem242	118.571429	0	232	131	233	234	0	0	0
Efnb2	118.571429	0	0	0	346	484	0	0	0
Grk6	118.428571	0	627	202	0	0	0	0	0
Aaas	118.428571	0	233	214	128	254	0	0	0
Slc51a	118.142857	0	127	0	408	292	0	0	0
Psma5	117.714286	0	227	0	269	328	0	0	0
Nrip3	117.714286	0	299	0	207	318	0	0	0
Fut10	117.571429	0	0	0	215	608	0	0	0
Lrrc8b	117.428571	0	0	0	441	381	0	0	0
Gpd2	117.428571	0	564	258	0	0	0	0	0
Pyurf	117.285714	0	821	0	0	0	0	0	0
Irgm2	117.285714	0	0	0	270	551	0	0	0
Tia1	117.142857	0	431	0	200	189	0	0	0
Rpl15	116.714286	0	201	0	247	369	0	0	0
Nkiras1	116.714286	0	201	0	247	369	0	0	0
Spata18	116.428571	0	652	163	0	0	0	0	0
Sgcb	116.428571	0	652	163	0	0	0	0	0
Lrrk2	116.428571	0	123	0	358	334	0	0	0
Alpk2	116.285714	0	549	265	0	0	0	0	0
Susd3	116.000000	0	571	241	0	0	0	0	0
Rasd1	116.000000	0	0	0	311	501	0	0	0
Gadd45g	116.000000	0	214	0	286	312	0	0	0
Zfp184	115.857143	0	241	0	269	301	0	0	0
H4f16	115.857143	0	811	0	0	0	0	0	0
H2aj	115.857143	0	811	0	0	0	0	0	0
Snx30	115.714286	0	669	141	0	0	0	0	0
Trmt6	115.000000	0	294	104	236	171	0	0	0
Prrc1	115.000000	0	206	0	422	177	0	0	0
Mcm8	115.000000	0	294	104	236	171	0	0	0
Krtap5-5	114.857143	0	0	0	516	288	0	0	0
H2-Q4	114.285714	0	149	0	376	275	0	0	0
Tgif1	114.000000	0	543	255	0	0	0	0	0
Ccm2	114.000000	0	461	150	187	0	0	0	0
Tnks	113.714286	0	701	95	0	0	0	0	0
Reep6	113.428571	0	244	0	215	335	0	0	0
Pcsk4	113.428571	0	244	0	215	335	0	0	0
Dpp8	113.428571	0	138	132	201	323	0	0	0
Ctsh	112.857143	0	670	120	0	0	0	0	0
Brd3	112.857143	0	471	161	158	0	0	0	0
Avpi1	112.714286	0	150	0	222	417	0	0	0
Lgals9	112.285714	0	276	0	276	234	0	0	0
Card11	111.857143	0	587	196	0	0	0	0	0
Mtarc2	111.714286	0	166	0	261	355	0	0	0
Prrg4	111.571429	0	527	254	0	0	0	0	0
Hsd17b11	111.571429	0	640	141	0	0	0	0	0
Trim59	111.142857	0	573	205	0	0	0	0	0
Pnliprp1	110.571429	0	0	0	374	400	0	0	0
Dok2	110.428571	0	0	0	481	292	0	0	0
Pjvk	110.142857	0	0	0	415	356	0	0	0
Ccdc171	110.000000	0	420	0	150	200	0	0	0
Sox6	109.857143	0	0	0	463	306	0	0	0
Med12	109.714286	0	300	0	149	319	0	0	0
Ptpn6	109.571429	0	499	268	0	0	0	0	0
Ap3m2	109.571429	0	646	121	0	0	0	0	0
Mideas	109.428571	0	517	249	0	0	0	0	0
Tns3	109.285714	0	520	245	0	0	0	0	0
Kcnh8	109.142857	0	133	0	268	363	0	0	0
Psmb2	109.000000	0	285	93	307	78	0	0	0
Zfp219	108.714286	0	761	0	0	0	0	0	0
Cenpu	108.714286	0	533	228	0	0	0	0	0
Rbl1	108.428571	0	191	92	309	167	0	0	0
Atp8a1	108.428571	0	0	0	418	341	0	0	0
Ndufaf4	108.285714	0	312	0	248	198	0	0	0
Cox7a2	108.285714	0	420	124	130	84	0	0	0
B4galt5	108.285714	0	569	189	0	0	0	0	0
Zfp62	108.142857	0	559	198	0	0	0	0	0
Slc37a4	108.000000	0	335	271	0	150	0	0	0
Serpinb6a	108.000000	0	148	0	319	289	0	0	0
Lmo7	107.857143	0	0	0	516	239	0	0	0
H3f3c	107.857143	0	0	0	409	346	0	0	0
Ppp2r2d	107.714286	0	0	0	475	279	0	0	0
Mapk1ip1	107.714286	0	0	0	475	279	0	0	0
Fam169b	107.714286	0	587	167	0	0	0	0	0
Mettl7a1	107.571429	0	643	110	0	0	0	0	0
Ubap1	107.285714	0	751	0	0	0	0	0	0
Acox3	107.142857	0	496	254	0	0	0	0	0
Herc3	107.000000	0	604	145	0	0	0	0	0
Wdyhv1	106.857143	0	364	384	0	0	0	0	0
Ric1	106.714286	0	295	0	236	216	0	0	0
Plekha1	106.714286	0	547	115	0	85	0	0	0
Lrrc4c	106.714286	0	0	0	353	394	0	0	0
Robo1	106.571429	0	0	0	313	433	0	0	0
Hmox1	106.571429	0	398	212	136	0	0	0	0
Cd37	106.571429	0	592	154	0	0	0	0	0
Tom1l2	106.285714	0	490	254	0	0	0	0	0
Drc3	106.285714	0	490	254	0	0	0	0	0
Ephx3	106.142857	0	0	0	457	286	0	0	0
Yif1a	106.000000	0	0	0	273	469	0	0	0
Tmem151a	106.000000	0	0	0	273	469	0	0	0
Foxq1	106.000000	0	0	0	477	265	0	0	0
Cetn4	106.000000	0	628	114	0	0	0	0	0
Bbs12	106.000000	0	628	114	0	0	0	0	0
Adam15	106.000000	0	0	0	342	400	0	0	0
Vipas39	105.857143	0	466	275	0	0	0	0	0
Ahsa1	105.857143	0	466	275	0	0	0	0	0
Fxr2	105.714286	0	292	105	158	185	0	0	0
Cenps	105.428571	0	738	0	0	0	0	0	0
Cd300lf	105.428571	0	537	201	0	0	0	0	0
Eps8	105.285714	0	279	0	332	126	0	0	0
Lrrk1	105.000000	0	517	218	0	0	0	0	0
Hey1	105.000000	0	342	0	184	209	0	0	0
Atf3	104.857143	0	583	151	0	0	0	0	0
Preb	104.714286	0	629	104	0	0	0	0	0
Ggta1	104.714286	0	459	274	0	0	0	0	0
Tpm1	104.571429	0	347	0	217	168	0	0	0
Pum2	104.571429	0	524	0	125	83	0	0	0
Ppat	104.571429	0	268	152	171	141	0	0	0
