Target_genes	Atf3|Average	SRX15561941|C2C12	SRX122483|Dendritic_Cells	SRX122484|Dendritic_Cells	SRX122485|Dendritic_Cells	SRX122486|Dendritic_Cells	SRX122487|Dendritic_Cells	SRX122488|Dendritic_Cells	SRX122489|Dendritic_Cells	SRX122490|Dendritic_Cells	SRX122491|Dendritic_Cells	SRX122492|Dendritic_Cells	SRX2901300|Macrophages	SRX2901301|Macrophages	SRX2901302|Macrophages	SRX2901303|Macrophages	SRX2901304|Macrophages	SRX450305|Macrophages	SRX450306|Macrophages	SRX450309|Macrophages	SRX475801|Macrophages	SRX475802|Macrophages	SRX475803|Macrophages	SRX475804|Macrophages	SRX475805|Macrophages	SRX475806|Macrophages	SRX8245912|Macrophages	SRX8245913|Macrophages	SRX8245926|Macrophages	SRX8245927|Macrophages	SRX672451|Pancreas	STRING
Flad1	61.366667	0	0	0	0	0	0	0	0	0	0	0	186	266	260	308	233	0	0	0	0	0	0	0	0	0	159	0	334	95	0	0
Ndufa10	61.333333	0	0	0	0	0	0	0	0	0	0	0	205	214	259	417	289	0	0	0	0	0	0	0	0	0	137	0	319	0	0	0
Pdzd9	61.300000	0	0	0	0	0	0	0	0	0	0	0	0	0	143	661	553	0	0	0	0	0	0	0	0	0	0	0	360	122	0	0
Gpr31b	61.300000	0	0	0	0	0	0	0	0	0	0	0	0	149	195	303	378	0	0	0	0	0	0	0	0	0	154	0	461	199	0	0
Nol12	61.266667	0	0	0	0	0	0	0	0	0	0	0	300	262	270	462	351	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0
Gzf1	61.266667	0	0	0	0	0	0	0	0	0	0	0	0	133	137	244	188	0	0	0	0	0	0	0	0	0	116	0	696	324	0	0
Zbtb3	61.233333	0	0	0	0	0	0	0	0	0	0	0	0	0	173	475	785	0	0	0	0	0	0	0	0	0	134	0	148	122	0	0
Polr2g	61.233333	0	0	0	0	0	0	0	0	0	0	0	0	0	173	475	785	0	0	0	0	0	0	0	0	0	134	0	148	122	0	0
Mrpl45	61.233333	0	0	0	0	0	0	0	0	0	0	0	179	154	332	431	292	0	0	0	0	0	0	0	0	0	200	0	146	103	0	0
Cutc	61.166667	0	0	0	0	0	0	0	0	0	0	0	194	108	191	477	294	0	0	0	0	0	0	0	0	0	78	104	220	169	0	0
Cox15	61.166667	0	0	0	0	0	0	0	0	0	0	0	194	108	191	477	294	0	0	0	0	0	0	0	0	0	78	104	220	169	0	0
Cbx8	61.166667	0	0	0	0	0	0	0	0	0	0	0	232	303	336	445	275	0	0	0	0	0	0	0	0	0	0	0	107	137	0	0
Nfe2	61.133333	0	0	0	0	0	0	0	0	0	0	0	276	163	0	216	224	0	0	0	197	0	0	0	0	0	196	0	426	136	0	0
Dennd4a	61.133333	0	0	0	0	0	0	0	0	0	0	0	140	239	328	449	322	0	0	0	0	0	0	0	0	0	177	0	179	0	0	0
Arih1	61.066667	0	0	0	0	0	0	0	0	0	0	0	183	211	195	402	385	0	0	0	0	0	0	0	0	0	120	0	235	101	0	0
Nans	61.033333	0	0	0	0	0	0	0	0	0	0	0	129	217	308	328	288	0	0	0	0	0	0	0	0	0	108	0	260	193	0	0
Dab2	61.033333	0	0	0	0	0	0	0	0	0	0	0	102	84	0	408	335	0	0	0	0	0	0	0	0	0	175	0	573	154	0	0
Rfx1	61.000000	0	0	0	0	0	0	0	0	0	0	0	175	0	182	279	258	0	0	0	0	0	0	0	0	0	241	0	482	213	0	0
Lyrm1	60.966667	0	0	0	0	0	0	0	0	0	0	0	196	168	211	420	453	0	0	0	0	0	0	0	0	0	0	0	258	123	0	0
Itgam	60.966667	0	0	0	0	0	0	0	0	0	0	0	140	0	0	350	341	0	0	0	0	0	0	0	0	0	191	0	662	145	0	0
Gstp3	60.966667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	184	0	895	523	0	0
Dcun1d3	60.966667	0	0	0	0	0	0	0	0	0	0	0	196	168	211	420	453	0	0	0	0	0	0	0	0	0	0	0	258	123	0	0
Usp28	60.900000	0	0	0	0	0	0	0	0	0	0	0	190	194	273	278	196	0	0	0	0	0	0	0	0	0	199	0	282	215	0	0
Hivep1	60.900000	0	0	0	0	0	0	0	0	0	0	0	125	216	365	334	260	0	0	0	0	0	0	0	0	0	202	0	232	93	0	0
Mrpl4	60.833333	0	0	0	0	0	0	0	0	0	0	0	108	167	136	653	471	0	0	0	0	0	155	0	0	0	0	0	135	0	0	0
Kcna6	60.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	389	358	504	0	160	269	0	0	0	0	0	0
Gabarapl2	60.833333	0	0	0	0	0	0	0	0	0	0	0	161	183	253	527	285	0	0	0	0	0	0	0	0	0	81	0	199	0	136	0
Rnf4	60.800000	0	0	0	0	0	0	0	0	0	0	0	394	295	378	335	299	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0
Atp6v1h	60.800000	0	0	0	0	0	0	0	0	0	0	0	212	155	282	380	254	0	0	0	0	0	0	0	0	0	166	0	234	141	0	0
Ppp4r3a	60.766667	0	0	0	0	0	0	0	0	0	0	0	117	0	202	188	242	94	143	147	197	0	213	0	0	0	0	0	128	152	0	0
Serpinb1c	60.733333	0	0	0	0	0	0	0	0	0	0	0	0	215	334	541	581	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0
Echdc3	60.700000	0	0	0	0	0	0	0	0	0	0	0	106	195	200	689	335	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0
Spag7	60.633333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	93	0	0	0	0	0	0	0	0	0	624	249	382	254	0	0
Slc46a3	60.633333	0	0	0	0	0	0	0	0	0	0	0	178	182	160	422	419	0	0	0	0	0	0	0	0	0	130	0	216	112	0	0
Dnajb6	60.633333	0	0	0	0	0	0	0	0	0	0	0	261	300	275	358	234	0	0	0	0	0	0	0	0	0	0	0	240	151	0	0
Ralb	60.600000	0	0	0	0	0	0	0	0	0	0	0	202	194	176	311	257	0	0	0	0	0	0	0	0	0	287	138	162	91	0	0
Dnajc10	60.600000	0	0	0	0	0	0	0	0	0	0	0	204	191	331	317	363	0	0	0	0	0	0	0	0	0	103	0	149	160	0	0
Upp2	60.566667	0	0	0	0	0	0	0	0	0	0	0	124	168	217	475	245	0	0	0	0	0	0	0	0	0	116	0	307	165	0	0
Acvr1	60.566667	0	0	0	0	0	0	0	0	0	0	0	124	168	217	475	245	0	0	0	0	0	0	0	0	0	116	0	307	165	0	0
Rpl3l	60.533333	0	0	0	0	0	0	0	0	0	0	0	145	0	0	191	142	0	0	0	0	0	0	0	0	0	134	0	755	449	0	0
Pafah1b1	60.533333	0	0	0	0	0	0	0	0	0	0	0	223	260	275	252	284	0	0	0	0	0	0	0	0	0	0	0	171	122	229	0
Nat10	60.533333	0	0	0	0	0	0	0	0	0	0	0	281	225	184	316	237	0	0	0	0	0	0	0	0	0	176	0	257	140	0	0
Msrb1	60.533333	0	0	0	0	0	0	0	0	0	0	0	145	0	0	191	142	0	0	0	0	0	0	0	0	0	134	0	755	449	0	0
H2-Q4	60.500000	0	0	0	0	0	0	0	0	0	0	0	209	232	134	378	426	0	0	0	0	0	0	0	0	0	149	0	287	0	0	0
Gk	60.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	130	699	574	0	0	0	0	0	0	0	0	0	0	0	311	101	0	0
Suclg1	60.466667	0	0	0	0	0	0	0	0	0	0	0	161	119	270	428	361	0	0	0	0	0	0	0	0	0	0	0	323	152	0	0
Tmx1	60.366667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	104	0	0	0	0	0	0	0	0	0	312	0	879	310	0	0
Slc10a6	60.366667	0	0	0	0	0	0	0	0	0	0	0	96	0	0	258	307	0	0	0	0	0	0	0	0	0	354	122	494	180	0	0
Pex3	60.366667	0	0	0	0	0	0	0	0	0	0	0	0	128	194	316	152	0	0	0	0	0	0	0	0	0	367	221	291	142	0	0
Milr1	60.366667	0	0	0	0	0	0	0	0	0	0	0	96	0	192	398	628	0	0	0	0	0	0	0	0	0	135	0	259	103	0	0
Adat2	60.366667	0	0	0	0	0	0	0	0	0	0	0	0	128	194	316	152	0	0	0	0	0	0	0	0	0	367	221	291	142	0	0
Rad51c	60.333333	0	0	0	0	0	0	0	0	0	0	0	164	251	225	373	281	0	0	0	0	0	0	0	0	0	0	0	320	196	0	0
Nop16	60.333333	0	0	0	0	0	0	0	0	0	0	0	201	335	313	410	247	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0
Higd2a	60.333333	0	0	0	0	0	0	0	0	0	0	0	201	335	313	410	247	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0
Ksr2	60.300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	106	0	0	0	0	0	0	0	0	0	299	117	756	405	0	0
Uchl5	60.266667	0	0	0	0	0	0	0	0	0	0	0	189	125	148	446	229	0	0	0	0	0	0	0	0	0	166	0	278	227	0	0
Ro60	60.266667	0	0	0	0	0	0	0	0	0	0	0	189	125	148	446	229	0	0	0	0	0	0	0	0	0	166	0	278	227	0	0
Rbm4	60.200000	0	0	0	0	0	0	0	0	0	0	0	312	156	130	264	148	0	0	0	0	0	0	0	0	0	250	0	305	241	0	0
Nek11	60.200000	0	0	0	0	0	0	0	0	0	0	0	213	174	298	454	266	0	0	0	0	0	0	0	0	0	184	0	217	0	0	0
Aste1	60.200000	0	0	0	0	0	0	0	0	0	0	0	213	174	298	454	266	0	0	0	0	0	0	0	0	0	184	0	217	0	0	0
Apobec1	60.166667	0	0	0	0	0	0	0	0	0	0	0	205	200	0	226	237	0	0	0	0	0	0	0	0	0	145	97	347	348	0	0
Stn1	60.133333	0	0	0	0	0	0	0	0	0	0	0	99	142	87	207	196	0	0	0	0	0	0	0	0	0	277	0	474	322	0	0
Fdxacb1	60.133333	0	0	0	0	0	0	0	0	0	0	0	178	150	220	450	311	0	0	0	0	0	0	0	0	0	157	0	241	97	0	0
Tarm1	60.100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	347	0	0	0	0	0	0	0	0	0	0	0	871	424	0	0
Tbc1d10a	60.066667	0	0	0	0	0	0	0	0	0	0	0	217	0	243	229	284	0	0	0	0	0	0	0	0	0	0	0	631	198	0	0
Srsf10	60.066667	0	0	0	0	0	0	0	0	0	0	0	361	279	412	483	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pibf1	60.066667	0	0	0	0	0	0	0	0	0	0	0	278	277	341	412	367	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0
Hsd11b1	60.066667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	129	469	271	561	0	0	181	0	0	0	0	0	0
Eif4a1	60.066667	0	0	0	0	0	0	0	0	0	0	0	255	0	232	445	343	0	0	0	0	0	0	0	0	0	150	0	193	184	0	0
Eapp	60.066667	0	0	0	0	0	0	0	0	0	0	0	0	115	0	104	68	0	0	0	0	0	0	0	0	0	703	334	334	144	0	0
Dis3	60.066667	0	0	0	0	0	0	0	0	0	0	0	278	277	341	412	367	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0
Rab43	60.033333	0	0	0	0	0	0	0	0	0	0	0	0	0	193	440	351	0	0	0	0	0	0	0	0	0	183	0	381	253	0	0
Adgre4	60.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	912	565	0	0
Gbp2b	59.966667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	289	0	0	0	0	0	0	0	0	0	273	113	579	257	0	0
Ago3	59.966667	0	0	0	0	0	0	0	0	0	0	0	211	158	159	436	364	0	0	0	0	0	0	0	0	0	153	0	177	141	0	0
Nab1	59.866667	0	0	0	0	0	0	0	0	0	0	0	116	177	408	500	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfand2b	59.800000	0	0	0	0	0	0	0	0	0	0	0	116	164	247	456	335	0	0	0	0	0	0	0	0	0	0	0	292	184	0	0
Tmprss13	59.800000	0	0	0	0	0	0	0	0	0	0	0	0	0	333	521	323	0	0	0	0	0	0	0	0	0	0	0	394	223	0	0
Sh3bp5	59.800000	0	0	0	0	0	0	0	0	0	0	0	145	126	173	301	252	0	0	0	0	0	0	0	0	0	166	126	328	177	0	0
Tns3	59.766667	0	0	0	0	0	0	0	0	0	0	0	124	161	0	450	795	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0
Pde7a	59.766667	0	0	0	0	0	0	0	0	0	0	0	0	117	166	252	192	0	0	0	0	0	0	0	0	0	533	0	373	160	0	0
Pdcd1lg2	59.766667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	433	226	254	0	201	146	0	0	219	181	0	0
Mapk7	59.766667	0	0	0	0	0	0	0	0	0	0	0	180	149	322	427	354	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0
Yod1	59.700000	0	0	0	0	0	0	0	0	0	0	0	304	326	401	333	298	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0
Srsf11	59.700000	0	0	0	0	0	0	0	0	0	0	0	151	239	242	379	179	0	0	0	0	0	0	0	0	0	85	0	306	210	0	0
Pfkfb2	59.700000	0	0	0	0	0	0	0	0	0	0	0	304	326	401	333	298	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0
Lrrc40	59.700000	0	0	0	0	0	0	0	0	0	0	0	151	239	242	379	179	0	0	0	0	0	0	0	0	0	85	0	306	210	0	0
Atf7	59.700000	0	0	0	0	0	0	0	0	0	0	0	266	216	255	385	267	0	0	0	0	0	0	0	0	0	115	0	139	148	0	0
Rictor	59.666667	0	0	0	0	0	0	0	0	0	0	0	263	200	351	497	171	0	0	0	0	0	0	0	0	0	139	0	169	0	0	0
Tnip2	59.633333	0	0	0	0	0	0	0	0	0	0	0	229	286	271	389	308	0	0	0	0	0	0	0	0	0	108	0	198	0	0	0
Rnf19b	59.633333	0	0	0	0	0	0	0	0	0	0	0	0	0	248	654	437	0	0	0	0	0	0	0	0	0	141	0	309	0	0	0
Rbbp6	59.633333	0	0	0	0	0	0	0	0	0	0	0	124	0	220	354	505	0	0	0	0	0	0	0	0	0	0	0	437	149	0	0
Zscan30	59.566667	0	0	0	0	0	0	0	0	0	0	0	0	0	121	115	74	0	0	0	0	0	0	0	0	0	287	122	816	252	0	0
Zfp35	59.566667	0	0	0	0	0	0	0	0	0	0	0	0	0	121	115	74	0	0	0	0	0	0	0	0	0	287	122	816	252	0	0
Itpkc	59.566667	0	0	0	0	0	0	0	0	0	0	0	0	188	236	381	576	0	0	0	0	0	0	0	0	0	99	0	152	0	155	0
Coq8b	59.566667	0	0	0	0	0	0	0	0	0	0	0	0	188	236	381	576	0	0	0	0	0	0	0	0	0	99	0	152	0	155	0
Srd5a3	59.533333	0	0	0	0	0	0	0	0	0	0	0	101	146	226	495	289	0	0	0	0	0	0	0	0	0	106	0	254	169	0	0
Rbm4b	59.500000	0	0	0	0	0	0	0	0	0	0	0	188	216	326	623	316	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0
Kri1	59.500000	0	0	0	0	0	0	0	0	0	0	0	206	258	263	362	331	0	0	0	0	0	0	0	0	0	129	0	145	91	0	0
Gramd3	59.500000	0	0	0	0	0	0	0	0	0	0	0	151	128	243	701	404	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0
Emilin2	59.500000	0	0	0	0	0	0	0	0	0	0	0	171	284	233	579	320	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0
Cdkn2d	59.500000	0	0	0	0	0	0	0	0	0	0	0	206	258	263	362	331	0	0	0	0	0	0	0	0	0	129	0	145	91	0	0
Zbtb43	59.466667	0	0	0	0	0	0	0	0	0	0	0	151	130	200	453	598	0	0	0	0	0	0	0	0	0	0	0	100	152	0	0
Phip	59.466667	0	0	0	0	0	0	0	0	0	0	0	174	123	231	420	343	0	0	0	0	0	0	0	0	0	0	0	353	140	0	0
Mrpl41	59.466667	0	0	0	0	0	0	0	0	0	0	0	253	0	321	302	349	0	0	0	0	0	0	0	0	0	0	0	335	224	0	0
Tmem198	59.433333	0	0	0	0	0	0	0	0	0	0	0	103	194	274	448	428	0	0	0	0	0	0	0	0	0	0	0	123	0	213	0
Chpf	59.433333	0	0	0	0	0	0	0	0	0	0	0	103	194	274	448	428	0	0	0	0	0	0	0	0	0	0	0	123	0	213	0
Bach1	59.433333	0	0	0	0	0	0	0	0	0	0	0	282	156	160	393	306	0	0	0	0	0	0	0	0	0	0	0	297	100	89	0
Armc8	59.400000	0	0	0	0	0	0	0	0	0	0	0	0	0	91	164	213	0	0	0	0	0	0	0	0	0	235	0	792	287	0	0
Prrg4	59.366667	0	0	0	0	0	0	0	0	0	0	0	154	302	387	414	314	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0
Gfap	59.366667	0	0	0	0	0	0	0	0	0	0	0	0	273	311	631	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snd1	59.333333	0	0	0	0	0	0	0	0	0	0	0	129	183	203	442	263	0	0	0	0	0	0	0	0	0	84	0	293	183	0	0
Mtrex	59.333333	0	0	0	0	0	0	0	0	0	0	0	144	162	203	282	197	0	0	0	0	0	0	0	0	0	192	0	355	245	0	0
Dhx29	59.333333	0	0	0	0	0	0	0	0	0	0	0	144	162	203	282	197	0	0	0	0	0	0	0	0	0	192	0	355	245	0	0
Ccl7	59.333333	0	0	0	0	0	0	0	0	0	0	0	131	138	241	400	387	0	0	0	0	0	0	0	0	0	224	0	259	0	0	0
Agtpbp1	59.300000	0	0	0	0	0	0	0	0	0	0	0	199	0	153	486	603	0	0	0	0	0	0	0	0	0	0	0	208	130	0	0
Sbk2	59.266667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	224	279	313	230	419	0	0	140	0	0	0	0	0	0
Tpm4	59.233333	0	0	0	0	0	0	0	0	0	0	0	108	200	242	466	517	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0
Prss40	59.200000	0	0	0	0	0	0	0	0	0	0	0	168	0	225	407	301	0	0	0	0	0	0	0	0	0	128	0	378	169	0	0
Fcho2	59.200000	0	0	0	0	0	0	0	0	0	0	0	141	0	0	215	319	0	0	0	0	0	0	0	0	0	181	0	689	231	0	0
Scyl2	59.166667	0	0	0	0	0	0	0	0	0	0	0	174	151	250	386	323	0	0	0	0	0	0	0	0	0	0	0	357	134	0	0
Metap2	59.166667	0	0	0	0	0	0	0	0	0	0	0	177	119	278	434	498	0	0	0	0	0	0	0	0	0	95	0	174	0	0	0
Marchf1	59.166667	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	144	0	0	0	0	0	0	0	0	0	446	0	620	439	0	0
Rap2b	59.133333	0	0	0	0	0	0	0	0	0	0	0	230	165	193	316	180	0	0	0	0	0	0	0	0	0	0	0	406	284	0	0
Gigyf2	59.133333	0	0	0	0	0	0	0	0	0	0	0	303	262	161	315	215	0	0	0	0	0	0	0	0	0	90	0	182	246	0	0
Ghitm	59.133333	0	0	0	0	0	0	0	0	0	0	0	201	204	189	260	277	0	0	0	0	0	0	0	0	0	145	0	498	0	0	0
Rps3a1	59.100000	0	0	0	0	0	0	0	0	0	0	0	257	268	386	438	298	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0
Parp10	59.100000	0	0	0	0	0	0	0	0	0	0	0	0	174	230	371	337	0	0	0	0	0	0	0	0	0	212	0	310	139	0	0
Dennd2d	59.100000	0	0	0	0	0	0	0	0	0	0	0	130	0	0	248	264	0	0	0	0	0	0	0	0	0	295	0	595	241	0	0
Il7	59.066667	0	0	0	0	0	0	0	0	0	0	0	0	137	213	620	576	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0
Tmem161a	59.033333	0	0	0	0	0	0	0	0	0	0	0	135	269	251	458	193	0	0	0	0	0	0	0	0	0	0	0	253	212	0	0
Vps13c	59.000000	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	490	165	609	395	0	0
Omp	59.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	148	176	289	271	388	0	160	209	0	0	0	0	0	0
Amn1	59.000000	0	0	0	0	0	0	0	0	0	0	0	116	0	269	412	307	0	0	0	0	0	0	0	0	0	151	0	307	208	0	0
Aim2	59.000000	0	0	0	0	0	0	0	0	0	0	0	183	117	181	340	278	0	0	0	0	0	0	0	0	0	171	0	312	188	0	0
Hexa	58.966667	0	0	0	0	0	0	0	0	0	0	0	130	0	162	494	424	0	0	0	0	0	0	0	0	0	193	0	228	138	0	0
Dchs2	58.966667	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	489	329	274	193	280	0	0	0	0	0	0	0
Wdr20	58.933333	0	0	0	0	0	0	0	0	0	0	0	227	0	225	384	189	0	0	0	0	0	0	0	0	0	0	0	491	252	0	0
Ugt1a8	58.933333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	455	404	537	0	0	224	0	0	0	0	0	0
Sap18b	58.933333	0	0	0	0	0	0	0	0	0	0	0	256	229	301	521	369	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0
Sap18	58.933333	0	0	0	0	0	0	0	0	0	0	0	256	229	301	521	369	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0
Rab5a	58.900000	0	0	0	0	0	0	0	0	0	0	0	159	197	227	318	197	0	0	0	0	0	0	0	0	0	186	0	297	186	0	0
Wdr62	58.866667	0	0	0	0	0	0	0	0	0	0	0	203	261	169	367	272	0	0	0	0	0	0	0	0	0	0	0	353	141	0	0
Ranbp3l	58.866667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	421	236	305	271	290	0	0	0	0	0	0	0	0	0
Pold4	58.866667	0	0	0	0	0	0	0	0	0	0	0	107	0	119	273	393	0	0	0	0	0	0	0	0	0	158	0	523	193	0	0
Fxn	58.866667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	203	385	0	218	315	0	0	208	0	0	0
Srgap2	58.800000	0	0	0	0	0	0	0	0	0	0	0	109	0	102	228	255	0	0	0	0	0	0	0	0	0	459	137	323	151	0	0
Immp1l	58.800000	0	0	0	0	0	0	0	0	0	0	0	185	184	252	176	152	0	0	0	0	0	0	0	0	0	154	0	437	224	0	0
Fam72a	58.800000	0	0	0	0	0	0	0	0	0	0	0	109	0	102	228	255	0	0	0	0	0	0	0	0	0	459	137	323	151	0	0
Elp4	58.800000	0	0	0	0	0	0	0	0	0	0	0	185	184	252	176	152	0	0	0	0	0	0	0	0	0	154	0	437	224	0	0
Defb43	58.800000	0	0	0	0	0	0	0	0	0	0	0	198	165	248	565	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armc3	58.800000	0	0	0	0	0	0	0	0	0	0	0	224	219	268	557	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Supv3l1	58.766667	0	0	0	0	0	0	0	0	0	0	0	301	360	253	396	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arpin	58.766667	0	0	0	0	0	0	0	0	0	0	0	0	0	157	419	308	0	0	0	0	0	0	0	0	0	149	0	475	255	0	0
Mrps23	58.733333	0	0	0	0	0	0	0	0	0	0	0	158	0	168	391	224	0	0	0	0	0	0	0	0	0	189	0	335	297	0	0
Cox20	58.733333	0	0	0	0	0	0	0	0	0	0	0	125	173	270	357	365	0	0	0	0	0	0	0	0	0	163	0	140	169	0	0
Chn2	58.733333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	167	165	258	243	508	0	0	209	0	0	0	0	0	0
Ccnt2	58.733333	0	0	0	0	0	0	0	0	0	0	0	174	137	248	460	208	0	0	0	0	0	0	0	0	0	123	0	214	198	0	0
Gsr	58.700000	0	0	0	0	0	0	0	0	0	0	0	162	123	172	461	252	0	0	0	0	0	0	0	0	0	161	0	273	157	0	0
Clec4a3	58.700000	0	0	0	0	0	0	0	0	0	0	0	213	0	0	253	297	0	0	0	0	0	0	0	0	0	260	133	485	120	0	0
Ccin	58.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	472	257	508	0	0	224	0	0	123	0	0	0
Bnip3l	58.666667	0	0	0	0	0	0	0	0	0	0	0	175	0	136	383	188	0	0	0	0	0	0	0	0	0	401	0	328	149	0	0
Arl6ip5	58.666667	0	0	0	0	0	0	0	0	0	0	0	128	181	137	483	491	0	0	0	0	0	0	0	0	0	106	0	135	99	0	0
Ankhd1	58.666667	0	0	0	0	0	0	0	0	0	0	0	0	92	0	355	504	0	0	0	0	0	0	0	0	0	0	0	617	192	0	0
Xpo7	58.633333	0	0	0	0	0	0	0	0	0	0	0	0	0	150	323	258	0	0	0	0	0	0	0	0	0	396	214	241	177	0	0
Specc1	58.633333	0	0	0	0	0	0	0	0	0	0	0	101	0	312	489	324	0	0	0	0	0	0	0	0	0	149	0	220	164	0	0
Mettl7a1	58.633333	0	0	0	0	0	0	0	0	0	0	0	81	0	97	234	193	0	0	0	273	0	169	0	0	0	163	0	319	230	0	0
Tomm70a	58.600000	0	0	0	0	0	0	0	0	0	0	0	220	219	187	256	344	0	0	0	0	0	0	0	0	0	0	0	345	187	0	0
Thbs4	58.600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	313	0	260	0	321	151	290	0	0	0	0	0	145	0	0	0
Kif11	58.600000	0	0	0	0	0	0	0	0	0	0	0	250	279	206	333	157	0	0	0	0	0	0	0	0	0	124	0	191	218	0	0
Harbi1	58.600000	0	0	0	0	0	0	0	0	0	0	0	202	209	225	433	350	0	0	0	0	0	0	0	0	0	0	0	200	139	0	0
Csgalnact2	58.600000	0	0	0	0	0	0	0	0	0	0	0	130	158	266	481	350	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0
Atg13	58.600000	0	0	0	0	0	0	0	0	0	0	0	202	209	225	433	350	0	0	0	0	0	0	0	0	0	0	0	200	139	0	0
Pam	58.566667	0	0	0	0	0	0	0	0	0	0	0	0	186	405	733	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agbl3	58.566667	0	0	0	0	0	0	0	0	0	0	0	129	111	150	549	703	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0
Rabl2	58.500000	0	0	0	0	0	0	0	0	0	0	0	255	152	469	344	390	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0
Mamdc2	58.500000	0	0	0	0	0	0	0	0	0	0	0	162	255	186	587	324	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0
Irak3	58.500000	0	0	0	0	0	0	0	0	0	0	0	0	117	126	697	390	0	0	0	0	0	0	0	0	0	0	0	226	0	199	0
Ikbkg	58.500000	0	0	0	0	0	0	0	0	0	0	0	190	118	202	340	119	0	0	0	0	0	0	0	0	0	275	0	379	132	0	0
G6pdx	58.500000	0	0	0	0	0	0	0	0	0	0	0	190	118	202	340	119	0	0	0	0	0	0	0	0	0	275	0	379	132	0	0
Cd38	58.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	239	339	263	0	0	0	0	0	0	0	0	0	136	0	565	213	0	0
Slamf1	58.466667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	873	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0
Mettl4	58.466667	0	0	0	0	0	0	0	0	0	0	0	117	191	228	375	352	0	0	0	0	0	0	0	0	0	146	0	181	164	0	0
Ccdc174	58.466667	0	0	0	0	0	0	0	0	0	0	0	135	102	151	158	152	0	0	0	0	0	0	0	0	0	159	0	610	287	0	0
Ahnak	58.466667	0	0	0	0	0	0	0	0	0	0	0	0	201	185	375	369	0	0	0	0	0	0	0	0	0	220	0	288	116	0	0
