Target_genes	Mlxipl|Average	SRX15941723|Liver	SRX15941725|Liver	SRX6099407|Liver	SRX6099408|Liver	SRX6099409|Liver	SRX6099410|Liver	SRX6099411|Liver	SRX6099412|Liver	SRX6099413|Liver	SRX6099414|Liver	SRX6099415|Liver	SRX6099416|Liver	SRX6099417|Liver	SRX6099418|Liver	STRING
Tax1bp3	148.214286	236	0	0	0	0	0	232	362	192	258	197	225	128	245	0
Emc6	148.214286	236	0	0	0	0	0	232	362	192	258	197	225	128	245	0
Gaa	147.785714	140	127	0	0	0	0	223	313	191	330	197	183	134	231	0
Dpep2	147.785714	0	0	0	0	0	0	239	492	257	386	0	225	149	321	0
Tomm40	147.714286	0	0	0	0	0	0	143	185	205	286	277	446	251	275	0
Snapin	147.714286	0	0	0	0	0	0	368	354	278	246	293	321	0	208	0
Marchf9	147.642857	161	0	0	0	0	0	242	359	164	227	129	289	126	370	0
Cdk4	147.642857	161	0	0	0	0	0	242	359	164	227	129	289	126	370	0
Bcl9l	147.642857	240	140	0	0	0	0	254	430	243	306	0	212	0	242	0
Steap3	147.500000	276	221	0	0	0	0	183	285	174	189	209	133	136	259	0
Sharpin	147.142857	0	0	0	0	0	0	305	332	247	301	227	208	208	232	0
Maf1	147.142857	0	0	0	0	0	0	305	332	247	301	227	208	208	232	0
Gm35339	147.142857	0	0	0	0	0	0	305	332	247	301	227	208	208	232	0
Aurkb	147.071429	0	0	0	0	0	0	218	281	176	244	196	370	263	311	0
Mapk7	146.857143	158	0	0	0	0	0	265	205	140	288	220	352	209	219	0
Iyd	146.785714	386	0	0	0	0	0	224	449	311	351	0	201	0	133	0
Nectin1	146.642857	131	0	0	0	0	0	224	315	229	348	140	225	231	210	0
Suco	146.500000	193	0	0	0	0	0	232	312	239	278	135	297	114	251	0
Tmem70	146.285714	0	105	0	0	0	0	242	309	174	206	249	352	180	231	0
Dnaja3	146.285714	0	110	0	0	0	0	159	280	142	294	297	344	158	264	0
Coro7	146.285714	0	110	0	0	0	0	159	280	142	294	297	344	158	264	0
Glyctk	146.214286	338	139	0	0	0	0	328	328	161	195	131	139	103	185	0
Mavs	146.142857	0	0	0	0	0	0	163	352	178	396	196	356	161	244	0
Dlg1	146.142857	0	0	0	0	0	0	161	197	215	377	232	333	216	315	0
Gramd3	146.071429	0	0	0	0	0	0	336	477	322	281	169	222	0	238	0
Fbxo21	146.071429	0	0	0	0	0	0	279	508	229	371	210	232	0	216	0
1810013L24Rik	146.071429	0	114	0	0	0	0	184	327	163	320	197	198	240	302	0
Gprin3	145.928571	0	0	0	0	0	0	635	553	233	175	128	100	86	133	0
Cln3	145.928571	0	0	0	0	0	0	137	310	189	290	153	333	301	330	0
Apobr	145.928571	0	0	0	0	0	0	137	310	189	290	153	333	301	330	0
Pink1	145.714286	220	211	0	0	0	0	161	399	131	314	101	307	0	196	0
H2-L	145.571429	0	0	0	0	0	0	194	361	152	236	242	309	210	334	0
H2-D1	145.571429	0	0	0	0	0	0	194	361	152	236	242	309	210	334	0
Tymp	145.500000	141	105	0	0	0	0	306	359	181	265	177	216	117	170	0
Sco2	145.500000	141	105	0	0	0	0	306	359	181	265	177	216	117	170	0
Retreg1	145.500000	119	211	0	0	0	0	237	336	139	279	0	147	241	328	0
Inafm1	145.428571	193	0	0	0	0	0	170	300	242	312	214	296	115	194	0
Slx4	145.357143	0	0	0	0	0	0	182	314	165	187	252	426	267	242	0
Fam76a	145.285714	0	0	0	0	0	0	285	203	286	348	188	263	176	285	0
Dbp	145.285714	121	0	0	0	0	0	252	232	158	202	365	309	181	214	0
Zbtb25	145.142857	0	0	0	0	0	0	172	305	138	434	0	404	147	432	0
Zbtb1	145.142857	0	0	0	0	0	0	172	305	138	434	0	404	147	432	0
Hif1a	145.142857	0	0	0	0	0	0	197	175	200	379	211	414	151	305	0
Abhd11	145.142857	205	193	0	0	0	0	250	265	194	307	0	199	179	240	0
Samm50	145.071429	286	389	0	0	0	0	88	210	93	227	116	202	138	282	0
Kyat3	145.000000	217	197	0	0	0	0	207	384	227	311	189	144	0	154	0
Arl6ip1	144.785714	153	0	0	0	0	0	0	169	306	430	217	266	217	269	0
Arf1	144.785714	546	218	0	0	0	0	164	163	211	269	147	143	0	166	0
Ppm1b	144.642857	0	138	0	0	0	0	188	307	290	307	122	302	168	203	0
Lactb2	144.500000	116	114	0	0	0	0	235	298	207	267	147	279	168	192	0
C4b	144.428571	168	0	0	0	0	0	179	200	272	328	204	262	0	409	0
Adss	144.428571	149	0	0	0	0	0	207	379	174	241	232	217	171	252	0
Selenos	144.357143	0	0	0	0	0	0	114	199	236	301	250	447	202	272	0
Rsph3a	144.285714	241	160	0	0	0	0	162	172	302	226	218	303	95	141	0
Ntsr2	144.285714	0	81	0	0	0	0	355	259	220	307	109	275	134	280	0
Hsdl1	144.285714	122	0	0	0	0	0	338	339	285	176	332	249	0	179	0
Dnaaf1	144.285714	122	0	0	0	0	0	338	339	285	176	332	249	0	179	0
Csnk1g2	144.285714	191	189	0	0	0	0	183	291	158	250	135	198	145	280	0
Nrbf2	144.142857	0	0	0	0	0	0	243	264	251	368	138	307	214	233	0
Gpr146	144.071429	212	0	0	0	0	0	205	344	257	320	169	197	130	183	0
Ccnyl1	143.857143	144	0	0	0	0	0	205	167	142	233	338	373	0	412	0
Txnrd1	143.642857	160	0	0	0	0	0	289	289	230	262	164	249	183	185	0
Lnpep	143.642857	201	125	0	0	0	0	160	311	223	345	0	201	141	304	0
Wee1	143.428571	275	79	0	0	0	0	273	278	192	274	190	107	171	169	0
Ugt1a1	143.357143	125	0	0	0	0	0	253	357	156	291	166	195	213	251	0
Wdr82	143.285714	378	243	0	0	0	0	166	281	156	368	0	222	0	192	0
Plxnd1	143.285714	0	0	0	0	0	0	183	275	362	232	214	327	180	233	0
Slc25a5	143.071429	140	0	0	0	0	0	250	350	190	268	154	257	155	239	0
Bst2	143.000000	125	0	0	0	0	0	173	317	256	451	161	301	0	218	0
Thumpd2	142.785714	123	0	0	0	0	0	115	232	128	317	274	453	104	253	0
Ubald1	142.714286	0	0	0	0	0	0	253	395	166	312	160	343	151	218	0
Pdxk	142.571429	237	149	0	0	0	0	249	240	190	238	100	237	134	222	0
Hspb8	142.285714	267	289	0	0	0	0	300	415	242	373	0	0	0	106	0
B4galnt1	142.285714	162	146	0	0	0	0	263	326	221	301	94	124	127	228	0
Mical3	142.214286	0	0	0	0	0	0	273	361	194	301	0	399	149	314	0
Cmbl	142.214286	181	0	0	0	0	0	230	199	204	366	152	256	141	262	0
Cables1	142.214286	0	0	0	0	0	0	323	385	158	269	258	308	132	158	0
Osbpl1a	142.142857	0	0	0	0	0	0	263	364	247	343	211	392	0	170	0
Slc25a51	142.071429	160	169	0	0	0	0	193	289	239	273	0	162	182	322	0
Arpc3	142.071429	0	0	0	0	0	0	208	252	233	288	183	275	271	279	0
Rnase10	142.000000	164	0	0	0	0	0	243	283	179	338	108	246	182	245	0
Mxi1	142.000000	0	111	0	0	0	0	226	397	236	305	162	248	129	174	0
Mlec	142.000000	164	0	0	0	0	0	121	256	286	219	171	387	108	276	0
Rab10	141.928571	0	0	0	0	0	0	270	294	263	356	165	272	131	236	0
Pgghg	141.857143	175	169	0	0	0	0	235	273	147	161	152	175	201	298	0
Zpr1	141.785714	102	0	0	0	0	0	230	406	253	279	183	303	0	229	0
Apoa5	141.785714	102	0	0	0	0	0	230	406	253	279	183	303	0	229	0
Slc25a32	141.500000	0	0	0	0	0	0	325	471	273	314	0	262	176	160	0
Dcaf13	141.500000	0	0	0	0	0	0	325	471	273	314	0	262	176	160	0
Coq9	141.500000	80	124	0	0	0	0	228	296	208	228	233	248	176	160	0
Ciapin1	141.500000	80	124	0	0	0	0	228	296	208	228	233	248	176	160	0
Atp5g2	141.428571	165	140	0	0	0	0	206	228	257	266	170	185	139	224	0
Vps4b	141.357143	0	0	0	0	0	0	194	310	157	306	210	383	155	264	0
Eaf2	141.357143	0	0	0	0	0	0	115	204	189	291	295	407	212	266	0
Hnrnpdl	141.285714	153	0	0	0	0	0	182	281	172	229	141	366	139	315	0
Enoph1	141.285714	153	0	0	0	0	0	182	281	172	229	141	366	139	315	0
Plekha6	141.142857	207	199	0	0	0	0	125	261	211	277	207	162	98	229	0
Srm	141.000000	0	0	0	0	0	0	187	197	242	285	153	289	297	324	0
Rps6ka5	140.928571	140	108	0	0	0	0	135	203	151	183	164	473	172	244	0
Fads6	140.928571	188	149	0	0	0	0	192	235	271	254	127	153	177	227	0
Kpna3	140.714286	251	131	0	0	0	0	230	404	305	325	0	144	0	180	0
Sertad2	140.642857	0	0	0	0	0	0	265	360	184	316	179	240	175	250	0
Nmnat3	140.642857	127	77	0	0	0	0	236	280	223	294	157	275	146	154	0
Trip6	140.571429	0	0	0	0	0	0	173	234	131	218	319	421	151	321	0
Sh3d19	140.428571	174	0	0	0	0	0	213	405	251	238	206	135	221	123	0
Plekha8	140.357143	186	0	0	0	0	0	189	369	172	255	171	313	0	310	0
Ncoa4	140.357143	168	0	0	0	0	0	172	318	266	376	240	289	0	136	0
Fkbp14	140.357143	186	0	0	0	0	0	189	369	172	255	171	313	0	310	0
Abca8b	140.357143	0	0	0	0	0	0	213	334	165	228	184	252	203	386	0
Hsd17b13	140.285714	141	0	0	0	0	0	256	485	155	253	194	147	169	164	0
Snx5	140.214286	0	0	0	0	0	0	272	248	187	257	252	281	228	238	0
Mgme1	140.214286	0	0	0	0	0	0	272	248	187	257	252	281	228	238	0
Isyna1	140.214286	0	0	0	0	0	0	208	221	167	138	337	481	183	228	0
Denr	140.214286	288	159	0	0	0	0	236	312	185	321	144	209	0	109	0
Ndst1	140.142857	196	163	0	0	0	0	296	545	183	257	0	140	0	182	0
Cep68	140.142857	0	130	0	0	0	0	128	268	130	300	191	333	196	286	0
Rasgef1b	140.000000	0	0	0	0	0	0	199	236	260	254	294	350	167	200	0
Osgep	140.000000	141	109	0	0	0	0	216	229	137	265	160	257	189	257	0
Apex1	140.000000	141	109	0	0	0	0	216	229	137	265	160	257	189	257	0
Fbxl19	139.928571	306	252	0	0	0	0	128	148	176	312	151	178	110	198	0
Uri1	139.857143	0	0	0	0	0	0	116	118	194	283	323	513	189	222	0
Pprc1	139.857143	0	91	0	0	0	0	214	253	191	256	229	327	168	229	0
Mrnip	139.857143	127	0	0	0	0	0	262	428	169	173	133	328	140	198	0
H2-DMa	139.785714	191	264	0	0	0	0	212	161	167	168	283	264	0	247	0
Brd2	139.785714	191	264	0	0	0	0	212	161	167	168	283	264	0	247	0
Hdgf	139.357143	232	0	0	0	0	0	231	352	142	165	119	330	149	231	0
Srsf10	139.285714	0	0	0	0	0	0	265	207	178	189	209	346	233	323	0
Fzr1	139.214286	0	129	0	0	0	0	307	283	216	267	135	217	87	308	0
Bnip3l	139.142857	198	0	0	0	0	0	188	249	119	255	177	245	235	282	0
Tmie	139.071429	225	0	0	0	0	0	281	374	189	330	0	206	124	218	0
Als2cl	139.071429	225	0	0	0	0	0	281	374	189	330	0	206	124	218	0
Cmah	138.928571	200	127	0	0	0	0	157	306	268	298	95	177	123	194	0
Tlcd4	138.785714	118	0	0	0	0	0	272	554	177	304	0	229	0	289	0
Slf2	138.714286	0	0	0	0	0	0	270	328	248	331	132	246	176	211	0
Gramd4	138.642857	0	0	0	0	0	0	274	309	177	329	176	236	202	238	0
Ddx18	138.642857	0	0	0	0	0	0	122	340	272	268	239	359	102	239	0
Bcl7a	138.642857	0	0	0	0	0	0	324	417	287	282	0	234	174	223	0
Ap5z1	138.642857	192	0	0	0	0	0	275	334	135	328	97	194	94	292	0
Sgk1	138.500000	201	0	0	0	0	0	173	237	166	218	195	333	203	213	0
Tbccd1	138.428571	0	0	0	0	0	0	181	316	270	464	115	202	144	246	0
Sema4a	138.428571	199	0	0	0	0	0	283	347	148	351	220	246	0	144	0
Plg	138.428571	225	174	0	0	0	0	191	315	229	129	0	193	186	296	0
Lrch1	138.428571	0	0	0	0	0	0	324	511	148	228	165	293	0	269	0
Dnajb11	138.428571	0	0	0	0	0	0	181	316	270	464	115	202	144	246	0
Map3k14	138.285714	236	110	0	0	0	0	188	254	183	275	179	202	106	203	0
Calm3	138.285714	0	0	0	0	0	0	248	345	167	293	238	261	163	221	0
Atp6v1fnb	138.285714	171	146	0	0	0	0	171	253	165	216	169	271	129	245	0
Atp6v1f	138.285714	171	146	0	0	0	0	171	253	165	216	169	271	129	245	0
Rnf43	138.214286	0	129	0	0	0	0	212	321	139	220	182	307	191	234	0
M6pr	138.142857	185	0	0	0	0	0	257	292	276	319	0	345	117	143	0
Map2k7	138.071429	105	206	0	0	0	0	202	296	159	281	187	214	109	174	0
Pex2	137.928571	388	245	0	0	0	0	251	273	237	332	0	91	0	114	0
Tmem222	137.857143	128	92	0	0	0	0	214	354	128	214	145	261	142	252	0
Htra2	137.785714	134	0	0	0	0	0	174	339	156	311	196	162	153	304	0
Dqx1	137.785714	134	0	0	0	0	0	174	339	156	311	196	162	153	304	0
Apol9b	137.785714	207	118	0	0	0	0	286	255	256	278	0	194	140	195	0
Pigr	137.714286	209	0	0	0	0	0	388	462	249	262	0	186	0	172	0
Dctpp1	137.571429	207	119	0	0	0	0	225	243	172	264	125	181	197	193	0
Sorbs2	137.428571	0	0	0	0	0	0	161	190	147	225	231	524	234	212	0
Plcb1	137.428571	260	166	0	0	0	0	253	291	132	148	202	208	140	124	0
Eci2	137.428571	196	136	0	0	0	0	252	368	148	272	0	96	132	324	0
Mapk6	137.214286	0	0	0	0	0	0	226	320	232	319	204	168	185	267	0
Atp6v1h	137.214286	0	0	0	0	0	0	184	393	183	261	231	325	153	191	0
Tmem17	137.142857	161	97	0	0	0	0	291	345	215	240	123	128	170	150	0
Cbln3	137.071429	236	141	0	0	0	0	301	562	0	351	0	138	0	190	0
Car5a	136.857143	386	203	0	0	0	0	223	268	110	235	0	138	153	200	0
Rgl3	136.642857	271	243	0	0	0	0	226	382	185	195	0	120	106	185	0
Focad	136.571429	121	167	0	0	0	0	254	221	147	165	140	308	171	218	0
Acadl	136.500000	178	0	0	0	0	0	152	355	233	345	0	212	146	290	0
Nup54	136.428571	0	0	0	0	0	0	258	402	213	214	164	244	183	232	0
Serpine1	136.142857	152	118	0	0	0	0	244	377	191	211	130	133	109	241	0
Rad9a	136.142857	0	0	0	0	0	0	173	289	142	315	208	303	162	314	0
Ctnna3	136.142857	0	0	0	0	0	0	209	332	203	211	213	313	132	293	0
Eps8l2	136.071429	0	0	0	0	0	0	271	344	154	317	0	300	254	265	0
Deaf1	136.071429	0	0	0	0	0	0	271	344	154	317	0	300	254	265	0
Lbp	135.928571	141	0	0	0	0	0	306	328	202	322	0	220	166	218	0
Fcgr2b	135.857143	230	113	0	0	0	0	0	154	215	203	229	339	185	234	0
Lrtm1	135.785714	0	0	0	0	0	0	306	359	215	395	160	189	0	277	0
Fcgrt	135.642857	207	0	0	0	0	0	204	409	169	247	112	211	167	173	0
BC029722	135.571429	191	109	0	0	0	0	214	291	344	366	0	280	0	103	0
Fchsd2	135.357143	0	0	0	0	0	0	0	231	156	196	305	470	226	311	0
Adam24	135.357143	216	193	0	0	0	0	274	450	0	319	0	0	0	443	0
Birc2	135.285714	361	214	0	0	0	0	232	227	204	165	0	163	198	130	0
Plod1	135.214286	0	0	0	0	0	0	203	146	242	334	168	310	244	246	0
2510039O18Rik	135.214286	0	0	0	0	0	0	203	146	242	334	168	310	244	246	0
Serpina3k	135.142857	203	108	0	0	0	0	252	364	276	242	0	0	209	238	0
Atp10d	135.071429	180	201	0	0	0	0	227	318	212	214	210	232	0	97	0
Bcl2l11	134.928571	178	158	0	0	0	0	298	292	150	253	190	229	0	141	0
Ecsit	134.857143	230	0	0	0	0	0	195	374	173	294	0	249	158	215	0
Dhdds	134.857143	0	0	0	0	0	0	187	258	188	301	185	320	212	237	0
Ccnl1	134.785714	123	0	0	0	0	0	212	424	213	289	141	156	113	216	0
Abcd2	134.785714	0	0	0	0	0	0	314	427	213	317	0	189	202	225	0
Them4	134.714286	261	133	0	0	0	0	282	451	207	242	157	0	0	153	0
Tex10	134.714286	0	0	0	0	0	0	245	260	250	289	210	221	186	225	0
Tesmin	134.571429	0	0	0	0	0	0	376	440	176	135	177	272	155	153	0
Hibadh	134.571429	132	98	0	0	0	0	206	256	251	274	148	166	154	199	0
Baz1b	134.571429	228	199	0	0	0	0	207	377	166	206	0	101	181	219	0
Rnmt	134.500000	0	130	0	0	0	0	312	304	198	287	173	189	110	180	0
Fam210a	134.500000	0	130	0	0	0	0	312	304	198	287	173	189	110	180	0
Rabgef1	134.142857	0	0	0	0	0	0	226	422	238	240	213	172	146	221	0
Fam13a	134.142857	0	0	0	0	0	0	339	454	284	307	111	161	97	125	0
Sgms2	133.857143	0	0	0	0	0	0	225	249	253	394	208	211	138	196	0
Gnmt	133.857143	175	110	0	0	0	0	168	220	220	241	173	187	166	214	0
Plpp6	133.714286	0	0	0	0	0	0	192	384	158	288	128	364	0	358	0
Ndufb5	133.714286	0	0	0	0	0	0	137	236	124	269	266	398	143	299	0
Mrpl47	133.714286	0	0	0	0	0	0	137	236	124	269	266	398	143	299	0
Irf2	133.714286	223	102	0	0	0	0	255	398	224	260	0	130	0	280	0
Hinfp	133.714286	0	187	0	0	0	0	178	284	162	184	164	296	145	272	0
4430402I18Rik	133.714286	0	0	0	0	0	0	192	384	158	288	128	364	0	358	0
Sos2	133.642857	123	0	0	0	0	0	255	304	171	248	0	306	176	288	0
Caml	133.571429	0	80	0	0	0	0	178	191	208	277	236	388	102	210	0
Epb41l4b	133.500000	180	129	0	0	0	0	343	323	161	242	0	169	94	228	0
Slc49a4	133.428571	0	0	0	0	0	0	266	292	221	250	156	204	179	300	0
Tmed2	133.357143	0	0	0	0	0	0	258	336	169	155	272	231	164	282	0
Nr1d1	133.214286	0	0	0	0	0	0	257	439	173	246	174	241	146	189	0
Akap11	133.214286	0	0	0	0	0	0	181	443	236	315	0	318	143	229	0
Tom1l2	133.142857	125	0	0	0	0	0	216	418	102	193	193	219	193	205	0
Eef1akmt3	133.142857	0	0	0	0	0	0	214	297	94	189	243	373	284	170	0
Drc3	133.142857	125	0	0	0	0	0	216	418	102	193	193	219	193	205	0
Slc35b3	133.071429	263	0	0	0	0	0	250	320	114	300	195	248	0	173	0
Ankrd46	133.000000	265	132	0	0	0	0	316	402	145	302	0	0	0	300	0
Cipc	132.857143	198	93	0	0	0	0	298	329	139	190	113	221	91	188	0
Acy3	132.785714	152	238	0	0	0	0	234	260	173	227	179	126	174	96	0
Prrc2a	132.642857	151	0	0	0	0	0	0	337	0	236	201	332	301	299	0
Ddx11	132.571429	0	0	0	0	0	0	189	221	179	230	251	352	245	189	0
9030025P20Rik	132.571429	0	0	0	0	0	0	343	317	252	403	204	145	0	192	0
Stat3	132.500000	200	124	0	0	0	0	114	209	97	199	259	280	144	229	0
Natd1	132.500000	0	0	0	0	0	0	324	289	179	246	129	210	189	289	0
Ttll12	132.428571	0	0	0	0	0	0	267	297	245	354	204	288	0	199	0
Gale	132.357143	159	160	0	0	0	0	0	707	0	117	0	307	0	403	0
Edem3	132.357143	172	126	0	0	0	0	226	246	295	313	143	167	0	165	0
Ctnnbl1	132.357143	0	0	0	0	0	0	222	386	192	347	130	210	132	234	0
Tmem37	132.214286	159	0	0	0	0	0	209	498	215	219	0	195	207	149	0
Spdye4b	132.071429	0	0	0	0	0	0	211	217	274	331	169	269	129	249	0
Rbak	132.071429	0	0	0	0	0	0	211	217	274	331	169	269	129	249	0
Nhlrc1	132.000000	0	106	0	0	0	0	110	192	103	155	329	445	177	231	0
Slc27a2	131.928571	192	0	0	0	0	0	339	445	220	276	0	132	98	145	0
Pbld2	131.928571	203	179	0	0	0	0	167	260	212	266	118	179	105	158	0
Hnrnph3	131.928571	203	179	0	0	0	0	167	260	212	266	118	179	105	158	0
Cldn14	131.928571	318	250	0	0	0	0	287	366	116	212	135	0	0	163	0
Zfp41	131.642857	163	0	0	0	0	0	323	441	236	338	0	199	143	0	0
Perp	131.642857	218	96	0	0	0	0	255	410	0	174	157	295	0	238	0
Mrpl17	131.642857	136	0	0	0	0	0	184	200	248	254	196	313	146	166	0
Mcoln1	131.571429	0	0	0	0	0	0	273	371	283	358	159	0	153	245	0
Nr2c2ap	131.428571	141	0	0	0	0	0	193	439	311	346	0	216	0	194	0
Dap	131.428571	296	237	0	0	0	0	232	278	172	243	0	181	0	201	0
Vav1	131.214286	0	0	0	0	0	0	0	437	210	357	171	309	0	353	0
Snai1	131.214286	0	0	0	0	0	0	184	249	174	165	238	393	171	263	0
Rsph3b	131.142857	195	130	0	0	0	0	168	242	178	190	184	167	174	208	0
Pdcd4	131.142857	145	121	0	0	0	0	194	372	123	289	110	200	94	188	0
Npm1	131.142857	0	0	0	0	0	0	156	283	113	216	205	429	167	267	0
Mthfd2l	131.000000	0	0	0	0	0	0	225	288	223	248	268	353	0	229	0
Hes6	131.000000	145	0	0	0	0	0	194	254	200	285	219	191	130	216	0
Vapb	130.928571	0	0	0	0	0	0	341	316	222	354	198	163	109	130	0
Slc16a12	130.857143	132	187	0	0	0	0	119	307	0	123	148	266	185	365	0
Nupl1	130.857143	0	206	0	0	0	0	192	233	135	186	149	298	126	307	0
Mettl1	130.857143	0	0	0	0	0	0	214	297	94	157	243	373	284	170	0
Cdk13	130.857143	0	0	0	0	0	0	284	236	341	314	148	194	132	183	0
Zcchc24	130.785714	246	0	0	0	0	0	0	362	192	228	155	184	161	303	0
Qtrt2	130.785714	133	0	0	0	0	0	138	234	211	358	120	289	153	195	0
Ccdc191	130.785714	133	0	0	0	0	0	138	234	211	358	120	289	153	195	0
Fgfr4	130.714286	0	148	0	0	0	0	288	337	158	253	167	129	210	140	0
Ltn1	130.642857	0	0	0	0	0	0	128	282	287	387	212	291	0	242	0
Taar8c	130.571429	146	111	0	0	0	0	0	206	0	0	309	522	156	378	0
Saa1	130.571429	0	0	0	0	0	0	294	481	270	358	0	0	120	305	0
Amot	130.285714	275	0	0	0	0	0	105	183	0	145	306	683	0	127	0
Dhrs13	130.214286	0	0	0	0	0	0	203	315	0	124	191	357	310	323	0
Slc8b1	130.071429	164	195	0	0	0	0	234	343	180	177	0	280	0	248	0
Syngap1	129.857143	144	83	0	0	0	0	179	231	235	230	199	210	193	114	0
Pabpc4	129.857143	0	0	0	0	0	0	262	353	202	349	232	266	0	154	0
Cuta	129.857143	144	83	0	0	0	0	179	231	235	230	199	210	193	114	0
Pam16	129.785714	163	0	0	0	0	0	233	376	189	242	173	247	0	194	0
Ech1	129.571429	0	0	0	0	0	0	214	273	339	327	0	161	176	324	0
Gnpda1	129.500000	0	0	0	0	0	0	316	432	294	355	99	214	103	0	0
Sdsl	129.428571	193	0	0	0	0	0	283	379	208	200	0	159	191	199	0
Ankub1	129.428571	236	120	0	0	0	0	297	373	147	212	0	129	115	183	0
Polr3d	129.357143	0	0	0	0	0	0	116	285	179	331	165	236	183	316	0
Aldh9a1	129.285714	0	80	0	0	0	0	114	243	241	320	145	301	173	193	0
Rnf146	129.214286	0	0	0	0	0	0	162	152	97	143	232	531	249	243	0
Nckap5	129.214286	132	0	0	0	0	0	202	300	206	215	199	236	167	152	0
Stpg2	129.000000	0	0	0	0	0	0	109	161	194	220	443	376	140	163	0
Amz2	128.857143	121	144	0	0	0	0	138	420	224	377	0	230	0	150	0
P2rx4	128.714286	288	146	0	0	0	0	243	244	104	229	158	224	0	166	0
Eif5a	128.714286	223	232	0	0	0	0	103	183	145	186	190	216	164	160	0
Slc12a9	128.571429	0	0	0	0	0	0	0	288	160	346	199	364	126	317	0
Fbxo33	128.571429	0	0	0	0	0	0	193	189	94	220	268	258	209	369	0
Cebpb	128.571429	295	118	0	0	0	0	313	296	196	259	0	92	110	121	0
Slc25a3	128.500000	0	0	0	0	0	0	300	284	319	359	0	230	126	181	0
Pelo	128.357143	343	0	0	0	0	0	133	188	163	232	159	261	133	185	0
Ergic3	128.285714	81	0	0	0	0	0	234	209	388	343	160	155	0	226	0
6430550D23Rik	128.285714	81	0	0	0	0	0	234	209	388	343	160	155	0	226	0
Tmem69	128.071429	191	181	0	0	0	0	177	229	139	195	173	262	116	130	0
Pdha1	128.071429	205	0	0	0	0	0	200	350	186	237	153	0	172	290	0
Gpbp1l1	128.071429	191	181	0	0	0	0	177	229	139	195	173	262	116	130	0
Omp	128.000000	168	0	0	0	0	0	184	285	231	238	212	297	0	177	0
Sgtb	127.857143	0	0	0	0	0	0	287	329	185	418	125	255	0	191	0
Nln	127.857143	0	0	0	0	0	0	287	329	185	418	125	255	0	191	0
Sod2	127.571429	130	160	0	0	0	0	192	327	147	278	141	148	134	129	0
L3hypdh	127.571429	151	0	0	0	0	0	208	344	162	378	147	230	0	166	0
Jkamp	127.571429	151	0	0	0	0	0	208	344	162	378	147	230	0	166	0
Adra1b	127.500000	315	312	0	0	0	0	117	366	169	217	105	184	0	0	0
Fbxo31	127.428571	209	182	0	0	0	0	192	270	138	175	0	134	237	247	0
Phospho1	127.357143	0	0	0	0	0	0	260	315	194	247	222	203	189	153	0
Nprl3	127.357143	189	186	0	0	0	0	210	199	242	207	137	125	157	131	0
Prkag3	127.285714	0	0	0	0	0	0	151	199	128	164	378	379	137	246	0
Trmt9b	127.214286	0	0	0	0	0	0	326	494	264	304	0	220	0	173	0
Tcte3	127.071429	0	0	0	0	0	0	232	330	227	217	156	261	176	180	0
Stub1	127.071429	179	140	0	0	0	0	206	217	203	170	158	209	130	167	0
Sgpp1	127.071429	0	0	0	0	0	0	148	255	177	242	302	416	0	239	0
Rhbdl1	127.071429	179	140	0	0	0	0	206	217	203	170	158	209	130	167	0
Jmjd8	127.071429	179	140	0	0	0	0	206	217	203	170	158	209	130	167	0
Gpam	127.071429	118	0	0	0	0	0	229	250	152	233	0	262	190	345	0
Acsl1	127.071429	217	106	0	0	0	0	230	239	148	258	163	232	0	186	0
Ubn1	127.000000	0	125	0	0	0	0	171	387	239	191	108	206	166	185	0
Glyr1	127.000000	0	125	0	0	0	0	171	387	239	191	108	206	166	185	0
Smdt1	126.928571	0	0	0	0	0	0	391	369	205	309	0	110	169	224	0
Scap	126.928571	0	0	0	0	0	0	199	217	231	271	162	247	194	256	0
Pheta2	126.928571	0	0	0	0	0	0	391	369	205	309	0	110	169	224	0
Spg21	126.857143	0	0	0	0	0	0	207	468	183	302	152	237	96	131	0
Sned1	126.857143	0	0	0	0	0	0	126	253	175	169	277	363	157	256	0
Acvr1	126.857143	0	0	0	0	0	0	180	214	163	241	253	360	190	175	0
Serpina16	126.785714	0	0	0	0	0	0	280	477	142	244	0	198	180	254	0
Klf16	126.785714	0	0	0	0	0	0	278	295	260	215	228	154	193	152	0
Cry1	126.785714	0	0	0	0	0	0	205	265	174	224	268	267	137	235	0
Tmprss4	126.714286	317	126	0	0	0	0	194	442	142	383	0	0	0	170	0
Arhgef37	126.642857	181	206	0	0	0	0	193	330	155	198	126	226	0	158	0
Auh	126.571429	0	0	0	0	0	0	397	309	273	195	94	191	181	132	0
Cops7a	126.357143	0	0	0	0	0	0	151	146	219	250	214	373	128	288	0
Klf13	126.214286	0	0	0	0	0	0	268	280	245	314	170	210	125	155	0
Il7	126.214286	163	0	0	0	0	0	359	333	190	253	0	293	0	176	0
Higd1a	126.214286	129	0	0	0	0	0	133	236	193	278	258	208	135	197	0
Gabbr2	126.214286	183	151	0	0	0	0	218	383	0	212	0	145	224	251	0
Tmem41a	126.142857	0	0	0	0	0	0	336	284	192	170	213	365	0	206	0
Sec24c	126.142857	116	112	0	0	0	0	114	163	177	293	148	275	0	368	0
Rnf13	126.142857	183	108	0	0	0	0	222	336	187	221	127	190	0	192	0
Ipo7	126.142857	0	0	0	0	0	0	280	270	213	249	197	158	227	172	0
