Target_genes	Hoxc10|Average	SRX7416182|Embryoid_Bodies	SRX7416183|Embryoid_Bodies	SRX7416184|Embryoid_Bodies	SRX7416196|Embryoid_Bodies	SRX7416197|Embryoid_Bodies	SRX7416198|Embryoid_Bodies	SRX7416199|Embryoid_Bodies	SRX9099736|Embryoid_Bodies	SRX9099737|Embryoid_Bodies	SRX9099740|Embryoid_Bodies	SRX9099741|Embryoid_Bodies	SRX3229107|Hindlimb	SRX3229108|Hindlimb	STRING
Mga	135.615385	0	0	0	0	0	0	0	455	397	395	516	0	0	0
Rnf4	135.538462	0	0	147	0	0	108	0	294	369	400	444	0	0	0
Prdm5	135.538462	0	0	111	0	0	0	0	210	351	592	498	0	0	0
Agr2	135.461538	0	0	686	142	0	226	0	213	160	133	201	0	0	0
Zfp608	135.384615	0	0	723	153	138	239	156	0	146	0	205	0	0	0
Vmn1r66	135.384615	0	0	0	0	0	0	0	197	476	524	563	0	0	0
Lrp1b	135.153846	0	0	101	0	0	0	0	240	553	383	480	0	0	0
Tmed10	135.076923	0	0	1131	220	157	248	0	0	0	0	0	0	0	0
Pudp	135.076923	0	0	0	0	0	0	0	344	410	447	555	0	0	0
Syt1	134.923077	0	0	0	0	0	0	0	250	557	372	575	0	0	0
Greb1	134.923077	0	0	258	0	0	0	0	241	519	294	442	0	0	0
Mtcp1	134.846154	0	0	111	0	0	0	0	305	343	611	383	0	0	0
Cmc4	134.846154	0	0	111	0	0	0	0	305	343	611	383	0	0	0
Brcc3	134.846154	0	0	111	0	0	0	0	305	343	611	383	0	0	0
Olfr954	134.769231	0	0	0	0	0	0	0	229	521	366	636	0	0	0
Sephs1	134.538462	0	0	0	0	0	0	0	363	642	359	385	0	0	0
Epb41l4b	134.538462	0	0	636	245	0	175	129	119	151	118	176	0	0	0
Ntf3	134.461538	0	0	398	0	0	0	0	317	489	338	206	0	0	0
Uts2b	134.307692	0	0	620	0	0	0	0	358	344	252	172	0	0	0
Pdp1	134.153846	0	0	135	0	0	103	84	228	249	450	495	0	0	0
Klra8	134.153846	0	0	0	0	0	0	0	218	538	451	537	0	0	0
Klra21	134.153846	0	0	0	0	0	0	0	218	538	451	537	0	0	0
Trim21	134.076923	0	0	0	0	0	0	0	0	653	536	554	0	0	0
Sh3pxd2a	134.076923	0	0	998	209	155	256	0	0	0	0	125	0	0	0
Ptprj	134.076923	0	70	566	85	0	227	175	148	269	0	203	0	0	0
Shld2	133.846154	0	0	0	0	0	0	0	281	370	444	645	0	0	0
Glud1	133.846154	0	0	0	0	0	0	0	281	370	444	645	0	0	0
Cul3	133.769231	0	0	420	153	120	0	0	229	324	201	292	0	0	0
Mad2l1	133.692308	0	0	169	0	0	0	0	205	375	374	615	0	0	0
Ccdc172	133.692308	0	0	347	0	0	0	0	247	310	316	518	0	0	0
Prl7b1	133.615385	0	0	0	0	0	0	0	157	509	525	546	0	0	0
Plcl2	133.538462	0	0	233	0	0	0	0	279	522	285	417	0	0	0
Sntb2	133.230769	0	0	396	0	0	0	0	267	483	309	277	0	0	0
Nnmt	133.153846	0	0	257	0	0	100	0	340	390	271	373	0	0	0
Hoxa11	133.076923	0	0	0	0	0	0	0	323	628	252	527	0	0	0
Hoxa10	133.076923	0	0	0	0	0	0	0	323	628	252	527	0	0	0
Acaca	132.846154	0	0	0	0	0	0	0	187	507	445	588	0	0	0
Raet1e	132.769231	0	0	523	271	0	0	0	153	276	231	272	0	0	0
Raet1a	132.769231	0	0	523	271	0	0	0	153	276	231	272	0	0	0
Olfr955	132.769231	0	0	0	0	0	0	0	292	583	421	430	0	0	0
Ech1	132.769231	0	0	805	215	147	271	128	0	160	0	0	0	0	0
LTO1	132.692308	0	130	898	194	230	131	142	0	0	0	0	0	0	0
Igf1	132.538462	0	0	583	211	143	0	134	145	200	157	150	0	0	0
Gphb5	132.538462	0	0	987	159	105	244	228	0	0	0	0	0	0	0
Slc25a28	132.384615	0	0	274	0	0	112	0	293	474	171	397	0	0	0
Myot	132.307692	0	0	0	0	0	0	0	187	561	404	568	0	0	0
Fbxo32	132.307692	0	0	0	0	0	0	0	384	464	342	530	0	0	0
Mup13	132.230769	0	0	0	0	0	0	0	273	505	415	526	0	0	0
Meioc	132.230769	0	0	0	0	0	0	0	295	564	399	461	0	0	0
Vmn1r232	132.076923	0	0	0	0	0	0	0	157	476	440	644	0	0	0
Niban1	131.846154	0	0	0	0	0	0	0	207	680	250	577	0	0	0
Emc4	131.769231	0	0	0	0	0	0	0	228	648	393	444	0	0	0
4933402D24Rik	131.769231	0	0	440	248	163	346	228	0	181	107	0	0	0	0
Tgfbrap1	131.692308	0	0	276	136	103	114	94	318	273	196	202	0	0	0
Cyct	131.692308	0	0	0	0	0	0	0	321	490	443	458	0	0	0
AI597479	131.692308	0	0	276	136	103	114	94	318	273	196	202	0	0	0
Asph	131.615385	0	0	87	0	0	95	83	192	418	377	459	0	0	0
Ncald	131.538462	0	0	172	0	0	109	0	197	513	370	349	0	0	0
Nipsnap3a	131.461538	0	0	0	0	0	0	0	244	440	407	618	0	0	0
Dsg1b	131.384615	0	0	0	0	0	0	0	283	663	220	542	0	0	0
Znrd1as	131.153846	0	0	101	98	0	178	133	167	259	359	410	0	0	0
Znrd1	131.153846	0	0	101	98	0	178	133	167	259	359	410	0	0	0
Gm3488	131.076923	0	0	549	140	0	0	0	290	294	231	200	0	0	0
Prkcg	131.000000	0	0	0	0	0	0	0	249	513	404	537	0	0	0
Ghitm	130.692308	0	0	0	0	0	0	0	220	491	428	560	0	0	0
Cacna2d1	130.384615	0	0	675	358	400	168	0	0	0	0	94	0	0	0
Vmn1r227	130.153846	0	0	0	0	0	0	0	317	512	489	374	0	0	0
Olfr1201	130.000000	0	0	0	0	0	0	0	234	635	454	367	0	0	0
Ier2	130.000000	0	0	113	0	0	0	0	255	467	308	547	0	0	0
Asb13	129.923077	0	0	0	0	0	0	0	177	452	549	511	0	0	0
Rps6kc1	129.769231	0	0	0	0	0	0	0	283	452	428	524	0	0	0
Angpt1	129.692308	0	0	613	0	0	0	164	265	224	220	200	0	0	0
Olfr292	129.615385	0	0	0	0	0	0	0	201	603	440	441	0	0	0
Prpf4b	129.461538	0	0	266	0	0	0	0	260	476	272	409	0	0	0
Cox7a2l	129.384615	0	0	787	208	0	349	338	0	0	0	0	0	0	0
Fmo2	129.230769	0	0	477	0	0	0	0	177	423	209	394	0	0	0
Entpd5	129.230769	0	0	147	0	0	0	0	254	477	409	393	0	0	0
Ccnd1	129.153846	0	0	718	120	0	212	0	208	160	0	116	145	0	0
Gfra3	129.000000	0	0	874	150	132	189	0	144	188	0	0	0	0	0
Arl6ip1	128.923077	0	0	0	0	0	0	0	283	404	502	487	0	0	0
Gm3696	128.846154	0	0	455	146	0	113	0	212	358	180	211	0	0	0
Spock3	128.692308	0	0	266	0	0	0	0	357	418	318	314	0	0	0
Moxd2	128.692308	0	0	0	0	0	0	0	207	542	336	588	0	0	0
Olfr1258	128.538462	0	0	0	0	0	0	0	258	498	409	506	0	0	0
Olfr857	128.461538	0	0	0	0	0	0	0	283	501	549	337	0	0	0
Sgcd	128.384615	0	0	0	0	0	0	0	363	439	424	443	0	0	0
Wnt5a	128.076923	0	0	337	0	0	0	0	228	584	245	271	0	0	0
Sntg1	127.846154	0	0	0	0	0	0	0	218	513	484	447	0	0	0
Snrpn	127.538462	0	0	483	173	0	0	0	177	254	292	279	0	0	0
Fau	127.538462	0	0	1204	169	115	170	0	0	0	0	0	0	0	0
Dzip3	127.538462	0	0	0	0	0	0	0	407	450	274	527	0	0	0
Ctbp2	127.538462	0	0	597	0	82	179	84	208	245	147	116	0	0	0
Cip2a	127.538462	0	0	0	0	0	0	0	407	450	274	527	0	0	0
Guf1	127.230769	0	0	0	102	85	165	128	159	285	331	399	0	0	0
Enpp3	127.230769	0	0	301	0	116	217	116	228	344	118	214	0	0	0
Sgpp1	127.076923	0	0	704	170	0	185	93	0	166	178	156	0	0	0
Gnb5	127.076923	0	0	168	0	0	0	0	324	526	240	394	0	0	0
Lyrm7	126.846154	0	0	187	0	0	0	0	166	594	348	354	0	0	0
Vmn2r67	126.769231	0	0	0	0	0	0	0	228	393	630	397	0	0	0
Olfr1535	126.769231	0	0	0	0	0	0	0	237	460	498	453	0	0	0
Ist1	126.769231	0	0	0	0	0	147	0	325	336	352	488	0	0	0
Aftph	126.769231	0	0	631	0	0	0	0	238	279	209	291	0	0	0
Marchf3	126.615385	0	0	197	0	0	0	72	305	476	241	355	0	0	0
Nfe2l3	126.538462	0	0	0	0	0	0	0	197	464	381	603	0	0	0
Gk2	126.461538	0	0	78	0	0	0	0	302	315	432	517	0	0	0
Erich2	126.461538	0	0	0	0	0	0	0	266	427	439	512	0	0	0
Epb41	126.384615	0	0	718	128	0	0	0	133	325	179	160	0	0	0
Kcnab1	126.307692	0	0	454	0	0	0	0	157	392	325	314	0	0	0
Lpo	126.153846	0	0	874	128	222	212	204	0	0	0	0	0	0	0
Olfr794	126.076923	0	0	162	0	0	0	0	268	401	435	373	0	0	0
Serp1	125.538462	0	0	0	0	0	78	0	221	536	353	444	0	0	0
Eif2a	125.538462	0	0	0	0	0	78	0	221	536	353	444	0	0	0
Vcam1	125.461538	0	0	0	0	0	0	0	261	627	271	472	0	0	0
Aqp9	125.461538	0	0	765	0	0	0	0	305	208	190	163	0	0	0
Tmprss11g	125.307692	0	0	0	0	0	0	0	389	470	358	412	0	0	0
Olfr1039	125.307692	0	0	0	0	0	0	0	283	465	498	383	0	0	0
Mup2	125.230769	0	0	0	0	0	0	0	379	469	331	449	0	0	0
Mup15	125.230769	0	0	0	0	0	0	0	379	469	331	449	0	0	0
Dars	125.076923	0	0	574	0	0	0	0	325	298	159	270	0	0	0
Arf4	125.000000	0	0	188	0	0	79	76	275	379	271	357	0	0	0
Rufy3	124.923077	0	0	369	109	150	166	0	279	133	210	208	0	0	0
Wdr18	124.846154	0	0	1009	0	0	90	156	129	141	98	0	0	0	0
Iqschfp	124.769231	0	0	348	0	0	0	0	261	451	268	294	0	0	0
Iqcj	124.769231	0	0	348	0	0	0	0	261	451	268	294	0	0	0
Kcnd2	124.692308	0	0	184	0	0	0	0	283	379	355	420	0	0	0
Adam12	124.615385	0	0	926	0	0	151	0	166	159	132	86	0	0	0
Olfr154	124.461538	0	0	0	0	0	0	0	188	468	453	509	0	0	0
Cntnap3	124.461538	0	0	0	0	0	0	0	247	443	337	591	0	0	0
Taf15	124.230769	0	0	0	0	0	0	0	250	472	413	480	0	0	0
Pak3	124.000000	0	0	0	0	0	0	0	283	476	303	550	0	0	0
Abcb1a	124.000000	0	0	0	0	0	0	0	326	448	419	419	0	0	0
Gpr1	123.923077	0	0	315	0	0	0	0	239	367	367	323	0	0	0
Vmn2r78	123.692308	0	0	0	0	0	0	0	386	413	422	387	0	0	0
Twsg1	123.692308	0	0	0	0	0	0	0	210	478	381	539	0	0	0
Abt1	123.692308	0	0	0	0	0	0	0	284	463	335	526	0	0	0
Rubcn	123.615385	0	0	579	0	0	107	0	148	347	126	300	0	0	0
Vmn2r126	123.307692	0	0	0	0	0	0	0	197	513	471	422	0	0	0
Saraf	123.307692	0	0	0	0	0	127	196	246	377	258	399	0	0	0
Fbxo38	123.307692	0	0	354	0	0	128	0	330	322	190	279	0	0	0
Zfp979	123.230769	0	0	0	0	0	0	0	291	489	389	433	0	0	0
Rbfox1	123.230769	0	0	0	0	0	0	0	310	358	543	391	0	0	0
Nedd4	123.230769	0	0	0	0	0	0	0	292	392	315	603	0	0	0
Eapp	123.230769	0	0	181	294	130	233	0	192	177	154	241	0	0	0
Ccdc121	123.230769	0	0	0	0	0	0	0	261	440	451	450	0	0	0
Zfp804a	123.000000	0	0	159	0	0	0	0	230	353	399	458	0	0	0
Ahi1	123.000000	0	0	0	0	0	76	0	295	403	360	465	0	0	0
Defb41	122.846154	0	0	0	0	0	0	0	222	461	535	379	0	0	0
Ccser2	122.769231	0	0	208	0	0	134	104	212	421	189	328	0	0	0
Zdhhc6	122.461538	0	0	0	0	0	0	0	453	188	782	169	0	0	0
Gucy1a1	122.384615	0	0	858	0	0	191	175	209	0	158	0	0	0	0
Slc9a9	122.307692	0	0	1441	0	0	0	0	149	0	0	0	0	0	0
C2cd5	122.307692	0	0	629	83	0	104	0	143	208	153	270	0	0	0
Kctd16	122.230769	0	0	321	0	0	0	0	324	369	239	336	0	0	0
Ino80	122.153846	0	0	0	0	0	0	0	247	547	288	506	0	0	0
Nrg1	122.076923	0	0	548	90	0	182	0	136	214	226	191	0	0	0
Pdzd2	122.000000	0	0	0	0	0	0	0	261	525	210	590	0	0	0
Gm14137	122.000000	0	0	437	211	0	212	0	138	297	0	291	0	0	0
Hic2	121.846154	0	0	0	0	0	0	0	202	448	411	523	0	0	0
Magi2	121.615385	0	0	0	0	0	0	0	211	460	389	521	0	0	0
Lrrc18	121.615385	0	0	181	0	0	0	0	138	538	200	524	0	0	0
Vmn2r94	121.384615	0	0	0	0	0	0	0	261	440	392	485	0	0	0
Spink10	121.307692	0	0	328	0	0	128	0	330	322	190	279	0	0	0
Slx4ip	121.307692	0	0	342	0	0	114	0	247	360	257	257	0	0	0
Olfr53	121.153846	0	0	306	0	0	0	0	177	617	85	390	0	0	0
Alx1	121.000000	0	0	202	0	0	0	0	325	418	338	290	0	0	0
Zfp667	120.846154	0	0	169	0	0	0	0	228	452	325	397	0	0	0
D16Ertd472e	120.692308	0	0	216	0	0	0	0	212	408	323	410	0	0	0
Wdr47	120.615385	0	0	442	0	0	0	80	105	368	230	343	0	0	0
Nefl	120.615385	0	0	262	116	202	146	0	215	247	177	203	0	0	0
Mgat5	120.615385	0	0	157	0	0	0	0	254	468	193	496	0	0	0
Fam117b	120.461538	0	0	146	0	0	0	0	184	412	256	568	0	0	0
Galr3	120.307692	0	0	1094	128	0	168	89	85	0	0	0	0	0	0
Nudt19	120.230769	0	0	0	0	91	126	108	218	280	343	397	0	0	0
Tbc1d1	120.153846	0	0	0	0	0	0	0	197	381	562	422	0	0	0
Arl6	120.153846	0	0	0	0	0	0	0	290	432	464	376	0	0	0
Far1	120.000000	0	0	0	0	0	0	0	308	392	372	488	0	0	0
Ppip5k2	119.923077	0	0	0	0	0	107	0	191	421	338	502	0	0	0
Gin1	119.923077	0	0	0	0	0	107	0	191	421	338	502	0	0	0
H2bc14	119.846154	0	0	0	0	0	0	0	369	365	339	485	0	0	0
Zfp934	119.692308	0	0	0	0	0	0	0	283	463	425	385	0	0	0
Rpia	119.615385	0	0	0	0	0	0	0	218	440	325	572	0	0	0
Nr3c1	119.615385	0	0	0	0	0	0	0	221	469	484	381	0	0	0
Celf2	119.615385	0	0	761	0	0	0	0	213	264	135	182	0	0	0
Nadk	119.153846	0	0	305	0	0	105	0	283	259	200	397	0	0	0
Tjp2	119.076923	0	0	142	0	0	0	0	252	517	212	425	0	0	0
Pou2af1	119.000000	0	0	0	0	0	0	0	187	531	389	440	0	0	0
Vmn2r74	118.923077	0	0	0	0	0	0	0	192	455	386	513	0	0	0
Cps1	118.692308	0	0	0	0	0	0	0	218	416	416	493	0	0	0
Zbed5	118.538462	0	0	0	0	0	0	0	346	483	284	428	0	0	0
Kif27	118.538462	0	0	191	0	0	0	0	290	431	340	289	0	0	0
Slc25a17	118.307692	0	0	358	0	0	0	0	256	300	238	386	0	0	0
Olfr871	118.307692	0	0	0	0	0	0	0	0	525	314	699	0	0	0
Cnr1	118.307692	0	0	368	145	210	246	254	82	105	0	128	0	0	0
Rag2	118.230769	0	0	652	72	0	146	163	257	107	0	140	0	0	0
Iftap	118.230769	0	0	652	72	0	146	163	257	107	0	140	0	0	0
Olfr746	118.153846	0	0	0	0	0	0	0	197	416	451	472	0	0	0
Olfr102	118.153846	0	0	215	0	0	0	0	304	414	243	360	0	0	0
Olfr100	118.153846	0	0	215	0	0	0	0	304	414	243	360	0	0	0
Map2	118.076923	0	0	567	179	151	230	293	115	0	0	0	0	0	0
Rasal2	118.000000	0	0	452	0	0	0	0	145	505	108	324	0	0	0
Wfdc11	117.923077	0	0	0	0	0	0	0	157	392	562	422	0	0	0
Ripk3	117.923077	0	0	0	0	0	0	0	250	464	347	472	0	0	0
Nrxn1	117.923077	0	0	313	0	0	0	0	232	295	234	459	0	0	0
Actg1	117.846154	0	0	1156	0	0	210	166	0	0	0	0	0	0	0
Meis2	117.615385	0	0	407	0	0	0	0	226	366	248	282	0	0	0
Hydin	117.615385	0	0	0	0	0	0	0	228	541	190	570	0	0	0
Zfp474	117.461538	0	0	300	0	0	0	0	177	381	433	236	0	0	0
Zbtb20	117.461538	0	0	318	148	84	0	0	209	314	234	220	0	0	0
Plcb4	117.461538	0	0	170	0	0	0	0	394	383	285	295	0	0	0
Olfr124	117.461538	0	0	0	0	0	0	0	223	376	443	485	0	0	0
Kmt5c	117.384615	0	123	626	151	0	101	0	218	124	0	183	0	0	0
Slc1a2	117.307692	0	0	537	0	0	0	144	233	220	133	258	0	0	0
Olfr1241	117.230769	0	0	0	0	0	0	0	215	511	387	411	0	0	0
Gdf11	117.153846	0	0	183	0	0	0	0	323	301	316	400	0	0	0
Try5	117.076923	0	0	0	0	0	0	0	228	392	404	498	0	0	0
Olfr1012	117.000000	0	0	0	0	0	0	0	239	452	370	460	0	0	0
Virma	116.846154	0	0	231	0	0	0	0	347	296	299	346	0	0	0
Th	116.846154	0	95	1014	166	93	151	0	0	0	0	0	0	0	0
Slc10a5	116.692308	0	0	0	0	0	0	0	138	412	495	472	0	0	0
Impa1	116.692308	0	0	0	0	0	0	0	138	412	495	472	0	0	0
Dgki	116.692308	0	0	0	0	0	0	0	299	563	282	373	0	0	0
Tab2	116.461538	0	0	185	0	0	0	0	250	438	278	363	0	0	0
Olfr575	116.307692	0	0	0	0	0	0	0	218	493	362	439	0	0	0
Skil	116.230769	0	0	850	192	0	295	174	0	0	0	0	0	0	0
Birc2	116.230769	0	0	165	0	0	116	0	176	244	449	361	0	0	0
Stt3b	116.153846	0	0	0	0	0	0	0	376	388	256	490	0	0	0
Ano3	116.153846	0	0	150	0	0	203	138	76	354	312	277	0	0	0
2700062C07Rik	116.153846	0	0	0	0	0	0	0	250	501	325	434	0	0	0
Wdr27	116.076923	0	0	0	0	0	0	0	284	568	275	382	0	0	0
1600012H06Rik	116.076923	0	0	0	0	0	0	0	284	568	275	382	0	0	0
Zfp987	115.769231	0	0	0	0	0	0	0	287	412	477	329	0	0	0
Slc12a6	115.769231	0	0	121	0	0	0	0	210	464	415	295	0	0	0
Kpna6	115.769231	0	102	238	0	0	0	78	333	259	181	314	0	0	0
Ikzf2	115.769231	0	0	92	0	0	0	0	190	412	201	610	0	0	0
Fgf12	115.769231	0	0	0	0	0	0	0	248	452	377	428	0	0	0
Atp6v1g3	115.769231	0	0	0	0	0	0	0	289	550	364	302	0	0	0
Plekha1	115.692308	0	0	0	0	0	66	0	344	453	282	359	0	0	0
Mmp28	115.692308	0	0	680	124	0	146	194	102	151	0	107	0	0	0
4921504E06Rik	115.692308	0	0	0	0	0	0	0	350	389	405	360	0	0	0
Pex2	115.615385	0	0	762	0	0	0	0	157	210	169	205	0	0	0
Dntt	115.615385	0	0	0	0	0	0	0	438	467	320	278	0	0	0
Gm17019	115.461538	0	0	0	0	0	0	0	354	467	329	351	0	0	0
Cxcl2	115.461538	0	0	0	0	0	0	0	261	454	393	393	0	0	0
Tnfrsf19	115.384615	0	0	0	0	0	0	0	224	481	382	413	0	0	0
Thnsl1	115.384615	0	0	315	0	0	0	0	154	485	181	365	0	0	0
Lpar6	115.230769	0	0	444	190	0	438	134	0	197	0	95	0	0	0
Abhd16b	115.076923	0	0	269	0	0	0	0	202	519	230	276	0	0	0
Nup107	114.846154	0	0	531	145	0	71	0	115	257	122	252	0	0	0
Olfr338	114.692308	0	0	0	0	0	0	0	148	416	416	511	0	0	0
Gm3383	114.692308	0	0	475	118	0	0	0	212	274	206	206	0	0	0
Etv3	114.615385	0	0	802	183	0	137	0	0	133	0	235	0	0	0
Uqcc1	114.461538	0	0	0	0	0	0	0	239	501	314	434	0	0	0
Olfr1301	114.461538	0	0	0	0	0	0	0	153	433	461	441	0	0	0
Mkrn3	114.461538	0	0	293	0	0	0	0	189	401	258	347	0	0	0
Hif1a	114.461538	0	0	240	0	0	147	0	198	350	264	289	0	0	0
Dcc	114.230769	0	0	472	212	0	153	0	0	198	171	279	0	0	0
Sbno1	114.153846	0	0	92	0	0	0	0	216	465	331	380	0	0	0
Aven	114.153846	0	0	287	0	0	0	0	179	365	260	393	0	0	0
Orc4	114.076923	0	0	220	0	0	0	0	138	463	336	326	0	0	0
Mn1	114.076923	0	0	833	0	0	0	0	211	160	181	98	0	0	0
Mbd5	114.076923	0	0	220	0	0	0	0	138	463	336	326	0	0	0
Olfr860	114.000000	0	0	0	0	0	0	0	317	460	307	398	0	0	0
Marcks	114.000000	0	0	289	123	0	0	0	306	323	171	270	0	0	0
Klrd1	114.000000	0	0	0	0	0	0	0	277	447	328	430	0	0	0
Nuf2	113.846154	0	0	142	105	0	146	0	205	313	188	381	0	0	0
Vamp9	113.769231	0	111	531	192	84	342	219	0	0	0	0	0	0	0
Tex55	113.769231	0	0	0	0	0	0	0	177	392	463	447	0	0	0
Nsg2	113.769231	0	0	668	0	0	198	102	197	198	0	116	0	0	0
Tmem184c	113.692308	0	0	0	113	0	0	0	230	461	220	454	0	0	0
Rapgef6	113.692308	0	0	421	261	233	291	133	0	0	0	139	0	0	0
Elf2	113.692308	0	0	124	0	0	0	0	238	351	490	275	0	0	0
Cplx2	113.615385	0	0	194	0	0	0	0	157	554	240	332	0	0	0
Qrfp	113.538462	0	0	911	0	0	83	108	0	160	0	214	0	0	0
Mecom	113.538462	0	0	1154	0	0	0	0	0	206	116	0	0	0	0
Krt85	113.538462	0	0	0	0	0	0	0	218	498	210	550	0	0	0
Krt83	113.538462	0	0	0	0	0	0	0	218	498	210	550	0	0	0
H4f16	113.538462	0	0	217	116	175	216	152	135	164	122	179	0	0	0
H2aj	113.538462	0	0	217	116	175	216	152	135	164	122	179	0	0	0
Flrt1	113.538462	0	119	900	186	112	159	0	0	0	0	0	0	0	0
Pcm1	113.461538	0	0	574	161	0	0	0	239	175	170	156	0	0	0
Wdyhv1	113.230769	0	0	1033	0	0	0	0	164	154	0	121	0	0	0
Lgals2	113.230769	0	71	916	131	0	192	162	0	0	0	0	0	0	0
Olfr5	113.076923	0	0	0	0	0	0	0	218	464	326	462	0	0	0
Olfr1347	113.076923	0	0	0	0	0	0	0	218	464	326	462	0	0	0
Ptpn3	112.769231	0	0	594	0	0	0	0	304	124	171	273	0	0	0
Il10	112.692308	0	0	0	0	0	0	0	207	324	524	410	0	0	0
Etv2	112.692308	0	0	0	0	0	0	0	283	369	303	510	0	0	0
Cyp11a1	112.615385	0	0	0	0	0	0	0	207	476	347	434	0	0	0
Rbks	112.538462	0	0	0	0	0	160	0	259	338	355	351	0	0	0
Babam2	112.538462	0	0	0	0	0	160	0	259	338	355	351	0	0	0
Tead1	112.461538	0	0	129	0	0	0	0	427	292	323	291	0	0	0
Abtb2	112.461538	0	0	328	0	0	0	0	212	260	249	413	0	0	0
Sema6b	112.153846	0	0	547	152	0	179	0	0	115	230	235	0	0	0
Cdc14b	112.153846	0	0	0	0	0	0	0	295	428	220	515	0	0	0
Tmem181a	112.076923	0	0	0	0	0	0	0	372	398	259	428	0	0	0
Zpbp2	111.846154	0	0	0	0	0	0	0	237	315	435	467	0	0	0
Vmn2r43	111.769231	0	0	0	0	0	0	0	148	517	451	337	0	0	0
Dthd1	111.769231	0	0	429	186	169	290	272	0	0	0	107	0	0	0
Sgip1	111.615385	0	0	556	0	0	178	0	211	187	206	113	0	0	0
Sfxn2	111.538462	0	0	0	0	0	0	0	111	381	314	644	0	0	0
Nckap5	111.538462	0	0	96	0	0	0	0	283	418	409	244	0	0	0
Arl3	111.538462	0	0	0	0	0	0	0	111	381	314	644	0	0	0
Zzef1	111.461538	0	0	0	0	0	0	0	376	411	338	324	0	0	0
Mtmr9	111.461538	0	0	0	0	0	157	0	221	460	249	362	0	0	0
Cyb5d2	111.461538	0	0	0	0	0	0	0	376	411	338	324	0	0	0
Osbpl9	111.384615	0	165	287	205	0	180	160	0	0	0	0	218	233	0
Stra8	111.307692	0	0	0	0	0	0	0	256	467	236	488	0	0	0
Ripor2	111.307692	0	0	0	0	0	0	0	228	507	240	472	0	0	0
F13b	111.307692	0	0	0	0	0	0	0	177	464	359	447	0	0	0
Il22	111.230769	0	0	0	0	0	0	0	218	324	393	511	0	0	0
Slc35g1	111.076923	0	0	0	0	0	0	0	173	544	157	570	0	0	0
Asb4	111.076923	0	0	451	0	0	0	0	239	297	192	265	0	0	0
Ppfia1	110.923077	0	0	0	0	0	0	0	294	513	250	385	0	0	0
Atg10	110.846154	0	0	443	112	0	81	0	227	191	205	182	0	0	0
Olfr620	110.769231	0	0	0	0	0	0	0	203	476	308	453	0	0	0
Med6	110.692308	0	0	491	94	104	200	81	129	186	0	154	0	0	0
Col1a2	110.692308	0	0	0	0	0	0	0	205	456	346	432	0	0	0
Nsun5	110.615385	0	0	0	0	0	0	0	364	198	562	314	0	0	0
Calm1	110.615385	0	0	0	0	0	187	112	277	350	282	230	0	0	0
Sugct	110.461538	0	0	78	0	0	114	184	305	225	262	268	0	0	0
Myh1	110.461538	0	0	0	0	0	0	0	129	428	381	498	0	0	0
Mplkip	110.461538	0	0	78	0	0	114	184	305	225	262	268	0	0	0
Cfap58	110.461538	0	0	549	166	0	190	0	0	135	125	112	159	0	0
Aatf	110.461538	0	0	0	0	0	73	116	168	392	311	376	0	0	0
Pla2g4a	110.307692	0	0	0	0	0	0	0	240	297	428	469	0	0	0
Caps2	110.307692	0	0	274	0	0	162	124	203	218	196	257	0	0	0
Zfp746	110.230769	0	0	0	0	0	0	0	207	369	359	498	0	0	0
Tpd52l2	110.230769	0	0	206	0	0	0	0	202	519	230	276	0	0	0
Zfp217	110.153846	0	0	313	0	0	0	0	159	279	216	465	0	0	0
Tmem144	110.153846	0	0	371	141	0	0	0	188	235	277	220	0	0	0
Mettl15	110.076923	0	0	0	0	0	136	0	143	408	248	496	0	0	0
Kif18a	110.076923	0	0	0	0	0	136	0	143	408	248	496	0	0	0
Mettl2	110.000000	0	0	610	0	0	172	0	92	237	203	116	0	0	0
Olfr1215	109.846154	0	0	0	0	0	0	0	191	515	314	408	0	0	0
Hnrnpa3	109.769231	0	0	0	0	0	0	0	187	260	444	536	0	0	0
1700019D03Rik	109.769231	0	0	355	180	0	0	0	218	291	190	193	0	0	0
Wdr6	109.384615	0	0	623	159	0	268	101	138	133	0	0	0	0	0
Ifna9	109.307692	0	0	330	0	0	0	0	177	313	289	312	0	0	0
Got2	109.307692	0	122	600	112	145	256	186	0	0	0	0	0	0	0
Zfp189	109.230769	0	0	147	0	0	0	0	242	349	274	408	0	0	0
Slc5a8	109.230769	0	0	0	0	0	0	0	261	440	370	349	0	0	0
Selenon	109.230769	0	0	0	0	0	0	0	400	369	314	337	0	0	0
Mrpl50	109.230769	0	0	147	0	0	0	0	242	349	274	408	0	0	0
Mprip	109.153846	0	0	951	0	0	0	0	136	129	93	110	0	0	0
Esp5	109.153846	0	0	0	0	0	0	0	177	404	404	434	0	0	0
Zar1	109.000000	0	0	1137	0	0	0	0	120	160	0	0	0	0	0
Sult3a2	109.000000	0	0	0	0	0	0	0	193	516	396	312	0	0	0
Elmo2	108.846154	0	84	843	122	141	132	93	0	0	0	0	0	0	0
Zfp488	108.769231	0	0	0	0	0	0	0	250	464	240	460	0	0	0
Prl2a1	108.692308	0	0	0	0	0	0	0	264	410	348	391	0	0	0
Mab21l2	108.692308	0	0	128	0	0	0	0	169	249	502	365	0	0	0
