Target_genes	Arnt|Average	SRX6386420|4T1	SRX6386421|4T1	SRX6386422|4T1	SRX6386423|4T1	SRX8844237|EpiSC	SRX8844238|EpiSC	SRX8844239|EpiSC	SRX8844240|EpiSC	SRX6386412|ES_cells	SRX6386413|ES_cells	SRX6386414|ES_cells	SRX6386415|ES_cells	SRX6386416|ES_cells	SRX6386417|ES_cells	SRX6386418|ES_cells	SRX6386419|ES_cells	STRING
Rap1gds1	106.437500	293	646	318	167	0	0	0	0	0	0	0	128	0	0	0	151	0
Pak3	106.312500	290	792	272	347	0	0	0	0	0	0	0	0	0	0	0	0	0
Gphn	106.000000	319	558	233	212	0	0	0	0	0	0	0	0	114	0	142	118	0
Atxn2l	106.000000	469	694	344	189	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb38	105.562500	611	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem270	105.375000	444	772	248	222	0	0	0	0	0	0	0	0	0	0	0	0	0
Caprin1	105.187500	209	771	254	154	0	0	0	0	0	0	176	0	0	0	0	119	0
Zfp91	105.125000	330	690	292	370	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpxn	105.125000	330	690	292	370	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem45a	105.062500	0	0	0	0	0	0	0	0	194	152	292	0	243	304	281	215	0
H4c18	105.062500	278	749	375	134	0	0	0	0	0	0	0	0	0	0	145	0	0
Dtd1	104.937500	451	828	248	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Dot1l	104.937500	421	494	422	234	0	0	0	0	0	0	0	0	0	108	0	0	0
Mfsd9	104.187500	317	721	327	302	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap2a2	104.062500	405	721	267	170	0	0	0	0	0	0	0	0	0	0	0	102	0
Slc29a2	103.937500	223	376	93	179	0	0	0	0	0	0	181	0	0	171	228	212	0
Mmp12	103.875000	302	754	432	174	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r102	103.437500	0	170	0	0	478	404	256	347	0	0	0	0	0	0	0	0	0
Olfr1349	103.312500	0	0	0	0	0	0	0	0	0	0	312	211	165	200	363	402	0
Col16a1	103.187500	340	754	355	202	0	0	0	0	0	0	0	0	0	0	0	0	0
Phtf1	103.125000	275	875	193	307	0	0	0	0	0	0	0	0	0	0	0	0	0
Vma21	102.812500	321	838	239	247	0	0	0	0	0	0	0	0	0	0	0	0	0
Zap70	102.687500	0	0	0	0	0	0	0	0	92	98	156	219	224	260	278	316	0
Slit1	102.625000	264	770	291	317	0	0	0	0	0	0	0	0	0	0	0	0	0
Nedd4l	102.250000	191	586	231	201	0	0	0	0	0	0	0	186	0	0	93	148	0
Gnat2	101.750000	0	0	0	0	0	0	0	0	0	0	0	0	246	526	473	383	0
Fblim1	101.750000	455	578	361	234	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdr39u1	101.687500	259	732	293	343	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem60	101.375000	225	835	295	267	0	0	0	0	0	0	0	0	0	0	0	0	0
Phtf2	101.375000	225	835	295	267	0	0	0	0	0	0	0	0	0	0	0	0	0
Kin	101.062500	0	0	0	0	0	0	0	0	0	0	0	0	263	391	552	411	0
Dnajb2	101.062500	388	711	240	278	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5c1	101.062500	0	0	0	0	0	0	0	0	0	0	0	0	263	391	552	411	0
A630095N17Rik	101.062500	388	711	240	278	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa1	100.187500	358	681	321	243	0	0	0	0	0	0	0	0	0	0	0	0	0
Ybx1	100.125000	240	585	309	170	0	0	0	0	0	0	121	0	0	0	0	177	0
Bcr	100.000000	342	668	268	322	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf128	99.875000	228	400	113	0	0	0	0	0	0	0	0	133	154	156	142	272	0
Nars2	99.875000	333	613	237	176	0	0	0	0	0	0	0	0	0	0	128	111	0
Rnf165	99.750000	0	0	0	0	0	0	0	0	0	0	233	162	339	137	305	420	0
Zpbp2	99.687500	172	480	179	0	0	0	0	0	0	0	211	160	0	0	232	161	0
Porcn	99.687500	308	672	163	267	0	0	0	0	0	0	85	0	0	0	100	0	0
Canx	99.687500	387	526	244	211	0	0	0	0	0	0	0	0	0	0	110	117	0
Cited2	99.562500	417	390	272	209	0	0	0	0	0	95	0	0	0	0	210	0	0
Eif2b2	98.875000	0	0	0	0	0	0	0	0	0	0	0	0	368	205	614	395	0
Wdsub1	98.750000	268	356	111	163	0	0	0	0	0	0	0	0	141	161	271	109	0
Trim65	97.937500	257	877	202	231	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbln1	97.875000	0	0	0	0	0	0	0	0	0	0	107	135	251	269	346	458	0
Scrt2	97.312500	0	0	0	0	0	0	0	0	264	193	636	464	0	0	0	0	0
Prkacb	97.250000	290	487	246	212	0	0	0	0	0	0	173	0	0	0	148	0	0
Zfp526	97.062500	289	701	309	254	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhobtb1	97.062500	373	652	226	302	0	0	0	0	0	0	0	0	0	0	0	0	0
Dedd2	97.062500	289	701	309	254	0	0	0	0	0	0	0	0	0	0	0	0	0
A930033H14Rik	97.062500	373	652	226	302	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	96.812500	319	642	247	213	0	0	0	0	0	0	0	128	0	0	0	0	0
Fmn1	96.750000	244	678	333	293	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc4	96.375000	356	621	342	223	0	0	0	0	0	0	0	0	0	0	0	0	0
Ush2a	95.812500	149	460	190	198	0	0	0	0	0	0	116	0	0	0	204	216	0
Hnrnpm	95.687500	363	673	248	247	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansl3	95.437500	274	821	274	158	0	0	0	0	0	0	0	0	0	0	0	0	0
Fer1l5	95.437500	274	821	274	158	0	0	0	0	0	0	0	0	0	0	0	0	0
Prr14l	95.312500	181	797	297	250	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpp4	95.312500	316	722	316	171	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb8os	95.250000	309	761	261	193	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbbp4	95.250000	309	761	261	193	0	0	0	0	0	0	0	0	0	0	0	0	0
Gatad2b	95.250000	0	0	0	0	0	0	0	0	0	0	0	0	178	357	471	518	0
Galk2	95.250000	334	657	293	240	0	0	0	0	0	0	0	0	0	0	0	0	0
Lss	95.062500	264	779	317	161	0	0	0	0	0	0	0	0	0	0	0	0	0
Mideas	95.000000	374	751	243	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Spats1	94.937500	0	0	0	0	0	0	0	0	0	0	309	349	184	290	255	132	0
Hsp90aa1	94.875000	295	598	241	279	0	0	0	0	0	0	0	0	0	0	105	0	0
Phykpl	94.812500	275	785	202	255	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c17	94.750000	144	773	368	231	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf7	94.687500	236	709	233	213	0	0	0	0	0	0	0	0	0	0	0	124	0
Ppp1r3b	94.187500	86	226	0	0	0	0	0	0	0	0	130	0	224	279	327	235	0
Khsrp	93.937500	236	610	219	125	0	0	0	0	0	0	0	0	0	0	162	151	0
Ephb2	93.750000	0	409	208	145	0	0	0	0	0	0	0	0	155	113	288	182	0
Pcx	93.625000	296	423	252	131	0	0	0	0	0	0	0	0	129	0	152	115	0
Nr2f2	93.562500	155	912	246	184	0	0	0	0	0	0	0	0	0	0	0	0	0
Agl	93.500000	183	358	146	182	0	0	0	0	0	0	0	159	0	0	171	297	0
Plcxd2	93.437500	365	631	275	224	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx52	93.312500	284	630	320	259	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif2ak4	93.062500	433	556	166	236	0	0	0	0	0	0	0	0	0	0	98	0	0
Ccl5	93.062500	423	531	299	236	0	0	0	0	0	0	0	0	0	0	0	0	0
Golga1	93.000000	335	550	191	211	0	0	0	0	0	0	0	75	0	0	126	0	0
Card10	93.000000	350	562	246	330	0	0	0	0	0	0	0	0	0	0	0	0	0
Lypd11	92.875000	0	0	190	0	0	0	0	0	0	0	208	177	230	228	201	252	0
Elmo1	92.437500	281	593	201	281	0	0	0	0	0	0	0	123	0	0	0	0	0
Golga7	92.187500	237	565	268	282	0	0	0	0	0	0	0	0	0	0	123	0	0
Rraga	92.125000	313	742	197	222	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr19	92.000000	381	560	217	314	0	0	0	0	0	0	0	0	0	0	0	0	0
Snupn	91.937500	487	548	188	248	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema3e	91.812500	195	462	172	174	0	0	0	0	0	0	0	0	0	260	206	0	0
Fstl3	91.687500	359	515	224	261	0	0	0	0	0	0	0	0	0	0	0	108	0
Rfx3	91.625000	282	542	214	273	0	0	0	0	0	0	0	0	0	0	155	0	0
Trip10	91.562500	188	720	385	172	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k9	91.562500	343	532	244	209	0	0	0	0	0	0	0	137	0	0	0	0	0
Gpr108	91.562500	188	720	385	172	0	0	0	0	0	0	0	0	0	0	0	0	0
Vcpkmt	91.500000	341	635	191	171	0	0	0	0	0	0	0	126	0	0	0	0	0
Nrn1	91.437500	0	0	0	0	0	0	0	0	0	117	397	144	174	169	188	274	0
Endog	91.187500	199	588	187	256	0	0	0	0	0	0	0	0	0	0	134	95	0
Pdk3	91.062500	359	556	190	219	0	0	0	0	0	0	0	0	0	0	0	133	0
Mnt	90.937500	286	501	192	238	0	0	0	0	0	0	0	0	0	0	128	110	0
Mthfs	90.812500	344	683	183	243	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc58	90.812500	344	627	252	230	0	0	0	0	0	0	0	0	0	0	0	0	0
Blm	90.812500	444	490	241	180	0	0	0	0	0	0	0	0	0	0	0	98	0
Sema6b	90.750000	377	634	196	245	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm3448	90.687500	316	403	243	161	0	0	0	0	0	0	0	147	0	0	0	181	0
Gm3417	90.687500	316	403	243	161	0	0	0	0	0	0	0	147	0	0	0	181	0
Prdm4	90.187500	236	576	233	140	0	0	0	0	0	0	258	0	0	0	0	0	0
Lrp1	90.187500	395	646	204	198	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpagt1	90.000000	263	602	242	234	0	0	0	0	0	0	0	0	0	0	99	0	0
Ube2m	89.875000	273	587	265	149	0	0	0	0	0	0	0	164	0	0	0	0	0
Chmp2a	89.875000	273	587	265	149	0	0	0	0	0	0	0	164	0	0	0	0	0
Suco	89.687500	271	453	251	244	0	0	0	0	0	0	0	0	113	0	103	0	0
Ywhag	89.625000	263	648	305	218	0	0	0	0	0	0	0	0	0	0	0	0	0
Kank1	89.500000	274	681	231	246	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2aip	89.500000	139	280	0	151	0	0	0	0	0	0	0	0	213	90	265	294	0
Osbpl5	89.187500	206	737	346	138	0	0	0	0	0	0	0	0	0	0	0	0	0
Iffo2	89.125000	261	440	132	194	0	0	0	0	0	0	106	0	0	0	118	175	0
Cdsn	88.625000	216	646	328	228	0	0	0	0	0	0	0	0	0	0	0	0	0
Kctd16	88.437500	307	758	155	195	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf12	88.437500	349	529	238	151	0	0	0	0	0	0	0	0	0	0	148	0	0
Olfr1034	88.375000	0	0	0	0	0	0	0	0	96	175	249	260	194	141	187	112	0
Ralgds	87.937500	233	320	162	127	0	0	0	0	0	0	0	0	103	161	155	146	0
Nkap	87.812500	0	0	0	0	492	266	229	418	0	0	0	0	0	0	0	0	0
Gch1	87.812500	258	643	311	193	0	0	0	0	0	0	0	0	0	0	0	0	0
Wtap	87.250000	157	672	234	197	0	0	0	0	0	0	0	0	0	0	136	0	0
Trib3	87.187500	210	643	273	269	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl5	86.812500	318	654	266	151	0	0	0	0	0	0	0	0	0	0	0	0	0
Gadd45b	86.687500	189	374	140	0	0	0	0	0	0	0	192	0	147	0	162	183	0
Snx15	86.625000	297	620	278	191	0	0	0	0	0	0	0	0	0	0	0	0	0
Vps13b	86.562500	163	507	222	247	0	0	0	0	0	0	125	121	0	0	0	0	0
Klf2	86.375000	0	0	0	0	0	0	0	0	0	0	0	0	288	260	429	405	0
Iars	86.312500	387	621	188	185	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf186	86.250000	0	1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hps1	86.250000	220	672	252	236	0	0	0	0	0	0	0	0	0	0	0	0	0
Rest	86.187500	218	773	237	151	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfn2	86.187500	148	508	290	128	0	0	0	0	0	0	126	0	0	105	74	0	0
Cfl1	86.187500	284	614	322	159	0	0	0	0	0	0	0	0	0	0	0	0	0
Atl1	86.000000	145	572	410	249	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam183b	85.875000	0	0	0	0	0	0	0	0	0	0	238	274	196	149	217	300	0
Tcte3	85.750000	282	403	243	155	0	0	0	0	0	0	0	108	0	0	0	181	0
Ksr1	85.750000	135	225	0	135	0	0	0	0	0	0	0	0	193	233	244	207	0
Gm3435	85.750000	282	403	243	155	0	0	0	0	0	0	0	108	0	0	0	181	0
9030025P20Rik	85.750000	316	375	238	161	0	0	0	0	0	0	0	147	0	0	0	135	0
Ftl1	85.687500	322	581	283	185	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp3	85.500000	267	576	233	292	0	0	0	0	0	0	0	0	0	0	0	0	0
Ormdl3	85.437500	302	580	221	264	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c15	85.437500	312	418	161	205	0	0	0	0	0	0	0	0	0	0	116	155	0
H3c14	85.437500	312	418	161	205	0	0	0	0	0	0	0	0	0	0	116	155	0
H2ac19	85.437500	312	418	161	205	0	0	0	0	0	0	0	0	0	0	116	155	0
H2ac18	85.437500	312	418	161	205	0	0	0	0	0	0	0	0	0	0	116	155	0
Trip4	85.375000	256	598	147	241	0	0	0	0	0	0	0	0	0	0	0	124	0
Tbc1d4	85.312500	311	641	206	207	0	0	0	0	0	0	0	0	0	0	0	0	0
Bag6	85.312500	187	613	215	290	0	0	0	0	0	0	60	0	0	0	0	0	0
Apom	85.312500	187	613	215	290	0	0	0	0	0	0	60	0	0	0	0	0	0
Dnaaf2	85.250000	255	518	249	220	0	0	0	0	0	0	0	0	0	0	0	122	0
Mthfsl	85.000000	359	679	104	218	0	0	0	0	0	0	0	0	0	0	0	0	0
Smad3	84.812500	238	634	163	158	0	0	0	0	0	0	0	0	0	0	0	164	0
Svil	84.375000	278	505	284	283	0	0	0	0	0	0	0	0	0	0	0	0	0
Klf10	84.312500	264	395	223	225	0	0	0	0	0	0	0	0	0	0	98	144	0
Apln	84.312500	249	589	326	185	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex264	84.125000	216	381	167	188	0	0	0	0	0	0	140	0	0	0	254	0	0
Gal3st1	84.062500	133	798	238	176	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr89	84.000000	170	630	364	180	0	0	0	0	0	0	0	0	0	0	0	0	0
Trp53rka	83.937500	326	570	236	211	0	0	0	0	0	0	0	0	0	0	0	0	0
Spc24	83.875000	192	533	146	148	0	0	0	0	0	0	0	0	162	0	0	161	0
Lgmn	83.812500	270	496	328	247	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgat2	83.812500	277	600	169	198	0	0	0	0	0	0	97	0	0	0	0	0	0
Cfap126	83.812500	261	671	168	241	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold3	83.750000	294	572	269	205	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde4a	83.312500	243	552	206	217	0	0	0	0	0	0	0	0	0	0	0	115	0
Coro2a	83.062500	185	636	196	312	0	0	0	0	0	0	0	0	0	0	0	0	0
Klc1	82.937500	318	549	281	179	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphk1	82.875000	331	579	206	210	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdlbp	82.812500	138	648	255	284	0	0	0	0	0	0	0	0	0	0	0	0	0
Gna13	82.625000	277	667	198	180	0	0	0	0	0	0	0	0	0	0	0	0	0
Dad1	82.187500	258	511	196	231	0	0	0	0	0	0	0	0	0	0	0	119	0
Abhd4	82.187500	258	511	196	231	0	0	0	0	0	0	0	0	0	0	0	119	0
Xpot	82.000000	298	508	209	194	0	0	0	0	0	0	0	103	0	0	0	0	0
Gm20346	82.000000	166	645	243	258	0	0	0	0	0	0	0	0	0	0	0	0	0
Anp32a	82.000000	166	645	243	258	0	0	0	0	0	0	0	0	0	0	0	0	0
Aadacl2fm1	82.000000	0	0	0	0	0	0	0	0	0	0	0	240	289	272	263	248	0
Jun	81.875000	284	506	190	185	0	0	0	0	0	0	0	0	0	0	145	0	0
Flt4	81.875000	353	496	200	261	0	0	0	0	0	0	0	0	0	0	0	0	0
Nsun6	81.437500	310	527	266	200	0	0	0	0	0	0	0	0	0	0	0	0	0
Arl5b	81.437500	310	527	266	200	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgbd1	81.250000	308	550	207	235	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspg2	81.187500	247	605	274	173	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc16	81.062500	293	674	159	171	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptrh1	81.062500	293	674	159	171	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptprs	80.687500	252	572	227	240	0	0	0	0	0	0	0	0	0	0	0	0	0
Srprb	80.562500	207	600	221	261	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2b2	80.562500	293	415	213	268	0	0	0	0	0	0	0	0	0	0	100	0	0
Tnnc1	80.437500	179	667	269	172	0	0	0	0	0	0	0	0	0	0	0	0	0
Nisch	80.437500	179	667	269	172	0	0	0	0	0	0	0	0	0	0	0	0	0
Med18	80.437500	319	507	259	202	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq3	80.062500	159	625	223	152	0	0	0	0	0	0	122	0	0	0	0	0	0
Fpgt	80.062500	159	625	223	152	0	0	0	0	0	0	122	0	0	0	0	0	0
Hnrnpl	79.937500	308	460	195	316	0	0	0	0	0	0	0	0	0	0	0	0	0
Arf1	79.937500	233	485	241	162	0	0	0	0	0	0	0	158	0	0	0	0	0
Amh	79.312500	0	0	0	0	0	0	0	0	0	0	358	134	228	160	165	224	0
Zfp12	79.250000	259	671	160	178	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss8	79.250000	274	580	192	222	0	0	0	0	0	0	0	0	0	0	0	0	0
Pradc1	79.187500	219	616	202	230	0	0	0	0	0	0	0	0	0	0	0	0	0
Cct7	79.187500	219	616	202	230	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbx5	79.187500	197	509	318	243	0	0	0	0	0	0	0	0	0	0	0	0	0
Bst1	79.125000	265	514	259	228	0	0	0	0	0	0	0	0	0	0	0	0	0
Drap1	78.875000	396	455	192	219	0	0	0	0	0	0	0	0	0	0	0	0	0
AI837181	78.875000	396	455	192	219	0	0	0	0	0	0	0	0	0	0	0	0	0
Podxl	78.750000	0	130	0	0	0	0	0	0	0	0	189	134	191	187	178	251	0
Rin1	78.625000	199	590	216	253	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipmk	78.625000	262	424	168	106	0	0	0	0	0	0	0	0	0	145	0	153	0
Cisd1	78.625000	262	424	168	106	0	0	0	0	0	0	0	0	0	145	0	153	0
Brms1	78.625000	199	590	216	253	0	0	0	0	0	0	0	0	0	0	0	0	0
Plet1	78.562500	275	517	219	246	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdpr	78.500000	330	551	191	184	0	0	0	0	0	0	0	0	0	0	0	0	0
Ermard	78.375000	267	382	223	143	0	0	0	0	0	0	0	106	0	0	0	133	0
Arf4	78.312500	274	522	265	192	0	0	0	0	0	0	0	0	0	0	0	0	0
Ell	78.125000	286	608	155	201	0	0	0	0	0	0	0	0	0	0	0	0	0
Gas2l3	78.000000	425	489	149	185	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtss1	77.875000	340	446	234	226	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts10	77.875000	0	0	0	0	0	0	0	0	0	0	265	168	185	0	214	414	0
Sfi1	77.687500	109	97	0	0	91	0	0	0	0	0	117	147	118	97	208	259	0
Bcl2l11	77.312500	191	453	161	137	0	0	0	0	0	0	0	0	0	0	126	169	0
Npm1	77.250000	251	272	156	182	0	0	0	0	0	124	0	81	0	0	0	170	401
Nupl1	77.187500	252	617	195	171	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk11	77.187500	329	556	163	187	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk10	77.187500	329	556	163	187	0	0	0	0	0	0	0	0	0	0	0	0	0
Plin2	77.000000	142	495	211	384	0	0	0	0	0	0	0	0	0	0	0	0	0
Coq7	77.000000	236	563	169	264	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex30	76.875000	322	623	166	119	0	0	0	0	0	0	0	0	0	0	0	0	0
Dop1b	76.875000	352	524	225	129	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl3	76.812500	240	637	204	148	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk15	76.750000	218	608	262	140	0	0	0	0	0	0	0	0	0	0	0	0	0
Lif	76.187500	324	502	187	206	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn10	76.187500	0	0	0	0	0	0	0	0	0	0	0	0	232	150	495	342	0
Kremen2	76.125000	239	607	205	167	0	0	0	0	0	0	0	0	0	0	0	0	0
Enthd1	76.125000	0	0	0	0	0	0	0	0	0	0	0	0	129	288	382	419	0
Spaca6	76.062500	181	604	164	151	0	0	0	0	0	0	0	0	0	0	0	117	0
Polr3g	76.062500	201	479	194	160	0	0	0	0	0	0	183	0	0	0	0	0	0
Mblac2	76.062500	201	479	194	160	0	0	0	0	0	0	183	0	0	0	0	0	0
Cdk13	76.062500	352	536	203	126	0	0	0	0	0	0	0	0	0	0	0	0	0
Trappc6a	75.937500	208	528	235	244	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnpo1	75.937500	237	461	159	114	0	0	0	0	0	0	0	0	0	0	90	154	0
Bloc1s3	75.937500	208	528	235	244	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkx3-2	75.687500	232	459	177	194	0	0	0	0	0	0	0	0	0	0	0	149	0
Uso1	75.375000	219	389	167	172	0	0	0	0	0	0	0	0	0	0	108	151	0
G3bp2	75.375000	219	389	167	172	0	0	0	0	0	0	0	0	0	0	108	151	0
Igsf23	75.312500	191	542	208	264	0	0	0	0	0	0	0	0	0	0	0	0	0
Tubb4b	75.250000	187	670	177	170	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubtd1	75.125000	203	354	187	0	0	0	0	0	0	0	79	0	113	0	131	135	0
Mms19	75.125000	203	354	187	0	0	0	0	0	0	0	79	0	113	0	131	135	0
Csrnp1	75.125000	191	451	234	326	0	0	0	0	0	0	0	0	0	0	0	0	0
Bend3	74.875000	0	0	0	0	0	0	0	0	194	0	0	0	214	261	288	241	0
Arhgap45	74.687500	325	438	190	242	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfap97	74.562500	305	465	170	253	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf152	74.500000	318	560	187	127	0	0	0	0	0	0	0	0	0	0	0	0	0
Ltb	74.312500	148	593	254	194	0	0	0	0	0	0	0	0	0	0	0	0	0
Snx18	74.187500	202	566	252	167	0	0	0	0	0	0	0	0	0	0	0	0	0
Has1	73.812500	219	606	153	203	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo43	73.687500	268	441	255	215	0	0	0	0	0	0	0	0	0	0	0	0	0
Spty2d1	73.562500	282	386	238	271	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb7	73.187500	251	568	217	135	0	0	0	0	0	0	0	0	0	0	0	0	0
Sult4a1	72.875000	0	0	0	0	0	0	0	0	0	0	0	0	182	317	404	263	0
Pold2	72.875000	0	104	0	0	0	0	0	0	0	0	203	0	190	222	268	179	0
Cox20	72.750000	196	500	202	266	0	0	0	0	0	0	0	0	0	0	0	0	0
Dctn1	72.687500	191	643	197	132	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp729a	72.312500	302	438	234	183	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcbp1	72.250000	181	400	148	106	0	0	0	0	0	0	98	0	0	0	132	91	0
Myc	72.250000	182	579	205	190	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubc	72.187500	224	291	176	184	0	0	0	0	0	0	0	0	82	0	198	0	0
Map3k8	72.062500	304	566	177	106	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2237	71.937500	207	339	132	0	0	0	0	0	0	0	111	114	0	0	108	140	0
Tube1	71.875000	261	436	0	149	0	0	0	0	0	0	0	0	135	0	169	0	0
Gja1	71.875000	183	560	167	240	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam229b	71.875000	261	436	0	149	0	0	0	0	0	0	0	0	135	0	169	0	0
Zfp667	71.812500	131	710	125	183	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsr3	71.750000	222	613	109	204	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnptg	71.750000	222	613	109	204	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf11	71.562500	111	499	244	291	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp507	71.500000	204	608	219	113	0	0	0	0	0	0	0	0	0	0	0	0	0
Per1	71.500000	310	473	143	218	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a1	71.437500	261	548	183	151	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppl	71.437500	163	641	187	152	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsz	71.125000	348	432	201	157	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptk2	71.062500	238	552	192	155	0	0	0	0	0	0	0	0	0	0	0	0	0
Actl10	71.062500	0	0	0	0	0	0	0	0	0	142	274	115	0	155	168	283	0
1700003F12Rik	71.062500	0	0	0	0	0	0	0	0	0	142	274	115	0	155	168	283	0
Zmynd8	71.000000	0	0	0	0	0	0	0	0	0	99	278	208	124	85	151	191	0
Tiam1	70.937500	273	488	203	171	0	0	0	0	0	0	0	0	0	0	0	0	0
Pias2	70.937500	0	0	0	0	0	0	0	0	0	130	365	307	0	0	155	178	0
Pde6g	70.812500	260	535	194	144	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxld1	70.812500	260	535	194	144	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc137	70.812500	260	535	194	144	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssrp1	70.687500	140	618	180	193	0	0	0	0	0	0	0	0	0	0	0	0	0
P2rx3	70.687500	140	618	180	193	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl11	70.625000	154	572	234	170	0	0	0	0	0	0	0	0	0	0	0	0	0
Ggact	70.562500	260	612	179	0	0	0	0	0	0	0	0	78	0	0	0	0	0
Cmpk2	70.437500	208	469	156	294	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbx8	70.437500	193	343	197	229	0	0	0	0	0	0	0	165	0	0	0	0	0
Zfp729b	70.250000	228	479	251	166	0	0	0	0	0	0	0	0	0	0	0	0	0
Syt17	70.187500	179	521	199	224	0	0	0	0	0	0	0	0	0	0	0	0	0
Prxl2c	70.125000	318	434	177	193	0	0	0	0	0	0	0	0	0	0	0	0	0
Glis3	70.125000	190	366	179	285	0	0	0	0	0	0	0	0	0	0	102	0	0
