Target_genes	Chd2|Average	DRX001066|C2C12	SRX140389|CH12	DRX000343|ES_cells	SRX6784012|ES_cells	SRX6784013|ES_cells	SRX140392|MEL	STRING
Irf5	222.333333	0	886	0	0	0	448	0
Fgf11	222.166667	0	218	0	232	0	883	0
Nfkbil1	222.000000	0	774	0	0	116	442	0
Mlycd	222.000000	0	920	0	0	0	412	0
Atp6v1g2	222.000000	0	774	0	0	116	442	0
Tfip11	221.833333	0	537	0	165	224	405	0
Dad1	221.666667	0	384	0	179	230	537	0
Abhd4	221.666667	0	384	0	179	230	537	0
Ralgps1	221.500000	0	600	0	301	0	428	0
Ccnd2	221.500000	0	752	0	0	191	386	0
Bcl3	221.500000	0	1147	0	0	0	182	0
Etv5	221.333333	0	833	0	128	105	262	0
Hps5	221.166667	0	910	0	0	0	417	0
Gtf2h1	221.166667	0	910	0	0	0	417	0
Mettl3	221.000000	0	912	0	0	0	414	0
Lcorl	220.333333	0	691	0	81	90	460	0
Bub1	220.333333	0	587	0	223	168	344	0
Kmt2e	220.166667	0	795	0	0	0	526	0
Rabac1	220.000000	0	559	0	0	169	592	0
Cd52	220.000000	0	1022	0	0	0	298	0
Tkt	219.833333	0	673	0	156	280	210	0
Hspa8	219.833333	0	598	0	93	165	463	0
H4c1	219.500000	0	425	0	317	166	409	0
H3c1	219.500000	0	425	0	317	166	409	0
H1f1	219.500000	0	425	0	317	166	409	0
Ncaph2	219.333333	0	450	0	250	170	446	0
Lmf2	219.333333	0	450	0	250	170	446	0
Bcl11a	219.333333	0	926	0	0	0	390	0
Sema4c	219.166667	0	620	0	0	0	695	0
Msh2	219.166667	0	513	0	148	123	531	0
Brf2	219.166667	0	552	0	188	0	575	0
Ptprv	219.000000	0	720	0	0	0	594	0
Ptpn7	219.000000	0	720	0	0	0	594	0
Dhrs13	219.000000	0	684	0	128	149	353	0
Rfng	218.833333	0	977	0	0	0	336	0
Lalba	218.833333	0	1034	0	0	0	279	0
Gps1	218.833333	0	977	0	0	0	336	0
Ccdc57	218.833333	0	629	0	0	168	516	0
2510002D24Rik	218.500000	0	562	0	304	95	350	0
Ube2j2	218.333333	0	685	0	0	151	474	0
Clba1	218.333333	0	162	0	296	658	194	0
Ndufv1	218.166667	0	542	0	148	153	466	0
Rab8a	218.000000	0	482	0	274	158	394	0
Traf4	217.833333	0	1160	0	0	0	147	0
Wdfy1	217.666667	0	354	0	211	243	498	0
Slc33a1	217.666667	0	568	0	184	161	393	0
Zdhhc5	217.333333	0	357	0	267	231	449	0
Gm20594	217.333333	0	327	0	304	337	336	0
Peli1	217.166667	0	869	0	0	0	434	0
Gar1	217.166667	0	746	0	0	0	557	0
Sumo3	217.000000	0	833	0	0	0	469	0
Sf3b4	217.000000	0	743	0	0	0	559	0
Gas2	217.000000	0	294	0	277	185	546	0
Fancf	217.000000	0	294	0	277	185	546	0
Btbd2	216.500000	0	441	0	226	0	632	0
Abhd17b	215.833333	0	737	0	106	113	339	0
1110059E24Rik	215.833333	0	737	0	106	113	339	0
Tnpo1	215.500000	0	378	0	0	0	915	0
Thbs3	215.500000	0	718	0	147	0	428	0
Snx16	215.500000	0	570	0	0	233	490	0
Mtx1	215.500000	0	718	0	147	0	428	0
Crlf3	215.500000	0	648	0	0	104	541	0
Ythdf2	215.166667	0	924	0	0	0	367	0
Rbks	215.166667	0	747	0	0	0	544	0
Prtn3	215.166667	0	420	0	0	0	871	0
Plppr3	215.166667	0	420	0	0	0	871	0
Cyb5r4	215.166667	0	763	0	0	0	528	0
Babam2	215.166667	0	747	0	0	0	544	0
Rpusd1	215.000000	0	576	0	91	129	494	0
Nol12	215.000000	0	381	0	474	231	204	0
Chtf18	215.000000	0	576	0	91	129	494	0
Ppox	214.833333	0	611	0	107	118	453	0
Dck	214.666667	0	639	0	95	256	298	0
Zswim1	214.500000	0	625	0	133	0	529	0
Vps52	214.333333	0	438	0	117	0	731	0
Rps18	214.333333	0	438	0	117	0	731	0
B3galt4	214.333333	0	438	0	117	0	731	0
Mid1ip1	214.166667	0	347	0	120	118	700	0
Hvcn1	214.166667	0	452	0	283	329	221	0
Hmgb1	214.166667	0	498	0	165	134	488	0
Lrmp	213.833333	0	1100	0	0	0	183	0
E2f3	213.833333	0	470	0	106	106	601	0
Tfeb	213.666667	0	827	0	0	0	455	0
Ubac2	213.500000	0	656	0	137	138	350	0
Kmt5b	213.500000	0	548	0	294	147	292	0
Hmgb3	213.500000	0	451	0	155	246	429	0
Sowahc	213.333333	0	777	0	157	346	0	0
Septin10	213.333333	0	777	0	157	346	0	0
Ndufa2	213.166667	0	559	0	168	141	411	0
Isca1	213.166667	0	536	0	147	235	361	0
Ik	213.166667	0	559	0	168	141	411	0
Grn	213.000000	0	805	0	0	114	359	0
Fbxo15	212.833333	0	372	0	296	271	338	0
Zfp768	212.500000	0	767	0	131	0	377	0
Skiv2l	212.500000	0	584	0	70	0	621	0
Nelfe	212.500000	0	584	0	70	0	621	0
Jarid2	212.333333	0	709	0	0	0	565	0
Gcgr	212.333333	245	140	0	163	0	726	0
Wipf1	212.166667	0	824	0	0	0	449	0
Naa60	212.166667	0	914	0	0	0	359	0
Ddx50	212.166667	0	647	0	112	0	514	0
Bsdc1	212.166667	0	571	0	97	113	492	0
Mapkapk2	212.000000	0	506	0	184	197	385	0
Phf23	211.833333	0	411	0	235	220	405	0
Gabarap	211.833333	0	411	0	235	220	405	0
F2	211.833333	0	0	0	0	0	1271	0
Atp6v0a1	211.833333	0	1018	0	0	0	253	0
Scaf1	211.666667	0	676	0	0	0	594	0
Rras	211.666667	0	676	0	0	0	594	0
Rabl3	211.666667	0	777	0	123	0	370	0
Gtf2e1	211.666667	0	777	0	123	0	370	0
Nup107	211.500000	0	852	0	0	0	417	0
H2-T10	211.166667	0	422	0	0	0	845	0
Arsg	211.166667	0	1094	0	0	0	173	0
Znrf4	211.000000	0	459	0	203	0	604	0
Rpl6	211.000000	0	734	0	0	0	532	0
Espl1	210.833333	0	569	0	0	0	696	0
Epn1	210.833333	0	586	0	154	0	525	0
Lgmn	210.500000	0	503	0	214	106	440	0
Cdc6	210.500000	0	754	0	0	0	509	0
Acbd5	210.500000	0	655	0	0	0	608	0
Tctn3	210.333333	0	725	0	186	0	351	0
Mcl1	210.333333	0	687	0	0	0	575	0
Entpd1	210.333333	0	725	0	186	0	351	0
Cap1	210.166667	0	482	0	96	117	566	0
Akr1b10	210.000000	0	1137	0	0	0	123	0
Klhl15	209.666667	0	802	0	0	0	456	0
Ift22	209.666667	0	425	0	283	150	400	0
Cttnbp2nl	209.666667	0	508	0	322	220	208	0
Zfp934	209.333333	0	647	0	158	183	268	0
Txnl4b	209.333333	0	425	0	121	214	496	0
Sin3a	209.333333	0	510	0	223	129	394	0
Lmln	209.333333	0	618	0	183	86	369	0
Dhx38	209.333333	0	425	0	121	214	496	0
Rsph4a	209.166667	0	108	0	597	550	0	0
Gclm	209.000000	0	796	0	0	0	458	0
Vamp3	208.666667	0	683	0	0	243	326	0
Myl2	208.666667	0	153	0	584	515	0	0
Tspan33	208.500000	0	630	0	215	148	258	0
Rasal1	208.500000	0	509	0	0	0	742	0
Dcun1d5	208.500000	0	691	0	0	134	426	0
Cep192	208.500000	0	500	0	160	122	469	0
Cdca7l	208.500000	0	463	0	0	0	788	0
Camk2g	208.333333	0	660	0	89	0	501	0
Saxo2	208.166667	0	793	0	0	0	456	0
Pef1	208.166667	0	627	0	158	156	308	0
Mcm10	208.166667	0	582	0	112	160	395	0
Gm5141	208.166667	0	634	0	182	0	433	0
Efl1	208.166667	0	793	0	0	0	456	0
Slfn14	208.000000	0	358	0	0	0	890	0
Rab4a	208.000000	0	0	0	194	358	696	0
Fam98c	207.833333	0	169	0	588	359	131	0
Pnkd	207.500000	0	587	0	0	127	531	0
Aamp	207.500000	0	587	0	0	127	531	0
Wbp2nl	207.333333	0	467	0	211	162	404	0
Cyp4f18	207.166667	0	779	0	0	0	464	0
Clcn7	207.166667	0	466	0	130	0	647	0
Ppig	207.000000	0	836	0	0	0	406	0
Tti2	206.666667	0	513	0	113	176	438	0
Vpreb1	206.500000	0	408	0	302	327	202	0
Top3b	206.500000	0	408	0	302	327	202	0
Kdm8	206.500000	0	637	0	0	129	473	0
Gm10710	206.166667	0	442	0	0	391	404	0
Sec14l1	206.000000	0	753	0	0	0	483	0
Ftl1	206.000000	0	414	0	117	407	298	0
Sphk2	205.833333	0	700	0	0	152	383	0
Rpl18	205.833333	0	700	0	0	152	383	0
Lrrc56	205.833333	0	605	0	122	0	508	0
Hras	205.833333	0	605	0	122	0	508	0
Gramd2	205.833333	0	465	0	138	105	527	0
Fermt3	205.833333	0	725	0	0	0	510	0
Enpp5	205.833333	0	0	0	157	0	1078	0
Chd2	205.833333	0	713	0	0	0	522	0
Stac2	205.666667	0	389	0	330	287	228	0
Glul	205.666667	0	655	0	0	126	453	0
Chordc1	205.666667	0	387	0	147	0	700	0
Tbcc	205.500000	0	811	0	0	0	422	0
Gpn1	205.500000	0	640	0	95	0	498	0
Ppp1r18	205.166667	0	508	0	139	0	584	0
Ppil3	205.000000	0	552	0	0	113	565	0
Pa2g4	205.000000	0	460	0	0	117	653	0
Nif3l1	205.000000	0	552	0	0	113	565	0
Slc3a2	204.666667	0	453	0	149	173	453	0
Egfl7	204.666667	0	401	0	329	250	248	0
Taf1	204.500000	0	563	0	0	96	568	0
Terf1	204.333333	0	418	0	120	115	573	0
Kbtbd7	204.333333	0	580	0	0	0	646	0
Med23	204.000000	0	493	0	257	179	295	0
Ifrd1	204.000000	0	641	0	0	0	583	0
Parp10	203.833333	0	732	0	0	0	491	0
Tent5c	203.666667	598	0	0	312	312	0	0
Mks1	203.666667	0	380	0	367	475	0	0
Nkiras2	203.333333	0	847	0	0	0	373	0
Dnajc7	203.333333	0	847	0	0	0	373	0
Alg10b	203.333333	0	659	0	0	118	443	0
Stap2	203.166667	0	420	0	268	222	309	0
Mpnd	203.166667	0	420	0	268	222	309	0
Aspm	203.166667	0	499	0	162	97	461	0
Mrpl36	203.000000	0	588	0	161	0	469	0
1700010I14Rik	203.000000	0	912	0	118	0	188	0
Timm10b	202.666667	0	566	0	0	103	547	0
Arfip2	202.666667	0	566	0	0	103	547	0
Vcpip1	202.166667	0	545	0	0	97	571	0
Rps20	202.166667	0	871	0	87	0	255	0
Phf21a	202.166667	0	783	0	0	0	430	0
Dcaf1	202.166667	0	584	0	0	0	629	0
Zfp808	202.000000	0	685	0	169	0	358	0
Tsc22d1	202.000000	0	0	0	220	631	361	0
Prrg2	202.000000	0	457	0	0	223	532	0
Nosip	202.000000	0	457	0	0	223	532	0
Ing4	202.000000	0	484	0	111	208	409	0
Lrpap1	201.833333	0	602	0	0	0	609	0
Sun1	201.666667	0	635	0	193	170	212	0
Selenos	201.666667	0	470	0	298	137	305	0
Fastkd1	201.666667	0	401	0	0	0	809	0
Tmem161a	201.500000	0	540	0	0	0	669	0
Rbm14	201.500000	0	551	0	185	0	473	0
Gm21992	201.500000	0	551	0	185	0	473	0
Rab39	201.166667	0	483	0	298	218	208	0
Bicd2	201.000000	0	630	0	0	0	576	0
Unc45a	200.833333	0	528	0	0	0	677	0
Hddc3	200.833333	0	528	0	0	0	677	0
Mrpl39	200.666667	0	571	0	159	165	309	0
Eif3b	200.666667	0	485	0	126	111	482	0
BC031181	200.666667	0	614	0	123	132	335	0
Vav1	200.500000	0	795	0	0	0	408	0
Mrpl21	200.500000	0	338	0	136	297	432	0
Ighmbp2	200.500000	0	338	0	136	297	432	0
Ypel5	200.166667	0	768	0	0	0	433	0
Atp6ap1	200.166667	0	591	0	213	97	300	0
Zbtb9	199.833333	0	626	0	183	0	390	0
Trappc6a	199.666667	0	580	0	153	0	465	0
Bloc1s3	199.666667	0	580	0	153	0	465	0
Bcat2	199.666667	0	464	0	114	0	620	0
Lrwd1	199.500000	0	521	0	129	110	437	0
Alkbh4	199.500000	0	521	0	129	110	437	0
Hnrnpa1	199.333333	0	546	0	177	146	327	0
Hif1a	199.333333	0	153	0	480	370	193	0
Emc4	199.333333	0	430	0	0	144	622	0
Ncaph	199.166667	0	390	0	0	0	805	0
Lztfl1	199.166667	0	512	0	166	233	284	0
Tmem245	199.000000	0	414	0	125	357	298	0
Mknk2	199.000000	0	509	0	0	0	685	0
Itgb1bp1	199.000000	0	450	0	260	247	237	0
Erdr1	199.000000	116	298	0	0	0	780	0
Cpsf3	199.000000	0	450	0	260	247	237	0
Atad2	199.000000	0	553	0	255	86	300	0
Fbxo47	198.666667	0	711	0	0	0	481	0
Cbfa2t3	198.333333	0	528	0	0	0	662	0
Tigd3	198.166667	0	405	0	135	215	434	0
Smim13	198.166667	0	723	0	0	0	466	0
Ctnnd1	198.166667	0	0	0	350	293	546	0
Lat2	198.000000	0	747	0	233	208	0	0
Wdtc1	197.833333	0	749	0	0	0	438	0
Usp38	197.833333	0	690	0	0	0	497	0
Gse1	197.833333	0	464	0	0	0	723	0
Sumf1	197.666667	0	448	0	241	139	358	0
Nmnat1	197.666667	0	605	0	0	227	354	0
Lzic	197.666667	0	605	0	0	227	354	0
Klf5	197.666667	0	230	0	268	153	535	0
Duoxa2	197.666667	0	496	0	420	270	0	0
Duox2	197.666667	0	496	0	420	270	0	0
Ttll1	197.500000	0	731	0	0	0	454	0
Trap1	197.333333	0	559	0	129	179	317	0
Ifrd2	197.333333	0	487	0	0	0	697	0
Opa1	196.833333	0	790	0	0	148	243	0
Mtpap	196.833333	0	744	0	0	0	437	0
Gtf2h4	196.833333	0	422	0	120	183	456	0
Rpl30	196.666667	0	522	0	0	0	658	0
Lmbr1l	196.666667	0	628	0	0	0	552	0
Tmem231	196.500000	0	759	0	0	0	420	0
Usp30	196.333333	0	546	0	167	184	281	0
Rps17	196.333333	0	262	0	403	323	190	0
Ppy	196.166667	0	758	0	0	0	419	0
Zfp52	196.000000	0	997	0	0	0	179	0
Xrcc1	196.000000	0	279	0	169	285	443	0
Rsrp1	196.000000	0	617	0	0	93	466	0
Pinlyp	196.000000	0	279	0	169	285	443	0
Frg2f1	196.000000	0	632	0	124	132	288	0
Foxj3	196.000000	0	632	0	124	132	288	0
BC107364	196.000000	0	198	0	221	352	405	0
Sirt4	195.666667	0	464	0	185	235	290	0
Rps6ka5	195.666667	0	405	0	210	313	246	0
Zfand4	195.500000	0	562	0	270	128	213	0
Samd4b	195.166667	0	558	0	136	86	391	0
Rac1	195.166667	0	763	0	0	0	408	0
Gmfg	195.166667	0	558	0	136	86	391	0
Trub2	195.000000	0	354	0	201	198	417	0
Rps6kc1	195.000000	0	727	0	0	0	443	0
Fancg	195.000000	0	686	0	0	0	484	0
Zfpm1	194.833333	0	973	0	85	0	111	0
Nudt15	194.833333	0	678	0	0	118	373	0
Diaph1	194.833333	0	836	0	0	0	333	0
Abcc5	194.833333	0	311	0	172	335	351	0
Gm7072	194.666667	0	425	0	230	97	416	0
Stxbp5l	194.500000	0	232	0	637	298	0	0
Nadk2	194.500000	0	303	0	98	93	673	0
Timm50	194.333333	0	556	0	0	0	610	0
Fnbp4	194.333333	0	589	0	115	119	343	0
Cntrl	194.333333	0	323	0	220	218	405	0
Slc4a7	194.166667	0	645	0	118	0	402	0
Nrros	194.166667	0	731	0	0	0	434	0
Hsd17b12	194.166667	0	489	0	95	192	389	0
Stk40	193.833333	0	721	0	0	117	325	0
Atp5k	193.833333	0	649	0	0	129	385	0
Plod2	193.666667	0	0	0	533	629	0	0
Eif4e	193.666667	0	584	0	0	144	434	0
Ect2	193.166667	0	546	0	154	144	315	0
Dnajc30	193.000000	0	463	0	206	0	489	0
Bud23	193.000000	0	463	0	206	0	489	0
Sugct	192.833333	0	466	0	192	275	224	0
Mplkip	192.833333	0	466	0	192	275	224	0
Ddx56	192.833333	0	543	0	97	163	354	0
Cdc25a	192.666667	0	588	0	0	111	457	0
Sh3bp1	192.500000	0	846	0	0	0	309	0
Cdc37	192.500000	0	672	0	0	0	483	0
Bub1b	192.500000	0	405	0	118	0	632	0
Tbc1d17	192.333333	0	560	0	0	163	431	0
Akt1s1	192.333333	0	560	0	0	163	431	0
Ndst1	192.166667	0	748	0	102	0	303	0
Cfdp1	192.000000	0	596	0	0	119	437	0
Arhgap45	192.000000	0	422	0	203	0	527	0
Unc93b1	191.833333	0	968	0	0	0	183	0
Ints7	191.833333	0	507	0	121	124	399	0
Dtl	191.833333	0	507	0	121	124	399	0
Zfp668	191.666667	0	587	0	149	182	232	0
Zfp646	191.666667	0	587	0	149	182	232	0
Slc39a11	191.666667	0	498	0	107	189	356	0
Inppl1	191.500000	0	822	0	0	0	327	0
Cep152	191.500000	0	636	0	0	0	513	0
1700037H04Rik	191.500000	0	498	0	174	142	335	0
Mdm4	191.333333	0	487	0	186	156	319	0
Lztr1	191.333333	0	703	0	0	0	445	0
Gsn	191.333333	0	571	0	0	0	577	0
Zfp1	190.833333	0	604	0	0	97	444	0
Rp2	190.666667	0	494	0	0	0	650	0
Hspe1	190.666667	0	852	0	0	0	292	0
Hspd1	190.666667	0	852	0	0	0	292	0
Gm46430	190.666667	0	559	0	136	0	449	0
Smim14	190.500000	0	989	0	0	0	154	0
Ntn1	190.333333	0	1142	0	0	0	0	0
Ccdc9b	190.166667	0	640	0	150	0	351	0
Ggact	189.833333	0	568	0	0	0	571	0
Dbi	189.666667	0	825	0	0	0	313	0
Atat1	189.666667	0	472	0	87	72	507	0
3110009E18Rik	189.666667	0	825	0	0	0	313	0
Hs3st3b1	189.166667	0	868	0	158	109	0	0
Gna12	189.166667	0	566	0	205	0	364	0
Gle1	189.166667	0	666	0	0	0	469	0
Msrb2	189.000000	0	579	0	0	0	555	0
Txndc16	188.833333	0	602	0	287	244	0	0
Gpr137c	188.833333	0	602	0	287	244	0	0
Zfp788	188.666667	0	799	0	84	0	249	0
Trim12c	188.666667	0	653	0	0	0	479	0
Nt5c3	188.666667	0	547	0	197	117	271	0
Hspa9	188.666667	0	524	0	0	0	608	0
Cox7c	188.666667	0	503	0	0	0	629	0
Tgif2	188.500000	0	618	0	0	0	513	0
Sgo2a	188.500000	0	674	0	0	0	457	0
Rag2	188.500000	0	308	0	121	117	585	0
Iftap	188.500000	0	308	0	121	117	585	0
Kdm5b	188.333333	0	407	0	183	190	350	0
Meak7	188.166667	0	445	0	253	151	280	0
Mark2	188.166667	0	697	0	0	0	432	0
Slc25a53	188.000000	0	506	0	0	0	622	0
Sh3glb1	188.000000	0	730	0	0	0	398	0
Gnas	188.000000	0	741	0	100	0	287	0
Git1	188.000000	0	516	0	144	0	468	0
Calm3	188.000000	0	503	0	242	157	226	0
Tor3a	187.833333	0	762	0	0	0	365	0
Tars	187.833333	0	494	0	0	117	516	0
Zfp628	187.666667	0	766	0	0	0	360	0
Kmo	187.666667	0	712	0	0	0	414	0
Samd10	187.500000	0	520	0	0	96	509	0
Prpf6	187.500000	0	520	0	0	96	509	0
Txlnb	187.166667	0	972	0	0	0	151	0
Shkbp1	187.166667	0	545	0	266	0	312	0
Rsl24d1	187.166667	0	660	0	84	0	379	0
Dlg4	187.166667	0	685	0	110	130	198	0
Vdac1	186.666667	0	492	0	0	201	427	0
Tprgl	186.666667	0	520	0	193	0	407	0
Adam15	186.666667	0	638	0	0	0	482	0
Rad51ap1	186.500000	0	467	0	151	144	357	0
Fam168a	186.500000	0	686	0	0	0	433	0
D6Wsu163e	186.500000	0	467	0	151	144	357	0
Unkl	186.166667	0	427	0	105	143	442	0
Mageb3	186.166667	0	664	0	112	0	341	0
Ctdspl2	186.166667	0	664	0	112	0	341	0
Guf1	186.000000	0	735	0	0	0	381	0
Tmem102	185.833333	0	0	0	232	0	883	0
Itpr1	185.833333	0	332	0	271	334	178	0
Tiprl	185.666667	0	790	0	0	0	324	0
Oaz1	185.666667	0	617	0	87	0	410	0
Ctu1	185.666667	0	308	0	103	111	592	0
Usp44	185.500000	0	972	0	0	0	141	0
Snx27	185.500000	0	320	0	0	156	637	0
Ppp1r11	185.500000	0	554	0	139	117	303	0
Vps26b	185.333333	0	422	0	163	147	380	0
Nfkb2	185.333333	0	575	0	0	0	537	0
Ncapd3	185.333333	0	422	0	163	147	380	0
Gadd45a	185.333333	0	680	0	0	207	225	0
Dusp10	185.333333	0	625	0	0	0	487	0
1700056E22Rik	185.333333	0	625	0	0	0	487	0
Psmb7	185.166667	0	689	0	0	0	422	0
Dscc1	185.000000	0	610	0	80	0	420	0
Plgrkt	184.666667	0	701	0	0	0	407	0
Gm5431	184.500000	0	936	0	0	0	171	0
Ywhaq	184.166667	0	661	0	0	0	444	0
Invs	184.000000	0	451	0	0	119	534	0
Fam102b	184.000000	0	422	0	140	0	542	0
Erp44	184.000000	0	451	0	0	119	534	0
Pgap2	183.833333	0	458	0	171	168	306	0
Nup98	183.833333	0	458	0	171	168	306	0
Dhx35	183.833333	0	626	0	0	0	477	0
Mybbp1a	183.666667	0	666	0	0	0	436	0
F11r	183.666667	0	394	0	500	208	0	0
Ccne1	183.666667	0	408	0	129	208	357	0
Klf16	183.500000	0	650	0	0	0	451	0
Tyw5	183.333333	0	658	0	216	0	226	0
Maip1	183.333333	0	658	0	216	0	226	0
Blm	183.333333	0	614	0	137	0	349	0
Slc39a1	183.166667	0	550	0	0	0	549	0
Pnrc1	183.166667	0	831	0	0	0	268	0
Gtf2a2	183.166667	0	604	0	100	0	395	0
Creb3l4	183.166667	0	550	0	0	0	549	0
Scamp2	183.000000	0	334	0	249	261	254	0
Mrpl30	183.000000	0	495	0	168	131	304	0
Mitd1	183.000000	0	495	0	168	131	304	0
Mboat2	183.000000	0	262	0	383	161	292	0
Krtcap2	183.000000	0	877	0	0	0	221	0
Atad1	183.000000	0	924	0	0	0	174	0
Tspoap1	182.833333	0	436	0	0	0	661	0
Pip5kl1	182.833333	0	631	0	0	0	466	0
Mccc1	182.833333	0	599	0	142	0	356	0
Ints12	182.833333	0	711	0	166	0	220	0
Gstcd	182.833333	0	711	0	166	0	220	0
Dpm2	182.833333	0	631	0	0	0	466	0
Gltp	182.666667	0	707	0	191	0	198	0
Wdr63	182.166667	0	799	0	294	0	0	0
Mrpl33	182.166667	0	633	0	0	0	460	0
Iws1	182.166667	0	249	0	318	328	198	0
Atic	182.166667	0	356	0	143	268	326	0
Acap1	182.166667	0	723	0	0	0	370	0
Med17	182.000000	0	366	0	0	0	726	0
H3c13	181.833333	0	256	0	154	0	681	0
H2bc18	181.833333	0	256	0	154	0	681	0
Tasp1	181.666667	0	521	0	0	173	396	0
Stard6	181.500000	0	901	0	188	0	0	0
Derl3	181.500000	0	341	0	307	120	321	0
Arl15	181.500000	0	764	0	142	0	183	0
4930503L19Rik	181.500000	0	901	0	188	0	0	0
Fut7	181.333333	0	631	0	0	0	457	0
Ebag9	181.166667	0	474	0	0	136	477	0
Kcnn4	181.000000	0	888	0	0	0	198	0
Ccdc88a	181.000000	0	582	0	180	0	324	0
Mgat4a	180.833333	0	589	0	153	155	188	0
Idh3b	180.833333	0	445	0	155	0	485	0
Lyl1	180.666667	0	638	0	0	0	446	0
Eps15	180.666667	0	200	0	0	0	884	0
Csrp1	180.666667	0	594	0	0	0	490	0
Zfp932	180.500000	0	586	0	0	0	497	0
Mta3	180.333333	0	712	0	0	0	370	0
Ggnbp1	180.333333	0	538	0	196	165	183	0
Bak1	180.333333	0	538	0	196	165	183	0
Limk2	180.000000	0	372	0	141	346	221	0
Fh1	180.000000	0	414	0	142	216	308	0
Romo1	179.833333	0	584	0	72	0	423	0
Nfs1	179.833333	0	584	0	72	0	423	0
Klf6	179.833333	0	666	0	0	0	413	0
Alkbh5	179.833333	0	633	0	107	0	339	0
Esx1	179.500000	0	0	0	348	729	0	0
Psmg2	179.166667	0	113	0	514	448	0	0
Cep76	179.166667	0	113	0	514	448	0	0
Stard4	179.000000	0	500	0	196	95	283	0
Polr1d	179.000000	0	372	0	109	130	463	0
Lnx2	179.000000	0	372	0	109	130	463	0
Wapl	178.833333	0	664	0	0	0	409	0
Stat3	178.833333	0	441	0	137	174	321	0
Gm52429	178.833333	0	0	0	530	543	0	0
Zmynd19	178.666667	0	690	0	0	0	382	0
Zfp275	178.666667	0	966	0	0	0	106	0
Zbtb45	178.666667	0	378	0	210	202	282	0
Bmt2	178.666667	0	523	0	185	0	364	0
Harbi1	178.500000	0	400	0	111	187	373	0
G3bp2	178.500000	0	317	0	157	344	253	0
Atg13	178.500000	0	400	0	111	187	373	0
Syne4	178.333333	0	0	0	582	488	0	0
Aldh4a1	178.333333	0	438	0	217	175	240	0
Rbm38	178.166667	0	699	0	0	0	370	0
Zfhx2	178.000000	0	355	0	0	179	534	0
Thtpa	178.000000	0	355	0	0	179	534	0
Fcf1	178.000000	0	506	0	0	0	562	0
Arel1	178.000000	0	506	0	0	0	562	0
Phlpp2	177.833333	0	813	0	0	0	254	0
Nemp1	177.833333	0	406	0	141	187	333	0
Mrps17	177.833333	0	570	0	0	0	497	0
Ubald1	177.666667	0	656	0	107	0	303	0
Sptan1	177.666667	0	784	0	0	0	282	0
Engase	177.666667	0	597	0	153	0	316	0
Tsks	177.500000	0	0	0	530	535	0	0
Ints2	177.500000	0	253	0	197	329	286	0
Clpp	177.500000	0	542	0	0	0	523	0
Tmem165	177.333333	0	805	0	0	0	259	0
Prkcsh	177.333333	0	342	0	0	125	597	0
Htra2	177.333333	0	493	0	146	0	425	0
Hif3a	177.333333	0	857	0	0	0	207	0
Dqx1	177.333333	0	493	0	146	0	425	0
Ccng2	177.333333	0	352	0	154	167	391	0
Ccdc151	177.333333	0	342	0	0	125	597	0
Mlec	177.166667	0	571	0	0	155	337	0
Lyrm4	177.000000	0	353	0	242	289	178	0
Fars2	177.000000	0	353	0	242	289	178	0
Psen2	176.666667	0	227	0	0	0	833	0
Asns	176.666667	0	0	0	464	350	246	0
Ankrd11	176.666667	0	579	0	154	0	327	0
Ints3	176.500000	0	367	0	101	153	438	0
Stx18	176.333333	0	432	0	180	0	446	0
Rad54b	176.333333	0	545	0	0	102	411	0
Trmt10a	176.166667	0	437	0	142	259	219	0
Traip	176.166667	0	610	0	0	0	447	0
Mttp	176.166667	0	437	0	142	259	219	0
Ebna1bp2	176.166667	0	657	0	0	0	400	0
Cfap57	176.166667	0	657	0	0	0	400	0
Utp15	176.000000	0	513	0	0	89	454	0
Cstf3	176.000000	0	646	0	0	0	410	0
Ankra2	176.000000	0	513	0	0	89	454	0
Tfrc	175.833333	0	899	0	0	0	156	0
Gata1	175.500000	0	0	0	0	0	1053	0
Trmt1	175.333333	0	427	0	0	126	499	0
Oscar	175.333333	0	471	0	0	0	581	0
Ndufa3	175.333333	0	471	0	0	0	581	0
Nacc1	175.333333	0	427	0	0	126	499	0
Cycs	175.333333	0	478	0	133	0	441	0
Stx16	175.166667	0	502	0	122	0	427	0
Rangap1	175.000000	0	421	0	131	124	374	0
Phlda3	175.000000	0	1050	0	0	0	0	0
Ddx42	175.000000	0	681	0	0	0	369	0
Ccdc47	175.000000	0	681	0	0	0	369	0
Calm1	175.000000	0	478	0	220	147	205	0
Tpx2	174.666667	0	559	0	0	122	367	0
Hp1bp3	174.666667	0	609	0	105	0	334	0
Rab1a	174.500000	0	727	0	0	0	320	0
Prkcz	174.500000	0	524	0	280	243	0	0
Cluap1	174.500000	0	331	0	193	197	326	0
Ccdc107	174.500000	0	357	0	137	134	419	0
1700037C18Rik	174.500000	0	331	0	193	197	326	0
Ppp1r9b	174.166667	0	681	0	0	0	364	0
Pla2g15	174.166667	0	169	0	158	495	223	0
Clec12a	174.166667	0	483	0	0	0	562	0
Zmym2	173.833333	0	723	0	0	0	320	0
Rb1cc1	173.833333	0	717	0	0	0	326	0
Pycr1	173.833333	0	743	0	0	0	300	0
Nvl	173.833333	0	440	0	126	182	295	0
Myadml2	173.833333	0	743	0	0	0	300	0
