Target_genes	Gata1|Average	SRX079887|Embryonic_erythroblasts	SRX079888|Embryonic_erythroblasts	SRX145055|Embryonic_erythroblasts	SRX3889813|Embryonic_erythroblasts	SRX3889814|Embryonic_erythroblasts	SRX145066|Embryonic_megakaryocytes	SRX6797012|Erythroblasts	SRX6797015|Erythroblasts	SRX6797018|Erythroblasts	SRX6797021|Erythroblasts	SRX6797024|Erythroblasts	SRX6797027|Erythroblasts	SRX6797030|Erythroblasts	SRX6797033|Erythroblasts	SRX6797036|Erythroblasts	SRX6797039|Erythroblasts	SRX744012|Erythroblasts	SRX744013|Erythroblasts	SRX744014|Erythroblasts	SRX744015|Erythroblasts	SRX10916763|Erythrocytes	SRX10916762|Erythroid_Cells	SRX18530072|Erythroid_Cells	SRX18530073|Erythroid_Cells	SRX18530074|Erythroid_Cells	SRX8785799|ES_cells	SRX8785800|ES_cells	SRX340954|FDCPmix	SRX340957|FDCPmix	SRX340962|FDCPmix	SRX340963|FDCPmix	SRX340966|FDCPmix	SRX340967|FDCPmix	SRX100316|G1E	SRX145061|G1E	SRX9519540|G1E	SRX9519541|G1E	SRX013185|G1E-ER4+E2	SRX10714839|G1E-ER4+E2	SRX10714840|G1E-ER4+E2	SRX130172|G1E-ER4+E2	SRX130174|G1E-ER4+E2	SRX145052|G1E-ER4+E2	SRX181742|G1E-ER4+E2	SRX181743|G1E-ER4+E2	SRX181744|G1E-ER4+E2	SRX181745|G1E-ER4+E2	SRX181748|G1E-ER4+E2	SRX181749|G1E-ER4+E2	SRX8820360|G1E-ER4+E2	SRX8820361|G1E-ER4+E2	SRX816546|G1ME	SRX816547|G1ME	SRX816548|G1ME	SRX4513890|HPC-7	SRX4513891|HPC-7	SRX140370|MEL	SRX188828|MEL	SRX3889826|MEL	SRX3889827|MEL	SRX015120|MEL86	SRX18530081|mESC_derived_erythroid_cells	SRX18530083|mESC_derived_erythroid_cells	SRX18530084|mESC_derived_erythroid_cells	SRX1035393|mESC_derived_haematopoietic_progenitor	SRX118001|mESC_derived_haematopoietic_progenitor	SRX118002|mESC_derived_haematopoietic_progenitor	SRX118003|mESC_derived_haematopoietic_progenitor	SRX118004|mESC_derived_haematopoietic_progenitor	SRX118005|mESC_derived_haematopoietic_progenitor	SRX1431659|mESC_derived_haematopoietic_progenitor	SRX298036|Ter119_Erythrocytes	STRING
Prl4a1	96.805556	0	0	0	0	0	0	629	668	880	957	857	866	311	299	1040	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpin1	96.791667	0	0	0	0	391	0	104	0	0	0	0	0	154	316	0	120	186	160	0	0	0	0	143	0	236	0	0	0	0	0	0	0	0	0	0	529	372	304	238	127	0	289	423	378	281	281	209	139	0	0	536	0	0	0	0	0	260	129	130	0	0	0	208	326	0	0	0	0	0	0	0	0	0
Itgal	96.791667	0	0	0	0	0	0	625	715	694	927	1005	827	371	355	932	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trcg1	96.777778	0	0	0	0	0	0	95	173	254	0	0	0	707	737	322	682	0	0	0	0	0	0	105	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	262	111	254	0	0	0	308	0	0	0	0	0	1765	606	0	0	0	0	0	0	0	123	0	87	0	0	0	0	0
Tctn1	96.777778	0	0	0	1030	1275	0	126	118	156	0	0	0	255	383	251	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	166	208	0	132	0	0	0	517	0	0	0	0	0	524	197	277	0	0	0	0	589	0	0	0	0	0	0	0	0	0
Exosc10	96.750000	0	0	0	109	0	0	717	669	588	730	1038	707	284	419	971	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0
Dync1li1	96.736111	0	0	0	953	1098	0	85	109	68	0	0	0	169	326	144	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	140	0	0	0	0	0	0	221	254	0	444	0	0	0	0	0	0	0	0	0	1289	253	117	0	0	0	0	659	0	0	0	0	0	0	0	0	0
2210016F16Rik	96.722222	0	144	280	330	318	0	0	0	86	0	0	0	274	498	338	801	0	0	0	0	0	0	100	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	213	204	288	0	0	0	0	451	0	0	0	0	0	939	521	136	0	0	195	332	160	0	0	0	0	0	0	0	0	0
Olfr1098	96.708333	0	0	0	0	0	0	595	771	842	941	903	1026	250	280	954	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpa	96.541667	0	0	114	168	191	0	0	0	84	0	0	0	345	255	163	0	139	0	0	0	0	0	170	0	383	0	0	0	0	0	0	0	0	110	0	151	0	203	334	196	0	214	480	172	0	254	0	220	0	0	1771	0	0	0	0	0	331	0	0	0	0	0	0	347	0	0	0	156	0	0	0	0	0
Crat	96.541667	0	0	114	168	191	0	0	0	84	0	0	0	345	255	163	0	139	0	0	0	0	0	170	0	383	0	0	0	0	0	0	0	0	110	0	151	0	203	334	196	0	214	480	172	0	254	0	220	0	0	1771	0	0	0	0	0	331	0	0	0	0	0	0	347	0	0	0	156	0	0	0	0	0
Rln3	96.527778	173	0	220	0	390	0	351	338	215	524	394	367	158	0	439	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	1182	1235	527	139	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve19	96.513889	0	0	0	125	327	0	563	608	572	803	692	679	314	242	611	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	99	0	0	0	0	691	0	0	0	0	0	0	0	0	0
Dnajc17	96.513889	0	0	0	125	327	0	563	608	572	803	692	679	314	242	611	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	99	0	0	0	0	691	0	0	0	0	0	0	0	0	0
Tex14	96.333333	0	0	128	607	647	0	0	0	75	0	0	0	138	152	113	119	0	0	0	0	0	0	0	0	136	149	312	0	0	0	0	0	0	122	0	428	0	126	0	0	0	134	268	122	152	236	0	182	0	0	247	230	240	0	0	0	446	363	289	91	0	0	0	519	0	0	0	0	0	0	165	0	0
Cnot3	96.333333	306	198	444	586	739	169	103	0	99	0	0	0	126	332	150	256	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	195	0	181	0	202	0	0	0	152	0	0	0	0	592	541	0	0	0	194	288	699	0	0	0	0	0	0	0	0	0
Vps33b	96.277778	0	0	0	512	721	0	107	175	179	0	0	0	284	720	134	547	0	0	0	0	0	0	0	0	260	135	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	857	1088	406	83	0	0	0	524	0	0	0	0	0	0	0	0	0
Sap30	96.277778	215	0	172	1190	1381	0	0	98	132	0	0	0	178	355	136	225	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	130	0	0	0	794	454	182	0	0	0	0	665	0	0	0	0	0	0	171	0	0
Fam227b	96.277778	355	0	204	275	290	237	0	0	0	0	0	0	79	122	0	223	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	228	0	0	0	272	0	0	757	269	91	0	0	0	0	0	0	0	0	470	480	0	0	0	241	244	158	0	228	0	0	843	478	0	0	0	0	0	311	0	0
Uhrf1bp1	96.236111	0	0	0	211	105	0	0	0	0	0	0	0	168	287	0	185	110	0	0	0	0	0	103	0	148	0	0	0	0	0	0	0	0	0	0	118	0	317	260	249	0	344	587	354	169	196	0	399	178	0	870	0	0	0	0	0	605	490	127	0	0	0	0	349	0	0	0	0	0	0	0	0	0
Vps35l	96.222222	0	0	0	133	254	0	85	179	290	370	347	318	172	402	475	518	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	187	0	120	160	0	0	0	0	409	0	0	0	0	0	872	795	192	0	0	0	0	213	0	0	0	0	0	0	0	0	0
Ndel1	96.208333	0	0	0	222	359	0	67	171	146	0	0	0	286	488	221	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	290	0	0	0	119	0	0	134	0	0	146	0	168	0	0	128	0	0	0	0	0	1446	560	143	0	0	0	0	1089	0	0	0	0	0	0	0	0	0
Hmgxb4	96.194444	275	119	371	604	865	0	0	154	88	0	0	0	217	303	238	502	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	241	0	0	0	146	0	0	0	156	195	0	216	180	0	0	0	0	236	0	0	0	0	0	483	120	292	0	0	0	0	421	0	0	0	0	0	0	357	0	0
Mcat	96.152778	0	217	334	1539	1587	0	119	115	180	0	0	123	239	490	344	602	0	0	0	0	0	0	0	0	227	0	0	0	125	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0
Cd53	96.138889	0	0	0	0	0	0	300	451	717	847	770	833	205	0	954	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	165	0	0	0	0	0	0	0	0	0	1103	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nono	96.083333	0	0	0	312	622	161	0	0	69	0	0	0	243	507	88	620	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	1372	810	354	147	0	0	435	874	0	0	0	0	0	0	0	0	0
Ubald2	96.027778	0	0	0	147	154	0	0	0	0	0	0	0	276	171	0	0	164	225	0	146	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	164	0	0	277	262	0	96	263	315	375	374	198	0	0	0	664	0	0	0	0	0	1550	345	0	0	0	0	0	449	0	137	0	0	0	0	0	0	0
Gpr152	96.013889	0	0	0	0	0	0	658	793	603	857	816	784	497	510	836	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cabp4	96.013889	0	0	0	0	0	0	658	793	603	857	816	784	497	510	836	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fthl17f	95.972222	0	0	0	0	0	0	730	688	714	809	877	903	332	329	939	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fem1c	95.916667	272	127	361	441	575	0	146	0	0	0	0	0	261	193	153	484	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	168	245	213	353	141	124	0	0	0	557	0	0	0	0	0	753	389	0	0	0	0	0	714	0	0	0	0	0	0	0	0	0
Rangrf	95.875000	0	0	0	0	0	0	390	445	684	751	607	636	204	303	859	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672	581	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg2a	95.875000	209	162	371	242	360	0	165	112	113	0	0	0	493	389	339	523	0	0	0	0	0	0	172	0	385	0	0	0	0	0	0	0	0	0	0	126	0	0	94	0	0	0	208	0	0	0	0	0	0	0	286	0	0	0	0	0	846	203	0	0	0	0	241	864	0	0	0	0	0	0	0	0	0
Pcbp1	95.847222	0	0	0	596	652	0	0	0	0	0	0	0	0	77	104	180	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	72	0	233	0	284	149	0	0	269	879	0	100	233	0	682	154	0	353	0	0	0	0	0	280	0	0	0	0	0	0	1529	0	0	0	0	0	0	0	0	0
Osgep	95.805556	0	0	0	1352	730	0	95	0	207	0	0	0	200	257	194	589	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	179	0	0	230	0	0	0	0	210	0	0	0	0	0	350	352	185	143	0	0	0	1067	0	0	0	0	0	0	232	0	0
Apex1	95.805556	0	0	0	1352	730	0	95	0	207	0	0	0	200	257	194	589	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	179	0	0	230	0	0	0	0	210	0	0	0	0	0	350	352	185	143	0	0	0	1067	0	0	0	0	0	0	232	0	0
Tmem208	95.791667	529	237	657	248	1135	0	111	72	187	0	0	0	352	542	223	434	0	0	0	0	0	0	203	0	271	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	131	0	0	0	0	575	168	178	0	0	0	0	342	0	0	0	0	0	0	122	0	0
Lrrc29	95.791667	529	237	657	248	1135	0	111	72	187	0	0	0	352	542	223	434	0	0	0	0	0	0	203	0	271	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	131	0	0	0	0	575	168	178	0	0	0	0	342	0	0	0	0	0	0	122	0	0
Hpx	95.708333	0	0	0	0	0	0	589	627	740	689	687	678	432	577	967	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb14	95.694444	0	0	0	206	189	0	646	512	616	819	806	843	257	296	873	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0
Cnot6l	95.680556	0	0	0	215	512	0	99	151	138	0	0	0	320	525	77	846	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	211	299	336	0	355	0	0	0	469	0	0	0	0	0	1037	282	227	0	0	0	0	420	0	0	0	0	0	0	0	0	0
Tbl3	95.652778	152	0	172	248	311	0	0	0	0	0	0	0	185	164	97	144	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	227	0	173	0	207	198	142	0	205	359	289	312	227	0	120	0	0	424	251	0	0	0	0	858	617	0	0	0	0	0	402	0	0	0	132	0	0	0	0	0
Cgas	95.597222	0	0	188	494	662	0	0	121	70	0	0	0	324	311	216	592	0	0	0	0	104	0	123	0	232	0	0	0	0	0	0	0	0	171	0	0	0	0	0	127	0	0	0	0	130	0	0	0	0	0	602	0	0	0	0	0	699	729	193	0	0	0	0	795	0	0	0	0	0	0	0	0	0
Jmjd1c	95.583333	0	0	0	198	106	0	195	128	142	0	0	0	548	986	453	674	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	140	198	0	0	0	0	0	0	0	110	160	165	0	0	0	953	0	0	0	0	0	1097	246	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0
Rara	95.527778	0	0	0	376	162	0	111	118	147	0	0	0	336	540	160	830	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	1078	1432	455	198	0	0	0	676	0	0	0	0	0	0	0	0	0
Arid3a	95.500000	0	0	0	189	182	0	533	415	365	831	783	633	317	414	821	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	186	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0
Serf2	95.486111	0	0	0	177	166	0	505	456	554	674	585	708	247	306	744	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0	110	762	0	0	0	0	0	0	0	0	0
Zfp609	95.472222	0	0	180	827	824	0	86	0	109	0	0	0	128	233	134	366	0	0	0	0	0	0	0	0	119	0	108	0	0	0	0	0	0	0	0	0	0	198	0	0	0	196	242	0	228	129	0	0	0	0	363	152	0	0	0	0	443	356	441	164	0	0	198	497	0	0	0	0	0	0	153	0	0
Aanat	95.430556	0	0	0	0	0	0	499	489	456	711	649	733	416	505	1114	662	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	231	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm9sf1	95.416667	0	0	0	941	1113	0	397	438	413	565	676	602	0	218	512	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	430	0	0	0	0	0	0	0	0	0
Gins4	95.319444	250	0	237	682	1327	0	0	0	75	0	0	87	199	345	138	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	170	0	0	0	156	453	0	193	201	0	150	0	0	430	0	0	0	0	0	0	141	325	0	0	0	0	749	0	0	0	0	0	0	271	0	0
C1rb	95.319444	0	0	0	0	0	0	657	611	563	874	857	852	250	380	999	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0
Atxn1	95.263889	0	0	0	125	0	0	540	642	825	1053	919	918	318	200	733	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0
Kif2c	95.222222	117	0	150	939	905	0	80	0	77	244	0	148	86	339	248	419	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	110	211	133	0	0	0	0	0	0	0	304	185	0	0	0	356	297	410	0	0	0	267	216	0	0	0	0	0	0	402	0	0
Adck5	95.208333	0	0	0	0	0	0	566	652	562	777	734	665	287	280	531	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	160	0	210	151	0	0	0	0	283	0	0	0	0	0	159	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0
Plekho2	95.194444	0	0	0	0	247	0	0	0	0	0	0	0	243	302	106	276	0	181	0	0	0	0	147	0	134	0	0	0	0	0	0	0	0	0	0	138	0	258	193	128	0	271	581	232	170	292	0	271	0	0	602	0	0	0	0	0	584	302	343	0	0	0	0	853	0	0	0	0	0	0	0	0	0
Dclk3	95.194444	0	0	0	0	0	0	562	653	751	965	962	883	308	339	880	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0
Ppan	95.180556	0	0	0	1014	756	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	232	0	182	0	0	0	191	436	0	0	181	0	84	0	0	784	0	0	0	0	0	617	865	517	350	0	0	0	304	0	0	0	0	0	0	0	0	0
Pik3r6	95.138889	0	0	0	0	177	0	176	0	176	278	0	206	133	242	317	380	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	185	0	0	0	0	1267	1276	661	144	0	0	0	674	0	0	0	0	0	0	246	0	0
Trh	95.069444	0	0	121	275	422	0	0	0	0	0	0	0	324	516	125	434	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	203	0	0	0	0	1492	1422	374	85	0	254	315	158	0	0	0	0	0	0	0	0	0
Senp1	95.055556	0	0	0	153	104	0	0	97	0	176	0	172	562	591	170	376	0	0	0	0	0	0	132	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	179	160	0	0	0	0	0	0	0	0	0	0	2074	659	183	0	0	0	0	563	0	0	0	0	0	0	0	0	0
Sapcd2	94.958333	393	153	469	454	791	0	0	0	95	0	0	0	215	162	109	115	0	0	0	0	0	0	147	0	69	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	305	406	158	135	300	0	0	0	0	968	0	0	0	0	0	457	384	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0
Cenpu	94.958333	129	0	177	197	1129	0	106	0	117	0	0	0	169	592	132	449	0	0	0	0	0	0	172	0	256	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1182	0	0	0	0	0	811	186	201	0	0	0	119	586	0	0	0	0	0	0	0	0	0
Tmem184a	94.930556	0	0	0	184	0	0	0	0	0	0	0	0	96	100	58	193	215	125	0	0	0	0	0	0	146	0	129	0	202	0	0	0	0	0	0	433	0	267	266	157	0	283	589	486	220	535	186	312	144	0	850	0	104	0	0	0	138	229	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0
H2-T23	94.930556	0	0	0	448	375	0	101	122	178	0	0	94	521	931	368	707	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	408	146	0	0	0	0	548	1009	340	0	0	0	136	140	0	0	0	0	0	0	0	0	0
Get4	94.861111	153	0	167	134	327	0	0	0	0	0	0	0	164	653	147	359	0	0	0	0	0	0	108	0	182	0	0	0	0	0	0	0	0	0	0	0	0	280	0	100	0	311	464	360	190	209	293	375	0	0	214	142	0	0	0	0	312	168	0	0	0	0	0	1018	0	0	0	0	0	0	0	0	0
Tcaim	94.819444	0	0	0	1166	659	0	0	76	108	0	0	0	143	382	238	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	105	220	0	0	95	0	0	0	0	0	0	0	0	0	0	299	506	224	0	0	0	305	1687	0	0	0	0	0	0	0	0	0
Tecpr1	94.763889	144	0	0	1246	1330	0	0	0	0	0	0	0	0	138	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	157	0	0	0	0	0	0	140	0	130	0	0	0	0	0	279	75	0	0	0	0	0	399	240	162	0	0	0	2065	0	0	0	0	0	0	0	0	0
Rnf183	94.736111	0	0	0	0	0	0	546	636	600	902	732	771	320	380	807	456	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3c2	94.736111	419	227	571	278	443	0	167	119	0	0	0	0	269	412	391	609	0	0	0	0	0	211	0	0	102	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	165	226	0	0	0	0	0	166	204	0	0	0	418	78	237	238	0	0	211	334	0	0	0	0	0	0	169	0	0
Ccdc126	94.722222	0	0	0	288	187	0	0	0	0	0	0	0	83	342	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	230	0	245	0	0	0	217	195	563	361	277	550	139	0	0	315	0	0	0	0	0	1406	473	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0
Pgap3	94.680556	0	0	0	0	109	0	531	500	517	710	750	714	511	591	904	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0
Ndufs7	94.652778	106	0	185	354	475	0	0	129	92	0	0	0	220	355	160	531	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	199	376	385	229	218	0	0	122	0	482	156	0	0	0	0	334	480	288	0	0	0	182	392	0	0	0	0	0	0	74	0	0
Map3k12	94.638889	0	0	0	1237	848	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349	370	267	0	0	0	127	2258	0	0	0	0	0	0	0	0	0
Fcrlb	94.597222	0	0	0	0	0	0	612	549	792	843	819	773	216	319	1188	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0
Brd7	94.569444	263	0	324	234	1204	0	145	147	171	0	0	0	442	843	295	941	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	150	0	0	0	0	399	203	0	0	0	0	0	615	0	0	0	0	0	0	0	0	0
Pfdn2	94.555556	0	0	0	152	92	0	715	542	641	940	768	697	339	283	787	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0
Nit1	94.555556	0	0	0	152	92	0	715	542	641	940	768	697	339	283	787	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0
Scly	94.402778	160	0	157	1351	1145	0	0	76	0	0	0	0	117	132	129	269	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	956	327	194	0	0	0	148	1386	0	0	0	0	0	0	0	0	0
Osbpl10	94.388889	0	0	0	0	0	0	692	757	715	896	1011	857	357	233	822	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pank1	94.361111	0	0	0	188	110	0	148	198	176	0	0	0	390	789	270	858	0	0	0	0	0	0	99	0	185	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	203	117	0	0	0	0	0	832	0	0	0	0	0	975	713	144	0	0	0	0	232	0	0	0	0	0	0	0	0	0
