Target_genes	Smad3|Average	SRX14617681|CH12	SRX14617689|CH12	SRX14617690|CH12	SRX14617691|CH12	SRX14617703|CH12	SRX14617704|CH12	SRX9912241|CH12	SRX9912242|CH12	SRX2245993|Corpus_Striatum	SRX2245994|Corpus_Striatum	SRX2245995|Corpus_Striatum	SRX2245996|Corpus_Striatum	SRX5251393|Embryoid_Bodies	SRX5251394|Embryoid_Bodies	SRX130598|Embryonic_brains	SRX026254|ES_cells	SRX026255|ES_cells	SRX026256|ES_cells	SRX026257|ES_cells	SRX477547|ES_cells	SRX5251387|ES_cells	SRX1998723|MEF	SRX1998724|MEF	SRX1998725|MEF	SRX1998728|MEF	SRX1998729|MEF	SRX1998730|MEF	SRX15279811|TCMK-1	SRX3855869|Vascular_smooth_muscle_cells	SRX3855871|Vascular_smooth_muscle_cells	SRX3855877|Vascular_smooth_muscle_cells	SRX3855879|Vascular_smooth_muscle_cells	STRING
Ccno	68.125000	88	0	0	0	96	84	0	0	0	0	0	0	210	968	387	0	0	0	86	0	164	0	0	0	0	0	0	0	0	97	0	0	0
Ascl4	68.125000	147	65	256	152	102	140	261	0	0	0	0	0	281	548	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0
Abca3	68.125000	207	0	101	165	151	140	114	0	0	0	0	0	271	355	316	0	99	0	0	0	151	0	110	0	0	0	0	0	0	0	0	0	0
Abca17	68.125000	207	0	101	165	151	140	114	0	0	0	0	0	271	355	316	0	99	0	0	0	151	0	110	0	0	0	0	0	0	0	0	0	0
Ppard	68.062500	180	0	160	0	137	165	255	0	0	0	0	0	303	521	236	0	0	0	87	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Pax7	68.062500	0	0	0	0	0	0	0	0	0	0	0	0	654	681	0	0	0	0	0	0	843	0	0	0	0	0	0	0	0	0	0	0	0
H3c2	68.062500	238	160	217	153	245	209	355	0	0	0	0	0	79	124	0	0	0	0	78	0	133	0	94	0	0	0	0	0	0	93	0	0	0
Cnpy3	68.062500	499	0	118	0	356	348	0	0	0	0	0	0	243	222	182	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0
Tbck	68.031250	290	84	198	177	191	292	265	0	0	0	0	0	100	255	196	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
Rnf115	68.031250	202	0	0	0	149	122	138	0	0	0	0	0	416	598	212	0	0	0	175	0	165	0	0	0	0	0	0	0	0	0	0	0	0
Polr3c	68.031250	202	0	0	0	149	122	138	0	0	0	0	0	416	598	212	0	0	0	175	0	165	0	0	0	0	0	0	0	0	0	0	0	0
Aimp1	68.031250	290	84	198	177	191	292	265	0	0	0	0	0	100	255	196	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0
Foxb1	68.000000	483	0	0	0	269	204	0	0	0	0	0	0	409	456	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0
Brf1	68.000000	244	0	0	0	182	250	193	0	0	0	0	0	220	423	333	0	0	0	0	0	151	0	96	0	0	0	0	0	0	0	0	84	0
Tmem167b	67.968750	137	0	0	0	104	118	203	0	0	0	0	0	346	457	251	0	0	0	184	0	289	0	86	0	0	0	0	0	0	0	0	0	0
Rab18	67.968750	225	0	0	0	207	254	159	0	0	0	0	0	469	406	115	0	0	0	0	0	208	0	132	0	0	0	0	0	0	0	0	0	0
Zfp319	67.937500	213	0	202	102	169	174	155	0	0	0	0	0	112	220	152	0	0	0	0	0	123	0	169	0	0	0	0	0	102	148	0	133	0
Zcchc4	67.937500	322	0	168	0	253	330	331	0	0	0	0	0	360	269	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0
Usb1	67.937500	213	0	202	102	169	174	155	0	0	0	0	0	112	220	152	0	0	0	0	0	123	0	169	0	0	0	0	0	102	148	0	133	0
Tmem132b	67.937500	0	0	0	0	0	0	0	0	0	0	0	0	663	688	0	0	0	0	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0
Rps6ka5	67.937500	172	0	0	0	0	128	140	0	0	0	0	0	350	288	294	0	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	0	0
Pkn1	67.937500	0	0	0	0	77	0	0	0	0	0	0	0	533	481	126	0	0	0	0	0	225	0	167	0	0	232	0	0	134	95	0	104	0
Tbc1d20	67.906250	153	0	142	0	128	89	220	0	0	0	0	0	267	415	95	0	0	0	0	0	220	0	156	0	0	157	0	0	0	131	0	0	0
Zfand5	67.875000	107	0	0	0	127	220	177	0	0	0	0	0	143	281	169	0	0	0	0	0	97	0	159	0	0	209	0	0	118	236	0	129	0
Tmem158	67.875000	240	139	216	199	202	268	164	0	0	0	0	0	222	210	88	0	112	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0
Capn7	67.875000	176	0	130	94	160	140	268	0	0	0	0	0	201	235	145	0	0	0	0	0	130	0	272	0	0	0	0	0	108	113	0	0	0
Sirt6	67.843750	490	0	162	0	438	386	0	0	0	0	0	0	110	298	115	0	0	0	0	0	99	0	73	0	0	0	0	0	0	0	0	0	0
Pcgf5	67.843750	149	0	0	0	128	166	157	0	0	0	0	0	355	715	160	0	133	0	95	0	113	0	0	0	0	0	0	0	0	0	0	0	0
Panx1	67.843750	0	0	0	0	0	82	139	0	0	0	0	0	476	554	0	0	0	0	0	0	920	0	0	0	0	0	0	0	0	0	0	0	0
Hdac2	67.843750	236	0	0	159	220	214	227	0	0	0	0	0	210	467	118	0	0	0	193	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Zfp710	67.812500	330	0	0	0	259	225	0	0	0	0	0	0	313	288	184	0	187	0	157	0	227	0	0	0	0	0	0	0	0	0	0	0	0
2610528J11Rik	67.812500	0	0	0	0	0	0	0	0	0	0	0	0	414	1518	0	0	131	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0
Krcc1	67.781250	441	0	0	0	217	306	242	0	0	0	0	0	251	368	127	0	0	0	0	0	83	0	134	0	0	0	0	0	0	0	0	0	0
Commd1	67.781250	266	166	134	192	208	203	208	0	0	0	0	0	264	192	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0
Zfpl1	67.750000	144	0	0	0	113	141	109	0	0	0	0	0	351	490	382	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr2	67.750000	214	0	104	0	246	234	273	0	0	0	0	0	105	225	168	0	0	0	0	0	108	0	164	168	0	159	0	0	0	0	0	0	0
Cdca5	67.750000	144	0	0	0	113	141	109	0	0	0	0	0	351	490	382	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0
Pigm	67.687500	260	0	215	124	163	241	166	0	0	0	0	0	240	349	274	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Map2k5	67.687500	255	0	165	134	339	217	318	0	0	0	0	0	156	371	81	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
Atg101	67.687500	270	0	144	134	223	328	237	0	0	0	0	0	224	283	218	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0
Thoc3	67.656250	163	0	0	0	119	121	253	0	0	0	0	0	397	340	291	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0
Ipmk	67.656250	136	0	0	0	0	77	117	0	0	0	0	0	185	395	172	0	0	0	0	0	123	0	338	150	0	144	0	0	162	166	0	0	0
Cisd1	67.656250	136	0	0	0	0	77	117	0	0	0	0	0	185	395	172	0	0	0	0	0	123	0	338	150	0	144	0	0	162	166	0	0	0
Yif1b	67.625000	188	0	0	0	206	236	82	0	0	0	0	0	266	451	426	0	84	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0
Snrpe	67.625000	199	0	154	133	187	128	215	0	0	0	0	0	250	398	190	0	0	0	86	0	224	0	0	0	0	0	0	0	0	0	0	0	0
Cers2	67.625000	114	0	0	0	0	91	165	0	0	0	0	0	551	532	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0
Anxa9	67.625000	114	0	0	0	0	91	165	0	0	0	0	0	551	532	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0
Zzz3	67.593750	215	0	201	97	178	191	314	90	0	0	0	0	219	269	192	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0
Zfp668	67.593750	174	0	97	0	134	203	140	0	0	0	0	0	294	319	98	0	0	0	0	0	599	0	0	0	0	0	0	0	0	105	0	0	0
Zfp646	67.593750	174	0	97	0	134	203	140	0	0	0	0	0	294	319	98	0	0	0	0	0	599	0	0	0	0	0	0	0	0	105	0	0	0
Tmem242	67.562500	298	0	174	148	140	120	246	0	0	0	0	0	248	269	87	0	0	0	0	0	148	0	124	86	0	0	0	0	0	0	0	74	0
Trappc8	67.531250	150	0	65	100	100	110	158	0	0	0	0	0	251	261	239	0	0	0	0	0	83	0	103	153	0	156	0	0	0	118	0	114	0
Hint3	67.531250	142	0	0	0	125	179	187	0	0	0	0	0	270	408	261	0	0	0	86	0	214	0	77	0	0	0	0	0	0	102	0	110	0
Bend3	67.500000	209	0	0	132	111	183	169	0	0	0	0	0	145	902	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0
Tomm34	67.468750	110	0	0	0	0	0	104	0	0	0	0	0	165	212	171	0	125	0	0	0	208	0	472	316	0	0	0	0	0	166	0	110	0
Stk4	67.468750	110	0	0	0	0	0	104	0	0	0	0	0	165	212	171	0	125	0	0	0	208	0	472	316	0	0	0	0	0	166	0	110	0
Smim8	67.468750	200	0	142	141	189	142	264	0	0	0	0	0	226	441	169	0	0	0	0	0	114	0	131	0	0	0	0	0	0	0	0	0	0
Zbtb21	67.437500	170	0	84	0	182	126	176	0	0	0	0	0	227	255	150	0	0	0	0	0	257	0	214	0	0	0	0	0	166	151	0	0	0
Styx	67.437500	144	0	0	0	163	134	201	0	0	0	0	0	423	538	194	0	0	0	0	0	269	0	92	0	0	0	0	0	0	0	0	0	0
Pafah2	67.437500	375	0	219	97	266	209	202	0	0	0	0	0	188	272	214	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0
Tm9sf1	67.406250	275	0	0	155	213	299	292	0	0	0	0	0	205	285	103	0	0	0	0	0	255	0	75	0	0	0	0	0	0	0	0	0	0
Timp2	67.375000	256	0	0	0	287	161	106	0	0	0	0	0	178	307	95	0	0	0	0	0	200	0	98	0	0	169	0	0	110	189	0	0	0
Zfp326	67.343750	138	0	0	0	90	98	196	0	0	0	0	0	378	342	155	0	0	0	0	0	395	0	237	0	0	126	0	0	0	0	0	0	0
Trir	67.343750	105	0	0	0	212	161	144	0	0	0	0	0	224	190	148	0	128	0	138	0	187	0	230	0	0	103	0	0	92	0	0	93	0
Get3	67.343750	105	0	0	0	212	161	144	0	0	0	0	0	224	190	148	0	128	0	138	0	187	0	230	0	0	103	0	0	92	0	0	93	0
Gdf1	67.343750	273	0	133	135	278	173	0	0	0	0	0	0	217	490	315	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0
Trp53i13	67.312500	105	0	0	102	92	0	109	0	0	0	0	0	387	424	137	0	0	0	0	0	798	0	0	0	0	0	0	0	0	0	0	0	0
Setx	67.312500	173	0	0	0	103	139	177	0	0	0	0	0	343	616	312	0	109	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0
Rps19bp1	67.312500	336	0	158	0	0	175	204	0	0	0	0	0	408	424	197	0	114	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0
Piezo1	67.312500	189	0	217	175	123	146	232	0	0	0	0	0	144	230	0	0	0	0	0	0	84	0	227	0	0	120	0	0	129	138	0	0	0
Ncoa3	67.312500	118	0	0	0	0	105	139	0	0	0	0	0	235	204	162	0	0	0	86	0	0	0	368	239	0	159	0	0	103	156	0	80	0
Ypel5	67.218750	138	0	0	0	93	96	86	0	0	0	0	0	332	504	168	0	0	0	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0
Nat10	67.218750	117	0	0	0	0	140	120	0	0	0	0	0	214	302	244	0	0	0	0	0	127	0	160	239	0	0	0	0	114	171	0	203	0
Elk4	67.218750	280	0	69	0	254	244	168	0	0	0	0	0	229	293	0	0	0	0	132	0	161	0	99	0	0	0	0	0	0	107	0	115	0
Calcr	67.218750	0	0	0	0	0	0	0	0	0	0	0	0	768	754	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0	0	0	0
Tom1l2	67.187500	151	0	0	0	0	0	121	0	0	0	0	0	497	422	120	0	0	0	0	0	839	0	0	0	0	0	0	0	0	0	0	0	0
Mtdh	67.187500	317	0	0	0	111	237	443	0	0	0	0	0	233	457	96	0	0	0	111	0	145	0	0	0	0	0	0	0	0	0	0	0	0
Map3k2	67.187500	216	0	0	0	93	153	155	0	0	0	0	0	249	350	299	0	0	0	0	0	169	0	136	0	0	110	0	0	98	122	0	0	0
Drc3	67.187500	151	0	0	0	0	0	121	0	0	0	0	0	497	422	120	0	0	0	0	0	839	0	0	0	0	0	0	0	0	0	0	0	0
St3gal4	67.156250	0	0	0	0	0	0	74	0	0	0	0	0	462	344	0	0	293	0	134	0	721	0	0	0	0	121	0	0	0	0	0	0	0
Socs5	67.156250	112	0	0	0	115	110	175	0	0	0	0	0	455	605	184	0	0	0	62	0	331	0	0	0	0	0	0	0	0	0	0	0	0
Pipox	67.125000	0	0	0	0	0	0	0	0	0	0	0	0	247	739	326	0	205	0	361	0	270	0	0	0	0	0	0	0	0	0	0	0	0
Ints4	67.125000	160	117	190	171	116	0	91	0	0	0	0	0	350	234	306	0	122	0	0	0	188	0	103	0	0	0	0	0	0	0	0	0	0
Gja1	67.093750	0	0	0	0	0	0	0	0	0	0	0	0	372	1098	0	107	124	0	109	111	226	0	0	0	0	0	0	0	0	0	0	0	0
Csf1	67.093750	281	0	0	0	224	201	115	0	0	0	0	0	205	191	178	0	0	0	0	0	148	0	97	0	0	0	0	0	145	183	0	179	0
Rb1cc1	67.062500	141	0	0	0	127	158	198	0	0	0	0	0	195	284	108	0	144	0	143	0	135	0	174	120	0	113	0	0	106	0	0	0	0
Zfp980	67.031250	0	0	0	0	0	0	0	0	0	0	0	0	383	1355	0	0	145	0	99	0	163	0	0	0	0	0	0	0	0	0	0	0	0
Snip1	67.031250	86	0	0	0	0	0	0	0	0	0	0	0	204	456	113	0	0	0	108	0	165	0	394	171	0	0	0	0	139	193	0	116	0
Dnali1	67.031250	86	0	0	0	0	0	0	0	0	0	0	0	204	456	113	0	0	0	108	0	165	0	394	171	0	0	0	0	139	193	0	116	0
0610010F05Rik	67.031250	163	0	0	0	123	206	245	0	0	0	0	0	255	359	167	0	0	0	0	0	218	0	244	165	0	0	0	0	0	0	0	0	0
Fads2	67.000000	189	0	0	0	97	0	115	0	0	0	0	0	207	536	154	0	0	0	0	0	189	0	0	0	0	152	0	0	98	253	0	154	0
Setd1b	66.968750	0	0	0	0	0	0	0	0	0	0	0	0	300	997	0	0	119	0	435	0	150	0	142	0	0	0	0	0	0	0	0	0	0
Sdk1	66.968750	0	0	0	0	0	0	0	0	0	0	0	0	457	1131	195	0	0	0	142	0	218	0	0	0	0	0	0	0	0	0	0	0	0
Mapk1	66.968750	239	0	0	0	125	168	209	0	0	0	0	0	248	249	165	0	0	0	0	0	0	0	197	132	0	0	0	0	110	199	0	102	0
Cdc42se2	66.906250	75	0	0	0	77	112	213	0	0	0	0	0	232	390	342	0	151	0	0	0	118	0	143	101	0	79	0	0	0	108	0	0	0
Lmln	66.843750	130	0	0	0	96	141	111	0	0	0	0	0	221	283	161	0	0	0	0	0	188	0	110	135	0	0	0	0	167	176	0	220	0
Gnpnat1	66.843750	233	0	0	0	240	175	367	0	0	0	0	0	198	442	177	0	0	0	0	0	233	0	0	0	0	0	0	0	0	74	0	0	0
Gm13275	66.843750	134	0	161	0	93	91	112	0	0	0	0	0	340	329	208	0	0	0	0	0	183	0	188	0	0	205	0	0	0	0	0	95	0
Ankrd50	66.843750	245	0	0	0	156	138	105	0	0	0	0	0	316	613	105	0	142	0	0	0	227	0	92	0	0	0	0	0	0	0	0	0	0
Anapc10	66.812500	102	0	0	0	99	110	261	0	0	0	0	0	428	304	270	0	0	0	0	0	186	0	101	0	0	0	0	0	92	106	0	79	0
Abce1	66.812500	102	0	0	0	99	110	261	0	0	0	0	0	428	304	270	0	0	0	0	0	186	0	101	0	0	0	0	0	92	106	0	79	0
Zbed4	66.781250	255	0	0	0	173	188	130	0	0	0	0	0	343	487	204	0	0	0	0	0	104	0	117	0	0	136	0	0	0	0	0	0	0
Tomt	66.781250	236	0	0	0	123	214	116	0	0	0	0	0	231	538	260	0	0	0	97	0	146	0	0	0	0	0	0	0	0	87	0	89	0
Sgpp2	66.781250	0	0	0	0	0	0	0	0	0	0	0	0	879	811	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor1	66.781250	236	0	0	0	123	214	116	0	0	0	0	0	231	538	260	0	0	0	97	0	146	0	0	0	0	0	0	0	0	87	0	89	0
Cep120	66.781250	239	0	254	169	147	164	227	0	0	0	0	0	264	262	189	0	0	0	110	0	112	0	0	0	0	0	0	0	0	0	0	0	0
Zfp511	66.750000	387	0	0	104	132	212	142	0	0	0	0	0	224	380	110	0	117	0	78	0	177	0	73	0	0	0	0	0	0	0	0	0	0
Tubgcp2	66.750000	387	0	0	104	132	212	142	0	0	0	0	0	224	380	110	0	117	0	78	0	177	0	73	0	0	0	0	0	0	0	0	0	0
Tmx4	66.750000	159	0	0	0	81	114	197	0	0	0	0	0	222	477	416	0	95	0	154	0	127	0	94	0	0	0	0	0	0	0	0	0	0
Slc39a3	66.750000	97	0	0	0	0	142	80	0	0	0	0	0	484	642	88	0	201	0	110	0	292	0	0	0	0	0	0	0	0	0	0	0	0
Rnaset2a	66.750000	144	0	0	0	0	0	142	0	0	0	0	0	388	315	274	0	141	0	171	0	235	0	191	0	0	135	0	0	0	0	0	0	0
Arhgef18	66.750000	0	0	0	0	0	0	0	0	0	0	0	0	420	887	0	0	178	0	95	0	200	0	125	0	0	0	0	0	0	129	0	102	0
Ap1ar	66.750000	185	0	130	115	169	157	179	0	0	0	0	0	238	308	201	0	0	0	0	0	210	0	154	0	0	90	0	0	0	0	0	0	0
Vamp3	66.687500	379	0	125	0	177	202	247	0	0	0	0	0	268	330	309	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0
Unc13a	66.687500	399	0	0	0	263	255	92	0	0	0	0	0	193	302	213	0	0	0	151	0	266	0	0	0	0	0	0	0	0	0	0	0	0
Jak3	66.687500	399	0	0	0	263	255	92	0	0	0	0	0	193	302	213	0	0	0	151	0	266	0	0	0	0	0	0	0	0	0	0	0	0
Ptprs	66.625000	65	0	0	0	0	0	0	0	0	0	0	0	514	656	206	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	0	0	0
Endov	66.625000	268	0	180	123	184	197	226	0	0	0	0	0	214	218	223	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0
Brap	66.593750	79	0	0	0	94	197	136	0	0	0	0	0	220	480	244	0	80	0	0	0	96	0	157	0	0	118	0	0	94	136	0	0	0
Acad10	66.593750	79	0	0	0	94	197	136	0	0	0	0	0	220	480	244	0	80	0	0	0	96	0	157	0	0	118	0	0	94	136	0	0	0
Adss	66.562500	164	0	0	0	0	0	200	0	0	0	0	0	271	463	614	0	0	0	140	0	172	0	106	0	0	0	0	0	0	0	0	0	0
Dppa5a	66.531250	0	0	0	0	0	0	0	0	0	0	0	0	108	1011	0	122	335	0	250	0	303	0	0	0	0	0	0	0	0	0	0	0	0
Foxi1	66.500000	761	0	0	0	633	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eno1	66.500000	144	0	0	0	0	110	105	0	0	0	0	0	152	531	210	0	145	0	260	0	160	0	0	0	0	0	0	0	129	98	0	84	0
Wnt9b	66.468750	0	0	0	0	0	0	0	0	0	0	0	0	669	668	0	0	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0
Nr6a1	66.468750	0	0	0	0	0	96	102	0	0	0	0	0	430	530	201	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0
Mrps15	66.468750	237	94	112	0	264	173	239	0	0	0	0	0	288	260	150	0	0	0	218	0	92	0	0	0	0	0	0	0	0	0	0	0	0
Cox18	66.437500	140	0	86	0	137	117	235	0	0	0	0	0	407	257	355	0	0	0	0	0	180	0	77	0	0	0	0	0	0	135	0	0	0
Trappc5	66.406250	155	0	183	124	0	105	114	0	0	0	0	0	408	416	133	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0
Pcbp1	66.406250	193	0	77	0	122	141	130	0	0	0	0	0	294	478	184	0	0	0	93	0	248	0	0	0	0	0	0	0	0	165	0	0	0
Fcor	66.406250	155	0	183	124	0	105	114	0	0	0	0	0	408	416	133	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0
Trmo	66.375000	206	0	200	0	0	112	174	0	0	0	0	0	259	231	0	0	0	0	0	0	138	0	211	158	0	169	0	0	0	145	0	121	0
Mrpl45	66.375000	111	0	0	0	0	79	137	0	0	0	0	0	391	334	573	0	0	0	127	0	212	0	0	0	0	160	0	0	0	0	0	0	0
Cntrl	66.375000	182	0	0	0	181	116	156	0	0	0	0	0	351	387	145	0	0	0	0	0	538	0	0	0	0	0	0	0	0	68	0	0	0
Ciz1	66.375000	241	0	169	232	148	175	257	0	0	0	0	0	199	242	191	0	0	0	0	0	104	0	0	0	0	0	0	0	0	60	0	106	0
Tagln2	66.343750	375	0	0	0	275	249	79	0	0	0	0	0	171	169	96	0	0	0	191	0	301	0	217	0	0	0	0	0	0	0	0	0	0
Ptp4a2	66.343750	145	0	0	0	109	160	95	0	0	0	0	0	326	598	182	0	154	0	163	0	191	0	0	0	0	0	0	0	0	0	0	0	0
Arl8b	66.343750	250	0	0	0	187	250	264	0	0	0	0	0	228	442	228	0	0	0	77	0	113	0	0	0	0	0	0	0	0	84	0	0	0
Ywhab	66.312500	421	0	0	0	269	274	231	0	0	0	0	0	274	246	97	0	0	0	119	0	191	0	0	0	0	0	0	0	0	0	0	0	0
Taok1	66.312500	97	0	0	0	0	102	128	0	0	0	0	0	218	302	203	0	0	0	130	0	177	0	115	0	0	219	0	0	117	176	0	138	0
Mybl2	66.312500	116	0	0	0	106	0	133	0	0	0	0	0	161	231	526	175	209	0	167	176	122	0	0	0	0	0	0	0	0	0	0	0	0
Glis3	66.312500	0	0	0	0	0	0	0	0	0	0	0	0	585	562	0	0	0	0	0	0	892	0	83	0	0	0	0	0	0	0	0	0	0
Fitm2	66.312500	195	0	0	116	115	139	134	0	0	0	0	0	304	450	291	0	0	0	112	0	266	0	0	0	0	0	0	0	0	0	0	0	0
Btaf1	66.312500	150	0	0	0	100	157	161	0	0	0	0	0	269	430	161	0	0	0	0	0	134	0	145	145	0	0	0	0	135	135	0	0	0
Zfp637	66.281250	242	0	0	0	95	195	143	0	0	0	0	0	441	453	175	0	0	0	0	0	269	0	108	0	0	0	0	0	0	0	0	0	0
Rcor3	66.281250	216	0	0	0	157	127	213	0	0	0	0	0	331	502	92	0	0	0	0	0	296	0	99	0	0	88	0	0	0	0	0	0	0
Kcnq4	66.281250	0	0	0	0	0	0	0	0	0	0	0	0	506	632	0	0	0	0	0	0	983	0	0	0	0	0	0	0	0	0	0	0	0
Btbd11	66.281250	236	145	220	157	305	238	112	0	0	0	0	0	187	249	192	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0
Tmem267	66.250000	336	0	247	116	262	297	246	108	0	0	0	0	134	240	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Rbm22	66.250000	121	0	113	95	105	0	190	0	0	0	0	0	127	192	271	0	0	0	88	0	120	0	129	84	0	0	0	0	91	159	76	159	0
Hps5	66.250000	134	0	119	0	131	176	204	0	0	0	0	0	373	403	126	0	0	0	86	0	368	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2h1	66.250000	134	0	119	0	131	176	204	0	0	0	0	0	373	403	126	0	0	0	86	0	368	0	0	0	0	0	0	0	0	0	0	0	0
Hs6st1	66.218750	139	0	0	0	90	143	116	0	0	0	0	0	281	556	119	0	262	0	286	0	127	0	0	0	0	0	0	0	0	0	0	0	0
Polr2h	66.156250	118	0	109	0	0	129	124	0	0	0	0	0	462	588	135	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0
Clcn2	66.156250	118	0	109	0	0	129	124	0	0	0	0	0	462	588	135	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0
Spry2	66.125000	0	115	154	145	151	0	0	0	0	0	0	0	254	860	0	0	0	0	130	0	307	0	0	0	0	0	0	0	0	0	0	0	0
Pex3	66.125000	332	0	182	155	232	260	222	0	0	0	0	0	164	324	154	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0
Ercc6l2	66.125000	195	0	172	0	0	167	319	0	0	0	0	0	237	313	122	0	0	0	0	0	222	0	143	0	0	0	0	0	104	122	0	0	0
Adat2	66.125000	332	0	182	155	232	260	222	0	0	0	0	0	164	324	154	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0
Myo5a	66.093750	127	0	0	0	123	131	238	0	0	0	0	0	266	416	88	0	0	0	0	0	254	0	101	0	0	79	0	0	114	178	0	0	0
Apba1	66.093750	201	0	164	148	137	142	375	0	0	0	0	0	173	384	140	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0
Akr1b3	66.093750	110	0	0	0	0	0	152	0	0	0	0	0	286	464	145	0	0	0	0	0	737	0	115	0	0	0	0	0	0	106	0	0	0
Ajuba	66.093750	113	0	113	0	0	110	0	0	0	0	0	0	251	685	93	0	0	0	404	0	277	0	0	0	0	0	0	0	0	0	0	69	0
2210016L21Rik	66.093750	521	0	0	0	713	485	0	0	0	0	0	0	0	116	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabggta	66.062500	265	0	177	131	173	242	176	0	0	0	0	0	223	257	107	0	0	0	141	0	66	0	156	0	0	0	0	0	0	0	0	0	0
Gga2	66.062500	142	0	134	88	74	93	171	0	0	0	0	0	236	411	160	0	0	0	0	0	452	0	153	0	0	0	0	0	0	0	0	0	0
Atp2c1	66.062500	194	0	0	0	135	232	200	0	0	0	0	0	205	448	110	0	0	0	123	0	236	0	120	0	0	0	0	0	0	111	0	0	0
Rnf2	66.031250	0	0	0	0	93	126	174	0	0	0	0	0	365	461	170	0	121	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0
Ell	66.031250	81	0	0	0	0	0	0	0	0	0	0	0	610	600	219	0	0	0	0	0	373	0	0	0	0	0	0	0	0	107	0	123	0
Serp1	66.000000	175	0	0	0	126	184	315	0	0	0	0	0	263	476	221	0	0	0	83	0	172	0	0	0	0	0	0	0	0	97	0	0	0
Faah	66.000000	149	121	216	132	172	195	128	0	0	0	0	0	250	415	198	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0
Eif2a	66.000000	175	0	0	0	126	184	315	0	0	0	0	0	263	476	221	0	0	0	83	0	172	0	0	0	0	0	0	0	0	97	0	0	0
Cln5	66.000000	148	0	0	0	108	205	200	0	0	0	0	0	307	526	224	0	0	0	0	0	166	0	114	0	0	0	0	0	0	114	0	0	0
Slc25a29	65.968750	105	0	0	0	93	0	86	0	0	0	0	0	482	546	162	0	0	0	0	0	370	0	0	0	0	0	0	0	97	91	0	79	0
Mapkapk5	65.968750	226	98	162	171	198	196	140	0	0	0	0	0	224	321	235	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0
