Target_genes	FOXO1|Average	SRX1012536|B_cells	SRX1012537|B_cells	SRX7587157|Chondrocytes	SRX7587158|Chondrocytes	SRX7587159|Chondrocytes	SRX1048948|Endometrial_stromal_cells	SRX10475880|Hep_G2	SRX10475881|Hep_G2	SRX3230384|Hep_G2	SRX5548891|HUVEC	SRX5548892|HUVEC	SRX359830|LoVo	SRX9674621|Myoblasts	SRX9674623|Myoblasts	SRX9674625|Myoblasts	SRX5771936|OCI-LY1	SRX1735651|Pre-leukemia_stem_cells	SRX9674615|RH-30	SRX9674611|Rh-4	SRX9674613|Rh-4	SRX9674619|SMS-CTR	SRX7570799|SU-DHL-4	SRX7570800|SU-DHL-4	SRX7570801|SU-DHL-4	SRX9674617|Unclassified	STRING
DYNC2H1	77.720000	0	0	0	0	0	177	176	68	0	0	186	0	0	153	0	0	1183	0	0	0	0	0	0	0	0	0
KIF17	77.680000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1942	0	0	0	0	0	0	0	0	0
CLPX	77.680000	0	0	0	0	0	86	156	167	0	0	217	0	0	201	0	0	0	0	0	0	0	398	425	292	0	0
PDZK1IP1	77.640000	0	0	0	0	0	90	522	949	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPZL3	77.640000	0	0	0	0	0	0	263	217	0	0	145	0	0	0	0	0	411	0	0	0	0	340	354	211	0	0
ZBED5	77.600000	0	0	0	0	0	0	135	148	0	0	143	0	0	146	114	0	1254	0	0	0	0	0	0	0	0	0
MCUR1	77.600000	0	0	0	0	0	0	281	374	0	0	144	0	0	0	0	0	658	0	0	0	0	139	200	144	0	0
NFKBID	77.560000	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	1727	0	0	0	0	0	0	119	0	0
HCST	77.560000	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	1727	0	0	0	0	0	0	119	0	0
BMI1	77.560000	215	106	0	0	0	0	163	143	0	0	143	0	0	291	0	0	191	0	0	0	0	221	315	151	0	0
SLC25A19	77.520000	0	0	0	0	0	343	119	162	0	0	227	0	0	99	0	0	148	0	0	0	0	320	239	281	0	0
ADGRG5	77.520000	208	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1628	0	0	0	0	0	0	0	0	0
MAP7D1	77.480000	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	1873	0	0	0	0	0	0	0	0	0
ARL6IP1	77.480000	0	0	0	0	0	0	427	302	92	0	145	0	0	114	0	0	857	0	0	0	0	0	0	0	0	0
CCT8	77.440000	0	0	0	0	0	0	167	147	0	0	139	0	0	527	263	0	508	0	185	0	0	0	0	0	0	0
SAXO1	77.400000	0	0	0	0	0	0	168	183	0	0	224	0	0	276	103	0	981	0	0	0	0	0	0	0	0	0
RRAGA	77.400000	0	0	0	0	0	0	168	183	0	0	224	0	0	276	103	0	981	0	0	0	0	0	0	0	0	0
CAMP	77.400000	127	0	0	0	0	0	0	0	0	0	0	0	0	489	505	0	814	0	0	0	0	0	0	0	0	0
AP5Z1	77.400000	0	0	0	0	0	118	111	169	0	0	176	0	0	124	0	0	0	0	0	0	0	297	446	494	0	0
SERPINI1	77.360000	0	0	0	0	0	0	218	101	0	0	224	0	0	123	65	0	299	0	0	0	0	288	317	299	0	0
PDCD10	77.360000	0	0	0	0	0	0	218	101	0	0	224	0	0	123	65	0	299	0	0	0	0	288	317	299	0	0
IGFBP1	77.320000	0	0	0	0	0	0	437	725	627	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPATA20	77.280000	0	0	0	0	0	0	78	133	92	0	0	0	0	256	0	0	729	0	226	307	0	0	0	111	0	0
NEK3	77.280000	0	0	0	0	0	0	74	82	146	0	126	0	0	0	0	0	1504	0	0	0	0	0	0	0	0	0
ADD1	77.280000	0	0	0	0	0	0	101	0	0	0	0	0	0	385	213	0	1233	0	0	0	0	0	0	0	0	0
TOMM40L	77.240000	0	0	0	0	0	0	467	752	477	0	0	0	0	0	0	0	94	0	0	0	0	0	141	0	0	0
APOA2	77.240000	0	0	0	0	0	0	467	752	477	0	0	0	0	0	0	0	94	0	0	0	0	0	141	0	0	0
TTC39A	77.200000	0	0	0	0	0	0	115	0	0	0	0	0	0	125	0	0	1690	0	0	0	0	0	0	0	0	0
ZSCAN21	77.160000	0	0	0	0	0	0	94	98	324	0	0	0	0	201	0	0	1212	0	0	0	0	0	0	0	0	0
ZNF585A	77.160000	0	0	0	0	0	306	289	405	0	0	414	0	0	0	0	0	0	0	0	0	0	255	0	260	0	0
TMEM248	77.160000	0	0	0	0	0	0	225	182	0	0	241	0	0	101	0	0	688	0	0	0	0	130	196	166	0	0
TMCC2	77.160000	0	0	0	0	0	0	138	0	0	0	0	0	0	179	95	0	598	0	0	0	0	470	449	0	0	0
PURB	77.160000	0	0	0	0	0	91	143	119	0	0	90	0	0	291	0	0	1042	0	153	0	0	0	0	0	0	0
STOML2	77.120000	0	0	0	0	0	170	196	179	629	0	158	0	0	266	153	0	177	0	0	0	0	0	0	0	0	0
MTG1	77.120000	152	0	0	0	0	0	173	200	0	0	139	0	0	175	103	0	911	0	0	0	0	75	0	0	0	0
UGGT2	77.080000	0	0	0	0	0	0	219	110	0	0	146	0	0	149	0	0	1303	0	0	0	0	0	0	0	0	0
SNX20	77.080000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1927	0	0	0	0	0	0	0	0	0
DDX27	77.080000	0	0	0	0	0	0	235	229	93	0	113	0	0	585	191	0	0	0	221	0	0	113	147	0	0	0
CMTM6	77.080000	0	0	0	0	0	170	156	0	0	0	196	0	0	125	0	0	617	0	0	0	0	234	317	112	0	0
ADNP	77.080000	0	0	0	0	0	211	307	183	0	0	164	0	0	227	260	0	414	0	161	0	0	0	0	0	0	0
RNPEPL1	77.040000	0	0	0	0	0	0	0	0	0	0	0	0	0	184	211	0	1353	0	178	0	0	0	0	0	0	0
PEAK1	77.040000	0	0	0	0	0	0	145	0	0	0	253	0	0	351	0	0	1177	0	0	0	0	0	0	0	0	0
HMG20A	77.040000	0	0	0	0	0	0	145	0	0	0	253	0	0	351	0	0	1177	0	0	0	0	0	0	0	0	0
EIF3C	77.040000	0	0	0	0	0	131	225	147	0	0	118	0	0	95	0	0	1136	0	74	0	0	0	0	0	0	0
RAD23B	77.000000	0	0	0	0	0	148	283	147	141	0	204	0	0	117	0	0	817	0	68	0	0	0	0	0	0	0
CDPF1	76.960000	0	0	0	0	0	0	129	123	0	0	82	0	0	261	0	0	1329	0	0	0	0	0	0	0	0	0
USF3	76.920000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1923	0	0	0	0	0	0	0	0	0
PPIL3	76.920000	0	0	0	0	0	0	179	124	0	0	72	0	0	0	0	0	805	0	0	0	0	306	282	155	0	0
NIF3L1	76.920000	0	0	0	0	0	0	179	124	0	0	72	0	0	0	0	0	805	0	0	0	0	306	282	155	0	0
KIAA1586	76.920000	0	0	0	0	0	0	292	224	0	0	168	0	0	0	0	0	1239	0	0	0	0	0	0	0	0	0
METTL21A	76.840000	0	0	0	0	0	0	96	245	0	0	159	0	0	181	0	0	1025	0	0	0	0	0	112	103	0	0
GOLGA1	76.840000	0	0	0	0	0	0	255	183	0	0	194	0	0	221	91	0	172	0	0	0	0	394	310	101	0	0
TSKS	76.800000	0	0	0	0	0	113	165	152	0	0	130	0	0	536	0	0	0	0	201	0	0	223	175	225	0	0
AP2A1	76.800000	0	0	0	0	0	113	165	152	0	0	130	0	0	536	0	0	0	0	201	0	0	223	175	225	0	0
NR1H3	76.760000	0	0	0	0	0	240	321	337	0	0	116	0	0	311	0	0	594	0	0	0	0	0	0	0	0	0
ATG4C	76.760000	0	0	0	0	0	121	162	129	0	0	107	0	0	163	84	0	1050	0	103	0	0	0	0	0	0	0
TOR1A	76.720000	0	0	0	0	0	159	244	346	0	0	270	0	0	84	0	0	411	0	86	0	0	150	168	0	0	0
PTPRN2	76.720000	0	0	0	0	0	0	405	999	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIFC3	76.720000	0	0	0	0	0	133	432	598	306	0	0	0	0	0	0	0	449	0	0	0	0	0	0	0	0	0
DDHD1	76.720000	0	0	0	0	0	0	0	0	0	0	79	0	0	159	0	0	1484	0	0	0	0	107	0	89	0	0
MTHFS	76.680000	0	0	0	0	0	587	176	114	110	0	130	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0
ABRAXAS1	76.600000	0	0	0	0	0	99	246	173	0	0	298	0	0	0	0	0	1099	0	0	0	0	0	0	0	0	0
SOWAHD	76.560000	117	0	0	0	0	0	0	90	0	0	0	0	0	131	0	0	307	0	0	0	0	574	449	246	0	0
CLEC10A	76.480000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1912	0	0	0	0	0	0	0	0	0
ZNRD2	76.440000	0	0	0	0	0	111	236	216	0	0	139	0	0	0	0	0	1209	0	0	0	0	0	0	0	0	0
TAB2	76.440000	0	0	0	0	0	0	206	143	0	0	175	0	0	0	0	0	1387	0	0	0	0	0	0	0	0	0
HMGN2	76.440000	0	0	0	0	0	0	208	166	0	0	322	0	0	0	0	0	292	0	0	0	0	366	351	206	0	0
HESX1	76.440000	0	0	0	0	0	0	131	143	0	0	157	0	0	274	0	0	1206	0	0	0	0	0	0	0	0	0
FAM89B	76.440000	0	0	0	0	0	111	236	216	0	0	139	0	0	0	0	0	1209	0	0	0	0	0	0	0	0	0
COMMD3-BMI1	76.440000	215	106	0	0	0	0	163	143	0	0	143	0	0	291	0	0	163	0	0	0	0	221	315	151	0	0
COMMD3	76.440000	215	106	0	0	0	0	163	143	0	0	143	0	0	291	0	0	163	0	0	0	0	221	315	151	0	0
APPL1	76.440000	0	0	0	0	0	0	131	143	0	0	157	0	0	274	0	0	1206	0	0	0	0	0	0	0	0	0
MRTFA	76.400000	0	0	0	0	0	128	105	98	0	0	152	0	0	127	0	0	1300	0	0	0	0	0	0	0	0	0
KMT2C	76.400000	0	0	0	0	0	0	233	184	0	0	112	0	0	122	0	0	1259	0	0	0	0	0	0	0	0	0
BORCS7	76.400000	0	0	0	0	0	0	240	431	134	0	112	0	0	405	146	0	442	0	0	0	0	0	0	0	0	0
TSPAN5	76.360000	0	0	0	0	0	0	0	0	0	0	0	0	0	301	160	0	1448	0	0	0	0	0	0	0	0	0
PRMT9	76.360000	0	0	0	0	0	207	191	192	0	0	241	0	0	371	142	0	565	0	0	0	0	0	0	0	0	0
OSBPL8	76.360000	0	0	0	0	0	0	378	306	0	0	124	0	0	163	0	0	938	0	0	0	0	0	0	0	0	0
CCR6	76.360000	376	185	0	0	0	0	0	249	134	0	0	0	0	0	0	0	0	0	0	0	0	328	354	283	0	0
IGF1R	76.320000	0	0	0	0	0	171	111	236	0	0	133	0	0	129	0	0	313	0	0	0	0	445	175	195	0	0
FASTKD1	76.320000	0	0	0	0	0	169	274	262	162	0	109	0	0	269	0	0	0	0	116	0	0	176	181	190	0	0
SLC35D1	76.280000	0	0	0	0	0	0	167	157	0	0	115	0	0	141	0	0	495	0	0	0	0	310	335	187	0	0
SEPTIN2	76.280000	0	0	0	0	0	0	157	123	813	0	121	0	0	116	0	0	577	0	0	0	0	0	0	0	0	0
SBF2	76.280000	0	0	0	0	0	372	104	245	0	0	212	0	0	287	180	0	288	0	219	0	0	0	0	0	0	0
MFSD14C	76.280000	0	0	0	0	0	0	122	88	0	0	144	0	0	439	254	0	860	0	0	0	0	0	0	0	0	0
HDLBP	76.280000	0	0	0	0	0	0	157	123	813	0	121	0	0	116	0	0	577	0	0	0	0	0	0	0	0	0
ACE	76.280000	0	0	0	0	0	0	113	0	0	0	0	0	0	550	404	0	555	285	0	0	0	0	0	0	0	0
USP18	76.240000	0	0	0	0	0	0	529	610	215	0	0	0	0	226	137	0	189	0	0	0	0	0	0	0	0	0
RAB17	76.240000	0	0	0	0	0	0	151	486	134	0	0	0	0	420	252	0	119	156	188	0	0	0	0	0	0	0
PPP1CB	76.240000	0	0	0	0	0	0	191	183	0	0	99	0	0	182	0	0	1137	0	0	0	0	0	114	0	0	0
PTPDC1	76.200000	0	0	0	0	0	0	161	113	0	0	186	0	0	487	207	0	411	0	106	234	0	0	0	0	0	0
PTAR1	76.200000	0	0	0	0	0	0	0	114	0	0	242	0	0	0	0	0	525	0	139	0	0	330	269	286	0	0
LCP2	76.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	313	683	507	0	0
ZFAND2A	76.160000	0	0	0	0	0	0	411	594	576	0	88	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0
ALOX5AP	76.160000	113	0	0	0	0	217	0	0	0	0	262	0	0	96	0	0	877	0	167	0	0	92	80	0	0	0
SAYSD1	76.120000	0	0	0	0	0	0	236	131	0	0	177	0	0	0	0	0	1359	0	0	0	0	0	0	0	0	0
R3HCC1	76.120000	0	0	0	0	0	175	367	333	793	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD17B1	76.120000	0	0	0	0	0	93	207	149	0	0	102	0	0	225	0	0	1127	0	0	0	0	0	0	0	0	0
DYNC1LI2	76.120000	0	0	0	0	0	0	173	92	0	0	104	0	0	410	196	0	740	0	188	0	0	0	0	0	0	0
GPAT3	76.080000	0	0	0	0	0	269	0	122	0	0	103	0	0	0	0	0	1408	0	0	0	0	0	0	0	0	0
CXCR3	76.080000	0	0	0	0	0	0	0	0	0	0	0	0	0	331	169	0	1402	0	0	0	0	0	0	0	0	0
SUSD6	76.000000	167	0	0	0	0	115	0	0	0	0	0	0	0	225	0	0	1393	0	0	0	0	0	0	0	0	0
SLTM	76.000000	0	0	0	0	0	0	290	134	0	0	218	0	0	259	161	0	751	0	87	0	0	0	0	0	0	0
MFF	76.000000	0	0	0	0	0	0	433	339	0	0	360	0	0	162	0	0	606	0	0	0	0	0	0	0	0	0
HSPA9	76.000000	0	0	0	0	0	84	151	187	0	0	304	0	0	142	0	0	289	0	0	0	0	337	266	140	0	0
CXXC1	76.000000	0	0	0	0	0	121	166	102	0	0	118	0	0	220	0	0	914	0	0	0	0	106	90	63	0	0
CCDC200	76.000000	0	0	0	0	0	212	391	0	185	0	183	0	0	0	0	0	186	0	201	0	0	165	218	159	0	0
BIN2	76.000000	0	0	0	0	0	69	0	0	0	0	0	0	0	66	0	0	1765	0	0	0	0	0	0	0	0	0
TMEM267	75.960000	0	0	0	0	0	0	119	110	545	0	142	0	0	379	121	0	362	0	121	0	0	0	0	0	0	0
LMO2	75.960000	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1717	0	0	0	0	0	0	0	0	0
DSE	75.960000	0	0	0	0	0	74	143	140	124	0	99	0	0	220	189	0	910	0	0	0	0	0	0	0	0	0
CENPT	75.960000	0	0	0	0	0	0	90	142	0	0	319	0	0	176	0	0	1172	0	0	0	0	0	0	0	0	0
ALG10	75.880000	0	0	0	0	0	209	318	288	165	0	288	0	0	315	88	0	0	143	0	0	0	0	83	0	0	0
ABCA5	75.880000	0	0	0	0	0	0	236	289	0	0	335	0	0	0	0	0	531	0	0	0	0	218	130	158	0	0
SDHAF1	75.840000	0	0	0	0	0	222	105	92	0	0	100	0	0	254	0	0	1029	0	94	0	0	0	0	0	0	0
RCN3	75.840000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1896	0	0	0	0	0	0	0	0	0
NADK2	75.800000	0	0	0	0	0	0	130	181	279	0	191	0	0	218	0	0	669	0	0	0	0	90	137	0	0	0
CORO7	75.800000	124	0	0	0	0	0	0	0	0	0	76	0	0	417	217	0	346	148	301	0	0	147	119	0	0	0
AURKAIP1	75.800000	0	0	0	0	0	269	213	288	107	0	146	0	0	261	139	0	154	72	90	156	0	0	0	0	0	0
DENND6A	75.720000	0	0	0	0	0	118	174	199	0	0	118	0	0	173	0	0	1111	0	0	0	0	0	0	0	0	0
TOLLIP	75.640000	0	0	0	0	0	0	126	229	0	0	82	0	0	0	0	0	1454	0	0	0	0	0	0	0	0	0
PRKACB	75.600000	0	0	0	0	0	379	164	77	0	0	141	0	0	0	98	0	706	0	0	0	0	121	136	68	0	0
ERCC6L2	75.600000	0	0	0	0	0	101	388	310	0	0	212	0	0	184	69	0	335	0	0	0	0	177	114	0	0	0
MLLT11	75.560000	0	0	0	0	0	0	117	172	0	0	128	0	0	130	0	0	1342	0	0	0	0	0	0	0	0	0
CDC42SE1	75.560000	0	0	0	0	0	0	117	172	0	0	128	0	0	130	0	0	1342	0	0	0	0	0	0	0	0	0
BNIP3	75.560000	0	0	0	0	0	0	145	91	0	0	175	0	0	0	0	0	1478	0	0	0	0	0	0	0	0	0
TRMT112	75.520000	0	0	0	0	0	0	102	110	0	0	135	0	0	0	0	0	1541	0	0	0	0	0	0	0	0	0
TMEM59	75.520000	0	0	0	0	0	107	135	175	0	0	307	0	0	0	0	0	0	0	0	0	0	345	409	410	0	0
PRDX5	75.520000	0	0	0	0	0	0	102	110	0	0	135	0	0	0	0	0	1541	0	0	0	0	0	0	0	0	0
C3orf86	75.520000	0	0	0	0	0	0	158	332	199	0	0	0	0	0	0	0	1199	0	0	0	0	0	0	0	0	0
C16orf70	75.520000	0	0	0	0	0	0	285	571	439	0	122	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0
SCAMP2	75.480000	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	1789	0	0	0	0	0	0	0	0	0
SAV1	75.440000	0	0	0	0	0	85	175	229	0	0	311	0	0	153	69	0	864	0	0	0	0	0	0	0	0	0
GGCX	75.440000	106	0	0	0	0	0	171	246	0	0	243	0	0	83	0	0	225	0	0	0	0	202	358	252	0	0
CARM1	75.440000	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	195	0	0	0	0	498	441	445	0	0
BPNT1	75.440000	151	0	0	0	0	0	101	134	0	0	99	0	0	394	177	0	420	0	0	0	0	190	220	0	0	0
PSMD6	75.360000	0	0	0	0	0	142	237	283	248	0	389	0	0	0	159	0	186	0	121	119	0	0	0	0	0	0
STARD13	75.320000	0	0	0	0	0	306	120	254	109	0	133	0	0	637	324	0	0	0	0	0	0	0	0	0	0	0
PRAG1	75.320000	0	0	0	0	0	193	114	147	0	0	131	0	0	0	119	0	426	0	0	0	0	285	230	238	0	0
PPP1R35	75.320000	0	0	0	0	0	0	127	97	0	0	158	0	0	81	0	0	276	0	0	0	0	386	372	386	0	0
ADAMTS4	75.320000	0	0	0	0	0	83	185	189	0	0	117	0	0	0	0	0	1036	0	0	0	0	0	171	102	0	0
THOC5	75.240000	0	0	0	0	0	170	174	317	766	0	266	0	0	106	0	0	0	0	0	0	0	0	82	0	0	0
MIB1	75.240000	0	0	0	0	0	0	137	128	0	0	106	0	0	414	265	0	831	0	0	0	0	0	0	0	0	0
PEX7	75.200000	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	1741	0	0	0	0	0	0	0	0	0
FAM193A	75.200000	0	0	0	0	0	0	0	0	0	0	132	0	0	150	0	0	1506	0	0	0	0	0	0	92	0	0
PLEKHA4	75.160000	0	0	0	0	0	0	0	117	0	0	110	0	0	78	0	0	0	0	0	0	0	527	570	477	0	0
PHACTR2	75.160000	0	0	0	0	0	0	222	106	0	0	244	0	0	329	212	0	549	0	117	100	0	0	0	0	0	0
SULF2	75.120000	0	0	0	0	0	232	93	101	0	0	143	0	0	495	271	0	0	0	344	199	0	0	0	0	0	0
SPATA9	75.120000	0	0	0	0	0	0	153	152	0	0	170	0	0	157	0	0	1104	0	142	0	0	0	0	0	0	0
RHOBTB3	75.120000	0	0	0	0	0	0	153	152	0	0	170	0	0	157	0	0	1104	0	142	0	0	0	0	0	0	0
ELFN2	75.120000	0	0	0	0	0	322	0	0	0	0	0	0	0	794	492	0	0	270	0	0	0	0	0	0	0	0
CRH	75.120000	0	0	0	0	0	0	345	300	0	0	140	0	0	320	210	0	563	0	0	0	0	0	0	0	0	0
WIPI1	75.080000	0	0	0	0	0	204	271	320	0	0	120	0	0	155	81	0	183	0	0	0	0	184	233	126	0	0
RAP2B	75.080000	0	0	0	0	0	0	158	194	0	0	158	0	0	337	188	0	551	0	0	0	0	107	89	95	0	0
EPB41L2	75.040000	0	0	0	0	0	520	164	405	179	0	176	0	0	202	121	0	109	0	0	0	0	0	0	0	0	0
YLPM1	75.000000	0	0	0	0	0	202	122	94	1301	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBX1	75.000000	0	0	0	0	0	443	125	0	0	0	159	0	0	356	191	0	492	0	109	0	0	0	0	0	0	0
DUSP12	75.000000	0	0	0	0	0	240	137	152	776	0	224	0	0	70	0	0	276	0	0	0	0	0	0	0	0	0
TDG	74.960000	0	0	0	0	0	0	126	113	463	0	88	0	0	0	0	0	877	0	0	0	0	207	0	0	0	0
ZMYND8	74.920000	0	0	0	0	0	213	161	509	165	0	117	0	0	319	0	0	0	0	0	0	0	155	234	0	0	0
MAT2A	74.920000	0	0	0	0	0	0	400	268	0	0	108	0	0	249	0	0	848	0	0	0	0	0	0	0	0	0
DDIT4	74.920000	0	0	0	0	0	193	246	179	0	0	86	0	0	181	172	0	168	0	0	0	0	302	180	166	0	0
CD109	74.920000	0	0	0	0	0	167	156	168	0	0	257	0	0	83	0	0	1042	0	0	0	0	0	0	0	0	0
CBWD5	74.920000	0	0	0	0	0	0	302	282	0	0	181	0	0	168	137	0	462	0	213	128	0	0	0	0	0	0
SUPT3H	74.880000	0	0	0	0	0	0	220	207	0	0	89	0	0	127	85	0	1144	0	0	0	0	0	0	0	0	0
PURA	74.880000	0	0	0	0	0	0	162	193	0	0	212	0	0	0	0	0	1305	0	0	0	0	0	0	0	0	0
PGBD2	74.880000	0	0	0	0	0	108	254	157	599	0	401	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0
GTF3C2	74.880000	96	0	0	0	0	108	205	206	0	0	160	0	0	0	0	0	133	0	0	0	0	305	336	323	0	0
AKAP1	74.880000	0	0	0	0	0	0	141	314	0	0	260	0	0	435	216	0	374	0	132	0	0	0	0	0	0	0
CASTOR2	74.840000	0	0	0	0	0	144	154	146	94	0	232	0	0	0	0	0	0	0	0	0	0	498	343	260	0	0
RPL15	74.760000	0	0	0	0	0	0	156	171	112	0	221	0	0	366	353	0	490	0	0	0	0	0	0	0	0	0
PLAU	74.760000	0	0	0	0	0	143	0	0	0	0	86	0	0	751	347	0	252	0	162	128	0	0	0	0	0	0
CUEDC2	74.760000	0	0	0	0	0	184	96	106	492	0	158	0	0	326	119	0	388	0	0	0	0	0	0	0	0	0
CAT	74.760000	0	0	0	0	0	67	82	219	0	0	122	0	0	365	166	0	400	0	0	0	0	173	153	122	0	0
CAPN11	74.760000	0	0	0	0	0	0	452	808	427	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYTL1	74.720000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1868	0	0	0	0	0	0	0	0	0
STK39	74.720000	0	0	0	0	0	0	81	110	0	0	136	0	0	0	96	0	608	0	536	301	0	0	0	0	0	0
ZNF235	74.680000	0	0	0	0	0	0	146	98	0	0	181	0	0	597	418	0	113	138	176	0	0	0	0	0	0	0
TTF2	74.680000	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	686	342	0	0
MAP4K5	74.680000	0	0	0	0	0	0	260	275	0	0	155	0	0	143	0	0	722	0	98	60	0	154	0	0	0	0
SNRPD2	74.640000	0	0	0	0	0	0	116	0	0	0	104	0	0	138	0	0	1097	0	0	0	0	151	158	102	0	0
QPCTL	74.640000	0	0	0	0	0	0	116	0	0	0	104	0	0	138	0	0	1097	0	0	0	0	151	158	102	0	0
E4F1	74.640000	0	0	0	0	0	157	163	189	154	0	181	0	0	153	0	0	754	0	115	0	0	0	0	0	0	0
NCR3LG1	74.600000	0	0	0	0	0	0	165	139	0	0	147	0	0	541	135	0	610	0	0	0	0	0	0	128	0	0
ITGB3	74.560000	0	0	0	0	0	0	108	0	0	0	117	0	0	700	239	0	700	0	0	0	0	0	0	0	0	0
SUCLG2	74.520000	0	0	0	0	0	0	136	0	0	0	177	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0
SCARF1	74.520000	0	0	0	0	0	0	0	187	0	0	139	0	0	0	0	0	1537	0	0	0	0	0	0	0	0	0
RILP	74.520000	0	0	0	0	0	0	0	187	0	0	139	0	0	0	0	0	1537	0	0	0	0	0	0	0	0	0
PUM2	74.520000	0	0	0	0	0	0	246	280	0	0	294	0	0	0	0	0	598	0	303	142	0	0	0	0	0	0
PPP1R12A	74.520000	0	0	0	0	0	0	152	126	0	0	230	0	0	162	78	0	924	0	117	74	0	0	0	0	0	0
KLF2	74.480000	0	0	0	0	0	254	0	0	0	0	0	0	0	303	0	0	1028	0	0	0	0	184	0	93	0	565
OSGEP	74.480000	0	0	0	0	0	0	171	95	122	0	97	0	0	0	0	0	414	0	0	0	0	315	374	274	0	0
EXOSC6	74.480000	0	0	0	0	0	0	286	280	392	0	177	0	0	0	0	0	727	0	0	0	0	0	0	0	0	0
APEX1	74.480000	0	0	0	0	0	0	171	95	122	0	97	0	0	0	0	0	414	0	0	0	0	315	374	274	0	0
TMOD3	74.400000	0	0	0	0	0	143	143	118	0	0	126	0	0	83	0	0	1247	0	0	0	0	0	0	0	0	0
SLCO4C1	74.400000	0	0	0	0	0	0	137	262	0	0	0	0	0	0	0	0	1461	0	0	0	0	0	0	0	0	0
ZNF251	74.360000	0	0	0	0	0	261	0	0	1059	0	0	0	0	227	113	0	199	0	0	0	0	0	0	0	0	0
TYRO3	74.360000	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	460	0	0	0	0	344	481	361	0	0
RTBDN	74.360000	0	0	0	0	0	0	840	654	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0
INPP5F	74.360000	0	0	0	0	0	0	233	116	0	0	251	0	0	0	0	0	1259	0	0	0	0	0	0	0	0	0
GTPBP2	74.360000	0	0	0	0	0	0	0	70	0	0	145	0	0	517	280	0	0	94	283	155	0	102	125	88	0	0
TMEM251	74.320000	0	0	0	0	0	0	161	101	0	0	182	0	0	368	0	0	1046	0	0	0	0	0	0	0	0	0
PAN3	74.320000	0	0	0	0	0	0	140	181	0	0	309	0	0	0	0	0	231	0	0	0	0	385	441	171	0	0
MOAP1	74.320000	0	0	0	0	0	0	161	101	0	0	182	0	0	368	0	0	1046	0	0	0	0	0	0	0	0	0
IARS2	74.320000	123	0	0	0	0	0	101	134	0	0	99	0	0	394	177	0	420	0	0	0	0	190	220	0	0	0
CLDN12	74.320000	0	0	0	0	0	0	129	173	0	0	71	0	0	149	0	0	1336	0	0	0	0	0	0	0	0	0
ARHGEF28	74.280000	0	0	0	0	0	213	353	488	592	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LDHA	74.200000	0	0	0	0	0	108	239	249	0	0	135	0	0	449	232	0	274	0	169	0	0	0	0	0	0	0
H3-3A	74.200000	0	0	0	0	0	0	134	219	0	0	172	0	0	0	0	0	1093	0	0	0	0	0	141	96	0	0
SAMD1	74.160000	322	145	0	0	0	97	0	0	0	0	0	0	0	0	0	0	489	0	0	0	0	387	255	159	0	0
MYD88	74.160000	0	0	0	0	0	0	107	348	98	0	96	0	0	76	0	0	1129	0	0	0	0	0	0	0	0	0
ACAA1	74.160000	0	0	0	0	0	0	107	348	98	0	96	0	0	76	0	0	1129	0	0	0	0	0	0	0	0	0
SLC35C2	74.120000	0	0	0	0	0	117	318	168	0	0	235	0	0	186	95	0	250	0	0	0	0	184	154	146	0	0
SLC35A3	74.120000	0	0	0	0	0	110	505	275	0	0	159	0	0	86	0	0	449	0	157	112	0	0	0	0	0	0
